
5 Mot inconnu : XRandR => ====== XRandR ====== | xrandr
308 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. =>   Current serial number in output stream:  28</code> | in => suggestions : ['un']
308 Mot inconnu : stream =>   Current serial number in output stream:  28</code> | stream
308 Espace(s) surnuméraire(s) à supprimer. =>   Current serial number in output stream:  28</code> |    => suggestions : [' ']

313 Mot inconnu : NVidia => ==== NVidia : "BadMatch" error ==== | nvidia
313 Guillemets typographiques ouvrants. => ==== NVidia : "BadMatch" error ==== | " => suggestions : ['«\xa0', '“']
313 Mot inconnu : BadMatch => ==== NVidia : "BadMatch" error ==== | badmatch
313 Guillemets typographiques fermants. => ==== NVidia : "BadMatch" error ==== | " => suggestions : ['\xa0»', '”']
313 Mot inconnu : error => ==== NVidia : "BadMatch" error ==== | error

323 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

324 Mot inconnu : xorg => Vous pouvez créer un fichier **[[xorg|xorg.conf]]** en adaptant les données :  | xorg
324 Mot inconnu : xorg => Vous pouvez créer un fichier **[[xorg|xorg.conf]]** en adaptant les données :  | xorg
324 Il manque un espace. => Vous pouvez créer un fichier **[[xorg|xorg.conf]]** en adaptant les données :  | conf => suggestions : [' conf']
324 Espace(s) en fin de ligne à supprimer. => Vous pouvez créer un fichier **[[xorg|xorg.conf]]** en adaptant les données :  |   => suggestions : ['']

325 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

327 Mot inconnu : nvidia-settings => # nvidia-settings: X configuration file generated by nvidia-settings | nvidia-settings
327 Mot inconnu : generated => # nvidia-settings: X configuration file generated by nvidia-settings | generated
327 Mot inconnu : by => # nvidia-settings: X configuration file generated by nvidia-settings | by
327 Mot inconnu : nvidia-settings => # nvidia-settings: X configuration file generated by nvidia-settings | nvidia-settings

328 Mot inconnu : nvidia-settings => # nvidia-settings:  version 361.42  (buildd@lgw01-18)  Tue Apr  5 14:33:28 UTC 2016 | nvidia-settings
328 Espace(s) surnuméraire(s) à supprimer. => # nvidia-settings:  version 361.42  (buildd@lgw01-18)  Tue Apr  5 14:33:28 UTC 2016 |    => suggestions : [' ']
328 Espace(s) surnuméraire(s) à supprimer. => # nvidia-settings:  version 361.42  (buildd@lgw01-18)  Tue Apr  5 14:33:28 UTC 2016 |    => suggestions : [' ']
328 Mot inconnu : buildd => # nvidia-settings:  version 361.42  (buildd@lgw01-18)  Tue Apr  5 14:33:28 UTC 2016 | buildd
328 Mot inconnu : Apr => # nvidia-settings:  version 361.42  (buildd@lgw01-18)  Tue Apr  5 14:33:28 UTC 2016 | apr
328 Espace(s) surnuméraire(s) à supprimer. => # nvidia-settings:  version 361.42  (buildd@lgw01-18)  Tue Apr  5 14:33:28 UTC 2016 |    => suggestions : [' ']

329 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "ServerLayout" |   => suggestions : ['']
329 Guillemets typographiques ouvrants. =>  Section "ServerLayout" | " => suggestions : ['«\xa0', '“']
329 Mot inconnu : ServerLayout =>  Section "ServerLayout" | serverlayout
329 Guillemets typographiques fermants. =>  Section "ServerLayout" | " => suggestions : ['\xa0»', '”']

330 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier     "Layout0" |      => suggestions : ['']
330 Espace(s) surnuméraire(s) à supprimer. =>     Identifier     "Layout0" |       => suggestions : [' ']
330 Guillemets typographiques ouvrants. =>     Identifier     "Layout0" | " => suggestions : ['«\xa0', '“']
330 Mot inconnu : Layout0 =>     Identifier     "Layout0" | layout0
330 Guillemets typographiques fermants. =>     Identifier     "Layout0" | " => suggestions : ['\xa0»', '”']

331 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Screen      0  "Screen0" 0 0 |      => suggestions : ['']
331 Mot inconnu : Screen =>     Screen      0  "Screen0" 0 0 | screen
331 Espace(s) surnuméraire(s) à supprimer. =>     Screen      0  "Screen0" 0 0 |        => suggestions : [' ']
331 Espace(s) surnuméraire(s) à supprimer. =>     Screen      0  "Screen0" 0 0 |    => suggestions : [' ']
331 Guillemets typographiques ouvrants. =>     Screen      0  "Screen0" 0 0 | " => suggestions : ['«\xa0', '“']
331 Mot inconnu : Screen0 =>     Screen      0  "Screen0" 0 0 | screen0
331 Guillemets typographiques fermants. =>     Screen      0  "Screen0" 0 0 | " => suggestions : ['\xa0»', '”']

332 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     InputDevice    "Keyboard0" "CoreKeyboard" |      => suggestions : ['']
332 Mot inconnu : InputDevice =>     InputDevice    "Keyboard0" "CoreKeyboard" | inputdevice
332 Espace(s) surnuméraire(s) à supprimer. =>     InputDevice    "Keyboard0" "CoreKeyboard" |      => suggestions : [' ']
332 Guillemets typographiques ouvrants. =>     InputDevice    "Keyboard0" "CoreKeyboard" | " => suggestions : ['«\xa0', '“']
332 Mot inconnu : Keyboard0 =>     InputDevice    "Keyboard0" "CoreKeyboard" | keyboard0
332 Guillemets typographiques fermants. =>     InputDevice    "Keyboard0" "CoreKeyboard" | " => suggestions : ['\xa0»', '”']
332 Guillemets typographiques ouvrants. =>     InputDevice    "Keyboard0" "CoreKeyboard" | " => suggestions : ['«\xa0', '“']
332 Mot inconnu : CoreKeyboard =>     InputDevice    "Keyboard0" "CoreKeyboard" | corekeyboard
332 Guillemets typographiques fermants. =>     InputDevice    "Keyboard0" "CoreKeyboard" | " => suggestions : ['\xa0»', '”']

333 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     InputDevice    "Mouse0" "CorePointer" |      => suggestions : ['']
333 Mot inconnu : InputDevice =>     InputDevice    "Mouse0" "CorePointer" | inputdevice
333 Espace(s) surnuméraire(s) à supprimer. =>     InputDevice    "Mouse0" "CorePointer" |      => suggestions : [' ']
333 Guillemets typographiques ouvrants. =>     InputDevice    "Mouse0" "CorePointer" | " => suggestions : ['«\xa0', '“']
333 Mot inconnu : Mouse0 =>     InputDevice    "Mouse0" "CorePointer" | mouse0
333 Guillemets typographiques fermants. =>     InputDevice    "Mouse0" "CorePointer" | " => suggestions : ['\xa0»', '”']
333 Guillemets typographiques ouvrants. =>     InputDevice    "Mouse0" "CorePointer" | " => suggestions : ['«\xa0', '“']
333 Mot inconnu : CorePointer =>     InputDevice    "Mouse0" "CorePointer" | corepointer
333 Guillemets typographiques fermants. =>     InputDevice    "Mouse0" "CorePointer" | " => suggestions : ['\xa0»', '”']

334 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "Xinerama" "0" |      => suggestions : ['']
334 Espace(s) surnuméraire(s) à supprimer. =>     Option         "Xinerama" "0" |           => suggestions : [' ']
334 Guillemets typographiques ouvrants. =>     Option         "Xinerama" "0" | " => suggestions : ['«\xa0', '“']
334 Mot inconnu : Xinerama =>     Option         "Xinerama" "0" | xinerama
334 Guillemets typographiques fermants. =>     Option         "Xinerama" "0" | " => suggestions : ['\xa0»', '”']
334 Guillemets typographiques ouvrants. =>     Option         "Xinerama" "0" | " => suggestions : ['«\xa0', '“']
334 Guillemets typographiques fermants. =>     Option         "Xinerama" "0" | " => suggestions : ['\xa0»', '”']

335 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  EndSection |   => suggestions : ['']
335 Mot inconnu : EndSection =>  EndSection | endsection

336 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "Files" |   => suggestions : ['']
336 Guillemets typographiques ouvrants. =>  Section "Files" | " => suggestions : ['«\xa0', '“']
336 Guillemets typographiques fermants. =>  Section "Files" | " => suggestions : ['\xa0»', '”']

337 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  EndSection |   => suggestions : ['']
337 Mot inconnu : EndSection =>  EndSection | endsection

338 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "InputDevice" |   => suggestions : ['']
338 Guillemets typographiques ouvrants. =>  Section "InputDevice" | " => suggestions : ['«\xa0', '“']
338 Mot inconnu : InputDevice =>  Section "InputDevice" | inputdevice
338 Guillemets typographiques fermants. =>  Section "InputDevice" | " => suggestions : ['\xa0»', '”']

339 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # generated from default |      => suggestions : ['']
339 Mot inconnu : generated =>     # generated from default | generated
339 Mot inconnu : from =>     # generated from default | from
339 Mot inconnu : default =>     # generated from default | default

340 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier     "Mouse0" |      => suggestions : ['']
340 Espace(s) surnuméraire(s) à supprimer. =>     Identifier     "Mouse0" |       => suggestions : [' ']
340 Guillemets typographiques ouvrants. =>     Identifier     "Mouse0" | " => suggestions : ['«\xa0', '“']
340 Mot inconnu : Mouse0 =>     Identifier     "Mouse0" | mouse0
340 Guillemets typographiques fermants. =>     Identifier     "Mouse0" | " => suggestions : ['\xa0»', '”']

341 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Driver         "mouse" |      => suggestions : ['']
341 Espace(s) surnuméraire(s) à supprimer. =>     Driver         "mouse" |           => suggestions : [' ']
341 Guillemets typographiques ouvrants. =>     Driver         "mouse" | " => suggestions : ['«\xa0', '“']
341 Mot inconnu : mouse =>     Driver         "mouse" | mouse
341 Guillemets typographiques fermants. =>     Driver         "mouse" | " => suggestions : ['\xa0»', '”']

342 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "Protocol" "auto" |      => suggestions : ['']
342 Espace(s) surnuméraire(s) à supprimer. =>     Option         "Protocol" "auto" |           => suggestions : [' ']
342 Guillemets typographiques ouvrants. =>     Option         "Protocol" "auto" | " => suggestions : ['«\xa0', '“']
342 Mot inconnu : Protocol =>     Option         "Protocol" "auto" | protocol
342 Guillemets typographiques fermants. =>     Option         "Protocol" "auto" | " => suggestions : ['\xa0»', '”']
342 Guillemets typographiques ouvrants. =>     Option         "Protocol" "auto" | " => suggestions : ['«\xa0', '“']
342 Guillemets typographiques fermants. =>     Option         "Protocol" "auto" | " => suggestions : ['\xa0»', '”']

343 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "Device" "/dev/psaux" |      => suggestions : ['']
343 Espace(s) surnuméraire(s) à supprimer. =>     Option         "Device" "/dev/psaux" |           => suggestions : [' ']
343 Guillemets typographiques ouvrants. =>     Option         "Device" "/dev/psaux" | " => suggestions : ['«\xa0', '“']
343 Mot inconnu : Device =>     Option         "Device" "/dev/psaux" | device
343 Guillemets typographiques fermants. =>     Option         "Device" "/dev/psaux" | " => suggestions : ['\xa0»', '”']

344 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "Emulate3Buttons" "no" |      => suggestions : ['']
344 Espace(s) surnuméraire(s) à supprimer. =>     Option         "Emulate3Buttons" "no" |           => suggestions : [' ']
344 Guillemets typographiques ouvrants. =>     Option         "Emulate3Buttons" "no" | " => suggestions : ['«\xa0', '“']
344 Mot inconnu : Emulate3Buttons =>     Option         "Emulate3Buttons" "no" | emulate3buttons
344 Guillemets typographiques fermants. =>     Option         "Emulate3Buttons" "no" | " => suggestions : ['\xa0»', '”']
344 Guillemets typographiques ouvrants. =>     Option         "Emulate3Buttons" "no" | " => suggestions : ['«\xa0', '“']
344 Guillemets typographiques fermants. =>     Option         "Emulate3Buttons" "no" | " => suggestions : ['\xa0»', '”']

345 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "ZAxisMapping" "4 5" |      => suggestions : ['']
345 Espace(s) surnuméraire(s) à supprimer. =>     Option         "ZAxisMapping" "4 5" |           => suggestions : [' ']
345 Guillemets typographiques ouvrants. =>     Option         "ZAxisMapping" "4 5" | " => suggestions : ['«\xa0', '“']
345 Mot inconnu : ZAxisMapping =>     Option         "ZAxisMapping" "4 5" | zaxismapping
345 Guillemets typographiques fermants. =>     Option         "ZAxisMapping" "4 5" | " => suggestions : ['\xa0»', '”']
345 Guillemets typographiques ouvrants. =>     Option         "ZAxisMapping" "4 5" | " => suggestions : ['«\xa0', '“']
345 Guillemets typographiques fermants. =>     Option         "ZAxisMapping" "4 5" | " => suggestions : ['\xa0»', '”']

346 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  EndSection |   => suggestions : ['']
346 Mot inconnu : EndSection =>  EndSection | endsection

347 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "InputDevice" |   => suggestions : ['']
347 Guillemets typographiques ouvrants. =>  Section "InputDevice" | " => suggestions : ['«\xa0', '“']
347 Mot inconnu : InputDevice =>  Section "InputDevice" | inputdevice
347 Guillemets typographiques fermants. =>  Section "InputDevice" | " => suggestions : ['\xa0»', '”']

348 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # generated from default |      => suggestions : ['']
348 Mot inconnu : generated =>     # generated from default | generated
348 Mot inconnu : from =>     # generated from default | from
348 Mot inconnu : default =>     # generated from default | default

349 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier     "Keyboard0" |      => suggestions : ['']
349 Espace(s) surnuméraire(s) à supprimer. =>     Identifier     "Keyboard0" |       => suggestions : [' ']
349 Guillemets typographiques ouvrants. =>     Identifier     "Keyboard0" | " => suggestions : ['«\xa0', '“']
349 Mot inconnu : Keyboard0 =>     Identifier     "Keyboard0" | keyboard0
349 Guillemets typographiques fermants. =>     Identifier     "Keyboard0" | " => suggestions : ['\xa0»', '”']

350 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Driver         "kbd" |      => suggestions : ['']
350 Espace(s) surnuméraire(s) à supprimer. =>     Driver         "kbd" |           => suggestions : [' ']
350 Guillemets typographiques ouvrants. =>     Driver         "kbd" | " => suggestions : ['«\xa0', '“']
350 Mot inconnu : kbd =>     Driver         "kbd" | kbd
350 Guillemets typographiques fermants. =>     Driver         "kbd" | " => suggestions : ['\xa0»', '”']

351 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  EndSection |   => suggestions : ['']
351 Mot inconnu : EndSection =>  EndSection | endsection

352 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "Monitor" |   => suggestions : ['']
352 Guillemets typographiques ouvrants. =>  Section "Monitor" | " => suggestions : ['«\xa0', '“']
352 Guillemets typographiques fermants. =>  Section "Monitor" | " => suggestions : ['\xa0»', '”']

353 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # HorizSync source: edid, VertRefresh source: edid |      => suggestions : ['']
353 Mot inconnu : HorizSync =>     # HorizSync source: edid, VertRefresh source: edid | horizsync
353 Mot inconnu : edid =>     # HorizSync source: edid, VertRefresh source: edid | edid
353 Mot inconnu : VertRefresh =>     # HorizSync source: edid, VertRefresh source: edid | vertrefresh
353 Mot inconnu : edid =>     # HorizSync source: edid, VertRefresh source: edid | edid

354 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier     "Monitor0" |      => suggestions : ['']
354 Espace(s) surnuméraire(s) à supprimer. =>     Identifier     "Monitor0" |       => suggestions : [' ']
354 Guillemets typographiques ouvrants. =>     Identifier     "Monitor0" | " => suggestions : ['«\xa0', '“']
354 Mot inconnu : Monitor0 =>     Identifier     "Monitor0" | monitor0
354 Guillemets typographiques fermants. =>     Identifier     "Monitor0" | " => suggestions : ['\xa0»', '”']

355 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     VendorName     "Unknown" |      => suggestions : ['']
355 Mot inconnu : VendorName =>     VendorName     "Unknown" | vendorname
355 Espace(s) surnuméraire(s) à supprimer. =>     VendorName     "Unknown" |       => suggestions : [' ']
355 Guillemets typographiques ouvrants. =>     VendorName     "Unknown" | " => suggestions : ['«\xa0', '“']
355 Mot inconnu : Unknown =>     VendorName     "Unknown" | unknown
355 Guillemets typographiques fermants. =>     VendorName     "Unknown" | " => suggestions : ['\xa0»', '”']

356 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ModelName      "NT@ LCD MONITOR" |      => suggestions : ['']
356 Mot inconnu : ModelName =>     ModelName      "NT@ LCD MONITOR" | modelname
356 Espace(s) surnuméraire(s) à supprimer. =>     ModelName      "NT@ LCD MONITOR" |        => suggestions : [' ']
356 Guillemets typographiques ouvrants. =>     ModelName      "NT@ LCD MONITOR" | " => suggestions : ['«\xa0', '“']
356 Mot inconnu : NT =>     ModelName      "NT@ LCD MONITOR" | nt
356 Guillemets typographiques fermants. =>     ModelName      "NT@ LCD MONITOR" | " => suggestions : ['\xa0»', '”']

357 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     HorizSync       28.0 - 66.0 |      => suggestions : ['']
357 Mot inconnu : HorizSync =>     HorizSync       28.0 - 66.0 | horizsync
357 Espace(s) surnuméraire(s) à supprimer. =>     HorizSync       28.0 - 66.0 |         => suggestions : [' ']
357 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     HorizSync       28.0 - 66.0 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']

358 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     VertRefresh     48.0 - 75.0 |      => suggestions : ['']
358 Mot inconnu : VertRefresh =>     VertRefresh     48.0 - 75.0 | vertrefresh
358 Espace(s) surnuméraire(s) à supprimer. =>     VertRefresh     48.0 - 75.0 |       => suggestions : [' ']
358 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     VertRefresh     48.0 - 75.0 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']

359 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "DPMS" |      => suggestions : ['']
359 Espace(s) surnuméraire(s) à supprimer. =>     Option         "DPMS" |           => suggestions : [' ']
359 Guillemets typographiques ouvrants. =>     Option         "DPMS" | " => suggestions : ['«\xa0', '“']
359 Mot inconnu : DPMS =>     Option         "DPMS" | dpms
359 Guillemets typographiques fermants. =>     Option         "DPMS" | " => suggestions : ['\xa0»', '”']

360 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync |      => suggestions : ['']
360 Mot inconnu : Modeline =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | modeline
360 Guillemets typographiques ouvrants. =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | " => suggestions : ['«\xa0', '“']
360 Signe de multiplication typographique. =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | 1400x1050 => suggestions : ['1400\xa0×\xa01050']
360 Mot inconnu : x1050_57 =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | x1050_57
360 Guillemets typographiques fermants. =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | " => suggestions : ['\xa0»', '”']
360 Espace(s) surnuméraire(s) à supprimer. =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync |    => suggestions : [' ']
360 Espace(s) surnuméraire(s) à supprimer. =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync |    => suggestions : [' ']
360 Il manque un espace à côté du tiret. =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync |  - => suggestions : [' – ', ' — ']
360 Mot inconnu : hsync =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | hsync
360 Mot inconnu : vsync =>     Modeline "1400x1050_57.20"  115.75  1400 1488 1632 1864  1050 1053 1057 1088 -hsync +vsync | vsync

361 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EndSection |    => suggestions : ['']
361 Mot inconnu : EndSection =>   EndSection | endsection

362 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "Device" |   => suggestions : ['']
362 Guillemets typographiques ouvrants. =>  Section "Device" | " => suggestions : ['«\xa0', '“']
362 Mot inconnu : Device =>  Section "Device" | device
362 Guillemets typographiques fermants. =>  Section "Device" | " => suggestions : ['\xa0»', '”']

363 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier     "Device0" |      => suggestions : ['']
363 Espace(s) surnuméraire(s) à supprimer. =>     Identifier     "Device0" |       => suggestions : [' ']
363 Guillemets typographiques ouvrants. =>     Identifier     "Device0" | " => suggestions : ['«\xa0', '“']
363 Mot inconnu : Device0 =>     Identifier     "Device0" | device0
363 Guillemets typographiques fermants. =>     Identifier     "Device0" | " => suggestions : ['\xa0»', '”']

364 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Driver         "nvidia" |      => suggestions : ['']
364 Espace(s) surnuméraire(s) à supprimer. =>     Driver         "nvidia" |           => suggestions : [' ']
364 Guillemets typographiques ouvrants. =>     Driver         "nvidia" | " => suggestions : ['«\xa0', '“']
364 Mot inconnu : nvidia =>     Driver         "nvidia" | nvidia
364 Guillemets typographiques fermants. =>     Driver         "nvidia" | " => suggestions : ['\xa0»', '”']

365 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     VendorName     "NVIDIA Corporation" |      => suggestions : ['']
365 Mot inconnu : VendorName =>     VendorName     "NVIDIA Corporation" | vendorname
365 Espace(s) surnuméraire(s) à supprimer. =>     VendorName     "NVIDIA Corporation" |       => suggestions : [' ']
365 Guillemets typographiques ouvrants. =>     VendorName     "NVIDIA Corporation" | " => suggestions : ['«\xa0', '“']
365 Guillemets typographiques fermants. =>     VendorName     "NVIDIA Corporation" | " => suggestions : ['\xa0»', '”']

366 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     BoardName      "GeForce GT 520" |      => suggestions : ['']
366 Mot inconnu : BoardName =>     BoardName      "GeForce GT 520" | boardname
366 Espace(s) surnuméraire(s) à supprimer. =>     BoardName      "GeForce GT 520" |        => suggestions : [' ']
366 Guillemets typographiques ouvrants. =>     BoardName      "GeForce GT 520" | " => suggestions : ['«\xa0', '“']
366 Mot inconnu : GeForce =>     BoardName      "GeForce GT 520" | geforce
366 Guillemets typographiques fermants. =>     BoardName      "GeForce GT 520" | " => suggestions : ['\xa0»', '”']

367 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  EndSection |   => suggestions : ['']
367 Mot inconnu : EndSection =>  EndSection | endsection

368 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Section "Screen" |   => suggestions : ['']
368 Guillemets typographiques ouvrants. =>  Section "Screen" | " => suggestions : ['«\xa0', '“']
368 Mot inconnu : Screen =>  Section "Screen" | screen
368 Guillemets typographiques fermants. =>  Section "Screen" | " => suggestions : ['\xa0»', '”']

369 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier     "Screen0" |      => suggestions : ['']
369 Espace(s) surnuméraire(s) à supprimer. =>     Identifier     "Screen0" |       => suggestions : [' ']
369 Guillemets typographiques ouvrants. =>     Identifier     "Screen0" | " => suggestions : ['«\xa0', '“']
369 Mot inconnu : Screen0 =>     Identifier     "Screen0" | screen0
369 Guillemets typographiques fermants. =>     Identifier     "Screen0" | " => suggestions : ['\xa0»', '”']

370 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Device         "Device0" |      => suggestions : ['']
370 Mot inconnu : Device =>     Device         "Device0" | device
370 Espace(s) surnuméraire(s) à supprimer. =>     Device         "Device0" |           => suggestions : [' ']
370 Guillemets typographiques ouvrants. =>     Device         "Device0" | " => suggestions : ['«\xa0', '“']
370 Mot inconnu : Device0 =>     Device         "Device0" | device0
370 Guillemets typographiques fermants. =>     Device         "Device0" | " => suggestions : ['\xa0»', '”']

371 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Monitor        "Monitor0" |      => suggestions : ['']
371 Espace(s) surnuméraire(s) à supprimer. =>     Monitor        "Monitor0" |          => suggestions : [' ']
371 Guillemets typographiques ouvrants. =>     Monitor        "Monitor0" | " => suggestions : ['«\xa0', '“']
371 Mot inconnu : Monitor0 =>     Monitor        "Monitor0" | monitor0
371 Guillemets typographiques fermants. =>     Monitor        "Monitor0" | " => suggestions : ['\xa0»', '”']

372 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     DefaultDepth    24 |      => suggestions : ['']
372 Mot inconnu : DefaultDepth =>     DefaultDepth    24 | defaultdepth
372 Espace(s) surnuméraire(s) à supprimer. =>     DefaultDepth    24 |      => suggestions : [' ']

373 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "Stereo" "0" |      => suggestions : ['']
373 Espace(s) surnuméraire(s) à supprimer. =>     Option         "Stereo" "0" |           => suggestions : [' ']
373 Guillemets typographiques ouvrants. =>     Option         "Stereo" "0" | " => suggestions : ['«\xa0', '“']
373 Mot inconnu : Stereo =>     Option         "Stereo" "0" | stereo
373 Guillemets typographiques fermants. =>     Option         "Stereo" "0" | " => suggestions : ['\xa0»', '”']
373 Guillemets typographiques ouvrants. =>     Option         "Stereo" "0" | " => suggestions : ['«\xa0', '“']
373 Guillemets typographiques fermants. =>     Option         "Stereo" "0" | " => suggestions : ['\xa0»', '”']

374 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" |      => suggestions : ['']
374 Espace(s) surnuméraire(s) à supprimer. =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" |           => suggestions : [' ']
374 Guillemets typographiques ouvrants. =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" | " => suggestions : ['«\xa0', '“']
374 Mot inconnu : nvidiaXineramaInfoOrder =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" | nvidiaxineramainfoorder
