
4 Mot inconnu : Playstation => ====== Sony Playstation Portable (PSP) & Linux Ubuntu ====== <|> playstation
66 Mot inconnu : Core =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> core
66 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 2 mio => suggestions : ['2\xa0Mio']
66 Mot inconnu : eDRAM =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> edram
66 Si “M” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 664 m => suggestions : ['664\xa0M']
66 Écriture invariable. Utilisez un point médian. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> pixels/s => suggestions : ['pixels·s']
66 Si “M” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 34 m => suggestions : ['34\xa0M']
66 Écriture invariable. Utilisez un point médian. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> polygones/s => suggestions : ['polygones·s']
67 Mot inconnu : Sound =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> sound
67 Mot inconnu : Core =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> core
67 Mot inconnu : Virtual =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> virtual
67 Mot inconnu : Engine =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> engine
67 Mot inconnu : DSP =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> dsp
67 Accord de nombre erroné avec « 128 bits » : « reconfigurable » devrait être au pluriel. =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> reconfigurable => suggestions : ['reconfigurables']
67 Mot inconnu : GFLOPS =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> gflops
68 Mot inconnu : MPEG-4 =>   * Décodeur matériel MPEG-4 AVC (H.264) Main Profile Level3. <|> mpeg-4
68 Mot inconnu : Level3 =>   * Décodeur matériel MPEG-4 AVC (H.264) Main Profile Level3. <|> level3

72 Mot inconnu : PSP => === PSP N1000 (Go) === <|> psp
72 Mot inconnu : N1000 => === PSP N1000 (Go) === <|> n1000

76 Mot inconnu : Mickleman => En cours de rédaction par **Mickleman** <|> mickleman
125 Mot inconnu : PSP => <note important>**Attention !** Les fichiers ne s'écrivent pas sur la PSP quand vous les déposez sur la carte mémoire (PSP 1000/2000/3000) ou sur la mémoire interne (PSPGo). Il faut donc retirer la console de façon convenable. Pour cela, un clic droit sur l'icône représentant la PSP, puis //Retirer le volume sans risque//. Vous pouvez alors débrancher votre console de votre ordinateur !</note> <|> psp
125 Mot inconnu : PSP => <note important>**Attention !** Les fichiers ne s'écrivent pas sur la PSP quand vous les déposez sur la carte mémoire (PSP 1000/2000/3000) ou sur la mémoire interne (PSPGo). Il faut donc retirer la console de façon convenable. Pour cela, un clic droit sur l'icône représentant la PSP, puis //Retirer le volume sans risque//. Vous pouvez alors débrancher votre console de votre ordinateur !</note> <|> psp
125 Mot inconnu : PSPGo => <note important>**Attention !** Les fichiers ne s'écrivent pas sur la PSP quand vous les déposez sur la carte mémoire (PSP 1000/2000/3000) ou sur la mémoire interne (PSPGo). Il faut donc retirer la console de façon convenable. Pour cela, un clic droit sur l'icône représentant la PSP, puis //Retirer le volume sans risque//. Vous pouvez alors débrancher votre console de votre ordinateur !</note> <|> pspgo
125 Mot inconnu : PSP => <note important>**Attention !** Les fichiers ne s'écrivent pas sur la PSP quand vous les déposez sur la carte mémoire (PSP 1000/2000/3000) ou sur la mémoire interne (PSPGo). Il faut donc retirer la console de façon convenable. Pour cela, un clic droit sur l'icône représentant la PSP, puis //Retirer le volume sans risque//. Vous pouvez alors débrancher votre console de votre ordinateur !</note> <|> psp

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']

134 Mot inconnu : PSP => La PSP est capable de lire un certain nombre de formats vidéo, comme documenté sur le [[http://playstation.custhelp.com/cgi-bin/playstation.cfg/php/enduser/std_adp.php?p_faqid=333&p_sid=bj_ohGHj|site US]] de Sony: <|> psp

137 Mot inconnu : The => The PSP system supports the following video and movie file formats: <|> the
137 Mot inconnu : PSP => The PSP system supports the following video and movie file formats: <|> psp
137 Mot inconnu : system => The PSP system supports the following video and movie file formats: <|> system
137 Mot inconnu : the => The PSP system supports the following video and movie file formats: <|> the
137 Mot inconnu : following => The PSP system supports the following video and movie file formats: <|> following
137 Mot inconnu : video => The PSP system supports the following video and movie file formats: <|> video
137 Mot inconnu : and => The PSP system supports the following video and movie file formats: <|> and
137 Mot inconnu : movie => The PSP system supports the following video and movie file formats: <|> movie
138 Mot inconnu : MemoryStick =>   * MemoryStick™ Video Format <|> memorystick
138 Mot inconnu : Video =>   * MemoryStick™ Video Format <|> video

150 Mot inconnu : PSP => D'autre part, la résolution native de la PSP est 480x272. Mais ces informations sont loin d'être suffisantes pour pouvoir encoder des vidéos lisibles par une PSP. <|> psp
150 Signe de multiplication typographique. => D'autre part, la résolution native de la PSP est 480x272. Mais ces informations sont loin d'être suffisantes pour pouvoir encoder des vidéos lisibles par une PSP. <|> 480x272 => suggestions : ['480\xa0×\xa0272']
150 Mot inconnu : x272 => D'autre part, la résolution native de la PSP est 480x272. Mais ces informations sont loin d'être suffisantes pour pouvoir encoder des vidéos lisibles par une PSP. <|> x272
150 Mot inconnu : PSP => D'autre part, la résolution native de la PSP est 480x272. Mais ces informations sont loin d'être suffisantes pour pouvoir encoder des vidéos lisibles par une PSP. <|> psp

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']
160 Mot inconnu : MP4 =>   * Conteneur vidéo: MP4 <|> mp4
161 Mot inconnu : AAC =>   * Codec Audio: AAC <|> aac
162 Mot inconnu : Video =>   * Codecs Video: <|> video

173 Mot inconnu : PSPs => Attention, cette section ne parle que les PSPs avec firmware officiels. Les firmwares modifiés ont des caractéristiques différentes -- meilleures la plupart du temps: <|> psps
175 Guillemets typographiques ouvrants. =>   * Résolutions avec un "768k pixel count" (tous firmwares): <|> " => suggestions : ['«\xa0', '“']
175 Mot inconnu : count =>   * Résolutions avec un "768k pixel count" (tous firmwares): <|> count
175 Guillemets typographiques fermants. =>   * Résolutions avec un "768k pixel count" (tous firmwares): <|> " => suggestions : ['\xa0»', '”']
182 Pas d’espace après ce signe. =>   * Firmwares récents seulement ( Vérifié sur une PSP Slim en 3.71 "officiel". )  <|> (  => suggestions : ['(']
182 Mot inconnu : PSP =>   * Firmwares récents seulement ( Vérifié sur une PSP Slim en 3.71 "officiel". )  <|> psp
182 Guillemets typographiques ouvrants. =>   * Firmwares récents seulement ( Vérifié sur une PSP Slim en 3.71 "officiel". )  <|> " => suggestions : ['«\xa0', '“']
182 Guillemets typographiques fermants. =>   * Firmwares récents seulement ( Vérifié sur une PSP Slim en 3.71 "officiel". )  <|> " => suggestions : ['\xa0»', '”']
182 Pas d’espace avant ce signe. =>   * Firmwares récents seulement ( Vérifié sur une PSP Slim en 3.71 "officiel". )  <|>  ) => suggestions : [')']

188 Guillemets typographiques ouvrants. => "Transcodage" signifiant en vidéo tout simplement "conversion de format". <|> " => suggestions : ['«\xa0', '“']
188 Guillemets typographiques fermants. => "Transcodage" signifiant en vidéo tout simplement "conversion de format". <|> " => suggestions : ['\xa0»', '”']
188 Guillemets typographiques ouvrants. => "Transcodage" signifiant en vidéo tout simplement "conversion de format". <|> " => suggestions : ['«\xa0', '“']
188 Guillemets typographiques fermants. => "Transcodage" signifiant en vidéo tout simplement "conversion de format". <|> " => suggestions : ['\xa0»', '”']

194 Mot inconnu : Handbrake => ==== Handbrake ==== <|> handbrake

196 Mot inconnu : DVDs => Pour transcoder des DVDs vers la PSP, le plus simple est sans doute d'utiliser [[http://handbrake.m0k.org|Handbrake]], un soft Open Source qui possède une version en ligne de commande pour Linux. <|> dvds
196 Mot inconnu : PSP => Pour transcoder des DVDs vers la PSP, le plus simple est sans doute d'utiliser [[http://handbrake.m0k.org|Handbrake]], un soft Open Source qui possède une version en ligne de commande pour Linux. <|> psp

202 Typographie : points de suspension. Utilisez le caractère dédié. => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> ... => suggestions : ['…']
202 Mot inconnu : PSP => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> psp
202 Mot inconnu : MB => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> mb
202 Mot inconnu : UMD => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> umd
202 Mot inconnu : NTSC => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> ntsc
202 Signe de multiplication typographique. => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> 720x480 => suggestions : ['720\xa0×\xa0480']
202 Mot inconnu : x480 => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> x480
202 Mot inconnu : PSP => ... permet de créer un fichier lisible sur la PSP de 700MB max (qualité UMD Vidéo), au format NTSC (720x480), qui sera d'ailleurs lu en pleine résolution sur une télé si on utilise une PSP Slim & Lite. <|> psp

206 Mot inconnu : deb => Il existe une interface graphique en paquet deb pour amd64 et i386 ici : <|> deb
206 Mot inconnu : amd64 => Il existe une interface graphique en paquet deb pour amd64 et i386 ici : <|> amd64
206 Mot inconnu : i386 => Il existe une interface graphique en paquet deb pour amd64 et i386 ici : <|> i386

210 Mot inconnu : AVIDEMUX => ==== AVIDEMUX ==== <|> avidemux

213 Mot inconnu : AVI => Pour transcoder des fichiers AVI, un des meilleurs softs disponibles pour la PSP en ce moment (juin 2009) est sans doute  [[http://www.avidemux.org/|avidemux]], un outil assez impressionnant de conversion et travail sur les fichiers AVI. <|> avi
213 Mot inconnu : PSP => Pour transcoder des fichiers AVI, un des meilleurs softs disponibles pour la PSP en ce moment (juin 2009) est sans doute  [[http://www.avidemux.org/|avidemux]], un outil assez impressionnant de conversion et travail sur les fichiers AVI. <|> psp
213 Mot inconnu : AVI => Pour transcoder des fichiers AVI, un des meilleurs softs disponibles pour la PSP en ce moment (juin 2009) est sans doute  [[http://www.avidemux.org/|avidemux]], un outil assez impressionnant de conversion et travail sur les fichiers AVI. <|> avi

215 Mot inconnu : PSP => Pour la PSP, en particulier pour les formats en résolution élevée, il faut utiliser la version SVN de la 2.4. sous Ubuntu (ou disponible directement dans les dépôt sous Jaunty), voir les miroirs proposés sur le site de avidemux, cela ça marche très bien. <|> psp
215 Mot inconnu : SVN => Pour la PSP, en particulier pour les formats en résolution élevée, il faut utiliser la version SVN de la 2.4. sous Ubuntu (ou disponible directement dans les dépôt sous Jaunty), voir les miroirs proposés sur le site de avidemux, cela ça marche très bien. <|> svn
215 Accord de nombre erroné : « dépôt » devrait être au pluriel. => Pour la PSP, en particulier pour les formats en résolution élevée, il faut utiliser la version SVN de la 2.4. sous Ubuntu (ou disponible directement dans les dépôt sous Jaunty), voir les miroirs proposés sur le site de avidemux, cela ça marche très bien. <|> dépôt => suggestions : ['dépôts']
215 Mot inconnu : Jaunty => Pour la PSP, en particulier pour les formats en résolution élevée, il faut utiliser la version SVN de la 2.4. sous Ubuntu (ou disponible directement dans les dépôt sous Jaunty), voir les miroirs proposés sur le site de avidemux, cela ça marche très bien. <|> jaunty
215 Élision de l’article devant un mot commençant par une voyelle. => Pour la PSP, en particulier pour les formats en résolution élevée, il faut utiliser la version SVN de la 2.4. sous Ubuntu (ou disponible directement dans les dépôt sous Jaunty), voir les miroirs proposés sur le site de avidemux, cela ça marche très bien. <|> de  => suggestions : ['d’']
215 Mot inconnu : avidemux => Pour la PSP, en particulier pour les formats en résolution élevée, il faut utiliser la version SVN de la 2.4. sous Ubuntu (ou disponible directement dans les dépôt sous Jaunty), voir les miroirs proposés sur le site de avidemux, cela ça marche très bien. <|> avidemux

217 Signe de multiplication typographique. => Méthode de conversion pour obtenir du 480x272 sur un firmware officiel récent - tutoriel très rapide - : <|> 480x272 => suggestions : ['480\xa0×\xa0272']
217 Mot inconnu : x272 => Méthode de conversion pour obtenir du 480x272 sur un firmware officiel récent - tutoriel très rapide - : <|> x272
217 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Méthode de conversion pour obtenir du 480x272 sur un firmware officiel récent - tutoriel très rapide - : <|>  -  => suggestions : [' – ', ' — ', ' − ']
217 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Méthode de conversion pour obtenir du 480x272 sur un firmware officiel récent - tutoriel très rapide - : <|>  -  => suggestions : [' – ', ' — ', ' − ']
219 Mot inconnu : AVI =>   * Ouvrir le ficher AVI à convertir <|> avi
220 Guillemets typographiques ouvrants. =>   * Aller dans le menu 'Auto': <|> ' => suggestions : ['“', '‘', '‹']
224 Guillemets typographiques ouvrants. =>   * Cliquer sur 'Sauver', attendre... <|> ' => suggestions : ['“', '‘', '‹']
224 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Cliquer sur 'Sauver', attendre... <|> ... => suggestions : ['…']

226 Mot inconnu : MP_ROOT => Le fichier résultant doit être stocké, non pas dans "/MP_ROOT" mais dans "/VIDEO". Il n'y a pas de convention de nommage particulière. <|> mp_root
226 Guillemets typographiques fermants. => Le fichier résultant doit être stocké, non pas dans "/MP_ROOT" mais dans "/VIDEO". Il n'y a pas de convention de nommage particulière. <|> " => suggestions : ['\xa0»', '”']
226 Mot inconnu : VIDEO => Le fichier résultant doit être stocké, non pas dans "/MP_ROOT" mais dans "/VIDEO". Il n'y a pas de convention de nommage particulière. <|> video
226 Guillemets typographiques fermants. => Le fichier résultant doit être stocké, non pas dans "/MP_ROOT" mais dans "/VIDEO". Il n'y a pas de convention de nommage particulière. <|> " => suggestions : ['\xa0»', '”']

234 Mot inconnu : PSPVC => ==== PSPVC ==== <|> pspvc

254 Mot inconnu : pspvc => Plus d'informations sur [[http://pspvc.sourceforge.net/|Le site officiel de pspvc]] <|> pspvc

258 Mot inconnu : ffmpeg => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> ffmpeg
258 Mot inconnu : PSP => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> psp
258 Mot inconnu : MPEG4 => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> mpeg4
258 Mot inconnu : SP => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> sp
258 Mot inconnu : all => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> all
258 Mot inconnu : H264 => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> h264
258 Mot inconnu : H264 => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> h264
258 Signe de multiplication typographique. => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> 480x272 => suggestions : ['480\xa0×\xa0272']
258 Mot inconnu : x272 => C'est un soft graphique (basé sur [[ffmpeg]]) qui permet d'encoder des vidéos sous format de la PSP : MPEG4/SP (all firmware), H264/AVC (firmware 2.0+) ou H264/AVC 480x272 (firmware 3.03-OE-B+). Très  simple d'utilisation et d'installation une fois les dépendances installées. <|> x272

266 Mot inconnu : dev => Les bibliothèques indiquées pour les dépendances doivent être installées avant, et en version de développement (dev). <|> dev

267 Mot inconnu : feisty => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> feisty
267 Il manque un espace. => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> comment_installer_un_paquet => suggestions : [' comment_installer_un_paquet']
267 Mot inconnu : comment_installer_un_paquet => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> comment_installer_un_paquet
267 Mot inconnu : nasm => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> nasm
267 Mot inconnu : yasm => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> yasm
267 Mot inconnu : libfaac-dev => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> libfaac-dev
267 Mot inconnu : libxvidcore4-dev => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> libxvidcore4-dev
267 Mot inconnu : liba52-0 => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> liba52-0
267 Mot inconnu : dev => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> dev
267 Mot inconnu : libgtk2 => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> libgtk2
267 Mot inconnu : dev => Pour les installer (sous feisty), [[tutoriel:comment_installer_un_paquet|installez les paquets]] **nasm yasm libfaac-dev libxvidcore4-dev liba52-0.7.4-dev libgtk2.0-dev** <|> dev
276 Mot inconnu : install => Note: le script install.sh lance la compilation/installation de ffmpeg qui est empaqueté avec. Ce n'est pas forcément une bonne idée. <|> install
276 Mot inconnu : sh => Note: le script install.sh lance la compilation/installation de ffmpeg qui est empaqueté avec. Ce n'est pas forcément une bonne idée. <|> sh
276 Mot inconnu : ffmpeg => Note: le script install.sh lance la compilation/installation de ffmpeg qui est empaqueté avec. Ce n'est pas forcément une bonne idée. <|> ffmpeg

277 Mot inconnu : repetoire => Vous pouvez juste aller chercher dans le repetoire archives les sources de pspcv, et compiler à partir de là. <|> repetoire
277 Mot inconnu : pspcv => Vous pouvez juste aller chercher dans le repetoire archives les sources de pspcv, et compiler à partir de là. <|> pspcv

284 Guillemets typographiques ouvrants. => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> " => suggestions : ['«\xa0', '“']
284 Mot inconnu : headers => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> headers
284 Guillemets typographiques fermants. => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> " => suggestions : ['\xa0»', '”']
284 Guillemets typographiques ouvrants. => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> " => suggestions : ['«\xa0', '“']
284 Mot inconnu : libgtk2 => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> libgtk2
284 Mot inconnu : dev => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> dev
284 Guillemets typographiques fermants. => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> " => suggestions : ['\xa0»', '”']
284 Guillemets typographiques ouvrants. => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> " => suggestions : ['«\xa0', '“']
284 Mot inconnu : libgtk2 => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> libgtk2
284 Guillemets typographiques fermants. => Si ./configure se termine par un message expliquant qu'il manque une dépendance, alors que vous êtes sûr de bien l'avoir déjà, c'est sûrement qu'il manque la version de développement du paquet (les "headers"). Il vous manquera donc certainement le paquet "libgtk2.0-dev", même si vous êtes sous Gnome et que vous avez déjà tous les paquets gtk 2.0 dont "libgtk2.0". <|> " => suggestions : ['\xa0»', '”']

293 Mot inconnu : WinFF => ==== WinFF ==== <|> winff

294 Mot inconnu : WinFF => WinFF permet de convertir à peu près n'importe quoi dans un format lisible par la PSP. <|> winff
294 Mot inconnu : PSP => WinFF permet de convertir à peu près n'importe quoi dans un format lisible par la PSP. <|> psp

298 Mot inconnu : WinFF => Consultez la page [[WinFF]] pour plus d'informations. <|> winff

300 Mot inconnu : video => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> video
