
3 Mot inconnu : Counter-Strike => ====== Counter-Strike: Source ====== | counter-strike
45 Guillemets typographiques ouvrants. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | " => suggestions : ['«\xa0', '“']
45 Il manque un espace. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | steam => suggestions : [' Steam']
45 Mot inconnu : Steam =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | steam
45 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | ... => suggestions : ['…']
45 Guillemets typographiques fermants. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | " => suggestions : ['\xa0»', '”']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Amis" et décochez toutes les notifications de Sons. |    => suggestions : ['']
46 Guillemets typographiques ouvrants. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Amis" et décochez toutes les notifications de Sons. | " => suggestions : ['«\xa0', '“']
46 Accord de nombre erroné avec “onglet” : “Amis” devrait être au singulier. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Amis" et décochez toutes les notifications de Sons. | amis => suggestions : ['Ami']
46 Guillemets typographiques fermants. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Amis" et décochez toutes les notifications de Sons. | " => suggestions : ['\xa0»', '”']

50 Mot inconnu : Counter => Lancez maintenant le téléchargement de Counter Strike: Source. | counter

51 Guillemets typographiques ouvrants. => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : Counter => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | counter
51 Guillemets typographiques fermants. => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | " => suggestions : ['\xa0»', '”']
51 Guillemets typographiques ouvrants. => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | " => suggestions : ['«\xa0', '“']
51 Guillemets typographiques fermants. => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | " => suggestions : ['\xa0»', '”']
51 Guillemets typographiques ouvrants. => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | " => suggestions : ['«\xa0', '“']
51 Guillemets typographiques fermants. => Une fois téléchargé et installé, faites un clic droit sur le jeu "Counter Strike: Source" sélectionnez "Propriétés" puis "Définir les options de lancement" et copiez-y cette ligne : | " => suggestions : ['\xa0»', '”']

58 Mot inconnu : fullscreen => | ''-fullscreen'' | Jeu en plein écran. | | fullscreen
58 Guillemets typographiques fermants. => | ''-fullscreen'' | Jeu en plein écran. | | '' => suggestions : ['\xa0»', '”']

59 Mot inconnu : width => | ''-width 1280'' | Largeur de 1280 pixels. | | width
59 Guillemets typographiques fermants. => | ''-width 1280'' | Largeur de 1280 pixels. | | '' => suggestions : ['\xa0»', '”']

60 Mot inconnu : height => | ''-height 1024'' | Hauteur de 1024 pixels. | | height
60 Guillemets typographiques fermants. => | ''-height 1024'' | Hauteur de 1024 pixels. | | '' => suggestions : ['\xa0»', '”']

61 Mot inconnu : refresh => | ''-refresh 60'' | Taux de rafraîchissement de 85Hz (ne pas toucher si vous ne connaissez pas le taux de rafraichissement de votre écran). | | refresh
61 Guillemets typographiques fermants. => | ''-refresh 60'' | Taux de rafraîchissement de 85Hz (ne pas toucher si vous ne connaissez pas le taux de rafraichissement de votre écran). | | '' => suggestions : ['\xa0»', '”']
61 Avec une unité de mesure, mettez un espace insécable. => | ''-refresh 60'' | Taux de rafraîchissement de 85Hz (ne pas toucher si vous ne connaissez pas le taux de rafraichissement de votre écran). | | 85hz => suggestions : ['85\xa0Hz']

62 Mot inconnu : dxlevel => | ''-dxlevel 9'' | Version de DirectX qu'utilisera le jeu (ici la version 9). | | dxlevel
62 Guillemets typographiques fermants. => | ''-dxlevel 9'' | Version de DirectX qu'utilisera le jeu (ici la version 9). | | '' => suggestions : ['\xa0»', '”']
62 Mot inconnu : DirectX => | ''-dxlevel 9'' | Version de DirectX qu'utilisera le jeu (ici la version 9). | | directx

63 Guillemets typographiques fermants. => | ''-console'' | Pour avoir la console dans le jeu. | | '' => suggestions : ['\xa0»', '”']

64 Mot inconnu : heapsize => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | heapsize
64 Formatage des grands nombres. => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | 1024000 => suggestions : ['1\xa0024\xa0000']
64 Guillemets typographiques fermants. => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | '' => suggestions : ['\xa0»', '”']
64 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | 1024 mo => suggestions : ['1\xa0024\xa0Mo']
64 Mot inconnu : heapsize => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | heapsize
64 Formatage des grands nombres. => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | 512000 => suggestions : ['512\xa0000']
64 Guillemets typographiques fermants. => | ''-heapsize 1024000'' | La mémoire vive (RAM) allouée au jeu\\ (ici 1024 Mo, si vous avez une petite configuration je vous conseille de mettre « ''-heapsize 512000'' », sans les guillemets). | | '' => suggestions : ['\xa0»', '”']

65 Mot inconnu : map_background => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | map_background
65 Guillemets typographiques fermants. => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | '' => suggestions : ['\xa0»', '”']
65 Guillemets typographiques ouvrants. => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : Maps => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | maps
65 Guillemets typographiques fermants. => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | " => suggestions : ['\xa0»', '”']
65 Mot inconnu : map => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | map
65 Mot inconnu : FPS => | ''+map_background none'' | Ne pas avoir les "Maps Cachées" de la map. Temps de chargement plus long mais bien meilleur FPS. | | fps
66 Guillemets typographiques ouvrants. => | ''"$@"'' | Ne pas enlever si vous utilisez la commande « ''WINEDEBUG=fixme-all wine'' ». | | '' => suggestions : ['«\xa0', '“']
66 Mot inconnu : WINEDEBUG => | ''"$@"'' | Ne pas enlever si vous utilisez la commande « ''WINEDEBUG=fixme-all wine'' ». | | winedebug
66 Mot inconnu : fixme-all => | ''"$@"'' | Ne pas enlever si vous utilisez la commande « ''WINEDEBUG=fixme-all wine'' ». | | fixme-all
66 Mot inconnu : wine => | ''"$@"'' | Ne pas enlever si vous utilisez la commande « ''WINEDEBUG=fixme-all wine'' ». | | wine
66 Guillemets typographiques fermants. => | ''"$@"'' | Ne pas enlever si vous utilisez la commande « ''WINEDEBUG=fixme-all wine'' ». | | '' => suggestions : ['\xa0»', '”']

67 Mot inconnu : Wine => ==== via Wine ==== | wine

69 Mot inconnu : Steam => L'installation, en soi, n'est pas très compliquée. Il suffit de télécharger le jeu via le logiciel [[Steam]]. | steam

82 Mot inconnu : REGEDIT4 => REGEDIT4 | regedit4

84 Mot inconnu : HKEY_CURRENT_USER => [HKEY_CURRENT_USER\Software\Wine\Direct3D] | hkey_current_user
84 Mot inconnu : Wine => [HKEY_CURRENT_USER\Software\Wine\Direct3D] | wine
84 Mot inconnu : Direct3D => [HKEY_CURRENT_USER\Software\Wine\Direct3D] | direct3d

85 Guillemets typographiques ouvrants. => "DirectDrawRenderer"="OpenGL" | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : DirectDrawRenderer => "DirectDrawRenderer"="OpenGL" | directdrawrenderer
85 Guillemets typographiques fermants. => "DirectDrawRenderer"="OpenGL" | " => suggestions : ['\xa0»', '”']
85 Guillemets typographiques ouvrants. => "DirectDrawRenderer"="OpenGL" | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : OpenGL => "DirectDrawRenderer"="OpenGL" | opengl
85 Guillemets typographiques fermants. => "DirectDrawRenderer"="OpenGL" | " => suggestions : ['\xa0»', '”']

86 Guillemets typographiques ouvrants. => "Multisampling"="disabled" | " => suggestions : ['«\xa0', '“']
86 Mot inconnu : Multisampling => "Multisampling"="disabled" | multisampling
86 Guillemets typographiques fermants. => "Multisampling"="disabled" | " => suggestions : ['\xa0»', '”']
86 Guillemets typographiques ouvrants. => "Multisampling"="disabled" | " => suggestions : ['«\xa0', '“']
86 Mot inconnu : disabled => "Multisampling"="disabled" | disabled
86 Guillemets typographiques fermants. => "Multisampling"="disabled" | " => suggestions : ['\xa0»', '”']

87 Guillemets typographiques ouvrants. => "OffscreenRenderingMode"="fbo" | " => suggestions : ['«\xa0', '“']
87 Mot inconnu : OffscreenRenderingMode => "OffscreenRenderingMode"="fbo" | offscreenrenderingmode
87 Guillemets typographiques fermants. => "OffscreenRenderingMode"="fbo" | " => suggestions : ['\xa0»', '”']
87 Guillemets typographiques ouvrants. => "OffscreenRenderingMode"="fbo" | " => suggestions : ['«\xa0', '“']
87 Mot inconnu : fbo => "OffscreenRenderingMode"="fbo" | fbo
87 Guillemets typographiques fermants. => "OffscreenRenderingMode"="fbo" | " => suggestions : ['\xa0»', '”']

88 Guillemets typographiques ouvrants. => "PixelShaderMode"="enabled" | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : PixelShaderMode => "PixelShaderMode"="enabled" | pixelshadermode
88 Guillemets typographiques fermants. => "PixelShaderMode"="enabled" | " => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. => "PixelShaderMode"="enabled" | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : enabled => "PixelShaderMode"="enabled" | enabled
88 Guillemets typographiques fermants. => "PixelShaderMode"="enabled" | " => suggestions : ['\xa0»', '”']

89 Guillemets typographiques ouvrants. => "UseGLSL"="enabled" | " => suggestions : ['«\xa0', '“']
89 Mot inconnu : UseGLSL => "UseGLSL"="enabled" | useglsl
89 Guillemets typographiques fermants. => "UseGLSL"="enabled" | " => suggestions : ['\xa0»', '”']
89 Guillemets typographiques ouvrants. => "UseGLSL"="enabled" | " => suggestions : ['«\xa0', '“']
89 Mot inconnu : enabled => "UseGLSL"="enabled" | enabled
89 Guillemets typographiques fermants. => "UseGLSL"="enabled" | " => suggestions : ['\xa0»', '”']

90 Guillemets typographiques ouvrants. => "VertexShaderMode"="hardware" | " => suggestions : ['«\xa0', '“']
90 Mot inconnu : VertexShaderMode => "VertexShaderMode"="hardware" | vertexshadermode
90 Guillemets typographiques fermants. => "VertexShaderMode"="hardware" | " => suggestions : ['\xa0»', '”']
90 Guillemets typographiques ouvrants. => "VertexShaderMode"="hardware" | " => suggestions : ['«\xa0', '“']
90 Guillemets typographiques fermants. => "VertexShaderMode"="hardware" | " => suggestions : ['\xa0»', '”']

91 Guillemets typographiques ouvrants. => "VideoMemorySize"="xxx" | " => suggestions : ['«\xa0', '“']
91 Mot inconnu : VideoMemorySize => "VideoMemorySize"="xxx" | videomemorysize
91 Guillemets typographiques fermants. => "VideoMemorySize"="xxx" | " => suggestions : ['\xa0»', '”']
91 Guillemets typographiques ouvrants. => "VideoMemorySize"="xxx" | " => suggestions : ['«\xa0', '“']
91 Mot inconnu : xxx => "VideoMemorySize"="xxx" | xxx
91 Guillemets typographiques fermants. => "VideoMemorySize"="xxx" | " => suggestions : ['\xa0»', '”']

95 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | où => suggestions : ['Où']
95 Mot inconnu : xxx => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | xxx
95 Mot inconnu : ram => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | ram
95 Après un point, une majuscule est généralement requise. => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | par => suggestions : ['Par']
95 Mot inconnu : nvidia => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | nvidia
95 Mot inconnu : GTX => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | gtx
95 Mot inconnu : mo => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | mo
95 Mot inconnu : ram => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | ram
95 Mot inconnu : xxx => où xxx est la quantité de ram que possède votre carte graphique. par exemple, si vous avez une nvidia 8800GTX, qui a 768mo de ram, mettez 768 à la place de xxx. | xxx

97 Mot inconnu : UseGLSL => <note>Il est préférable de mettre UseGLSL en "disabled" pour des raisons de performances (framerate quatre à cinq fois plus élevé si désactivé) à moins que vous rencontriez des problèmes une fois désactivé.</note> | useglsl
97 Guillemets typographiques ouvrants. => <note>Il est préférable de mettre UseGLSL en "disabled" pour des raisons de performances (framerate quatre à cinq fois plus élevé si désactivé) à moins que vous rencontriez des problèmes une fois désactivé.</note> | " => suggestions : ['«\xa0', '“']
97 Mot inconnu : disabled => <note>Il est préférable de mettre UseGLSL en "disabled" pour des raisons de performances (framerate quatre à cinq fois plus élevé si désactivé) à moins que vous rencontriez des problèmes une fois désactivé.</note> | disabled
97 Guillemets typographiques fermants. => <note>Il est préférable de mettre UseGLSL en "disabled" pour des raisons de performances (framerate quatre à cinq fois plus élevé si désactivé) à moins que vous rencontriez des problèmes une fois désactivé.</note> | " => suggestions : ['\xa0»', '”']
97 Mot inconnu : framerate => <note>Il est préférable de mettre UseGLSL en "disabled" pour des raisons de performances (framerate quatre à cinq fois plus élevé si désactivé) à moins que vous rencontriez des problèmes une fois désactivé.</note> | framerate
105 Mot inconnu : wine => Voila! vous avez fini de configurer wine! | wine

110 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => dès que le jeu c'est lancé, éteignez le. Vous pourrez dorénavant lancer le jeu normalement via steam. | dès => suggestions : ['Dès']
110 S’il s’agit d’un impératif, mettez un trait d’union. => dès que le jeu c'est lancé, éteignez le. Vous pourrez dorénavant lancer le jeu normalement via steam. | éteignez le => suggestions : ['éteignez-le']
110 Mot inconnu : steam => dès que le jeu c'est lancé, éteignez le. Vous pourrez dorénavant lancer le jeu normalement via steam. | steam

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Mais vous pouvez toujours le lancer directement via cette commande: |   => suggestions : ['']

116 Accord de nombre erroné : « raccourcis » devrait être au singulier. => vous pouvez rajouter à ce raccourcis certains arguments, comme par exemple: | raccourcis => suggestions : ['raccourci']
116 Pléonasme. => vous pouvez rajouter à ce raccourcis certains arguments, comme par exemple: | comme par exemple => suggestions : ['comme', 'par exemple']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -console pour avoir la console dans le jeu |    => suggestions : ['']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 |    => suggestions : ['']
118 Mot inconnu : heapsize =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 | heapsize
118 Mot inconnu : xxx000 =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 | xxx000
118 Mot inconnu : mo =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 | mo
118 Mot inconnu : ram =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 | ram
118 Il manque un espace à côté du tiret. =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 |  - => suggestions : [' – ', ' — ']
118 Mot inconnu : heapsize =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 | heapsize
118 Formatage des grands nombres. =>   * -heapsize xxx000 pour définir l'utilisation mémoire du jeu: par exemple vous voulez qu'il pompe 512mo de vos 1go de ram, vous mettez -heapsize 512000 | 512000 => suggestions : ['512\xa0000']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * refresh xx ou xx est la fréquence de rafraichissement de votre écran (ex 75 pour un écran a 75hz). A ne pas tenter avec un écran plat! |    => suggestions : ['']
119 Mot inconnu : refresh =>   * refresh xx ou xx est la fréquence de rafraichissement de votre écran (ex 75 pour un écran a 75hz). A ne pas tenter avec un écran plat! | refresh
119 Mot inconnu : xx =>   * refresh xx ou xx est la fréquence de rafraichissement de votre écran (ex 75 pour un écran a 75hz). A ne pas tenter avec un écran plat! | xx
119 Mot inconnu : xx =>   * refresh xx ou xx est la fréquence de rafraichissement de votre écran (ex 75 pour un écran a 75hz). A ne pas tenter avec un écran plat! | xx
119 Mot inconnu : hz =>   * refresh xx ou xx est la fréquence de rafraichissement de votre écran (ex 75 pour un écran a 75hz). A ne pas tenter avec un écran plat! | hz
119 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * refresh xx ou xx est la fréquence de rafraichissement de votre écran (ex 75 pour un écran a 75hz). A ne pas tenter avec un écran plat! | a => suggestions : ['À']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -dxlevel 70 pour avoir un meilleur framerate, au prix d'une qualité graphique médiocre |    => suggestions : ['']
120 Mot inconnu : dxlevel =>   * -dxlevel 70 pour avoir un meilleur framerate, au prix d'une qualité graphique médiocre | dxlevel
120 Mot inconnu : framerate =>   * -dxlevel 70 pour avoir un meilleur framerate, au prix d'une qualité graphique médiocre | framerate

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -gl au lieu de -dxlevel 70 pour un bon framerate et une bonne qualité graphique |    => suggestions : ['']
121 Mot inconnu : gl =>   * -gl au lieu de -dxlevel 70 pour un bon framerate et une bonne qualité graphique | gl
121 Il manque un espace à côté du tiret. =>   * -gl au lieu de -dxlevel 70 pour un bon framerate et une bonne qualité graphique |  - => suggestions : [' – ', ' — ']
121 Mot inconnu : dxlevel =>   * -gl au lieu de -dxlevel 70 pour un bon framerate et une bonne qualité graphique | dxlevel
121 Mot inconnu : framerate =>   * -gl au lieu de -dxlevel 70 pour un bon framerate et une bonne qualité graphique | framerate

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 |    => suggestions : ['']
122 Mot inconnu : width =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | width
122 Mot inconnu : xxx =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | xxx
122 Il manque un espace à côté du tiret. =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 |  - => suggestions : [' – ', ' — ']
122 Mot inconnu : height =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | height
122 Mot inconnu : xxx =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | xxx
122 Guillemets typographiques fermants. =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | " => suggestions : ['\xa0»', '”']
122 Mot inconnu : X768 =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | x768
122 Il manque un espace à côté du tiret. =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 |  - => suggestions : [' – ', ' — ']
122 Mot inconnu : width =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | width
122 Il manque un espace à côté du tiret. =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 |  - => suggestions : [' – ', ' — ']
122 Mot inconnu : height =>   * -width xxx -height xxx": résolution en pixels du jeu: par exemple si vous voulez qu'il soit en 1024X768, la commande sera -width 1024 -height 768 | height
124 Mot inconnu : ingame => attention! l'emploi de ces arguments peut faire en sorte que vos réglages //ingame// disparaissent a chaque démarrage! Le mieux reste de ne pas en utiliser et de lancer directement steam: | ingame
124 Mot inconnu : steam => attention! l'emploi de ces arguments peut faire en sorte que vos réglages //ingame// disparaissent a chaque démarrage! Le mieux reste de ne pas en utiliser et de lancer directement steam: | steam

134 Mot inconnu : __ => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | __
134 Guillemets typographiques ouvrants. => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | " => suggestions : ['«\xa0', '“']
134 Mot inconnu : In-game => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | in-game
134 Mot inconnu : Steam => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | steam
134 Mot inconnu : Community => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | community
134 Guillemets typographiques fermants. => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | " => suggestions : ['\xa0»', '”']
134 Mot inconnu : steam => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | steam
134 Mot inconnu : cssource => __**Si le jeu ne se lance pas, désactivez le "In-game Steam Community" dans steam/cssource/propriétés | cssource

136 Mot inconnu : __ => __ | __

141 Espace(s) surnuméraire(s) à supprimer. => ===== Problèmes connus  ===== |    => suggestions : [' ']

145 Mot inconnu : cstrike => /cstrike/resource/SourceScheme.res                                                               | cstrike
145 Mot inconnu : resource => /cstrike/resource/SourceScheme.res                                                               | resource
145 Mot inconnu : SourceScheme => /cstrike/resource/SourceScheme.res                                                               | sourcescheme
145 Mot inconnu : res => /cstrike/resource/SourceScheme.res                                                               | res
145 Espace(s) en fin de ligne à supprimer. => /cstrike/resource/SourceScheme.res                                                               |                                                                => suggestions : ['']
146 Mot inconnu : ConsoleText => * Chercher la ligne : ConsoleText | consoletext
147 Espace(s) surnuméraire(s) à supprimer. => * et chercher en dessous :  "tall"     "10" |    => suggestions : [' ']
147 Guillemets typographiques ouvrants. => * et chercher en dessous :  "tall"     "10" | " => suggestions : ['«\xa0', '“']
147 Mot inconnu : tall => * et chercher en dessous :  "tall"     "10" | tall
147 Guillemets typographiques fermants. => * et chercher en dessous :  "tall"     "10" | " => suggestions : ['\xa0»', '”']
147 Guillemets typographiques ouvrants. => * et chercher en dessous :  "tall"     "10" | " => suggestions : ['«\xa0', '“']
147 Guillemets typographiques fermants. => * et chercher en dessous :  "tall"     "10" | " => suggestions : ['\xa0»', '”']

148 Mot inconnu : Metter => Metter 15 au lieu de 10 et la console sera Fixer. | metter
148 Après “être”, le verbe ne devrait pas être à l’infinitif. => Metter 15 au lieu de 10 et la console sera Fixer. | fixer => suggestions : ['Fixées', 'Fixés', 'Fixé', 'Fixée']

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **vous lancez le jeu et vous avez un message disant «registry is already in use»**: |      => suggestions : ['']
152 Mot inconnu : registry =>     * **vous lancez le jeu et vous avez un message disant «registry is already in use»**: | registry
152 Mot inconnu : is =>     * **vous lancez le jeu et vous avez un message disant «registry is already in use»**: | is
152 Mot inconnu : already =>     * **vous lancez le jeu et vous avez un message disant «registry is already in use»**: | already

153 Mot inconnu : steam => pas de panique, faite juste un clic droit sur cs source dans steam, propriété, fichier locaux, vérifier l’intégrité des fichiers... | steam
153 Typographie : points de suspension. Utilisez le caractère dédié. => pas de panique, faite juste un clic droit sur cs source dans steam, propriété, fichier locaux, vérifier l’intégrité des fichiers... | ... => suggestions : ['…']

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * certaines maps, comme fy_iceworld, freezent le jeu au bout d'un moment. |      => suggestions : ['']
154 Mot inconnu : maps =>     * certaines maps, comme fy_iceworld, freezent le jeu au bout d'un moment. | maps
154 Mot inconnu : fy_iceworld =>     * certaines maps, comme fy_iceworld, freezent le jeu au bout d'un moment. | fy_iceworld
