1 Mot inconnu : Synergy => ====== Synergy ====== | synergy
124 Mot inconnu : synergys => <note>Comme synergys va démarrer dès l'écran de connexion, il ne pourra pas utiliser le fichier ~/.synergy.conf. Assurez-vous donc d'avoir enregistré les paramètres du serveur dans le fichier /etc/synergy.conf.</note> | synergys
124 Mot inconnu : synergy => <note>Comme synergys va démarrer dès l'écran de connexion, il ne pourra pas utiliser le fichier ~/.synergy.conf. Assurez-vous donc d'avoir enregistré les paramètres du serveur dans le fichier /etc/synergy.conf.</note> | synergy

126 Mot inconnu : Synergy => Cette simple ligne devrait permettre à Synergy de démarrer dès l'écran de connexion, puis de continuer à fonctionner une fois l'utilisateur logué. | synergy

128 Mot inconnu : Methode => ==== Methode 2 ==== | methode

134 Mot inconnu : KDE => === Avec KDE 3 (et supérieurs ?) === | kde

143 Mot inconnu : KDM => Cet appel sera opérationnel pour KDM comme pour la session ouverte. | kdm

147 Mot inconnu : Synergy => Si vous utilisez un service graphique pour vous identifier, il est assez simple de lancer automatiquement Synergy. Il suffit d'ajouter un petit script exécutable dans le répertoire « /etc/X11/Xsession.d/ » avec une première ligne spécifiant d'exécuter le script avec bash et une seconde avec la commande que vous voulez exécuter, par exemple pour un client Synergy qui doit se connecter a un serveur a l'adresse 192.168.0.1 le script serait composé de:(n'oubliez pas d'utiliser sudo pour pouvoir écrire dans le dossier ///etc// ou n'importe quel de ses sous-répertoires) | synergy
147 Mot inconnu : bash => Si vous utilisez un service graphique pour vous identifier, il est assez simple de lancer automatiquement Synergy. Il suffit d'ajouter un petit script exécutable dans le répertoire « /etc/X11/Xsession.d/ » avec une première ligne spécifiant d'exécuter le script avec bash et une seconde avec la commande que vous voulez exécuter, par exemple pour un client Synergy qui doit se connecter a un serveur a l'adresse 192.168.0.1 le script serait composé de:(n'oubliez pas d'utiliser sudo pour pouvoir écrire dans le dossier ///etc// ou n'importe quel de ses sous-répertoires) | bash
147 Mot inconnu : Synergy => Si vous utilisez un service graphique pour vous identifier, il est assez simple de lancer automatiquement Synergy. Il suffit d'ajouter un petit script exécutable dans le répertoire « /etc/X11/Xsession.d/ » avec une première ligne spécifiant d'exécuter le script avec bash et une seconde avec la commande que vous voulez exécuter, par exemple pour un client Synergy qui doit se connecter a un serveur a l'adresse 192.168.0.1 le script serait composé de:(n'oubliez pas d'utiliser sudo pour pouvoir écrire dans le dossier ///etc// ou n'importe quel de ses sous-répertoires) | synergy
147 Mot inconnu : sudo => Si vous utilisez un service graphique pour vous identifier, il est assez simple de lancer automatiquement Synergy. Il suffit d'ajouter un petit script exécutable dans le répertoire « /etc/X11/Xsession.d/ » avec une première ligne spécifiant d'exécuter le script avec bash et une seconde avec la commande que vous voulez exécuter, par exemple pour un client Synergy qui doit se connecter a un serveur a l'adresse 192.168.0.1 le script serait composé de:(n'oubliez pas d'utiliser sudo pour pouvoir écrire dans le dossier ///etc// ou n'importe quel de ses sous-répertoires) | sudo

170 Mot inconnu : Synergy => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | synergy
170 Mot inconnu : root => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | root
170 Mot inconnu : synergyc => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | synergyc
170 Mot inconnu : root => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | root
170 Mot inconnu : GDM => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | gdm
170 Mot inconnu : KDM => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | kdm
170 Mot inconnu : root => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | root
170 Mot inconnu : bash => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | bash
170 Mot inconnu : root => Pour que le client Synergy puisse être exécuté par l'utilisateur plutôt que par le root juste après que l'identification est faite, nous devons tuer le processus //synergyc// lancé par le root au même moment que GDM (ou KDM), un processus lancé par le root ne peut être tué que par lui, nous allons donc éditer le fichier ///etc/gdm/PreSession/Default// qui est le dernier script bash exécuté en root avant que l'utilisateur ne prenne la main. Modifier votre ///etc/gdm/PreSession/Default// pour qu'il soit comme ceci : | root
231 Mot inconnu : synergy => Pour un serveur, la méthode reste à peu près la même : il suffit de créer simplement un fichier « 12synergy » dans le répertoire « /etc/X11/Xsession.d/ » contenant : | synergy

240 Mot inconnu : Methode => ==== Methode 3 ==== | methode

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - le premier sert à démarrer synergy en tant que root lorsque le menu de login apparait |    => suggestions : ['']
243 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - le premier sert à démarrer synergy en tant que root lorsque le menu de login apparait |  -  => suggestions : [' – ', ' — ', ' − ']
243 Mot inconnu : synergy =>   - le premier sert à démarrer synergy en tant que root lorsque le menu de login apparait | synergy
243 Mot inconnu : root =>   - le premier sert à démarrer synergy en tant que root lorsque le menu de login apparait | root

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - le second sert à tuer le processus de synergy en tant que root lorsqu'un utilisateur se connecte |    => suggestions : ['']
244 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - le second sert à tuer le processus de synergy en tant que root lorsqu'un utilisateur se connecte |  -  => suggestions : [' – ', ' — ', ' − ']
244 Mot inconnu : synergy =>   - le second sert à tuer le processus de synergy en tant que root lorsqu'un utilisateur se connecte | synergy
244 Mot inconnu : root =>   - le second sert à tuer le processus de synergy en tant que root lorsqu'un utilisateur se connecte | root

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - le troisième sert à redémarrer synergy en tant qu'utilisateur, lorsqu'un utilisateur se connecte |    => suggestions : ['']
245 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - le troisième sert à redémarrer synergy en tant qu'utilisateur, lorsqu'un utilisateur se connecte |  -  => suggestions : [' – ', ' — ', ' − ']
245 Mot inconnu : synergy =>   - le troisième sert à redémarrer synergy en tant qu'utilisateur, lorsqu'un utilisateur se connecte | synergy

249 Formatage des grands nombres. => Si vous utilisez un pare-feu, il est nécessaire d'ouvrir le port 24800 (TCP). La règle IPTable suivante peut être utilisée : | 24800 => suggestions : ['24\xa0800']
249 Mot inconnu : TCP => Si vous utilisez un pare-feu, il est nécessaire d'ouvrir le port 24800 (TCP). La règle IPTable suivante peut être utilisée : | tcp
249 Mot inconnu : IPTable => Si vous utilisez un pare-feu, il est nécessaire d'ouvrir le port 24800 (TCP). La règle IPTable suivante peut être utilisée : | iptable
255 Mot inconnu : eth0 => **$interface** est le nom de votre interface réseau (ex. : eth0). | eth0

260 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . |    => suggestions : ['']
260 Mot inconnu : Synergy =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . | synergy
260 Guillemets typographiques ouvrants. =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . | " => suggestions : ['«\xa0', '“']
260 Mot inconnu : rsync =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . | rsync
260 Guillemets typographiques fermants. =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . | " => suggestions : ['\xa0»', '”']
260 Espace(s) surnuméraire(s) à supprimer. =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . |    => suggestions : [' ']
260 Mot inconnu : tranférer =>   * Maintenant que Synergy est installé et configuré, vous pouvez copier et coller du **texte** entre les machines (PAS DES FICHIERS !! voir "rsync" pour  tranférer des fichiers) . | tranférer

265 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[QuickSynergy]], une interface graphique à Synergy |    => suggestions : ['']
265 Mot inconnu : QuickSynergy =>   * [[QuickSynergy]], une interface graphique à Synergy | quicksynergy
265 Mot inconnu : Synergy =>   * [[QuickSynergy]], une interface graphique à Synergy | synergy

266 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://synergy-foss.org/]] : Site officiel de Synergy |    => suggestions : ['']
266 Mot inconnu : Synergy =>   * [[http://synergy-foss.org/]] : Site officiel de Synergy | synergy

267 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://launchpad.net/synergy2]] : Synergy sur Lauchpad |    => suggestions : ['']
267 Mot inconnu : Synergy =>   * [[https://launchpad.net/synergy2]] : Synergy sur Lauchpad | synergy
267 Mot inconnu : Lauchpad =>   * [[https://launchpad.net/synergy2]] : Synergy sur Lauchpad | lauchpad

268 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://help.ubuntu.com/community/SynergyHowto]] : Documentation Ubuntu en anglais |    => suggestions : ['']
