
6 Mot inconnu : Avidemux => ====== Avidemux ====== | avidemux
166 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Le rédacteur n'a pas d'exemple à proposer mais vous pouvez générer un premier script en enregistrant votre projet. Le projet est enregistré au format javascript, vous pouvez modifier le fichier en vous inspirant des informations indiquées dans le wiki de Avidemux concernant le [[http://www.avidemux.org/admWiki/doku.php?id=tutorial:batch_processing#js_scripting_ecmascript_only_batch_processing|ECMAScript]] ou la rubrique [[http://www.avidemux.org/admWiki/doku.php?id=using:scripting|Scripting]]. |  mais => suggestions : [', mais']
166 Mot inconnu : javascript => Le rédacteur n'a pas d'exemple à proposer mais vous pouvez générer un premier script en enregistrant votre projet. Le projet est enregistré au format javascript, vous pouvez modifier le fichier en vous inspirant des informations indiquées dans le wiki de Avidemux concernant le [[http://www.avidemux.org/admWiki/doku.php?id=tutorial:batch_processing#js_scripting_ecmascript_only_batch_processing|ECMAScript]] ou la rubrique [[http://www.avidemux.org/admWiki/doku.php?id=using:scripting|Scripting]]. | javascript
166 Mot inconnu : Avidemux => Le rédacteur n'a pas d'exemple à proposer mais vous pouvez générer un premier script en enregistrant votre projet. Le projet est enregistré au format javascript, vous pouvez modifier le fichier en vous inspirant des informations indiquées dans le wiki de Avidemux concernant le [[http://www.avidemux.org/admWiki/doku.php?id=tutorial:batch_processing#js_scripting_ecmascript_only_batch_processing|ECMAScript]] ou la rubrique [[http://www.avidemux.org/admWiki/doku.php?id=using:scripting|Scripting]]. | avidemux
166 Mot inconnu : batch_processing => Le rédacteur n'a pas d'exemple à proposer mais vous pouvez générer un premier script en enregistrant votre projet. Le projet est enregistré au format javascript, vous pouvez modifier le fichier en vous inspirant des informations indiquées dans le wiki de Avidemux concernant le [[http://www.avidemux.org/admWiki/doku.php?id=tutorial:batch_processing#js_scripting_ecmascript_only_batch_processing|ECMAScript]] ou la rubrique [[http://www.avidemux.org/admWiki/doku.php?id=using:scripting|Scripting]]. | batch_processing
166 Mot inconnu : scripting => Le rédacteur n'a pas d'exemple à proposer mais vous pouvez générer un premier script en enregistrant votre projet. Le projet est enregistré au format javascript, vous pouvez modifier le fichier en vous inspirant des informations indiquées dans le wiki de Avidemux concernant le [[http://www.avidemux.org/admWiki/doku.php?id=tutorial:batch_processing#js_scripting_ecmascript_only_batch_processing|ECMAScript]] ou la rubrique [[http://www.avidemux.org/admWiki/doku.php?id=using:scripting|Scripting]]. | scripting

170 Mot inconnu : Avidemux => <note importante>Avidemux peut s'avérer instable avec certaines vidéos et certains formats comme le FLV pendant l'encodage</note> | avidemux
170 Mot inconnu : FLV => <note importante>Avidemux peut s'avérer instable avec certaines vidéos et certains formats comme le FLV pendant l'encodage</note> | flv

173 Mot inconnu : Edition => Allez dans Edition - Préférences - Audio | edition
173 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Allez dans Edition - Préférences - Audio |  -  => suggestions : [' – ', ' — ', ' − ']
173 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Allez dans Edition - Préférences - Audio |  -  => suggestions : [' – ', ' — ', ' − ']

174 Mot inconnu : SDL => et essayez de changer le périphérique de sortie par SDL ou Pulse Audio | sdl

178 Mot inconnu : Edition => Si lors de la lecture le son est haché, vous entendez des craquements ou après encodage vous vous apercevez que le son se décale au fur et à mesure de la lecture sur la vidéo finale, il faut comme précédemment aller dans Edition - Préférences - Audio et essayer de changer le périphérique de sortie. Essayez les différents périphériques jusqu'à ce que le problème soit réglé. | edition
178 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Si lors de la lecture le son est haché, vous entendez des craquements ou après encodage vous vous apercevez que le son se décale au fur et à mesure de la lecture sur la vidéo finale, il faut comme précédemment aller dans Edition - Préférences - Audio et essayer de changer le périphérique de sortie. Essayez les différents périphériques jusqu'à ce que le problème soit réglé. |  -  => suggestions : [' – ', ' — ', ' − ']
178 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Si lors de la lecture le son est haché, vous entendez des craquements ou après encodage vous vous apercevez que le son se décale au fur et à mesure de la lecture sur la vidéo finale, il faut comme précédemment aller dans Edition - Préférences - Audio et essayer de changer le périphérique de sortie. Essayez les différents périphériques jusqu'à ce que le problème soit réglé. |  -  => suggestions : [' – ', ' — ', ' − ']

183 Mot inconnu : GB => ==== Problèmes de coupure de fichier à 4GB  ==== | gb
183 Espace(s) surnuméraire(s) à supprimer. => ==== Problèmes de coupure de fichier à 4GB  ==== |    => suggestions : [' ']

185 Guillemets typographiques ouvrants. => Pour résoudre ce problème, cochez la case "Créer des fichiers openDML" dans  "Éditions/Préférences/Sortie" | " => suggestions : ['«\xa0', '“']
185 Mot inconnu : openDML => Pour résoudre ce problème, cochez la case "Créer des fichiers openDML" dans  "Éditions/Préférences/Sortie" | opendml
185 Guillemets typographiques fermants. => Pour résoudre ce problème, cochez la case "Créer des fichiers openDML" dans  "Éditions/Préférences/Sortie" | " => suggestions : ['\xa0»', '”']
185 Espace(s) surnuméraire(s) à supprimer. => Pour résoudre ce problème, cochez la case "Créer des fichiers openDML" dans  "Éditions/Préférences/Sortie" |    => suggestions : [' ']
185 Guillemets typographiques ouvrants. => Pour résoudre ce problème, cochez la case "Créer des fichiers openDML" dans  "Éditions/Préférences/Sortie" | " => suggestions : ['«\xa0', '“']
185 Guillemets typographiques fermants. => Pour résoudre ce problème, cochez la case "Créer des fichiers openDML" dans  "Éditions/Préférences/Sortie" | " => suggestions : ['\xa0»', '”']
205 Mot inconnu : Bellegarde => //Contributeurs : [[utilisateurs:Kmeleon]], [[utilisateurs:laurentb|Laurent Bellegarde]], [[utilisateurs:ZondeR]] - Relu par [[http://www.avidemux.org/|Mean]] et [[utilisateurs:KaoT]]// | bellegarde
205 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => //Contributeurs : [[utilisateurs:Kmeleon]], [[utilisateurs:laurentb|Laurent Bellegarde]], [[utilisateurs:ZondeR]] - Relu par [[http://www.avidemux.org/|Mean]] et [[utilisateurs:KaoT]]// |  -  => suggestions : [' – ', ' — ', ' − ']
