
5 Mot inconnu : Wakeonlan => ====== Wakeonlan : démarrer un ordinateur à distance ====== | wakeonlan
105 Mot inconnu : etherwake => Contrairement à **wakeonlan**, le paquet **etherwake** ne permet pas de démarrer un pc en passant par internet. Nous installerons donc **wakeonlan** disponible dans le dépôt universe. | etherwake
105 Mot inconnu : wakeonlan => Contrairement à **wakeonlan**, le paquet **etherwake** ne permet pas de démarrer un pc en passant par internet. Nous installerons donc **wakeonlan** disponible dans le dépôt universe. | wakeonlan
105 Mot inconnu : universe => Contrairement à **wakeonlan**, le paquet **etherwake** ne permet pas de démarrer un pc en passant par internet. Nous installerons donc **wakeonlan** disponible dans le dépôt universe. | universe

109 Mot inconnu : GWakeOnLan => Il existe une interface graphique nommée GWakeOnLan permettant de gérer une liste de machine à réveiller. | gwakeonlan

112 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - [[http://fr.congelli.eu/prog_info_c501wakeonlan.html|C501 Wake On Lan]] ; | -  => suggestions : ['—\xa0', '–\xa0']
112 Mot inconnu : C501 => - [[http://fr.congelli.eu/prog_info_c501wakeonlan.html|C501 Wake On Lan]] ; | c501
112 Mot inconnu : Wake => - [[http://fr.congelli.eu/prog_info_c501wakeonlan.html|C501 Wake On Lan]] ; | wake
112 Mot inconnu : Lan => - [[http://fr.congelli.eu/prog_info_c501wakeonlan.html|C501 Wake On Lan]] ; | lan

113 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2748926#p2748926|Scription d'activation et installation de WOL]]. | -  => suggestions : ['—\xa0', '–\xa0']
113 Mot inconnu : Scription => - [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2748926#p2748926|Scription d'activation et installation de WOL]]. | scription
113 Mot inconnu : WOL => - [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2748926#p2748926|Scription d'activation et installation de WOL]]. | wol

119 Mot inconnu : etherwake => Si cela ne fonctionne pas alors que cela fonctionne avec etherwake, essayez de renseigner **l'adresse de Broadcast**  de votre réseau grâce à l'option **//-i//**. Le [[http://www.isiweb.org/outils/ipcalc.php|calculateur d'adresse IP d'isiweb.org]] pourrait vous aider à déterminer la bonne adresse (dans cet exemple : 192.168.0.255) : | etherwake
119 Mot inconnu : Broadcast => Si cela ne fonctionne pas alors que cela fonctionne avec etherwake, essayez de renseigner **l'adresse de Broadcast**  de votre réseau grâce à l'option **//-i//**. Le [[http://www.isiweb.org/outils/ipcalc.php|calculateur d'adresse IP d'isiweb.org]] pourrait vous aider à déterminer la bonne adresse (dans cet exemple : 192.168.0.255) : | broadcast
119 Mot inconnu : isiweb => Si cela ne fonctionne pas alors que cela fonctionne avec etherwake, essayez de renseigner **l'adresse de Broadcast**  de votre réseau grâce à l'option **//-i//**. Le [[http://www.isiweb.org/outils/ipcalc.php|calculateur d'adresse IP d'isiweb.org]] pourrait vous aider à déterminer la bonne adresse (dans cet exemple : 192.168.0.255) : | isiweb

122 Mot inconnu : hostip => Pour réveiller une machine en passant par internet, exécutez la commande suivante dans un terminal, en remplaçant l'adresse IP par votre IP publique, visible sur [[https://www.hostip.fr/|hostip.fr]] et l'adresse MAC par celle du poste à démarrer : | hostip

125 Mot inconnu : lan => Pour démarrer **plusieurs stations sur le lan**, exécutez la commande suivante dans un terminal en séparant les adresses mac par des espaces : | lan

133 Mot inconnu : WOL => ===== Tester le WOL à travers internet ===== | wol

135 Mot inconnu : packet => Il peut être intéressant pour tester son installation de se faire envoyer un **packet magique** depuis internet,notamment si l'ordinateur que l'on souhaite réveiller est derrière un routeur. | packet
135 Il manque un espace. => Il peut être intéressant pour tester son installation de se faire envoyer un **packet magique** depuis internet,notamment si l'ordinateur que l'on souhaite réveiller est derrière un routeur. | notamment => suggestions : [' notamment']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La première solution qui vient à l'esprit est de téléphoner à un ami distant de quelques kilomètres, disponible et connecté à Internet ; cela n'est pas toujours facile. |    => suggestions : ['']
137 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La première solution qui vient à l'esprit est de téléphoner à un ami distant de quelques kilomètres, disponible et connecté à Internet ; cela n'est pas toujours facile. |  -  => suggestions : [' – ', ' — ', ' − ']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - L'autre solution est de réaliser **un script PHP** que l'on télécharge sur les pages perso de son Fournisseur d'accès préféré. Il suffit ensuite de lancer ce script à l'aide de n'importe quel navigateur web. Vous devez également rediriger le port 9 (ou autre) en UDP vers votre ordinateur à partir de votre routeur. |    => suggestions : ['']
138 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - L'autre solution est de réaliser **un script PHP** que l'on télécharge sur les pages perso de son Fournisseur d'accès préféré. Il suffit ensuite de lancer ce script à l'aide de n'importe quel navigateur web. Vous devez également rediriger le port 9 (ou autre) en UDP vers votre ordinateur à partir de votre routeur. |  -  => suggestions : [' – ', ' — ', ' − ']
138 Mot inconnu : UDP =>   - L'autre solution est de réaliser **un script PHP** que l'on télécharge sur les pages perso de son Fournisseur d'accès préféré. Il suffit ensuite de lancer ce script à l'aide de n'importe quel navigateur web. Vous devez également rediriger le port 9 (ou autre) en UDP vers votre ordinateur à partir de votre routeur. | udp

143 Mot inconnu : eth0 => **eth0** étant le nom de votre interface réseau. Il faut que **[[apt>tcpdump]]** soit installé. | eth0
143 Mot inconnu : tcpdump => **eth0** étant le nom de votre interface réseau. Il faut que **[[apt>tcpdump]]** soit installé. | tcpdump

209 Mot inconnu : Wake => ===== Types de Wake On Lan ===== | wake
209 Mot inconnu : Lan => ===== Types de Wake On Lan ===== | lan

211 Mot inconnu : WOL => Selon votre besoin parfois il est utile d'utiliser la fonctionnalité du WOL sans le paquet magique. pour cela il y a différentes variables. | wol
211 Après un point, une majuscule est généralement requise. => Selon votre besoin parfois il est utile d'utiliser la fonctionnalité du WOL sans le paquet magique. pour cela il y a différentes variables. | pour => suggestions : ['Pour']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               p  Réveil dès moindre activité physique |                => suggestions : ['']
214 Espace(s) surnuméraire(s) à supprimer. =>               p  Réveil dès moindre activité physique |    => suggestions : [' ']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               u  Réveil dès réception d'un message unicast |                => suggestions : ['']
215 Espace(s) surnuméraire(s) à supprimer. =>               u  Réveil dès réception d'un message unicast |    => suggestions : [' ']
215 Mot inconnu : unicast =>               u  Réveil dès réception d'un message unicast | unicast

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               m  Réveil dès réception d'un message multicast |                => suggestions : ['']
216 Espace(s) surnuméraire(s) à supprimer. =>               m  Réveil dès réception d'un message multicast |    => suggestions : [' ']
216 Mot inconnu : multicast =>               m  Réveil dès réception d'un message multicast | multicast

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               b  Réveil dès réception d'un message broadcast |                => suggestions : ['']
217 Espace(s) surnuméraire(s) à supprimer. =>               b  Réveil dès réception d'un message broadcast |    => suggestions : [' ']
217 Mot inconnu : broadcast =>               b  Réveil dès réception d'un message broadcast | broadcast

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               a  Réveil dès réception d'un ARP |                => suggestions : ['']
218 Espace(s) surnuméraire(s) à supprimer. =>               a  Réveil dès réception d'un ARP |    => suggestions : [' ']
218 Mot inconnu : ARP =>               a  Réveil dès réception d'un ARP | arp

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               g  Réveil dès réception d'un MagicPacket(tm) |                => suggestions : ['']
219 Espace(s) surnuméraire(s) à supprimer. =>               g  Réveil dès réception d'un MagicPacket(tm) |    => suggestions : [' ']
219 Mot inconnu : MagicPacket =>               g  Réveil dès réception d'un MagicPacket(tm) | magicpacket
219 Mot inconnu : tm =>               g  Réveil dès réception d'un MagicPacket(tm) | tm

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               s  Réveil dès réception d'un message SecureOn(tm) (mot de passe) pour MagicPacket(tm) |                => suggestions : ['']
220 Espace(s) surnuméraire(s) à supprimer. =>               s  Réveil dès réception d'un message SecureOn(tm) (mot de passe) pour MagicPacket(tm) |    => suggestions : [' ']
220 Mot inconnu : SecureOn =>               s  Réveil dès réception d'un message SecureOn(tm) (mot de passe) pour MagicPacket(tm) | secureon
220 Mot inconnu : tm =>               s  Réveil dès réception d'un message SecureOn(tm) (mot de passe) pour MagicPacket(tm) | tm
220 Mot inconnu : MagicPacket =>               s  Réveil dès réception d'un message SecureOn(tm) (mot de passe) pour MagicPacket(tm) | magicpacket
220 Mot inconnu : tm =>               s  Réveil dès réception d'un message SecureOn(tm) (mot de passe) pour MagicPacket(tm) | tm

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               d  Désactiver |                => suggestions : ['']
221 Espace(s) surnuméraire(s) à supprimer. =>               d  Désactiver |    => suggestions : [' ']

223 Mot inconnu : WOL => ===== Désactiver le WOL ===== | wol

224 Mot inconnu : WOL => On peut vouloir désactiver le WOL pour des raisons de sécurité ou plus généralement pour éviter de consommer de l'énergie sur un appareil mobile par exemple. Par défaut les systèmes récent l'activent. la commande powertop (paquet powertop) rappelle qu'il vaut mieux le désactiver pour réduire la consommation électrique de la carte réseau). | wol
224 Accord de nombre erroné avec « les systèmes » : « récent » devrait être au pluriel. => On peut vouloir désactiver le WOL pour des raisons de sécurité ou plus généralement pour éviter de consommer de l'énergie sur un appareil mobile par exemple. Par défaut les systèmes récent l'activent. la commande powertop (paquet powertop) rappelle qu'il vaut mieux le désactiver pour réduire la consommation électrique de la carte réseau). | récent => suggestions : ['récents']
224 Après un point, une majuscule est généralement requise. => On peut vouloir désactiver le WOL pour des raisons de sécurité ou plus généralement pour éviter de consommer de l'énergie sur un appareil mobile par exemple. Par défaut les systèmes récent l'activent. la commande powertop (paquet powertop) rappelle qu'il vaut mieux le désactiver pour réduire la consommation électrique de la carte réseau). | la => suggestions : ['La']
224 Mot inconnu : powertop => On peut vouloir désactiver le WOL pour des raisons de sécurité ou plus généralement pour éviter de consommer de l'énergie sur un appareil mobile par exemple. Par défaut les systèmes récent l'activent. la commande powertop (paquet powertop) rappelle qu'il vaut mieux le désactiver pour réduire la consommation électrique de la carte réseau). | powertop
224 Mot inconnu : powertop => On peut vouloir désactiver le WOL pour des raisons de sécurité ou plus généralement pour éviter de consommer de l'énergie sur un appareil mobile par exemple. Par défaut les systèmes récent l'activent. la commande powertop (paquet powertop) rappelle qu'il vaut mieux le désactiver pour réduire la consommation électrique de la carte réseau). | powertop

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikipedia.org/wiki/Wake-on-LAN|Le Wake-on-Lan sur Wikipedia]] ; |    => suggestions : ['']
233 Mot inconnu : Wake-on-Lan =>   * [[https://fr.wikipedia.org/wiki/Wake-on-LAN|Le Wake-on-Lan sur Wikipedia]] ; | wake-on-lan
233 Mot inconnu : Wikipedia =>   * [[https://fr.wikipedia.org/wiki/Wake-on-LAN|Le Wake-on-Lan sur Wikipedia]] ; | wikipedia

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://lists.us.dell.com/pipermail/linux-poweredge/2007-December/034000.html |Web de Dell]] ; |    => suggestions : ['']

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://play.google.com/store/apps/details?id=com.benfinnigan.wol&feature=search_result|Application Wake On Lan sur Android]]. |    => suggestions : ['']
235 Mot inconnu : Wake =>   * [[https://play.google.com/store/apps/details?id=com.benfinnigan.wol&feature=search_result|Application Wake On Lan sur Android]]. | wake
235 Mot inconnu : Lan =>   * [[https://play.google.com/store/apps/details?id=com.benfinnigan.wol&feature=search_result|Application Wake On Lan sur Android]]. | lan
