
5 Mot inconnu : OBS => ====== OBS + Discord Guide "Facile" Partage écran ====== | obs
236 Guillemets typographiques ouvrants. => rechercher "attente" , "passez à la scene <Ctrl pavé numérique 1> (si vous n'avez pas de pavez numérique démerdez vous.) | " => suggestions : ['«\xa0', '“']
236 Guillemets typographiques fermants. => rechercher "attente" , "passez à la scene <Ctrl pavé numérique 1> (si vous n'avez pas de pavez numérique démerdez vous.) | " => suggestions : ['\xa0»', '”']
236 Pas d’espace avant une virgule. => rechercher "attente" , "passez à la scene <Ctrl pavé numérique 1> (si vous n'avez pas de pavez numérique démerdez vous.) |  , => suggestions : [',']
236 Guillemets typographiques ouvrants. => rechercher "attente" , "passez à la scene <Ctrl pavé numérique 1> (si vous n'avez pas de pavez numérique démerdez vous.) | " => suggestions : ['«\xa0', '“']
236 Mot inconnu : scene => rechercher "attente" , "passez à la scene <Ctrl pavé numérique 1> (si vous n'avez pas de pavez numérique démerdez vous.) | scene
236 Incohérence avec “de” : “pavez” est une forme verbale conjuguée. => rechercher "attente" , "passez à la scene <Ctrl pavé numérique 1> (si vous n'avez pas de pavez numérique démerdez vous.) | pavez => suggestions : ['pavés', 'pavé']

240 Guillemets typographiques ouvrants. => "Craft" "passer à la scène" <Ctrl pavé numérique 2> | " => suggestions : ['«\xa0', '“']
240 Mot inconnu : Craft => "Craft" "passer à la scène" <Ctrl pavé numérique 2> | craft
240 Guillemets typographiques fermants. => "Craft" "passer à la scène" <Ctrl pavé numérique 2> | " => suggestions : ['\xa0»', '”']
240 Guillemets typographiques ouvrants. => "Craft" "passer à la scène" <Ctrl pavé numérique 2> | " => suggestions : ['«\xa0', '“']
240 Guillemets typographiques fermants. => "Craft" "passer à la scène" <Ctrl pavé numérique 2> | " => suggestions : ['\xa0»', '”']

243 Guillemets typographiques ouvrants. => "Cam" "afficher la webcam" / "cacher la webcam" < Ctrl pavé numérique 4> | " => suggestions : ['«\xa0', '“']
243 Guillemets typographiques fermants. => "Cam" "afficher la webcam" / "cacher la webcam" < Ctrl pavé numérique 4> | " => suggestions : ['\xa0»', '”']
243 Guillemets typographiques ouvrants. => "Cam" "afficher la webcam" / "cacher la webcam" < Ctrl pavé numérique 4> | " => suggestions : ['«\xa0', '“']
243 Guillemets typographiques fermants. => "Cam" "afficher la webcam" / "cacher la webcam" < Ctrl pavé numérique 4> | " => suggestions : ['\xa0»', '”']
243 Guillemets typographiques ouvrants. => "Cam" "afficher la webcam" / "cacher la webcam" < Ctrl pavé numérique 4> | " => suggestions : ['«\xa0', '“']
243 Guillemets typographiques fermants. => "Cam" "afficher la webcam" / "cacher la webcam" < Ctrl pavé numérique 4> | " => suggestions : ['\xa0»', '”']

249 S’il s’agit d’une action que le sujet doit accomplir, le verbe devrait être à l’infinitif. => (il est possible que vous deviez crée un nouveau groupe pour géré indépendamment les camera sur chaque scène, pensez a y ajouter un raccourci clavier pour coupé la camera en cas de besoin) | crée => suggestions : ['créer']
249 Après la préposition “pour”, le verbe devrait être à l’infinitif. => (il est possible que vous deviez crée un nouveau groupe pour géré indépendamment les camera sur chaque scène, pensez a y ajouter un raccourci clavier pour coupé la camera en cas de besoin) | géré => suggestions : ['gérer']

253 Espace(s) en fin de ligne à supprimer. => Appliquez, validez,  |   => suggestions : ['']

257 Mot inconnu : resultat => === Ouvrir le resultat final === | resultat

258 Pas d’espace avant une virgule. => Clic droit sur l’écran, projecteur d'aperçu fenêtre , agrandissez cette fenêtre. |  , => suggestions : [',']

262 Élision de l’article devant un mot commençant par une voyelle. => Vous pouvez ajouter une capture fenêtre de audacious , cela ajoute un petit quelque chose qui bouge dans un coin de l'image. Facultatif mais sympa. | de  => suggestions : ['d’']
262 Mot inconnu : audacious => Vous pouvez ajouter une capture fenêtre de audacious , cela ajoute un petit quelque chose qui bouge dans un coin de l'image. Facultatif mais sympa. | audacious
262 Pas d’espace avant une virgule. => Vous pouvez ajouter une capture fenêtre de audacious , cela ajoute un petit quelque chose qui bouge dans un coin de l'image. Facultatif mais sympa. |  , => suggestions : [',']

269 Espace(s) en fin de ligne à supprimer. => ==== Discord ====  |   => suggestions : ['']

270 Mot inconnu : video => Discord > paramètre > voix et video. | video

278 Conjugaison erronée. Avec le pronom “se”, le verbe ne peut être à la 2ᵉ personne du pluriel. => Se placez dans un canal vocal. | placez => suggestions : ['placer']

280 Guillemets typographiques ouvrants. => lancé un partage écran, sélectionnez "fenêtre" et partagez votre projecteur d'aperçu fenêtre. | " => suggestions : ['«\xa0', '“']
280 Guillemets typographiques fermants. => lancé un partage écran, sélectionnez "fenêtre" et partagez votre projecteur d'aperçu fenêtre. | " => suggestions : ['\xa0»', '”']

284 Mot inconnu : OBS => <note important>Exemple de résultat OBS</note> | obs

288 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl 1  =  craft |    => suggestions : ['']
288 Espace(s) surnuméraire(s) à supprimer. =>   * Ctrl 1  =  craft |    => suggestions : [' ']
288 Mot inconnu : craft =>   * Ctrl 1  =  craft | craft

289 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl 2 = Attente |    => suggestions : ['']

291 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl 4 coupera la camera de craft |    => suggestions : ['']
291 Mot inconnu : craft =>   * Ctrl 4 coupera la camera de craft | craft

292 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl 5 celle de attente. (ou la rallumera) |    => suggestions : ['']
292 Élision de l’article devant un mot commençant par une voyelle. =>   * Ctrl 5 celle de attente. (ou la rallumera) | de  => suggestions : ['d’']

296 Mot inconnu : twitch => ===== diffusion via twitch avec contrôle du tchat avec hexchat ==== | twitch
296 Mot inconnu : hexchat => ===== diffusion via twitch avec contrôle du tchat avec hexchat ==== | hexchat

298 Mot inconnu : soon => (soon)  | soon
298 Espace(s) en fin de ligne à supprimer. => (soon)  |   => suggestions : ['']

300 Mot inconnu : see => see : https://hexchat.readthedocs.io/en/latest/tips.html#twitch | see

308 Il manque un espace. => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] Dae#5125 (discord) | daebis => suggestions : [' daebis']
308 Mot inconnu : Daebis => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] Dae#5125 (discord) | daebis
308 Mot inconnu : Dae => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] Dae#5125 (discord) | dae
308 Mot inconnu : Dae => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] Dae#5125 (discord) | dae
