
3 Mot inconnu : rEFInd => ====== rEFInd ====== | refind
85 Espace(s) en fin de ligne à supprimer. =>   - Si l'ordinateur propose le choix des fichiers de boot, c'est le fichier standard **EFI\boot\grubx64.efi** de la partition FAT32 de la clé usb. La liste des fichiers est présentée très classiquement par leurs icônes.  |   => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). |    => suggestions : ['']
86 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). |  -  => suggestions : [' – ', ' — ', ' − ']
86 Mot inconnu : EFI =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). | efi
86 Mot inconnu : BOOT =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). | boot
86 Mot inconnu : grubx64 =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). | grubx64
86 Mot inconnu : efi =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). | efi
86 Mot inconnu : FAT32 =>   - Choisissez le manchot de l'extrême droite (fichier **EFI\BOOT\grubx64.efi** de la partition FAT32 de la clé USB). | fat32

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Le menu classique qui permet le choix d'essayer ou d'installer s'affiche. Lorsque les essais sont faits et que l'installation est terminée, il faut installer l'application **rEFInd** sur l'ordinateur à partir de cette clé USB d'installation. Pour cela, il est nécessaire de faire les actions suivantes : |    => suggestions : ['']
87 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Le menu classique qui permet le choix d'essayer ou d'installer s'affiche. Lorsque les essais sont faits et que l'installation est terminée, il faut installer l'application **rEFInd** sur l'ordinateur à partir de cette clé USB d'installation. Pour cela, il est nécessaire de faire les actions suivantes : |  -  => suggestions : [' – ', ' — ', ' − ']
87 Mot inconnu : rEFInd =>   - Le menu classique qui permet le choix d'essayer ou d'installer s'affiche. Lorsque les essais sont faits et que l'installation est terminée, il faut installer l'application **rEFInd** sur l'ordinateur à partir de cette clé USB d'installation. Pour cela, il est nécessaire de faire les actions suivantes : | refind

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Identifiez la clé d'installation avec la commande <code bash>mount | grep media</code> |    => suggestions : ['']
88 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Identifiez la clé d'installation avec la commande <code bash>mount | grep media</code> |  -  => suggestions : [' – ', ' — ', ' − ']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez où est la partition %%EFI%% du (des) disque(s) dur(s) via la commande <code bash>sudo blkid | grep vfat</code> |    => suggestions : ['']
89 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez où est la partition %%EFI%% du (des) disque(s) dur(s) via la commande <code bash>sudo blkid | grep vfat</code> |  -  => suggestions : [' – ', ' — ', ' − ']
89 Il manque un espace. =>   - Vérifiez où est la partition %%EFI%% du (des) disque(s) dur(s) via la commande <code bash>sudo blkid | grep vfat</code> | efi => suggestions : [' EFI']
89 Mot inconnu : EFI =>   - Vérifiez où est la partition %%EFI%% du (des) disque(s) dur(s) via la commande <code bash>sudo blkid | grep vfat</code> | efi
89 Écriture invariable. Utilisez un point médian. =>   - Vérifiez où est la partition %%EFI%% du (des) disque(s) dur(s) via la commande <code bash>sudo blkid | grep vfat</code> | disque(s) => suggestions : ['disque·s']
89 Écriture invariable. Utilisez un point médian. =>   - Vérifiez où est la partition %%EFI%% du (des) disque(s) dur(s) via la commande <code bash>sudo blkid | grep vfat</code> | dur(s) => suggestions : ['dur·s']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Montez une partition %%EFI%% d'un disque dur dans le répertoire /mnt.<code bash>sudo mount -v /dev/sdXN /mnt</code> |    => suggestions : ['']
90 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Montez une partition %%EFI%% d'un disque dur dans le répertoire /mnt.<code bash>sudo mount -v /dev/sdXN /mnt</code> |  -  => suggestions : [' – ', ' — ', ' − ']
90 Il manque un espace. =>   - Montez une partition %%EFI%% d'un disque dur dans le répertoire /mnt.<code bash>sudo mount -v /dev/sdXN /mnt</code> | efi => suggestions : [' EFI']
90 Mot inconnu : EFI =>   - Montez une partition %%EFI%% d'un disque dur dans le répertoire /mnt.<code bash>sudo mount -v /dev/sdXN /mnt</code> | efi
90 Il manque un espace à côté du tiret. =>   - Montez une partition %%EFI%% d'un disque dur dans le répertoire /mnt.<code bash>sudo mount -v /dev/sdXN /mnt</code> |  - => suggestions : [' – ', ' — ']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si besoin, créez le répertoire de réception avec une commande de ce style <code bash>sudo mkdir -p /mnt/EFI/REPERTOIRE</code> Le nom peut être Refind ou Boot ou Microsoft/Boot suivant le besoin. |    => suggestions : ['']
91 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si besoin, créez le répertoire de réception avec une commande de ce style <code bash>sudo mkdir -p /mnt/EFI/REPERTOIRE</code> Le nom peut être Refind ou Boot ou Microsoft/Boot suivant le besoin. |  -  => suggestions : [' – ', ' — ', ' − ']
91 Il manque un espace à côté du tiret. =>   - Si besoin, créez le répertoire de réception avec une commande de ce style <code bash>sudo mkdir -p /mnt/EFI/REPERTOIRE</code> Le nom peut être Refind ou Boot ou Microsoft/Boot suivant le besoin. |  - => suggestions : [' – ', ' — ']
91 Mot inconnu : Refind =>   - Si besoin, créez le répertoire de réception avec une commande de ce style <code bash>sudo mkdir -p /mnt/EFI/REPERTOIRE</code> Le nom peut être Refind ou Boot ou Microsoft/Boot suivant le besoin. | refind
91 Mot inconnu : Boot =>   - Si besoin, créez le répertoire de réception avec une commande de ce style <code bash>sudo mkdir -p /mnt/EFI/REPERTOIRE</code> Le nom peut être Refind ou Boot ou Microsoft/Boot suivant le besoin. | boot

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Copiez l'application de la clé USB dans la partition ESP via une commande de ce style <code bash>sudo cp -Rv /media/ubuntu/XXXX-XXXX/EFI/BOOT/* /mnt/EFI/REPERTOIRE</code> |    => suggestions : ['']
92 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Copiez l'application de la clé USB dans la partition ESP via une commande de ce style <code bash>sudo cp -Rv /media/ubuntu/XXXX-XXXX/EFI/BOOT/* /mnt/EFI/REPERTOIRE</code> |  -  => suggestions : [' – ', ' — ', ' − ']
92 Mot inconnu : ESP =>   - Copiez l'application de la clé USB dans la partition ESP via une commande de ce style <code bash>sudo cp -Rv /media/ubuntu/XXXX-XXXX/EFI/BOOT/* /mnt/EFI/REPERTOIRE</code> | esp
92 Il manque un espace à côté du tiret. =>   - Copiez l'application de la clé USB dans la partition ESP via une commande de ce style <code bash>sudo cp -Rv /media/ubuntu/XXXX-XXXX/EFI/BOOT/* /mnt/EFI/REPERTOIRE</code> |  - => suggestions : [' – ', ' — ']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fabriquez l'entrée de boot %%EFI%% via une commande de ce style <code bash>sudo efibootmgr --create --disk /dev/sdX --part N --label "Mettre le nom voulu" --loader "\EFI\REPERTOIRE\grubx64.efi"</code> |    => suggestions : ['']
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fabriquez l'entrée de boot %%EFI%% via une commande de ce style <code bash>sudo efibootmgr --create --disk /dev/sdX --part N --label "Mettre le nom voulu" --loader "\EFI\REPERTOIRE\grubx64.efi"</code> |  -  => suggestions : [' – ', ' — ', ' − ']
93 Il manque un espace. =>   - Fabriquez l'entrée de boot %%EFI%% via une commande de ce style <code bash>sudo efibootmgr --create --disk /dev/sdX --part N --label "Mettre le nom voulu" --loader "\EFI\REPERTOIRE\grubx64.efi"</code> | efi => suggestions : [' EFI']
93 Guillemets typographiques ouvrants. =>   - Fabriquez l'entrée de boot %%EFI%% via une commande de ce style <code bash>sudo efibootmgr --create --disk /dev/sdX --part N --label "Mettre le nom voulu" --loader "\EFI\REPERTOIRE\grubx64.efi"</code> | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. =>   - Fabriquez l'entrée de boot %%EFI%% via une commande de ce style <code bash>sudo efibootmgr --create --disk /dev/sdX --part N --label "Mettre le nom voulu" --loader "\EFI\REPERTOIRE\grubx64.efi"</code> | " => suggestions : ['\xa0»', '”']
93 Guillemets typographiques fermants. =>   - Fabriquez l'entrée de boot %%EFI%% via une commande de ce style <code bash>sudo efibootmgr --create --disk /dev/sdX --part N --label "Mettre le nom voulu" --loader "\EFI\REPERTOIRE\grubx64.efi"</code> | " => suggestions : ['\xa0»', '”']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez via la commande <code bash>sudo efibootmgr -v</code> |    => suggestions : ['']
94 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez via la commande <code bash>sudo efibootmgr -v</code> |  -  => suggestions : [' – ', ' — ', ' − ']
94 Il manque un espace à côté du tiret. =>   - Vérifiez via la commande <code bash>sudo efibootmgr -v</code> |  - => suggestions : [' – ', ' — ']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Arrêtez l'ordinateur via la commande <code bash>shutdown now</code> |    => suggestions : ['']
95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Arrêtez l'ordinateur via la commande <code bash>shutdown now</code> |  -  => suggestions : [' – ', ' — ', ' − ']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Débranchez la clé et rebootez normalement. |    => suggestions : ['']
96 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Débranchez la clé et rebootez normalement. |  -  => suggestions : [' – ', ' — ', ' − ']
96 Mot inconnu : rebootez =>   - Débranchez la clé et rebootez normalement. | rebootez

98 Mot inconnu : EFI => ==== Depuis Ubuntu, avec un EFI 32 bits ==== | efi
99 Espace(s) surnuméraire(s) à supprimer. => <note>C'est un cas rare:  l'architecture de la machine EFI est en 32 bits et a déjà éliminé le boot en LEGACY.  Ubuntu ne propose rien.</note> |    => suggestions : [' ']
99 Mot inconnu : EFI => <note>C'est un cas rare:  l'architecture de la machine EFI est en 32 bits et a déjà éliminé le boot en LEGACY.  Ubuntu ne propose rien.</note> | efi
99 Mot inconnu : boot => <note>C'est un cas rare:  l'architecture de la machine EFI est en 32 bits et a déjà éliminé le boot en LEGACY.  Ubuntu ne propose rien.</note> | boot
99 Mot inconnu : LEGACY => <note>C'est un cas rare:  l'architecture de la machine EFI est en 32 bits et a déjà éliminé le boot en LEGACY.  Ubuntu ne propose rien.</note> | legacy
99 Espace(s) surnuméraire(s) à supprimer. => <note>C'est un cas rare:  l'architecture de la machine EFI est en 32 bits et a déjà éliminé le boot en LEGACY.  Ubuntu ne propose rien.</note> |    => suggestions : [' ']
101 Mot inconnu : EFI => La version 32 bits est parfois nécessaire pour faire démarrer des ordinateurs vendus à petit prix : certains ont un EFI en 32 bits bien qu'ils soient capables d'exécuter des applications 64 bits. | efi

102 Espace(s) surnuméraire(s) à supprimer. => Cette procédure va considérer que l'installation se fait  avec un  support d'installation [[Xenial]] ou [[Bionic]]. |    => suggestions : [' ']
102 Espace(s) surnuméraire(s) à supprimer. => Cette procédure va considérer que l'installation se fait  avec un  support d'installation [[Xenial]] ou [[Bionic]]. |    => suggestions : [' ']

106 Mot inconnu : refind => Le paquet refind 32 bits est retrouvable à partir cet endroit:  https://launchpad.net/ubuntu/bionic/+package/refind | refind
106 Espace(s) surnuméraire(s) à supprimer. => Le paquet refind 32 bits est retrouvable à partir cet endroit:  https://launchpad.net/ubuntu/bionic/+package/refind |    => suggestions : [' ']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       |       => suggestions : ['']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        |        => suggestions : ['']

110 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Cependant, il est maintenant inutile de faire cette procédure car le produit est disponible comme [[PPA]]! |  car => suggestions : [', car']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger une version 32 bits et faites une clé USB avec vos outils habituels ([[unetbootin]], liliusbcreator) qui ne détruisent pas la structure disque de la clé USB. |    => suggestions : ['']
112 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger une version 32 bits et faites une clé USB avec vos outils habituels ([[unetbootin]], liliusbcreator) qui ne détruisent pas la structure disque de la clé USB. |  -  => suggestions : [' – ', ' — ', ' − ']
112 Mot inconnu : unetbootin =>   - Télécharger une version 32 bits et faites une clé USB avec vos outils habituels ([[unetbootin]], liliusbcreator) qui ne détruisent pas la structure disque de la clé USB. | unetbootin
112 Mot inconnu : liliusbcreator =>   - Télécharger une version 32 bits et faites une clé USB avec vos outils habituels ([[unetbootin]], liliusbcreator) qui ne détruisent pas la structure disque de la clé USB. | liliusbcreator

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Booter avec la clé USB sur un ordinateur capable de booter normalement en legacy puisqu'on dispose d'une version non EFI. |    => suggestions : ['']
113 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Booter avec la clé USB sur un ordinateur capable de booter normalement en legacy puisqu'on dispose d'une version non EFI. |  -  => suggestions : [' – ', ' — ', ' − ']
113 Mot inconnu : Booter =>   - Booter avec la clé USB sur un ordinateur capable de booter normalement en legacy puisqu'on dispose d'une version non EFI. | booter
113 Mot inconnu : booter =>   - Booter avec la clé USB sur un ordinateur capable de booter normalement en legacy puisqu'on dispose d'une version non EFI. | booter
113 Mot inconnu : legacy =>   - Booter avec la clé USB sur un ordinateur capable de booter normalement en legacy puisqu'on dispose d'une version non EFI. | legacy
113 Mot inconnu : EFI =>   - Booter avec la clé USB sur un ordinateur capable de booter normalement en legacy puisqu'on dispose d'une version non EFI. | efi

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisir "essayer avant d'installer". |    => suggestions : ['']
114 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisir "essayer avant d'installer". |  -  => suggestions : [' – ', ' — ', ' − ']
114 Guillemets typographiques ouvrants. =>   - Choisir "essayer avant d'installer". | " => suggestions : ['«\xa0', '“']
114 Guillemets typographiques fermants. =>   - Choisir "essayer avant d'installer". | " => suggestions : ['\xa0»', '”']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. |    => suggestions : ['']
123 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. |  -  => suggestions : [' – ', ' — ', ' − ']
123 Mot inconnu : It =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | it
123 Mot inconnu : is =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | is
123 Mot inconnu : necessary =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | necessary
123 Mot inconnu : to =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | to
123 Mot inconnu : install =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | install
123 Mot inconnu : rEFInd =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | refind
123 Mot inconnu : to =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | to
123 Mot inconnu : the =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | the
123 Mot inconnu : EFI =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | efi
123 Mot inconnu : System =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | system
123 Mot inconnu : ESP =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | esp
123 Mot inconnu : it =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | it
123 Mot inconnu : to =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | to
123 Mot inconnu : control =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | control
123 Mot inconnu : the =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | the
123 Mot inconnu : boot =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | boot
123 Mot inconnu : choisisser =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | choisisser
123 Espace(s) surnuméraire(s) à supprimer. =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. |    => suggestions : [' ']
123 Mot inconnu : pertuber =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | pertuber
123 Mot inconnu : EFI =>   - Lorsque cette question sera posée "//It is necessary to install rEFInd to the EFI System Partition (ESP) for it to control the boot process?//", choisisser  **No**. C'est inutile de pertuber l'ordinateur qui fabrique le support. Il n'y a aucun risque. Il n'est pas EFI. | efi

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. |    => suggestions : ['']
173 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. |  -  => suggestions : [' – ', ' — ', ' − ']
173 Mot inconnu : boot =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | boot
173 Accord de nombre erroné : « bios » est au pluriel. =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | le => suggestions : ['les']
173 Accord de nombre erroné : « bios » devrait être au singulier. =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | bios => suggestions : ['bio']
173 Mot inconnu : EFI =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | efi
173 Mot inconnu : bootere =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | bootere
173 Mot inconnu : refind_ia32 =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | refind_ia32
173 Mot inconnu : efi =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | efi
173 Mot inconnu : booter =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | booter
173 Mot inconnu : GPT =>   - Préparation facultative des fichiers du répertoire de boot: Si le bios EFI est de qualité, il doit proposer le choix de bootere avec le fichier **refind_ia32.efi**. Normalement cela doit suffire pour booter sur l'ordinateur cible avec cette clé et détecter la clé de l'installation en 64 bits si elle est faite avec une table de partition GPT. | gpt

176 Mot inconnu : internal => #scanfor internal,external,optical,manual</code> | internal
176 Il manque un espace. => #scanfor internal,external,optical,manual</code> | external => suggestions : [' external']
176 Mot inconnu : external => #scanfor internal,external,optical,manual</code> | external
176 Mot inconnu : optical => #scanfor internal,external,optical,manual</code> | optical
176 Il manque un espace. => #scanfor internal,external,optical,manual</code> | manual => suggestions : [' manual']
176 Mot inconnu : manual => #scanfor internal,external,optical,manual</code> | manual

179 Mot inconnu : sudo => sudo cp  -v  refind.conf                Boot </code> | sudo
179 Mot inconnu : cp => sudo cp  -v  refind.conf                Boot </code> | cp
179 Espace(s) surnuméraire(s) à supprimer. => sudo cp  -v  refind.conf                Boot </code> |    => suggestions : [' ']
179 Espace(s) surnuméraire(s) à supprimer. => sudo cp  -v  refind.conf                Boot </code> |    => suggestions : [' ']
179 Mot inconnu : refind => sudo cp  -v  refind.conf                Boot </code> | refind
179 Il manque un espace. => sudo cp  -v  refind.conf                Boot </code> | conf => suggestions : [' conf']
179 Espace(s) surnuméraire(s) à supprimer. => sudo cp  -v  refind.conf                Boot </code> |                  => suggestions : [' ']
179 Mot inconnu : Boot => sudo cp  -v  refind.conf                Boot </code> | boot

182 Mot inconnu : shutdown => shutdown now </code> | shutdown
182 Mot inconnu : now => shutdown now </code> | now

