
4 Mot inconnu : Gpsman => ====== Gpsman ====== | gpsman
150 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) |  -  => suggestions : [' – ', ' — ', ' − ']
150 Mot inconnu : gps =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) | gps
150 Mot inconnu : fenetre =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) | fenetre
150 Guillemets typographiques ouvrants. =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) | " => suggestions : ['«\xa0', '“']
150 Mot inconnu : gps =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) | gps
150 Guillemets typographiques fermants. =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) | " => suggestions : ['\xa0»', '”']
150 Mot inconnu : gps =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) | gps

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "//mettre//" fait le contraire (pc->gps) ;-) |    => suggestions : ['']
151 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "//mettre//" fait le contraire (pc->gps) ;-) |  -  => suggestions : [' – ', ' — ', ' − ']
151 Mot inconnu : gps =>   - "//mettre//" fait le contraire (pc->gps) ;-) | gps

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

155 Mot inconnu : foreruner => pour le foreruner 205: | foreruner

156 Mot inconnu : pb => Sous Ubuntu 10.10 (**pb résolu sous 11.10**) un bug pose problème avec les gps qui communique par port série via un adaptateur série-USB. | pb
156 Mot inconnu : gps => Sous Ubuntu 10.10 (**pb résolu sous 11.10**) un bug pose problème avec les gps qui communique par port série via un adaptateur série-USB. | gps

158 Mot inconnu : pl2303 => Taper les commandes suivantes afin de désactiver le pilote **pl2303** et de le réactiver, ce qui a pour effet de contourner ce problème. | pl2303

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo modprobe -r pl2303 |    => suggestions : ['']
159 Mot inconnu : sudo =>   sudo modprobe -r pl2303 | sudo
159 Mot inconnu : modprobe =>   sudo modprobe -r pl2303 | modprobe
159 Il manque un espace à côté du tiret. =>   sudo modprobe -r pl2303 |  - => suggestions : [' – ', ' — ']
159 Mot inconnu : pl2303 =>   sudo modprobe -r pl2303 | pl2303

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo modprobe pl2303 |    => suggestions : ['']
160 Mot inconnu : sudo =>   sudo modprobe pl2303 | sudo
160 Mot inconnu : modprobe =>   sudo modprobe pl2303 | modprobe
160 Mot inconnu : pl2303 =>   sudo modprobe pl2303 | pl2303

164 Mot inconnu : foreruner => pour le foreruner 205: | foreruner
165 Guillemets typographiques ouvrants. => sous ubuntu 12.04, encore une petite régression : il faut ajouter l'utilisateur au groupe "dialout" à l'aide de la commande : | " => suggestions : ['«\xa0', '“']
165 Mot inconnu : dialout => sous ubuntu 12.04, encore une petite régression : il faut ajouter l'utilisateur au groupe "dialout" à l'aide de la commande : | dialout
165 Guillemets typographiques fermants. => sous ubuntu 12.04, encore une petite régression : il faut ajouter l'utilisateur au groupe "dialout" à l'aide de la commande : | " => suggestions : ['\xa0»', '”']

167 Mot inconnu : sudo => sudo adduser user_name dialout | sudo
167 Mot inconnu : adduser => sudo adduser user_name dialout | adduser
167 Mot inconnu : user_name => sudo adduser user_name dialout | user_name
167 Mot inconnu : dialout => sudo adduser user_name dialout | dialout
169 Mot inconnu : user_name => ps: remplacer user_name par votre nom d'utilisateur :-) | user_name

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://gpsman.sourceforge.net/|Site officiel de gpsman]] [en] |    => suggestions : ['']
178 Mot inconnu : gpsman =>   * [[http://gpsman.sourceforge.net/|Site officiel de gpsman]] [en] | gpsman
185 Il manque un espace. => //Contributeurs : [[utilisateurs:benoit747]].// | benoit747 => suggestions : [' benoit747']
