
3 Mot inconnu : Compiz => ====== Compiz: Problèmes connus ====== | compiz
203 Guillemets typographiques fermants. => On peut alors l'utiliser comme argument (exemple: lancer "compiz-stop tremulous" pour ouvrir tremulous en désactivant compiz-fusion). | " => suggestions : ['\xa0»', '”']
203 Mot inconnu : tremulous => On peut alors l'utiliser comme argument (exemple: lancer "compiz-stop tremulous" pour ouvrir tremulous en désactivant compiz-fusion). | tremulous
203 Mot inconnu : compiz-fusion => On peut alors l'utiliser comme argument (exemple: lancer "compiz-stop tremulous" pour ouvrir tremulous en désactivant compiz-fusion). | compiz-fusion

212 Mot inconnu : VLC => Il peut y avoir certains soucis de synchronisation verticale. Sous VLC, Totem...  | vlc
212 Typographie : points de suspension. Utilisez le caractère dédié. => Il peut y avoir certains soucis de synchronisation verticale. Sous VLC, Totem...  | ... => suggestions : ['…']
212 Espace(s) en fin de ligne à supprimer. => Il peut y avoir certains soucis de synchronisation verticale. Sous VLC, Totem...  |   => suggestions : ['']

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller dans l'outil de configuration de compiz **[[apt>ccsm]]**: |    => suggestions : ['']
213 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller dans l'outil de configuration de compiz **[[apt>ccsm]]**: |  -  => suggestions : [' – ', ' — ', ' − ']
213 Mot inconnu : compiz =>   - Aller dans l'outil de configuration de compiz **[[apt>ccsm]]**: | compiz
213 Mot inconnu : ccsm =>   - Aller dans l'outil de configuration de compiz **[[apt>ccsm]]**: | ccsm

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dans les paramètres de composition, désactiver la détection automatique de fréquence et définissez la valeur manuellement |      => suggestions : ['']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dans les paramètres d'OpenGL, définir les filtres de texture en qualité maximum |      => suggestions : ['']
215 Mot inconnu : OpenGL =>     * Dans les paramètres d'OpenGL, définir les filtres de texture en qualité maximum | opengl

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Et activer Sync vers Vblank |      => suggestions : ['']
216 Mot inconnu : Sync =>     * Et activer Sync vers Vblank | sync
216 Mot inconnu : Vblank =>     * Et activer Sync vers Vblank | vblank

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans les paramètres Nvidia: |    => suggestions : ['']
217 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans les paramètres Nvidia: |  -  => suggestions : [' – ', ' — ', ' − ']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dans l'onglet OpenGL: activer Sync vers Vblank |      => suggestions : ['']
218 Mot inconnu : OpenGL =>     * Dans l'onglet OpenGL: activer Sync vers Vblank | opengl
218 Mot inconnu : Sync =>     * Dans l'onglet OpenGL: activer Sync vers Vblank | sync
218 Mot inconnu : Vblank =>     * Dans l'onglet OpenGL: activer Sync vers Vblank | vblank

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Et définir les paramètres de qualité au maximum |      => suggestions : ['']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dans l'onglet de configuration de l'écran (X Server Display Configuration) définir la résolution et la fréquence manuellement |      => suggestions : ['']
220 Mot inconnu : Server =>     * Dans l'onglet de configuration de l'écran (X Server Display Configuration) définir la résolution et la fréquence manuellement | server
220 Mot inconnu : Display =>     * Dans l'onglet de configuration de l'écran (X Server Display Configuration) définir la résolution et la fréquence manuellement | display

222 Mot inconnu : CLUTTER_PAINT => <file>CLUTTER_PAINT=disable-clipped-redraws:disable-culling | clutter_paint
222 Mot inconnu : disable-clipped-redraws => <file>CLUTTER_PAINT=disable-clipped-redraws:disable-culling | disable-clipped-redraws
222 Il manque un espace. => <file>CLUTTER_PAINT=disable-clipped-redraws:disable-culling | disable-culling => suggestions : [' disable-culling']
222 Mot inconnu : disable-culling => <file>CLUTTER_PAINT=disable-clipped-redraws:disable-culling | disable-culling

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * CLUTTER_VBLANK=True</file> |      => suggestions : ['']
223 Mot inconnu : CLUTTER_VBLANK =>     * CLUTTER_VBLANK=True</file> | clutter_vblank
223 Mot inconnu : True =>     * CLUTTER_VBLANK=True</file> | true

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrez |    => suggestions : ['']
224 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrez |  -  => suggestions : [' – ', ' — ', ' − ']

230 Guillemets typographiques ouvrants. => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | " => suggestions : ['«\xa0', '“']
230 Mot inconnu : rendering => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | rendering
230 Guillemets typographiques fermants. => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | " => suggestions : ['\xa0»', '”']
230 Après « bien que », le verbe s’emploie au subjonctif. => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | peut => suggestions : ['puisse', 'pût']
230 Mot inconnu : répétivement => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | répétivement
230 Mot inconnu : ctrl => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | ctrl
230 Mot inconnu : alt => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | alt
230 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). |  -  => suggestions : [' – ', ' — ', ' − ']
230 Typographie des composés chimiques. => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | f2 => suggestions : ['F₂']
230 Mot inconnu : F2 => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | f2
230 Typographie : points de suspension. Utilisez le caractère dédié. => Le bug des écrans noirs est fixé avec les pilotes Nvidia égal ou supérieur à la version 100.14.19 qui devraient éliminer ses problèmes avec le "direct rendering", bien qu'on peut encore observer un écran noir si on change répétivement de console virtuelle (ctrl alt F1 - F2...). | ... => suggestions : ['…']

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

235 Mot inconnu : compiz_fusion => Une astuce est de [[compiz_fusion#utilisation_basique_lancementarret|désactiver]] les effets 3D pendant la lecture du film, où en automatique [[compiz_fusion#compiz-switch|via icone Compiz-Switch]].\\ | compiz_fusion
235 Mot inconnu : compiz_fusion => Une astuce est de [[compiz_fusion#utilisation_basique_lancementarret|désactiver]] les effets 3D pendant la lecture du film, où en automatique [[compiz_fusion#compiz-switch|via icone Compiz-Switch]].\\ | compiz_fusion
235 Mot inconnu : icone => Une astuce est de [[compiz_fusion#utilisation_basique_lancementarret|désactiver]] les effets 3D pendant la lecture du film, où en automatique [[compiz_fusion#compiz-switch|via icone Compiz-Switch]].\\ | icone
235 Mot inconnu : Compiz-Switch => Une astuce est de [[compiz_fusion#utilisation_basique_lancementarret|désactiver]] les effets 3D pendant la lecture du film, où en automatique [[compiz_fusion#compiz-switch|via icone Compiz-Switch]].\\ | compiz-switch

236 Mot inconnu : compiz_fusion_problemes_connus => voir aussi [[compiz_fusion_problemes_connus#script_pour_desactiverreactiver_compiz-fusion_automatiquement|automatiquement via un script]] | compiz_fusion_problemes_connus
241 Mot inconnu : GM950 => Pour certaines cartes Intel (exemples : GM950, GM965, utilisant le paquet 915resolution) il arrive que Totem crashe lors de la lecture d'une vidéo au format avi (alors qu'il fonctionne correctement sans Compiz). Cela provient en fait d'un mauvais réglage de gstreamer, qu'utilise Totem. Pour le corriger : | gm950
241 Mot inconnu : GM965 => Pour certaines cartes Intel (exemples : GM950, GM965, utilisant le paquet 915resolution) il arrive que Totem crashe lors de la lecture d'une vidéo au format avi (alors qu'il fonctionne correctement sans Compiz). Cela provient en fait d'un mauvais réglage de gstreamer, qu'utilise Totem. Pour le corriger : | gm965
241 Mot inconnu : resolution => Pour certaines cartes Intel (exemples : GM950, GM965, utilisant le paquet 915resolution) il arrive que Totem crashe lors de la lecture d'une vidéo au format avi (alors qu'il fonctionne correctement sans Compiz). Cela provient en fait d'un mauvais réglage de gstreamer, qu'utilise Totem. Pour le corriger : | resolution
241 Mot inconnu : avi => Pour certaines cartes Intel (exemples : GM950, GM965, utilisant le paquet 915resolution) il arrive que Totem crashe lors de la lecture d'une vidéo au format avi (alors qu'il fonctionne correctement sans Compiz). Cela provient en fait d'un mauvais réglage de gstreamer, qu'utilise Totem. Pour le corriger : | avi
241 Mot inconnu : Compiz => Pour certaines cartes Intel (exemples : GM950, GM965, utilisant le paquet 915resolution) il arrive que Totem crashe lors de la lecture d'une vidéo au format avi (alors qu'il fonctionne correctement sans Compiz). Cela provient en fait d'un mauvais réglage de gstreamer, qu'utilise Totem. Pour le corriger : | compiz
241 Mot inconnu : gstreamer => Pour certaines cartes Intel (exemples : GM950, GM965, utilisant le paquet 915resolution) il arrive que Totem crashe lors de la lecture d'une vidéo au format avi (alors qu'il fonctionne correctement sans Compiz). Cela provient en fait d'un mauvais réglage de gstreamer, qu'utilise Totem. Pour le corriger : | gstreamer

243 Guillemets typographiques ouvrants. => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | " => suggestions : ['«\xa0', '“']
243 Mot inconnu : Window => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | window
243 Mot inconnu : System => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | system
243 Mot inconnu : Xv => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | xv
243 Guillemets typographiques ouvrants. => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | " => suggestions : ['«\xa0', '“']
243 Mot inconnu : Autodetect => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | autodetect
243 Guillemets typographiques fermants. => et dans l'onglet Vidéo, sélectionner "X Window System (sans Xv)" à la place de "Autodetect" comme greffon de sortie par défaut. | " => suggestions : ['\xa0»', '”']

249 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  __Pour VLC__ : Aller dans Paramètres->Préférences->Video->Modules de sortie, cocher Options avancées en bas de la fenêtre, et choisir Sortie vidéo X11. |    => suggestions : ['']
249 Mot inconnu : __Pour =>   *  __Pour VLC__ : Aller dans Paramètres->Préférences->Video->Modules de sortie, cocher Options avancées en bas de la fenêtre, et choisir Sortie vidéo X11. | __pour
249 Mot inconnu : VLC__ =>   *  __Pour VLC__ : Aller dans Paramètres->Préférences->Video->Modules de sortie, cocher Options avancées en bas de la fenêtre, et choisir Sortie vidéo X11. | vlc__
249 Mot inconnu : Video =>   *  __Pour VLC__ : Aller dans Paramètres->Préférences->Video->Modules de sortie, cocher Options avancées en bas de la fenêtre, et choisir Sortie vidéo X11. | video
249 Conjugaison erronée. Accord avec “cocher”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   *  __Pour VLC__ : Aller dans Paramètres->Préférences->Video->Modules de sortie, cocher Options avancées en bas de la fenêtre, et choisir Sortie vidéo X11. | options => suggestions : ['Optait']

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  __Pour mplayer__ : dans les préférences vidéos, choisir gl2 et mettre le  direct rendering en OFF (à la fin du menu) |    => suggestions : ['']
251 Mot inconnu : __Pour =>   *  __Pour mplayer__ : dans les préférences vidéos, choisir gl2 et mettre le  direct rendering en OFF (à la fin du menu) | __pour
251 Mot inconnu : mplayer__ =>   *  __Pour mplayer__ : dans les préférences vidéos, choisir gl2 et mettre le  direct rendering en OFF (à la fin du menu) | mplayer__
251 Mot inconnu : gl2 =>   *  __Pour mplayer__ : dans les préférences vidéos, choisir gl2 et mettre le  direct rendering en OFF (à la fin du menu) | gl2
251 Espace(s) surnuméraire(s) à supprimer. =>   *  __Pour mplayer__ : dans les préférences vidéos, choisir gl2 et mettre le  direct rendering en OFF (à la fin du menu) |    => suggestions : [' ']
251 Mot inconnu : rendering =>   *  __Pour mplayer__ : dans les préférences vidéos, choisir gl2 et mettre le  direct rendering en OFF (à la fin du menu) | rendering

253 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  __Pour Gxine__ :  choisir OpenGL |    => suggestions : ['']
253 Mot inconnu : __Pour =>   *  __Pour Gxine__ :  choisir OpenGL | __pour
253 Mot inconnu : Gxine__ =>   *  __Pour Gxine__ :  choisir OpenGL | gxine__
253 Espace(s) surnuméraire(s) à supprimer. =>   *  __Pour Gxine__ :  choisir OpenGL |    => suggestions : [' ']
253 Mot inconnu : OpenGL =>   *  __Pour Gxine__ :  choisir OpenGL | opengl

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) |    => suggestions : ['']
255 Mot inconnu : __Pour =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | __pour
255 Mot inconnu : Totem-Xine__ =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | totem-xine__
255 Mot inconnu : gedit =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | gedit
255 Mot inconnu : gnome2 =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | gnome2
255 Mot inconnu : totem_config =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | totem_config
255 Pas d’espace avant une virgule. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) |  , => suggestions : [',']
255 Mot inconnu : video =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | video
255 Il manque un espace. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | driver => suggestions : [' driver']
255 Il manque un espace. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | auto => suggestions : [' auto']
255 Mot inconnu : video =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | video
255 Il manque un espace. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | driver => suggestions : [' driver']
255 Il manque un espace. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | opengl => suggestions : [' OpenGL']
255 Mot inconnu : OpenGL =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | opengl
255 Mot inconnu : video =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | video
255 Il manque un espace. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | driver => suggestions : [' driver']
255 Il manque un espace. =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | xshm => suggestions : [' xshm']
255 Mot inconnu : xshm =>   *  __Pour Totem-Xine__ : lancer dans un terminal gedit ~/.gnome2/totem_config , remplacer # video.driver:auto par video.driver:OpenGL ou video.driver:xshm (Essayez les deux et voyez lequel fonctionne le mieux) | xshm

257 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  __Pour gstreamer.10__, et Totem-gstreamer donc : tapez dans un terminal : |    => suggestions : ['']
257 Mot inconnu : __Pour =>   *  __Pour gstreamer.10__, et Totem-gstreamer donc : tapez dans un terminal : | __pour
257 Mot inconnu : gstreamer =>   *  __Pour gstreamer.10__, et Totem-gstreamer donc : tapez dans un terminal : | gstreamer
257 Mot inconnu : __ =>   *  __Pour gstreamer.10__, et Totem-gstreamer donc : tapez dans un terminal : | __
257 Mot inconnu : Totem-gstreamer =>   *  __Pour gstreamer.10__, et Totem-gstreamer donc : tapez dans un terminal : | totem-gstreamer

259 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gstreamer-properties |    => suggestions : ['']
259 Mot inconnu : gstreamer-properties =>   gstreamer-properties | gstreamer-properties
261 Mot inconnu : Window => dans la fenêtre qui s'affiche, allez dans l'onglet **Vidéo**, Puis choisir le **greffon de sortie par défaut** : **Greffon: X Window System (Sans Xv)**, puis fermer. | window
261 Mot inconnu : System => dans la fenêtre qui s'affiche, allez dans l'onglet **Vidéo**, Puis choisir le **greffon de sortie par défaut** : **Greffon: X Window System (Sans Xv)**, puis fermer. | system
261 Mot inconnu : Xv => dans la fenêtre qui s'affiche, allez dans l'onglet **Vidéo**, Puis choisir le **greffon de sortie par défaut** : **Greffon: X Window System (Sans Xv)**, puis fermer. | xv

265 Guillemets typographiques ouvrants. => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | " => suggestions : ['«\xa0', '“']
265 Guillemets typographiques fermants. => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | " => suggestions : ['\xa0»', '”']
265 Mot inconnu : Katapult => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | katapult
265 Mot inconnu : KDE => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | kde
265 Mot inconnu : compiz => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | compiz
265 Mot inconnu : ccsm => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | ccsm
265 Mot inconnu : Shadow => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | shadow
265 Mot inconnu : katapult => Certains programmes n'utilisent pas de la "vraie" transparence. C'est le cas par exemple de **Katapult** sous KDE. Pour éviter que compiz ne dessine une ombre pour ce type de fenêtre, dans ccsm, menu Effets, Décoration de la fenêtre, dans le champ //Shadow windows//, tapez (pour katapult par exemple) : | katapult

273 Guillemets typographiques ouvrants. => Il arrive qu'après une installation "fraîche" de Compiz fusion, les polices de la barre de titre des fenêtres soient démesurément grandes. Quelques manipulations suffisent pour résoudre le problème : | " => suggestions : ['«\xa0', '“']
273 Guillemets typographiques fermants. => Il arrive qu'après une installation "fraîche" de Compiz fusion, les polices de la barre de titre des fenêtres soient démesurément grandes. Quelques manipulations suffisent pour résoudre le problème : | " => suggestions : ['\xa0»', '”']
273 Mot inconnu : Compiz => Il arrive qu'après une installation "fraîche" de Compiz fusion, les polices de la barre de titre des fenêtres soient démesurément grandes. Quelques manipulations suffisent pour résoudre le problème : | compiz

277 Espace(s) en fin de ligne à supprimer. => cherchez  |   => suggestions : ['']

294 Mot inconnu : ok => redémarrez et c'est ok! | ok

306 Mot inconnu : Del => Enregistrez les modifications et redémarrez le serveur X (Ctrl + Alt + Del) pour que les changements prennent effets. | del

315 Mot inconnu : General => Si vous rencontrez des problèmes avec les bureaux virtuels, que les icônes des applications restent d'un bureau sur l'autre et que le sélecteur de bureau en bas à droite ne marche pas bien, assurez-vous d'avoir mis le nombre de bureaux virtuels dans General Options --> Desktop Size à 1 (c'est le paramètre Taille virtuelle qui est pris en compte) | general
315 Mot inconnu : Desktop => Si vous rencontrez des problèmes avec les bureaux virtuels, que les icônes des applications restent d'un bureau sur l'autre et que le sélecteur de bureau en bas à droite ne marche pas bien, assurez-vous d'avoir mis le nombre de bureaux virtuels dans General Options --> Desktop Size à 1 (c'est le paramètre Taille virtuelle qui est pris en compte) | desktop
315 Mot inconnu : Size => Si vous rencontrez des problèmes avec les bureaux virtuels, que les icônes des applications restent d'un bureau sur l'autre et que le sélecteur de bureau en bas à droite ne marche pas bien, assurez-vous d'avoir mis le nombre de bureaux virtuels dans General Options --> Desktop Size à 1 (c'est le paramètre Taille virtuelle qui est pris en compte) | size

319 Mot inconnu : Compiz => ===== Compiz Fusion et écrans multiples ===== | compiz

320 Mot inconnu : Compiz => Il est tout à fait possible d'activer Compiz Fusion sur plusieurs écrans simultanément (bi-écran ou plus). | compiz
320 Mot inconnu : bi-écran => Il est tout à fait possible d'activer Compiz Fusion sur plusieurs écrans simultanément (bi-écran ou plus). | bi-écran

321 Mot inconnu : Compiz => Néanmoins, toutes les méthodes d'affichage sur plusieurs écrans ne sont pas compatibles avec Compiz Fusion. | compiz

323 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous optez pour deux (ou plus) écrans X séparés, chaque écran aura sa propre "session" compiz. |    => suggestions : ['']
323 Guillemets typographiques ouvrants. =>   * Si vous optez pour deux (ou plus) écrans X séparés, chaque écran aura sa propre "session" compiz. | " => suggestions : ['«\xa0', '“']
323 Guillemets typographiques fermants. =>   * Si vous optez pour deux (ou plus) écrans X séparés, chaque écran aura sa propre "session" compiz. | " => suggestions : ['\xa0»', '”']
323 Mot inconnu : compiz =>   * Si vous optez pour deux (ou plus) écrans X séparés, chaque écran aura sa propre "session" compiz. | compiz

324 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous optez pour un seul grand écran géré par Twinview, Compiz Fusion tournera sur les différents moniteurs comme s'il s'agissait d'un seul écran. |    => suggestions : ['']
324 Mot inconnu : Twinview =>   * Si vous optez pour un seul grand écran géré par Twinview, Compiz Fusion tournera sur les différents moniteurs comme s'il s'agissait d'un seul écran. | twinview
324 Mot inconnu : Compiz =>   * Si vous optez pour un seul grand écran géré par Twinview, Compiz Fusion tournera sur les différents moniteurs comme s'il s'agissait d'un seul écran. | compiz

