
5 Mot inconnu : OSCam => ====== OSCam ====== | oscam
186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   LIBDIR = /usr/lib/vdr/plugins |    => suggestions : ['']
186 Mot inconnu : LIBDIR =>   LIBDIR = /usr/lib/vdr/plugins | libdir

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Compiler et installer : |     => suggestions : ['']

194 Espace(s) surnuméraire(s) à supprimer. => Pour supprimer cette application, il suffit de supprimer le fichier binaire **/usr/local/bin/oscam**. Vous pouvez également supprimer les fichiers de configuration présents dans le  répertoire **/usr/local/etc/**. |    => suggestions : [' ']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.streamboard.tv/wiki/OSCam/fr|La documentation officielle]] |    => suggestions : ['']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr, en, it)** [[http://www.oscam.cc/|Le forum officiel]] est désormais fermé pour une DURÉE ILLIMITÉE |    => suggestions : ['']
199 Mot inconnu : it =>   * **(fr, en, it)** [[http://www.oscam.cc/|Le forum officiel]] est désormais fermé pour une DURÉE ILLIMITÉE | it

202 Espace(s) en fin de ligne à supprimer. => ===== Contributeur =====  |   => suggestions : ['']

203 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Dexter74: Remise en page | -  => suggestions : ['—\xa0', '–\xa0']
203 Mot inconnu : Dexter74 => - Dexter74: Remise en page | dexter74
