
3 Mot inconnu : Kontact => ====== Synchroniser Kontact avec un Palm Pilot sous Kubuntu ====== | kontact
120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd |    => suggestions : ['']
120 Mot inconnu : Device =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | device
120 Mot inconnu : f2 =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | f2
120 Il manque un espace. =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | b023 => suggestions : [' b023']
120 Mot inconnu : b023 =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | b023
120 Mot inconnu : Chicony =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | chicony
120 Mot inconnu : Electronics =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | electronics
120 Mot inconnu : Co =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | co
120 Pas de virgule après un point (sauf éventuellement après une abréviation). =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | ., => suggestions : [',', '.']
120 Mot inconnu : Ltd =>   Bus 002 Device 002: ID 04f2:b023 Chicony Electronics Co., Ltd | ltd

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub |    => suggestions : ['']
121 Mot inconnu : Device =>   Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | device
121 Mot inconnu : d6b =>   Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | d6b
121 Il manque un espace. =>   Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | 0002 => suggestions : [' 0002']
121 Mot inconnu : Foundation =>   Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | foundation
121 Mot inconnu : root =>   Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | root

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub |    => suggestions : ['']
122 Mot inconnu : Device =>   Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | device
122 Mot inconnu : d6b =>   Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | d6b
122 Il manque un espace. =>   Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | 0001 => suggestions : [' 0001']
122 Mot inconnu : Foundation =>   Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | foundation
122 Mot inconnu : root =>   Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | root

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub |    => suggestions : ['']
123 Mot inconnu : Device =>   Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | device
123 Mot inconnu : d6b =>   Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | d6b
123 Il manque un espace. =>   Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | 0002 => suggestions : [' 0002']
123 Mot inconnu : Foundation =>   Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | foundation
123 Mot inconnu : root =>   Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub | root

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 |    => suggestions : ['']
124 Mot inconnu : Device =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | device
124 Mot inconnu : Palm =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | palm
124 Mot inconnu : Inc =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | inc
124 Mot inconnu : Lifedrive =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | lifedrive
124 Mot inconnu : Treo =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | treo
124 Mot inconnu : Tunsten =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | tunsten
124 Mot inconnu : E2 =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | e2
124 Mot inconnu : T5 =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | t5
124 Mot inconnu : TX =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | tx
124 Mot inconnu : Zire =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | zire
124 Mot inconnu : Z22 =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | z22

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse |    => suggestions : ['']
125 Mot inconnu : Device =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | device
125 Il manque un espace. =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | c018 => suggestions : [' c018']
125 Mot inconnu : c018 =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | c018
125 Mot inconnu : Logitech =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | logitech
125 Mot inconnu : Inc =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | inc
125 Mot inconnu : Optical =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | optical
125 Mot inconnu : Wheel =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | wheel
125 Mot inconnu : Mouse =>   Bus 003 Device 003: ID 046d:c018 Logitech, Inc. Optical Wheel Mouse | mouse

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 003 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub |    => suggestions : ['']
126 Mot inconnu : Device =>   Bus 003 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | device
126 Mot inconnu : d6b =>   Bus 003 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | d6b
126 Il manque un espace. =>   Bus 003 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | 0001 => suggestions : [' 0001']
126 Mot inconnu : Foundation =>   Bus 003 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | foundation
126 Mot inconnu : root =>   Bus 003 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub | root

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 |    => suggestions : ['']
130 Mot inconnu : Device =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | device
130 Mot inconnu : Palm =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | palm
130 Mot inconnu : Inc =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | inc
130 Mot inconnu : Lifedrive =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | lifedrive
130 Mot inconnu : Treo =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | treo
130 Mot inconnu : Tunsten =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | tunsten
130 Mot inconnu : E2 =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | e2
130 Mot inconnu : T5 =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | t5
130 Mot inconnu : TX =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | tx
130 Mot inconnu : Zire =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | zire
130 Mot inconnu : Z22 =>   Bus 003 Device 005: ID 0830:0061 Palm, Inc. Lifedrive / Treo 650/680 / Tunsten E2/T5/TX / Zire 21/31/72 / Z22 | z22

134 Mot inconnu : inodes => ==== Les inodes ==== | inodes

136 Mot inconnu : inode => Le pilote des ports de communication inode ne sont peut-être pas créé automatiquement, vérifiez si les inodes existent avec la commande : | inode
136 Mot inconnu : inodes => Le pilote des ports de communication inode ne sont peut-être pas créé automatiquement, vérifiez si les inodes existent avec la commande : | inodes

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls -l /dev/ttyUSB* |    => suggestions : ['']
138 Mot inconnu : ls =>   ls -l /dev/ttyUSB* | ls
138 Il manque un espace à côté du tiret. =>   ls -l /dev/ttyUSB* |  - => suggestions : [' – ', ' — ']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 |    => suggestions : ['']
142 Mot inconnu : crw-r =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | crw-r
142 Il manque un espace à côté du tiret. =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | -  => suggestions : [' – ', ' — ']
142 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | root
142 Doublon. =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | root root => suggestions : ['root']
142 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | root

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 |    => suggestions : ['']
143 Mot inconnu : crw-r =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | crw-r
143 Il manque un espace à côté du tiret. =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | -  => suggestions : [' – ', ' — ']
143 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | root
143 Doublon. =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | root root => suggestions : ['root']
143 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | root

147 Espace(s) surnuméraire(s) à supprimer. => Si elle retourne quelque chose comme  : |    => suggestions : [' ']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls: ne peut accéder /dev/ttyUSB*: Aucun fichier ou dossier de ce type |    => suggestions : ['']
149 Mot inconnu : ls =>   ls: ne peut accéder /dev/ttyUSB*: Aucun fichier ou dossier de ce type | ls

151 Mot inconnu : inodes => Il faut créer les inodes. | inodes

153 Mot inconnu : inode => Créer la première inode avec la commande : | inode

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mknod /dev/ttyUSB0 c 188 0 |    => suggestions : ['']
155 Mot inconnu : sudo =>   sudo mknod /dev/ttyUSB0 c 188 0 | sudo
155 Mot inconnu : mknod =>   sudo mknod /dev/ttyUSB0 c 188 0 | mknod

157 Guillemets typographiques ouvrants. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | " => suggestions : ['«\xa0', '“']
157 Mot inconnu : sudo => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | sudo
157 Guillemets typographiques fermants. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | " => suggestions : ['\xa0»', '”']
157 Guillemets typographiques ouvrants. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | " => suggestions : ['«\xa0', '“']
157 Guillemets typographiques fermants. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | " => suggestions : ['\xa0»', '”']
157 Incohérence. Le sujet de cette forme verbale est introuvable. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | veux => suggestions : ['veut']
157 Typographie : points de suspension. Utilisez le caractère dédié. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | ... => suggestions : ['…']
157 Guillemets typographiques ouvrants. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | " => suggestions : ['«\xa0', '“']
157 Accord de genre erroné : « la touche » est féminin, « Entré » est masculin. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | entré => suggestions : ['Entrée']
157 Guillemets typographiques fermants. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | " => suggestions : ['\xa0»', '”']
157 Après la préposition “pour”, le verbe devrait être à l’infinitif. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | protégez => suggestions : ['protéger']
157 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | ou => suggestions : ['où']
157 Accord erroné : “caractères” et “reproduit” ne sont pas accordés. Mettez au pluriel. => Votre mot de passe devait vous êtres demandé, car c'est la première foi que nous utilisons le paramètre "sudo" (ce qui veut dire le Super Utilisateur "do" veux faire...). Entrez votre mot de passe et appuyez sur la touche "Entré". Notez que lors de l'entrée de votre mot de passe rien ne bouge à l'écran et cela est normal, c'est pour protégez la confidentialité de votre mot de passe au cas ou une personne regarderait votre écran, les caractères ne sont pas reproduit à l'écran, mais bien noté par l'ordinateur. | reproduit => suggestions : ['reproduits']

161 Mot inconnu : inode => Créer la seconde inode avec la commande : | inode

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mknod /dev/ttyUSB1 c 188 1 |    => suggestions : ['']
163 Mot inconnu : sudo =>   sudo mknod /dev/ttyUSB1 c 188 1 | sudo
163 Mot inconnu : mknod =>   sudo mknod /dev/ttyUSB1 c 188 1 | mknod

165 Mot inconnu : inodes => Vérifiez que les inodes existent maintenant avec la commande : | inodes

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls -l /dev/ttyUSB* |    => suggestions : ['']
167 Mot inconnu : ls =>   ls -l /dev/ttyUSB* | ls
167 Il manque un espace à côté du tiret. =>   ls -l /dev/ttyUSB* |  - => suggestions : [' – ', ' — ']

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 |    => suggestions : ['']
171 Mot inconnu : crw-r =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | crw-r
171 Il manque un espace à côté du tiret. =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | -  => suggestions : [' – ', ' — ']
171 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | root
171 Doublon. =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | root root => suggestions : ['root']
171 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | root

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 |    => suggestions : ['']
172 Mot inconnu : crw-r =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | crw-r
172 Il manque un espace à côté du tiret. =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | -  => suggestions : [' – ', ' — ']
172 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | root
172 Doublon. =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | root root => suggestions : ['root']
172 Mot inconnu : root =>   crw-r--r-- 1 root root 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | root

176 Mot inconnu : inodes => ==== Les droits d'accès des inodes ==== | inodes

178 Guillemets typographiques ouvrants. => Il faut changer les droits d'accès pour que les utilisateurs puissent y avoir accès avec les commandes suivantes en remplacent "rene" par votre nom d'utilisateur : | " => suggestions : ['«\xa0', '“']
178 Mot inconnu : rene => Il faut changer les droits d'accès pour que les utilisateurs puissent y avoir accès avec les commandes suivantes en remplacent "rene" par votre nom d'utilisateur : | rene
178 Guillemets typographiques fermants. => Il faut changer les droits d'accès pour que les utilisateurs puissent y avoir accès avec les commandes suivantes en remplacent "rene" par votre nom d'utilisateur : | " => suggestions : ['\xa0»', '”']

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown rene.users /dev/ttyUSB* |    => suggestions : ['']
180 Mot inconnu : sudo =>   sudo chown rene.users /dev/ttyUSB* | sudo
180 Mot inconnu : chown =>   sudo chown rene.users /dev/ttyUSB* | chown
180 Mot inconnu : rene =>   sudo chown rene.users /dev/ttyUSB* | rene
180 Mot inconnu : users =>   sudo chown rene.users /dev/ttyUSB* | users

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod g+rw /dev/ttyUSB* |    => suggestions : ['']
181 Mot inconnu : sudo =>   sudo chmod g+rw /dev/ttyUSB* | sudo
181 Mot inconnu : chmod =>   sudo chmod g+rw /dev/ttyUSB* | chmod
181 Mot inconnu : rw =>   sudo chmod g+rw /dev/ttyUSB* | rw

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls -l /dev/ttyUSB* |    => suggestions : ['']
182 Mot inconnu : ls =>   ls -l /dev/ttyUSB* | ls
182 Il manque un espace à côté du tiret. =>   ls -l /dev/ttyUSB* |  - => suggestions : [' – ', ' — ']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   crw-rw-r-- 1 rene users 188, 0 2009-08-12 09:45 /dev/ttyUSB0 |    => suggestions : ['']
186 Mot inconnu : crw-rw-r =>   crw-rw-r-- 1 rene users 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | crw-rw-r
186 Il manque un espace à côté du tiret. =>   crw-rw-r-- 1 rene users 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | -  => suggestions : [' – ', ' — ']
186 Mot inconnu : rene =>   crw-rw-r-- 1 rene users 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | rene
186 Mot inconnu : users =>   crw-rw-r-- 1 rene users 188, 0 2009-08-12 09:45 /dev/ttyUSB0 | users

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   crw-rw-r-- 1 rene users 188, 1 2009-08-12 09:49 /dev/ttyUSB1 |    => suggestions : ['']
187 Mot inconnu : crw-rw-r =>   crw-rw-r-- 1 rene users 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | crw-rw-r
187 Il manque un espace à côté du tiret. =>   crw-rw-r-- 1 rene users 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | -  => suggestions : [' – ', ' — ']
187 Mot inconnu : rene =>   crw-rw-r-- 1 rene users 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | rene
187 Mot inconnu : users =>   crw-rw-r-- 1 rene users 188, 1 2009-08-12 09:49 /dev/ttyUSB1 | users

189 Mot inconnu : inode => Créer un lien sur l'inode qui sera utilisé, et définir ses droits : | inode

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /dev/ttyUSB1 /dev/pilot |    => suggestions : ['']
191 Mot inconnu : sudo =>   sudo ln -s /dev/ttyUSB1 /dev/pilot | sudo
191 Il manque un espace à côté du tiret. =>   sudo ln -s /dev/ttyUSB1 /dev/pilot |  - => suggestions : [' – ', ' — ']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown rene.users /dev/pilot |    => suggestions : ['']
192 Mot inconnu : sudo =>   sudo chown rene.users /dev/pilot | sudo
192 Mot inconnu : chown =>   sudo chown rene.users /dev/pilot | chown
192 Mot inconnu : rene =>   sudo chown rene.users /dev/pilot | rene
192 Mot inconnu : users =>   sudo chown rene.users /dev/pilot | users

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod g+rw /dev/pilot |    => suggestions : ['']
193 Mot inconnu : sudo =>   sudo chmod g+rw /dev/pilot | sudo
193 Mot inconnu : chmod =>   sudo chmod g+rw /dev/pilot | chmod
193 Mot inconnu : rw =>   sudo chmod g+rw /dev/pilot | rw

195 Mot inconnu : Akonadi => ==== Akonadi et KPilot ==== | akonadi
195 Mot inconnu : KPilot => ==== Akonadi et KPilot ==== | kpilot

197 Mot inconnu : Kontact => Si le logiciel Kontact est ouvert, il est important de le fermer maintenant. | kontact

