
5 Mot inconnu : rTorrent => ====== rTorrent ====== | rtorrent
183 Guillemets typographiques ouvrants. =>         echo -n $"Starting $NAME: " | " => suggestions : ['«\xa0', '“']
183 Mot inconnu : Starting =>         echo -n $"Starting $NAME: " | starting
183 Mot inconnu : NAME =>         echo -n $"Starting $NAME: " | name
183 Guillemets fermants. =>         echo -n $"Starting $NAME: " |  " => suggestions : ['\xa0»', '”']

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" |          => suggestions : ['']
184 Il manque un espace à côté du tiret. =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" |  - => suggestions : [' – ', ' — ']
184 Guillemets typographiques ouvrants. =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" | " => suggestions : ['«\xa0', '“']
184 Mot inconnu : dtach =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" | dtach
184 Il manque un espace à côté du tiret. =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" |  - => suggestions : [' – ', ' — ']
184 Mot inconnu : TMP =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" | tmp
184 Mot inconnu : rtorrent =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" | rtorrent
184 Il manque un espace à côté du tiret. =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" |  - => suggestions : [' – ', ' — ']
184 Guillemets typographiques fermants. =>         su -l ${user} -c "dtach -n $TMP rtorrent -n -o import=$CONF" | " => suggestions : ['\xa0»', '”']

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         chmod 666 /tmp/rtorrent.dtach |          => suggestions : ['']
185 Mot inconnu : chmod =>         chmod 666 /tmp/rtorrent.dtach | chmod

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo "started"   |          => suggestions : ['']
186 Mot inconnu : echo =>         echo "started"   | echo
186 Guillemets typographiques ouvrants. =>         echo "started"   | " => suggestions : ['«\xa0', '“']
186 Mot inconnu : started =>         echo "started"   | started
186 Guillemets typographiques fermants. =>         echo "started"   | " => suggestions : ['\xa0»', '”']
186 Espace(s) en fin de ligne à supprimer. =>         echo "started"   |    => suggestions : ['']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo -n $"Stopping $NAME: " |          => suggestions : ['']
190 Mot inconnu : echo =>         echo -n $"Stopping $NAME: " | echo
190 Il manque un espace à côté du tiret. =>         echo -n $"Stopping $NAME: " |  - => suggestions : [' – ', ' — ']
190 Guillemets typographiques ouvrants. =>         echo -n $"Stopping $NAME: " | " => suggestions : ['«\xa0', '“']
190 Mot inconnu : Stopping =>         echo -n $"Stopping $NAME: " | stopping
190 Mot inconnu : NAME =>         echo -n $"Stopping $NAME: " | name
190 Guillemets fermants. =>         echo -n $"Stopping $NAME: " |  " => suggestions : ['\xa0»', '”']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         killall -r "rtorrent" |          => suggestions : ['']
191 Mot inconnu : killall =>         killall -r "rtorrent" | killall
191 Il manque un espace à côté du tiret. =>         killall -r "rtorrent" |  - => suggestions : [' – ', ' — ']
191 Guillemets typographiques ouvrants. =>         killall -r "rtorrent" | " => suggestions : ['«\xa0', '“']
191 Mot inconnu : rtorrent =>         killall -r "rtorrent" | rtorrent
191 Guillemets typographiques fermants. =>         killall -r "rtorrent" | " => suggestions : ['\xa0»', '”']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo "stopped" |          => suggestions : ['']
192 Mot inconnu : echo =>         echo "stopped" | echo
192 Guillemets typographiques ouvrants. =>         echo "stopped" | " => suggestions : ['«\xa0', '“']
192 Mot inconnu : stopped =>         echo "stopped" | stopped
192 Guillemets typographiques fermants. =>         echo "stopped" | " => suggestions : ['\xa0»', '”']

195 Mot inconnu : restart => restart() { | restart

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then |          => suggestions : ['']
197 Pas d’espace après ce signe. =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then | [  => suggestions : ['[']
197 Mot inconnu : grep =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then | grep
197 Il manque un espace à côté du tiret. =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then |  - => suggestions : [' – ', ' — ']
197 Guillemets typographiques ouvrants. =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then | ' => suggestions : ['“', '‘', '‹']
197 Mot inconnu : rtorrent =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then | rtorrent
197 Guillemets typographiques fermants. =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then | ' => suggestions : ['”', '’', '›']
197 Espace(s) surnuméraire(s) à supprimer. =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then |    => suggestions : [' ']
197 Pas d’espace avant ce signe. =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then |  ] => suggestions : [']']
197 Mot inconnu : then =>         if [ "$(ps aux | grep -e 'rtorrent' -c)" != 0  ]; then | then

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         { |          => suggestions : ['']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 stop |                  => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 sleep 5 |                  => suggestions : ['']
200 Mot inconnu : sleep =>                 sleep 5 | sleep

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         fi |          => suggestions : ['']

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start |          => suggestions : ['']
203 Mot inconnu : start =>         start | start

207 Si “in” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => case $1 in | 1 in => suggestions : ['1\xa0in']

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start) |          => suggestions : ['']
208 Mot inconnu : start =>         start) | start

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                start |                 => suggestions : ['']
209 Mot inconnu : start =>                start | start

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
210 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         stop) |          => suggestions : ['']

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 stop |                  => suggestions : ['']

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
213 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         restart) |          => suggestions : ['']
214 Mot inconnu : restart =>         restart) | restart

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 restart |                  => suggestions : ['']
215 Mot inconnu : restart =>                 restart | restart

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
216 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *) |          => suggestions : ['']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 echo "Usage:  {start|stop|restart}" >&2 |                  => suggestions : ['']
218 Mot inconnu : echo =>                 echo "Usage:  {start|stop|restart}" >&2 | echo
218 Guillemets typographiques ouvrants. =>                 echo "Usage:  {start|stop|restart}" >&2 | " => suggestions : ['«\xa0', '“']
218 Espace(s) surnuméraire(s) à supprimer. =>                 echo "Usage:  {start|stop|restart}" >&2 |    => suggestions : [' ']
218 Mot inconnu : start =>                 echo "Usage:  {start|stop|restart}" >&2 | start
218 Mot inconnu : restart =>                 echo "Usage:  {start|stop|restart}" >&2 | restart

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 exit 2 |                  => suggestions : ['']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
220 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

221 Mot inconnu : esac => esac | esac

224 Guillemets typographiques ouvrants. => <note tip>N'oubliez pas de renseigner compléter "user="  par votre nom d'utilisateur.</note> | " => suggestions : ['«\xa0', '“']

232 Mot inconnu : rtorrent => Maintenant, à chaque démarrage du système, rtorrent se lancera automatiquement. | rtorrent

239 Espace(s) en fin de ligne à supprimer. => Pour détacher ensuite l'interface console il suffit de     |      => suggestions : ['']

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * en qwerty: taper CTRL + \ |    => suggestions : ['']

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * en azerty: taper CTRL + MAJ + 4 |    => suggestions : ['']

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mac avec clavier suisse, le backslash se fait avec Maj + Alt + 7 |    => suggestions : ['']
242 Mot inconnu : backslash =>   * mac avec clavier suisse, le backslash se fait avec Maj + Alt + 7 | backslash

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl + $ |    => suggestions : ['']

249 Mot inconnu : screen => ===…avec screen === | screen

250 Mot inconnu : Screen => Screen est un outil plus répandu que dtach, il n'est pas aussi léger mais offre plus de fonctionnalités. | screen
250 Mot inconnu : dtach => Screen est un outil plus répandu que dtach, il n'est pas aussi léger mais offre plus de fonctionnalités. | dtach

252 Il manque un espace à côté du tiret. => <file bash>#!/bin/sh -e |  - => suggestions : [' – ', ' — ']

253 Mot inconnu : Start => # Start/Stop rtorrent sous forme de daemon. | start
253 Mot inconnu : rtorrent => # Start/Stop rtorrent sous forme de daemon. | rtorrent
253 Mot inconnu : daemon => # Start/Stop rtorrent sous forme de daemon. | daemon

255 Mot inconnu : NAME => NAME=rtorrent-daemon | name
255 Mot inconnu : rtorrent-daemon => NAME=rtorrent-daemon | rtorrent-daemon

256 Mot inconnu : SCRIPTNAME => SCRIPTNAME=/etc/init.d/$NAME | scriptname
256 Mot inconnu : NAME => SCRIPTNAME=/etc/init.d/$NAME | name

257 Mot inconnu : PATH => PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin | path

259 Si “in” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => case $1 in | 1 in => suggestions : ['1\xa0in']

260 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start) |          => suggestions : ['']
260 Mot inconnu : start =>         start) | start

261 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 echo "Starting rtorrent... " |                  => suggestions : ['']
261 Mot inconnu : echo =>                 echo "Starting rtorrent... " | echo
261 Guillemets typographiques ouvrants. =>                 echo "Starting rtorrent... " | " => suggestions : ['«\xa0', '“']
261 Mot inconnu : Starting =>                 echo "Starting rtorrent... " | starting
261 Mot inconnu : rtorrent =>                 echo "Starting rtorrent... " | rtorrent
261 Typographie : points de suspension. Utilisez le caractère dédié. =>                 echo "Starting rtorrent... " | ... => suggestions : ['…']
261 Guillemets fermants. =>                 echo "Starting rtorrent... " |  " => suggestions : ['\xa0»', '”']

262 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |                  => suggestions : ['']
262 Il manque un espace à côté du tiret. =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |  - => suggestions : [' – ', ' — ']
262 Guillemets typographiques ouvrants. =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | " => suggestions : ['«\xa0', '“']
262 Mot inconnu : screen =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | screen
262 Il manque un espace à côté du tiret. =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |  - => suggestions : [' – ', ' — ']
262 Mot inconnu : fn =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | fn
262 Mot inconnu : dmS =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | dms
262 Mot inconnu : rtd =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | rtd
262 Mot inconnu : nice =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | nice
262 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | -19 => suggestions : ['−19', '– 19', '— 19']
262 Mot inconnu : rtorrent =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | rtorrent
262 Guillemets typographiques fermants. =>                 su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | " => suggestions : ['\xa0»', '”']

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 echo "Terminated" |                  => suggestions : ['']
263 Mot inconnu : echo =>                 echo "Terminated" | echo
263 Guillemets typographiques ouvrants. =>                 echo "Terminated" | " => suggestions : ['«\xa0', '“']
263 Mot inconnu : Terminated =>                 echo "Terminated" | terminated
263 Guillemets typographiques fermants. =>                 echo "Terminated" | " => suggestions : ['\xa0»', '”']

264 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
264 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

265 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         stop) |          => suggestions : ['']

266 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |                  => suggestions : ['']
266 Pas d’espace après ce signe. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | [  => suggestions : ['[']
266 Mot inconnu : grep =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | grep
266 Il manque un espace à côté du tiret. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |  - => suggestions : [' – ', ' — ']
266 Mot inconnu : rtorrent =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | rtorrent
266 Espace(s) surnuméraire(s) à supprimer. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |    => suggestions : [' ']
266 Pas d’espace avant ce signe. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |  ] => suggestions : [']']
266 Mot inconnu : then =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | then

267 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 { |                  => suggestions : ['']

268 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Shutting down rtorrent... " |                          => suggestions : ['']
268 Mot inconnu : echo =>                         echo "Shutting down rtorrent... " | echo
268 Guillemets typographiques ouvrants. =>                         echo "Shutting down rtorrent... " | " => suggestions : ['«\xa0', '“']
268 Mot inconnu : Shutting =>                         echo "Shutting down rtorrent... " | shutting
268 Mot inconnu : down =>                         echo "Shutting down rtorrent... " | down
268 Mot inconnu : rtorrent =>                         echo "Shutting down rtorrent... " | rtorrent
268 Typographie : points de suspension. Utilisez le caractère dédié. =>                         echo "Shutting down rtorrent... " | ... => suggestions : ['…']
268 Guillemets fermants. =>                         echo "Shutting down rtorrent... " |  " => suggestions : ['\xa0»', '”']

269 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         killall -r "^.*rtorrent$" |                          => suggestions : ['']
269 Mot inconnu : killall =>                         killall -r "^.*rtorrent$" | killall
269 Il manque un espace à côté du tiret. =>                         killall -r "^.*rtorrent$" |  - => suggestions : [' – ', ' — ']
269 Mot inconnu : rtorrent =>                         killall -r "^.*rtorrent$" | rtorrent

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Terminated" |                          => suggestions : ['']
270 Mot inconnu : echo =>                         echo "Terminated" | echo
270 Guillemets typographiques ouvrants. =>                         echo "Terminated" | " => suggestions : ['«\xa0', '“']
270 Mot inconnu : Terminated =>                         echo "Terminated" | terminated
270 Guillemets typographiques fermants. =>                         echo "Terminated" | " => suggestions : ['\xa0»', '”']

271 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 } |                  => suggestions : ['']

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 else |                  => suggestions : ['']
272 Mot inconnu : else =>                 else | else

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 { |                  => suggestions : ['']

274 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "rtorrent not yet started !" |                          => suggestions : ['']
274 Mot inconnu : echo =>                         echo "rtorrent not yet started !" | echo
274 Guillemets typographiques ouvrants. =>                         echo "rtorrent not yet started !" | " => suggestions : ['«\xa0', '“']
274 Mot inconnu : rtorrent =>                         echo "rtorrent not yet started !" | rtorrent
274 Mot inconnu : not =>                         echo "rtorrent not yet started !" | not
274 Mot inconnu : yet =>                         echo "rtorrent not yet started !" | yet
274 Mot inconnu : started =>                         echo "rtorrent not yet started !" | started
274 Guillemets typographiques fermants. =>                         echo "rtorrent not yet started !" | " => suggestions : ['\xa0»', '”']

275 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Terminated" |                          => suggestions : ['']
275 Mot inconnu : echo =>                         echo "Terminated" | echo
275 Guillemets typographiques ouvrants. =>                         echo "Terminated" | " => suggestions : ['«\xa0', '“']
275 Mot inconnu : Terminated =>                         echo "Terminated" | terminated
275 Guillemets typographiques fermants. =>                         echo "Terminated" | " => suggestions : ['\xa0»', '”']

276 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 } |                  => suggestions : ['']

277 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 fi |                  => suggestions : ['']

278 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
278 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

279 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         restart) |          => suggestions : ['']
279 Mot inconnu : restart =>         restart) | restart

280 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |                  => suggestions : ['']
280 Pas d’espace après ce signe. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | [  => suggestions : ['[']
280 Mot inconnu : grep =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | grep
280 Il manque un espace à côté du tiret. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |  - => suggestions : [' – ', ' — ']
280 Mot inconnu : rtorrent =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | rtorrent
280 Espace(s) surnuméraire(s) à supprimer. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |    => suggestions : [' ']
280 Pas d’espace avant ce signe. =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then |  ] => suggestions : [']']
280 Mot inconnu : then =>                 if [ "$(ps aux | grep -e '.*rtorrent$' -c)" != 0  ]; then | then

281 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 { |                  => suggestions : ['']

282 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Shutting down rtorrent... " |                          => suggestions : ['']
282 Mot inconnu : echo =>                         echo "Shutting down rtorrent... " | echo
282 Guillemets typographiques ouvrants. =>                         echo "Shutting down rtorrent... " | " => suggestions : ['«\xa0', '“']
282 Mot inconnu : Shutting =>                         echo "Shutting down rtorrent... " | shutting
282 Mot inconnu : down =>                         echo "Shutting down rtorrent... " | down
282 Mot inconnu : rtorrent =>                         echo "Shutting down rtorrent... " | rtorrent
282 Typographie : points de suspension. Utilisez le caractère dédié. =>                         echo "Shutting down rtorrent... " | ... => suggestions : ['…']
282 Guillemets fermants. =>                         echo "Shutting down rtorrent... " |  " => suggestions : ['\xa0»', '”']

283 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         killall -r "^.*rtorrent$" |                          => suggestions : ['']
283 Mot inconnu : killall =>                         killall -r "^.*rtorrent$" | killall
283 Il manque un espace à côté du tiret. =>                         killall -r "^.*rtorrent$" |  - => suggestions : [' – ', ' — ']
283 Mot inconnu : rtorrent =>                         killall -r "^.*rtorrent$" | rtorrent

284 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Starting rtorrent... " |                          => suggestions : ['']
284 Mot inconnu : echo =>                         echo "Starting rtorrent... " | echo
284 Guillemets typographiques ouvrants. =>                         echo "Starting rtorrent... " | " => suggestions : ['«\xa0', '“']
284 Mot inconnu : Starting =>                         echo "Starting rtorrent... " | starting
284 Mot inconnu : rtorrent =>                         echo "Starting rtorrent... " | rtorrent
284 Typographie : points de suspension. Utilisez le caractère dédié. =>                         echo "Starting rtorrent... " | ... => suggestions : ['…']
284 Guillemets fermants. =>                         echo "Starting rtorrent... " |  " => suggestions : ['\xa0»', '”']

285 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |                          => suggestions : ['']
285 Il manque un espace à côté du tiret. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |  - => suggestions : [' – ', ' — ']
285 Guillemets typographiques ouvrants. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | " => suggestions : ['«\xa0', '“']
285 Mot inconnu : screen =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | screen
285 Il manque un espace à côté du tiret. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |  - => suggestions : [' – ', ' — ']
285 Mot inconnu : fn =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | fn
285 Mot inconnu : dmS =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | dms
285 Mot inconnu : rtd =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | rtd
285 Mot inconnu : nice =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | nice
285 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | -19 => suggestions : ['−19', '– 19', '— 19']
285 Mot inconnu : rtorrent =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | rtorrent
285 Guillemets typographiques fermants. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | " => suggestions : ['\xa0»', '”']

286 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Terminated" |                          => suggestions : ['']
286 Mot inconnu : echo =>                         echo "Terminated" | echo
286 Guillemets typographiques ouvrants. =>                         echo "Terminated" | " => suggestions : ['«\xa0', '“']
286 Mot inconnu : Terminated =>                         echo "Terminated" | terminated
286 Guillemets typographiques fermants. =>                         echo "Terminated" | " => suggestions : ['\xa0»', '”']

287 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 } |                  => suggestions : ['']

288 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 else |                  => suggestions : ['']
288 Mot inconnu : else =>                 else | else

289 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 { |                  => suggestions : ['']

290 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "rtorrent not yet started !" |                          => suggestions : ['']
290 Mot inconnu : echo =>                         echo "rtorrent not yet started !" | echo
290 Guillemets typographiques ouvrants. =>                         echo "rtorrent not yet started !" | " => suggestions : ['«\xa0', '“']
290 Mot inconnu : rtorrent =>                         echo "rtorrent not yet started !" | rtorrent
290 Mot inconnu : not =>                         echo "rtorrent not yet started !" | not
290 Mot inconnu : yet =>                         echo "rtorrent not yet started !" | yet
290 Mot inconnu : started =>                         echo "rtorrent not yet started !" | started
290 Guillemets typographiques fermants. =>                         echo "rtorrent not yet started !" | " => suggestions : ['\xa0»', '”']

291 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Starting rtorrent... " |                          => suggestions : ['']
291 Mot inconnu : echo =>                         echo "Starting rtorrent... " | echo
291 Guillemets typographiques ouvrants. =>                         echo "Starting rtorrent... " | " => suggestions : ['«\xa0', '“']
291 Mot inconnu : Starting =>                         echo "Starting rtorrent... " | starting
291 Mot inconnu : rtorrent =>                         echo "Starting rtorrent... " | rtorrent
291 Typographie : points de suspension. Utilisez le caractère dédié. =>                         echo "Starting rtorrent... " | ... => suggestions : ['…']
291 Guillemets fermants. =>                         echo "Starting rtorrent... " |  " => suggestions : ['\xa0»', '”']

