
10 Mot inconnu : lspci [[5:10]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lspci
10 Mot inconnu : lsusb [[62:67]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lsusb

13 Accord de nombre erroné : « compatibles » devrait être au singulier. [[17:28]] => ===== Cartes son compatibles ===== <|> compatibles => suggestions : ['compatible']

15 Guillemets typographiques ouvrants. [[58:59]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : of [[63:65]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> of
15 Mot inconnu : the [[66:69]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> the
15 Guillemets typographiques fermants. [[73:74]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['\xa0»', '”']

18 Mot inconnu : ALi [[2:5]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> ali
24 Guillemets typographiques ouvrants. [[284:285]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
24 Mot inconnu : Audigy [[285:291]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> audigy
24 Mot inconnu : Analog [[292:298]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> analog
24 Guillemets typographiques fermants. [[318:319]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']

25 Mot inconnu : Creative [[2:10]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> creative
25 Mot inconnu : Labs [[11:15]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> labs
25 Mot inconnu : Sound [[25:30]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> sound
25 Mot inconnu : Audigy [[39:45]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> audigy
25 Si “ZS” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[51:55]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> 2 zs => suggestions : ['2\xa0ZS']
25 Mot inconnu : emu10k1 [[57:64]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> emu10k1
25 Mot inconnu : Audigy [[139:145]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> audigy
25 Mot inconnu : Analog [[146:152]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> analog
25 Mot inconnu : Analog [[165:171]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> analog
25 Mot inconnu : kmix [[177:181]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> kmix
25 Mot inconnu : alsamixer [[188:197]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> alsamixer
25 Guillemets typographiques ouvrants. [[208:209]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> " => suggestions : ['«\xa0', '“']
25 Mot inconnu : Audigy [[209:215]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> audigy
25 Guillemets typographiques fermants. [[217:218]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> " => suggestions : ['\xa0»', '”']
25 Mot inconnu : Audigy [[226:232]] => | Creative Labs        | Sound Blaster Audigy 2 et 2 ZS| emu10k1          | Oui                  | Oui                    | Il faut passer Audigy Analog/Digital sur Analog dans kmix (Avec alsamixer, dé-muter "Audigy A") (idem Audigy ES ?)  | <|> audigy

27 Mot inconnu : Creative [[2:10]] => | Creative Labs        | Sound Blaster X-Fi Xtreme Audio| ca0106          | Oui                  | Oui                    | La carte est reconnue nativement par Ubuntu au moins depuis la version 11.04 | <|> creative
27 Mot inconnu : Labs [[11:15]] => | Creative Labs        | Sound Blaster X-Fi Xtreme Audio| ca0106          | Oui                  | Oui                    | La carte est reconnue nativement par Ubuntu au moins depuis la version 11.04 | <|> labs
27 Mot inconnu : Sound [[25:30]] => | Creative Labs        | Sound Blaster X-Fi Xtreme Audio| ca0106          | Oui                  | Oui                    | La carte est reconnue nativement par Ubuntu au moins depuis la version 11.04 | <|> sound
27 Mot inconnu : Xtreme [[44:50]] => | Creative Labs        | Sound Blaster X-Fi Xtreme Audio| ca0106          | Oui                  | Oui                    | La carte est reconnue nativement par Ubuntu au moins depuis la version 11.04 | <|> xtreme
27 Mot inconnu : ca0106 [[58:64]] => | Creative Labs        | Sound Blaster X-Fi Xtreme Audio| ca0106          | Oui                  | Oui                    | La carte est reconnue nativement par Ubuntu au moins depuis la version 11.04 | <|> ca0106

28 Mot inconnu : Creative [[2:10]] => | Creative Labs | Soundblaster Audigy FX 5.1 | CA0106 | Oui | Oui | Carte reconnue sous Ubuntu 14.04 et 16.04. Réglages depuis Outils système > Préférences > Sons. | <|> creative
28 Mot inconnu : Labs [[11:15]] => | Creative Labs | Soundblaster Audigy FX 5.1 | CA0106 | Oui | Oui | Carte reconnue sous Ubuntu 14.04 et 16.04. Réglages depuis Outils système > Préférences > Sons. | <|> labs
28 Mot inconnu : Soundblaster [[18:30]] => | Creative Labs | Soundblaster Audigy FX 5.1 | CA0106 | Oui | Oui | Carte reconnue sous Ubuntu 14.04 et 16.04. Réglages depuis Outils système > Préférences > Sons. | <|> soundblaster
28 Mot inconnu : Audigy [[31:37]] => | Creative Labs | Soundblaster Audigy FX 5.1 | CA0106 | Oui | Oui | Carte reconnue sous Ubuntu 14.04 et 16.04. Réglages depuis Outils système > Préférences > Sons. | <|> audigy
28 Mot inconnu : FX [[38:40]] => | Creative Labs | Soundblaster Audigy FX 5.1 | CA0106 | Oui | Oui | Carte reconnue sous Ubuntu 14.04 et 16.04. Réglages depuis Outils système > Préférences > Sons. | <|> fx
28 Mot inconnu : CA0106 [[47:53]] => | Creative Labs | Soundblaster Audigy FX 5.1 | CA0106 | Oui | Oui | Carte reconnue sous Ubuntu 14.04 et 16.04. Réglages depuis Outils système > Préférences > Sons. | <|> ca0106
29 Mot inconnu : CMI8738-MC6 [[16:27]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> cmi8738-mc6
29 Mot inconnu : CMI8738-MC6 [[34:45]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> cmi8738-mc6
29 Mot inconnu : CMI8738-MC6 [[152:163]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> cmi8738-mc6
29 Il manque un espace avant la parenthèse. [[163:164]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> ( => suggestions : [' (']
29 Mot inconnu : MIC [[298:301]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> mic
29 Incohérence probable avec “as” : “Center” n’est pas un participe passé. [[305:311]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> center => suggestions : ['Centé']
29 Mot inconnu : Mic [[320:323]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> mic
29 Mot inconnu : IEC958 [[333:339]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> iec958
29 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. [[340:342]] => | C-Media | PCI CMI8738-MC6 | PCI CMI8738-MC6 | Oui | Oui, avec les modifications suivantes  | Changer le périphérique du contrôleur de volume pour PCI CMI8738-MC6(Alsa Mixer). Activer toutes les préférences à partir du menu édition du contrôleur de volume. Aller à l'onglet Paramètres et décocher MIC as Center, cocher Mic Boost et IEC958 in Monitor (voir aussi la manipulation décri| <|> in => suggestions : ['un']

30 Mot inconnu : LDLC [[25:29]] => | C-Media (carte son 7.1 LDLC) | C-Media Oxygen HD CMI8768 | CMI8768 | Oui | oui | Plus en vente (en ligne) sur LDLC, à titre définitif | <|> ldlc
30 Mot inconnu : Oxygen [[41:47]] => | C-Media (carte son 7.1 LDLC) | C-Media Oxygen HD CMI8768 | CMI8768 | Oui | oui | Plus en vente (en ligne) sur LDLC, à titre définitif | <|> oxygen
30 Mot inconnu : CMI8768 [[51:58]] => | C-Media (carte son 7.1 LDLC) | C-Media Oxygen HD CMI8768 | CMI8768 | Oui | oui | Plus en vente (en ligne) sur LDLC, à titre définitif | <|> cmi8768
30 Mot inconnu : CMI8768 [[61:68]] => | C-Media (carte son 7.1 LDLC) | C-Media Oxygen HD CMI8768 | CMI8768 | Oui | oui | Plus en vente (en ligne) sur LDLC, à titre définitif | <|> cmi8768
30 Mot inconnu : LDLC [[112:116]] => | C-Media (carte son 7.1 LDLC) | C-Media Oxygen HD CMI8768 | CMI8768 | Oui | oui | Plus en vente (en ligne) sur LDLC, à titre définitif | <|> ldlc

31 Mot inconnu : ICH6 [[38:42]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> ich6
31 Mot inconnu : Family [[43:49]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> family
31 Mot inconnu : Definition [[56:66]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> definition
31 Mot inconnu : Controller [[73:83]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> controller
31 Mot inconnu : rev [[85:88]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> rev
31 Mot inconnu : FB [[100:102]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> fb
31 Mot inconnu : FBM [[103:106]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> fbm
31 Mot inconnu : FW [[110:112]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> fw
31 Mot inconnu : FRW [[113:116]] => | Intel intégrée | Intel Corporation (ICH6 Family) High Definition Audio Controller (rev 04) | 82801FB/FBM/FR/FW/FRW | oui | oui | rien à faire, tout fonctionne | <|> frw

32 Mot inconnu : ICH8 [[45:49]] => | Intel intégrée | Intel Corporation 82801H (ICH8 Family) HD Audio Controller (rev 02) | 82801H? | oui | oui | ok mais parfois impossible de lancer 2 applications sonores en même temps (ex: firefox + pure data). | <|> ich8
32 Mot inconnu : Family [[50:56]] => | Intel intégrée | Intel Corporation 82801H (ICH8 Family) HD Audio Controller (rev 02) | 82801H? | oui | oui | ok mais parfois impossible de lancer 2 applications sonores en même temps (ex: firefox + pure data). | <|> family
32 Mot inconnu : Controller [[67:77]] => | Intel intégrée | Intel Corporation 82801H (ICH8 Family) HD Audio Controller (rev 02) | 82801H? | oui | oui | ok mais parfois impossible de lancer 2 applications sonores en même temps (ex: firefox + pure data). | <|> controller
32 Mot inconnu : rev [[79:82]] => | Intel intégrée | Intel Corporation 82801H (ICH8 Family) HD Audio Controller (rev 02) | 82801H? | oui | oui | ok mais parfois impossible de lancer 2 applications sonores en même temps (ex: firefox + pure data). | <|> rev
32 Mot inconnu : ok [[111:113]] => | Intel intégrée | Intel Corporation 82801H (ICH8 Family) HD Audio Controller (rev 02) | 82801H? | oui | oui | ok mais parfois impossible de lancer 2 applications sonores en même temps (ex: firefox + pure data). | <|> ok

33 Mot inconnu : ICH9 [[45:49]] => | Intel intégrée | Intel Corporation 82801I (ICH9 Family) HD Audio Controller (rev 03) | 82801H? | oui | oui | Le son grésille si volume trop fort. Casque Ok| <|> ich9
33 Mot inconnu : Family [[50:56]] => | Intel intégrée | Intel Corporation 82801I (ICH9 Family) HD Audio Controller (rev 03) | 82801H? | oui | oui | Le son grésille si volume trop fort. Casque Ok| <|> family
33 Mot inconnu : Controller [[67:77]] => | Intel intégrée | Intel Corporation 82801I (ICH9 Family) HD Audio Controller (rev 03) | 82801H? | oui | oui | Le son grésille si volume trop fort. Casque Ok| <|> controller
33 Mot inconnu : rev [[79:82]] => | Intel intégrée | Intel Corporation 82801I (ICH9 Family) HD Audio Controller (rev 03) | 82801H? | oui | oui | Le son grésille si volume trop fort. Casque Ok| <|> rev
33 Mot inconnu : Ok [[155:157]] => | Intel intégrée | Intel Corporation 82801I (ICH9 Family) HD Audio Controller (rev 03) | 82801H? | oui | oui | Le son grésille si volume trop fort. Casque Ok| <|> ok

34 Mot inconnu : Device [[37:43]] => | Intel intégrée | Intel Corporation Device a2f0 | | oui | oui | rien à faire, tout fonctionne | <|> device
34 Mot inconnu : a2f0 [[44:48]] => | Intel intégrée | Intel Corporation Device a2f0 | | oui | oui | rien à faire, tout fonctionne | <|> a2f0

36 Mot inconnu : Revolution [[12:22]] => | M-audio | Revolution 7.1 | ICE 1724 | Oui | Oui | La sortie avant gauche est mutée à chaque démarrage, il suffit de lancer alsamixer et de faire varier le volume de PCM pour que cela fonctionne. | <|> revolution
36 Mot inconnu : ICE [[29:32]] => | M-audio | Revolution 7.1 | ICE 1724 | Oui | Oui | La sortie avant gauche est mutée à chaque démarrage, il suffit de lancer alsamixer et de faire varier le volume de PCM pour que cela fonctionne. | <|> ice
36 Mot inconnu : alsamixer [[125:134]] => | M-audio | Revolution 7.1 | ICE 1724 | Oui | Oui | La sortie avant gauche est mutée à chaque démarrage, il suffit de lancer alsamixer et de faire varier le volume de PCM pour que cela fonctionne. | <|> alsamixer
36 Mot inconnu : PCM [[167:170]] => | M-audio | Revolution 7.1 | ICE 1724 | Oui | Oui | La sortie avant gauche est mutée à chaque démarrage, il suffit de lancer alsamixer et de faire varier le volume de PCM pour que cela fonctionne. | <|> pcm

37 Mot inconnu : lt [[23:25]] => | M-audio | Delta 1010 lt | ICE 1724 | Oui | Oui | Rien à dire à part que dans l'onglet analog volume, la première entrée/sortie est numérotée par 0 et non par 1. | <|> lt
37 Mot inconnu : ICE [[28:31]] => | M-audio | Delta 1010 lt | ICE 1724 | Oui | Oui | Rien à dire à part que dans l'onglet analog volume, la première entrée/sortie est numérotée par 0 et non par 1. | <|> ice
37 Mot inconnu : analog [[88:94]] => | M-audio | Delta 1010 lt | ICE 1724 | Oui | Oui | Rien à dire à part que dans l'onglet analog volume, la première entrée/sortie est numérotée par 0 et non par 1. | <|> analog

41 Mot inconnu : Realtek [[2:9]] => | Realtek                | ACL650 AC'97        | snd_via82xx       | Oui                 | Oui                  | Il faut parfois mettre manuellement snd_via82xx a la fin de son /etc/modules  | <|> realtek
41 Mot inconnu : ACL650 [[27:33]] => | Realtek                | ACL650 AC'97        | snd_via82xx       | Oui                 | Oui                  | Il faut parfois mettre manuellement snd_via82xx a la fin de son /etc/modules  | <|> acl650
41 Mot inconnu : AC'97 [[34:39]] => | Realtek                | ACL650 AC'97        | snd_via82xx       | Oui                 | Oui                  | Il faut parfois mettre manuellement snd_via82xx a la fin de son /etc/modules  | <|> ac'97
41 Mot inconnu : snd_via82xx [[49:60]] => | Realtek                | ACL650 AC'97        | snd_via82xx       | Oui                 | Oui                  | Il faut parfois mettre manuellement snd_via82xx a la fin de son /etc/modules  | <|> snd_via82xx
41 Mot inconnu : snd_via82xx [[150:161]] => | Realtek                | ACL650 AC'97        | snd_via82xx       | Oui                 | Oui                  | Il faut parfois mettre manuellement snd_via82xx a la fin de son /etc/modules  | <|> snd_via82xx
43 Mot inconnu : SiS7012 [[27:34]] => | SIS                    | SiS7012             |                   | Oui                 | Oui                  | Dans certain cas (dans mon cas en particulier) il a fallu dans alsamixer activer tous les volumes SAUF External Amplifier (qui est à mettre en sourdine/mute)  | <|> sis7012
43 Mot inconnu : alsamixer [[177:186]] => | SIS                    | SiS7012             |                   | Oui                 | Oui                  | Dans certain cas (dans mon cas en particulier) il a fallu dans alsamixer activer tous les volumes SAUF External Amplifier (qui est à mettre en sourdine/mute)  | <|> alsamixer
43 Mot inconnu : External [[217:225]] => | SIS                    | SiS7012             |                   | Oui                 | Oui                  | Dans certain cas (dans mon cas en particulier) il a fallu dans alsamixer activer tous les volumes SAUF External Amplifier (qui est à mettre en sourdine/mute)  | <|> external

44 Mot inconnu : Terratec [[2:10]] => | Terratec | EWX 24/96 | snd-ice1712 | oui | oui |  | <|> terratec
44 Mot inconnu : EWX [[13:16]] => | Terratec | EWX 24/96 | snd-ice1712 | oui | oui |  | <|> ewx
44 Mot inconnu : snd-ice1712 [[25:36]] => | Terratec | EWX 24/96 | snd-ice1712 | oui | oui |  | <|> snd-ice1712

45 Mot inconnu : Terratec [[2:10]] => | Terratec | DMX6Fire 24/96 | snd_ice1712 | oui | oui | Utiliser le mixer envy24control du paquet alsa-tools-gui | <|> terratec
45 Mot inconnu : DMX6Fire [[13:21]] => | Terratec | DMX6Fire 24/96 | snd_ice1712 | oui | oui | Utiliser le mixer envy24control du paquet alsa-tools-gui | <|> dmx6fire
45 Mot inconnu : snd_ice1712 [[30:41]] => | Terratec | DMX6Fire 24/96 | snd_ice1712 | oui | oui | Utiliser le mixer envy24control du paquet alsa-tools-gui | <|> snd_ice1712
45 Mot inconnu : envy24control [[74:87]] => | Terratec | DMX6Fire 24/96 | snd_ice1712 | oui | oui | Utiliser le mixer envy24control du paquet alsa-tools-gui | <|> envy24control
45 Mot inconnu : alsa-tools-gui [[98:112]] => | Terratec | DMX6Fire 24/96 | snd_ice1712 | oui | oui | Utiliser le mixer envy24control du paquet alsa-tools-gui | <|> alsa-tools-gui

46 Mot inconnu : Terratec [[2:10]] => | Terratec | EWS88MT | ? | oui | oui | pour Xmms utiliser le greffon oss 1.2.10  pour éviter les crépitements | <|> terratec
46 Mot inconnu : EWS88MT [[13:20]] => | Terratec | EWS88MT | ? | oui | oui | pour Xmms utiliser le greffon oss 1.2.10  pour éviter les crépitements | <|> ews88mt
46 Mot inconnu : Xmms [[44:48]] => | Terratec | EWS88MT | ? | oui | oui | pour Xmms utiliser le greffon oss 1.2.10  pour éviter les crépitements | <|> xmms
46 Mot inconnu : oss [[69:72]] => | Terratec | EWS88MT | ? | oui | oui | pour Xmms utiliser le greffon oss 1.2.10  pour éviter les crépitements | <|> oss

47 Mot inconnu : Terratec [[2:10]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> terratec
47 Mot inconnu : Auréon [[13:19]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> auréon
47 Mot inconnu : Electronics [[38:49]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> electronics
47 Mot inconnu : Inc [[50:53]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> inc
47 Mot inconnu : CM8738 [[54:60]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> cm8738
47 Mot inconnu : rev [[62:65]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> rev
47 Guillemets typographiques ouvrants. [[111:112]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> " => suggestions : ['«\xa0', '“']
47 Mot inconnu : IEC958 [[112:118]] => | Terratec | Auréon 5.1 PCI | C-Media Electronics Inc CM8738 (rev 10) | oui | oui | Tout fonctionne (cocher le "IEC958 Output dans les paramètres alsa). | <|> iec958

52 Mot inconnu : Behringer [[2:11]] => | Behringer | UCA202 | PCM2902 | Oui | Oui | Connecter la carte son avant le démarrage du PC, puis sélectionner cette carte son externe dans le menu de configuration audio (Multimedia / Phonon en Kubuntu 11.04) | <|> behringer
52 Mot inconnu : UCA202 [[14:20]] => | Behringer | UCA202 | PCM2902 | Oui | Oui | Connecter la carte son avant le démarrage du PC, puis sélectionner cette carte son externe dans le menu de configuration audio (Multimedia / Phonon en Kubuntu 11.04) | <|> uca202
52 Mot inconnu : PCM2902 [[23:30]] => | Behringer | UCA202 | PCM2902 | Oui | Oui | Connecter la carte son avant le démarrage du PC, puis sélectionner cette carte son externe dans le menu de configuration audio (Multimedia / Phonon en Kubuntu 11.04) | <|> pcm2902
52 Mot inconnu : Multimedia [[173:183]] => | Behringer | UCA202 | PCM2902 | Oui | Oui | Connecter la carte son avant le démarrage du PC, puis sélectionner cette carte son externe dans le menu de configuration audio (Multimedia / Phonon en Kubuntu 11.04) | <|> multimedia

53 Mot inconnu : Behringer [[2:11]] => | Behringer | XENYX X1204USB  | ? | Oui | Oui | Fonctionne sur Ubuntu 14.04 | <|> behringer
53 Mot inconnu : XENYX [[14:19]] => | Behringer | XENYX X1204USB  | ? | Oui | Oui | Fonctionne sur Ubuntu 14.04 | <|> xenyx
