
4 Mot inconnu : OpenLDAP => ====== Un serveur d'annuaire avec OpenLDAP ====== | openldap
289 Mot inconnu : memory_limit => trouvez la section suivante et changez la valeur memory_limit = 16M en mettant 50M : | memory_limit

300 Élision de l’article devant un mot commençant par une voyelle. => Il suffit ensuite de recharger la configuration de apache pour que la modification soit prise en compte : | de  => suggestions : ['d’']

303 Mot inconnu : ldap => puis relancer votre serveur ldap : | ldap

306 Mot inconnu : Developpez => [[http://www.developpez.net/forums/d489029/hardware-systemes-logiciels/linux/reseau/phpldapadmin-memory-limit-low/|source forum Developpez.com]] | developpez

308 Mot inconnu : LDAP => ===== Réplication des données LDAP ===== | ldap

310 Mot inconnu : LDAP => Le service LDAP peut vite devenir un service hautement critique dans votre système d'information : tout dépend (ou peut dépendre) de LDAP : | ldap
310 Mot inconnu : LDAP => Le service LDAP peut vite devenir un service hautement critique dans votre système d'information : tout dépend (ou peut dépendre) de LDAP : | ldap

312 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Authentification |    => suggestions : ['']

313 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Autorisation |    => suggestions : ['']

314 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mail |    => suggestions : ['']

315 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
315 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

317 Mot inconnu : HOWTO => Ce serait donc une bonne idée de créer un système redondant. Le mini HOWTO ci-dessous vous permettra de le faire. | howto

320 Mot inconnu : OpenLDAP => Avec OpenLDAP 2.2 (sur Breezy et Dapper), la réplication est basée sur une communication maître-esclave. | openldap
320 Mot inconnu : Breezy => Avec OpenLDAP 2.2 (sur Breezy et Dapper), la réplication est basée sur une communication maître-esclave. | breezy
320 Mot inconnu : Dapper => Avec OpenLDAP 2.2 (sur Breezy et Dapper), la réplication est basée sur une communication maître-esclave. | dapper

322 Mot inconnu : __ => __**ATTENTION **__  | __
322 Mot inconnu : __ => __**ATTENTION **__  | __
322 Espace(s) en fin de ligne à supprimer. => __**ATTENTION **__  |   => suggestions : ['']

328 Guillemets typographiques ouvrants. => Sur le maître, vous devez modifier la section "base de donnée" du fichier de configuration ''/etc/ldap/slapd.conf'' pour ajouter une instruction de réplication. | " => suggestions : ['«\xa0', '“']
328 Guillemets typographiques fermants. => Sur le maître, vous devez modifier la section "base de donnée" du fichier de configuration ''/etc/ldap/slapd.conf'' pour ajouter une instruction de réplication. | " => suggestions : ['\xa0»', '”']

329 Mot inconnu : ldap-2 => L'exemple suivant montre une réplication sur le serveur ''ldap-2.example.com'' avec le Manager //user// et le mot de passe //secret//. | ldap-2
329 Mot inconnu : example => L'exemple suivant montre une réplication sur le serveur ''ldap-2.example.com'' avec le Manager //user// et le mot de passe //secret//. | example

330 Écriture invariable. Utilisez un point médian. => Le fichier de log est l'emplacement où les données seront stockées avant d’être envoyées sur le(s) serveur(s) esclave(s). | serveur(s) => suggestions : ['serveur·s']
330 Écriture invariable. Utilisez un point médian. => Le fichier de log est l'emplacement où les données seront stockées avant d’être envoyées sur le(s) serveur(s) esclave(s). | esclave(s) => suggestions : ['esclave·s']
332 Mot inconnu : slapd => <note important>Note d'un internaute : Comment faire pour les versions ou le fichier slapd.conf n'existe plus, comme c'est dit plus haut??</note> | slapd
332 Il manque un espace. => <note important>Note d'un internaute : Comment faire pour les versions ou le fichier slapd.conf n'existe plus, comme c'est dit plus haut??</note> | conf => suggestions : [' conf']

350 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Il ne reste plus qu'a redémarrer votre serveur LDAP :) | a => suggestions : ['à']
350 Incohérence probable avec “a” : “redémarrer” n’est pas un participe passé. => Il ne reste plus qu'a redémarrer votre serveur LDAP :) | redémarrer => suggestions : ['redémarré']
350 Mot inconnu : LDAP => Il ne reste plus qu'a redémarrer votre serveur LDAP :) | ldap

353 Écriture invariable. Utilisez un point médian. => === Le(s) Esclave(s) === | esclave(s) => suggestions : ['Esclave·s']

355 Écriture invariable. Utilisez un point médian. => Sur le(s) serveur(s) esclave(s) , il vous suffit d'autoriser votre serveur maître à mettre à jour la base de donnée LDAP. Pour cela ajoutez les lignes suivantes dans votre ''/etc/ldap/slapd.conf'' à la section base de données : | serveur(s) => suggestions : ['serveur·s']
355 Écriture invariable. Utilisez un point médian. => Sur le(s) serveur(s) esclave(s) , il vous suffit d'autoriser votre serveur maître à mettre à jour la base de donnée LDAP. Pour cela ajoutez les lignes suivantes dans votre ''/etc/ldap/slapd.conf'' à la section base de données : | esclave(s) => suggestions : ['esclave·s']
355 Pas d’espace avant une virgule. => Sur le(s) serveur(s) esclave(s) , il vous suffit d'autoriser votre serveur maître à mettre à jour la base de donnée LDAP. Pour cela ajoutez les lignes suivantes dans votre ''/etc/ldap/slapd.conf'' à la section base de données : |  , => suggestions : [',']
355 Mot inconnu : LDAP => Sur le(s) serveur(s) esclave(s) , il vous suffit d'autoriser votre serveur maître à mettre à jour la base de donnée LDAP. Pour cela ajoutez les lignes suivantes dans votre ''/etc/ldap/slapd.conf'' à la section base de données : | ldap

362 Mot inconnu : LDAP => Redémarrez votre serveur LDAP (l'esclave). | ldap

368 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.ubuntu.com/OpenLDAPServer|La version Anglaise]] |    => suggestions : ['']
368 S’il s’agit d’un adjectif, ne mettez pas de majuscule. =>   * [[https://wiki.ubuntu.com/OpenLDAPServer|La version Anglaise]] | anglaise => suggestions : ['anglaise']

369 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://help.ubuntu.com/8.10/serverguide/C/openldap-server.html|La version Anglaise mis a jour pour 8.10]] |    => suggestions : ['']
369 S’il s’agit d’un adjectif, ne mettez pas de majuscule. =>   * [[https://help.ubuntu.com/8.10/serverguide/C/openldap-server.html|La version Anglaise mis a jour pour 8.10]] | anglaise => suggestions : ['anglaise']
369 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. =>   * [[https://help.ubuntu.com/8.10/serverguide/C/openldap-server.html|La version Anglaise mis a jour pour 8.10]] | a => suggestions : ['à']

370 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.openldap.org/|OpenLDAP.org]] |    => suggestions : ['']
370 Mot inconnu : OpenLDAP =>   * [[https://www.openldap.org/|OpenLDAP.org]] | openldap

371 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.tldp.org/HOWTO/html_single/LDAP-HOWTO/|LDAP HOWTO]] |    => suggestions : ['']
371 Mot inconnu : LDAP =>   * [[http://www.tldp.org/HOWTO/html_single/LDAP-HOWTO/|LDAP HOWTO]] | ldap
371 Mot inconnu : HOWTO =>   * [[http://www.tldp.org/HOWTO/html_single/LDAP-HOWTO/|LDAP HOWTO]] | howto

372 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://luma.sourceforge.net/|Un GUI pour LDAP]] (Disponible dans les dépots) |    => suggestions : ['']
372 Mot inconnu : LDAP =>   * [[http://luma.sourceforge.net/|Un GUI pour LDAP]] (Disponible dans les dépots) | ldap
372 Mot inconnu : dépots =>   * [[http://luma.sourceforge.net/|Un GUI pour LDAP]] (Disponible dans les dépots) | dépots

373 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://ralf.schaeftlein.de/2009/02/04/howto-setup-a-openldap-server-for-ubuntu-810/|OpenLDAP Ubuntu 8.10 HOWTO]] |    => suggestions : ['']
373 Mot inconnu : OpenLDAP =>   * [[http://ralf.schaeftlein.de/2009/02/04/howto-setup-a-openldap-server-for-ubuntu-810/|OpenLDAP Ubuntu 8.10 HOWTO]] | openldap
373 Mot inconnu : HOWTO =>   * [[http://ralf.schaeftlein.de/2009/02/04/howto-setup-a-openldap-server-for-ubuntu-810/|OpenLDAP Ubuntu 8.10 HOWTO]] | howto

377 Il manque un espace. => Contributeurs : [[utilisateurs:Sp4rKy]] puis remis (un peu) en page et déplacé par [[utilisateurs:bastnic]], [[utilisateurs:Kenny432]]. | sp4rky => suggestions : [' Sp4rKy']
377 Il manque un espace. => Contributeurs : [[utilisateurs:Sp4rKy]] puis remis (un peu) en page et déplacé par [[utilisateurs:bastnic]], [[utilisateurs:Kenny432]]. | bastnic => suggestions : [' bastnic']
377 Il manque un espace. => Contributeurs : [[utilisateurs:Sp4rKy]] puis remis (un peu) en page et déplacé par [[utilisateurs:bastnic]], [[utilisateurs:Kenny432]]. | kenny432 => suggestions : [' Kenny432']
