
5 Mot inconnu : ZSH => ====== ZSH ====== | zsh
238 Mot inconnu : bindkey =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | bindkey
238 Il manque un espace à côté du tiret. =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. |  - => suggestions : [' – ', ' — ']
238 Mot inconnu : bindkey =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | bindkey
238 Il manque un espace à côté du tiret. =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. |  - => suggestions : [' – ', ' — ']
238 Mot inconnu : emacs =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | emacs
240 Mot inconnu : zshrc => Si ça ne résout pas le bug (cf « résolution de problèmes »), insérer les lignes suivantes dans ~/.zshrc : | zshrc

245 Mot inconnu : bindkey => bindkey "^R" history-incremental-search-backward # Rechercher</code> | bindkey
245 Guillemets typographiques fermants. => bindkey "^R" history-incremental-search-backward # Rechercher</code> | " => suggestions : ['\xa0»', '”']
245 Mot inconnu : history-incremental-search-backward => bindkey "^R" history-incremental-search-backward # Rechercher</code> | history-incremental-search-backward
247 Mot inconnu : bindkey => <code bash>cat -v</code> et taper sur la touche du clavier désirée pour connaître son bindkey, vous verrez que ce dernier ne correspond pas à ceux listés par : | bindkey

249 Mot inconnu : bindkey => À noter, que vous pouvez directement connaître le bindkey via Vim : passer en mode insertion et taper Ctrl V</note> | bindkey

250 Mot inconnu : killall => ==== Complétion pour la commande killall ==== | killall

251 Mot inconnu : bash => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | bash
251 Accord avec le sujet “ils” : “dérouté” devrait être au masculin pluriel. => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | dérouté => suggestions : ['déroutés']
251 Mot inconnu : killall => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | killall
251 Espace(s) surnuméraire(s) à supprimer. => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] |    => suggestions : [' ']
251 Mot inconnu : zsh's => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | zsh's
251 Mot inconnu : killall => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | killall
251 Mot inconnu : tab => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | tab
251 Mot inconnu : completion => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | completion
251 Mot inconnu : should => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | should
251 Mot inconnu : bash's => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] | bash's
251 Pas d’espace avant ce signe. => Pour ceux qui viennent de bash ils seront dérouté de voir que la commande killall ne propose pas de complétion, ce bogue a été corrigé :  [[https://bugs.launchpad.net/ubuntu/+source/zsh/+bug/204234|zsh's killall process tab completion should match bash's ]] |  ] => suggestions : [']']

253 Espace(s) surnuméraire(s) à supprimer. => Pour faire simple, il suffit de rajouter dans le fichier /etc/zsh/zshrc  les lignes suivantes : |    => suggestions : [' ']

259 Mot inconnu : zstyle => zstyle ':completion:*:*:killall:*' menu yes select</code> | zstyle
259 Mot inconnu : completion => zstyle ':completion:*:*:killall:*' menu yes select</code> | completion
259 Mot inconnu : killall => zstyle ':completion:*:*:killall:*' menu yes select</code> | killall
259 Mot inconnu : yes => zstyle ':completion:*:*:killall:*' menu yes select</code> | yes

262 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://wiki.gentoo.org/wiki/Zsh|Guide sur l'installation et la configuration de zsh]] sur Gentoo.org |    => suggestions : ['']
262 Mot inconnu : zsh =>   * **(en)** [[https://wiki.gentoo.org/wiki/Zsh|Guide sur l'installation et la configuration de zsh]] sur Gentoo.org | zsh
262 Mot inconnu : Gentoo =>   * **(en)** [[https://wiki.gentoo.org/wiki/Zsh|Guide sur l'installation et la configuration de zsh]] sur Gentoo.org | gentoo

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://zshwiki.org/home/]] |    => suggestions : ['']

264 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  **(en)** [[https://hackernoon.com/macbook-my-command-line-utilities-f8a121c3b019#.87unujp9a|Description des usages de la commande]] |    => suggestions : ['']

265 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://cli.asyd.net/home/shell/zsh/racine]] |    => suggestions : ['']
