
4 Mot inconnu : Nagios => ====== Nagios : moniteur de supervision ====== | nagios
461 Mot inconnu : acheterez => Nous avons choisi un GSM de marque Siemens AX75 et son câble data DCA-510 pour effectuer nos notifications SMS. Il suffit juste d'acheter une carte prépayée ou un abonnement uniquement SMS pour pouvoir se connecter au réseau de l'opérateur mobile. Nous avons choisi Siemens car les câbles data servent également à recharger le téléphone cellulaire via l'alimentation de la fiche USB. En effet, sur la plupart des mobiles, vous ne pouvez pas connecter le cordon d'alimentation et le câble data en même temps. C'est un des points à surveiller quand vous acheterez le GSM servant à la notification. | acheterez

496 Mot inconnu : gsmlib => //Remarque :// Il est inutile de me contacter pour des problèmes de compatibilité de GSM, câble et gsmlib. Veuillez directement vous adresser au développeur de gsmlib ([[http://www.pxh.de/fs/gsmlib/index.html|site web]]). | gsmlib
496 Mot inconnu : gsmlib => //Remarque :// Il est inutile de me contacter pour des problèmes de compatibilité de GSM, câble et gsmlib. Veuillez directement vous adresser au développeur de gsmlib ([[http://www.pxh.de/fs/gsmlib/index.html|site web]]). | gsmlib

497 Mot inconnu : Voice => ==== Notifications par SMS / Voice call / iPhone push notification : TeamTILT pour Nagios ==== | voice
497 Mot inconnu : call => ==== Notifications par SMS / Voice call / iPhone push notification : TeamTILT pour Nagios ==== | call
497 Mot inconnu : iPhone => ==== Notifications par SMS / Voice call / iPhone push notification : TeamTILT pour Nagios ==== | iphone
497 Mot inconnu : push => ==== Notifications par SMS / Voice call / iPhone push notification : TeamTILT pour Nagios ==== | push
497 Mot inconnu : TeamTILT => ==== Notifications par SMS / Voice call / iPhone push notification : TeamTILT pour Nagios ==== | teamtilt
497 Mot inconnu : Nagios => ==== Notifications par SMS / Voice call / iPhone push notification : TeamTILT pour Nagios ==== | nagios

499 Mot inconnu : Nagios => Une solution très simple existe pour envoyer ses notifications Nagios via SMS ou voice call : le client TeamTILT pour Nagios.  | nagios
499 Mot inconnu : voice => Une solution très simple existe pour envoyer ses notifications Nagios via SMS ou voice call : le client TeamTILT pour Nagios.  | voice
499 Mot inconnu : call => Une solution très simple existe pour envoyer ses notifications Nagios via SMS ou voice call : le client TeamTILT pour Nagios.  | call
499 Mot inconnu : TeamTILT => Une solution très simple existe pour envoyer ses notifications Nagios via SMS ou voice call : le client TeamTILT pour Nagios.  | teamtilt
499 Mot inconnu : Nagios => Une solution très simple existe pour envoyer ses notifications Nagios via SMS ou voice call : le client TeamTILT pour Nagios.  | nagios
499 Espace(s) en fin de ligne à supprimer. => Une solution très simple existe pour envoyer ses notifications Nagios via SMS ou voice call : le client TeamTILT pour Nagios.  |   => suggestions : ['']

501 Mot inconnu : __Brève => __Brève description :__  | __brève
501 Mot inconnu : __ => __Brève description :__  | __
501 Espace(s) en fin de ligne à supprimer. => __Brève description :__  |   => suggestions : ['']

503 Mot inconnu : recues => Un client Java est à installer sur le serveur de monitoring. Ce client se connecte via une requête SOAP à un serveur distant qui est chargé de renvoyer les alertes recues par SMS ou voice call selon le schéma d'alerte du contact. Cette solution à plusieurs avantages :  | recues
503 Mot inconnu : voice => Un client Java est à installer sur le serveur de monitoring. Ce client se connecte via une requête SOAP à un serveur distant qui est chargé de renvoyer les alertes recues par SMS ou voice call selon le schéma d'alerte du contact. Cette solution à plusieurs avantages :  | voice
503 Mot inconnu : call => Un client Java est à installer sur le serveur de monitoring. Ce client se connecte via une requête SOAP à un serveur distant qui est chargé de renvoyer les alertes recues par SMS ou voice call selon le schéma d'alerte du contact. Cette solution à plusieurs avantages :  | call
503 Espace(s) en fin de ligne à supprimer. => Un client Java est à installer sur le serveur de monitoring. Ce client se connecte via une requête SOAP à un serveur distant qui est chargé de renvoyer les alertes recues par SMS ou voice call selon le schéma d'alerte du contact. Cette solution à plusieurs avantages :  |   => suggestions : ['']

511 Mot inconnu : __Quelques => __Quelques fonctionnalités :__  | __quelques
511 Mot inconnu : __ => __Quelques fonctionnalités :__  | __
511 Espace(s) en fin de ligne à supprimer. => __Quelques fonctionnalités :__  |   => suggestions : ['']

519 Mot inconnu : __Procédure => __Procédure d'installation :__ | __procédure
519 Mot inconnu : __ => __Procédure d'installation :__ | __

522 Mot inconnu : sudo => //sudo wget http://www.alarmtilt.com/clients/TeamTILTClientForNagios_CL_JRE_32.tar.gz => version console 32 bits\\ | sudo
522 Mot inconnu : wget => //sudo wget http://www.alarmtilt.com/clients/TeamTILTClientForNagios_CL_JRE_32.tar.gz => version console 32 bits\\ | wget

523 Mot inconnu : sudo => sudo wget http://www.alarmtilt.com/clients/TeamTILTClientForNagios_CL_JRE_64.tar.gz => version console 64 bits // | sudo
523 Mot inconnu : wget => sudo wget http://www.alarmtilt.com/clients/TeamTILTClientForNagios_CL_JRE_64.tar.gz => version console 64 bits // | wget

526 Mot inconnu : sudo => //sudo tar xzvf TeamTILTClientForNagios_CL_JRE_32.tar.gz// | sudo
526 Mot inconnu : tar => //sudo tar xzvf TeamTILTClientForNagios_CL_JRE_32.tar.gz// | tar
526 Mot inconnu : xzvf => //sudo tar xzvf TeamTILTClientForNagios_CL_JRE_32.tar.gz// | xzvf

528 Mot inconnu : TeamTILTForNagios => //cd TeamTILTForNagios/ | teamtiltfornagios

529 Mot inconnu : sudo => sudo ./runTeamTILT.sh// | sudo
529 Mot inconnu : runTeamTILT => sudo ./runTeamTILT.sh// | runteamtilt
529 Mot inconnu : sh => sudo ./runTeamTILT.sh// | sh

540 Mot inconnu : Nagios => La relation entre le moteur et les greffons est assurée d'une part dans la configuration de Nagios (dans les //services// et les //misccommands//), pour que Nagios sache quelles vérifications lancer sur ou à destination de quelles machines ou services, d'autre part par le code de retour ainsi que la sortie standard d'un greffon. | nagios
540 Mot inconnu : misccommands => La relation entre le moteur et les greffons est assurée d'une part dans la configuration de Nagios (dans les //services// et les //misccommands//), pour que Nagios sache quelles vérifications lancer sur ou à destination de quelles machines ou services, d'autre part par le code de retour ainsi que la sortie standard d'un greffon. | misccommands
540 Mot inconnu : Nagios => La relation entre le moteur et les greffons est assurée d'une part dans la configuration de Nagios (dans les //services// et les //misccommands//), pour que Nagios sache quelles vérifications lancer sur ou à destination de quelles machines ou services, d'autre part par le code de retour ainsi que la sortie standard d'un greffon. | nagios

552 Mot inconnu : SSH => Ces greffons fonctionnent soit en local sur la machine supervisée (par exemple les vérifications sur les disques), soit effectuent des tests à distance (tests sur des protocoles réseaux tels SMTP ou exécution à distance via SSH ou autre). | ssh

556 Espace(s) surnuméraire(s) à supprimer. => Sur  notre serveur de supervision, nous utilisons un GSM pour envoyer des SMS en cas d'incident. Normalement, ce GSM est alimenté par le port USB du serveur ainsi que par sa batterie. Cependant, si le GSM n'est plus alimenté (problème avec le port USB ou si quelqu'un place l'interrupteur du cable sur //No charge//), les administrateurs doivent être avertis. |    => suggestions : [' ']
556 Mot inconnu : cable => Sur  notre serveur de supervision, nous utilisons un GSM pour envoyer des SMS en cas d'incident. Normalement, ce GSM est alimenté par le port USB du serveur ainsi que par sa batterie. Cependant, si le GSM n'est plus alimenté (problème avec le port USB ou si quelqu'un place l'interrupteur du cable sur //No charge//), les administrateurs doivent être avertis. | cable

585 Mot inconnu : Nagios => Nagios est capable de tourner en mode redondance. C'est-à-dire que deux serveurs de supervision se partagent les mêmes fichiers de configuration. Ainsi, si l'un tombe en panne, la supervision est quand même assurée par le second. | nagios

586 Mot inconnu : Nagios => Je vous renvoie au [[http://www.nagios.org|site web de Nagios]] pour de plus amples informations à ce sujet. | nagios

598 Mot inconnu : NSClient => ==== NSClient pour superviser les machines Windows™ ==== | nsclient

600 Mot inconnu : check_nt => Le plugin check_nt permet de récupérer des informations sur des hôtes basés sur le système d'exploitation Windows. Il fonctionne avec NSClient, qu'il faut installer sur la machine cliente à superviser. | check_nt
600 Mot inconnu : NSClient => Le plugin check_nt permet de récupérer des informations sur des hôtes basés sur le système d'exploitation Windows. Il fonctionne avec NSClient, qu'il faut installer sur la machine cliente à superviser. | nsclient

602 Mot inconnu : NSClient => Penser à préciser le mot de passe qui protège NSClient des requêtes frauduleuses. Le mot de passe est stocké sur le pc où est installé l'agent dans la clé de registre « HKEY_LOCAL_MACHINE\SOFTWARE\NSClient\Parms ». Le mot de passe est à inclure dans la requête après le commutateur -s qu'il faut donc rajouter. Si la clé ne contient aucun mot de passe, alors le mot de passe est None (respect de la casse). | nsclient
602 Mot inconnu : HKEY_LOCAL_MACHINE => Penser à préciser le mot de passe qui protège NSClient des requêtes frauduleuses. Le mot de passe est stocké sur le pc où est installé l'agent dans la clé de registre « HKEY_LOCAL_MACHINE\SOFTWARE\NSClient\Parms ». Le mot de passe est à inclure dans la requête après le commutateur -s qu'il faut donc rajouter. Si la clé ne contient aucun mot de passe, alors le mot de passe est None (respect de la casse). | hkey_local_machine
602 Mot inconnu : NSClient => Penser à préciser le mot de passe qui protège NSClient des requêtes frauduleuses. Le mot de passe est stocké sur le pc où est installé l'agent dans la clé de registre « HKEY_LOCAL_MACHINE\SOFTWARE\NSClient\Parms ». Le mot de passe est à inclure dans la requête après le commutateur -s qu'il faut donc rajouter. Si la clé ne contient aucun mot de passe, alors le mot de passe est None (respect de la casse). | nsclient
602 Mot inconnu : Parms => Penser à préciser le mot de passe qui protège NSClient des requêtes frauduleuses. Le mot de passe est stocké sur le pc où est installé l'agent dans la clé de registre « HKEY_LOCAL_MACHINE\SOFTWARE\NSClient\Parms ». Le mot de passe est à inclure dans la requête après le commutateur -s qu'il faut donc rajouter. Si la clé ne contient aucun mot de passe, alors le mot de passe est None (respect de la casse). | parms
602 Il manque un espace à côté du tiret. => Penser à préciser le mot de passe qui protège NSClient des requêtes frauduleuses. Le mot de passe est stocké sur le pc où est installé l'agent dans la clé de registre « HKEY_LOCAL_MACHINE\SOFTWARE\NSClient\Parms ». Le mot de passe est à inclure dans la requête après le commutateur -s qu'il faut donc rajouter. Si la clé ne contient aucun mot de passe, alors le mot de passe est None (respect de la casse). |  - => suggestions : [' – ', ' — ']

618 Mot inconnu : Nagios => Nagios Exchange fournit un joli choix de scripts de check pour Nagios, evidemment vous pouvez écrire votre propre script (voir plus haut) et s'il fonctionne bien pourquoi ne pas le proposer sur NagiosExchange. | nagios
618 Mot inconnu : Exchange => Nagios Exchange fournit un joli choix de scripts de check pour Nagios, evidemment vous pouvez écrire votre propre script (voir plus haut) et s'il fonctionne bien pourquoi ne pas le proposer sur NagiosExchange. | exchange
618 Mot inconnu : check => Nagios Exchange fournit un joli choix de scripts de check pour Nagios, evidemment vous pouvez écrire votre propre script (voir plus haut) et s'il fonctionne bien pourquoi ne pas le proposer sur NagiosExchange. | check
618 Mot inconnu : Nagios => Nagios Exchange fournit un joli choix de scripts de check pour Nagios, evidemment vous pouvez écrire votre propre script (voir plus haut) et s'il fonctionne bien pourquoi ne pas le proposer sur NagiosExchange. | nagios
618 Mot inconnu : evidemment => Nagios Exchange fournit un joli choix de scripts de check pour Nagios, evidemment vous pouvez écrire votre propre script (voir plus haut) et s'il fonctionne bien pourquoi ne pas le proposer sur NagiosExchange. | evidemment
618 Mot inconnu : NagiosExchange => Nagios Exchange fournit un joli choix de scripts de check pour Nagios, evidemment vous pouvez écrire votre propre script (voir plus haut) et s'il fonctionne bien pourquoi ne pas le proposer sur NagiosExchange. | nagiosexchange

621 Mot inconnu : VRML => ==== Installation du plugin VRML ==== | vrml

623 Mot inconnu : Virtual => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | virtual
623 Mot inconnu : Reality => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | reality
623 Mot inconnu : Modeling => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | modeling
623 Mot inconnu : Language => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | language
623 Mot inconnu : VRML => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | vrml
623 Mot inconnu : VRML => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | vrml
623 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. |  . => suggestions : ['. ', '.']
623 Mot inconnu : wrl => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | wrl
623 Mot inconnu : Map => Le Virtual Reality Modeling Language (abrégé en VRML) est un Langage de programmation spécialisé dans la représentation d'univers virtuels en 3 dimensions. Ce langage interprété est une norme internationale ISO et les fichiers VRML ont habituellement pour extension .wrl. C'est ce type de fichier qui s'affiche pour consulter la 3-D Status Map. | map

625 Mot inconnu : VRML => Il faudra donc installer sur les postes clients un plugin VRML ; le plugin Cortona fait office de référence pour Windows et Mac mais n'existe pas pour Linux. Nous utiliserons [[http://freewrl.sourceforge.net/|FreeWRL]]. | vrml
625 Mot inconnu : Cortona => Il faudra donc installer sur les postes clients un plugin VRML ; le plugin Cortona fait office de référence pour Windows et Mac mais n'existe pas pour Linux. Nous utiliserons [[http://freewrl.sourceforge.net/|FreeWRL]]. | cortona

627 Mot inconnu : deb => Un paquet au format deb existe pour Ubuntu Dapper et fonctionne pour Edgy ; commencer par récupérer le paquet [[http://freewrl.sourceforge.net/download.html|sur le site sourceforge.net]] ou par la commande : | deb
627 Mot inconnu : Dapper => Un paquet au format deb existe pour Ubuntu Dapper et fonctionne pour Edgy ; commencer par récupérer le paquet [[http://freewrl.sourceforge.net/download.html|sur le site sourceforge.net]] ou par la commande : | dapper
627 Mot inconnu : Edgy => Un paquet au format deb existe pour Ubuntu Dapper et fonctionne pour Edgy ; commencer par récupérer le paquet [[http://freewrl.sourceforge.net/download.html|sur le site sourceforge.net]] ou par la commande : | edgy
627 Mot inconnu : sourceforge => Un paquet au format deb existe pour Ubuntu Dapper et fonctionne pour Edgy ; commencer par récupérer le paquet [[http://freewrl.sourceforge.net/download.html|sur le site sourceforge.net]] ou par la commande : | sourceforge

630 Mot inconnu : lesstif2 => Ce paquet est dépendant de celui nommé //lesstif2//, disponible dans le dépot Universe. Il faudra donc exécuter les commandes suivantes : | lesstif2
630 Mot inconnu : dépot => Ce paquet est dépendant de celui nommé //lesstif2//, disponible dans le dépot Universe. Il faudra donc exécuter les commandes suivantes : | dépot
630 Mot inconnu : Universe => Ce paquet est dépendant de celui nommé //lesstif2//, disponible dans le dépot Universe. Il faudra donc exécuter les commandes suivantes : | universe

634 Mot inconnu : Nagios => ==== Extension Nagios pour Firefox / Thunderbird / Chromium ==== | nagios
634 Mot inconnu : Chromium => ==== Extension Nagios pour Firefox / Thunderbird / Chromium ==== | chromium

636 Mot inconnu : Nagios => Vous pouvez installer le plugin Nagios Checker pour les navigateurs internet Firefox et Chromium, ou pour le gestionnaire de courrier Thunderbird. Le paramétrage est complet (possibilité de notifications visuelles et/ou sonore, gestion des accès authentifiés...). Vous aurez ainsi la possibilité de superviser les problèmes directement dans la barre d'état de votre navigateur ou gestionnaire de courrier ! | nagios
636 Mot inconnu : Checker => Vous pouvez installer le plugin Nagios Checker pour les navigateurs internet Firefox et Chromium, ou pour le gestionnaire de courrier Thunderbird. Le paramétrage est complet (possibilité de notifications visuelles et/ou sonore, gestion des accès authentifiés...). Vous aurez ainsi la possibilité de superviser les problèmes directement dans la barre d'état de votre navigateur ou gestionnaire de courrier ! | checker
636 Mot inconnu : Chromium => Vous pouvez installer le plugin Nagios Checker pour les navigateurs internet Firefox et Chromium, ou pour le gestionnaire de courrier Thunderbird. Le paramétrage est complet (possibilité de notifications visuelles et/ou sonore, gestion des accès authentifiés...). Vous aurez ainsi la possibilité de superviser les problèmes directement dans la barre d'état de votre navigateur ou gestionnaire de courrier ! | chromium
636 Typographie : points de suspension. Utilisez le caractère dédié. => Vous pouvez installer le plugin Nagios Checker pour les navigateurs internet Firefox et Chromium, ou pour le gestionnaire de courrier Thunderbird. Le paramétrage est complet (possibilité de notifications visuelles et/ou sonore, gestion des accès authentifiés...). Vous aurez ainsi la possibilité de superviser les problèmes directement dans la barre d'état de votre navigateur ou gestionnaire de courrier ! | ... => suggestions : ['…']
642 Accord de genre erroné : « applet » est masculin. => À partir d'Ubuntu 10.10, le paquet [[apt://nagstamon|nagstamon]] permet d'ajouter une applet en barre des tâches ou une simple fenêtre flottante. Plusieurs options permettent de personnaliser les alertes. | une => suggestions : ['un']

644 Mot inconnu : Nb => //Nb: le fonctionnement de la fenêtre flottante demanderait à être testé en environnement 11.04/Unity// | nb
644 Mot inconnu : Unity => //Nb: le fonctionnement de la fenêtre flottante demanderait à être testé en environnement 11.04/Unity// | unity

646 Mot inconnu : PNP => ==== PNP : un plugin pour ajouter des graphes à Nagios === | pnp
646 Mot inconnu : Nagios => ==== PNP : un plugin pour ajouter des graphes à Nagios === | nagios
648 Mot inconnu : Nagios => L'add-on [[http://www.ederdrom.de/pnp|PNP]] permet d'ajouter des graphes générés à partir des plugins Nagios. Des liens vers ces graphes peuvent être intégrés directement dans l'interface Web de Nagios. Pour un procédure d'installation de PNP sous Ubuntu, vous pouvez suivre ce [[http://blog.nicolargo.com/2007/12/des-graphes-dans-nagios-avec-pnp.html|tutoriel]]. | nagios
648 Mot inconnu : Nagios => L'add-on [[http://www.ederdrom.de/pnp|PNP]] permet d'ajouter des graphes générés à partir des plugins Nagios. Des liens vers ces graphes peuvent être intégrés directement dans l'interface Web de Nagios. Pour un procédure d'installation de PNP sous Ubuntu, vous pouvez suivre ce [[http://blog.nicolargo.com/2007/12/des-graphes-dans-nagios-avec-pnp.html|tutoriel]]. | nagios
648 Accord de genre erroné : « procédure » est féminin. => L'add-on [[http://www.ederdrom.de/pnp|PNP]] permet d'ajouter des graphes générés à partir des plugins Nagios. Des liens vers ces graphes peuvent être intégrés directement dans l'interface Web de Nagios. Pour un procédure d'installation de PNP sous Ubuntu, vous pouvez suivre ce [[http://blog.nicolargo.com/2007/12/des-graphes-dans-nagios-avec-pnp.html|tutoriel]]. | un => suggestions : ['une']
664 Mot inconnu : Ju => //Contributeurs : [[utilisateurs:Ostaquet]], [[utilisateurs:sidney_v]],[[utilisateurs:ju|Ju.]], [[utilisateurs:Nicolargo]].// | ju
