
4 Mot inconnu : Mutt => ====== Mutt : client de messagerie en console ====== | mutt
98 Mot inconnu : to => color tilde brightblue default              # ``~'' used to pad blank lines | to
98 Mot inconnu : pad => color tilde brightblue default              # ``~'' used to pad blank lines | pad
98 Mot inconnu : blank => color tilde brightblue default              # ``~'' used to pad blank lines | blank
98 Mot inconnu : lines => color tilde brightblue default              # ``~'' used to pad blank lines | lines

99 Mot inconnu : color => color tree green default                    # thread tree in the index menu | color
99 Mot inconnu : tree => color tree green default                    # thread tree in the index menu | tree
99 Mot inconnu : default => color tree green default                    # thread tree in the index menu | default
99 Espace(s) surnuméraire(s) à supprimer. => color tree green default                    # thread tree in the index menu |                      => suggestions : [' ']
99 Mot inconnu : tree => color tree green default                    # thread tree in the index menu | tree
99 Mot inconnu : the => color tree green default                    # thread tree in the index menu | the

100 Mot inconnu : color => color underline brightgreen default         # underlined text | color
100 Mot inconnu : underline => color underline brightgreen default         # underlined text | underline
100 Mot inconnu : brightgreen => color underline brightgreen default         # underlined text | brightgreen
100 Mot inconnu : default => color underline brightgreen default         # underlined text | default
100 Espace(s) surnuméraire(s) à supprimer. => color underline brightgreen default         # underlined text |           => suggestions : [' ']
100 Mot inconnu : underlined => color underline brightgreen default         # underlined text | underlined
100 Mot inconnu : text => color underline brightgreen default         # underlined text | text

104 Accord de genre erroné avec « locale ». => set locale="iso-8859-15" | set => suggestions : []
104 Accord de genre erroné avec « set ». => set locale="iso-8859-15" | locale => suggestions : ['local']
104 Guillemets typographiques ouvrants. => set locale="iso-8859-15" | " => suggestions : ['«\xa0', '“']
104 Mot inconnu : iso-8859-15 => set locale="iso-8859-15" | iso-8859-15
104 Guillemets typographiques fermants. => set locale="iso-8859-15" | " => suggestions : ['\xa0»', '”']

106 Mot inconnu : pager_index_lines => set pager_index_lines=7 | pager_index_lines

107 Mot inconnu : pager_stop => set pager_stop | pager_stop

117 Mot inconnu : Mutt => ==== Plugin Mutt Sidebar  ==== | mutt
117 Mot inconnu : Sidebar => ==== Plugin Mutt Sidebar  ==== | sidebar
117 Espace(s) surnuméraire(s) à supprimer. => ==== Plugin Mutt Sidebar  ==== |    => suggestions : [' ']

118 Mot inconnu : mutt-patched => <note>mutt-patched n'est plus dans les dépôts officiels depuis [[Bionic]]((https://packages.ubuntu.com/search?suite=default&section=all&arch=any&searchon=names&keywords=mutt-patched)).</note> | mutt-patched

120 Mot inconnu : Mutt => Toujours dans l’optique de personnaliser son environnement, il existe une version modifiée du logiciel de messagerie Mutt incluant une barre latérale. Cette version appelée tout simplement mutt-sidebar permet l’affichage des différents libellés (mailboxes) dans un panneau latéral : une option qui donne un petit air de thunderbird ou encore d’Évolution à Mutt. | mutt
120 Mot inconnu : mutt-sidebar => Toujours dans l’optique de personnaliser son environnement, il existe une version modifiée du logiciel de messagerie Mutt incluant une barre latérale. Cette version appelée tout simplement mutt-sidebar permet l’affichage des différents libellés (mailboxes) dans un panneau latéral : une option qui donne un petit air de thunderbird ou encore d’Évolution à Mutt. | mutt-sidebar
120 Mot inconnu : mailboxes => Toujours dans l’optique de personnaliser son environnement, il existe une version modifiée du logiciel de messagerie Mutt incluant une barre latérale. Cette version appelée tout simplement mutt-sidebar permet l’affichage des différents libellés (mailboxes) dans un panneau latéral : une option qui donne un petit air de thunderbird ou encore d’Évolution à Mutt. | mailboxes
120 Mot inconnu : thunderbird => Toujours dans l’optique de personnaliser son environnement, il existe une version modifiée du logiciel de messagerie Mutt incluant une barre latérale. Cette version appelée tout simplement mutt-sidebar permet l’affichage des différents libellés (mailboxes) dans un panneau latéral : une option qui donne un petit air de thunderbird ou encore d’Évolution à Mutt. | thunderbird
120 Mot inconnu : Mutt => Toujours dans l’optique de personnaliser son environnement, il existe une version modifiée du logiciel de messagerie Mutt incluant une barre latérale. Cette version appelée tout simplement mutt-sidebar permet l’affichage des différents libellés (mailboxes) dans un panneau latéral : une option qui donne un petit air de thunderbird ou encore d’Évolution à Mutt. | mutt

124 Mot inconnu : up => # set up the sidebar, default not visible  | up
124 Mot inconnu : the => # set up the sidebar, default not visible  | the
124 Mot inconnu : sidebar => # set up the sidebar, default not visible  | sidebar
124 Mot inconnu : default => # set up the sidebar, default not visible  | default
124 Mot inconnu : not => # set up the sidebar, default not visible  | not
124 Espace(s) en fin de ligne à supprimer. => # set up the sidebar, default not visible  |   => suggestions : ['']

125 Mot inconnu : sidebar_width => set sidebar_width=12  | sidebar_width
125 Espace(s) en fin de ligne à supprimer. => set sidebar_width=12  |   => suggestions : ['']

126 Mot inconnu : sidebar_visible => set sidebar_visible=no  | sidebar_visible
126 Espace(s) en fin de ligne à supprimer. => set sidebar_visible=no  |   => suggestions : ['']

127 Mot inconnu : sidebar_delim => set sidebar_delim='|'  | sidebar_delim
127 Espace(s) en fin de ligne à supprimer. => set sidebar_delim='|'  |   => suggestions : ['']

128 Mot inconnu : sidebar_sort => set sidebar_sort=yes  | sidebar_sort
128 Mot inconnu : yes => set sidebar_sort=yes  | yes
128 Espace(s) en fin de ligne à supprimer. => set sidebar_sort=yes  |   => suggestions : ['']

130 Mot inconnu : which => # which mailboxes to list in the sidebar  | which
130 Mot inconnu : mailboxes => # which mailboxes to list in the sidebar  | mailboxes
130 Mot inconnu : to => # which mailboxes to list in the sidebar  | to
130 Mot inconnu : list => # which mailboxes to list in the sidebar  | list
130 Mot inconnu : the => # which mailboxes to list in the sidebar  | the
130 Mot inconnu : sidebar => # which mailboxes to list in the sidebar  | sidebar
130 Espace(s) en fin de ligne à supprimer. => # which mailboxes to list in the sidebar  |   => suggestions : ['']

131 Mot inconnu : mailboxes => mailboxes =inbox =ml  | mailboxes
131 Mot inconnu : inbox => mailboxes =inbox =ml  | inbox
131 Espace(s) en fin de ligne à supprimer. => mailboxes =inbox =ml  |   => suggestions : ['']

133 Mot inconnu : color => # color of folders with new mail  | color
133 Mot inconnu : of => # color of folders with new mail  | of
133 Mot inconnu : folders => # color of folders with new mail  | folders
133 Mot inconnu : with => # color of folders with new mail  | with
133 Espace(s) en fin de ligne à supprimer. => # color of folders with new mail  |   => suggestions : ['']

134 Mot inconnu : color => color sidebar_new yellow default  | color
134 Mot inconnu : sidebar_new => color sidebar_new yellow default  | sidebar_new
134 Mot inconnu : yellow => color sidebar_new yellow default  | yellow
134 Mot inconnu : default => color sidebar_new yellow default  | default
134 Espace(s) en fin de ligne à supprimer. => color sidebar_new yellow default  |   => suggestions : ['']

136 Mot inconnu : ctrl-n => # ctrl-n, ctrl-p to select next, prev folder  | ctrl-n
136 Mot inconnu : ctrl-p => # ctrl-n, ctrl-p to select next, prev folder  | ctrl-p
136 Mot inconnu : to => # ctrl-n, ctrl-p to select next, prev folder  | to
136 Mot inconnu : next => # ctrl-n, ctrl-p to select next, prev folder  | next
136 Mot inconnu : prev => # ctrl-n, ctrl-p to select next, prev folder  | prev
136 Mot inconnu : folder => # ctrl-n, ctrl-p to select next, prev folder  | folder
136 Espace(s) en fin de ligne à supprimer. => # ctrl-n, ctrl-p to select next, prev folder  |   => suggestions : ['']

137 Mot inconnu : ctrl-o => # ctrl-o to open selected folder  | ctrl-o
137 Mot inconnu : to => # ctrl-o to open selected folder  | to
137 Mot inconnu : selected => # ctrl-o to open selected folder  | selected
137 Mot inconnu : folder => # ctrl-o to open selected folder  | folder
137 Espace(s) en fin de ligne à supprimer. => # ctrl-o to open selected folder  |   => suggestions : ['']

138 Mot inconnu : bind => bind index \CP sidebar-prev  | bind
138 Mot inconnu : sidebar-prev => bind index \CP sidebar-prev  | sidebar-prev
138 Espace(s) en fin de ligne à supprimer. => bind index \CP sidebar-prev  |   => suggestions : ['']

139 Mot inconnu : bind => bind index \CN sidebar-next  | bind
139 Mot inconnu : CN => bind index \CN sidebar-next  | cn
139 Mot inconnu : sidebar-next => bind index \CN sidebar-next  | sidebar-next
139 Espace(s) en fin de ligne à supprimer. => bind index \CN sidebar-next  |   => suggestions : ['']

140 Mot inconnu : bind => bind index \CO sidebar-open  | bind
140 Mot inconnu : CO => bind index \CO sidebar-open  | co
140 Mot inconnu : sidebar-open => bind index \CO sidebar-open  | sidebar-open
140 Espace(s) en fin de ligne à supprimer. => bind index \CO sidebar-open  |   => suggestions : ['']

141 Mot inconnu : bind => bind pager \CP sidebar-prev  | bind
141 Mot inconnu : sidebar-prev => bind pager \CP sidebar-prev  | sidebar-prev
141 Espace(s) en fin de ligne à supprimer. => bind pager \CP sidebar-prev  |   => suggestions : ['']

142 Mot inconnu : bind => bind pager \CN sidebar-next  | bind
142 Mot inconnu : CN => bind pager \CN sidebar-next  | cn
142 Mot inconnu : sidebar-next => bind pager \CN sidebar-next  | sidebar-next
142 Espace(s) en fin de ligne à supprimer. => bind pager \CN sidebar-next  |   => suggestions : ['']

143 Mot inconnu : bind => bind pager \CO sidebar-open  | bind
143 Mot inconnu : CO => bind pager \CO sidebar-open  | co
143 Mot inconnu : sidebar-open => bind pager \CO sidebar-open  | sidebar-open
143 Espace(s) en fin de ligne à supprimer. => bind pager \CO sidebar-open  |   => suggestions : ['']

145 Mot inconnu : don't => # I don't need these. just for documentation purposes. See below.  | don't
145 Mot inconnu : need => # I don't need these. just for documentation purposes. See below.  | need
145 Mot inconnu : these => # I don't need these. just for documentation purposes. See below.  | these
145 Mot inconnu : just => # I don't need these. just for documentation purposes. See below.  | just
145 Mot inconnu : purposes => # I don't need these. just for documentation purposes. See below.  | purposes
145 Mot inconnu : See => # I don't need these. just for documentation purposes. See below.  | see
145 Mot inconnu : below => # I don't need these. just for documentation purposes. See below.  | below
145 Espace(s) en fin de ligne à supprimer. => # I don't need these. just for documentation purposes. See below.  |   => suggestions : ['']

146 Mot inconnu : sidebar-scroll-up => # sidebar-scroll-up  | sidebar-scroll-up
146 Espace(s) en fin de ligne à supprimer. => # sidebar-scroll-up  |   => suggestions : ['']

147 Mot inconnu : sidebar-scroll-down => # sidebar-scroll-down  | sidebar-scroll-down
147 Espace(s) en fin de ligne à supprimer. => # sidebar-scroll-down  |   => suggestions : ['']

149 Mot inconnu : toggles => # b toggles sidebar visibility  | toggles
149 Mot inconnu : sidebar => # b toggles sidebar visibility  | sidebar
149 Mot inconnu : visibility => # b toggles sidebar visibility  | visibility
149 Espace(s) en fin de ligne à supprimer. => # b toggles sidebar visibility  |   => suggestions : ['']

150 Mot inconnu : toggle => macro index b '<enter-command>toggle sidebar_visible<enter>'  | toggle
150 Mot inconnu : sidebar_visible => macro index b '<enter-command>toggle sidebar_visible<enter>'  | sidebar_visible
150 Espace(s) en fin de ligne à supprimer. => macro index b '<enter-command>toggle sidebar_visible<enter>'  |   => suggestions : ['']

151 Mot inconnu : toggle => macro pager b '<enter-command>toggle sidebar_visible<enter>'  | toggle
151 Mot inconnu : sidebar_visible => macro pager b '<enter-command>toggle sidebar_visible<enter>'  | sidebar_visible
151 Espace(s) en fin de ligne à supprimer. => macro pager b '<enter-command>toggle sidebar_visible<enter>'  |   => suggestions : ['']

153 Mot inconnu : Remap => # Remap bounce-message function to "B"  | remap
153 Mot inconnu : bounce-message => # Remap bounce-message function to "B"  | bounce-message
153 Mot inconnu : function => # Remap bounce-message function to "B"  | function
153 Mot inconnu : to => # Remap bounce-message function to "B"  | to
153 Guillemets typographiques ouvrants. => # Remap bounce-message function to "B"  | " => suggestions : ['«\xa0', '“']
153 Guillemets typographiques fermants. => # Remap bounce-message function to "B"  | " => suggestions : ['\xa0»', '”']
153 Espace(s) en fin de ligne à supprimer. => # Remap bounce-message function to "B"  |   => suggestions : ['']

154 Mot inconnu : bind => bind index B bounce-message  | bind
154 Mot inconnu : bounce-message => bind index B bounce-message  | bounce-message
154 Espace(s) en fin de ligne à supprimer. => bind index B bounce-message  |   => suggestions : ['']

156 Espace(s) en fin de ligne à supprimer. => #  |   => suggestions : ['']

157 Mot inconnu : Holbe => # Mario Holbe suggests:  | holbe
157 Mot inconnu : suggests => # Mario Holbe suggests:  | suggests
157 Espace(s) en fin de ligne à supprimer. => # Mario Holbe suggests:  |   => suggestions : ['']

158 Mot inconnu : toggle => # macro index b '<enter-command>toggle sidebar_visible<enter><refresh>'  | toggle
158 Mot inconnu : sidebar_visible => # macro index b '<enter-command>toggle sidebar_visible<enter><refresh>'  | sidebar_visible
158 Espace(s) en fin de ligne à supprimer. => # macro index b '<enter-command>toggle sidebar_visible<enter><refresh>'  |   => suggestions : ['']

159 Mot inconnu : toggle => # macro pager b '<enter-command>toggle sidebar_visible<enter><redraw-screen>'  | toggle
159 Mot inconnu : sidebar_visible => # macro pager b '<enter-command>toggle sidebar_visible<enter><redraw-screen>'  | sidebar_visible
159 Espace(s) en fin de ligne à supprimer. => # macro pager b '<enter-command>toggle sidebar_visible<enter><redraw-screen>'  |   => suggestions : ['']

165 Mot inconnu : sidebar => Voici à présent de quoi naviguer sans problème dans la sidebar : | sidebar

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [ Ctrl + p ] : Précédent. |     => suggestions : ['']
167 Pas d’espace après ce signe. =>    * [ Ctrl + p ] : Précédent. | [  => suggestions : ['[']
167 Pas d’espace avant ce signe. =>    * [ Ctrl + p ] : Précédent. |  ] => suggestions : [']']

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [ Ctrl + n ] : Suivant. |     => suggestions : ['']
168 Pas d’espace après ce signe. =>    * [ Ctrl + n ] : Suivant. | [  => suggestions : ['[']
168 Pas d’espace avant ce signe. =>    * [ Ctrl + n ] : Suivant. |  ] => suggestions : [']']

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [ Ctrl + o ] : Ouvrir. |     => suggestions : ['']
169 Pas d’espace après ce signe. =>    * [ Ctrl + o ] : Ouvrir. | [  => suggestions : ['[']
169 Pas d’espace avant ce signe. =>    * [ Ctrl + o ] : Ouvrir. |  ] => suggestions : [']']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [ b ] : Afficher/Cacher la sidebar. |     => suggestions : ['']
170 Pas d’espace après ce signe. =>    * [ b ] : Afficher/Cacher la sidebar. | [  => suggestions : ['[']
170 Pas d’espace avant ce signe. =>    * [ b ] : Afficher/Cacher la sidebar. |  ] => suggestions : [']']
170 Mot inconnu : sidebar =>    * [ b ] : Afficher/Cacher la sidebar. | sidebar

174 Mot inconnu : Mutt => Dans Mutt tapez : | mutt

180 Mot inconnu : Up => Exemple avec la touche Ctrl et la touche Up : | up

183 Espace(s) en fin de ligne à supprimer. => Pour sortir de la détection des codes de touches c'est la combinaison **Ctrl+g**  |   => suggestions : ['']

185 Mot inconnu : Goobook => ====  Plugin Goobook ==== | goobook

187 Mot inconnu : mutt => Maintenant, un élément important qui manquait était la gestion des contacts, qui ne sont pas importés avec l'IMAP (pas avec mutt tout du moins). Qu'importe, Goobook est là maintenant! | mutt
187 Mot inconnu : Goobook => Maintenant, un élément important qui manquait était la gestion des contacts, qui ne sont pas importés avec l'IMAP (pas avec mutt tout du moins). Qu'importe, Goobook est là maintenant! | goobook

188 Mot inconnu : Goobook => En pratique, Goobook permet de récupérer la liste des contacts en local et d'y rechercher des adresses email. Il autorise aussi la création de nouveaux contacts sur son compte Google, mais pas la destruction. | goobook
188 Mot inconnu : email => En pratique, Goobook permet de récupérer la liste des contacts en local et d'y rechercher des adresses email. Il autorise aussi la création de nouveaux contacts sur son compte Google, mais pas la destruction. | email

190 Mot inconnu : Goobook => Goobook est la pièce qui manquait à mutt: tous vos contacts Gmail sont maintenant à portée de main. | goobook
190 Mot inconnu : mutt => Goobook est la pièce qui manquait à mutt: tous vos contacts Gmail sont maintenant à portée de main. | mutt
190 Mot inconnu : Gmail => Goobook est la pièce qui manquait à mutt: tous vos contacts Gmail sont maintenant à portée de main. | gmail

213 Mot inconnu : Gmail => Le problème évident est d'avoir son mot de passe Gmail écrit en dur dans un fichier. Le blog de Marcel (voir le lien en bas de la page) en parle très bien, mais sa solution n'a pas été testée. | gmail

215 Mot inconnu : muttrc => Il faut ajouter les lignes ci-dessous dans votre **.muttrc** | muttrc

218 Mot inconnu : query_command => set query_command="goobook query '%s'" | query_command
218 Guillemets typographiques ouvrants. => set query_command="goobook query '%s'" | " => suggestions : ['«\xa0', '“']
218 Mot inconnu : goobook => set query_command="goobook query '%s'" | goobook
218 Mot inconnu : query => set query_command="goobook query '%s'" | query
218 Il manque un espace. => set query_command="goobook query '%s'" | s => suggestions : [' s']

219 Mot inconnu : bind => bind editor <Tab> complete-query | bind
219 Mot inconnu : editor => bind editor <Tab> complete-query | editor
219 Mot inconnu : complete-query => bind editor <Tab> complete-query | complete-query

220 Il manque un espace. => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | pager => suggestions : [' pager']
220 Mot inconnu : goobook => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | goobook
220 Mot inconnu : add => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | add
220 Guillemets typographiques ouvrants. => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | " => suggestions : ['«\xa0', '“']
220 Mot inconnu : add => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | add
220 Mot inconnu : the => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | the
220 Mot inconnu : sender => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | sender
220 Mot inconnu : address => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | address
220 Mot inconnu : to => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | to
220 Guillemets typographiques fermants. => macro index,pager a "<pipe-message>goobook add<return>" "add the sender address to Google contacts" | " => suggestions : ['\xa0»', '”']

223 Accord de nombre erroné : « noms » devrait être au singulier. => Lors de la création d'un nouveau message, il suffit de taper les premières lettres du noms de la personne qui se trouve dans votre carnet d'adresse et d'utiliser la touche de tabulation pour voir apparaître la liste des contacts contenants la suite de caractères. | noms => suggestions : ['nom']
226 Mot inconnu : aspell-fr => vous pouvez utiliser le paquet **[[apt>aspell-fr]]**  | aspell-fr
226 Espace(s) en fin de ligne à supprimer. => vous pouvez utiliser le paquet **[[apt>aspell-fr]]**  |   => suggestions : ['']

227 Mot inconnu : muttrc => et ajouter la ligne suivante dans votre fichier **.muttrc** | muttrc

231 Mot inconnu : ispell => set ispell="aspell -e -c" | ispell
231 Guillemets typographiques ouvrants. => set ispell="aspell -e -c" | " => suggestions : ['«\xa0', '“']
231 Mot inconnu : aspell => set ispell="aspell -e -c" | aspell
231 Il manque un espace à côté du tiret. => set ispell="aspell -e -c" |  - => suggestions : [' – ', ' — ']
231 Guillemets typographiques fermants. => set ispell="aspell -e -c" | " => suggestions : ['\xa0»', '”']

234 Mot inconnu : urlview => ==== Plugin urlview  ==== | urlview
234 Espace(s) surnuméraire(s) à supprimer. => ==== Plugin urlview  ==== |    => suggestions : [' ']

236 Mot inconnu : Urlview => Urlview est là pour nous aider. Il s'agit d'un analyseur de fichier simpliste, qui présente via une interface efficace les différentes url accessibles trouvées dans le dit fichier. | urlview
236 Mot inconnu : url => Urlview est là pour nous aider. Il s'agit d'un analyseur de fichier simpliste, qui présente via une interface efficace les différentes url accessibles trouvées dans le dit fichier. | url
236 Ce déterminant est soudé. => Urlview est là pour nous aider. Il s'agit d'un analyseur de fichier simpliste, qui présente via une interface efficace les différentes url accessibles trouvées dans le dit fichier. | le dit => suggestions : ['ledit']

238 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => et d'utiliser une macro dans votre fichier .muttrc pour appeler urlview. |  . => suggestions : ['. ', '.']
238 Mot inconnu : muttrc => et d'utiliser une macro dans votre fichier .muttrc pour appeler urlview. | muttrc
238 Mot inconnu : urlview => et d'utiliser une macro dans votre fichier .muttrc pour appeler urlview. | urlview

240 Mot inconnu : cb => macro index \cb |urlview\n | cb
240 Mot inconnu : urlview => macro index \cb |urlview\n | urlview

241 Mot inconnu : cb => macro pager \cb |urlview\n | cb
241 Mot inconnu : urlview => macro pager \cb |urlview\n | urlview

244 Mot inconnu : debugger => ===== Pour debugger ===== | debugger

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   $ mutt -nd 5 |    => suggestions : ['']
246 Mot inconnu : mutt =>   $ mutt -nd 5 | mutt
246 Il manque un espace à côté du tiret. =>   $ mutt -nd 5 |  - => suggestions : [' – ', ' — ']
246 Mot inconnu : nd =>   $ mutt -nd 5 | nd

247 Guillemets typographiques ouvrants. => Ensuite quitter en tant 'q' et taper la commande suivante pour observer la log générée : | ' => suggestions : ['“', '‘', '‹']
247 Guillemets typographiques fermants. => Ensuite quitter en tant 'q' et taper la commande suivante pour observer la log générée : | ' => suggestions : ['”', '’', '›']
247 Accord de genre erroné : « log » est masculin. => Ensuite quitter en tant 'q' et taper la commande suivante pour observer la log générée : | la => suggestions : ['le']

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   $ less ~/.muttdebug0 |    => suggestions : ['']
248 Mot inconnu : less =>   $ less ~/.muttdebug0 | less
248 Mot inconnu : muttdebug0 =>   $ less ~/.muttdebug0 | muttdebug0

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.mutt.org/|Site officiel]]  |    => suggestions : ['']
252 Espace(s) en fin de ligne à supprimer. =>   * **(en)** [[http://www.mutt.org/|Site officiel]]  |   => suggestions : ['']

253 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://gitlab.com/muttmua/mutt/wikis/home|Le wiki de Mutt]] |    => suggestions : ['']
253 Mot inconnu : Mutt =>   * **(en)** [[https://gitlab.com/muttmua/mutt/wikis/home|Le wiki de Mutt]] | mutt

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://neomutt.org|NeoMutt, fork intégrant, entre autre la SideBar]] |    => suggestions : ['']
255 Mot inconnu : NeoMutt =>   * **(en)** [[https://neomutt.org|NeoMutt, fork intégrant, entre autre la SideBar]] | neomutt
255 La locution “entre autres”, toujours au pluriel. =>   * **(en)** [[https://neomutt.org|NeoMutt, fork intégrant, entre autre la SideBar]] | autre => suggestions : ['autres']
255 Mot inconnu : SideBar =>   * **(en)** [[https://neomutt.org|NeoMutt, fork intégrant, entre autre la SideBar]] | sidebar
258 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs principaux : ...// | ... => suggestions : ['…']
