
3 Mot inconnu : FOG => ====== FOG ====== | fog
184 Guillemets typographiques fermants. => Les identifiants par défaut sont "fog" "password". | " => suggestions : ['\xa0»', '”']

186 Mot inconnu : FIXME => FIXME Ne souhaitant pas refaire toute la config de son LAN, le rédacteur de cette page n'a pas pu tester l'utilisation réelle de FOG. Néanmoins l'utilisation a l'air assez simple : | fixme
186 Mot inconnu : LAN => FIXME Ne souhaitant pas refaire toute la config de son LAN, le rédacteur de cette page n'a pas pu tester l'utilisation réelle de FOG. Néanmoins l'utilisation a l'air assez simple : | lan
186 Mot inconnu : FOG => FIXME Ne souhaitant pas refaire toute la config de son LAN, le rédacteur de cette page n'a pas pu tester l'utilisation réelle de FOG. Néanmoins l'utilisation a l'air assez simple : | fog

187 Mot inconnu : PXE => Une fois que votre serveur est configuré et que le routeur/DHCP redirige les requêtes PXE vers lui, il suffit de modifier le bios d'un client pour le faire booter en PXE. Ce qui suit n'est qu'une traduction de certains articles du [[http://www.fogproject.org/wiki|wiki de FOG]]. | pxe
187 Accord de nombre erroné : « bios » est au pluriel. => Une fois que votre serveur est configuré et que le routeur/DHCP redirige les requêtes PXE vers lui, il suffit de modifier le bios d'un client pour le faire booter en PXE. Ce qui suit n'est qu'une traduction de certains articles du [[http://www.fogproject.org/wiki|wiki de FOG]]. | le => suggestions : ['les']
187 Accord de nombre erroné : « bios » devrait être au singulier. => Une fois que votre serveur est configuré et que le routeur/DHCP redirige les requêtes PXE vers lui, il suffit de modifier le bios d'un client pour le faire booter en PXE. Ce qui suit n'est qu'une traduction de certains articles du [[http://www.fogproject.org/wiki|wiki de FOG]]. | bios => suggestions : ['bio']
187 Mot inconnu : booter => Une fois que votre serveur est configuré et que le routeur/DHCP redirige les requêtes PXE vers lui, il suffit de modifier le bios d'un client pour le faire booter en PXE. Ce qui suit n'est qu'une traduction de certains articles du [[http://www.fogproject.org/wiki|wiki de FOG]]. | booter
187 Mot inconnu : PXE => Une fois que votre serveur est configuré et que le routeur/DHCP redirige les requêtes PXE vers lui, il suffit de modifier le bios d'un client pour le faire booter en PXE. Ce qui suit n'est qu'une traduction de certains articles du [[http://www.fogproject.org/wiki|wiki de FOG]]. | pxe
187 Mot inconnu : FOG => Une fois que votre serveur est configuré et que le routeur/DHCP redirige les requêtes PXE vers lui, il suffit de modifier le bios d'un client pour le faire booter en PXE. Ce qui suit n'est qu'une traduction de certains articles du [[http://www.fogproject.org/wiki|wiki de FOG]]. | fog

190 Mot inconnu : booté => Une fois que vous avez booté sur la carte réseau de votre station, cette page apparaît : | booté

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  https://www.howtogeek.com/wp-content/uploads/2011/04/fog1.png |   => suggestions : ['']

193 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Si vous ne touchez a rien, au bout de 3 secondes la machine boot sur son disque dur, autrement dit, comme si de rien n'était. | a => suggestions : ['à']
193 Mot inconnu : boot => Si vous ne touchez a rien, au bout de 3 secondes la machine boot sur son disque dur, autrement dit, comme si de rien n'était. | boot

196 Mot inconnu : Memtest => > Lancer un Memtest (vérification de l'état de vos barretes de RAM). | memtest
196 Mot inconnu : barretes => > Lancer un Memtest (vérification de l'état de vos barretes de RAM). | barretes

197 Mot inconnu : FOG => > Faire un recensement rapide de votre machine auprès du serveur FOG. | fog

198 Pas d’espace après ce signe. => > Faire un recensement Complet ( nom, IP, ...) de votre machine auprès du serveur FOG. | (  => suggestions : ['(']
198 Une de ces ponctuations est superflue. => > Faire un recensement Complet ( nom, IP, ...) de votre machine auprès du serveur FOG. | , . => suggestions : [',', '.']
198 Typographie : points de suspension. Utilisez le caractère dédié. => > Faire un recensement Complet ( nom, IP, ...) de votre machine auprès du serveur FOG. | ... => suggestions : ['…']
198 Mot inconnu : FOG => > Faire un recensement Complet ( nom, IP, ...) de votre machine auprès du serveur FOG. | fog

201 Mot inconnu : débug => > Mode de débug. | débug

203 Guillemets isolés. => Le recensement rapide envoi au serveur l'adresse MAC de la machine et lui attribut comme nom l'adresse MAC sans les " : ". |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
203 Guillemets fermants. => Le recensement rapide envoi au serveur l'adresse MAC de la machine et lui attribut comme nom l'adresse MAC sans les " : ". |  " => suggestions : ['\xa0»', '”']

205 Mot inconnu : attibuer => Le recensement complet permet d'indiquer le nom de la machine, l'adresse IP, de le joindre a un domaine, de lui attibuer une image par défaut ... | attibuer
205 Typographie : points de suspension. Utilisez le caractère dédié. => Le recensement complet permet d'indiquer le nom de la machine, l'adresse IP, de le joindre a un domaine, de lui attibuer une image par défaut ... | ... => suggestions : ['…']
207 Après un point, une majuscule est généralement requise. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | votre => suggestions : ['Votre']
207 Guillemets typographiques ouvrants. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | " => suggestions : ['«\xa0', '“']
207 Mot inconnu : poste_1 => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | poste_1
207 Guillemets typographiques fermants. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | " => suggestions : ['\xa0»', '”']
207 Conjugaison erronée. Accord avec “elle”. Le verbe devrait être à la 3ᵉ personne du singulier. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | seras => suggestions : ['sera']
207 Accord avec le sujet “elle” : “répertorié” devrait être au féminin singulier. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | répertorié => suggestions : ['répertoriée']
207 Mot inconnu : FOG => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | fog
207 Guillemets isolés. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
207 Mot inconnu : poste_de_salon => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | poste_de_salon
207 Guillemets typographiques fermants. => <note> Le recensement complet ne change pas le nom de la machine dans l'OS ! seulement dans la base de données du serveur. votre machine Windows peut s'appeler "poste_1" mais elle seras répertorié dans la base de données de FOG comme " poste_de_salon" </note> | " => suggestions : ['\xa0»', '”']

211 Mot inconnu : PXE => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | pxe
211 Mot inconnu : FOG => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | fog
211 Guillemets typographiques ouvrants. => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | " => suggestions : ['«\xa0', '“']
211 Mot inconnu : Perform => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | perform
211 Mot inconnu : Host => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | host
211 Mot inconnu : Registration => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | registration
211 Mot inconnu : and => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | and
211 Mot inconnu : Inventory => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | inventory
211 Guillemets typographiques fermants. => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | " => suggestions : ['\xa0»', '”']
211 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Faites démarrer votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera redémarré. A ce point il sera enregistré auprès du serveur. | a => suggestions : ['À']

215 Mot inconnu : fog => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | fog
215 Guillemets typographiques ouvrants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['«\xa0', '“']
215 Guillemets typographiques fermants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['\xa0»', '”']
215 Guillemets typographiques ouvrants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['«\xa0', '“']
215 Guillemets typographiques fermants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['\xa0»', '”']
215 Guillemets typographiques ouvrants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['«\xa0', '“']
215 Mot inconnu : default => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | default
215 Guillemets typographiques fermants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['\xa0»', '”']
215 Mot inconnu : storage => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | storage
215 Mot inconnu : fog => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | fog
215 Guillemets typographiques ouvrants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['«\xa0', '“']
215 Mot inconnu : storage => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | storage
215 Guillemets typographiques fermants. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  | " => suggestions : ['\xa0»', '”']
215 Espace(s) en fin de ligne à supprimer. => Ensuite allez sur l'interface de gestion de fog (toujours [[http://IP_SERVEUR/fog/management/]]) via n'importe quel client sur le réseau. Allez dans la partie "images", puis cliquez sur "new image". Remplissez les champs comme demandé en laissant "default" pour la partie storage (sauf si vous avez un autre serveur avec fog installé en mode "storage" dessus, dans ce cas vous pouvez définir les règles que vous souhaitez).  |   => suggestions : ['']

217 Guillemets typographiques ouvrants. => Cliquez sur "add" pour terminer la création. | " => suggestions : ['«\xa0', '“']
217 Mot inconnu : add => Cliquez sur "add" pour terminer la création. | add
217 Guillemets typographiques fermants. => Cliquez sur "add" pour terminer la création. | " => suggestions : ['\xa0»', '”']

220 Guillemets typographiques ouvrants. => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | " => suggestions : ['«\xa0', '“']
220 Mot inconnu : hosts => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | hosts
220 Guillemets typographiques fermants. => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | " => suggestions : ['\xa0»', '”']
220 Guillemets typographiques ouvrants. => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | " => suggestions : ['«\xa0', '“']
220 Mot inconnu : list => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | list
220 Mot inconnu : all => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | all
220 Mot inconnu : hosts => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | hosts
220 Guillemets typographiques fermants. => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | " => suggestions : ['\xa0»', '”']
220 Guillemets typographiques ouvrants. => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | " => suggestions : ['«\xa0', '“']
220 Mot inconnu : edit => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | edit
220 Guillemets typographiques fermants. => Allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte que vous souhaitez imager. Vérifiez les champs affichés puis sélectionnez l'image que vous avez créée juste avant dans la liste déroulante dédiée. | " => suggestions : ['\xa0»', '”']

221 Guillemets typographiques ouvrants. => Cliquez sur "Update". | " => suggestions : ['«\xa0', '“']
221 Mot inconnu : Update => Cliquez sur "Update". | update
221 Guillemets typographiques fermants. => Cliquez sur "Update". | " => suggestions : ['\xa0»', '”']

223 Mot inconnu : imaging => === Création de la tâche d'imaging === | imaging

224 Guillemets typographiques ouvrants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | " => suggestions : ['«\xa0', '“']
224 Mot inconnu : basic => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | basic
224 Mot inconnu : tasks => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | tasks
224 Guillemets typographiques fermants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | " => suggestions : ['\xa0»', '”']
224 Guillemets typographiques ouvrants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | " => suggestions : ['«\xa0', '“']
224 Mot inconnu : upload => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | upload
224 Guillemets typographiques fermants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | " => suggestions : ['\xa0»', '”']
224 Guillemets typographiques ouvrants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | " => suggestions : ['«\xa0', '“']
224 Mot inconnu : upload => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | upload
224 Guillemets typographiques fermants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | " => suggestions : ['\xa0»', '”']
224 Mot inconnu : Rebootez => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "upload" et cliquez sur "upload image". Rebootez le client à imager et vous devriez avoir la création de l'image de ce client sur le serveur. | rebootez

226 Mot inconnu : Upload => <note> Pour un Upload normal ( 15Go env.) compter environ 20/25 Min. </note> | upload
226 Pas d’espace après ce signe. => <note> Pour un Upload normal ( 15Go env.) compter environ 20/25 Min. </note> | (  => suggestions : ['(']
226 Si “Min” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => <note> Pour un Upload normal ( 15Go env.) compter environ 20/25 Min. </note> | 25 min => suggestions : ['25\xa0Min']

231 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Deux solutions s'offrent a vous : | a => suggestions : ['à']

232 Mot inconnu : booter => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | booter
232 Mot inconnu : PXE => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | pxe
232 Mot inconnu : FOG => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | fog
232 Guillemets typographiques ouvrants. => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | " => suggestions : ['«\xa0', '“']
232 Mot inconnu : Perform => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | perform
232 Mot inconnu : Host => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | host
232 Mot inconnu : Registration => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | registration
232 Mot inconnu : and => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | and
232 Mot inconnu : Inventory => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | inventory
232 Guillemets typographiques fermants. => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | " => suggestions : ['\xa0»', '”']
232 Mot inconnu : rebooté => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | rebooté
