
4 Mot inconnu : Pam => ====== Pam Blue ====== | pam
152 Il manque un espace avant la parenthèse. => <note important>Si votre appareil bluetooth n'est pas à portée au moment où vous vous identifiez sur votre session, au bout de 10 secondes((Durée configurable dans le fichier /etc/security/bluesscan.conf)) **PAM Blue** cède la place à l'identificateur normale pour vous permettre de rentrer votre identifiant</note> | ( => suggestions : [' (']
152 Mot inconnu : PAM => <note important>Si votre appareil bluetooth n'est pas à portée au moment où vous vous identifiez sur votre session, au bout de 10 secondes((Durée configurable dans le fichier /etc/security/bluesscan.conf)) **PAM Blue** cède la place à l'identificateur normale pour vous permettre de rentrer votre identifiant</note> | pam
152 Mot inconnu : Blue => <note important>Si votre appareil bluetooth n'est pas à portée au moment où vous vous identifiez sur votre session, au bout de 10 secondes((Durée configurable dans le fichier /etc/security/bluesscan.conf)) **PAM Blue** cède la place à l'identificateur normale pour vous permettre de rentrer votre identifiant</note> | blue
152 Accord de genre erroné avec “normale”. => <note important>Si votre appareil bluetooth n'est pas à portée au moment où vous vous identifiez sur votre session, au bout de 10 secondes((Durée configurable dans le fichier /etc/security/bluesscan.conf)) **PAM Blue** cède la place à l'identificateur normale pour vous permettre de rentrer votre identifiant</note> | identificateur => suggestions : ['identificatrice']
152 Accord de genre erroné entre “identificateur” et “normale”. => <note important>Si votre appareil bluetooth n'est pas à portée au moment où vous vous identifiez sur votre session, au bout de 10 secondes((Durée configurable dans le fichier /etc/security/bluesscan.conf)) **PAM Blue** cède la place à l'identificateur normale pour vous permettre de rentrer votre identifiant</note> | normale => suggestions : ['normal']

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.digitalspirit.org/blog/index.php/post/2006/12/02/60-authentification-par-bluetooth-pambluez?pub=1#pr|Le blog de Hugo sur DigitalSpirit.org]]<sup>[fr]</sup> |    => suggestions : ['']
157 Mot inconnu : DigitalSpirit =>   * [[http://www.digitalspirit.org/blog/index.php/post/2006/12/02/60-authentification-par-bluetooth-pambluez?pub=1#pr|Le blog de Hugo sur DigitalSpirit.org]]<sup>[fr]</sup> | digitalspirit

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ubuntuforums.org/showthread.php?t=17571|Pam_usb : authentification par le biais d'une "clef usb"]]<sup>[en]</sup> |    => suggestions : ['']
158 Mot inconnu : Pam_usb =>   * [[https://ubuntuforums.org/showthread.php?t=17571|Pam_usb : authentification par le biais d'une "clef usb"]]<sup>[en]</sup> | pam_usb
158 Guillemets typographiques ouvrants. =>   * [[https://ubuntuforums.org/showthread.php?t=17571|Pam_usb : authentification par le biais d'une "clef usb"]]<sup>[en]</sup> | " => suggestions : ['«\xa0', '“']
158 Mot inconnu : usb =>   * [[https://ubuntuforums.org/showthread.php?t=17571|Pam_usb : authentification par le biais d'une "clef usb"]]<sup>[en]</sup> | usb
158 Guillemets typographiques fermants. =>   * [[https://ubuntuforums.org/showthread.php?t=17571|Pam_usb : authentification par le biais d'une "clef usb"]]<sup>[en]</sup> | " => suggestions : ['\xa0»', '”']

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://linuxfr.org/%7Ewallaye/15385.html|Installation de pam_usb]]<sup>[fr]</sup> |    => suggestions : ['']
159 Mot inconnu : pam_usb =>   * [[http://linuxfr.org/%7Ewallaye/15385.html|Installation de pam_usb]]<sup>[fr]</sup> | pam_usb

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://gulliver.eu.org/%7Escollilieux/Clef_usb_pour_serrure_GNULinux.html|pam_usb en français]]<sup>[fr]</sup> |    => suggestions : ['']
160 Mot inconnu : pam_usb =>   * [[http://gulliver.eu.org/%7Escollilieux/Clef_usb_pour_serrure_GNULinux.html|pam_usb en français]]<sup>[fr]</sup> | pam_usb
