
4 Mot inconnu : Pacapt => ====== Pacapt alias Pacman sous Ubuntu (gestionnaire de paquets) ====== | pacapt
111 Guillemets typographiques fermants. => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | '' => suggestions : ['\xa0»', '”']
111 Mot inconnu : sudo => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | sudo
111 Mot inconnu : apt-get => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | apt-get
111 Mot inconnu : autoremove => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | autoremove

112 Guillemets typographiques ouvrants. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : pacapt => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | pacapt
112 Il manque un espace à côté du tiret. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | |  - => suggestions : [' – ', ' — ']
112 Mot inconnu : Scc => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | scc
112 Guillemets typographiques fermants. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | '' => suggestions : ['\xa0»', '”']
112 Guillemets typographiques ouvrants. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : pacapt => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | pacapt
112 Il manque un espace à côté du tiret. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | |  - => suggestions : [' – ', ' — ']
112 Mot inconnu : Sccc => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | sccc
112 Guillemets typographiques fermants. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | '' => suggestions : ['\xa0»', '”']
112 Guillemets typographiques ouvrants. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : pacapt => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | pacapt
112 Guillemets typographiques fermants. => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | '' => suggestions : ['\xa0»', '”']
112 Mot inconnu : sudo => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | sudo
112 Mot inconnu : apt-get => | Nettoyage du système | ''pacapt -Scc'' ou ''pacapt -Sccc'', ou ''pacapt clean''| sudo apt/apt-get clean | | apt-get

114 Mot inconnu : Pacapt => <note important>Bien évidemment, l'application Pacapt manipulant des fichiers, il vous faudra entrer toutes les commandes en [[superutilisateur|mode superutilisateur]]</note> | pacapt
114 Mot inconnu : superutilisateur => <note important>Bien évidemment, l'application Pacapt manipulant des fichiers, il vous faudra entrer toutes les commandes en [[superutilisateur|mode superutilisateur]]</note> | superutilisateur
114 Mot inconnu : superutilisateur => <note important>Bien évidemment, l'application Pacapt manipulant des fichiers, il vous faudra entrer toutes les commandes en [[superutilisateur|mode superutilisateur]]</note> | superutilisateur
119 Pas d’espace avant un point. => <code bash>sudo find . -type f -name "pacapt*" -exec rm -f {} \; </code> |  . => suggestions : ['.']
119 Il manque un espace à côté du tiret. => <code bash>sudo find . -type f -name "pacapt*" -exec rm -f {} \; </code> |  - => suggestions : [' – ', ' — ']
119 Guillemets typographiques ouvrants. => <code bash>sudo find . -type f -name "pacapt*" -exec rm -f {} \; </code> | " => suggestions : ['«\xa0', '“']
119 Il manque un espace à côté du tiret. => <code bash>sudo find . -type f -name "pacapt*" -exec rm -f {} \; </code> |  - => suggestions : [' – ', ' — ']

120 Mot inconnu : pacapt => Cette commande trouve toutes les instances de l'expression entre guillemets (ici pacapt en mot simple ou composé) dans votre système et les supprime. | pacapt

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://github.com/icy/pacapt|Site officiel de Pacapt dans le GitHub]] |    => suggestions : ['']
124 Mot inconnu : Pacapt =>   * **(en)** [[https://github.com/icy/pacapt|Site officiel de Pacapt dans le GitHub]] | pacapt
124 Mot inconnu : GitHub =>   * **(en)** [[https://github.com/icy/pacapt|Site officiel de Pacapt dans le GitHub]] | github

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://lifehacker.com/pacapt-brings-arch-linuxs-amazing-pacman-package-manage-5880003|« Pacapt permet d'utiliser le sensationnel gestionnaire de paquets Pacman sous d'autres distributions Linux »]] \\ — site : Life Hacker ; auteur : Whitson Gordon ; date : 27 janvier 2012. |    => suggestions : ['']
125 Mot inconnu : Pacapt =>   * **(en)** [[https://lifehacker.com/pacapt-brings-arch-linuxs-amazing-pacman-package-manage-5880003|« Pacapt permet d'utiliser le sensationnel gestionnaire de paquets Pacman sous d'autres distributions Linux »]] \\ — site : Life Hacker ; auteur : Whitson Gordon ; date : 27 janvier 2012. | pacapt
125 Mot inconnu : Pacman =>   * **(en)** [[https://lifehacker.com/pacapt-brings-arch-linuxs-amazing-pacman-package-manage-5880003|« Pacapt permet d'utiliser le sensationnel gestionnaire de paquets Pacman sous d'autres distributions Linux »]] \\ — site : Life Hacker ; auteur : Whitson Gordon ; date : 27 janvier 2012. | pacman
125 Mot inconnu : Life =>   * **(en)** [[https://lifehacker.com/pacapt-brings-arch-linuxs-amazing-pacman-package-manage-5880003|« Pacapt permet d'utiliser le sensationnel gestionnaire de paquets Pacman sous d'autres distributions Linux »]] \\ — site : Life Hacker ; auteur : Whitson Gordon ; date : 27 janvier 2012. | life
125 Mot inconnu : Whitson =>   * **(en)** [[https://lifehacker.com/pacapt-brings-arch-linuxs-amazing-pacman-package-manage-5880003|« Pacapt permet d'utiliser le sensationnel gestionnaire de paquets Pacman sous d'autres distributions Linux »]] \\ — site : Life Hacker ; auteur : Whitson Gordon ; date : 27 janvier 2012. | whitson

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://wiki.archlinux.fr/pacman|Documentation de Pacman]] |    => suggestions : ['']
126 Mot inconnu : Pacman =>   * **(fr)** [[https://wiki.archlinux.fr/pacman|Documentation de Pacman]] | pacman
