
4 Mot inconnu : Quartus => ====== Quartus Web Edition ====== | quartus
80 Mot inconnu : regular => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | regular
80 Guillemets typographiques fermants. => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | " => suggestions : ['\xa0»', '”']
80 Espace(s) en fin de ligne à supprimer. => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   There are no Nios II CPUs with debug modules available which match the values specified.  |    => suggestions : ['']
82 Mot inconnu : There =>   There are no Nios II CPUs with debug modules available which match the values specified.  | there
82 Mot inconnu : Nios =>   There are no Nios II CPUs with debug modules available which match the values specified.  | nios
82 Mot inconnu : CPUs =>   There are no Nios II CPUs with debug modules available which match the values specified.  | cpus
82 Mot inconnu : with =>   There are no Nios II CPUs with debug modules available which match the values specified.  | with
82 Mot inconnu : debug =>   There are no Nios II CPUs with debug modules available which match the values specified.  | debug
82 Mot inconnu : available =>   There are no Nios II CPUs with debug modules available which match the values specified.  | available
82 Mot inconnu : which =>   There are no Nios II CPUs with debug modules available which match the values specified.  | which
82 Mot inconnu : the =>   There are no Nios II CPUs with debug modules available which match the values specified.  | the
82 Mot inconnu : specified =>   There are no Nios II CPUs with debug modules available which match the values specified.  | specified
82 Espace(s) en fin de ligne à supprimer. =>   There are no Nios II CPUs with debug modules available which match the values specified.  |   => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. |    => suggestions : ['']
83 Mot inconnu : Please =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | please
83 Mot inconnu : check =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | check
83 Mot inconnu : that =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | that
83 Mot inconnu : your =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | your
83 Mot inconnu : PLD =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | pld
83 Mot inconnu : is =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | is
83 Mot inconnu : correctly =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | correctly
83 Mot inconnu : configured =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | configured
83 Mot inconnu : downloading =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | downloading
83 Mot inconnu : SOF =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | sof
83 Mot inconnu : necessary =>   Please check that your PLD is correctly configured, downloading a new SOF file if necessary. | necessary

84 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Avez-vous bien programmé la carte avec le bon fichier .sof ? Si oui, alors l'erreur peut être dûe à un problème d'autorisation d'accès au périphérique. Tapez dans un terminal : |  . => suggestions : ['. ', '.']
84 Mot inconnu : sof => Avez-vous bien programmé la carte avec le bon fichier .sof ? Si oui, alors l'erreur peut être dûe à un problème d'autorisation d'accès au périphérique. Tapez dans un terminal : | sof
84 Mot inconnu : dûe => Avez-vous bien programmé la carte avec le bon fichier .sof ? Si oui, alors l'erreur peut être dûe à un problème d'autorisation d'accès au périphérique. Tapez dans un terminal : | dûe

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' |    => suggestions : ['']
85 Mot inconnu : sudo =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | sudo
85 Mot inconnu : sh =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | sh
85 Il manque un espace à côté du tiret. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' |  - => suggestions : [' – ', ' — ']
85 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | ' => suggestions : ['“', '‘', '‹']
85 Mot inconnu : echo =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | echo
85 Mot inconnu : ATTR =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | attr
85 Mot inconnu : idVendor =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | idvendor
85 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : fb =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | fb
85 Mot inconnu : ATTR =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | attr
85 Mot inconnu : idProduct =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | idproduct
85 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | ' => suggestions : ['”', '’', '›']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ====Librairie manquante==== |   => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory |    => suggestions : ['']
88 Mot inconnu : error =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | error
88 Mot inconnu : while =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | while
88 Mot inconnu : loading =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | loading
88 Mot inconnu : shared =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | shared
88 Mot inconnu : libraries =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | libraries
88 Mot inconnu : libjtag_client =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | libjtag_client
88 Mot inconnu : so =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | so
88 Mot inconnu : cannot =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | cannot
88 Mot inconnu : shared =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | shared
88 Mot inconnu : object =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | object
88 Mot inconnu : such =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | such
88 Mot inconnu : directory =>   error while loading shared libraries: libjtag_client.so: cannot open shared object file: No such file or directory | directory

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   PATH_ALTERA=~/altera/11.1sp2 |    => suggestions : ['']
90 Mot inconnu : PATH_ALTERA =>   PATH_ALTERA=~/altera/11.1sp2 | path_altera
90 Mot inconnu : altera =>   PATH_ALTERA=~/altera/11.1sp2 | altera
90 Mot inconnu : sp2 =>   PATH_ALTERA=~/altera/11.1sp2 | sp2

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf |    => suggestions : ['']
91 Mot inconnu : echo =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | echo
91 Mot inconnu : PATH_ALTERA =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | path_altera
91 Mot inconnu : quartus =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | quartus
91 Mot inconnu : linux =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | linux
91 Guillemets typographiques fermants. =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | " => suggestions : ['\xa0»', '”']
91 Mot inconnu : sudo =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | sudo

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ldconfig -v |    => suggestions : ['']
92 Mot inconnu : sudo =>   sudo ldconfig -v | sudo
92 Mot inconnu : ldconfig =>   sudo ldconfig -v | ldconfig
92 Il manque un espace à côté du tiret. =>   sudo ldconfig -v |  - => suggestions : [' – ', ' — ']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Description Resource Path Location Type |    => suggestions : ['']
94 Mot inconnu : Resource =>   Description Resource Path Location Type | resource
94 Mot inconnu : Path =>   Description Resource Path Location Type | path

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem |    => suggestions : ['']
95 Mot inconnu : make =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | make
95 Typographie : un ou trois points ? =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | .. => suggestions : ['…', '.']
95 Mot inconnu : Essai1_bsp =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | essai1_bsp
95 Mot inconnu : recurs-make-lib =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | recurs-make-lib
95 Mot inconnu : Error =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | error
95 Accord de nombre erroné avec « 2 » : « Essai » devrait être au pluriel. =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | essai => suggestions : ['ESSAIS']
95 Mot inconnu : Essai1 =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | essai1
95 Mot inconnu : Problem =>   make: *** [../Essai1_bsp/-recurs-make-lib] Error 2 Essai1 C/C++ Problem | problem

96 Mot inconnu : regénérer => Cette erreur apparaît lorsque vous modifiez un programme alors que vous avez recompilé l'architecture matérielle. Il suffit de regénérer les fichiers BSP. Sous Eclipse, Cliquez droit sur le nom de projet_BSP -> Nios II -> Generate BSP | regénérer
96 Mot inconnu : BSP => Cette erreur apparaît lorsque vous modifiez un programme alors que vous avez recompilé l'architecture matérielle. Il suffit de regénérer les fichiers BSP. Sous Eclipse, Cliquez droit sur le nom de projet_BSP -> Nios II -> Generate BSP | bsp
96 Mot inconnu : projet_BSP => Cette erreur apparaît lorsque vous modifiez un programme alors que vous avez recompilé l'architecture matérielle. Il suffit de regénérer les fichiers BSP. Sous Eclipse, Cliquez droit sur le nom de projet_BSP -> Nios II -> Generate BSP | projet_bsp
96 Mot inconnu : Nios => Cette erreur apparaît lorsque vous modifiez un programme alors que vous avez recompilé l'architecture matérielle. Il suffit de regénérer les fichiers BSP. Sous Eclipse, Cliquez droit sur le nom de projet_BSP -> Nios II -> Generate BSP | nios
96 Mot inconnu : Generate => Cette erreur apparaît lorsque vous modifiez un programme alors que vous avez recompilé l'architecture matérielle. Il suffit de regénérer les fichiers BSP. Sous Eclipse, Cliquez droit sur le nom de projet_BSP -> Nios II -> Generate BSP | generate
96 Mot inconnu : BSP => Cette erreur apparaît lorsque vous modifiez un programme alors que vous avez recompilé l'architecture matérielle. Il suffit de regénérer les fichiers BSP. Sous Eclipse, Cliquez droit sur le nom de projet_BSP -> Nios II -> Generate BSP | bsp

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://dl.altera.com/?edition=web&platform=linux|Site officiel de la suite Quartus Web Edition pour linux]] |    => suggestions : ['']
100 Mot inconnu : Quartus =>   * **(en)** [[http://dl.altera.com/?edition=web&platform=linux|Site officiel de la suite Quartus Web Edition pour linux]] | quartus
100 Mot inconnu : Edition =>   * **(en)** [[http://dl.altera.com/?edition=web&platform=linux|Site officiel de la suite Quartus Web Edition pour linux]] | edition
100 Mot inconnu : linux =>   * **(en)** [[http://dl.altera.com/?edition=web&platform=linux|Site officiel de la suite Quartus Web Edition pour linux]] | linux
102 Mot inconnu : DENEL => //Contributeurs principaux : [[utilisateurs:sdenel|Simon DENEL]]// | denel
