
4 Mot inconnu : Wordtrans => ====== Wordtrans ====== | wordtrans
72 Mot inconnu : jaunty => Dans les dépôts Ubuntu (au moins depuis jaunty), vous trouverez le paquet du dictionnaire anglais-espagnol : [[apt://i2e]] | jaunty
72 Mot inconnu : i2e => Dans les dépôts Ubuntu (au moins depuis jaunty), vous trouverez le paquet du dictionnaire anglais-espagnol : [[apt://i2e]] | i2e
74 Mot inconnu : WordTrans => D'autres dictionnaires ont été obtenus à partir du projet [[http://www.june29.com/IDP/IDPfiles.html|IDP]] et ont été adaptées pour WordTrans: | wordtrans

81 Mot inconnu : DICT => ==== Dictionnaires au protocole DICT ==== | dict

83 Mot inconnu : WordTrans => WordTrans peut aussi travailler avec les dictionnaires au protocole DICT (vous devez avoir installé le programme [[apt://dict]]). Dans les dépôts Ubuntu, vous trouverez plusieurs de ces dictionnaires comme dict-jargon, dict-foldoc, etc. | wordtrans
83 Mot inconnu : DICT => WordTrans peut aussi travailler avec les dictionnaires au protocole DICT (vous devez avoir installé le programme [[apt://dict]]). Dans les dépôts Ubuntu, vous trouverez plusieurs de ces dictionnaires comme dict-jargon, dict-foldoc, etc. | dict
83 Mot inconnu : dict => WordTrans peut aussi travailler avec les dictionnaires au protocole DICT (vous devez avoir installé le programme [[apt://dict]]). Dans les dépôts Ubuntu, vous trouverez plusieurs de ces dictionnaires comme dict-jargon, dict-foldoc, etc. | dict
83 Mot inconnu : dict-jargon => WordTrans peut aussi travailler avec les dictionnaires au protocole DICT (vous devez avoir installé le programme [[apt://dict]]). Dans les dépôts Ubuntu, vous trouverez plusieurs de ces dictionnaires comme dict-jargon, dict-foldoc, etc. | dict-jargon
83 Mot inconnu : dict-foldoc => WordTrans peut aussi travailler avec les dictionnaires au protocole DICT (vous devez avoir installé le programme [[apt://dict]]). Dans les dépôts Ubuntu, vous trouverez plusieurs de ces dictionnaires comme dict-jargon, dict-foldoc, etc. | dict-foldoc
85 Espace(s) en fin de ligne à supprimer. => Vous pouvez trouver plus de dictionnaires aux adresses [[http://www.dict.org|dict]] et [[http://www.freedict.org/fr/|freedict]].  |   => suggestions : ['']

87 Mot inconnu : Wordtrans => ===== Installer un dictionnaire dans Wordtrans ===== | wordtrans

89 Guillemets typographiques ouvrants. => Pour ajouter un nouveau dictionnaire, cliquer sur "Dictionnaires", puis "Nouveau..."\\ | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. => Pour ajouter un nouveau dictionnaire, cliquer sur "Dictionnaires", puis "Nouveau..."\\ | " => suggestions : ['\xa0»', '”']
89 Guillemets typographiques ouvrants. => Pour ajouter un nouveau dictionnaire, cliquer sur "Dictionnaires", puis "Nouveau..."\\ | " => suggestions : ['«\xa0', '“']
89 Typographie : points de suspension. Utilisez le caractère dédié. => Pour ajouter un nouveau dictionnaire, cliquer sur "Dictionnaires", puis "Nouveau..."\\ | ... => suggestions : ['…']
89 Guillemets typographiques fermants. => Pour ajouter un nouveau dictionnaire, cliquer sur "Dictionnaires", puis "Nouveau..."\\ | " => suggestions : ['\xa0»', '”']

90 Guillemets typographiques ouvrants. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | " => suggestions : ['«\xa0', '“']
90 Guillemets typographiques fermants. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | " => suggestions : ['\xa0»', '”']
90 Guillemets typographiques ouvrants. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | " => suggestions : ['«\xa0', '“']
90 Guillemets typographiques fermants. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | " => suggestions : ['\xa0»', '”']
90 Guillemets typographiques ouvrants. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | " => suggestions : ['«\xa0', '“']
90 Mot inconnu : Editer => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | editer
90 Typographie : points de suspension. Utilisez le caractère dédié. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | ... => suggestions : ['…']
90 Guillemets typographiques fermants. => Pour corriger la configuration d'un dictionnaire déjà installé, cliquer sur "Dictionnaires", sélectionner ce dictionnaire dans la liste, puis cliquer à nouveau sur "Dictionnaires", puis "Editer..." | " => suggestions : ['\xa0»', '”']

95 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : ...// | ... => suggestions : ['…']
