
5 Mot inconnu : FCRON => ====== Programmer des tâches avec FCRON ====== | fcron
183 Mot inconnu : root => Les commandes ci-dessus sont stockées dans un fichier **fcrontab** appartenant à votre compte d'utilisateur et exécutées avec votre niveau des permissions. Si vous voulez exécuter, régulièrement, une commande exigeant un plus haut niveau de permission (root), vous devez utiliser le fichier **fcrontab** root (ou racine) : | root
183 Mot inconnu : fcrontab => Les commandes ci-dessus sont stockées dans un fichier **fcrontab** appartenant à votre compte d'utilisateur et exécutées avec votre niveau des permissions. Si vous voulez exécuter, régulièrement, une commande exigeant un plus haut niveau de permission (root), vous devez utiliser le fichier **fcrontab** root (ou racine) : | fcrontab
183 Mot inconnu : root => Les commandes ci-dessus sont stockées dans un fichier **fcrontab** appartenant à votre compte d'utilisateur et exécutées avec votre niveau des permissions. Si vous voulez exécuter, régulièrement, une commande exigeant un plus haut niveau de permission (root), vous devez utiliser le fichier **fcrontab** root (ou racine) : | root
187 Mot inconnu : root => Remarque : cette commande édite directement le fichier // /var/spool/fcron/<utilisateur>// (avec ici root comme utilisateur). | root

189 Mot inconnu : PATH => Selon les commandes à exécuter, vous devrez changer la variable //PATH// des utilisateurs ayant les droits //root// en mettant la ligne suivante au dessus de leurs fichiers **fcrontab** : | path
189 Il manque un trait d’union. => Selon les commandes à exécuter, vous devrez changer la variable //PATH// des utilisateurs ayant les droits //root// en mettant la ligne suivante au dessus de leurs fichiers **fcrontab** : | au dessus => suggestions : ['au-dessus']
189 Mot inconnu : fcrontab => Selon les commandes à exécuter, vous devrez changer la variable //PATH// des utilisateurs ayant les droits //root// en mettant la ligne suivante au dessus de leurs fichiers **fcrontab** : | fcrontab

193 Mot inconnu : fcron => Il est important de vérifier que vos travaux dans **fcron** fonctionnent comme prévu. Une méthode pour faire un test est de paramétrer le travail dans la **fcrontab** pour qu'il se fasse quelques minutes plus tard et de vérifier les résultats avant de mettre, la synchronisation de cette tâche, à la bonne heure. Vous pouvez également trouver utile de mettre les résultats des commandes dans un fichier texte qui notent les succès ou les échecs, par exemple : | fcron
193 Mot inconnu : fcrontab => Il est important de vérifier que vos travaux dans **fcron** fonctionnent comme prévu. Une méthode pour faire un test est de paramétrer le travail dans la **fcrontab** pour qu'il se fasse quelques minutes plus tard et de vérifier les résultats avant de mettre, la synchronisation de cette tâche, à la bonne heure. Vous pouvez également trouver utile de mettre les résultats des commandes dans un fichier texte qui notent les succès ou les échecs, par exemple : | fcrontab

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://fcron.free.fr/|Site officiel]] (en) |    => suggestions : ['']

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://fcron.free.fr/doc/fr/|Documentation française]] (fr) |    => suggestions : ['']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikipedia.org/wiki/Fcron|L'article fcron de Wikipedia]] (fr) |    => suggestions : ['']
206 Mot inconnu : fcron =>   * [[https://fr.wikipedia.org/wiki/Fcron|L'article fcron de Wikipedia]] (fr) | fcron
206 Mot inconnu : Wikipedia =>   * [[https://fr.wikipedia.org/wiki/Fcron|L'article fcron de Wikipedia]] (fr) | wikipedia

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[incron]] : effectuer une action, commande(s), scripts, etc, en cas de modifications de fichiers ou de répertoires donnés |    => suggestions : ['']
213 Mot inconnu : incron =>   * [[incron]] : effectuer une action, commande(s), scripts, etc, en cas de modifications de fichiers ou de répertoires donnés | incron
213 Écriture invariable. Utilisez un point médian. =>   * [[incron]] : effectuer une action, commande(s), scripts, etc, en cas de modifications de fichiers ou de répertoires donnés | commande(s) => suggestions : ['commande·s']
217 Espace(s) en fin de ligne à supprimer. => //Contributeurs :  |   => suggestions : ['']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [[utilisateurs:tartopom|Tartopom]] Le 10/04/2007, à  23:15, [[utilisateurs:chamblard|Chamblard]] Le 10/12/2015 |    => suggestions : ['']
218 Il manque un espace. =>   [[utilisateurs:tartopom|Tartopom]] Le 10/04/2007, à  23:15, [[utilisateurs:chamblard|Chamblard]] Le 10/12/2015 | tartopom => suggestions : [' tartopom']
218 Espace(s) surnuméraire(s) à supprimer. =>   [[utilisateurs:tartopom|Tartopom]] Le 10/04/2007, à  23:15, [[utilisateurs:chamblard|Chamblard]] Le 10/12/2015 |    => suggestions : [' ']
218 Il manque un espace. =>   [[utilisateurs:tartopom|Tartopom]] Le 10/04/2007, à  23:15, [[utilisateurs:chamblard|Chamblard]] Le 10/12/2015 | chamblard => suggestions : [' chamblard']
