2 Mot inconnu : Gtkmm => ====== Gtkmm  ====== | gtkmm
86 Mot inconnu : Project =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. | project
86 Espace(s) surnuméraire(s) à supprimer. =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. |    => suggestions : [' ']
86 Mot inconnu : Add =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. | add
86 Mot inconnu : recursively =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. | recursively
86 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. | ... => suggestions : ['…']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... |    => suggestions : ['']
87 Guillemets typographiques ouvrants. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | " => suggestions : ['«\xa0', '“']
87 Accord de nombre erroné avec « deux » : « main » devrait être au pluriel. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | main => suggestions : ['mains']
87 Guillemets typographiques fermants. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | " => suggestions : ['\xa0»', '”']
87 Guillemets typographiques ouvrants. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | " => suggestions : ['«\xa0', '“']
87 Mot inconnu : cc =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | cc
87 Guillemets typographiques fermants. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | " => suggestions : ['\xa0»', '”']
87 Accord de genre erroné : « main » est féminin. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | le => suggestions : ['la']
87 Accord de genre erroné : « le » est un déterminant masculin. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | main => suggestions : ['maint']
87 Guillemets typographiques ouvrants. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | " => suggestions : ['«\xa0', '“']
87 Mot inconnu : cpp =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | cpp
87 Guillemets typographiques fermants. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | " => suggestions : ['\xa0»', '”']
87 Espace(s) surnuméraire(s) à supprimer. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... |    => suggestions : [' ']
87 Mot inconnu : Project =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | project
87 Espace(s) surnuméraire(s) à supprimer. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... |    => suggestions : [' ']
87 Mot inconnu : Remove =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | remove
87 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Maintenant nous avons deux "main" ! Nous allons garder celui fourni par l'exemple "main.cc" et nous allons supprimer le main par défaut "main.cpp" en allant dans  Project  → Remove file... | ... => suggestions : ['…']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Maintenant on peut compiler et on espère qu'il n'y a plus d'erreurs ...  |    => suggestions : ['']
88 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Maintenant on peut compiler et on espère qu'il n'y a plus d'erreurs ...  | ... => suggestions : ['…']
88 Espace(s) en fin de ligne à supprimer. =>   * Maintenant on peut compiler et on espère qu'il n'y a plus d'erreurs ...  |   => suggestions : ['']

93 Mot inconnu : CMake => ==== Avec CMake ==== | cmake
94 Mot inconnu : makefiles => [[http://www.cmake.org|Cmake]] est un programme permettant de simplifier la compilation en générant des makefiles. | makefiles

95 Mot inconnu : gtkmm => Pour utiliser gtkmm avec cmake, il faut procéder ainsi :  | gtkmm
95 Mot inconnu : cmake => Pour utiliser gtkmm avec cmake, il faut procéder ainsi :  | cmake
95 Espace(s) en fin de ligne à supprimer. => Pour utiliser gtkmm avec cmake, il faut procéder ainsi :  |   => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ${GTKMM_LIBRARIES} )</code>  |      => suggestions : ['']
117 Mot inconnu : GTKMM_LIBRARIES =>     ${GTKMM_LIBRARIES} )</code>  | gtkmm_libraries
117 Pas d’espace avant ce signe. =>     ${GTKMM_LIBRARIES} )</code>  |  ) => suggestions : [')']
117 Espace(s) en fin de ligne à supprimer. =>     ${GTKMM_LIBRARIES} )</code>  |   => suggestions : ['']

118 Mot inconnu : CMake => CMake utilisera pkg-config pour trouver la librairie, ce code ne permet donc pas de compiler un programme gtkmm de façon portable. | cmake
118 Mot inconnu : pkg-config => CMake utilisera pkg-config pour trouver la librairie, ce code ne permet donc pas de compiler un programme gtkmm de façon portable. | pkg-config
118 Mot inconnu : gtkmm => CMake utilisera pkg-config pour trouver la librairie, ce code ne permet donc pas de compiler un programme gtkmm de façon portable. | gtkmm

123 Guillemets typographiques ouvrants. => [[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/pdf/programming-with-gtkmm.pdf|Le livre en ligne "Programming with gtkmm"]] ([[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/html/index.html|aussi disponible en html]]) | " => suggestions : ['«\xa0', '“']
123 Mot inconnu : Programming => [[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/pdf/programming-with-gtkmm.pdf|Le livre en ligne "Programming with gtkmm"]] ([[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/html/index.html|aussi disponible en html]]) | programming
123 Mot inconnu : with => [[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/pdf/programming-with-gtkmm.pdf|Le livre en ligne "Programming with gtkmm"]] ([[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/html/index.html|aussi disponible en html]]) | with
123 Mot inconnu : gtkmm => [[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/pdf/programming-with-gtkmm.pdf|Le livre en ligne "Programming with gtkmm"]] ([[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/html/index.html|aussi disponible en html]]) | gtkmm
123 Guillemets typographiques fermants. => [[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/pdf/programming-with-gtkmm.pdf|Le livre en ligne "Programming with gtkmm"]] ([[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/html/index.html|aussi disponible en html]]) | " => suggestions : ['\xa0»', '”']
123 Mot inconnu : html => [[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/pdf/programming-with-gtkmm.pdf|Le livre en ligne "Programming with gtkmm"]] ([[http://www.gtkmm.org/docs/gtkmm-3.0/docs/tutorial/html/index.html|aussi disponible en html]]) | html

125 Guillemets typographiques ouvrants. => [[http://www.siteduzero.com/tutoriel-3-277422-creer-des-interfaces-graphiques-en-c-avec-gtkmm.html#part_277420|Tutoriel en français sur "Le Site du Zéro"]] | " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. => [[http://www.siteduzero.com/tutoriel-3-277422-creer-des-interfaces-graphiques-en-c-avec-gtkmm.html#part_277420|Tutoriel en français sur "Le Site du Zéro"]] | " => suggestions : ['\xa0»', '”']
