
4 Mot inconnu : lm-sensors => ====== lm-sensors : utiliser les capteurs matériels ====== | lm-sensors
216 Espace(s) surnuméraire(s) à supprimer. =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" |    => suggestions : [' ']
216 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" |  -  => suggestions : [' – ', ' — ', ' − ']
216 Mot inconnu : fancontrol =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | fancontrol
216 Guillemets typographiques fermants. =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | " => suggestions : ['\xa0»', '”']

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" |                 => suggestions : ['']
217 Mot inconnu : log_success_msg =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" | log_success_msg
217 Guillemets isolés. =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
217 Espace(s) surnuméraire(s) à supprimer. =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" |    => suggestions : [' ']
217 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" |  -  => suggestions : [' – ', ' — ', ' − ']
217 Mot inconnu : system-wide =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" | system-wide
217 Mot inconnu : fancontrol =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" | fancontrol
217 Espace(s) surnuméraire(s) à supprimer. =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" |    => suggestions : [' ']
217 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" |  -  => suggestions : [' – ', ' — ', ' − ']
217 Mot inconnu : fancontrol =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" | fancontrol
217 Guillemets typographiques fermants. =>                log_success_msg "  (en) : stop  - stops system-wide fancontrol service — (fr) :  arrêt - stoppe le service fancontrol de type système global" | " => suggestions : ['\xa0»', '”']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" |                 => suggestions : ['']
218 Mot inconnu : log_success_msg =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | log_success_msg
218 Guillemets isolés. =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
218 Mot inconnu : restart =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | restart
218 Mot inconnu : force-reload =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | force-reload
218 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" |  -  => suggestions : [' – ', ' — ', ' − ']
218 Mot inconnu : starts =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | starts
218 Mot inconnu : system-wide =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | system-wide
218 Mot inconnu : fancontrol =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | fancontrol
218 Espace(s) surnuméraire(s) à supprimer. =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" |    => suggestions : [' ']
218 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" |  -  => suggestions : [' – ', ' — ', ' − ']
218 Mot inconnu : fancontrol =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | fancontrol
218 Guillemets typographiques fermants. =>                log_success_msg "  (en) : restart, force-reload - starts a new system-wide fancontrol service — (fr) :  redémarrage, chargement mémoire - démarre un nouveau service fancontrol de type système global" | " => suggestions : ['\xa0»', '”']

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                exit 1 |                 => suggestions : ['']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                ;; |                 => suggestions : ['']
220 Une de ces ponctuations est superflue. =>                ;; | ;; => suggestions : [';', ';']

221 Mot inconnu : esac => esac | esac

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rendez le __script exécutable__ grâce à cette commande :  |    => suggestions : ['']
227 Mot inconnu : __script =>   * Rendez le __script exécutable__ grâce à cette commande :  | __script
227 Mot inconnu : exécutable__ =>   * Rendez le __script exécutable__ grâce à cette commande :  | exécutable__
227 Espace(s) en fin de ligne à supprimer. =>   * Rendez le __script exécutable__ grâce à cette commande :  |   => suggestions : ['']

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * testez le script : |    => suggestions : ['']

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  puis: |   => suggestions : ['']

247 Espace(s) en fin de ligne à supprimer. => Si tout marche bien, le script de démarrage du service sera automatiquement lancé au prochain démarrage d'Ubuntu.  |   => suggestions : ['']

258 Mot inconnu : sudo => sudo service fancontrol start | sudo
258 Mot inconnu : fancontrol => sudo service fancontrol start | fancontrol
258 Mot inconnu : start => sudo service fancontrol start | start

260 Mot inconnu : Gerer => ====Gerer la surchauffe==== | gerer

263 Mot inconnu : GRUB_CMDLINE_LINUX => <file>GRUB_CMDLINE_LINUX="acpi.power_nocheck=1"</file> | grub_cmdline_linux
263 Guillemets typographiques ouvrants. => <file>GRUB_CMDLINE_LINUX="acpi.power_nocheck=1"</file> | " => suggestions : ['«\xa0', '“']
263 Mot inconnu : acpi => <file>GRUB_CMDLINE_LINUX="acpi.power_nocheck=1"</file> | acpi
263 Mot inconnu : power_nocheck => <file>GRUB_CMDLINE_LINUX="acpi.power_nocheck=1"</file> | power_nocheck
263 Guillemets typographiques fermants. => <file>GRUB_CMDLINE_LINUX="acpi.power_nocheck=1"</file> | " => suggestions : ['\xa0»', '”']

266 Mot inconnu : Munin => =====Munin===== | munin

269 Mot inconnu : sensors => Il vous faut créer un lien de /usr/share/munin/sensors_ (plugin générique sensors) vers /etc/munin/plugins/sensors_fan sensors_temp : | sensors
269 Mot inconnu : sensors_temp => Il vous faut créer un lien de /usr/share/munin/sensors_ (plugin générique sensors) vers /etc/munin/plugins/sensors_fan sensors_temp : | sensors_temp

274 Mot inconnu : sensors_volt => ou sensors_volt ((plugin spécifique à la fonction)).  | sensors_volt
274 Espace(s) en fin de ligne à supprimer. => ou sensors_volt ((plugin spécifique à la fonction)).  |   => suggestions : ['']

277 Il manque un espace avant la parenthèse. => Vous devrez bien sûr vérifier que le capteur peut récupérer une valeur de vitesse de ventilateur ((fan)), de tension ((volt)) ou de température((temp)). | ( => suggestions : [' (']
277 Mot inconnu : temp => Vous devrez bien sûr vérifier que le capteur peut récupérer une valeur de vitesse de ventilateur ((fan)), de tension ((volt)) ou de température((temp)). | temp

284 Mot inconnu : Unity => === Unity === | unity

286 Mot inconnu : Unity => Pour afficher graphiquement les données des capteurs sous Unity vous pouvez [[tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>indicator-multiload]]**. | unity
286 Il manque un espace. => Pour afficher graphiquement les données des capteurs sous Unity vous pouvez [[tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>indicator-multiload]]**. | comment_installer_un_paquet => suggestions : [' comment_installer_un_paquet']
286 Mot inconnu : comment_installer_un_paquet => Pour afficher graphiquement les données des capteurs sous Unity vous pouvez [[tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>indicator-multiload]]**. | comment_installer_un_paquet
286 Mot inconnu : indicator-multiload => Pour afficher graphiquement les données des capteurs sous Unity vous pouvez [[tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>indicator-multiload]]**. | indicator-multiload

290 Mot inconnu : FREON => Pour afficher graphiquement les données des capteurs sous GNOME, vous pouvez installer l'extension FREON : **https://extensions.gnome.org/extension/841/freon/** | freon

294 Il manque un espace. => Pour l'utiliser [[tutoriel:comment_installer_un_paquet|installez le paquet]] **[[apt>sensors-applet]]**. | comment_installer_un_paquet => suggestions : [' comment_installer_un_paquet']
294 Mot inconnu : comment_installer_un_paquet => Pour l'utiliser [[tutoriel:comment_installer_un_paquet|installez le paquet]] **[[apt>sensors-applet]]**. | comment_installer_un_paquet
294 Mot inconnu : sensors-applet => Pour l'utiliser [[tutoriel:comment_installer_un_paquet|installez le paquet]] **[[apt>sensors-applet]]**. | sensors-applet

303 Mot inconnu : daemon => Il faut activer le daemon, soit à l'installation du package, soit en tapant : | daemon

309 Mot inconnu : Hddtemp => Hddtemp n'est pas indispensable à **sensors-applet**, mais il est préférable de l'installer pour avoir un support plus étendu des capteurs. | hddtemp
309 Mot inconnu : sensors-applet => Hddtemp n'est pas indispensable à **sensors-applet**, mais il est préférable de l'installer pour avoir un support plus étendu des capteurs. | sensors-applet

311 Mot inconnu : KDE => === KDE === | kde
313 Guillemets typographiques ouvrants. => Sous Kubuntu, pour obtenir l'affichage graphique des capteurs ajoutez le composant "Température du matériel" dans votre tableau de bord.\\ | " => suggestions : ['«\xa0', '“']
313 Accord de genre erroné : « le composant » est masculin, « Température » est féminin. => Sous Kubuntu, pour obtenir l'affichage graphique des capteurs ajoutez le composant "Température du matériel" dans votre tableau de bord.\\ | température => suggestions : []
313 Guillemets typographiques fermants. => Sous Kubuntu, pour obtenir l'affichage graphique des capteurs ajoutez le composant "Température du matériel" dans votre tableau de bord.\\ | " => suggestions : ['\xa0»', '”']

316 Mot inconnu : Xfce => === Xfce === | xfce

320 Mot inconnu : Indicator-sensors => === Indicator-sensors === | indicator-sensors

321 Mot inconnu : indicator-sensors => Une autre possibilité est d'utiliser le paquet **indicator-sensors**. \\ | indicator-sensors

325 Espace(s) en fin de ligne à supprimer. => </note>  |   => suggestions : ['']

336 Espace(s) en fin de ligne à supprimer. => Il apparaît dans la zone de notification,  |   => suggestions : ['']

337 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faites un clic droit dessus, \\ |    => suggestions : ['']

339 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * renommer les capteurs en cliquant sur l'étiquette et  |    => suggestions : ['']
339 Espace(s) en fin de ligne à supprimer. =>   * renommer les capteurs en cliquant sur l'étiquette et  |   => suggestions : ['']

340 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). |    => suggestions : ['']
340 Guillemets typographiques ouvrants. =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | " => suggestions : ['«\xa0', '“']
340 Accord de genre erroné : « la case » est féminin, « Activé » est masculin. =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | activé => suggestions : ['Activée']
340 Guillemets typographiques fermants. =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | " => suggestions : ['\xa0»', '”']
340 Il manque un espace avant la parenthèse. =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | ( => suggestions : [' (']
340 Mot inconnu : alexmurray =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | alexmurray
340 Mot inconnu : indicator-sensors =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | indicator-sensors
340 Mot inconnu : indicator =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | indicator
340 Mot inconnu : sensors =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | sensors
340 Mot inconnu : Launchpad =>   * l'activer en cochant la case "Activé" pour afficher les capteurs désirés(([[https://launchpad.net/~alexmurray/+archive/indicator-sensors|indicator sensors sur Launchpad]])). | launchpad

344 Mot inconnu : PSensor => === PSensor === | psensor

351 Mot inconnu : PSensor => **PSensor** est inclus dans la logithèque.\\ | psensor

354 Mot inconnu : PSensor => Vous trouverez une présentation plus complète sur **(en)** [[http://www.omgubuntu.co.uk/2011/05/psensor-a-graphical-temperature-monitor-for-ubuntu/|PSensor lets you easily monitor hardware temperature in Ubuntu]]. | psensor
354 Mot inconnu : lets => Vous trouverez une présentation plus complète sur **(en)** [[http://www.omgubuntu.co.uk/2011/05/psensor-a-graphical-temperature-monitor-for-ubuntu/|PSensor lets you easily monitor hardware temperature in Ubuntu]]. | lets
354 Mot inconnu : you => Vous trouverez une présentation plus complète sur **(en)** [[http://www.omgubuntu.co.uk/2011/05/psensor-a-graphical-temperature-monitor-for-ubuntu/|PSensor lets you easily monitor hardware temperature in Ubuntu]]. | you
354 Mot inconnu : easily => Vous trouverez une présentation plus complète sur **(en)** [[http://www.omgubuntu.co.uk/2011/05/psensor-a-graphical-temperature-monitor-for-ubuntu/|PSensor lets you easily monitor hardware temperature in Ubuntu]]. | easily
354 Mot inconnu : temperature => Vous trouverez une présentation plus complète sur **(en)** [[http://www.omgubuntu.co.uk/2011/05/psensor-a-graphical-temperature-monitor-for-ubuntu/|PSensor lets you easily monitor hardware temperature in Ubuntu]]. | temperature

356 Mot inconnu : Screenlets => === Screenlets === | screenlets

362 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.noobslab.com/2012/06/install-hardware-sensors-indicators-in.html|Installation des indicateurs de sondes matérielles]] , |    => suggestions : ['']

363 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://help.ubuntu.com/community/SensorInstallHowto|Manuel d'installation des capteurs de température]]. |    => suggestions : ['']

364 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
367 Il manque un espace. => //Contributeurs: [[utilisateurs:kmeleon|Kmeleon]] et [[utilisateurs:ronan|Ronan]], \\ | kmeleon => suggestions : [' kmeleon']
367 Il manque un espace. => //Contributeurs: [[utilisateurs:kmeleon|Kmeleon]] et [[utilisateurs:ronan|Ronan]], \\ | ronan => suggestions : [' ronan']
369 Il manque un espace. => //Autres contributeurs : [[utilisateurs:eagle08|René Stoecklin]] : Mise en page, traduction, corrections rédactionnelles, conformation à la norme W3C (interface Lynx Braille).// | eagle08 => suggestions : [' eagle08']
369 Mot inconnu : Stoecklin => //Autres contributeurs : [[utilisateurs:eagle08|René Stoecklin]] : Mise en page, traduction, corrections rédactionnelles, conformation à la norme W3C (interface Lynx Braille).// | stoecklin
