1 Mot inconnu : Driv3r => ====== Driv3r (Driver 3) ====== | driv3r
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. |    => suggestions : ['']
42 Mot inconnu : playonlinux =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | playonlinux
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Mot inconnu : Program =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | program
42 Mot inconnu : Driv3r =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | driv3r
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Mot inconnu : Driv3r =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | driv3r
42 Mot inconnu : exe =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | exe
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Mot inconnu : driv3r =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | driv3r
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Mot inconnu : InstallShield =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | installshield
42 Mot inconnu : icone =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | icone
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Driv3r"** et **"Driv3r.exe" "Suivant"**, **"driv3r" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. |    => suggestions : ['']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | ... => suggestions : ['…']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Mot inconnu : __ =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | __
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Accord de genre erroné : « une application » est féminin, « installé » est masculin. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | installé => suggestions : ['installée']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Mot inconnu : __ =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | __
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : driv3r =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | driv3r
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
43 Mot inconnu : playonlinux =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | playonlinux
43 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "driv3r" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']

45 Mot inconnu : PlayOnLinux => <note>En cas de boulette, dans votre home à l'adresse **.PlayOnLinux/wineprefix**, supprimer le dossier du jeu et recommencer. En cas de mauvaise désinstallation les icônes résiduelles sont dans **.local/share/applications** </note> | playonlinux
45 Mot inconnu : wineprefix => <note>En cas de boulette, dans votre home à l'adresse **.PlayOnLinux/wineprefix**, supprimer le dossier du jeu et recommencer. En cas de mauvaise désinstallation les icônes résiduelles sont dans **.local/share/applications** </note> | wineprefix
45 Mot inconnu : share => <note>En cas de boulette, dans votre home à l'adresse **.PlayOnLinux/wineprefix**, supprimer le dossier du jeu et recommencer. En cas de mauvaise désinstallation les icônes résiduelles sont dans **.local/share/applications** </note> | share

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ |    => suggestions : ['']
46 Mot inconnu : dvd =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ | dvd
46 Mot inconnu : iso =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ | iso
