
5 Mot inconnu : ddrescue => ====== ddrescue ====== | ddrescue
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |    => suggestions : [' ']
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |    => suggestions : [' ']
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |    => suggestions : [' ']
171 Mot inconnu : r27 => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> | r27
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |     => suggestions : [' ']
171 Mot inconnu : b512 => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> | b512
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |    => suggestions : [' ']
171 Mot inconnu : c1 => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> | c1
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |            => suggestions : [' ']
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |      => suggestions : [' ']
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |      => suggestions : [' ']

174 Mot inconnu : sudo => sudo ddrescuelog -l- -b512 /home/ubuntu/dd/suivi >/home/ubuntu/dd/badblocs</code> | sudo
174 Mot inconnu : ddrescuelog => sudo ddrescuelog -l- -b512 /home/ubuntu/dd/suivi >/home/ubuntu/dd/badblocs</code> | ddrescuelog
174 Il manque un espace à côté du tiret. => sudo ddrescuelog -l- -b512 /home/ubuntu/dd/suivi >/home/ubuntu/dd/badblocs</code> |  - => suggestions : [' – ', ' — ']
174 Mot inconnu : b512 => sudo ddrescuelog -l- -b512 /home/ubuntu/dd/suivi >/home/ubuntu/dd/badblocs</code> | b512

176 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Avec mise d'un commentaire personnel.  | -  => suggestions : ['—\xa0', '–\xa0']
176 Espace(s) en fin de ligne à supprimer. => - Avec mise d'un commentaire personnel.  |   => suggestions : ['']

178 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - ou avec écriture de zéros. | -  => suggestions : ['—\xa0', '–\xa0']

182 Mot inconnu : livecdrom => === Sauvegarde d'une partition dans une partition avec un livecdrom === | livecdrom

184 Mot inconnu : sda6 => La partition est celle contenant les données de l'utilisateur (sda6).  | sda6
184 Espace(s) en fin de ligne à supprimer. => La partition est celle contenant les données de l'utilisateur (sda6).  |   => suggestions : ['']
185 Espace(s) surnuméraire(s) à supprimer. => Le disque externe a été formaté avec au moins deux partitions;  sde1 pour le suivi du processus (taille 1 Go) et sde2 pour recevoir la duplication (la taille étant au moins égale à sda6). |    => suggestions : [' ']
185 Mot inconnu : sde1 => Le disque externe a été formaté avec au moins deux partitions;  sde1 pour le suivi du processus (taille 1 Go) et sde2 pour recevoir la duplication (la taille étant au moins égale à sda6). | sde1
185 Mot inconnu : sde2 => Le disque externe a été formaté avec au moins deux partitions;  sde1 pour le suivi du processus (taille 1 Go) et sde2 pour recevoir la duplication (la taille étant au moins égale à sda6). | sde2
185 Mot inconnu : sda6 => Le disque externe a été formaté avec au moins deux partitions;  sde1 pour le suivi du processus (taille 1 Go) et sde2 pour recevoir la duplication (la taille étant au moins égale à sda6). | sda6

190 Mot inconnu : sudo => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> | sudo
190 Mot inconnu : ddrescue => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> | ddrescue
190 Il manque un espace à côté du tiret. => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> |  - => suggestions : [' – ', ' — ']
190 Mot inconnu : c1 => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> | c1
190 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> |    => suggestions : [' ']
190 Mot inconnu : b4096 => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> | b4096
190 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> |    => suggestions : [' ']
190 Mot inconnu : dd => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> | dd
190 Mot inconnu : suivi6 => sudo ddrescue -f -c1  -b4096  /dev/sda6 /dev/sde2 /media/ubuntu/dd/suivi6</code> | suivi6

195 Mot inconnu : sudo => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | sudo
195 Mot inconnu : ddrescuelog => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | ddrescuelog
195 Il manque un espace à côté du tiret. => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> |  - => suggestions : [' – ', ' — ']
195 Mot inconnu : b4096 => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | b4096
195 Mot inconnu : dd => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | dd
195 Mot inconnu : suivi6 => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | suivi6
195 Mot inconnu : dd => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | dd
195 Mot inconnu : badblocs6 => sudo ddrescuelog -l- -b4096 /media/ubuntu/dd/suivi6 >/media/ubuntu/dd/badblocs6</code> | badblocs6

197 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Avec mise d'un commentaire personnel.  | -  => suggestions : ['—\xa0', '–\xa0']
197 Espace(s) en fin de ligne à supprimer. => - Avec mise d'un commentaire personnel.  |   => suggestions : ['']

199 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - ou avec écriture de zéros. | -  => suggestions : ['—\xa0', '–\xa0']

211 Mot inconnu : ls => ls /mnt</code> | ls

214 Espace(s) surnuméraire(s) à supprimer. => Ces secteurs du  support de sortie contiennent donc des informations sans rapport avec le support d'entrée. |    => suggestions : [' ']

217 Espace(s) surnuméraire(s) à supprimer. => Pour un film, ce n'est pas très grave. Personne  ne verra qu'un paquet de 512 bytes est remplacé par une autre animation.   |    => suggestions : [' ']
217 Espace(s) en fin de ligne à supprimer. => Pour un film, ce n'est pas très grave. Personne  ne verra qu'un paquet de 512 bytes est remplacé par une autre animation.   |    => suggestions : ['']

223 Mot inconnu : writer => Pour un document du style writer,   on pourra s'apercevoir que 512 octets ne sont pas dans la même langue  ou qu'ils sont sans rapport avec l'histoire racontée. | writer
223 Espace(s) surnuméraire(s) à supprimer. => Pour un document du style writer,   on pourra s'apercevoir que 512 octets ne sont pas dans la même langue  ou qu'ils sont sans rapport avec l'histoire racontée. |     => suggestions : [' ']
223 Espace(s) surnuméraire(s) à supprimer. => Pour un document du style writer,   on pourra s'apercevoir que 512 octets ne sont pas dans la même langue  ou qu'ils sont sans rapport avec l'histoire racontée. |    => suggestions : [' ']

225 Espace(s) surnuméraire(s) à supprimer. => Pour un document du style  calc, il va être plus difficile de s'apercevoir que les chiffres ne sont pas valables. Si par malheur cela concerne le tableau final....... |    => suggestions : [' ']
225 Mot inconnu : calc => Pour un document du style  calc, il va être plus difficile de s'apercevoir que les chiffres ne sont pas valables. Si par malheur cela concerne le tableau final....... | calc
225 Typographie : succession de points. Utilisez le caractère dédié. => Pour un document du style  calc, il va être plus difficile de s'apercevoir que les chiffres ne sont pas valables. Si par malheur cela concerne le tableau final....... | ....... => suggestions : ['……']

227 Mot inconnu : __Il => Pour toutes ses raisons, il est tentant de mettre des données fictives (des zéros ou autre chose) dans ces secteurs. Cependant c'est à double tranchant pour les logiciels car ceux-ci pourraient ne plus lire le fichier abîmé. __Il faudrait alors utiliser la version moins un du fichier  qui est très certainement inexistante.  | __il
227 Espace(s) surnuméraire(s) à supprimer. => Pour toutes ses raisons, il est tentant de mettre des données fictives (des zéros ou autre chose) dans ces secteurs. Cependant c'est à double tranchant pour les logiciels car ceux-ci pourraient ne plus lire le fichier abîmé. __Il faudrait alors utiliser la version moins un du fichier  qui est très certainement inexistante.  |    => suggestions : [' ']
227 Espace(s) en fin de ligne à supprimer. => Pour toutes ses raisons, il est tentant de mettre des données fictives (des zéros ou autre chose) dans ces secteurs. Cependant c'est à double tranchant pour les logiciels car ceux-ci pourraient ne plus lire le fichier abîmé. __Il faudrait alors utiliser la version moins un du fichier  qui est très certainement inexistante.  |   => suggestions : ['']

228 Mot inconnu : __ => __ | __

231 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => A titre d'exemple avec le visionneur d'images.    Mettre  16 blocs  à zéro à partir du bloc 100  provoque l'erreur  suivante | a => suggestions : ['À']
231 Espace(s) surnuméraire(s) à supprimer. => A titre d'exemple avec le visionneur d'images.    Mettre  16 blocs  à zéro à partir du bloc 100  provoque l'erreur  suivante |      => suggestions : [' ']
231 Espace(s) surnuméraire(s) à supprimer. => A titre d'exemple avec le visionneur d'images.    Mettre  16 blocs  à zéro à partir du bloc 100  provoque l'erreur  suivante |    => suggestions : [' ']
231 Espace(s) surnuméraire(s) à supprimer. => A titre d'exemple avec le visionneur d'images.    Mettre  16 blocs  à zéro à partir du bloc 100  provoque l'erreur  suivante |    => suggestions : [' ']
231 Espace(s) surnuméraire(s) à supprimer. => A titre d'exemple avec le visionneur d'images.    Mettre  16 blocs  à zéro à partir du bloc 100  provoque l'erreur  suivante |    => suggestions : [' ']
231 Espace(s) surnuméraire(s) à supprimer. => A titre d'exemple avec le visionneur d'images.    Mettre  16 blocs  à zéro à partir du bloc 100  provoque l'erreur  suivante |    => suggestions : [' ']

232 Guillemets typographiques ouvrants. => //"Erreur fatale de lecture du fichier d'image XXXX.png     IDAT.CRC error//". Mais en mettre seulement 8 permet l'ouverture du fichier avec seulement l'affichage du début. | " => suggestions : ['«\xa0', '“']
232 Mot inconnu : XXXX => //"Erreur fatale de lecture du fichier d'image XXXX.png     IDAT.CRC error//". Mais en mettre seulement 8 permet l'ouverture du fichier avec seulement l'affichage du début. | xxxx
232 Espace(s) surnuméraire(s) à supprimer. => //"Erreur fatale de lecture du fichier d'image XXXX.png     IDAT.CRC error//". Mais en mettre seulement 8 permet l'ouverture du fichier avec seulement l'affichage du début. |       => suggestions : [' ']
232 Mot inconnu : IDAT => //"Erreur fatale de lecture du fichier d'image XXXX.png     IDAT.CRC error//". Mais en mettre seulement 8 permet l'ouverture du fichier avec seulement l'affichage du début. | idat
232 Mot inconnu : CRC => //"Erreur fatale de lecture du fichier d'image XXXX.png     IDAT.CRC error//". Mais en mettre seulement 8 permet l'ouverture du fichier avec seulement l'affichage du début. | crc
232 Mot inconnu : error => //"Erreur fatale de lecture du fichier d'image XXXX.png     IDAT.CRC error//". Mais en mettre seulement 8 permet l'ouverture du fichier avec seulement l'affichage du début. | error

238 Mot inconnu : EXT4 => ==== Connaître les fichiers impactés par les blocs défectueux dans une partition EXT4 ==== | ext4

239 Mot inconnu : badblocks => Le fichier **badblocks** qui a été généré contient les adresses des blocs illisibles par rapport au début du disque ou de la partition. | badblocks

241 Mot inconnu : DDR_UTILS => Pour connaitre les fichiers impactés, nous avons vu qu'il était possible d'utiliser **DDR_UTILS**, mais il n'est pas facile à installer. Il existe d'autres solutions, mais les outils sur lesquels elles reposent vont dépendre de la nature des partitions : NTFS, FAT, EXTn, RAIDS, BTRFS, etc. | ddr_utils
241 Mot inconnu : NTFS => Pour connaitre les fichiers impactés, nous avons vu qu'il était possible d'utiliser **DDR_UTILS**, mais il n'est pas facile à installer. Il existe d'autres solutions, mais les outils sur lesquels elles reposent vont dépendre de la nature des partitions : NTFS, FAT, EXTn, RAIDS, BTRFS, etc. | ntfs
241 Mot inconnu : EXTn => Pour connaitre les fichiers impactés, nous avons vu qu'il était possible d'utiliser **DDR_UTILS**, mais il n'est pas facile à installer. Il existe d'autres solutions, mais les outils sur lesquels elles reposent vont dépendre de la nature des partitions : NTFS, FAT, EXTn, RAIDS, BTRFS, etc. | extn
241 Mot inconnu : BTRFS => Pour connaitre les fichiers impactés, nous avons vu qu'il était possible d'utiliser **DDR_UTILS**, mais il n'est pas facile à installer. Il existe d'autres solutions, mais les outils sur lesquels elles reposent vont dépendre de la nature des partitions : NTFS, FAT, EXTn, RAIDS, BTRFS, etc. | btrfs
243 Mot inconnu : EXT4 => Voici au moins un exemple pour le type de partition le plus répandu : EXT4. Le fichier badblocks a été généré par une duplication de la partition, à laquelle les adresses qu'il contient font référence. Il est donc possible d'utiliser par exemple les commandes suivantes pour obtenir la liste des fichiers (le nom de la partition est à adapter à votre cas). | ext4
243 Mot inconnu : badblocks => Voici au moins un exemple pour le type de partition le plus répandu : EXT4. Le fichier badblocks a été généré par une duplication de la partition, à laquelle les adresses qu'il contient font référence. Il est donc possible d'utiliser par exemple les commandes suivantes pour obtenir la liste des fichiers (le nom de la partition est à adapter à votre cas). | badblocks

255 Mot inconnu : cat => cat sdb2.files</code> | cat
255 Mot inconnu : sdb2 => cat sdb2.files</code> | sdb2
255 Il manque un espace. => cat sdb2.files</code> | files => suggestions : [' files']

256 Mot inconnu : NTFS => ==== Connaître les fichiers stockés dans une partition NTFS impactés par les blocs défectueux. ==== | ntfs

257 Espace(s) surnuméraire(s) à supprimer. => Pour obtenir la liste des fichiers qui sont encore corrompus, il est nécessaire d'avoir récupéré en  totalité le répertoire des noms de fichiers. La première action à faire est de s'assurer que ce répertoire est en bon état. Cette action peut se faire pendant la dernière phase de récupération lorsque les tentatives de récupération deviennent de plus en plus longues.  La commande suivante doit se terminer sans signaler d'erreurs.  |    => suggestions : [' ']
257 Espace(s) surnuméraire(s) à supprimer. => Pour obtenir la liste des fichiers qui sont encore corrompus, il est nécessaire d'avoir récupéré en  totalité le répertoire des noms de fichiers. La première action à faire est de s'assurer que ce répertoire est en bon état. Cette action peut se faire pendant la dernière phase de récupération lorsque les tentatives de récupération deviennent de plus en plus longues.  La commande suivante doit se terminer sans signaler d'erreurs.  |    => suggestions : [' ']
257 Espace(s) en fin de ligne à supprimer. => Pour obtenir la liste des fichiers qui sont encore corrompus, il est nécessaire d'avoir récupéré en  totalité le répertoire des noms de fichiers. La première action à faire est de s'assurer que ce répertoire est en bon état. Cette action peut se faire pendant la dernière phase de récupération lorsque les tentatives de récupération deviennent de plus en plus longues.  La commande suivante doit se terminer sans signaler d'erreurs.  |   => suggestions : ['']

259 Espace(s) surnuméraire(s) à supprimer. => Si cette commande répond que la structure des répertoires  est en mauvais état, il faut retenter de récupérer des secteurs illisibles.    Sinon, on peut obtenir la liste des fichiers non totalement récupérés avec ces commandes |    => suggestions : [' ']
259 Espace(s) surnuméraire(s) à supprimer. => Si cette commande répond que la structure des répertoires  est en mauvais état, il faut retenter de récupérer des secteurs illisibles.    Sinon, on peut obtenir la liste des fichiers non totalement récupérés avec ces commandes |      => suggestions : [' ']

261 Mot inconnu : sudo => sudo ddru_ntfsfindbad -V  <nom_partition_cible> <chemin_fichier_log> </code> | sudo
261 Mot inconnu : ddru_ntfsfindbad => sudo ddru_ntfsfindbad -V  <nom_partition_cible> <chemin_fichier_log> </code> | ddru_ntfsfindbad
261 Il manque un espace à côté du tiret. => sudo ddru_ntfsfindbad -V  <nom_partition_cible> <chemin_fichier_log> </code> |  - => suggestions : [' – ', ' — ']
261 Espace(s) surnuméraire(s) à supprimer. => sudo ddru_ntfsfindbad -V  <nom_partition_cible> <chemin_fichier_log> </code> |    => suggestions : [' ']

263 Mot inconnu : DDRESCUE => ===== Suivi de l'exécution de DDRESCUE ===== | ddrescue

264 Espace(s) surnuméraire(s) à supprimer. => ==== Sur l'écran de la session  terminal en exécution ==== |    => suggestions : [' ']

266 Espace(s) en fin de ligne à supprimer. => Pendant toute la durée de l'exécution, une grille permettant un suivi est affichée.  |   => suggestions : ['']

267 Espace(s) surnuméraire(s) à supprimer. => Il n'est pas possible de la mettre dans la discussion en cours  avec la technique  copier/coller  puisque  la grille se met à jour régulièrement.   Il est nécessaire de tuer le process pour en effectuer une capture! |    => suggestions : [' ']
267 Espace(s) surnuméraire(s) à supprimer. => Il n'est pas possible de la mettre dans la discussion en cours  avec la technique  copier/coller  puisque  la grille se met à jour régulièrement.   Il est nécessaire de tuer le process pour en effectuer une capture! |    => suggestions : [' ']
267 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Il n'est pas possible de la mettre dans la discussion en cours  avec la technique  copier/coller  puisque  la grille se met à jour régulièrement.   Il est nécessaire de tuer le process pour en effectuer une capture! | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
267 Espace(s) surnuméraire(s) à supprimer. => Il n'est pas possible de la mettre dans la discussion en cours  avec la technique  copier/coller  puisque  la grille se met à jour régulièrement.   Il est nécessaire de tuer le process pour en effectuer une capture! |    => suggestions : [' ']
267 Espace(s) surnuméraire(s) à supprimer. => Il n'est pas possible de la mettre dans la discussion en cours  avec la technique  copier/coller  puisque  la grille se met à jour régulièrement.   Il est nécessaire de tuer le process pour en effectuer une capture! |    => suggestions : [' ']
267 Espace(s) surnuméraire(s) à supprimer. => Il n'est pas possible de la mettre dans la discussion en cours  avec la technique  copier/coller  puisque  la grille se met à jour régulièrement.   Il est nécessaire de tuer le process pour en effectuer une capture! |     => suggestions : [' ']

279 Mot inconnu : Scraping => Scraping failed blocks... (forwards) </code>   | scraping
279 Mot inconnu : failed => Scraping failed blocks... (forwards) </code>   | failed
279 Mot inconnu : blocks => Scraping failed blocks... (forwards) </code>   | blocks
279 Typographie : points de suspension. Utilisez le caractère dédié. => Scraping failed blocks... (forwards) </code>   | ... => suggestions : ['…']
279 Mot inconnu : forwards => Scraping failed blocks... (forwards) </code>   | forwards
279 Espace(s) en fin de ligne à supprimer. => Scraping failed blocks... (forwards) </code>   |    => suggestions : ['']
282 Mot inconnu : ddrescue => **Initial status**: Lorsque ddrescue est relancé suite à une interruption, le fichier de log permet de continuer l'action en cours. La ligne qui suit fait un récapitulatif de tout ce qui a déjà été traité. Les deux lignes ne sont pas présentes lors du premier lancement.  | ddrescue
282 Espace(s) en fin de ligne à supprimer. => **Initial status**: Lorsque ddrescue est relancé suite à une interruption, le fichier de log permet de continuer l'action en cours. La ligne qui suit fait un récapitulatif de tout ce qui a déjà été traité. Les deux lignes ne sont pas présentes lors du premier lancement.  |   => suggestions : ['']

284 Mot inconnu : ipos => **ipos opos**   Indique la position début dans le support entrée et le support sortie. Zéro lors du premier lancement. | ipos
284 Mot inconnu : opos => **ipos opos**   Indique la position début dans le support entrée et le support sortie. Zéro lors du premier lancement. | opos
284 Accord de genre erroné : « le support » est masculin, « entrée » est féminin. => **ipos opos**   Indique la position début dans le support entrée et le support sortie. Zéro lors du premier lancement. | entrée => suggestions : ['entrait', 'entré']
284 Conjugaison erronée. Accord avec “le support…”. Le verbe devrait être à la 3ᵉ personne du singulier. => **ipos opos**   Indique la position début dans le support entrée et le support sortie. Zéro lors du premier lancement. | sortie => suggestions : ['sortait', 'sortit', 'sort']

286 Mot inconnu : Current => **Current rate  Average rate**   Débit actuel et débit moyen d'écriture dans le support sortie. Une valeur faible signifie une difficulté de lecture du support émetteur. | current
286 Espace(s) surnuméraire(s) à supprimer. => **Current rate  Average rate**   Débit actuel et débit moyen d'écriture dans le support sortie. Une valeur faible signifie une difficulté de lecture du support émetteur. |    => suggestions : [' ']
286 Mot inconnu : Average => **Current rate  Average rate**   Débit actuel et débit moyen d'écriture dans le support sortie. Une valeur faible signifie une difficulté de lecture du support émetteur. | average
286 Accord de genre erroné : « le support » est masculin, « sortie » est féminin. => **Current rate  Average rate**   Débit actuel et débit moyen d'écriture dans le support sortie. Une valeur faible signifie une difficulté de lecture du support émetteur. | sortie => suggestions : ['sorti']

288 Mot inconnu : rescued => ** rescued pct rescued**    Taille déjà récupérée  ainsi que le pourcentage par rapport à la totalité de l'espace émetteur. | rescued
288 Mot inconnu : pct => ** rescued pct rescued**    Taille déjà récupérée  ainsi que le pourcentage par rapport à la totalité de l'espace émetteur. | pct
288 Mot inconnu : rescued => ** rescued pct rescued**    Taille déjà récupérée  ainsi que le pourcentage par rapport à la totalité de l'espace émetteur. | rescued
288 Espace(s) surnuméraire(s) à supprimer. => ** rescued pct rescued**    Taille déjà récupérée  ainsi que le pourcentage par rapport à la totalité de l'espace émetteur. |    => suggestions : [' ']

290 Mot inconnu : run => **run time** Temps écoulé depuis le début de la commande exprimé en  jours heures minutes.  | run
290 Mot inconnu : time => **run time** Temps écoulé depuis le début de la commande exprimé en  jours heures minutes.  | time
290 Espace(s) surnuméraire(s) à supprimer. => **run time** Temps écoulé depuis le début de la commande exprimé en  jours heures minutes.  |    => suggestions : [' ']
290 Espace(s) en fin de ligne à supprimer. => **run time** Temps écoulé depuis le début de la commande exprimé en  jours heures minutes.  |   => suggestions : ['']

292 Mot inconnu : remaining => **remaining time**  Temps estimé pour la fin de la commande exprimé en jours heures minutes ou N/A lorsque ce n'est pas connu. | remaining
292 Mot inconnu : time => **remaining time**  Temps estimé pour la fin de la commande exprimé en jours heures minutes ou N/A lorsque ce n'est pas connu. | time
292 Accord erroné : « exprimé » devrait être au féminin singulier. => **remaining time**  Temps estimé pour la fin de la commande exprimé en jours heures minutes ou N/A lorsque ce n'est pas connu. | exprimé => suggestions : ['exprimée']

294 Mot inconnu : time => **time since last successful read** Temps écoulé depuis une dernière lecture réussie exprimé en heures minute seconde.    | time
294 Mot inconnu : since => **time since last successful read** Temps écoulé depuis une dernière lecture réussie exprimé en heures minute seconde.    | since
294 Mot inconnu : last => **time since last successful read** Temps écoulé depuis une dernière lecture réussie exprimé en heures minute seconde.    | last
294 Mot inconnu : successful => **time since last successful read** Temps écoulé depuis une dernière lecture réussie exprimé en heures minute seconde.    | successful
294 Mot inconnu : read => **time since last successful read** Temps écoulé depuis une dernière lecture réussie exprimé en heures minute seconde.    | read
294 Espace(s) en fin de ligne à supprimer. => **time since last successful read** Temps écoulé depuis une dernière lecture réussie exprimé en heures minute seconde.    |     => suggestions : ['']

296 Mot inconnu : Scraping => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | scraping
296 Mot inconnu : failed => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | failed
296 Mot inconnu : blocks => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | blocks
296 Typographie : points de suspension. Utilisez le caractère dédié. => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | ... => suggestions : ['…']
296 Mot inconnu : forwards => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | forwards
296 Pléonasme. => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | actuellement en cours => suggestions : ['en cours']
296 Mot inconnu : Evolue => **Scraping failed blocks... (forwards)**   Type d'action actuellement en cours. Evolue en fonction de l'avancement de la récupération. Dans ce cas, on est à l'étape de lecture des blocs qui n'ont pas été lus lors du premier passage rapide. | evolue

297 Espace(s) surnuméraire(s) à supprimer. => ====  Sur l'écran d'une autre session  terminal ==== |    => suggestions : [' ']

299 Espace(s) surnuméraire(s) à supprimer. => Il est possible de transmettre facilement, l'état d'exécution dans une discussion du forum  en demandant un extrait du fichier de suivi avec cette commande |    => suggestions : [' ']

307 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[dd]] pour faire la copie de travail ; |    => suggestions : ['']
307 Mot inconnu : dd =>   * [[dd]] pour faire la copie de travail ; | dd

308 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[kpartx]] pour monter une partition de l'image d'un disque comprenant plusieurs partitions ; |    => suggestions : ['']
308 Mot inconnu : kpartx =>   * [[kpartx]] pour monter une partition de l'image d'un disque comprenant plusieurs partitions ; | kpartx

309 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[fsck]] pour réparer le système de fichier ; |    => suggestions : ['']
309 Mot inconnu : fsck =>   * [[fsck]] pour réparer le système de fichier ; | fsck

310 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[testdisk]] pour récupérer des partitions disparues ; |    => suggestions : ['']
310 Mot inconnu : testdisk =>   * [[testdisk]] pour récupérer des partitions disparues ; | testdisk

311 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[photorec]] pour récupérer les fichiers qui n'apparaissent plus dans le système de fichiers ; |    => suggestions : ['']
311 Mot inconnu : photorec =>   * [[photorec]] pour récupérer les fichiers qui n'apparaissent plus dans le système de fichiers ; | photorec

312 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[mount]] et [[umount]] pour accéder au contenu des partitions ; |    => suggestions : ['']
312 Mot inconnu : mount =>   * [[mount]] et [[umount]] pour accéder au contenu des partitions ; | mount
312 Mot inconnu : umount =>   * [[mount]] et [[umount]] pour accéder au contenu des partitions ; | umount

313 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[convmv]] pour convertir les noms de fichiers en UTF8 ; |    => suggestions : ['']
