
4 Mot inconnu : Baldur's => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | baldur's
89 Mot inconnu : exe => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | exe
89 Guillemets typographiques ouvrants. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | " => suggestions : ['«\xa0', '“']
89 Mot inconnu : Wine => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | wine
89 Guillemets typographiques fermants. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | " => suggestions : ['\xa0»', '”']
89 Espace(s) surnuméraire(s) à supprimer. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! |    => suggestions : [' ']
98 Mot inconnu : setup => Vous faites comme sur Windows : relancez le setup.exe avec Wine et choisissez de désinstaller le jeu.  Vos sauvegardes seront conservées, mais je vous conseille de les copier avant dans un dossier réservé sur votre /home/user, car il est parfois utile de suivre la seconde option, à savoir... | setup
98 Mot inconnu : exe => Vous faites comme sur Windows : relancez le setup.exe avec Wine et choisissez de désinstaller le jeu.  Vos sauvegardes seront conservées, mais je vous conseille de les copier avant dans un dossier réservé sur votre /home/user, car il est parfois utile de suivre la seconde option, à savoir... | exe
98 Mot inconnu : Wine => Vous faites comme sur Windows : relancez le setup.exe avec Wine et choisissez de désinstaller le jeu.  Vos sauvegardes seront conservées, mais je vous conseille de les copier avant dans un dossier réservé sur votre /home/user, car il est parfois utile de suivre la seconde option, à savoir... | wine
98 Espace(s) surnuméraire(s) à supprimer. => Vous faites comme sur Windows : relancez le setup.exe avec Wine et choisissez de désinstaller le jeu.  Vos sauvegardes seront conservées, mais je vous conseille de les copier avant dans un dossier réservé sur votre /home/user, car il est parfois utile de suivre la seconde option, à savoir... |    => suggestions : [' ']
98 Typographie : points de suspension. Utilisez le caractère dédié. => Vous faites comme sur Windows : relancez le setup.exe avec Wine et choisissez de désinstaller le jeu.  Vos sauvegardes seront conservées, mais je vous conseille de les copier avant dans un dossier réservé sur votre /home/user, car il est parfois utile de suivre la seconde option, à savoir... | ... => suggestions : ['…']

100 Mot inconnu : bourrine => ==== La méthode bourrine ==== | bourrine

102 Mot inconnu : Baldur's => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. | baldur's
102 Mot inconnu : Gate => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. | gate
102 Mot inconnu : Baldur's => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. | baldur's
102 Mot inconnu : Gate => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. | gate
102 Mot inconnu : Wine => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. | wine
102 Espace(s) surnuméraire(s) à supprimer. => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. |    => suggestions : [' ']
102 Mot inconnu : Wine => Jouer à Baldur's Gate provoque parfois l'envie de se prendre pour un barbare brutal, et vous pouvez, //si vous n'avez installé que Baldur's Gate avec Wine//, effacer complètement /home/user/.wine, manuellement.  Comme le dossier est recréé à chaque fois que vous installerez un jeu ou une autre application avec Wine, vous ne perdrez que vos éventuelles configurations manuelles de l'émulateur. | wine

104 Mot inconnu : Wine => Cela dit, c'est parfois la seule solution possible pour retrouver une configuration de base de Wine, si vous avez par exemple trop bidouillé les options possibles dans winecfg. | wine
104 Mot inconnu : winecfg => Cela dit, c'est parfois la seule solution possible pour retrouver une configuration de base de Wine, si vous avez par exemple trop bidouillé les options possibles dans winecfg. | winecfg

108 Mot inconnu : play => ==== Désinstallation dans le cas d’une installation via ./play.it ==== | play
108 Mot inconnu : it => ==== Désinstallation dans le cas d’une installation via ./play.it ==== | it

110 Mot inconnu : play => Si vous avez installé le jeu via des paquets [[#edition_dematerialisee_gogcom|générés par ./play.it]], vous pouvez le désinstaller comme vous le feriez pour un jeu installé depuis les dépôts Ubuntu. Par exemple via la commande suivante : | play
110 Mot inconnu : it => Si vous avez installé le jeu via des paquets [[#edition_dematerialisee_gogcom|générés par ./play.it]], vous pouvez le désinstaller comme vous le feriez pour un jeu installé depuis les dépôts Ubuntu. Par exemple via la commande suivante : | it

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.bioware.com/|Site officiel de l'éditeur du jeu]] |    => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.baldursgateworld.fr/lacouronne|Forum francophone sur Baldur's Gate]] |    => suggestions : ['']
116 Mot inconnu : Baldur's =>   * **(fr)** [[http://www.baldursgateworld.fr/lacouronne|Forum francophone sur Baldur's Gate]] | baldur's
116 Mot inconnu : Gate =>   * **(fr)** [[http://www.baldursgateworld.fr/lacouronne|Forum francophone sur Baldur's Gate]] | gate

122 Mot inconnu : Baldur's => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | baldur's
122 Mot inconnu : Gate => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | gate
122 Mot inconnu : of => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | of
122 Mot inconnu : the => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | the
122 Mot inconnu : Sword => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | sword
122 Mot inconnu : Coast => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | coast
122 Mot inconnu : Isaya => //Basé sur [[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|[GUIDE] Installation de Baldur's Gate et Tales of the Sword Coast]] par Isaya.// | isaya
