
3 Mot inconnu : GDL => ====== GDL : GNU Data Language ====== | gdl
113 Mot inconnu : ca => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | ca

115 Forme interrogative ? Mettez un trait d’union. => Assurez vous bien d'avoir installé avant le //configure// les versions pour développement des paquets précités (//lib...-dev//), sinon vous rencontrerez des difficultés lors de la compilation, et des messages parfois déconcertants.. | assurez vous => suggestions : ['Assurez-vous']
115 Typographie : points de suspension. Utilisez le caractère dédié. => Assurez vous bien d'avoir installé avant le //configure// les versions pour développement des paquets précités (//lib...-dev//), sinon vous rencontrerez des difficultés lors de la compilation, et des messages parfois déconcertants.. | ... => suggestions : ['…']
115 Mot inconnu : dev => Assurez vous bien d'avoir installé avant le //configure// les versions pour développement des paquets précités (//lib...-dev//), sinon vous rencontrerez des difficultés lors de la compilation, et des messages parfois déconcertants.. | dev
115 Typographie : un ou trois points ? => Assurez vous bien d'avoir installé avant le //configure// les versions pour développement des paquets précités (//lib...-dev//), sinon vous rencontrerez des difficultés lors de la compilation, et des messages parfois déconcertants.. | .. => suggestions : ['…', '.']

117 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter que les étapes //autoconf, ...// ne sont plus (ne devraient plus être) nécessaires en 0.9rc4 et CVS. | a => suggestions : ['À']
117 Mot inconnu : autoconf => A noter que les étapes //autoconf, ...// ne sont plus (ne devraient plus être) nécessaires en 0.9rc4 et CVS. | autoconf
117 Une de ces ponctuations est superflue. => A noter que les étapes //autoconf, ...// ne sont plus (ne devraient plus être) nécessaires en 0.9rc4 et CVS. | , . => suggestions : [',', '.']
117 Typographie : points de suspension. Utilisez le caractère dédié. => A noter que les étapes //autoconf, ...// ne sont plus (ne devraient plus être) nécessaires en 0.9rc4 et CVS. | ... => suggestions : ['…']
117 Mot inconnu : rc4 => A noter que les étapes //autoconf, ...// ne sont plus (ne devraient plus être) nécessaires en 0.9rc4 et CVS. | rc4
117 Mot inconnu : CVS => A noter que les étapes //autoconf, ...// ne sont plus (ne devraient plus être) nécessaires en 0.9rc4 et CVS. | cvs

119 Mot inconnu : release => ==== Compilation de la version release. ==== | release

121 Mot inconnu : gdl-0 => Récupérez l'archive gdl-0.9rc4.tar.gz à l'adresse suivante : https://sourceforge.net/projects/gnudatalanguage/ . | gdl-0

123 Mot inconnu : tar => Une fois l'archive téléchargée, la décompresser à l'aide de tar puis se placer dans le répertoire créé. | tar

165 Mot inconnu : plplot => Selon la version de votre compilateur ou de plplot, vous pouvez avoir des messages d'erreurs. | plplot

169 Mot inconnu : openmp => Si votre compilateur ne supporte pas openmp. Vous pouvez ajouter l'option suivante en lançant //./configure//. | openmp

174 Mot inconnu : gcc => Je compile avec une version 4.4.3 de gcc et openMp est supporté. | gcc
174 Mot inconnu : openMp => Je compile avec une version 4.4.3 de gcc et openMp est supporté. | openmp

176 Mot inconnu : gcc => Pour vérification de votre version de gcc :  | gcc
176 Espace(s) en fin de ligne à supprimer. => Pour vérification de votre version de gcc :  |   => suggestions : ['']

181 Mot inconnu : plplot => Si vous avez une ancienne version de plplot ( antérieure à 5.9.0 ) , il vous faudra ajouter cette option. | plplot
181 Pas d’espace après ce signe. => Si vous avez une ancienne version de plplot ( antérieure à 5.9.0 ) , il vous faudra ajouter cette option. | (  => suggestions : ['(']
181 Pas d’espace avant ce signe. => Si vous avez une ancienne version de plplot ( antérieure à 5.9.0 ) , il vous faudra ajouter cette option. |  ) => suggestions : [')']
181 Pas d’espace avant une virgule. => Si vous avez une ancienne version de plplot ( antérieure à 5.9.0 ) , il vous faudra ajouter cette option. |  , => suggestions : [',']

185 Espace(s) en fin de ligne à supprimer. => Et enfin  |   => suggestions : ['']

191 Espace(s) surnuméraire(s) à supprimer. => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: |    => suggestions : [' ']
191 Mot inconnu : FAIL => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: | fail
191 Mot inconnu : make => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: | make
191 Mot inconnu : check => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: | check
191 Mot inconnu : FAIL => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: | fail
191 Mot inconnu : test_angles => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: | test_angles
191 Il manque un espace. => Il est //normal// d'avoir plusieurs  FAIL dans le //make check// (FAIL: test_angles.pro et ainsi de suite). Pas grave: | pro => suggestions : [' pro']

192 Mot inconnu : CVS => on va mettre à jour avec la version CVS, plus avancée. | cvs

194 Mot inconnu : gdl => Une fois que ces étapes ont été réalisées (avec succès) vous pouvez lancer gdl, un exécutable se trouve dans le répertoire src (sh ./qui). | gdl
194 Mot inconnu : src => Une fois que ces étapes ont été réalisées (avec succès) vous pouvez lancer gdl, un exécutable se trouve dans le répertoire src (sh ./qui). | src
194 Mot inconnu : sh => Une fois que ces étapes ont été réalisées (avec succès) vous pouvez lancer gdl, un exécutable se trouve dans le répertoire src (sh ./qui). | sh

213 Mot inconnu : CVS => ==== Compilation de la version CVS. ==== | cvs

215 Mot inconnu : CVS => Pour la version CVS, la démarche est similaire. La seule différence est la récupération du code source. | cvs

217 Pas d’espace après ce signe. => Si vous voulez récupérer les sources pour la première fois ( ou dans un tout nouveau répertoire ) ,  | (  => suggestions : ['(']
217 Pas d’espace avant ce signe. => Si vous voulez récupérer les sources pour la première fois ( ou dans un tout nouveau répertoire ) ,  |  ) => suggestions : [')']
217 Pas d’espace avant une virgule. => Si vous voulez récupérer les sources pour la première fois ( ou dans un tout nouveau répertoire ) ,  |  , => suggestions : [',']
217 Espace(s) en fin de ligne à supprimer. => Si vous voulez récupérer les sources pour la première fois ( ou dans un tout nouveau répertoire ) ,  |   => suggestions : ['']

218 Mot inconnu : gdl => saisissez la commande suivante, elle va créer un répertoire gdl ou se trouvera les sources. | gdl

223 Mot inconnu : CVS => Ou encore pour mettre à jour votre version CVS, vous vous placez dans le répertoire gdl puis la commande suivante | cvs
223 Mot inconnu : gdl => Ou encore pour mettre à jour votre version CVS, vous vous placez dans le répertoire gdl puis la commande suivante | gdl

230 Mot inconnu : release => Les étapes suivantes sont à peu près les mêmes que pour la version release, à savoir : | release

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mkdir |    => suggestions : ['']
231 Mot inconnu : mkdir =>   * mkdir | mkdir

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * autoreconf |    => suggestions : ['']
232 Mot inconnu : autoreconf =>   * autoreconf | autoreconf

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * configure |    => suggestions : ['']

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * make |    => suggestions : ['']
234 Mot inconnu : make =>   * make | make

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * make check  |    => suggestions : ['']
235 Mot inconnu : make =>   * make check  | make
235 Mot inconnu : check =>   * make check  | check
235 Espace(s) en fin de ligne à supprimer. =>   * make check  |   => suggestions : ['']

280 Pléonasme. => Au jour d'aujourd'hui, il y a 3 FAIL: l'un est anecdotique, l'autre remonte apparemment | au jour d'aujourd'hui => suggestions : ['Aujourd’hui']
280 Mot inconnu : FAIL => Au jour d'aujourd'hui, il y a 3 FAIL: l'un est anecdotique, l'autre remonte apparemment | fail

281 Mot inconnu : CentOS => une erreur d'arrondi qui n'avait pas été constatée par ailleurs (CentOS ou OSX). Le dernier FAIL est | centos
281 Mot inconnu : OSX => une erreur d'arrondi qui n'avait pas été constatée par ailleurs (CentOS ou OSX). Le dernier FAIL est | osx
281 Mot inconnu : FAIL => une erreur d'arrondi qui n'avait pas été constatée par ailleurs (CentOS ou OSX). Le dernier FAIL est | fail

282 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => plus subtil, étant lié à la représentation des ULONG64 sur des machines 32 et 64 bits. Ne pas s'en soucier. | plus => suggestions : ['Plus']
282 Mot inconnu : ULONG64 => plus subtil, étant lié à la représentation des ULONG64 sur des machines 32 et 64 bits. Ne pas s'en soucier. | ulong64

285 Mot inconnu : gcc => Pour les problèmes dus aux anciennes versions de gcc et de plplot ne pas oublier les options  | gcc
285 Mot inconnu : plplot => Pour les problèmes dus aux anciennes versions de gcc et de plplot ne pas oublier les options  | plplot
285 Espace(s) en fin de ligne à supprimer. => Pour les problèmes dus aux anciennes versions de gcc et de plplot ne pas oublier les options  |   => suggestions : ['']

286 Incohérence : “à” est une préposition. “configure” est un verbe conjugué. => à passer à configure. ( [[gdl#compilation_de_la_version_release|voir compilation de la version release]] ) | configure => suggestions : []
286 Pas d’espace après ce signe. => à passer à configure. ( [[gdl#compilation_de_la_version_release|voir compilation de la version release]] ) | (  => suggestions : ['(']
286 Mot inconnu : gdl => à passer à configure. ( [[gdl#compilation_de_la_version_release|voir compilation de la version release]] ) | gdl
286 Mot inconnu : release => à passer à configure. ( [[gdl#compilation_de_la_version_release|voir compilation de la version release]] ) | release
286 Pas d’espace avant ce signe. => à passer à configure. ( [[gdl#compilation_de_la_version_release|voir compilation de la version release]] ) |  ) => suggestions : [')']

292 Mot inconnu : gdl-0 => ===== Compilation de gdl-0.9rc3 sous 9.04 ===== | gdl-0
292 Mot inconnu : rc3 => ===== Compilation de gdl-0.9rc3 sous 9.04 ===== | rc3

294 Mot inconnu : fftw => Faisons l'hypothèse que la version pré-compilée a déjà été installée. Ceci évitera de devoir ajouter une a une les librairies (fftw, gsl, ...). | fftw
294 Mot inconnu : gsl => Faisons l'hypothèse que la version pré-compilée a déjà été installée. Ceci évitera de devoir ajouter une a une les librairies (fftw, gsl, ...). | gsl
294 Une de ces ponctuations est superflue. => Faisons l'hypothèse que la version pré-compilée a déjà été installée. Ceci évitera de devoir ajouter une a une les librairies (fftw, gsl, ...). | , . => suggestions : [',', '.']
294 Typographie : points de suspension. Utilisez le caractère dédié. => Faisons l'hypothèse que la version pré-compilée a déjà été installée. Ceci évitera de devoir ajouter une a une les librairies (fftw, gsl, ...). | ... => suggestions : ['…']

296 Mot inconnu : TGZ => On récupère le TGZ de la 0.9rc3 sur Sourceforge ... | tgz
296 Mot inconnu : rc3 => On récupère le TGZ de la 0.9rc3 sur Sourceforge ... | rc3
296 Mot inconnu : Sourceforge => On récupère le TGZ de la 0.9rc3 sur Sourceforge ... | sourceforge
296 Typographie : points de suspension. Utilisez le caractère dédié. => On récupère le TGZ de la 0.9rc3 sur Sourceforge ... | ... => suggestions : ['…']

298 Mot inconnu : general => En general, la ligne directe doit suffire ... | general
298 Typographie : points de suspension. Utilisez le caractère dédié. => En general, la ligne directe doit suffire ... | ... => suggestions : ['…']

305 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Cependant, il semble (du moins sur mon U 9.04 a moi) que le configure de GDL manque les FFTw, rangées sous /usr. | a => suggestions : ['à']
305 Mot inconnu : GDL => Cependant, il semble (du moins sur mon U 9.04 a moi) que le configure de GDL manque les FFTw, rangées sous /usr. | gdl
305 Mot inconnu : FFTw => Cependant, il semble (du moins sur mon U 9.04 a moi) que le configure de GDL manque les FFTw, rangées sous /usr. | fftw

314 Incohérence avec “du” : “configure” est un verbe. => Dans ce cas, a la fin du configure, quelques lignes donnent des informations importantes sur les librairies effectivement utilisées: | configure => suggestions : ['configurées', 'configurée', 'configuré', 'configurés']

357 Mot inconnu : GDL => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | gdl
357 Mot inconnu : GDL_PATH => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | gdl_path
357 Mot inconnu : GDL_STARTUP => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | gdl_startup
357 Mot inconnu : IDL => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | idl
357 Mot inconnu : GDL => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | gdl
357 Mot inconnu : IDL_PATH => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | idl_path
357 Mot inconnu : IDL_STARTUP => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  | idl_startup
357 Espace(s) en fin de ligne à supprimer. => Ensuite, il faut définir les variables d'environnements de GDL. Il y a deux variables GDL_PATH et GDL_STARTUP. Pour des raisons de compatibilité avec le langage IDL, si ces variables ne sont pas fournies, GDL va aussi considérer IDL_PATH et IDL_STARTUP.  |   => suggestions : ['']

359 Mot inconnu : GDL_PATH => GDL_PATH indique les chemins vers les programmes (fichiers ASCII généralement de suffixe .pro).  | gdl_path
359 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => GDL_PATH indique les chemins vers les programmes (fichiers ASCII généralement de suffixe .pro).  |  . => suggestions : ['. ', '.']
359 Espace(s) en fin de ligne à supprimer. => GDL_PATH indique les chemins vers les programmes (fichiers ASCII généralement de suffixe .pro).  |   => suggestions : ['']

364 Typographie : points de suspension. Utilisez le caractère dédié. => Le petit "+" veut dire qu'on va considérer récursivement tous les sous-répertoires ... | ... => suggestions : ['…']

366 Mot inconnu : Astron => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | astron
366 Mot inconnu : SolarSoft => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | solarsoft
366 Mot inconnu : craigm => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | craigm
366 Mot inconnu : idl => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | idl
366 Mot inconnu : fitting => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | fitting
366 Mot inconnu : html => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | html
366 Mot inconnu : IDL => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | idl
366 Mot inconnu : GDL => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | gdl
366 Mot inconnu : pre => Ces programmes peuvent former de vastes bibliothèques, telles [[https://idlastro.gsfc.nasa.gov/| Astron]] ou SolarSoft, ou de petits outils très connus [[http://cow.physics.wisc.edu/~craigm/idl/fitting.html|MPFIT]]. Ces programmes, écris en syntaxe IDL, sont plus ou moins bien gérés par GDL. Depuis les versions 0.9pre, la plupart des problèmes ont été réglés. | pre

374 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  J'ai mis du temps à comprendre et trouver comment il fallait faire, ma méthode n'est en aucun cas la meilleure vu qu'apparemment je définis à chaque démarrage d'une console les variables au lieu qu'elles soient créées une bonne fois pour toute, mais ça a le mérite de marcher. |   => suggestions : ['']
374 Mettez “toute” au pluriel. Sous-entendu : une fois pour toutes les autres fois. =>  J'ai mis du temps à comprendre et trouver comment il fallait faire, ma méthode n'est en aucun cas la meilleure vu qu'apparemment je définis à chaque démarrage d'une console les variables au lieu qu'elles soient créées une bonne fois pour toute, mais ça a le mérite de marcher. | toute => suggestions : ['toutes']

390 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://gnudatalanguage.sourceforge.net|Site officiel]]  |    => suggestions : ['']
390 Espace(s) en fin de ligne à supprimer. =>   * **(en)** [[http://gnudatalanguage.sourceforge.net|Site officiel]]  |   => suggestions : ['']

391 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://linuxfr.org/2005/10/19/19756.html| une dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.8.11 de GDL |    => suggestions : ['']
391 Mot inconnu : LinuxFr =>   * **(fr)** [[http://linuxfr.org/2005/10/19/19756.html| une dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.8.11 de GDL | linuxfr
391 Mot inconnu : GDL =>   * **(fr)** [[http://linuxfr.org/2005/10/19/19756.html| une dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.8.11 de GDL | gdl

392 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://linuxfr.org/2007/07/10/22715.html| une autre dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.9pre5 de GDL |    => suggestions : ['']
392 Mot inconnu : LinuxFr =>   * **(fr)** [[http://linuxfr.org/2007/07/10/22715.html| une autre dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.9pre5 de GDL | linuxfr
392 Mot inconnu : pre5 =>   * **(fr)** [[http://linuxfr.org/2007/07/10/22715.html| une autre dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.9pre5 de GDL | pre5
392 Mot inconnu : GDL =>   * **(fr)** [[http://linuxfr.org/2007/07/10/22715.html| une autre dépêche]] sur [[http://linuxfr.org| LinuxFr.org]] à l'occasion de la version 0.9pre5 de GDL | gdl

393 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/memo_GDL.html| comment réussir à installer GDL]] sous [[Linux]] ou Mac OS X |    => suggestions : ['']
393 Mot inconnu : IDL_et_GDL =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/memo_GDL.html| comment réussir à installer GDL]] sous [[Linux]] ou Mac OS X | idl_et_gdl
393 Mot inconnu : memo_GDL =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/memo_GDL.html| comment réussir à installer GDL]] sous [[Linux]] ou Mac OS X | memo_gdl
393 Mot inconnu : html =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/memo_GDL.html| comment réussir à installer GDL]] sous [[Linux]] ou Mac OS X | html
393 Mot inconnu : GDL =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/memo_GDL.html| comment réussir à installer GDL]] sous [[Linux]] ou Mac OS X | gdl

394 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.sgeier.net/tools/GDL-intro.pdf| un tutoriel des commandes de base]] |    => suggestions : ['']

395 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... |    => suggestions : ['']
395 Mot inconnu : IDL_et_GDL =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... | idl_et_gdl
395 Mot inconnu : Matrice_IDLvsGDL_intrinsic =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... | matrice_idlvsgdl_intrinsic
395 Mot inconnu : html =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... | html
395 Mot inconnu : IDL =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... | idl
395 Mot inconnu : GDL =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... | gdl
395 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **(fr)** [[http://aramis.obspm.fr/~coulais/IDL_et_GDL/Matrice_IDLvsGDL_intrinsic.html| une liste des fonctions intrinsèques]] d'IDL disponibles dans GDL. Attention, certains mots-clef peuvent, il peut rester des bugs ... | ... => suggestions : ['…']

396 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://packages.ubuntu.com/fr/hardy/interpreters/gnudatalanguage|les dépendances de GDL]] |    => suggestions : ['']
396 Mot inconnu : GDL =>   * **(en)** [[https://packages.ubuntu.com/fr/hardy/interpreters/gnudatalanguage|les dépendances de GDL]] | gdl
