
5 Mot inconnu : UUID => ====== UUID et label ====== | uuid
97 Mot inconnu : tempnode => IMPORT{program}="vol_id --export $tempnode" | tempnode
97 Guillemets typographiques fermants. => IMPORT{program}="vol_id --export $tempnode" | " => suggestions : ['\xa0»', '”']

98 Mot inconnu : ID_FS_USAGE => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | id_fs_usage
98 Guillemets typographiques ouvrants. => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : filesystem => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | filesystem
98 Guillemets typographiques fermants. => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | " => suggestions : ['\xa0»', '”']
98 Mot inconnu : ID_FS_UUID => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | id_fs_uuid
98 Guillemets typographiques ouvrants. => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : f0343b8c-1226-4f66-8b41-6a5c02c028dd => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | f0343b8c-1226-4f66-8b41-6a5c02c028dd
98 Guillemets typographiques fermants. => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | " => suggestions : ['\xa0»', '”']
98 Mot inconnu : SYMLINK => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | symlink
98 Guillemets typographiques ouvrants. => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : sos => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | sos
98 Guillemets typographiques fermants. => ENV{ID_FS_USAGE}=="filesystem", ENV{ID_FS_UUID}=="f0343b8c-1226-4f66-8b41-6a5c02c028dd", SYMLINK+="sos" | " => suggestions : ['\xa0»', '”']

100 Guillemets typographiques ouvrants. => LABEL="hotname_end"</file> | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : hotname_end => LABEL="hotname_end"</file> | hotname_end
100 Guillemets typographiques fermants. => LABEL="hotname_end"</file> | " => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrage de udev pour prendre la nouvelle règle en compte |    => suggestions : ['']
102 Élision de l’article devant un mot commençant par une voyelle. =>   * Redémarrage de udev pour prendre la nouvelle règle en compte | de  => suggestions : ['d’']
102 Mot inconnu : udev =>   * Redémarrage de udev pour prendre la nouvelle règle en compte | udev

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer le point de montage s'il n'existe pas déjà |    => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rajouter une ligne dans la **fstab** pour associer le nouveau node avec le point de montage |    => suggestions : ['']
108 Mot inconnu : fstab =>   * Rajouter une ligne dans la **fstab** pour associer le nouveau node avec le point de montage | fstab
108 Mot inconnu : node =>   * Rajouter une ligne dans la **fstab** pour associer le nouveau node avec le point de montage | node

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> |     => suggestions : ['']
109 Mot inconnu : sos =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | sos
109 Il manque un espace. =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | uid => suggestions : [' uid']
109 Mot inconnu : uid =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | uid
109 Mot inconnu : gid =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | gid
109 Mot inconnu : atime =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | atime
109 Il manque un espace. =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | rw => suggestions : [' rw']
109 Mot inconnu : rw =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | rw
109 Mot inconnu : nodev =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | nodev
109 Il manque un espace. =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | exec => suggestions : [' exec']
109 Mot inconnu : exec =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | exec
109 Mot inconnu : suid =>    <file>/dev/sos /media/sos auto user,uid=1000,gid=1000,atime,auto,rw,nodev,exec,suid 0 0</file> | suid

115 Mot inconnu : UUID => ===== Modifier manuellement l'UUID d'un système de fichiers ===== | uuid

116 Mot inconnu : UUID => Lors d'un clonage de partition, il peut être nécessaire de changer l'UUID de la nouvelle partition car il est dangereux d'avoir deux UUID identiques. \\  | uuid
116 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Lors d'un clonage de partition, il peut être nécessaire de changer l'UUID de la nouvelle partition car il est dangereux d'avoir deux UUID identiques. \\  |  car => suggestions : [', car']
116 Mot inconnu : UUID => Lors d'un clonage de partition, il peut être nécessaire de changer l'UUID de la nouvelle partition car il est dangereux d'avoir deux UUID identiques. \\  | uuid
116 Espace(s) en fin de ligne à supprimer. => Lors d'un clonage de partition, il peut être nécessaire de changer l'UUID de la nouvelle partition car il est dangereux d'avoir deux UUID identiques. \\  |   => suggestions : ['']

117 Mot inconnu : UUID => Si, en effet, vous clonez un disque et que, sans changer dans le clone les UUID des partitions destinées à être montées au démarrage, vous tentez de démarrer en oubliant de débrancher le clone ou son modèle, alors vous obtiendrez un message voisin de celui-ci : \\  | uuid
117 Espace(s) en fin de ligne à supprimer. => Si, en effet, vous clonez un disque et que, sans changer dans le clone les UUID des partitions destinées à être montées au démarrage, vous tentez de démarrer en oubliant de débrancher le clone ou son modèle, alors vous obtiendrez un message voisin de celui-ci : \\  |   => suggestions : ['']

118 Mot inconnu : Kernel => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | kernel
118 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** |  -  => suggestions : [' – ', ' — ', ' − ']
118 Mot inconnu : not => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | not
118 Mot inconnu : syncing => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | syncing
118 Mot inconnu : VFS => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | vfs
118 Mot inconnu : Unable => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | unable
118 Mot inconnu : to => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | to
118 Mot inconnu : mount => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | mount
118 Mot inconnu : root => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | root
118 Mot inconnu : unknown-block => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | unknown-block
118 Il manque un espace avant la parenthèse. => **Kernel panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)** | ( => suggestions : [' (']

121 Mot inconnu : UUID => ==== Génération du nouvel UUID ==== | uuid

122 Mot inconnu : UUID => Rappelez-vous que l'UUID doit être un identifiant **unique**, ne peut contenir que des nombres hexadécimaux (chiffres et/ou lettres [a-f], [A-F]) et des tirets, et ne peut débuter ni finir par un tiret. | uuid

124 Mot inconnu : UUID => Si vous n'avez pas besoin d'un UUID spécifique, voici un outil de génération : | uuid

129 Mot inconnu : Ext => ==== Partitions Ext ==== | ext

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

134 Accord de genre erroné : « Swap » est masculin. => N'oubliez pas de désactiver la Swap avant : | la => suggestions : ['le']
140 Mot inconnu : uuid => <note warning>Attention : Les fichiers /etc/initramfs-tools/conf.d/resume et /etc/fstab doivent contenir le bon uuid pour la swap ! Pensez à les modifier eux aussi !</note> | uuid
140 Accord de genre erroné : « swap » est masculin. => <note warning>Attention : Les fichiers /etc/initramfs-tools/conf.d/resume et /etc/fstab doivent contenir le bon uuid pour la swap ! Pensez à les modifier eux aussi !</note> | la => suggestions : ['le']
141 Accord de genre erroné : « swap » est masculin. => <note warning>Attention : certains installateurs, comme celui de Debian, reformatent d'office la swap en modifiant son uuid ! Donc si vous avez une **partition** swap partagée par Ubuntu et une autre distribution, soyez en mesure, là encore, de conserver la cohérence de l'uuid et de ces deux fichiers ! | la => suggestions : ['le']
141 Mot inconnu : uuid => <note warning>Attention : certains installateurs, comme celui de Debian, reformatent d'office la swap en modifiant son uuid ! Donc si vous avez une **partition** swap partagée par Ubuntu et une autre distribution, soyez en mesure, là encore, de conserver la cohérence de l'uuid et de ces deux fichiers ! | uuid
141 Mot inconnu : uuid => <note warning>Attention : certains installateurs, comme celui de Debian, reformatent d'office la swap en modifiant son uuid ! Donc si vous avez une **partition** swap partagée par Ubuntu et une autre distribution, soyez en mesure, là encore, de conserver la cohérence de l'uuid et de ces deux fichiers ! | uuid

143 Mot inconnu : UUID => Si vous n'avez pas besoin d'UUID spécifique, ne mettez simplement pas l'argument -U : | uuid
143 Il manque un espace à côté du tiret. => Si vous n'avez pas besoin d'UUID spécifique, ne mettez simplement pas l'argument -U : |  - => suggestions : [' – ', ' — ']

145 Mot inconnu : UUID => un UUID aléatoire sera alors attribué. | uuid

147 Mot inconnu : ReiserFS => ==== Partitions ReiserFS ==== | reiserfs

152 Mot inconnu : UUID => L'UUID est constituée d'une série de 8 chiffres et lettres au format hexadécimal (1234ABCD) | uuid
152 Mot inconnu : ABCD => L'UUID est constituée d'une série de 8 chiffres et lettres au format hexadécimal (1234ABCD) | abcd

156 Mot inconnu : DONNEES_3 => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | donnees_3
156 Mot inconnu : abcd-1234-abcd-1234567890ab => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | abcd-1234-abcd-1234567890ab
156 Typographie : points de suspension. Utilisez le caractère dédié. => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | ... => suggestions : ['…']
156 Accord de nombre erroné : « bios » devrait être au singulier. => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | bios => suggestions : ['bio']
156 Mot inconnu : sdb5 => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | sdb5
156 Mot inconnu : testdisk => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | testdisk
156 Mot inconnu : sda1 => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | sda1
156 Mot inconnu : sda1 => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | sda1
156 Mot inconnu : fstab => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | fstab
156 Mot inconnu : uuid => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  | uuid
156 Espace(s) en fin de ligne à supprimer. => On peut aussi attribuer une étiquette (en anglais : //label//) à chaque partition.\\   Elles sont **pratiques**, puisqu'elles permettent au gestionnaire de fichier d'afficher //DONNEES_3// au lieu de //Système de fichiers 12345678-abcd-1234-abcd-1234567890ab//. Pensez-y pour tous vos supports amovibles ou internes !\\ <note warning>Pour vous éviter des tracas ultérieurs, n'y mettez ni espaces ni voyelles accentuées ni autre signe diacritique (cédille...)</note>  Elles sont **plus sûres** qu'une appellation comme /dev/sdb6 qui risque fort d'être périmée si votre bios est de ceux qui changent l'ordre des disques sans prévenir, et qui sera certainement périmée le jour où vous supprimerez sdb5. Il faut aussi savoir que dans certaines circonstances, **testdisk** ou l'éditeur de partitions de Windows remettent dans l'ordre les numéros de partitions (de sda1, 2, 4, 3 vers sda1, 2, 3, 4).\\ **Plus sûres encore** car, quand on modifie un fstab, il est beaucoup plus facile de se tromper d'uuid que de se tromper d'étiquette (cas concret : voir https://forum.kubuntu-fr.org/viewtopic.php?id=2010416).\\  |   => suggestions : ['']

157 Mot inconnu : UUID => \\   Mais les étiquettes ne sont **pas uniques**, contrairement aux UUID. Alors, pour obtenir la même fiabilité que les UUID, veillez à ceci :  | uuid
157 Mot inconnu : UUID => \\   Mais les étiquettes ne sont **pas uniques**, contrairement aux UUID. Alors, pour obtenir la même fiabilité que les UUID, veillez à ceci :  | uuid
157 Espace(s) en fin de ligne à supprimer. => \\   Mais les étiquettes ne sont **pas uniques**, contrairement aux UUID. Alors, pour obtenir la même fiabilité que les UUID, veillez à ceci :  |   => suggestions : ['']

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". |   => suggestions : ['']
159 Mot inconnu : DONN-SAM500 =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | donn-sam500
159 Mot inconnu : DONN-SG-1T =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | donn-sg-1t
159 Mot inconnu : DONN-WD-1T =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | donn-wd-1t
159 Mot inconnu : UUID =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | uuid
159 Mot inconnu : abcd-1234-abcd-1234567890ab =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | abcd-1234-abcd-1234567890ab
159 Mot inconnu : DONN-SAM500 =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | donn-sam500
159 Guillemets typographiques ouvrants. =>  Par exemple, si vous avez des partitions de données sur un Samsung 500 Mo, un Seagate 1 To et un Western Digital 1 To, vous pouvez les nommer DONN-SAM500, DONN-SG-1T et DONN-WD-1T.\\ Moyennant cette simple précaution, il est pleinement fonctionnel de remplacer dans /etc/fstab\\ UUID=12345678-abcd-1234-abcd-1234567890ab\\ par\\ LABEL=DONN-SAM500\\ Ainsi pourrez-vous brancher votre disque sur un autre pc sans risquer de confondre deux différentes "DATA". | " => suggestions : ['«\xa0', '“']
