
4 Mot inconnu : SMARTMONTOOLS => ====== SMARTMONTOOLS ====== | smartmontools
209 Mot inconnu : Identity => > **Read Device Identity failed: scsi error unsupported field in scsi command** | identity
209 Mot inconnu : failed => > **Read Device Identity failed: scsi error unsupported field in scsi command** | failed
209 Mot inconnu : scsi => > **Read Device Identity failed: scsi error unsupported field in scsi command** | scsi
209 Mot inconnu : error => > **Read Device Identity failed: scsi error unsupported field in scsi command** | error
209 Mot inconnu : unsupported => > **Read Device Identity failed: scsi error unsupported field in scsi command** | unsupported
209 Mot inconnu : field => > **Read Device Identity failed: scsi error unsupported field in scsi command** | field
209 Mot inconnu : scsi => > **Read Device Identity failed: scsi error unsupported field in scsi command** | scsi
209 Mot inconnu : command => > **Read Device Identity failed: scsi error unsupported field in scsi command** | command

210 Espace(s) en fin de ligne à supprimer. => >  |   => suggestions : ['']

211 Mot inconnu : mandatory => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | mandatory
211 Mot inconnu : command => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | command
211 Mot inconnu : failed => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | failed
211 Mot inconnu : exiting => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | exiting
211 Mot inconnu : add => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | add
211 Mot inconnu : one => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | one
211 Guillemets typographiques fermants. => > A mandatory SMART command failed: exiting. To continue, add one or more '-T permissive' options. | ' => suggestions : ['”', '’', '›']

215 Il manque un espace. => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | __ => suggestions : [' __']
215 Mot inconnu : __ => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | __
215 Mot inconnu : Dev => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | dev
215 Mot inconnu : Class => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | class
215 Mot inconnu : Mass => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | mass
215 Mot inconnu : Storage => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | storage
215 Mot inconnu : uas => >      |%%__%% Port **3**: Dev **35**, If 0, Class=Mass Storage, Driver=**uas**, 480M | uas

219 Mot inconnu : Device => > Bus 003 Device 035: ID **2109:0711** VIA Labs, Inc. | device
219 Mot inconnu : Labs => > Bus 003 Device 035: ID **2109:0711** VIA Labs, Inc. | labs
219 Mot inconnu : Inc => > Bus 003 Device 035: ID **2109:0711** VIA Labs, Inc. | inc

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'exemple, noter pour la suite <id vendeur>=2109 et <id produit>=0711 |    => suggestions : ['']

224 Mot inconnu : umount => > umount: /dev/sdc: not mounted | umount
224 Mot inconnu : not => > umount: /dev/sdc: not mounted | not
224 Mot inconnu : mounted => > umount: /dev/sdc: not mounted | mounted

225 Mot inconnu : umount => > umount: /media/ubuntu/Linux (/dev/sdc1) unmounted | umount
225 Mot inconnu : unmounted => > umount: /media/ubuntu/Linux (/dev/sdc1) unmounted | unmounted

228 Mot inconnu : sudo => sudo modprobe -r usb-storage</code> | sudo
228 Mot inconnu : modprobe => sudo modprobe -r usb-storage</code> | modprobe
228 Il manque un espace à côté du tiret. => sudo modprobe -r usb-storage</code> |  - => suggestions : [' – ', ' — ']
228 Mot inconnu : usb-storage => sudo modprobe -r usb-storage</code> | usb-storage

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les partitions du disque sont remontées automatiquement, sinon débrancher et rebrancher l'adaptateur avec le disque connecté |    => suggestions : ['']

233 Il manque un espace. => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | __ => suggestions : [' __']
233 Mot inconnu : __ => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | __
233 Mot inconnu : Dev => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | dev
233 Mot inconnu : Class => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | class
233 Mot inconnu : Mass => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | mass
233 Mot inconnu : Storage => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | storage
233 Mot inconnu : usb-storage => >     |%%__%% Port 3: Dev 36, If 0, Class=Mass Storage, Driver=**usb-storage**, 480M | usb-storage

245 Mot inconnu : UAS => === Blacklister le module UAS === | uas

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ajouter la ligne suivante en remplaçant //<id vendeur>// et //<id produit>// par les valeurs relevée précédemment :<file - /etc/modprobe.d/ignore-uas.conf>options usb-storage quirks=<id vendeur>:<id produit>:u</file> |    => suggestions : ['']
250 Accord de nombre erroné avec « les valeurs » : « relevée » devrait être au pluriel. =>   * Ajouter la ligne suivante en remplaçant //<id vendeur>// et //<id produit>// par les valeurs relevée précédemment :<file - /etc/modprobe.d/ignore-uas.conf>options usb-storage quirks=<id vendeur>:<id produit>:u</file> | relevée => suggestions : ['relevées']
250 Mot inconnu : usb-storage =>   * Ajouter la ligne suivante en remplaçant //<id vendeur>// et //<id produit>// par les valeurs relevée précédemment :<file - /etc/modprobe.d/ignore-uas.conf>options usb-storage quirks=<id vendeur>:<id produit>:u</file> | usb-storage
250 Mot inconnu : quirks =>   * Ajouter la ligne suivante en remplaçant //<id vendeur>// et //<id produit>// par les valeurs relevée précédemment :<file - /etc/modprobe.d/ignore-uas.conf>options usb-storage quirks=<id vendeur>:<id produit>:u</file> | quirks

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sauvegarder le fichier |    => suggestions : ['']

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrer l'ordinateur |    => suggestions : ['']

253 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Brancher l'adaptateur directement |    => suggestions : ['']

256 Mot inconnu : UAS => Afin de savoir si le module UAS est responsable du problème, il est possible d'interdire son utilisation pour tous les disques externes en fabriquant un fichier  | uas
256 Espace(s) en fin de ligne à supprimer. => Afin de savoir si le module UAS est responsable du problème, il est possible d'interdire son utilisation pour tous les disques externes en fabriquant un fichier  |   => suggestions : ['']

258 Mot inconnu : sudo => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> | sudo
258 Mot inconnu : echo => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> | echo
258 Espace(s) surnuméraire(s) à supprimer. => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> |    => suggestions : [' ']
258 Guillemets typographiques ouvrants. => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> | " => suggestions : ['«\xa0', '“']
258 Mot inconnu : blacklist => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> | blacklist
258 Mot inconnu : uas => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> | uas
258 Guillemets typographiques fermants. => sudo echo  "blacklist uas"  /etc/modprobe.d/blacklist-usb.conf</code> | " => suggestions : ['\xa0»', '”']

259 Mot inconnu : reboote => Puis on reboote et on vérifie que le problème est résolu. | reboote

264 Mot inconnu : daemon => Grâce au service (daemon) **smartd** il est possible de faire une analyse régulière et ainsi suivre sur le long terme l'état des disques durs et de votre matériel.  | daemon
264 Mot inconnu : smartd => Grâce au service (daemon) **smartd** il est possible de faire une analyse régulière et ainsi suivre sur le long terme l'état des disques durs et de votre matériel.  | smartd
264 Espace(s) en fin de ligne à supprimer. => Grâce au service (daemon) **smartd** il est possible de faire une analyse régulière et ainsi suivre sur le long terme l'état des disques durs et de votre matériel.  |   => suggestions : ['']

266 Mot inconnu : syslog => Il est aussi possible de paramétrer des alertes automatiques (envoi de mail, messages utilisateur par wall, syslog…) en cas de détections d'erreurs ou de signes de vieillissement. | syslog

267 Mot inconnu : smartd => **smartd** est inclus dans le paquet //smartmontools//. | smartd
267 Mot inconnu : smartmontools => **smartd** est inclus dans le paquet //smartmontools//. | smartmontools

269 Mot inconnu : __ => Le fichier de configuration est __/etc/smartd.conf__ ; par défaut, il est configuré pour scanner tous les disques. Une configuration de ce fichier est donc nécessaire pour obtenir des alertes pertinentes. | __

272 Mot inconnu : paramètrage => ==== Mettre en place le paramètrage du daemon smartd==== | paramètrage
272 Mot inconnu : daemon => ==== Mettre en place le paramètrage du daemon smartd==== | daemon
272 Mot inconnu : smartd => ==== Mettre en place le paramètrage du daemon smartd==== | smartd

273 Mot inconnu : demon => <note important>** Par défaut, le demon smart n'est pas activé dans les versions anciennes. Il est indispensable de le faire manuellement.**</note> | demon

275 Il manque un espace. => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. | comment_modifier_un_fichier => suggestions : [' comment_modifier_un_fichier']
275 Mot inconnu : comment_modifier_un_fichier => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. | comment_modifier_un_fichier
275 Mot inconnu : __ => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. | __
275 Mot inconnu : décommentez => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. | décommentez
275 Mot inconnu : __start_smartd => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. | __start_smartd
275 Mot inconnu : yes__ => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. | yes__
275 Espace(s) surnuméraire(s) à supprimer. => [[tutoriel:comment_modifier_un_fichier|Éditez le fichier]] __/etc/default/smartmontools__ et décommentez __start_smartd=yes__  si présent. |    => suggestions : [' ']

277 Mot inconnu : décommentez => Si nécessaire, décommentez  __#smartd_opts="--interval=1800"__ en mettant la fréquence de surveillance souhaitée. | décommentez
277 Espace(s) surnuméraire(s) à supprimer. => Si nécessaire, décommentez  __#smartd_opts="--interval=1800"__ en mettant la fréquence de surveillance souhaitée. |    => suggestions : [' ']
277 Mot inconnu : __ => Si nécessaire, décommentez  __#smartd_opts="--interval=1800"__ en mettant la fréquence de surveillance souhaitée. | __
277 Mot inconnu : interval => Si nécessaire, décommentez  __#smartd_opts="--interval=1800"__ en mettant la fréquence de surveillance souhaitée. | interval
277 Guillemets typographiques ouvrants. => Si nécessaire, décommentez  __#smartd_opts="--interval=1800"__ en mettant la fréquence de surveillance souhaitée. | " => suggestions : ['«\xa0', '“']
277 Mot inconnu : __ => Si nécessaire, décommentez  __#smartd_opts="--interval=1800"__ en mettant la fréquence de surveillance souhaitée. | __

278 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

281 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - avec __systemctl__ : | -  => suggestions : ['—\xa0', '–\xa0']
281 Mot inconnu : __systemctl__ => - avec __systemctl__ : | __systemctl__

283 Mot inconnu : systemctl => systemctl status  smartd </code> | systemctl
283 Espace(s) surnuméraire(s) à supprimer. => systemctl status  smartd </code> |    => suggestions : [' ']
283 Mot inconnu : smartd => systemctl status  smartd </code> | smartd

284 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - à l'ancienne : | -  => suggestions : ['—\xa0', '–\xa0']

289 Mot inconnu : smartd => === Pour tester que smartd  fonctionne === | smartd
289 Espace(s) surnuméraire(s) à supprimer. => === Pour tester que smartd  fonctionne === |    => suggestions : [' ']

291 Mot inconnu : smartd => Le but de smartd est de surveiller les disques et de prévenir l'utilisateur **par messagerie** des nouvelles anomalies survenues depuis peu de temps. Le paramétrage standard est de 30 minutes. | smartd

292 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

298 Espace(s) surnuméraire(s) à supprimer. => Il  faut alors modifier le fichier /etc/smartd.conf pour ajouter cette adresse juste avant l'adresse root. Exemple de codification de la ligne d'activation de la surveillance : |    => suggestions : [' ']
298 Mot inconnu : root => Il  faut alors modifier le fichier /etc/smartd.conf pour ajouter cette adresse juste avant l'adresse root. Exemple de codification de la ligne d'activation de la surveillance : | root
303 Espace(s) en fin de ligne à supprimer. => À signaler aussi le paquet [[apt://smart-notifier|smart-notifier]] qui vous préviendra de tout problème imminent.  |   => suggestions : ['']

304 Espace(s) surnuméraire(s) à supprimer. => L'action de ce programme est de se mettre à l'écoute des messages de tests et  d'ouvrir une fenêtre d'avertissement s'il détecte un problème. |    => suggestions : [' ']

306 Mot inconnu : smartd => <note tip>Pour que **smart-notifier** lance ces messages d'alertes, il faut que smartd soit actif, paramétré, et que la session en cours ait été redémarrée. | smartd

309 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

310 Typographie : points de suspension. Utilisez le caractère dédié. => Si vous voyez une alerte SMART, il y a de fortes chances pour que votre disque soit en train de flancher. Dans votre intérêt, faites immédiatement une copie de vos fichiers ailleurs (clé USB, disque dur externe, gravure sur CD/DVD...). | ... => suggestions : ['…']

319 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

343 Espace(s) en fin de ligne à supprimer. => Sauvegarder l'original en cas de boulette en tapant dans [[terminal]] :  |   => suggestions : ['']

349 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> |    => suggestions : ['']
349 Mot inconnu : __Titre =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | __titre
349 Mot inconnu : fenêtre__ =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | fenêtre__
349 Guillemets typographiques ouvrants. =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | " => suggestions : ['«\xa0', '“']
349 Guillemets typographiques fermants. =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | " => suggestions : ['\xa0»', '”']
349 Guillemets typographiques ouvrants. =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | " => suggestions : ['«\xa0', '“']
349 Guillemets typographiques fermants. =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | " => suggestions : ['\xa0»', '”']
349 Guillemets typographiques ouvrants. =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | " => suggestions : ['«\xa0', '“']
349 Guillemets typographiques fermants. =>   * __Titre de la fenêtre__, //ligne 31//:<file><property name="title" context="True" translatable="True">Alerte disque dur</property></file> | " => suggestions : ['\xa0»', '”']

350 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Titre du message__, //ligne 56//:<file> |    => suggestions : ['']
350 Mot inconnu : __Titre =>   * __Titre du message__, //ligne 56//:<file> | __titre
350 Mot inconnu : message__ =>   * __Titre du message__, //ligne 56//:<file> | message__

351 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | " => suggestions : ['«\xa0', '“']
351 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | " => suggestions : ['\xa0»', '”']
351 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | " => suggestions : ['«\xa0', '“']
351 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | " => suggestions : ['\xa0»', '”']
351 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | " => suggestions : ['«\xa0', '“']
351 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | " => suggestions : ['\xa0»', '”']
351 Mot inconnu : lt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | lt
351 Mot inconnu : gt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | gt
351 Mot inconnu : lt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | lt
351 Mot inconnu : gt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | gt
351 Mot inconnu : lt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | lt
351 Mot inconnu : gt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | gt
351 Mot inconnu : lt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | lt
351 Mot inconnu : gt => <property name="label" context="True" translatable="True">&lt;big&gt;&lt;b&gt;Alerte, disque dur défaillant !&lt;/b&gt;&lt;/big&gt;</property> | gt

353 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __ Corps du message__, //ligne 69//: <file> |    => suggestions : ['']
353 Mot inconnu : __ =>   * __ Corps du message__, //ligne 69//: <file> | __
353 Mot inconnu : message__ =>   * __ Corps du message__, //ligne 69//: <file> | message__

354 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | " => suggestions : ['«\xa0', '“']
354 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | " => suggestions : ['\xa0»', '”']
354 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | " => suggestions : ['«\xa0', '“']
354 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | " => suggestions : ['\xa0»', '”']
354 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | " => suggestions : ['«\xa0', '“']
354 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | " => suggestions : ['\xa0»', '”']
354 Sigle. Il est recommandé d’ôter les points pour les sigles. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | s.m.a.r.t. => suggestions : ['SMART']
354 Sigle. Il est recommandé d’ôter les points pour les sigles. => <property name="label" context="True" translatable="True">S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 % des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 %. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs.</property> | s.m.a.r.t. => suggestions : ['SMART']

356 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Message de smartd__, //ligne 92//:<file> |    => suggestions : ['']
356 Mot inconnu : __Message =>   * __Message de smartd__, //ligne 92//:<file> | __message
356 Mot inconnu : smartd__ =>   * __Message de smartd__, //ligne 92//:<file> | smartd__

357 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">Message original de smartd :</property> | " => suggestions : ['«\xa0', '“']
357 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">Message original de smartd :</property> | " => suggestions : ['\xa0»', '”']
357 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">Message original de smartd :</property> | " => suggestions : ['«\xa0', '“']
357 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">Message original de smartd :</property> | " => suggestions : ['\xa0»', '”']
357 Guillemets typographiques ouvrants. => <property name="label" context="True" translatable="True">Message original de smartd :</property> | " => suggestions : ['«\xa0', '“']
357 Guillemets typographiques fermants. => <property name="label" context="True" translatable="True">Message original de smartd :</property> | " => suggestions : ['\xa0»', '”']
357 Mot inconnu : smartd => <property name="label" context="True" translatable="True">Message original de smartd :</property> | smartd

360 Espace(s) surnuméraire(s) à supprimer. => Faire la même action  en utilisant les commandes suivantes : |    => suggestions : [' ']

365 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => sudo sed -i -e "s/The hard disk health status has changed. This could mean that hard drive failure is imminent. It is always a good idea to have up to date backups./S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 \% des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 \%. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs./" /usr/share/smart-notifier/smart_notifier/smart-notifier.xml </code> | sudo => suggestions : ['Sudo']
365 Mot inconnu : sudo => sudo sed -i -e "s/The hard disk health status has changed. This could mean that hard drive failure is imminent. It is always a good idea to have up to date backups./S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 \% des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 \%. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs./" /usr/share/smart-notifier/smart_notifier/smart-notifier.xml </code> | sudo
365 Mot inconnu : sed => sudo sed -i -e "s/The hard disk health status has changed. This could mean that hard drive failure is imminent. It is always a good idea to have up to date backups./S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 \% des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 \%. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs./" /usr/share/smart-notifier/smart_notifier/smart-notifier.xml </code> | sed
365 Il manque un espace à côté du tiret. => sudo sed -i -e "s/The hard disk health status has changed. This could mean that hard drive failure is imminent. It is always a good idea to have up to date backups./S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 \% des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 \%. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs./" /usr/share/smart-notifier/smart_notifier/smart-notifier.xml </code> |  - => suggestions : [' – ', ' — ']
365 Guillemets typographiques ouvrants. => sudo sed -i -e "s/The hard disk health status has changed. This could mean that hard drive failure is imminent. It is always a good idea to have up to date backups./S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 \% des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 \%. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs./" /usr/share/smart-notifier/smart_notifier/smart-notifier.xml </code> | " => suggestions : ['«\xa0', '“']
365 Mot inconnu : The => sudo sed -i -e "s/The hard disk health status has changed. This could mean that hard drive failure is imminent. It is always a good idea to have up to date backups./S.M.A.R.T. surveille en permanence les disques durs et donne l'alerte en cas de variation importante dans les normales relevées. 60 \% des pannes de disques durs sont mécaniques, S.M.A.R.T. peut en détecter 30 \%. Cette alerte n'est pas à prendre à la légère et peut annoncer une panne imminente. Veuillez planifier rapidement vos sauvegardes et le remplacement de vos disques durs./" /usr/share/smart-notifier/smart_notifier/smart-notifier.xml </code> | the
