
7 Mot inconnu : EasyTag => ====== EasyTag (éditeur de métadonnées audio) ====== | easytag
133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez les fichiers puis cliquez sur //Divers  -> **Charger les Noms des Fichiers à partir d'un TXT**// ; |    => suggestions : ['']
133 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez les fichiers puis cliquez sur //Divers  -> **Charger les Noms des Fichiers à partir d'un TXT**// ; |  -  => suggestions : [' – ', ' — ', ' − ']
133 Espace(s) surnuméraire(s) à supprimer. =>   - Sélectionnez les fichiers puis cliquez sur //Divers  -> **Charger les Noms des Fichiers à partir d'un TXT**// ; |    => suggestions : [' ']
133 Mot inconnu : TXT =>   - Sélectionnez les fichiers puis cliquez sur //Divers  -> **Charger les Noms des Fichiers à partir d'un TXT**// ; | txt

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la nouvelle fenêtre indiquez le fichier texte contenant les informations à importer ; |    => suggestions : ['']
134 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la nouvelle fenêtre indiquez le fichier texte contenant les informations à importer ; |  -  => suggestions : [' – ', ' — ', ' − ']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Validez l'ouverture avec le bouton **Charger** ; |    => suggestions : ['']
135 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Validez l'ouverture avec le bouton **Charger** ; |  -  => suggestions : [' – ', ' — ', ' − ']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez que **exécuter le scanner courant pour chaque fichier** soit coché ; |    => suggestions : ['']
136 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez que **exécuter le scanner courant pour chaque fichier** soit coché ; |  -  => suggestions : [' – ', ' — ', ' − ']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Paramétrez le scanner en fonction du contenu du fichier texte ; |    => suggestions : ['']
137 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Paramétrez le scanner en fonction du contenu du fichier texte ; |  -  => suggestions : [' – ', ' — ', ' − ']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Appliquez les changements et fermez. |    => suggestions : ['']
138 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Appliquez les changements et fermez. |  -  => suggestions : [' – ', ' — ', ' − ']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner les fichiers à renommer (rappel : sélection non contiguë par <Ctrl>-clic) |    => suggestions : ['']
146 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner les fichiers à renommer (rappel : sélection non contiguë par <Ctrl>-clic) |  -  => suggestions : [' – ', ' — ', ' − ']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez le scanner de tag en appuyant sur le bouton "Scanner" (ou via le menu View > Show Scanner) -> une nouvelle fenêtre s'ouvre ; |    => suggestions : ['']
147 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez le scanner de tag en appuyant sur le bouton "Scanner" (ou via le menu View > Show Scanner) -> une nouvelle fenêtre s'ouvre ; |  -  => suggestions : [' – ', ' — ', ' − ']
147 Guillemets typographiques ouvrants. =>   - Ouvrez le scanner de tag en appuyant sur le bouton "Scanner" (ou via le menu View > Show Scanner) -> une nouvelle fenêtre s'ouvre ; | " => suggestions : ['«\xa0', '“']
147 Guillemets typographiques fermants. =>   - Ouvrez le scanner de tag en appuyant sur le bouton "Scanner" (ou via le menu View > Show Scanner) -> une nouvelle fenêtre s'ouvre ; | " => suggestions : ['\xa0»', '”']
147 Mot inconnu : View =>   - Ouvrez le scanner de tag en appuyant sur le bouton "Scanner" (ou via le menu View > Show Scanner) -> une nouvelle fenêtre s'ouvre ; | view

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisissez l'option **Renommer le(s) Fichier(s) et le(s) Répertoire(s)** ; |    => suggestions : ['']
148 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisissez l'option **Renommer le(s) Fichier(s) et le(s) Répertoire(s)** ; |  -  => suggestions : [' – ', ' — ', ' − ']
148 Écriture invariable. Utilisez un point médian. =>   - Choisissez l'option **Renommer le(s) Fichier(s) et le(s) Répertoire(s)** ; | fichier(s) => suggestions : ['Fichier·s']
148 Écriture invariable. Utilisez un point médian. =>   - Choisissez l'option **Renommer le(s) Fichier(s) et le(s) Répertoire(s)** ; | répertoire(s) => suggestions : ['Répertoire·s']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Configurez les paramètres selon le résultat souhaité = définir le masque (voir exemple ci-dessous) ; |    => suggestions : ['']
149 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Configurez les paramètres selon le résultat souhaité = définir le masque (voir exemple ci-dessous) ; |  -  => suggestions : [' – ', ' — ', ' − ']

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; |    => suggestions : ['']
150 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; |  -  => suggestions : [' – ', ' — ', ' − ']
150 Guillemets typographiques ouvrants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['«\xa0', '“']
150 Guillemets typographiques fermants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['\xa0»', '”']
150 Guillemets typographiques ouvrants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['«\xa0', '“']
150 Guillemets typographiques fermants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['\xa0»', '”']

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fermer la fenêtre du scanner ; |    => suggestions : ['']
151 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fermer la fenêtre du scanner ; |  -  => suggestions : [' – ', ' — ', ' − ']

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Les fichiers modifiés doivent être sélectionnés pour que les modifications puissent être enregistrées ; |    => suggestions : ['']
152 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Les fichiers modifiés doivent être sélectionnés pour que les modifications puissent être enregistrées ; |  -  => suggestions : [' – ', ' — ', ' − ']

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; |    => suggestions : ['']
153 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; |  -  => suggestions : [' – ', ' — ', ' − ']
153 Guillemets typographiques ouvrants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['«\xa0', '“']
153 Guillemets typographiques fermants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['\xa0»', '”']
153 Guillemets typographiques ouvrants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['«\xa0', '“']
153 Mot inconnu : Save =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | save
153 Mot inconnu : to =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | to
153 Mot inconnu : selected =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | selected
153 Guillemets typographiques fermants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['\xa0»', '”']

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%a** Artiste : Ludwig Von 88 ; |    => suggestions : ['']
159 Il manque un espace. =>   * **%a** Artiste : Ludwig Von 88 ; | a => suggestions : [' a']
159 Mot inconnu : Von =>   * **%a** Artiste : Ludwig Von 88 ; | von

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%b** Album : Tout pour le Trash ; |    => suggestions : ['']
160 Il manque un espace. =>   * **%b** Album : Tout pour le Trash ; | b => suggestions : [' b']

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%n** Piste : 07 ; |    => suggestions : ['']
161 Il manque un espace. =>   * **%n** Piste : 07 ; | n => suggestions : [' n']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%t** Titre de la piste : Dix Mille Soleils ; |    => suggestions : ['']
162 Il manque un espace. =>   * **%t** Titre de la piste : Dix Mille Soleils ; | t => suggestions : [' t']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%g** Genre : Punk. |    => suggestions : ['']
163 Il manque un espace. =>   * **%g** Genre : Punk. | g => suggestions : [' g']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Punk/Ludwig Von 88/Tout pour le Trash/07. Dix Mille Soleils.mp3 |    => suggestions : ['']
166 Mot inconnu : Von =>   * Punk/Ludwig Von 88/Tout pour le Trash/07. Dix Mille Soleils.mp3 | von

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Punk/Ludwig Von 88/Tout pour le Trash/08. Communiste.mp3 |    => suggestions : ['']
167 Mot inconnu : Von =>   * Punk/Ludwig Von 88/Tout pour le Trash/08. Communiste.mp3 | von

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Punk/Ludwig Von 88/Tout pour le Trash/09. Club Med.mp3 |    => suggestions : ['']
168 Mot inconnu : Von =>   * Punk/Ludwig Von 88/Tout pour le Trash/09. Club Med.mp3 | von
168 Mot inconnu : Med =>   * Punk/Ludwig Von 88/Tout pour le Trash/09. Club Med.mp3 | med

178 Mot inconnu : Easytag => Easytag enregistre les tags ID3 en version 2.4 par défaut. Certains lecteurs autoradio ne gèrent pas encore cette version et peuvent afficher des informations qui semblent corrompues. Pour régler ce problème, il suffit de paramétrer Easytag pour qu'il enregistre les tags ID3 en version 2.3. | easytag
178 Mot inconnu : ID3 => Easytag enregistre les tags ID3 en version 2.4 par défaut. Certains lecteurs autoradio ne gèrent pas encore cette version et peuvent afficher des informations qui semblent corrompues. Pour régler ce problème, il suffit de paramétrer Easytag pour qu'il enregistre les tags ID3 en version 2.3. | id3
178 Mot inconnu : Easytag => Easytag enregistre les tags ID3 en version 2.4 par défaut. Certains lecteurs autoradio ne gèrent pas encore cette version et peuvent afficher des informations qui semblent corrompues. Pour régler ce problème, il suffit de paramétrer Easytag pour qu'il enregistre les tags ID3 en version 2.3. | easytag
178 Mot inconnu : ID3 => Easytag enregistre les tags ID3 en version 2.4 par défaut. Certains lecteurs autoradio ne gèrent pas encore cette version et peuvent afficher des informations qui semblent corrompues. Pour régler ce problème, il suffit de paramétrer Easytag pour qu'il enregistre les tags ID3 en version 2.3. | id3

180 Typographie : pas de virgule avant les points de suspension. => Pour être sûr que vos tags soient reconnus par d'autres périphériques (baladeur MP3, autoradio, …) pensez à vérifier le mode d'encodage du tag. Il semble qu'utiliser ISO-8859-1 plutôt que Unicode (UTF-8 par exemple) améliore leur lisibilité. Dans //Paramètres → Préférences → **Paramètres des Tags ID3**//, choisissez votre "Jeu de caractères". | , … => suggestions : ['…']
180 Mot inconnu : ID3 => Pour être sûr que vos tags soient reconnus par d'autres périphériques (baladeur MP3, autoradio, …) pensez à vérifier le mode d'encodage du tag. Il semble qu'utiliser ISO-8859-1 plutôt que Unicode (UTF-8 par exemple) améliore leur lisibilité. Dans //Paramètres → Préférences → **Paramètres des Tags ID3**//, choisissez votre "Jeu de caractères". | id3
180 Guillemets typographiques ouvrants. => Pour être sûr que vos tags soient reconnus par d'autres périphériques (baladeur MP3, autoradio, …) pensez à vérifier le mode d'encodage du tag. Il semble qu'utiliser ISO-8859-1 plutôt que Unicode (UTF-8 par exemple) améliore leur lisibilité. Dans //Paramètres → Préférences → **Paramètres des Tags ID3**//, choisissez votre "Jeu de caractères". | " => suggestions : ['«\xa0', '“']
180 Guillemets typographiques fermants. => Pour être sûr que vos tags soient reconnus par d'autres périphériques (baladeur MP3, autoradio, …) pensez à vérifier le mode d'encodage du tag. Il semble qu'utiliser ISO-8859-1 plutôt que Unicode (UTF-8 par exemple) améliore leur lisibilité. Dans //Paramètres → Préférences → **Paramètres des Tags ID3**//, choisissez votre "Jeu de caractères". | " => suggestions : ['\xa0»', '”']

183 Mot inconnu : easytag => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  | easytag
183 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  |  -  => suggestions : [' – ', ' — ', ' − ']
183 Mot inconnu : artistsort => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  | artistsort
183 Mot inconnu : musicbrainz => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  | musicbrainz
183 Mot inconnu : quodlibet => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  | quodlibet
183 Mot inconnu : lollypop => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  | lollypop
183 Espace(s) en fin de ligne à supprimer. => Certains types de tags ne sont pas reconnus par easytag (en tout cas en version 2.4.3 - Ubuntu 19.10), mais le sont par d'autres éditeurs. C'est le cas de tags comme **artistsort**, **performer**, ou les différents tags **musicbrainz**. Certains lecteurs musicaux ([[quodlibet|Quodlibet]], [[lollypop|Lollypop]]) éclatant les albums en sous-albums en fonction de ces tags, il peut être pénalisant de ne pas pouvoir y accéder.  |   => suggestions : ['']

185 Mot inconnu : exfalso => La solution est alors d'utiliser un éditeur de tag plus complet, comme [[exfalso|Ex Falso]]. | exfalso
185 Mot inconnu : Falso => La solution est alors d'utiliser un éditeur de tag plus complet, comme [[exfalso|Ex Falso]]. | falso

188 Signe de multiplication typographique. => Si vous avez un écran 1024x768, vous aurez peut être le problème de ne pouvoir modifier la hauteur de la fenêtre d'Easytag. | 1024x768 => suggestions : ['1024\xa0×\xa0768']
188 Mot inconnu : x768 => Si vous avez un écran 1024x768, vous aurez peut être le problème de ne pouvoir modifier la hauteur de la fenêtre d'Easytag. | x768
188 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => Si vous avez un écran 1024x768, vous aurez peut être le problème de ne pouvoir modifier la hauteur de la fenêtre d'Easytag. | peut être => suggestions : ['peut-être']
188 Mot inconnu : Easytag => Si vous avez un écran 1024x768, vous aurez peut être le problème de ne pouvoir modifier la hauteur de la fenêtre d'Easytag. | easytag

197 Guillemets typographiques ouvrants. => Des problèmes avec l'utilisation de masque ("Use mask"). | " => suggestions : ['«\xa0', '“']
197 Mot inconnu : mask => Des problèmes avec l'utilisation de masque ("Use mask"). | mask
197 Guillemets typographiques fermants. => Des problèmes avec l'utilisation de masque ("Use mask"). | " => suggestions : ['\xa0»', '”']

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Outil de renommage en masse [[pyrenamer|pyRenamer]] ; |    => suggestions : ['']
201 Mot inconnu : pyrenamer =>   * Outil de renommage en masse [[pyrenamer|pyRenamer]] ; | pyrenamer

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://easytag.sourceforge.net/|Site officiel d'EasyTag]]. |    => suggestions : ['']
202 Mot inconnu : EasyTag =>   * [[http://easytag.sourceforge.net/|Site officiel d'EasyTag]]. | easytag
206 Mot inconnu : tutoux => //Contributeurs : [[utilisateurs:manu_newbie]], [[utilisateurs:leprofdepc]], [[utilisateurs:Id2ndR]], [[utilisateurs:Percherie]], [[tutoux]].//  | tutoux
206 Espace(s) en fin de ligne à supprimer. => //Contributeurs : [[utilisateurs:manu_newbie]], [[utilisateurs:leprofdepc]], [[utilisateurs:Id2ndR]], [[utilisateurs:Percherie]], [[tutoux]].//  |   => suggestions : ['']
