
3 Mot inconnu : Wacom => ====== Configuration d'une tablette Wacom intuos 5====== | wacom
110 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | wacom
110 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | intuos5
110 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | touch
110 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | pen
110 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | pad
110 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | " => suggestions : ['\xa0»', '”']
110 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | button
110 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | key
110 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | " => suggestions : ['\xa0»', '”']

111 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | xsetwacom
111 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | " => suggestions : ['«\xa0', '“']
111 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | wacom
111 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | intuos5
111 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | touch
111 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | pen
111 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | pad
111 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | " => suggestions : ['\xa0»', '”']
111 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | button
111 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | " => suggestions : ['«\xa0', '“']
111 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | key
111 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 2 "key Ctrl z" | " => suggestions : ['\xa0»', '”']

112 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | xsetwacom
112 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | " => suggestions : ['«\xa0', '“']
112 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | wacom
112 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | intuos5
112 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | touch
112 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | pen
112 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | pad
112 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | " => suggestions : ['\xa0»', '”']
112 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | button
112 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | " => suggestions : ['«\xa0', '“']
112 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | key
112 Mot inconnu : PgDn => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | pgdn
112 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 3 "key PgDn" | " => suggestions : ['\xa0»', '”']

113 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | xsetwacom
113 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | " => suggestions : ['«\xa0', '“']
113 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | wacom
113 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | intuos5
113 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | touch
113 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | pen
113 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | pad
113 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | " => suggestions : ['\xa0»', '”']
113 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | button
113 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | " => suggestions : ['«\xa0', '“']
113 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | key
113 Mot inconnu : PgUp => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | pgup
113 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 8 "key PgUp" | " => suggestions : ['\xa0»', '”']

114 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | xsetwacom
114 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | " => suggestions : ['«\xa0', '“']
114 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | wacom
114 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | intuos5
114 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | touch
114 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | pen
114 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | pad
114 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | " => suggestions : ['\xa0»', '”']
114 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | button
114 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | " => suggestions : ['«\xa0', '“']
114 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | key
114 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 10 "key h" | " => suggestions : ['\xa0»', '”']

116 Mot inconnu : DFP2 => ## Mappe le stylet et la gomme à un écran donné (ici DFP2) : | dfp2

117 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | xsetwacom
117 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | " => suggestions : ['«\xa0', '“']
117 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | wacom
117 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | intuos5
117 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | touch
117 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | pen
117 Mot inconnu : stylus => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | stylus
117 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | " => suggestions : ['\xa0»', '”']
117 Mot inconnu : MapToOutput => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | maptooutput
117 Mot inconnu : DFP2 => xsetwacom set "Wacom Intuos5 touch L Pen stylus" MapToOutput DFP2 | dfp2

118 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | xsetwacom
118 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | " => suggestions : ['«\xa0', '“']
118 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | wacom
118 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | intuos5
118 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | touch
118 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | pen
118 Mot inconnu : eraser => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | eraser
118 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | " => suggestions : ['\xa0»', '”']
118 Mot inconnu : MapToOutput => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | maptooutput
118 Mot inconnu : DFP2 => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2 | dfp2

127 Mot inconnu : touch => ==== Script de commutation pour le touch ring ==== | touch

133 Mot inconnu : xbindkey => Pour lancer xbindkey en version graphique, tapez dans un terminal : | xbindkey

135 Guillemets typographiques ouvrants. => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | " => suggestions : ['«\xa0', '“']
135 Mot inconnu : Toggle => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | toggle
135 Mot inconnu : sh => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | sh
135 Guillemets typographiques fermants. => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | " => suggestions : ['\xa0»', '”']
135 Mot inconnu : xbindkeys-config => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | xbindkeys-config
135 Guillemets typographiques ouvrants. => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | " => suggestions : ['«\xa0', '“']
135 Mot inconnu : Control => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | control
135 Guillemets typographiques fermants. => Enregistrer le fichier script suivant sous le nom "Toggle ring.sh" et le rendre exécutable, puis associer dans xbindkeys-config le raccourcis "Control Alt r" à la commande/action suivante : | " => suggestions : ['\xa0»', '”']

136 Mot inconnu : Wacom => /home/erwan/Documents/Admin_PC/Tablette\ Wacom\ Intuos/Toggle\ ring.sh | wacom
136 Mot inconnu : Intuos => /home/erwan/Documents/Admin_PC/Tablette\ Wacom\ Intuos/Toggle\ ring.sh | intuos
136 Mot inconnu : Toggle => /home/erwan/Documents/Admin_PC/Tablette\ Wacom\ Intuos/Toggle\ ring.sh | toggle
136 Mot inconnu : sh => /home/erwan/Documents/Admin_PC/Tablette\ Wacom\ Intuos/Toggle\ ring.sh | sh
137 Guillemets typographiques ouvrants. => ## Note : pensez à corriger la commande avec votre propre chemin d'accès à votre script "Toggle ring.sh". | " => suggestions : ['«\xa0', '“']
137 Mot inconnu : Toggle => ## Note : pensez à corriger la commande avec votre propre chemin d'accès à votre script "Toggle ring.sh". | toggle
137 Mot inconnu : sh => ## Note : pensez à corriger la commande avec votre propre chemin d'accès à votre script "Toggle ring.sh". | sh
137 Guillemets typographiques fermants. => ## Note : pensez à corriger la commande avec votre propre chemin d'accès à votre script "Toggle ring.sh". | " => suggestions : ['\xa0»', '”']

139 Une de ces ponctuations est superflue. => :!: ATTENTION : | :! => suggestions : [':', '!']

140 Guillemets typographiques ouvrants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['«\xa0', '“']
140 Mot inconnu : status_led0_select => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | status_led0_select
140 Guillemets typographiques fermants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['\xa0»', '”']
140 Mot inconnu : LEDs => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | leds
140 Mot inconnu : touch => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | touch
140 Mot inconnu : rc => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | rc
140 Il manque un espace. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | local => suggestions : [' local']
140 Guillemets typographiques ouvrants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['«\xa0', '“']
140 Mot inconnu : Toggle => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | toggle
140 Mot inconnu : sh => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | sh
140 Guillemets typographiques fermants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['\xa0»', '”']
140 Mot inconnu : sudo => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | sudo
140 Guillemets typographiques ouvrants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['«\xa0', '“']
140 Mot inconnu : intuos => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | intuos
140 Mot inconnu : sh => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | sh
140 Guillemets typographiques fermants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['\xa0»', '”']
140 Guillemets typographiques ouvrants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['«\xa0', '“']
140 Mot inconnu : Toggle => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | toggle
140 Mot inconnu : sh => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | sh
140 Guillemets typographiques fermants. => Il faut aussi penser à donner les droits de modification du fichier "status_led0_select" qui gère les LEDs du touch ring. Pour cela passer par la modification du rc.local donnée en commentaire du script "Toggle ring.sh", ou par la commande sudo dans le script "intuos.sh". Pour voir la différence et choisir entre ces deux techniques, voir le commentaire dans le script "Toggle ring.sh": | " => suggestions : ['\xa0»', '”']

144 Mot inconnu : Touch => ## Touch ring toggle script | touch
144 Mot inconnu : toggle => ## Touch ring toggle script | toggle

146 Mot inconnu : Bind => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | bind
146 Mot inconnu : Button => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | button
146 Mot inconnu : button => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | button
146 Mot inconnu : of => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | of
146 Mot inconnu : touch => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | touch
146 Mot inconnu : to => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | to
146 Mot inconnu : the => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | the
146 Mot inconnu : xbindkeys => ## Bind Button 1 (button center of touch ring) to the script. Ceci est fait dans l'interface graphique d'xbindkeys. Voir commentaire à ce sujet. | xbindkeys

148 Guillemets typographiques ouvrants. => ## Technique du "rc.local", ne marche que si la tablette est branchée au moment du boot de l'ordi. | " => suggestions : ['«\xa0', '“']
148 Mot inconnu : rc => ## Technique du "rc.local", ne marche que si la tablette est branchée au moment du boot de l'ordi. | rc
148 Il manque un espace. => ## Technique du "rc.local", ne marche que si la tablette est branchée au moment du boot de l'ordi. | local => suggestions : [' local']
148 Guillemets typographiques fermants. => ## Technique du "rc.local", ne marche que si la tablette est branchée au moment du boot de l'ordi. | " => suggestions : ['\xa0»', '”']
148 Mot inconnu : boot => ## Technique du "rc.local", ne marche que si la tablette est branchée au moment du boot de l'ordi. | boot

149 Mot inconnu : allow => ## To allow script to select mode status LEDs edit rc.local to change root | allow
149 Mot inconnu : to => ## To allow script to select mode status LEDs edit rc.local to change root | to
149 Mot inconnu : LEDs => ## To allow script to select mode status LEDs edit rc.local to change root | leds
149 Mot inconnu : edit => ## To allow script to select mode status LEDs edit rc.local to change root | edit
149 Mot inconnu : rc => ## To allow script to select mode status LEDs edit rc.local to change root | rc
149 Il manque un espace. => ## To allow script to select mode status LEDs edit rc.local to change root | local => suggestions : [' local']
149 Mot inconnu : to => ## To allow script to select mode status LEDs edit rc.local to change root | to
149 Mot inconnu : root => ## To allow script to select mode status LEDs edit rc.local to change root | root

150 Mot inconnu : only => ## only permissions on the sysfs status_led0_select file: | only
150 Mot inconnu : the => ## only permissions on the sysfs status_led0_select file: | the
150 Mot inconnu : sysfs => ## only permissions on the sysfs status_led0_select file: | sysfs
150 Mot inconnu : status_led0_select => ## only permissions on the sysfs status_led0_select file: | status_led0_select

151 Mot inconnu : gksudo => ##   gksudo gedit /etc/rc.local | gksudo
151 Mot inconnu : gedit => ##   gksudo gedit /etc/rc.local | gedit

152 Mot inconnu : Add => ## Add the following comment and command (before 'exit 0'): | add
152 Mot inconnu : the => ## Add the following comment and command (before 'exit 0'): | the
152 Mot inconnu : following => ## Add the following comment and command (before 'exit 0'): | following
152 Mot inconnu : and => ## Add the following comment and command (before 'exit 0'): | and
152 Mot inconnu : command => ## Add the following comment and command (before 'exit 0'): | command
152 Mot inconnu : before => ## Add the following comment and command (before 'exit 0'): | before
152 Guillemets typographiques ouvrants. => ## Add the following comment and command (before 'exit 0'): | ' => suggestions : ['“', '‘', '‹']

153 Mot inconnu : status_led0_select => ##   # Change permissions on status_led0_select file so being root isn't | status_led0_select
153 Mot inconnu : so => ##   # Change permissions on status_led0_select file so being root isn't | so
153 Mot inconnu : being => ##   # Change permissions on status_led0_select file so being root isn't | being
153 Mot inconnu : root => ##   # Change permissions on status_led0_select file so being root isn't | root
153 Mot inconnu : isn't => ##   # Change permissions on status_led0_select file so being root isn't | isn't

154 Mot inconnu : required => ##   # required to switch Wacom touch ring mode status LEDs. | required
154 Mot inconnu : to => ##   # required to switch Wacom touch ring mode status LEDs. | to
154 Mot inconnu : switch => ##   # required to switch Wacom touch ring mode status LEDs. | switch
154 Mot inconnu : Wacom => ##   # required to switch Wacom touch ring mode status LEDs. | wacom
154 Mot inconnu : touch => ##   # required to switch Wacom touch ring mode status LEDs. | touch
154 Mot inconnu : LEDs => ##   # required to switch Wacom touch ring mode status LEDs. | leds

155 Mot inconnu : sys => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | sys
155 Mot inconnu : usb => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | usb
155 Mot inconnu : ices => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | ices
155 Mot inconnu : wacom_led => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | wacom_led
155 Mot inconnu : status_led0_select => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | status_led0_select

157 Mot inconnu : sys => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.1/wacom_led/status_led0_select | sys
157 Mot inconnu : usb => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.1/wacom_led/status_led0_select | usb
157 Mot inconnu : ices => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.1/wacom_led/status_led0_select | ices
157 Mot inconnu : wacom_led => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.1/wacom_led/status_led0_select | wacom_led
157 Mot inconnu : status_led0_select => ##   /bin/chmod 666 /sys/bus/usb/devices/2-7:1.1/wacom_led/status_led0_select | status_led0_select

159 Guillemets typographiques ouvrants. => ## Cette technique modifiant le fichier "rc.local" ne fonctionne que lorsque la tablette est branchée dès le boot du PC. Une autre technique existe si vous souhaitez pouvoir brancher votre tablette en cours de cession, | " => suggestions : ['«\xa0', '“']
159 Mot inconnu : rc => ## Cette technique modifiant le fichier "rc.local" ne fonctionne que lorsque la tablette est branchée dès le boot du PC. Une autre technique existe si vous souhaitez pouvoir brancher votre tablette en cours de cession, | rc
159 Il manque un espace. => ## Cette technique modifiant le fichier "rc.local" ne fonctionne que lorsque la tablette est branchée dès le boot du PC. Une autre technique existe si vous souhaitez pouvoir brancher votre tablette en cours de cession, | local => suggestions : [' local']
159 Guillemets typographiques fermants. => ## Cette technique modifiant le fichier "rc.local" ne fonctionne que lorsque la tablette est branchée dès le boot du PC. Une autre technique existe si vous souhaitez pouvoir brancher votre tablette en cours de cession, | " => suggestions : ['\xa0»', '”']
159 Mot inconnu : boot => ## Cette technique modifiant le fichier "rc.local" ne fonctionne que lorsque la tablette est branchée dès le boot du PC. Une autre technique existe si vous souhaitez pouvoir brancher votre tablette en cours de cession, | boot

160 Typographie : points de suspension. Utilisez le caractère dédié. => ## mais il faudra alors rentrer votre mot de passe administrateur à chaque fois... Pour cela décommenter la ligne sudo bin/chmod 666 dans le script "intuos.sh" | ... => suggestions : ['…']
160 Mot inconnu : décommenter => ## mais il faudra alors rentrer votre mot de passe administrateur à chaque fois... Pour cela décommenter la ligne sudo bin/chmod 666 dans le script "intuos.sh" | décommenter
