
4 Mot inconnu : Livebox => ====== Livebox ====== | livebox
121 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" |  -  => suggestions : [' – ', ' — ', ' − ']
121 Guillemets typographiques ouvrants. =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | " => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | " => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | " => suggestions : ['«\xa0', '“']
121 Mot inconnu : ipp14 =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | ipp14

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Remplir le champ "Hôte" avec |    => suggestions : ['']
122 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Remplir le champ "Hôte" avec |  -  => suggestions : [' – ', ' — ', ' − ']
122 Guillemets typographiques ouvrants. =>   - Remplir le champ "Hôte" avec | " => suggestions : ['«\xa0', '“']
122 Guillemets typographiques fermants. =>   - Remplir le champ "Hôte" avec | " => suggestions : ['\xa0»', '”']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enfin, choisir dans la liste des drivers disponible, la marque et le modèle de votre imprimante pour l'installer |    => suggestions : ['']
125 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enfin, choisir dans la liste des drivers disponible, la marque et le modèle de votre imprimante pour l'installer |  -  => suggestions : [' – ', ' — ', ' − ']
