
3 Mot inconnu : Unity => ====== Créer une loupe Unity ====== | unity
176 Guillemets typographiques ouvrants. => L'étape précédente créer un package "wikipedia_0.1_all.deb" pour l'installer il suffit de se placer dans le repertoire ou est situer "wikipedia_0.1_all.deb" et de taper la commande : | " => suggestions : ['«\xa0', '“']
176 Guillemets typographiques fermants. => L'étape précédente créer un package "wikipedia_0.1_all.deb" pour l'installer il suffit de se placer dans le repertoire ou est situer "wikipedia_0.1_all.deb" et de taper la commande : | " => suggestions : ['\xa0»', '”']

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

179 Après “être”, le verbe ne devrait pas être à l’infinitif. => Et voila votre loupe est installer dans le dash unity. | installer => suggestions : ['installé', 'installée', 'installées', 'installés']
179 Mot inconnu : dash => Et voila votre loupe est installer dans le dash unity. | dash
179 Mot inconnu : unity => Et voila votre loupe est installer dans le dash unity. | unity

184 Espace(s) surnuméraire(s) à supprimer. => D'abord, la manière d'afficher les résultats n'est pas appropriée pour des résultats Wiki, nous n'avons pas besoin de voir  « Article Wikipédia » sur chaque résultat. Changeons la catégorie en ''IconView'' : |    => suggestions : [' ']
184 Guillemets typographiques ouvrants. => D'abord, la manière d'afficher les résultats n'est pas appropriée pour des résultats Wiki, nous n'avons pas besoin de voir  « Article Wikipédia » sur chaque résultat. Changeons la catégorie en ''IconView'' : | '' => suggestions : ['«\xa0', '“']
184 Mot inconnu : IconView => D'abord, la manière d'afficher les résultats n'est pas appropriée pour des résultats Wiki, nous n'avons pas besoin de voir  « Article Wikipédia » sur chaque résultat. Changeons la catégorie en ''IconView'' : | iconview
184 Guillemets typographiques fermants. => D'abord, la manière d'afficher les résultats n'est pas appropriée pour des résultats Wiki, nous n'avons pas besoin de voir  « Article Wikipédia » sur chaque résultat. Changeons la catégorie en ''IconView'' : | '' => suggestions : ['\xa0»', '”']

189 Écriture épicène. Utilisez un point médian. => Ensuite, vous aurez remarqué que seuls les résultats francophones sont affichés (du moins si ce tutoriel a été correctement adapté :P), ce qui est bien… si vous êtes sûr(e) que tous les utilisateurs de votre loupe parlent français ! Essayons de corriger cela en récupérant la langue de la session de l'utilisateur et demandons à Wikipédia à avoir des résultats dans cette langue uniquement.\\ | sûr(e) => suggestions : ['sûr·e']

194 Guillemets typographiques ouvrants. => Ensuite, dans la classe main, au-dessus de la variable ''wiki'', nous avons besoin de trouver la langue de l'utilisateur : | '' => suggestions : ['«\xa0', '“']
194 Guillemets typographiques fermants. => Ensuite, dans la classe main, au-dessus de la variable ''wiki'', nous avons besoin de trouver la langue de l'utilisateur : | '' => suggestions : ['\xa0»', '”']

199 Guillemets typographiques ouvrants. => ''loc'' est maintenant une variable contenant une chaîne comme « en », « fr », « de », etc. | '' => suggestions : ['«\xa0', '“']
199 Mot inconnu : loc => ''loc'' est maintenant une variable contenant une chaîne comme « en », « fr », « de », etc. | loc
199 Guillemets typographiques fermants. => ''loc'' est maintenant une variable contenant une chaîne comme « en », « fr », « de », etc. | '' => suggestions : ['\xa0»', '”']

200 Guillemets typographiques ouvrants. => Modifions notre variable ''wiki'' pour qu'elle utilise ''loc''. | '' => suggestions : ['«\xa0', '“']
200 Guillemets typographiques fermants. => Modifions notre variable ''wiki'' pour qu'elle utilise ''loc''. | '' => suggestions : ['\xa0»', '”']
200 Guillemets typographiques ouvrants. => Modifions notre variable ''wiki'' pour qu'elle utilise ''loc''. | '' => suggestions : ['«\xa0', '“']
200 Mot inconnu : loc => Modifions notre variable ''wiki'' pour qu'elle utilise ''loc''. | loc
200 Guillemets typographiques fermants. => Modifions notre variable ''wiki'' pour qu'elle utilise ''loc''. | '' => suggestions : ['\xa0»', '”']

204 Typographie : points de suspension. Utilisez le caractère dédié. => Et si nous redémarrons notre loupe... | ... => suggestions : ['…']

210 Mot inconnu : Dash => Ce tutoriel a permis de montrer la facilité avec laquelle on peut créer une loupe pour le Dash Unity, enrichissant ainsi l'expérience utilisateur d'Ubuntu et proposant une possibilité de chercher un article sur Wikipédia, depuis le Bureau ! | dash
210 Mot inconnu : Unity => Ce tutoriel a permis de montrer la facilité avec laquelle on peut créer une loupe pour le Dash Unity, enrichissant ainsi l'expérience utilisateur d'Ubuntu et proposant une possibilité de chercher un article sur Wikipédia, depuis le Bureau ! | unity

213 Mot inconnu : How => Ce tutoriel est traduit et adapté de l'anglais depuis la page [[http://developer.ubuntu.com/2012/04/how-to-create-a-wikipedia-unity-lens-for-ubuntu/|How to create a Wikipedia Unity lens for Ubuntu]] du site [[http://www.ubuntu.com|ubuntu.com]]. | how
213 Mot inconnu : to => Ce tutoriel est traduit et adapté de l'anglais depuis la page [[http://developer.ubuntu.com/2012/04/how-to-create-a-wikipedia-unity-lens-for-ubuntu/|How to create a Wikipedia Unity lens for Ubuntu]] du site [[http://www.ubuntu.com|ubuntu.com]]. | to
213 Mot inconnu : create => Ce tutoriel est traduit et adapté de l'anglais depuis la page [[http://developer.ubuntu.com/2012/04/how-to-create-a-wikipedia-unity-lens-for-ubuntu/|How to create a Wikipedia Unity lens for Ubuntu]] du site [[http://www.ubuntu.com|ubuntu.com]]. | create
213 Mot inconnu : Wikipedia => Ce tutoriel est traduit et adapté de l'anglais depuis la page [[http://developer.ubuntu.com/2012/04/how-to-create-a-wikipedia-unity-lens-for-ubuntu/|How to create a Wikipedia Unity lens for Ubuntu]] du site [[http://www.ubuntu.com|ubuntu.com]]. | wikipedia
213 Mot inconnu : Unity => Ce tutoriel est traduit et adapté de l'anglais depuis la page [[http://developer.ubuntu.com/2012/04/how-to-create-a-wikipedia-unity-lens-for-ubuntu/|How to create a Wikipedia Unity lens for Ubuntu]] du site [[http://www.ubuntu.com|ubuntu.com]]. | unity
213 Mot inconnu : lens => Ce tutoriel est traduit et adapté de l'anglais depuis la page [[http://developer.ubuntu.com/2012/04/how-to-create-a-wikipedia-unity-lens-for-ubuntu/|How to create a Wikipedia Unity lens for Ubuntu]] du site [[http://www.ubuntu.com|ubuntu.com]]. | lens

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[unity|Unity : la nouvelle interface de bureau d'Ubuntu]] |    => suggestions : ['']
218 Mot inconnu : unity =>   * [[unity|Unity : la nouvelle interface de bureau d'Ubuntu]] | unity
218 Mot inconnu : Unity =>   * [[unity|Unity : la nouvelle interface de bureau d'Ubuntu]] | unity

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[unity-lens|Unity lens : les loupes (ou lentilles) de Unity]] |    => suggestions : ['']
219 Mot inconnu : unity-lens =>   * [[unity-lens|Unity lens : les loupes (ou lentilles) de Unity]] | unity-lens
219 Mot inconnu : Unity =>   * [[unity-lens|Unity lens : les loupes (ou lentilles) de Unity]] | unity
219 Mot inconnu : lens =>   * [[unity-lens|Unity lens : les loupes (ou lentilles) de Unity]] | lens
219 Mot inconnu : Unity =>   * [[unity-lens|Unity lens : les loupes (ou lentilles) de Unity]] | unity
