
5 Mot inconnu : World => ====== World of Warcraft  ====== | world

232 Mot inconnu : Wine => Nous allons ajouter la nouvelle version de Wine qui permet de lancer le nouvel installeur blibli. | wine
232 Mot inconnu : blibli => Nous allons ajouter la nouvelle version de Wine qui permet de lancer le nouvel installeur blibli. | blibli
241 Mot inconnu : maj => Voilà, il n'y a plus qu'à patienter ! Sachez que la maj du client est hyper rapide contrairement aux autres MAJ ! | maj

245 Mot inconnu : Downloader => Si le téléchargement des mises à jour est trop lent à votre goût ((notez que vous avez peut-être mal optimisé vos configurations pour profiter pleinement du //Blizzard Downloader//, il faut suivre les étapes décrites [[wow#Depuis_le_site_officiel_de_WoW|plus haut]])) ; les patchs sont tout de même téléchargeables sur [[http://www.wowwiki.com/Patch_mirrors|WoWwiki]] [[http://www.jeuxvideo.fr/patch-world-of-warcraft-451-0-0.html|la page des patchs pour WoW de JeuxVideo.fr]], [[http://www.jeuxvideopc.com/telecharger/3038-world-of-warcraft.php|la page des patchs pour WoW de JeuxVideoPC.com]]. | downloader
245 Mot inconnu : wow => Si le téléchargement des mises à jour est trop lent à votre goût ((notez que vous avez peut-être mal optimisé vos configurations pour profiter pleinement du //Blizzard Downloader//, il faut suivre les étapes décrites [[wow#Depuis_le_site_officiel_de_WoW|plus haut]])) ; les patchs sont tout de même téléchargeables sur [[http://www.wowwiki.com/Patch_mirrors|WoWwiki]] [[http://www.jeuxvideo.fr/patch-world-of-warcraft-451-0-0.html|la page des patchs pour WoW de JeuxVideo.fr]], [[http://www.jeuxvideopc.com/telecharger/3038-world-of-warcraft.php|la page des patchs pour WoW de JeuxVideoPC.com]]. | wow
245 Mot inconnu : WoW => Si le téléchargement des mises à jour est trop lent à votre goût ((notez que vous avez peut-être mal optimisé vos configurations pour profiter pleinement du //Blizzard Downloader//, il faut suivre les étapes décrites [[wow#Depuis_le_site_officiel_de_WoW|plus haut]])) ; les patchs sont tout de même téléchargeables sur [[http://www.wowwiki.com/Patch_mirrors|WoWwiki]] [[http://www.jeuxvideo.fr/patch-world-of-warcraft-451-0-0.html|la page des patchs pour WoW de JeuxVideo.fr]], [[http://www.jeuxvideopc.com/telecharger/3038-world-of-warcraft.php|la page des patchs pour WoW de JeuxVideoPC.com]]. | wow
245 Mot inconnu : JeuxVideo => Si le téléchargement des mises à jour est trop lent à votre goût ((notez que vous avez peut-être mal optimisé vos configurations pour profiter pleinement du //Blizzard Downloader//, il faut suivre les étapes décrites [[wow#Depuis_le_site_officiel_de_WoW|plus haut]])) ; les patchs sont tout de même téléchargeables sur [[http://www.wowwiki.com/Patch_mirrors|WoWwiki]] [[http://www.jeuxvideo.fr/patch-world-of-warcraft-451-0-0.html|la page des patchs pour WoW de JeuxVideo.fr]], [[http://www.jeuxvideopc.com/telecharger/3038-world-of-warcraft.php|la page des patchs pour WoW de JeuxVideoPC.com]]. | jeuxvideo
245 Mot inconnu : WoW => Si le téléchargement des mises à jour est trop lent à votre goût ((notez que vous avez peut-être mal optimisé vos configurations pour profiter pleinement du //Blizzard Downloader//, il faut suivre les étapes décrites [[wow#Depuis_le_site_officiel_de_WoW|plus haut]])) ; les patchs sont tout de même téléchargeables sur [[http://www.wowwiki.com/Patch_mirrors|WoWwiki]] [[http://www.jeuxvideo.fr/patch-world-of-warcraft-451-0-0.html|la page des patchs pour WoW de JeuxVideo.fr]], [[http://www.jeuxvideopc.com/telecharger/3038-world-of-warcraft.php|la page des patchs pour WoW de JeuxVideoPC.com]]. | wow
245 Mot inconnu : JeuxVideoPC => Si le téléchargement des mises à jour est trop lent à votre goût ((notez que vous avez peut-être mal optimisé vos configurations pour profiter pleinement du //Blizzard Downloader//, il faut suivre les étapes décrites [[wow#Depuis_le_site_officiel_de_WoW|plus haut]])) ; les patchs sont tout de même téléchargeables sur [[http://www.wowwiki.com/Patch_mirrors|WoWwiki]] [[http://www.jeuxvideo.fr/patch-world-of-warcraft-451-0-0.html|la page des patchs pour WoW de JeuxVideo.fr]], [[http://www.jeuxvideopc.com/telecharger/3038-world-of-warcraft.php|la page des patchs pour WoW de JeuxVideoPC.com]]. | jeuxvideopc

247 Mot inconnu : World => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | world
247 Mot inconnu : of => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | of
247 Mot inconnu : Warcraft => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | warcraft
247 Mot inconnu : Wine => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | wine
247 Mot inconnu : wine => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | wine
247 Mot inconnu : drive_c => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | drive_c
247 Mot inconnu : Program => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | program
247 Mot inconnu : World => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | world
247 Mot inconnu : of => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | of
247 Mot inconnu : Warcraft => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | warcraft
247 Guillemets typographiques fermants. => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | '' => suggestions : ['\xa0»', '”']
247 Mot inconnu : wine => Les fichiers, qui devront être éventuellement décompressés, doivent alors être déplacés dans le dossier World of Warcraft du répertoire de Wine (''~/.wine/drive_c/Program Files/World of Warcraft'') puis exécutés avec la commande wine. Il n'est nécessaire d'installer que les patchs, 2.0.2 et suivants. Et si vous choisissez cette méthode, vérifiez bien de prendre les versions françaises des mises à jour ! | wine

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une dernière chose, une fois que vous avez téléchargé les bons patchs, mettez-les de côté. On est jamais trop prudents ! |    => suggestions : ['']

254 Mot inconnu : WoW => Après chaque mise à jour, le lanceur de WoW se lance, à la première fois il va vous demander d'installer le module Gecko (moteur de rendu Mozilla) pour pouvoir afficher les pages web, suivez les instructions tout simplement. | wow

268 Mot inconnu : WTF => Rajouter dans le fichier de configuration WTF/Config.wtf du répertoire de WoW : | wtf
268 Mot inconnu : wtf => Rajouter dans le fichier de configuration WTF/Config.wtf du répertoire de WoW : | wtf
268 Mot inconnu : WoW => Rajouter dans le fichier de configuration WTF/Config.wtf du répertoire de WoW : | wow

272 Mot inconnu : WoW => Ce code évitera le crash au démarrage de l'application graphique de WoW | wow
308 Mot inconnu : WoW => == solution sans bugs : Ouvrir WoW sous un autre serveur X == | wow

310 Mot inconnu : freezes => C'est pour l'instant la seule solution trouvée pour palier aux problèmes dus aux freezes et autres latences élevées de l'interface. | freezes

312 Mot inconnu : FPS => Cette méthode vous apportera un gain de FPS((ou encore IPS en français : image par seconde)) assez considérable. Les personnages se chargent plus vite, les lieux aussi et il n'y a aucun problème pour revenir au serveur X où vous avez ouvert votre session. | fps
312 Il manque un espace avant la parenthèse. => Cette méthode vous apportera un gain de FPS((ou encore IPS en français : image par seconde)) assez considérable. Les personnages se chargent plus vite, les lieux aussi et il n'y a aucun problème pour revenir au serveur X où vous avez ouvert votre session. | ( => suggestions : [' (']
312 Mot inconnu : IPS => Cette méthode vous apportera un gain de FPS((ou encore IPS en français : image par seconde)) assez considérable. Les personnages se chargent plus vite, les lieux aussi et il n'y a aucun problème pour revenir au serveur X où vous avez ouvert votre session. | ips

314 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => == 1re étape : Le script de lancement du jeu == | 1re => suggestions : ['1ʳᵉ']

323 Mot inconnu : Wine => <note important>Le script de lancement ne semble pas être très stable avec la version Wine 1.1.33, ni avec la version 1.1.34, le nouveau serveur X se lance, et parfois se ferme après quelques secondes sans lancer World of Warcraft. Vous pouvez répéter l'opération après quelques secondes d'intervalles, et normalement le lancement devrait fonctionner.</note> | wine
323 Mot inconnu : World => <note important>Le script de lancement ne semble pas être très stable avec la version Wine 1.1.33, ni avec la version 1.1.34, le nouveau serveur X se lance, et parfois se ferme après quelques secondes sans lancer World of Warcraft. Vous pouvez répéter l'opération après quelques secondes d'intervalles, et normalement le lancement devrait fonctionner.</note> | world
323 Mot inconnu : of => <note important>Le script de lancement ne semble pas être très stable avec la version Wine 1.1.33, ni avec la version 1.1.34, le nouveau serveur X se lance, et parfois se ferme après quelques secondes sans lancer World of Warcraft. Vous pouvez répéter l'opération après quelques secondes d'intervalles, et normalement le lancement devrait fonctionner.</note> | of
323 Mot inconnu : Warcraft => <note important>Le script de lancement ne semble pas être très stable avec la version Wine 1.1.33, ni avec la version 1.1.34, le nouveau serveur X se lance, et parfois se ferme après quelques secondes sans lancer World of Warcraft. Vous pouvez répéter l'opération après quelques secondes d'intervalles, et normalement le lancement devrait fonctionner.</note> | warcraft

337 Mot inconnu : terminate => <note>L'utilisation de l'option "-terminate" lors du lancement du nouveau serveur X peux faire planter le script sous Ubuntu 10.04, il suffit pour cela de l'enlever. | terminate
337 Guillemets typographiques fermants. => <note>L'utilisation de l'option "-terminate" lors du lancement du nouveau serveur X peux faire planter le script sous Ubuntu 10.04, il suffit pour cela de l'enlever. | " => suggestions : ['\xa0»', '”']
337 Incohérence. Le sujet de cette forme verbale est introuvable. => <note>L'utilisation de l'option "-terminate" lors du lancement du nouveau serveur X peux faire planter le script sous Ubuntu 10.04, il suffit pour cela de l'enlever. | peux => suggestions : ['peut']
338 Il manque un espace à côté du tiret. => <code bash>sudo X :3 -ac & # Lance sur un nouveau serveur X affichage 3</code> |  - => suggestions : [' – ', ' — ']
341 Espace(s) surnuméraire(s) à supprimer. => remplacer:  <code bash> DISPLAY=:3 wine "C:\Program Files\World of Warcraft\WoW.exe" -opengl</code> |    => suggestions : [' ']
341 Guillemets typographiques fermants. => remplacer:  <code bash> DISPLAY=:3 wine "C:\Program Files\World of Warcraft\WoW.exe" -opengl</code> | " => suggestions : ['\xa0»', '”']
342 Guillemets typographiques fermants. => par: <code bash> DISPLAY=:3 wine "C:\Program Files\World of Warcraft\Launcher.exe" -opengl</code> | " => suggestions : ['\xa0»', '”']

346 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => <note>ce script ne permettait pas a mon serveur x de se fermer après la fermeture du jeu, j'ai donc dû adapter et pour moi cela a donné ceci : | a => suggestions : ['à']

369 Mot inconnu : WINEPREFIX => Notez que le chemin **WINEPREFIX** doit être adapté selon où vous avez installé WoW mais c'est généralement ce cas qui s'applique. | wineprefix
369 Mot inconnu : WoW => Notez que le chemin **WINEPREFIX** doit être adapté selon où vous avez installé WoW mais c'est généralement ce cas qui s'applique. | wow

373 Mot inconnu : Nano => Enregistrez. Sous l'éditeur Nano, faites **Ctrl+O** suivi de **Ctrl+X**. | nano

375 Mot inconnu : éxecutable => Et faites en sorte que votre script soit éxecutable, dans un terminal : | éxecutable

378 Mot inconnu : tty7 => Il est possible que le son ne fonctionne pas sur le nouveau serveur X, mais fonctionne sur le serveur X de base (tty7). | tty7

381 S’il s’agit d’un impératif, mettez un trait d’union. => Cherchez la ligne commençant par audio puis ajoutez y votre username. | ajoutez y => suggestions : ['ajoutez-y']
381 Mot inconnu : username => Cherchez la ligne commençant par audio puis ajoutez y votre username. | username

383 Mot inconnu : username => Veillez bien à remplacer username par votre nom d'utilisateur. Sauvegardez (Ctrl-O, entré) puis quittez nano (Ctrl-X). | username
383 Mot inconnu : nano => Veillez bien à remplacer username par votre nom d'utilisateur. Sauvegardez (Ctrl-O, entré) puis quittez nano (Ctrl-X). | nano

392 Mot inconnu : F7 => Pour revenir à votre interface de base, tapez **Ctrl+Alt+F7** et pour revenir au jeu **Ctrl+Alt+F9**. Notez que le son de WoW ne disparaît pas lorsque vous revenez sur l'interface de base. | f7
392 Mot inconnu : F9 => Pour revenir à votre interface de base, tapez **Ctrl+Alt+F7** et pour revenir au jeu **Ctrl+Alt+F9**. Notez que le son de WoW ne disparaît pas lorsque vous revenez sur l'interface de base. | f9
392 Mot inconnu : WoW => Pour revenir à votre interface de base, tapez **Ctrl+Alt+F7** et pour revenir au jeu **Ctrl+Alt+F9**. Notez que le son de WoW ne disparaît pas lorsque vous revenez sur l'interface de base. | wow

439 Mot inconnu : tty => Dans un tty (CTRL + Alt + F1) pour lancer World of Warcraft. | tty
439 Mot inconnu : World => Dans un tty (CTRL + Alt + F1) pour lancer World of Warcraft. | world
439 Mot inconnu : of => Dans un tty (CTRL + Alt + F1) pour lancer World of Warcraft. | of
439 Mot inconnu : Warcraft => Dans un tty (CTRL + Alt + F1) pour lancer World of Warcraft. | warcraft

445 Mot inconnu : Wine => Sachez qu'il y en a une flopée, mais elle tend à se réduire grâce aux efforts de l'équipe de développement de Wine. Nous exposons ici les plus récurrents, pour le reste le forum reste à votre disposition. N'oubliez pas la fonction **Recherche** est votre amie bien qu'il faille lui demander 2 fois de chercher avant qu'elle accepte de vous donner un résultat, non mais ! | wine

447 Mot inconnu : WoW => ==== Connexion impossible au compte WoW==== | wow

449 Mot inconnu : wine => Si vous n'arrivez pas à rentrer votre adresse mail, rajoutez cette ligne dans le fichier ~.wine/WTF/config.wtf | wine
449 Mot inconnu : WTF => Si vous n'arrivez pas à rentrer votre adresse mail, rajoutez cette ligne dans le fichier ~.wine/WTF/config.wtf | wtf
449 Mot inconnu : wtf => Si vous n'arrivez pas à rentrer votre adresse mail, rajoutez cette ligne dans le fichier ~.wine/WTF/config.wtf | wtf

453 Mot inconnu : of => ==== Out of memory ==== | of
453 Mot inconnu : memory => ==== Out of memory ==== | memory
454 Mot inconnu : Wow => Symptôme: Wow plante en indiquant comme erreu r: Out of memory. | wow
454 Mot inconnu : erreu => Symptôme: Wow plante en indiquant comme erreu r: Out of memory. | erreu
454 Mot inconnu : of => Symptôme: Wow plante en indiquant comme erreu r: Out of memory. | of
454 Mot inconnu : memory => Symptôme: Wow plante en indiquant comme erreu r: Out of memory. | memory

456 Mot inconnu : Wine => Pour résoudre ce symptôme, il suffit de passer à la dernière version de Wine. | wine
464 Mot inconnu : wine => Source : [[http://www.winehq.org/download/deb|Tutoriel d'installation de wine sur le site officiel]] | wine

467 Guillemets typographiques ouvrants. => ==== Voir les fichiers "Installer.exe" ou "Installer Tome x.mpq" sur le DVD ==== | " => suggestions : ['«\xa0', '“']
467 Mot inconnu : exe => ==== Voir les fichiers "Installer.exe" ou "Installer Tome x.mpq" sur le DVD ==== | exe
467 Guillemets typographiques fermants. => ==== Voir les fichiers "Installer.exe" ou "Installer Tome x.mpq" sur le DVD ==== | " => suggestions : ['\xa0»', '”']
467 Guillemets typographiques ouvrants. => ==== Voir les fichiers "Installer.exe" ou "Installer Tome x.mpq" sur le DVD ==== | " => suggestions : ['«\xa0', '“']
467 Mot inconnu : mpq => ==== Voir les fichiers "Installer.exe" ou "Installer Tome x.mpq" sur le DVD ==== | mpq
467 Guillemets typographiques fermants. => ==== Voir les fichiers "Installer.exe" ou "Installer Tome x.mpq" sur le DVD ==== | " => suggestions : ['\xa0»', '”']

469 Guillemets typographiques ouvrants. => Sur les DVD Windows/Mac Ubuntu ne monte que la partie Mac du DVD. Par conséquent vous ne voyez pas soit le fichier "Installer.exe" soit les fichiers "Installer Tome x.mpq". | " => suggestions : ['«\xa0', '“']
469 Mot inconnu : exe => Sur les DVD Windows/Mac Ubuntu ne monte que la partie Mac du DVD. Par conséquent vous ne voyez pas soit le fichier "Installer.exe" soit les fichiers "Installer Tome x.mpq". | exe
469 Guillemets typographiques fermants. => Sur les DVD Windows/Mac Ubuntu ne monte que la partie Mac du DVD. Par conséquent vous ne voyez pas soit le fichier "Installer.exe" soit les fichiers "Installer Tome x.mpq". | " => suggestions : ['\xa0»', '”']
469 Guillemets typographiques ouvrants. => Sur les DVD Windows/Mac Ubuntu ne monte que la partie Mac du DVD. Par conséquent vous ne voyez pas soit le fichier "Installer.exe" soit les fichiers "Installer Tome x.mpq". | " => suggestions : ['«\xa0', '“']
469 Mot inconnu : mpq => Sur les DVD Windows/Mac Ubuntu ne monte que la partie Mac du DVD. Par conséquent vous ne voyez pas soit le fichier "Installer.exe" soit les fichiers "Installer Tome x.mpq". | mpq
469 Guillemets typographiques fermants. => Sur les DVD Windows/Mac Ubuntu ne monte que la partie Mac du DVD. Par conséquent vous ne voyez pas soit le fichier "Installer.exe" soit les fichiers "Installer Tome x.mpq". | " => suggestions : ['\xa0»', '”']

475 Mot inconnu : battle => Depuis la mise à jour vers la version 3.3, pour certains il est impossible de s'identifier à son compte battle.net sans une erreur Microsoft Visual C++ Runtime Library. | battle
475 Mot inconnu : Visual => Depuis la mise à jour vers la version 3.3, pour certains il est impossible de s'identifier à son compte battle.net sans une erreur Microsoft Visual C++ Runtime Library. | visual
475 Mot inconnu : Runtime => Depuis la mise à jour vers la version 3.3, pour certains il est impossible de s'identifier à son compte battle.net sans une erreur Microsoft Visual C++ Runtime Library. | runtime
475 Mot inconnu : Library => Depuis la mise à jour vers la version 3.3, pour certains il est impossible de s'identifier à son compte battle.net sans une erreur Microsoft Visual C++ Runtime Library. | library
476 Mot inconnu : Visual => Pour y remédier, c'est simple : Télécharger Microsoft Visual C++ 2005 SP1 [[http://www.microsoft.com/downloads/en/confirmation.aspx?familyId=200b2fd9-ae1a-4a14-984d-389c36f85647&displayLang=en|à cette adresse]] puis l'installer. | visual
476 Mot inconnu : SP1 => Pour y remédier, c'est simple : Télécharger Microsoft Visual C++ 2005 SP1 [[http://www.microsoft.com/downloads/en/confirmation.aspx?familyId=200b2fd9-ae1a-4a14-984d-389c36f85647&displayLang=en|à cette adresse]] puis l'installer. | sp1

490 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Please contact the applications support team for more information.</code> |    => suggestions : ['']
490 Mot inconnu : Please =>   Please contact the applications support team for more information.</code> | please
490 Mot inconnu : the =>   Please contact the applications support team for more information.</code> | the
490 Mot inconnu : team =>   Please contact the applications support team for more information.</code> | team

499 Mot inconnu : DLL => ==== Problème de DLL ==== | dll

501 Mot inconnu : DLL => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | dll
501 Mot inconnu : msvcp60 => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | msvcp60
501 Mot inconnu : dll => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | dll
501 Mot inconnu : mfc42 => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | mfc42
501 Mot inconnu : dll => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | dll
501 Mot inconnu : riched20 => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | riched20
501 Mot inconnu : dll => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | dll
501 Mot inconnu : riched32 => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | riched32
501 Mot inconnu : dll => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | dll
501 Mot inconnu : wine => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | wine
501 Mot inconnu : drive_c => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | drive_c
501 Mot inconnu : system32 => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | system32
501 Guillemets typographiques fermants. => Si vous avez des problèmes lors des mises à jour ou lors du lancement du jeu, les DLL [[http://www.dll-files.com/dllindex/dll-files.shtml?msvcp60|msvcp60.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?mfc42|mfc42.dll]], [[http://www.dll-files.com/dllindex/dll-files.shtml?riched20|riched20.dll]] et [[http://www.dll-files.com/dllindex/dll-files.shtml?riched32|riched32.dll]] doivent être placées dans le dossier ''~/.wine/drive_c/windows/system32''. | '' => suggestions : ['\xa0»', '”']

503 Mot inconnu : Wine => <note tip>Il semble que ce bug ait disparu dans les dernières versions de Wine et donc qu'il ne soit plus nécessaire de les télécharger en plus</note> | wine

508 Mot inconnu : Sound => <note astuce>OSS = Open Sound System</note> | sound
