
5 Mot inconnu : djmount => ====== djmount ====== | djmount
89 Il manque un espace. => Il suffit pour cela d'automatiser le lancement à l'ouverture de la session. Suivez les instruction de la page [[tutoriel:application_demarrage|des applications au démarrage]] et dans  //Commande// entrez : | application_demarrage => suggestions : [' application_demarrage']
89 Mot inconnu : application_demarrage => Il suffit pour cela d'automatiser le lancement à l'ouverture de la session. Suivez les instruction de la page [[tutoriel:application_demarrage|des applications au démarrage]] et dans  //Commande// entrez : | application_demarrage
89 Espace(s) surnuméraire(s) à supprimer. => Il suffit pour cela d'automatiser le lancement à l'ouverture de la session. Suivez les instruction de la page [[tutoriel:application_demarrage|des applications au démarrage]] et dans  //Commande// entrez : |    => suggestions : [' ']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /usr/bin/djmount /media/UPnP |    => suggestions : ['']
91 Mot inconnu : UPnP =>   /usr/bin/djmount /media/UPnP | upnp

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://djmount.sourceforge.net|djmount]] |    => suggestions : ['']
102 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:pierig|pierig]], [[utilisateurs:fnx|fnx]].// | pierig => suggestions : [' pierig']
102 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:pierig|pierig]], [[utilisateurs:fnx|fnx]].// | fnx => suggestions : [' fnx']
