1 Mot inconnu : SubRip => ====== SubRip ====== | subrip
115 Mot inconnu : timeEnd =>     end = self.getTime(element.timeEnd) | timeend

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     text = element.text.replace("\n", "\\N") |      => suggestions : ['']
116 Mot inconnu : text =>     text = element.text.replace("\n", "\\N") | text
116 Il manque un espace avant la parenthèse. =>     text = element.text.replace("\n", "\\N") | ( => suggestions : [' (']
116 Guillemets typographiques fermants. =>     text = element.text.replace("\n", "\\N") | " => suggestions : ['\xa0»', '”']
116 Guillemets typographiques fermants. =>     text = element.text.replace("\n", "\\N") | " => suggestions : ['\xa0»', '”']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     font = "Regular" |      => suggestions : ['']
117 Guillemets typographiques ouvrants. =>     font = "Regular" | " => suggestions : ['«\xa0', '“']
117 Mot inconnu : Regular =>     font = "Regular" | regular
117 Guillemets typographiques fermants. =>     font = "Regular" | " => suggestions : ['\xa0»', '”']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") |      => suggestions : ['']
119 Mot inconnu : text =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | text
119 Mot inconnu : text =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | text
119 Il manque un espace. =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | replace => suggestions : [' replace']
119 Il manque un espace avant la parenthèse. =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | ( => suggestions : [' (']
119 Mot inconnu : i1 =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | i1
119 Il manque un espace avant la parenthèse. =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | ( => suggestions : [' (']
119 Mot inconnu : i0 =>     text = text.replace("<i>", "{\\i1}").replace("</i>", "{\\i0}") | i0

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # Fixes the subtitle |      => suggestions : ['']
120 Mot inconnu : the =>     # Fixes the subtitle | the
120 Mot inconnu : subtitle =>     # Fixes the subtitle | subtitle

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: |      => suggestions : ['']
121 Mot inconnu : text =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | text
121 Mot inconnu : find =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | find
121 Il manque un espace avant la parenthèse. =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | ( => suggestions : [' (']
121 Mot inconnu : i1 =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | i1
121 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | -1 => suggestions : ['−1', '– 1', '— 1']
121 Mot inconnu : and =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | and
121 Mot inconnu : text =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | text
121 Mot inconnu : find =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | find
121 Il manque un espace avant la parenthèse. =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | ( => suggestions : [' (']
121 Mot inconnu : i0 =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | i0
121 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     if text.find("{\\i1}") != -1 and text.find("{\\i0}") == -1: | -1 => suggestions : ['−1', '– 1', '— 1']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       text += "{\\i0}" |        => suggestions : ['']
122 Mot inconnu : text =>       text += "{\\i0}" | text
122 Mot inconnu : i0 =>       text += "{\\i0}" | i0

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) |      => suggestions : ['']
124 Mot inconnu : return =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | return
124 Guillemets typographiques ouvrants. =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | " => suggestions : ['«\xa0', '“']
124 Une de ces ponctuations est superflue. =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | ,, => suggestions : [',', ',']
124 Une de ces ponctuations est superflue. =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | ,, => suggestions : [',', ',']
124 Guillemets typographiques fermants. =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | " => suggestions : ['\xa0»', '”']
124 Il manque un espace avant la parenthèse. =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | ( => suggestions : [' (']
124 Mot inconnu : start =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | start
124 Mot inconnu : end =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | end
124 Mot inconnu : text =>     return "Dialogue: 0,{0},{1},{2},,0000,0000,0000,,{3}\n".format(start, end, font, text) | text

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def getTime(self, t): |    => suggestions : ['']
126 Mot inconnu : def =>   def getTime(self, t): | def
126 Mot inconnu : getTime =>   def getTime(self, t): | gettime
126 Il manque un espace avant la parenthèse. =>   def getTime(self, t): | ( => suggestions : [' (']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ms = t % 1000 |      => suggestions : ['']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     t = (t - ms) / 1000 |      => suggestions : ['']
128 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     t = (t - ms) / 1000 |  -  => suggestions : [' – ', ' — ', ' − ']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     s = t % 60 |      => suggestions : ['']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     t = (t - s) / 60 |      => suggestions : ['']
130 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     t = (t - s) / 60 |  -  => suggestions : [' – ', ' — ', ' − ']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     m = t % 60 |      => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     h = (t - m) / 60 |      => suggestions : ['']
132 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     h = (t - m) / 60 |  -  => suggestions : [' – ', ' — ', ' − ']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ms /= 10 |      => suggestions : ['']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     return '{0:01}:{1:02}:{2:02}.{3:02}'.format(h, m, s, ms) |      => suggestions : ['']
135 Mot inconnu : return =>     return '{0:01}:{1:02}:{2:02}.{3:02}'.format(h, m, s, ms) | return
135 Il manque un espace avant la parenthèse. =>     return '{0:01}:{1:02}:{2:02}.{3:02}'.format(h, m, s, ms) | ( => suggestions : [' (']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def getHeader(self): |    => suggestions : ['']
137 Mot inconnu : def =>   def getHeader(self): | def
137 Mot inconnu : getHeader =>   def getHeader(self): | getheader
137 Il manque un espace avant la parenthèse. =>   def getHeader(self): | ( => suggestions : [' (']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     return "[Script Info]\n" \ |      => suggestions : ['']
138 Mot inconnu : return =>     return "[Script Info]\n" \ | return
138 Guillemets typographiques fermants. =>     return "[Script Info]\n" \ | " => suggestions : ['\xa0»', '”']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "ScriptType: V4.00+\n" \ |          => suggestions : ['']
139 Guillemets typographiques ouvrants. =>         + "ScriptType: V4.00+\n" \ | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : ScriptType =>         + "ScriptType: V4.00+\n" \ | scripttype
139 Mot inconnu : V4 =>         + "ScriptType: V4.00+\n" \ | v4
139 Guillemets typographiques fermants. =>         + "ScriptType: V4.00+\n" \ | " => suggestions : ['\xa0»', '”']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "\n"                   \ |          => suggestions : ['']
140 Guillemets typographiques fermants. =>         + "\n"                   \ | " => suggestions : ['\xa0»', '”']

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "[V4+ Styles]\n"       \ |          => suggestions : ['']
141 Mot inconnu : V4 =>         + "[V4+ Styles]\n"       \ | v4
141 Guillemets typographiques fermants. =>         + "[V4+ Styles]\n"       \ | " => suggestions : ['\xa0»', '”']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ |          => suggestions : ['']
142 Guillemets typographiques ouvrants. =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | " => suggestions : ['«\xa0', '“']
142 Mot inconnu : Name =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | name
142 Mot inconnu : Fontname =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | fontname
142 Mot inconnu : Fontsize =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | fontsize
142 Mot inconnu : PrimaryColour =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | primarycolour
142 Mot inconnu : SecondaryColour =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | secondarycolour
142 Mot inconnu : OutlineColour =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | outlinecolour
142 Mot inconnu : BackColour =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | backcolour
142 Mot inconnu : Bold =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | bold
142 Mot inconnu : Italic =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | italic
142 Mot inconnu : Underline =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | underline
142 Mot inconnu : StrikeOut =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | strikeout
142 Mot inconnu : ScaleX =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | scalex
142 Mot inconnu : ScaleY =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | scaley
142 Mot inconnu : Spacing =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | spacing
142 Mot inconnu : BorderStyle =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | borderstyle
142 Mot inconnu : Outline =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | outline
142 Mot inconnu : Shadow =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | shadow
142 Mot inconnu : Alignment =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | alignment
142 Mot inconnu : MarginL =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | marginl
142 Mot inconnu : MarginR =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | marginr
142 Mot inconnu : MarginV =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | marginv
142 Mot inconnu : Encoding =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | encoding
142 Guillemets typographiques fermants. =>         + "Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding\n" \ | " => suggestions : ['\xa0»', '”']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ |          => suggestions : ['']
143 Guillemets typographiques ouvrants. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['«\xa0', '“']
143 Mot inconnu : Regular =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | regular
143 Guillemets typographiques fermants. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['\xa0»', '”']
143 Mot inconnu : fontRegular =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | fontregular
143 Guillemets fermants. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ |  " => suggestions : ['\xa0»', '”']
143 Guillemets typographiques fermants. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['\xa0»', '”']
143 Mot inconnu : fontSize =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | fontsize
143 Guillemets fermants. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ |  " => suggestions : ['\xa0»', '”']
143 Mot inconnu : H00FFFFFF =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h00ffffff
143 Mot inconnu : H0000FFFF =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h0000ffff
143 Mot inconnu : H00000000 =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h00000000
143 Mot inconnu : H00000000 =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h00000000
143 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | -1 => suggestions : ['−1', '– 1', '— 1']
143 Guillemets typographiques fermants. =>         + "Style: Regular," + self.fontRegular + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['\xa0»', '”']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "\n" \ |          => suggestions : ['']
144 Guillemets typographiques fermants. =>         + "\n" \ | " => suggestions : ['\xa0»', '”']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "[Events]\n" \ |          => suggestions : ['']
145 Mot inconnu : Events =>         + "[Events]\n" \ | events
145 Guillemets typographiques fermants. =>         + "[Events]\n" \ | " => suggestions : ['\xa0»', '”']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" |          => suggestions : ['']
146 Guillemets typographiques ouvrants. =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | " => suggestions : ['«\xa0', '“']
146 Mot inconnu : Start =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | start
146 Mot inconnu : End =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | end
146 Mot inconnu : Actor =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | actor
146 Mot inconnu : MarginL =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | marginl
146 Mot inconnu : MarginR =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | marginr
146 Mot inconnu : MarginV =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | marginv
146 Mot inconnu : Effect =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | effect
146 Mot inconnu : Text =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | text
146 Guillemets typographiques fermants. =>         + "Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text\n" | " => suggestions : ['\xa0»', '”']

148 Guillemets typographiques ouvrants. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['«\xa0', '“']
148 Mot inconnu : Italic => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | italic
148 Guillemets typographiques fermants. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['\xa0»', '”']
148 Mot inconnu : fontItalic => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | fontitalic
148 Guillemets fermants. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ |  " => suggestions : ['\xa0»', '”']
148 Guillemets typographiques fermants. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['\xa0»', '”']
148 Mot inconnu : fontSize => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | fontsize
148 Guillemets fermants. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ |  " => suggestions : ['\xa0»', '”']
148 Mot inconnu : H00FFFFFF => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h00ffffff
148 Mot inconnu : H0000FFFF => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h0000ffff
148 Mot inconnu : H00000000 => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h00000000
