
4 Mot inconnu : Ngspice => ====== Ngspice rework ====== | ngspice
290 Mot inconnu : nB => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | nb
290 Mot inconnu : gate => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | gate
290 Mot inconnu : bulk => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | bulk
290 Mot inconnu : Mname => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | mname
290 Mot inconnu : exp-6 => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | exp-6
290 Mot inconnu : exp-12 => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | exp-12

291 Mot inconnu : MESFETs => ==== MESFETs ==== | mesfets

299 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | nd => suggestions : ['Nd']
299 Mot inconnu : nD => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | nd
299 Mot inconnu : gate => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | gate
299 Mot inconnu : Mname => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | mname
299 Mot inconnu : Area => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | area
