
5 Mot inconnu : last => ====== Webradio last.fm ====== | last
110 Mot inconnu : last => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | last
110 Il manque un espace. => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | fm => suggestions : [' fm']
110 Accord de genre erroné : « lecteur » est masculin. => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | quelle => suggestions : ['quel']
110 Accord de genre erroné : « quelle » est féminin. => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | lecteur => suggestions : ['lectrice']
110 Mot inconnu : m3u => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | m3u

111 Mot inconnu : last => Cette technique est moins pratique qu'un lecteur intégrant les fonctionnalités last.fm, mais elle permet d'écouter une radio last.fm sur tout ordinateur disposant d'un environnement python, d'un navigateur web et d'un lecteur audio. | last
111 Il manque un espace. => Cette technique est moins pratique qu'un lecteur intégrant les fonctionnalités last.fm, mais elle permet d'écouter une radio last.fm sur tout ordinateur disposant d'un environnement python, d'un navigateur web et d'un lecteur audio. | fm => suggestions : [' fm']
111 Mot inconnu : last => Cette technique est moins pratique qu'un lecteur intégrant les fonctionnalités last.fm, mais elle permet d'écouter une radio last.fm sur tout ordinateur disposant d'un environnement python, d'un navigateur web et d'un lecteur audio. | last
111 Il manque un espace. => Cette technique est moins pratique qu'un lecteur intégrant les fonctionnalités last.fm, mais elle permet d'écouter une radio last.fm sur tout ordinateur disposant d'un environnement python, d'un navigateur web et d'un lecteur audio. | fm => suggestions : [' fm']

117 Mot inconnu : py => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | py
117 Guillemets typographiques ouvrants. => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | " => suggestions : ['«\xa0', '“']
117 Mot inconnu : username => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | username
117 Guillemets typographiques fermants. => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | " => suggestions : ['\xa0»', '”']
117 Guillemets typographiques ouvrants. => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | " => suggestions : ['«\xa0', '“']
117 Mot inconnu : password => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | password
117 Guillemets typographiques fermants. => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | " => suggestions : ['\xa0»', '”']
117 Mot inconnu : last => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | last
117 Il manque un espace. => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | fm => suggestions : [' fm']
117 Mot inconnu : py => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | py
117 Mot inconnu : url => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | url
117 Mot inconnu : url => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | url
117 Mot inconnu : last => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | last
117 Il manque un espace. => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | fm => suggestions : [' fm']
117 Mot inconnu : start => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | start
117 Mot inconnu : m3u => La deuxième commande vous permet de choisir l'emplacement dans lequel sera décompactée l'archive. Ensuite, à l'aide de votre éditeur de texte préféré, éditez le fichier **config.py** et affectez les variables "username" et "password" avec les bonnes valeurs (celles de votre compte last.fm). Si vous l'aviez délaissé, retournez dans votre terminal et lancez le programme **main.py** situé dans le répertoire d'installation du proxy. Il devrait vous afficher une url, très probablement : http://localhost:1881/. Recopiez cette url dans la barre d'adresse de votre navigateur web et validez. Quelque chose ressemblant au premier lecteur last.fm devrait apparaitre, avec un lien start radio. En cliquant dessus, il vous propose d'ouvrir un fichier m3u, ce que vous faites après avoir choisi votre lecteur préféré. Et voilà vous y êtes ! Presque :) | m3u

118 Mot inconnu : url => En procédant ainsi, vous démarrez la dernière radio que vous avez écoutée, ou celle de vos voisins. Pour choisir la radio que vous voulez, tapez son adresse à la suite et l'url dans le navigateur, et validez. Quelques exemples : | url

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://localhost:1881/lastfm://user/pseudo/personal |    => suggestions : ['']
119 Mot inconnu : lastfm =>   * http://localhost:1881/lastfm://user/pseudo/personal | lastfm
119 Mot inconnu : personal =>   * http://localhost:1881/lastfm://user/pseudo/personal | personal

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://localhost:1881/lastfm://globaltags/rock |    => suggestions : ['']
120 Mot inconnu : lastfm =>   * http://localhost:1881/lastfm://globaltags/rock | lastfm
120 Mot inconnu : globaltags =>   * http://localhost:1881/lastfm://globaltags/rock | globaltags

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://localhost:1881/lastfm://artist/Madonna/similarartists |    => suggestions : ['']
121 Mot inconnu : lastfm =>   * http://localhost:1881/lastfm://artist/Madonna/similarartists | lastfm
121 Mot inconnu : artist =>   * http://localhost:1881/lastfm://artist/Madonna/similarartists | artist
121 Mot inconnu : Madonna =>   * http://localhost:1881/lastfm://artist/Madonna/similarartists | madonna
121 Mot inconnu : similarartists =>   * http://localhost:1881/lastfm://artist/Madonna/similarartists | similarartists

123 Mot inconnu : last => D'une manière générale, vous pouvez aller sur le site de last.fm, repérer une radio qui vous plait (et que vous pouvez écouter, si vous n'êtes pas enregistré), et copier son adresse grâce au lien. Pour changer de station vous pouvez aussi appeler le script changestation.py, avec en argument l'adresse de la radio que vous voulez écouter.\\ | last
123 Il manque un espace. => D'une manière générale, vous pouvez aller sur le site de last.fm, repérer une radio qui vous plait (et que vous pouvez écouter, si vous n'êtes pas enregistré), et copier son adresse grâce au lien. Pour changer de station vous pouvez aussi appeler le script changestation.py, avec en argument l'adresse de la radio que vous voulez écouter.\\ | fm => suggestions : [' fm']
123 Mot inconnu : changestation => D'une manière générale, vous pouvez aller sur le site de last.fm, repérer une radio qui vous plait (et que vous pouvez écouter, si vous n'êtes pas enregistré), et copier son adresse grâce au lien. Pour changer de station vous pouvez aussi appeler le script changestation.py, avec en argument l'adresse de la radio que vous voulez écouter.\\ | changestation
123 Mot inconnu : py => D'une manière générale, vous pouvez aller sur le site de last.fm, repérer une radio qui vous plait (et que vous pouvez écouter, si vous n'êtes pas enregistré), et copier son adresse grâce au lien. Pour changer de station vous pouvez aussi appeler le script changestation.py, avec en argument l'adresse de la radio que vous voulez écouter.\\ | py

126 Mot inconnu : network => <file>network.protocol-handler.app.lastfm</file> | network
126 Mot inconnu : protocol-handler => <file>network.protocol-handler.app.lastfm</file> | protocol-handler
126 Mot inconnu : app => <file>network.protocol-handler.app.lastfm</file> | app
126 Mot inconnu : lastfm => <file>network.protocol-handler.app.lastfm</file> | lastfm

127 Mot inconnu : changestation => Validez, puis entrez le chemin complet vers le script changestation, par exemple : | changestation

128 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => <file>/home/anatole/lastfmproxy-1.1/changestation.py</file> | -1 => suggestions : ['−1', '– 1', '— 1']

131 Guillemets typographiques ouvrants. => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | ' => suggestions : ['“', '‘', '‹']
131 Mot inconnu : lastfm => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | lastfm
131 Mot inconnu : Rhythmbox => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | rhythmbox
131 Incohérence probable avec “avoir” : “désinstaller” n’est pas un participe passé. => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | désinstaller => suggestions : ['désinstallé']
131 Mot inconnu : Rhythmbox => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | rhythmbox
131 Mot inconnu : url => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | url
131 Mot inconnu : lastfm => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | lastfm
131 Mot inconnu : globaltags => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | globaltags
131 Guillemets typographiques fermants. => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | ' => suggestions : ['”', '’', '›']
131 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Cette astuce pour changer de station avec Firefox ne semble pas marcher chez moi (Ubuntu 8.10, Firefox 3.0.8). Lorsque je clique sur un lien qui commence par 'lastfm:// ', c'est Rhythmbox qui se lance. Cela même après avoir bien refait plusieurs fois la manipulation, après avoir désinstaller Rhythmbox (dans ce cas il ne se passe rien), et bien d'autres manipulations. J'ai même essayé de faire un petit script qui se charge d'écrire l'url appelée ('lastfm://globaltags/pop' par exemple) dans un fichier temporaire, et je me rend compte que le script n'est en fait jamais appelé. S'agit-il d'un bug de Firefox ou d'une mauvaise manipulation de ma part ? Quelqu'un peut-il dire s'il a réussi à faire marcher le script en ayant la même configuration que moi ? | rend => suggestions : ['rends']

134 Mot inconnu : Ca => Ca devrait suffire. Remarquez que ça permet seulement de changer de radio, pas de la démarrer. Vous devez donc avoir auparavant lancé main.py et ouvert le flux m3u avec votre lecteur. | ca
134 Mot inconnu : py => Ca devrait suffire. Remarquez que ça permet seulement de changer de radio, pas de la démarrer. Vous devez donc avoir auparavant lancé main.py et ouvert le flux m3u avec votre lecteur. | py
134 Mot inconnu : m3u => Ca devrait suffire. Remarquez que ça permet seulement de changer de radio, pas de la démarrer. Vous devez donc avoir auparavant lancé main.py et ouvert le flux m3u avec votre lecteur. | m3u

136 Guillemets typographiques ouvrants. => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | " => suggestions : ['«\xa0', '“']
136 Guillemets typographiques fermants. => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | " => suggestions : ['\xa0»', '”']
136 Mot inconnu : last => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | last
136 Il manque un espace. => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | fm => suggestions : [' fm']
136 Mot inconnu : player => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | player
136 Mot inconnu : last => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | last
136 Il manque un espace. => Pour conclure, cette méthode est une façon assez jolie de se sortir des problèmes d'installation et de compilation de "vrais" lecteurs. Elle offre quasiment les mêmes fonctionnalités que last.fm player (l'ancienne version du lecteur last.fm), à ceci près que le lecteur et l'interface sont dans deux endroits différents. Mais le lecteur en lui même n'est plus très utile une fois démarré, vous pouvez le laisser en tâche de fond et vous préoccuper uniquement de la page web. | fm => suggestions : [' fm']
