
4 Mot inconnu : Plank => ====== Plank ====== | plank
102 Guillemets typographiques fermants. =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". | " => suggestions : ['\xa0»', '”']
102 Guillemets typographiques ouvrants. =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". | " => suggestions : ['\xa0»', '”']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. |    => suggestions : ['']
106 Mot inconnu : Plank =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | plank
106 Guillemets typographiques ouvrants. =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | " => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | " => suggestions : ['\xa0»', '”']
106 Espace(s) surnuméraire(s) à supprimer. =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. |    => suggestions : [' ']
106 Mot inconnu : sh =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | sh
106 Espace(s) surnuméraire(s) à supprimer. =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. |    => suggestions : [' ']
106 Espace(s) surnuméraire(s) à supprimer. =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. |    => suggestions : [' ']
106 Guillemets isolés. =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
106 Mot inconnu : sleep =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | sleep
106 Mot inconnu : plank =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | plank
106 Mot inconnu : Plank =>   * Si Plank se lance trop tôt, il peut entrer en conflit avec un autre programme. Dans ce cas, vous pouvez retarder de quelques secondes son lancement en mettant dans la ligne "Commande" :  **sh  -c  " sleep 5; plank "**. Dans cet exemple, le lancement de Plank est retardé de 5 secondes. | plank

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Normalement, quand on lance un programme à partir du dock, son icône arbore un point coloré pour indiquer que le programme est lancé. Dans certains cas, ce point n'apparaît pas, mais une __seconde icône__ du programme est lancée dans le dock, avec le fameux point. Cette icône disparaîtra lors de la fermeture du programme. Pour régler ce problème de duplication des icônes, faite un clic droit sur la seconde icône, et cochez "Épingler au dock". Vous avez maintenant 2 icônes permanentes de votre logiciel dans le dock. Enlever la première (celle qui fonctionne mal). Le problème est normalement réglé : lors du prochain lancement, il n'y aura qu'une icône dans le dock (la seconde). |    => suggestions : ['']
110 Mot inconnu : __seconde =>   * Normalement, quand on lance un programme à partir du dock, son icône arbore un point coloré pour indiquer que le programme est lancé. Dans certains cas, ce point n'apparaît pas, mais une __seconde icône__ du programme est lancée dans le dock, avec le fameux point. Cette icône disparaîtra lors de la fermeture du programme. Pour régler ce problème de duplication des icônes, faite un clic droit sur la seconde icône, et cochez "Épingler au dock". Vous avez maintenant 2 icônes permanentes de votre logiciel dans le dock. Enlever la première (celle qui fonctionne mal). Le problème est normalement réglé : lors du prochain lancement, il n'y aura qu'une icône dans le dock (la seconde). | __seconde
110 Mot inconnu : icône__ =>   * Normalement, quand on lance un programme à partir du dock, son icône arbore un point coloré pour indiquer que le programme est lancé. Dans certains cas, ce point n'apparaît pas, mais une __seconde icône__ du programme est lancée dans le dock, avec le fameux point. Cette icône disparaîtra lors de la fermeture du programme. Pour régler ce problème de duplication des icônes, faite un clic droit sur la seconde icône, et cochez "Épingler au dock". Vous avez maintenant 2 icônes permanentes de votre logiciel dans le dock. Enlever la première (celle qui fonctionne mal). Le problème est normalement réglé : lors du prochain lancement, il n'y aura qu'une icône dans le dock (la seconde). | icône__
110 Guillemets typographiques ouvrants. =>   * Normalement, quand on lance un programme à partir du dock, son icône arbore un point coloré pour indiquer que le programme est lancé. Dans certains cas, ce point n'apparaît pas, mais une __seconde icône__ du programme est lancée dans le dock, avec le fameux point. Cette icône disparaîtra lors de la fermeture du programme. Pour régler ce problème de duplication des icônes, faite un clic droit sur la seconde icône, et cochez "Épingler au dock". Vous avez maintenant 2 icônes permanentes de votre logiciel dans le dock. Enlever la première (celle qui fonctionne mal). Le problème est normalement réglé : lors du prochain lancement, il n'y aura qu'une icône dans le dock (la seconde). | " => suggestions : ['«\xa0', '“']
110 Guillemets typographiques fermants. =>   * Normalement, quand on lance un programme à partir du dock, son icône arbore un point coloré pour indiquer que le programme est lancé. Dans certains cas, ce point n'apparaît pas, mais une __seconde icône__ du programme est lancée dans le dock, avec le fameux point. Cette icône disparaîtra lors de la fermeture du programme. Pour régler ce problème de duplication des icônes, faite un clic droit sur la seconde icône, et cochez "Épingler au dock". Vous avez maintenant 2 icônes permanentes de votre logiciel dans le dock. Enlever la première (celle qui fonctionne mal). Le problème est normalement réglé : lors du prochain lancement, il n'y aura qu'une icône dans le dock (la seconde). | " => suggestions : ['\xa0»', '”']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Plank n'apparaît pas sur tous les bureaux : cela se produit si Plank est lancé à partir de son icône depuis le menu. S'il est lancé automatiquement au démarrage de la session ou à partir de la console, il devrait apparaître sur tous les bureaux. |    => suggestions : ['']
112 Mot inconnu : Plank =>   * Plank n'apparaît pas sur tous les bureaux : cela se produit si Plank est lancé à partir de son icône depuis le menu. S'il est lancé automatiquement au démarrage de la session ou à partir de la console, il devrait apparaître sur tous les bureaux. | plank
112 Mot inconnu : Plank =>   * Plank n'apparaît pas sur tous les bureaux : cela se produit si Plank est lancé à partir de son icône depuis le menu. S'il est lancé automatiquement au démarrage de la session ou à partir de la console, il devrait apparaître sur tous les bureaux. | plank

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Après quelques mises à jour, certains lanceurs épinglés disparaissent (ne sont plus épinglé). C'est le cas par exemple de Firefox. La solution peut être de créer un lanceur personnalisé comme expliqué au point [[#iconiser_un_site_internet_dans_plank|Icôniser un site internet dans Plank]]. |    => suggestions : ['']
114 Accord avec la forme verbale “sont” : “épinglé” devrait être au pluriel. =>   * Après quelques mises à jour, certains lanceurs épinglés disparaissent (ne sont plus épinglé). C'est le cas par exemple de Firefox. La solution peut être de créer un lanceur personnalisé comme expliqué au point [[#iconiser_un_site_internet_dans_plank|Icôniser un site internet dans Plank]]. | épinglé => suggestions : ['épinglés']
114 Mot inconnu : Icôniser =>   * Après quelques mises à jour, certains lanceurs épinglés disparaissent (ne sont plus épinglé). C'est le cas par exemple de Firefox. La solution peut être de créer un lanceur personnalisé comme expliqué au point [[#iconiser_un_site_internet_dans_plank|Icôniser un site internet dans Plank]]. | icôniser
114 Mot inconnu : Plank =>   * Après quelques mises à jour, certains lanceurs épinglés disparaissent (ne sont plus épinglé). C'est le cas par exemple de Firefox. La solution peut être de créer un lanceur personnalisé comme expliqué au point [[#iconiser_un_site_internet_dans_plank|Icôniser un site internet dans Plank]]. | plank

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. |    => suggestions : ['']
116 Mot inconnu : __Si__ =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | __si__
116 Mot inconnu : ERROR =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | error
116 Mot inconnu : Utils =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | utils
116 Il manque un espace. =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | 42 => suggestions : [' 42']
116 Mot inconnu : GSettingsSchema =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | gsettingsschema
116 Guillemets typographiques ouvrants. =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | ' => suggestions : ['“', '‘', '‹']
116 Guillemets typographiques fermants. =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | ' => suggestions : ['”', '’', '›']
116 Mot inconnu : not =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | not
116 Mot inconnu : found =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | found
116 Mot inconnu : sudo =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | sudo
116 Mot inconnu : glib-compile-schemas =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | glib-compile-schemas
116 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * Très rarement le logiciel ne se lance pas. __Si__ on le lance dans un terminal, on voit apparaitre un message "**[ERROR 17:21:47.017176] [Utils:42] GSettingsSchema 'net.launchpad.plank' not found**". Normalement, un **sudo glib-compile-schemas /usr/share/glib-2.0/schemas/** règle le problème. | -2 => suggestions : ['−2', '– 2', '— 2']

127 Mot inconnu : Plank => On peut aussi télécharger manuellement des thèmes pour Plank sur le web, par exemple [[http://www.deviantart.com/newest/?section=&global=1&q=plank+themes|ici]]. Puis téléchargez le thème qui vous intéresse (en général sous forme de fichier compressé), et décompressez-le dans le dossier caché **.local/share/plank/themes/** de votre **Dossier Personnel**. Vous aurez alors un répertoire portant le nom du thème (par exemple Appolo, ou cratos-lionplank, des thèmes assez connus). | plank
127 Mot inconnu : share => On peut aussi télécharger manuellement des thèmes pour Plank sur le web, par exemple [[http://www.deviantart.com/newest/?section=&global=1&q=plank+themes|ici]]. Puis téléchargez le thème qui vous intéresse (en général sous forme de fichier compressé), et décompressez-le dans le dossier caché **.local/share/plank/themes/** de votre **Dossier Personnel**. Vous aurez alors un répertoire portant le nom du thème (par exemple Appolo, ou cratos-lionplank, des thèmes assez connus). | share
127 Mot inconnu : plank => On peut aussi télécharger manuellement des thèmes pour Plank sur le web, par exemple [[http://www.deviantart.com/newest/?section=&global=1&q=plank+themes|ici]]. Puis téléchargez le thème qui vous intéresse (en général sous forme de fichier compressé), et décompressez-le dans le dossier caché **.local/share/plank/themes/** de votre **Dossier Personnel**. Vous aurez alors un répertoire portant le nom du thème (par exemple Appolo, ou cratos-lionplank, des thèmes assez connus). | plank
127 Mot inconnu : themes => On peut aussi télécharger manuellement des thèmes pour Plank sur le web, par exemple [[http://www.deviantart.com/newest/?section=&global=1&q=plank+themes|ici]]. Puis téléchargez le thème qui vous intéresse (en général sous forme de fichier compressé), et décompressez-le dans le dossier caché **.local/share/plank/themes/** de votre **Dossier Personnel**. Vous aurez alors un répertoire portant le nom du thème (par exemple Appolo, ou cratos-lionplank, des thèmes assez connus). | themes
127 Mot inconnu : Appolo => On peut aussi télécharger manuellement des thèmes pour Plank sur le web, par exemple [[http://www.deviantart.com/newest/?section=&global=1&q=plank+themes|ici]]. Puis téléchargez le thème qui vous intéresse (en général sous forme de fichier compressé), et décompressez-le dans le dossier caché **.local/share/plank/themes/** de votre **Dossier Personnel**. Vous aurez alors un répertoire portant le nom du thème (par exemple Appolo, ou cratos-lionplank, des thèmes assez connus). | appolo
127 Mot inconnu : cratos-lionplank => On peut aussi télécharger manuellement des thèmes pour Plank sur le web, par exemple [[http://www.deviantart.com/newest/?section=&global=1&q=plank+themes|ici]]. Puis téléchargez le thème qui vous intéresse (en général sous forme de fichier compressé), et décompressez-le dans le dossier caché **.local/share/plank/themes/** de votre **Dossier Personnel**. Vous aurez alors un répertoire portant le nom du thème (par exemple Appolo, ou cratos-lionplank, des thèmes assez connus). | cratos-lionplank
131 Mot inconnu : theme => Un thème est constitué d'un répertoire qui contient 2 fichiers textes très simples : **dock.theme** et **hover.theme**. Le nom du répertoire est interprété par Plank comme étant le nom du thème (c'est d'ailleurs le seul endroit où on indique ce nom). | theme
131 Mot inconnu : hover => Un thème est constitué d'un répertoire qui contient 2 fichiers textes très simples : **dock.theme** et **hover.theme**. Le nom du répertoire est interprété par Plank comme étant le nom du thème (c'est d'ailleurs le seul endroit où on indique ce nom). | hover
131 Mot inconnu : theme => Un thème est constitué d'un répertoire qui contient 2 fichiers textes très simples : **dock.theme** et **hover.theme**. Le nom du répertoire est interprété par Plank comme étant le nom du thème (c'est d'ailleurs le seul endroit où on indique ce nom). | theme
131 Mot inconnu : Plank => Un thème est constitué d'un répertoire qui contient 2 fichiers textes très simples : **dock.theme** et **hover.theme**. Le nom du répertoire est interprété par Plank comme étant le nom du thème (c'est d'ailleurs le seul endroit où on indique ce nom). | plank

133 Mot inconnu : theme => Le fichier important est **dock.theme**. Il est constitué de 2 parties : | theme

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[PlankTheme]**, qui gère le dessin et la couleur du dock lui-même. |    => suggestions : ['']
134 Mot inconnu : PlankTheme =>   * **[PlankTheme]**, qui gère le dessin et la couleur du dock lui-même. | planktheme

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[PlankDockTheme]**, qui gère le reste de l'habillage (les ombres, l'espace entre les icônes, la façon de mettre en valeur les icônes des programmes ouverts, ...). |    => suggestions : ['']
135 Mot inconnu : PlankDockTheme =>   * **[PlankDockTheme]**, qui gère le reste de l'habillage (les ombres, l'espace entre les icônes, la façon de mettre en valeur les icônes des programmes ouverts, ...). | plankdocktheme
135 Une de ces ponctuations est superflue. =>   * **[PlankDockTheme]**, qui gère le reste de l'habillage (les ombres, l'espace entre les icônes, la façon de mettre en valeur les icônes des programmes ouverts, ...). | , . => suggestions : [',', '.']
135 Typographie : points de suspension. Utilisez le caractère dédié. =>   * **[PlankDockTheme]**, qui gère le reste de l'habillage (les ombres, l'espace entre les icônes, la façon de mettre en valeur les icônes des programmes ouverts, ...). | ... => suggestions : ['…']
137 Une de ces ponctuations est superflue. => Chaque partie est structurée en blocs de 2 lignes : une ligne de commentaire explicatif en anglais (qui commence par un #), et une ligne de paramètre. Chaque bloc de 2 lignes est spécialisé sur un paramètre (taille de la bordure, couleur de la bordure, ...). | , . => suggestions : [',', '.']
137 Typographie : points de suspension. Utilisez le caractère dédié. => Chaque partie est structurée en blocs de 2 lignes : une ligne de commentaire explicatif en anglais (qui commence par un #), et une ligne de paramètre. Chaque bloc de 2 lignes est spécialisé sur un paramètre (taille de la bordure, couleur de la bordure, ...). | ... => suggestions : ['…']
139 Espace(s) en fin de ligne à supprimer. => Si on lit l'anglais, la modification d'un thème est donc très simple. Par exemple :  |   => suggestions : ['']

140 Mot inconnu : padding => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | padding
140 Mot inconnu : the => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | the
140 Mot inconnu : left => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | left
140 Mot inconnu : right => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | right
140 Mot inconnu : edges => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | edges
140 Mot inconnu : tenths => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | tenths
140 Mot inconnu : of => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | of
140 Mot inconnu : of => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | of
140 Mot inconnu : IconSize => <file>#The padding on the left/right dock edges, in tenths of a percent of IconSize. | iconsize

141 Mot inconnu : HorizPadding => HorizPadding=5</file> | horizpadding
142 Typographie : points de suspension. Utilisez le caractère dédié. => Il est donc très facile de modifier ce paramètre pour le passer à 0 % de l'icône, ou à 15% .... | .... => suggestions : ['…']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * récupérez un thème existant, |    => suggestions : ['']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * copiez-le dans un nouveau répertoire dans **.local/share/plank/themes**. Le nom de ce répertoire sera le nom de votre thème (il doit être différent du nom du thème d'origine), |    => suggestions : ['']
146 Mot inconnu : share =>   * copiez-le dans un nouveau répertoire dans **.local/share/plank/themes**. Le nom de ce répertoire sera le nom de votre thème (il doit être différent du nom du thème d'origine), | share
146 Mot inconnu : plank =>   * copiez-le dans un nouveau répertoire dans **.local/share/plank/themes**. Le nom de ce répertoire sera le nom de votre thème (il doit être différent du nom du thème d'origine), | plank
146 Mot inconnu : themes =>   * copiez-le dans un nouveau répertoire dans **.local/share/plank/themes**. Le nom de ce répertoire sera le nom de votre thème (il doit être différent du nom du thème d'origine), | themes

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. |    => suggestions : ['']
147 Mot inconnu : theme =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | theme
147 Mot inconnu : mousepad =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | mousepad
147 Mot inconnu : gedit =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | gedit
147 Une de ces ponctuations est superflue. =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | , . => suggestions : [',', '.']
147 Typographie : points de suspension. Utilisez le caractère dédié. =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | ... => suggestions : ['…']
147 Mot inconnu : Plank =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | plank
147 Mot inconnu : theme =>   * modifiez **dock.theme** comme vous l'entendez avec votre éditeur de texte (mousepad, gedit, pluma, ...). Si le thème sur lequel vous travaillez est le thème actif de Plank, vous verrez les modifications se faire en temps réel à chaque sauvegarde d'une nouvelle modification de **dock.theme**. | theme
149 Mot inconnu : openbox => ====Lubuntu et openbox==== | openbox

150 Mot inconnu : Openbox => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  | openbox
150 La locution “entre autres”, toujours au pluriel. => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  | autre => suggestions : ['autres']
150 Mot inconnu : plank => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  | plank
150 Accord de nombre erroné : « dock » devrait être au pluriel. => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  | dock => suggestions : ['docks']
150 Guillemets typographiques ouvrants. => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  | " => suggestions : ['«\xa0', '“']
150 Guillemets typographiques fermants. => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  | " => suggestions : ['\xa0»', '”']
150 Espace(s) surnuméraire(s) à supprimer. => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  |    => suggestions : [' ']
150 Espace(s) en fin de ligne à supprimer. => [[Openbox]] (qui est entre autre le gestionnaire de [[Lubuntu]]) ne gère pas la transparence, et le rendu de plank se fait donc (quel que soit le thème) avec des dock "pleins", de type tableau de bord : le dock et ses icônes sont  encadrés par un fond de couleur opaque.  |   => suggestions : ['']

154 Mot inconnu : ElementaryOS => ====ElementaryOS==== | elementaryos
155 Mot inconnu : Plank => [[https://www.elementaryos-fr.org/|ElementaryOS]] ayant incorporé Plank dans son projet de bureau **Pantheon** pour Ubuntu (très inspiré de Mac OS), il existe dans le panneau  de configuration de Pantheon une interface de configuration de Plank spécifique, distincte de celle de plank. Cette interface est très basique, et ne couvre pas toutes les fonctionnalités. Pour allez plus loin, vous pouvez installer l'utilitaire elementaryOS **tweak**, lequel se lance ensuite via le panneau de configuration. | plank
155 Mot inconnu : Pantheon => [[https://www.elementaryos-fr.org/|ElementaryOS]] ayant incorporé Plank dans son projet de bureau **Pantheon** pour Ubuntu (très inspiré de Mac OS), il existe dans le panneau  de configuration de Pantheon une interface de configuration de Plank spécifique, distincte de celle de plank. Cette interface est très basique, et ne couvre pas toutes les fonctionnalités. Pour allez plus loin, vous pouvez installer l'utilitaire elementaryOS **tweak**, lequel se lance ensuite via le panneau de configuration. | pantheon
