
2 Mot inconnu : Aircrack-ng => ====== La suite Aircrack-ng ====== | aircrack-ng

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Lancez le batch (l'étape de pré-computage, la plus longue et la plus gourmande en ressources) ! |     => suggestions : ['']
186 Mot inconnu : pré-computage =>    * Lancez le batch (l'étape de pré-computage, la plus longue et la plus gourmande en ressources) ! | pré-computage

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Lancez une vérification générale de la table (facultatif) : |     => suggestions : ['']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Dans cet exemple : |     => suggestions : ['']

198 Mot inconnu : FIXME => FIXME | fixme

200 Mot inconnu : airserv-ng => ==== airserv-ng ==== | airserv-ng

201 Mot inconnu : sudo => Utilisation d'un serveur pour effectuer une écoute avec la carte wifi d'un ordinateur distant. (sudo airodump-ng --encrypt wep <adresse serveur>). | sudo
201 Mot inconnu : airodump-ng => Utilisation d'un serveur pour effectuer une écoute avec la carte wifi d'un ordinateur distant. (sudo airodump-ng --encrypt wep <adresse serveur>). | airodump-ng
201 Mot inconnu : encrypt => Utilisation d'un serveur pour effectuer une écoute avec la carte wifi d'un ordinateur distant. (sudo airodump-ng --encrypt wep <adresse serveur>). | encrypt
201 Mot inconnu : wep => Utilisation d'un serveur pour effectuer une écoute avec la carte wifi d'un ordinateur distant. (sudo airodump-ng --encrypt wep <adresse serveur>). | wep

203 Guillemets typographiques ouvrants. => Un serveur doit être au préalable configuré. Prenons un exemple simple, pour une écoute en 'locale', avec deux machines. | ' => suggestions : ['“', '‘', '‹']

212 Mot inconnu : airtun-ng => ==== airtun-ng ==== | airtun-ng

215 Mot inconnu : Wireshark => Vous aurez la possibilité d'utiliser cette interface avec Wireshark par exemple. | wireshark

217 Mot inconnu : easside-ng => ==== easside-ng ==== | easside-ng

218 Mot inconnu : FIXME => FIXME | fixme

220 Mot inconnu : packetforge-ng => ==== packetforge-ng ==== | packetforge-ng

222 Mot inconnu : Packetforge-ng => Packetforge-ng est un outil permettant de forger des paquets ARP, UDP, ICMP ou personnalisés.  | packetforge-ng
222 Mot inconnu : ARP => Packetforge-ng est un outil permettant de forger des paquets ARP, UDP, ICMP ou personnalisés.  | arp
222 Mot inconnu : UDP => Packetforge-ng est un outil permettant de forger des paquets ARP, UDP, ICMP ou personnalisés.  | udp
222 Mot inconnu : ICMP => Packetforge-ng est un outil permettant de forger des paquets ARP, UDP, ICMP ou personnalisés.  | icmp
222 Espace(s) en fin de ligne à supprimer. => Packetforge-ng est un outil permettant de forger des paquets ARP, UDP, ICMP ou personnalisés.  |   => suggestions : ['']

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Usage: packetforge-ng <mode> <options> |    => suggestions : ['']
224 Mot inconnu : packetforge-ng =>   Usage: packetforge-ng <mode> <options> | packetforge-ng

226 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Forge options: |    => suggestions : ['']

228 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -p <fctrl>     : set frame control word (hex) |        => suggestions : ['']
228 Mot inconnu : frame =>       -p <fctrl>     : set frame control word (hex) | frame
228 Mot inconnu : control =>       -p <fctrl>     : set frame control word (hex) | control
228 Mot inconnu : word =>       -p <fctrl>     : set frame control word (hex) | word
228 Mot inconnu : hex =>       -p <fctrl>     : set frame control word (hex) | hex

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -a <bssid>     : set Access Point MAC address |        => suggestions : ['']
229 Mot inconnu : Access =>       -a <bssid>     : set Access Point MAC address | access
229 Mot inconnu : address =>       -a <bssid>     : set Access Point MAC address | address

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -c <dmac>      : set Destination  MAC address |        => suggestions : ['']
230 Espace(s) surnuméraire(s) à supprimer. =>       -c <dmac>      : set Destination  MAC address |    => suggestions : [' ']
230 Mot inconnu : address =>       -c <dmac>      : set Destination  MAC address | address

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -h <smac>      : set Source       MAC address |        => suggestions : ['']
231 Espace(s) surnuméraire(s) à supprimer. =>       -h <smac>      : set Source       MAC address |         => suggestions : [' ']
231 Mot inconnu : address =>       -h <smac>      : set Source       MAC address | address

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -j             : set FromDS bit |        => suggestions : ['']
232 Espace(s) surnuméraire(s) à supprimer. =>       -j             : set FromDS bit |               => suggestions : [' ']
232 Mot inconnu : FromDS =>       -j             : set FromDS bit | fromds

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -o             : clear ToDS bit |        => suggestions : ['']
233 Espace(s) surnuméraire(s) à supprimer. =>       -o             : clear ToDS bit |               => suggestions : [' ']
233 Mot inconnu : clear =>       -o             : clear ToDS bit | clear
233 Mot inconnu : ToDS =>       -o             : clear ToDS bit | tods

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -e             : disables WEP encryption |        => suggestions : ['']
234 Espace(s) surnuméraire(s) à supprimer. =>       -e             : disables WEP encryption |               => suggestions : [' ']
234 Mot inconnu : disables =>       -e             : disables WEP encryption | disables
234 Mot inconnu : WEP =>       -e             : disables WEP encryption | wep
234 Mot inconnu : encryption =>       -e             : disables WEP encryption | encryption

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -k <ip[:port]> : set Destination IP [Port] |        => suggestions : ['']

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -l <ip[:port]> : set Source      IP [Port] |        => suggestions : ['']
236 Espace(s) surnuméraire(s) à supprimer. =>       -l <ip[:port]> : set Source      IP [Port] |        => suggestions : [' ']

237 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -t ttl         : set Time To Live |        => suggestions : ['']
237 Mot inconnu : ttl =>       -t ttl         : set Time To Live | ttl
237 Espace(s) surnuméraire(s) à supprimer. =>       -t ttl         : set Time To Live |           => suggestions : [' ']
237 Mot inconnu : Time =>       -t ttl         : set Time To Live | time

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -w <file>      : write packet to this pcap file |        => suggestions : ['']
238 Mot inconnu : write =>       -w <file>      : write packet to this pcap file | write
238 Mot inconnu : packet =>       -w <file>      : write packet to this pcap file | packet
238 Mot inconnu : to =>       -w <file>      : write packet to this pcap file | to
238 Mot inconnu : this =>       -w <file>      : write packet to this pcap file | this
238 Mot inconnu : pcap =>       -w <file>      : write packet to this pcap file | pcap

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -s <size>      : specify size of null packet |        => suggestions : ['']
239 Mot inconnu : specify =>       -s <size>      : specify size of null packet | specify
239 Mot inconnu : size =>       -s <size>      : specify size of null packet | size
239 Mot inconnu : of =>       -s <size>      : specify size of null packet | of
239 Mot inconnu : null =>       -s <size>      : specify size of null packet | null
239 Mot inconnu : packet =>       -s <size>      : specify size of null packet | packet

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -n <packets>   : set number of packets to generate |        => suggestions : ['']
240 Mot inconnu : number =>       -n <packets>   : set number of packets to generate | number
240 Mot inconnu : of =>       -n <packets>   : set number of packets to generate | of
240 Mot inconnu : packets =>       -n <packets>   : set number of packets to generate | packets
240 Mot inconnu : to =>       -n <packets>   : set number of packets to generate | to
240 Mot inconnu : generate =>       -n <packets>   : set number of packets to generate | generate

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Source options: |    => suggestions : ['']

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -r <file>      : read packet from this raw file |        => suggestions : ['']
244 Mot inconnu : read =>       -r <file>      : read packet from this raw file | read
244 Mot inconnu : packet =>       -r <file>      : read packet from this raw file | packet
244 Mot inconnu : from =>       -r <file>      : read packet from this raw file | from
244 Mot inconnu : this =>       -r <file>      : read packet from this raw file | this
244 Mot inconnu : raw =>       -r <file>      : read packet from this raw file | raw

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       -y <file>      : read PRGA from this file |        => suggestions : ['']
245 Mot inconnu : read =>       -y <file>      : read PRGA from this file | read
245 Mot inconnu : PRGA =>       -y <file>      : read PRGA from this file | prga
245 Mot inconnu : from =>       -y <file>      : read PRGA from this file | from
245 Mot inconnu : this =>       -y <file>      : read PRGA from this file | this

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Modes: |    => suggestions : ['']

249 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       --arp          : forge an ARP packet    (-0) |        => suggestions : ['']
249 Mot inconnu : arp =>       --arp          : forge an ARP packet    (-0) | arp
249 Espace(s) surnuméraire(s) à supprimer. =>       --arp          : forge an ARP packet    (-0) |            => suggestions : [' ']
249 Mot inconnu : ARP =>       --arp          : forge an ARP packet    (-0) | arp
249 Mot inconnu : packet =>       --arp          : forge an ARP packet    (-0) | packet
249 Espace(s) surnuméraire(s) à supprimer. =>       --arp          : forge an ARP packet    (-0) |      => suggestions : [' ']
249 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>       --arp          : forge an ARP packet    (-0) | -0 => suggestions : ['−0', '– 0', '— 0']

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       --udp          : forge an UDP packet    (-1) |        => suggestions : ['']
250 Mot inconnu : udp =>       --udp          : forge an UDP packet    (-1) | udp
250 Espace(s) surnuméraire(s) à supprimer. =>       --udp          : forge an UDP packet    (-1) |            => suggestions : [' ']
250 Mot inconnu : UDP =>       --udp          : forge an UDP packet    (-1) | udp
250 Mot inconnu : packet =>       --udp          : forge an UDP packet    (-1) | packet
250 Espace(s) surnuméraire(s) à supprimer. =>       --udp          : forge an UDP packet    (-1) |      => suggestions : [' ']
250 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>       --udp          : forge an UDP packet    (-1) | -1 => suggestions : ['−1', '– 1', '— 1']

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       --icmp         : forge an ICMP packet   (-2) |        => suggestions : ['']
251 Mot inconnu : icmp =>       --icmp         : forge an ICMP packet   (-2) | icmp
251 Espace(s) surnuméraire(s) à supprimer. =>       --icmp         : forge an ICMP packet   (-2) |           => suggestions : [' ']
251 Mot inconnu : ICMP =>       --icmp         : forge an ICMP packet   (-2) | icmp
251 Mot inconnu : packet =>       --icmp         : forge an ICMP packet   (-2) | packet
251 Espace(s) surnuméraire(s) à supprimer. =>       --icmp         : forge an ICMP packet   (-2) |     => suggestions : [' ']
251 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>       --icmp         : forge an ICMP packet   (-2) | -2 => suggestions : ['−2', '– 2', '— 2']

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       --null         : build a null packet    (-3) |        => suggestions : ['']
252 Mot inconnu : null =>       --null         : build a null packet    (-3) | null
252 Espace(s) surnuméraire(s) à supprimer. =>       --null         : build a null packet    (-3) |           => suggestions : [' ']
252 Mot inconnu : null =>       --null         : build a null packet    (-3) | null
252 Mot inconnu : packet =>       --null         : build a null packet    (-3) | packet
252 Espace(s) surnuméraire(s) à supprimer. =>       --null         : build a null packet    (-3) |      => suggestions : [' ']
252 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>       --null         : build a null packet    (-3) | -3 => suggestions : ['−3', '– 3', '— 3']

253 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       --custom       : build a custom packet  (-9) |        => suggestions : ['']
253 Espace(s) surnuméraire(s) à supprimer. =>       --custom       : build a custom packet  (-9) |         => suggestions : [' ']
253 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. =>       --custom       : build a custom packet  (-9) | a => suggestions : ['à']
253 Mot inconnu : packet =>       --custom       : build a custom packet  (-9) | packet
253 Espace(s) surnuméraire(s) à supprimer. =>       --custom       : build a custom packet  (-9) |    => suggestions : [' ']
253 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>       --custom       : build a custom packet  (-9) | -9 => suggestions : ['−9', '– 9', '— 9']

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       --help         : Displays this usage screen |        => suggestions : ['']
255 Mot inconnu : help =>       --help         : Displays this usage screen | help
255 Espace(s) surnuméraire(s) à supprimer. =>       --help         : Displays this usage screen |           => suggestions : [' ']
255 Mot inconnu : Displays =>       --help         : Displays this usage screen | displays
255 Mot inconnu : this =>       --help         : Displays this usage screen | this
255 Mot inconnu : screen =>       --help         : Displays this usage screen | screen

257 Mot inconnu : wesside-ng => ==== wesside-ng ==== | wesside-ng

259 Mot inconnu : WEP => Crack automatiquement une clef WEP en essayant toutes les attaques sauf l'attaque CHOPCHOP et à FRAGMENTATION. | wep
259 Mot inconnu : CHOPCHOP => Crack automatiquement une clef WEP en essayant toutes les attaques sauf l'attaque CHOPCHOP et à FRAGMENTATION. | chopchop
260 Mot inconnu : proof-of-concept => Cet outil est avant tout un «proof-of-concept», c'est-à-dire qu'il a pour but de démontrer qu'il est possible de tout automatiser mais n'est pas prévu pour une utilisation courante. Cela peut se traduire par la présence de bugs. Il est donc à éviter si possible. | proof-of-concept

262 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A voir aussi besside-ng.  [[http://trac.aircrack-ng.org/svn/trunk/src/]] | a => suggestions : ['À']
262 Mot inconnu : besside-ng => A voir aussi besside-ng.  [[http://trac.aircrack-ng.org/svn/trunk/src/]] | besside-ng
262 Espace(s) surnuméraire(s) à supprimer. => A voir aussi besside-ng.  [[http://trac.aircrack-ng.org/svn/trunk/src/]] |    => suggestions : [' ']

263 Mot inconnu : Besside-ng => Besside-ng est un outil un peu plus évolué pour un crack WEP ou WPA automatique, il n'est pas présent dans les dépôts. | besside-ng
263 Mot inconnu : WEP => Besside-ng est un outil un peu plus évolué pour un crack WEP ou WPA automatique, il n'est pas présent dans les dépôts. | wep
263 Mot inconnu : WPA => Besside-ng est un outil un peu plus évolué pour un crack WEP ou WPA automatique, il n'est pas présent dans les dépôts. | wpa

265 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A compléter. | a => suggestions : ['À']

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.aircrack-ng.org|Site officiel de aircrack-ng]] |    => suggestions : ['']
272 Élision de l’article devant un mot commençant par une voyelle. =>   * [[http://www.aircrack-ng.org|Site officiel de aircrack-ng]] | de  => suggestions : ['d’']
272 Mot inconnu : aircrack-ng =>   * [[http://www.aircrack-ng.org|Site officiel de aircrack-ng]] | aircrack-ng

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.aircrack-ng.org/doku.php?id=install_aircrack|aircrack-ng.org]] |    => suggestions : ['']
273 Mot inconnu : aircrack-ng =>   * [[http://www.aircrack-ng.org/doku.php?id=install_aircrack|aircrack-ng.org]] | aircrack-ng
