
4 Mot inconnu : DNSCrypt => ====== DNSCrypt ====== | dnscrypt
96 Mot inconnu : dnscrypt-proxy => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | dnscrypt-proxy
96 Mot inconnu : pardéfaut => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | pardéfaut
96 Mot inconnu : dnscrypt-proxy => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | dnscrypt-proxy
96 Guillemets typographiques ouvrants. => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | '' => suggestions : ['«\xa0', '“']
96 Guillemets typographiques fermants. => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | '' => suggestions : ['\xa0»', '”']
96 Guillemets typographiques ouvrants. => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | '' => suggestions : ['«\xa0', '“']
96 Mot inconnu : dnscrypt-proxy => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | dnscrypt-proxy
96 Guillemets typographiques fermants. => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | '' => suggestions : ['\xa0»', '”']
96 Mot inconnu : root => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | root
96 Mot inconnu : dnscrypt-proxy => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | dnscrypt-proxy
96 Il manque un espace. => Afin de transférer vers un cache DNS local, dnscrypt-proxy doit écouter sur un port différent du port 53 pardéfaut, car le cache DNS lui-même doit écouter sur le port 53 et interroger dnscrypt-proxy sur un autre port. Le numéro de port ''5353'' est utilisé à titre d'exemple dans cette section. Dans cet exemple, le numéro de port est supérieur à 1024, de sorte que ''dnscrypt-proxy'' n'est pas a être exécuté par root. Modifiez **dnscrypt-proxy.socket** avec le contenu suivant: | socket => suggestions : [' socket']

98 Mot inconnu : ListenStream => ListenStream= | listenstream

99 Mot inconnu : ListenDatagram => ListenDatagram= | listendatagram

100 Mot inconnu : ListenStream => ListenStream=127.0.2.1:5353 | listenstream

101 Mot inconnu : ListenDatagram => ListenDatagram=127.0.2.1:5353</file> | listendatagram

102 Mot inconnu : UDP => <note important>Le port UDP 5353 est utilisé par Avahi (si installé et en cours d'exécution) et peut provoquer des avertissements dans le journal. Dans ce cas, utilisez le port 5354 par example.</note> | udp
102 Mot inconnu : Avahi => <note important>Le port UDP 5353 est utilisé par Avahi (si installé et en cours d'exécution) et peut provoquer des avertissements dans le journal. Dans ce cas, utilisez le port 5354 par example.</note> | avahi
102 Mot inconnu : example => <note important>Le port UDP 5353 est utilisé par Avahi (si installé et en cours d'exécution) et peut provoquer des avertissements dans le journal. Dans ce cas, utilisez le port 5354 par example.</note> | example

105 Mot inconnu : dnscrypt-proxy => Les configurations suivantes devraient fonctionner avec dnscrypt-proxy et assume qu'il écoute sur le port ''5353''. | dnscrypt-proxy
105 Guillemets typographiques ouvrants. => Les configurations suivantes devraient fonctionner avec dnscrypt-proxy et assume qu'il écoute sur le port ''5353''. | '' => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. => Les configurations suivantes devraient fonctionner avec dnscrypt-proxy et assume qu'il écoute sur le port ''5353''. | '' => suggestions : ['\xa0»', '”']

106 Mot inconnu : Unbound => ==== Unbound ==== | unbound

109 Mot inconnu : do-not-query-localhost => <file - /etc/unbound/unbound.conf>do-not-query-localhost: no | do-not-query-localhost

110 Mot inconnu : forward-zone => forward-zone: | forward-zone

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   name: "." |    => suggestions : ['']
111 Mot inconnu : name =>   name: "." | name
111 Guillemets fermants. =>   name: "." |  " => suggestions : ['\xa0»', '”']
111 Guillemets typographiques fermants. =>   name: "." | " => suggestions : ['\xa0»', '”']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   forward-addr: 127.0.2.1@5353</file> |    => suggestions : ['']
112 Mot inconnu : forward-addr =>   forward-addr: 127.0.2.1@5353</file> | forward-addr

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
114 Guillemets typographiques ouvrants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['«\xa0', '“']
114 Guillemets typographiques fermants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['\xa0»', '”']
114 Guillemets typographiques ouvrants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['«\xa0', '“']
114 Mot inconnu : access-control => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | access-control
114 Mot inconnu : your-network => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | your-network
114 Mot inconnu : subnet-mask => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | subnet-mask
114 Mot inconnu : allow => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | allow
114 Guillemets typographiques fermants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['\xa0»', '”']
114 Guillemets typographiques ouvrants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['«\xa0', '“']
114 Mot inconnu : server => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | server
114 Guillemets typographiques ouvrants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['«\xa0', '“']
114 Mot inconnu : nameserver => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | nameserver
114 Mot inconnu : address-of-your-server => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | address-of-your-server
114 Guillemets typographiques fermants. => <note tip>Si vous configurez un serveur, ajoutez l'interface: ''interface: 0.0.0.0@53'' et ''access-control: your-network/subnet-mask allow'' dans la section ''server:'' section afin que les autres ordinateurs puissent se connecter au serveur. Un client doit être configuré avec ''nameserver address-of-your-server'' dans **/etc/resolv.conf**.</note> | '' => suggestions : ['\xa0»', '”']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Ensuite redémarrez unbound.service pour appliquer les modifications: |   => suggestions : ['']
116 Mot inconnu : unbound =>  Ensuite redémarrez unbound.service pour appliquer les modifications: | unbound
116 Il manque un espace. =>  Ensuite redémarrez unbound.service pour appliquer les modifications: | service => suggestions : [' service']

119 Mot inconnu : dnsmasq => ==== dnsmasq ==== | dnsmasq

120 Mot inconnu : dnsmasq => Configurez dnsmasq en tant que [[#configuration_du_cache_dns|cache DNS local]]. La configuration de base pour fonctionner avec DNSCrypt: | dnsmasq
120 Mot inconnu : DNSCrypt => Configurez dnsmasq en tant que [[#configuration_du_cache_dns|cache DNS local]]. La configuration de base pour fonctionner avec DNSCrypt: | dnscrypt

121 Mot inconnu : no-resolv => <file - /etc/dnsmasq.conf>no-resolv | no-resolv

122 Mot inconnu : server => server=127.0.2.1#5353 | server

123 Mot inconnu : listen-address => listen-address=127.0.0.1</file> | listen-address

124 Mot inconnu : DNSCrypt => Si vous avez configuré DNSCrypt pour utiliser un résolveur avec la validation DNSSEC activée, assurez-vous de l'activer également dans **/etc/dnsmasq.conf**: | dnscrypt
124 Mot inconnu : DNSSEC => Si vous avez configuré DNSCrypt pour utiliser un résolveur avec la validation DNSSEC activée, assurez-vous de l'activer également dans **/etc/dnsmasq.conf**: | dnssec

125 Mot inconnu : proxy-dnssec => <file>proxy-dnssec</file> | proxy-dnssec

126 Mot inconnu : dnsmasq => Redémarrez dnsmasq.service pour appliquer les modifications: | dnsmasq
126 Il manque un espace. => Redémarrez dnsmasq.service pour appliquer les modifications: | service => suggestions : [' service']

129 Mot inconnu : EDNS0 => ==== Activer EDNS0 ==== | edns0

132 Mot inconnu : edns0 => <file>options edns0</file> | edns0

133 Il manque un espace. => Vous pouvez également ajouter ce qui suit à **/etc/dnscrypt-proxy/dnscrypt-proxy.conf**: | conf => suggestions : [' conf']

134 Mot inconnu : EDNSPayloadSize => <file>EDNSPayloadSize <bytes></file> | ednspayloadsize

135 Confusion probable. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Ou <bytes> est un nombre, la taille par défaut étant 1252, avec des valeurs allant jusqu'à 4096 octets, étant présumée sûre. Une valeur inférieure ou égale à 512 octets désactivera ce mécanisme, sauf si un client envoie un paquet avec une section OPT fournissant une taille. | ou => suggestions : ['Où']
135 Mot inconnu : OPT => Ou <bytes> est un nombre, la taille par défaut étant 1252, avec des valeurs allant jusqu'à 4096 octets, étant présumée sûre. Une valeur inférieure ou égale à 512 octets désactivera ce mécanisme, sauf si un client envoie un paquet avec une section OPT fournissant une taille. | opt

136 Mot inconnu : EDNS0 => === Tester EDNS0 === | edns0

137 S’il s’agit d’un impératif, mettez un trait d’union. => Utilisez le [[https://www.dns-oarc.net/oarc/services/replysizetest|serveur de test de taille de réponse DNS]], utilisez l'outil de ligne de commande ''drill'' pour émettre une requête TXT pour le nom ''rs.dns-oarc.net'': | utilisez le => suggestions : ['Utilisez-le']
137 Guillemets typographiques ouvrants. => Utilisez le [[https://www.dns-oarc.net/oarc/services/replysizetest|serveur de test de taille de réponse DNS]], utilisez l'outil de ligne de commande ''drill'' pour émettre une requête TXT pour le nom ''rs.dns-oarc.net'': | '' => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. => Utilisez le [[https://www.dns-oarc.net/oarc/services/replysizetest|serveur de test de taille de réponse DNS]], utilisez l'outil de ligne de commande ''drill'' pour émettre une requête TXT pour le nom ''rs.dns-oarc.net'': | '' => suggestions : ['\xa0»', '”']
137 Mot inconnu : TXT => Utilisez le [[https://www.dns-oarc.net/oarc/services/replysizetest|serveur de test de taille de réponse DNS]], utilisez l'outil de ligne de commande ''drill'' pour émettre une requête TXT pour le nom ''rs.dns-oarc.net'': | txt
137 Mot inconnu : rs => Utilisez le [[https://www.dns-oarc.net/oarc/services/replysizetest|serveur de test de taille de réponse DNS]], utilisez l'outil de ligne de commande ''drill'' pour émettre une requête TXT pour le nom ''rs.dns-oarc.net'': | rs
137 Mot inconnu : dns-oarc => Utilisez le [[https://www.dns-oarc.net/oarc/services/replysizetest|serveur de test de taille de réponse DNS]], utilisez l'outil de ligne de commande ''drill'' pour émettre une requête TXT pour le nom ''rs.dns-oarc.net'': | dns-oarc

139 Mot inconnu : EDNS0 => Avec EDNS0 pris en charge, la "answer section" de la sortie devrait ressembler à ceci: | edns0
139 Guillemets typographiques ouvrants. => Avec EDNS0 pris en charge, la "answer section" de la sortie devrait ressembler à ceci: | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : answer => Avec EDNS0 pris en charge, la "answer section" de la sortie devrait ressembler à ceci: | answer
139 Guillemets typographiques fermants. => Avec EDNS0 pris en charge, la "answer section" de la sortie devrait ressembler à ceci: | " => suggestions : ['\xa0»', '”']

144 Guillemets typographiques ouvrants. => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | " => suggestions : ['«\xa0', '“']
144 Mot inconnu : a00 => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | a00
144 Il manque un espace. => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | d880 => suggestions : [' d880']
144 Mot inconnu : d880 => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | d880
144 Une de ces ponctuations est superflue. => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | :: => suggestions : [':', ':']
144 Mot inconnu : a6c1 => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | a6c1
144 Il manque un espace. => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | 2e89 => suggestions : [' 2e89']
144 Mot inconnu : e89 => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | e89
144 Mot inconnu : EDNS => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | edns
144 Mot inconnu : buffer => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | buffer
144 Mot inconnu : size => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | size
144 Guillemets typographiques fermants. => "2a00:d880:3:1::a6c1:2e89 sent EDNS buffer size 4096"</code> | " => suggestions : ['\xa0»', '”']

146 Mot inconnu : Dnscrypt => ==== Dnscrypt fonctionne avec les privilèges root ==== | dnscrypt
146 Mot inconnu : root => ==== Dnscrypt fonctionne avec les privilèges root ==== | root

151 Mot inconnu : dnscrypt => <file>User dnscrypt</file> | dnscrypt

154 Mot inconnu : dnscrypt => User=dnscrypt | dnscrypt

155 Mot inconnu : CapabilityBoundingSet => CapabilityBoundingSet=CAP_NET_BIND_SERVICE</file> | capabilityboundingset
155 Mot inconnu : CAP_NET_BIND_SERVICE => CapabilityBoundingSet=CAP_NET_BIND_SERVICE</file> | cap_net_bind_service

156 Mot inconnu : Unbound => Cette deuxième option est utile lors de l'utilisation d'un serveur de mise en cache comme Unbound et est préférable, puisque l'unité n'est pas exécutée en tant que root en premier lieu. Si vous avez changé le port vers un non-privilégié (par exemple 5353), ''CapabilityBoundingSet = CAP_NET_BIND_SERVICE'' n'est pas nécessaire. | unbound
156 Mot inconnu : root => Cette deuxième option est utile lors de l'utilisation d'un serveur de mise en cache comme Unbound et est préférable, puisque l'unité n'est pas exécutée en tant que root en premier lieu. Si vous avez changé le port vers un non-privilégié (par exemple 5353), ''CapabilityBoundingSet = CAP_NET_BIND_SERVICE'' n'est pas nécessaire. | root
156 Guillemets typographiques ouvrants. => Cette deuxième option est utile lors de l'utilisation d'un serveur de mise en cache comme Unbound et est préférable, puisque l'unité n'est pas exécutée en tant que root en premier lieu. Si vous avez changé le port vers un non-privilégié (par exemple 5353), ''CapabilityBoundingSet = CAP_NET_BIND_SERVICE'' n'est pas nécessaire. | '' => suggestions : ['«\xa0', '“']
156 Mot inconnu : CapabilityBoundingSet => Cette deuxième option est utile lors de l'utilisation d'un serveur de mise en cache comme Unbound et est préférable, puisque l'unité n'est pas exécutée en tant que root en premier lieu. Si vous avez changé le port vers un non-privilégié (par exemple 5353), ''CapabilityBoundingSet = CAP_NET_BIND_SERVICE'' n'est pas nécessaire. | capabilityboundingset
156 Mot inconnu : CAP_NET_BIND_SERVICE => Cette deuxième option est utile lors de l'utilisation d'un serveur de mise en cache comme Unbound et est préférable, puisque l'unité n'est pas exécutée en tant que root en premier lieu. Si vous avez changé le port vers un non-privilégié (par exemple 5353), ''CapabilityBoundingSet = CAP_NET_BIND_SERVICE'' n'est pas nécessaire. | cap_net_bind_service
156 Guillemets typographiques fermants. => Cette deuxième option est utile lors de l'utilisation d'un serveur de mise en cache comme Unbound et est préférable, puisque l'unité n'est pas exécutée en tant que root en premier lieu. Si vous avez changé le port vers un non-privilégié (par exemple 5353), ''CapabilityBoundingSet = CAP_NET_BIND_SERVICE'' n'est pas nécessaire. | '' => suggestions : ['\xa0»', '”']

158 Mot inconnu : resolv => ==== Divers processus écrasent resolv.conf ==== | resolv
158 Il manque un espace. => ==== Divers processus écrasent resolv.conf ==== | conf => suggestions : [' conf']

160 Mot inconnu : Network => === Avec Network Manager === | network

161 Mot inconnu : NetworkManager => NetworkManager enregistre ses paramètres dans **/etc/NetworkManager/system-connections/nom-de-la-connection**. | networkmanager

162 Mot inconnu : Example => Example pour une connection filaire:  | example
162 Mot inconnu : connection => Example pour une connection filaire:  | connection
162 Espace(s) en fin de ligne à supprimer. => Example pour une connection filaire:  |   => suggestions : ['']

163 Mot inconnu : ethernet => <file - /etc/NetworkManager/system-connections/Wired connection 1>[802-3-ethernet] | ethernet

165 Mot inconnu : mac-address => mac-address=XX:XX:XX:XX:XX:XX | mac-address
165 Il manque un espace. => mac-address=XX:XX:XX:XX:XX:XX | xx => suggestions : [' XX']
165 Il manque un espace. => mac-address=XX:XX:XX:XX:XX:XX | xx => suggestions : [' XX']
165 Il manque un espace. => mac-address=XX:XX:XX:XX:XX:XX | xx => suggestions : [' XX']

167 Mot inconnu : connection => [connection] | connection

168 Mot inconnu : Wired => id=Wired connection 1 | wired
168 Mot inconnu : connection => id=Wired connection 1 | connection

169 Mot inconnu : uuid => uuid=xxx-xxxxxx-xxxxxx-xxxxxx-xxx | uuid
169 Mot inconnu : xxx-xxxxxx-xxxxxx-xxxxxx-xxx => uuid=xxx-xxxxxx-xxxxxx-xxxxxx-xxx | xxx-xxxxxx-xxxxxx-xxxxxx-xxx

170 Mot inconnu : ethernet => type=802-3-ethernet | ethernet

171 Mot inconnu : timestamp => timestamp=1385213042 | timestamp
171 Formatage des grands nombres. => timestamp=1385213042 | 1385213042 => suggestions : ['1\xa0385\xa0213\xa0042', '1385\xa0213-042']

173 Mot inconnu : ipv6 => [ipv6] | ipv6

174 Mot inconnu : method => method=auto | method

176 Mot inconnu : ipv4 => [ipv4] | ipv4

177 Mot inconnu : method => method=auto | method

178 Mot inconnu : dns => dns=127.0.2.1; | dns

179 Mot inconnu : ignore-auto-dns => ignore-auto-dns=true</file> | ignore-auto-dns
179 Mot inconnu : true => ignore-auto-dns=true</file> | true

180 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Cette 1ère solution est a privilégier. | 1ère => suggestions : ['1ʳᵉ']
180 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Cette 1ère solution est a privilégier. | a => suggestions : ['à']
180 Incohérence probable avec “a” : “privilégier” n’est pas un participe passé. => Cette 1ère solution est a privilégier. | privilégier => suggestions : ['privilégié']

183 Mot inconnu : dns => <file>dns=none</file> | dns

186 Mot inconnu : Resolvconf => === Avec Resolvconf === | resolvconf

187 Mot inconnu : resolvconf => Si le programme resolvconf est installé, vous ne devez pas modifier le fichier de configuration resolv.conf manuellement car il sera modifié dynamiquement par les programmes du système. Pour définir manuellement les serveurs de noms (comme avec une interface statique), ajoutez une ligne comme suit dans le fichier de configuration d'interfaces dans **/etc/network/interfaces**: | resolvconf
187 Mot inconnu : resolv => Si le programme resolvconf est installé, vous ne devez pas modifier le fichier de configuration resolv.conf manuellement car il sera modifié dynamiquement par les programmes du système. Pour définir manuellement les serveurs de noms (comme avec une interface statique), ajoutez une ligne comme suit dans le fichier de configuration d'interfaces dans **/etc/network/interfaces**: | resolv
187 Il manque un espace. => Si le programme resolvconf est installé, vous ne devez pas modifier le fichier de configuration resolv.conf manuellement car il sera modifié dynamiquement par les programmes du système. Pour définir manuellement les serveurs de noms (comme avec une interface statique), ajoutez une ligne comme suit dans le fichier de configuration d'interfaces dans **/etc/network/interfaces**: | conf => suggestions : [' conf']
187 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Si le programme resolvconf est installé, vous ne devez pas modifier le fichier de configuration resolv.conf manuellement car il sera modifié dynamiquement par les programmes du système. Pour définir manuellement les serveurs de noms (comme avec une interface statique), ajoutez une ligne comme suit dans le fichier de configuration d'interfaces dans **/etc/network/interfaces**: |  car => suggestions : [', car']

188 Mot inconnu : dns-nameservers => <file>dns-nameservers 127.0.2.1</file> | dns-nameservers
191 Mot inconnu : dhclient3 => Exemple: dhclient3 utilise **/etc/dhcp/dhclient.conf**. Le réglage que vous voulez est | dhclient3

192 Mot inconnu : supersede => <file>supersede domain-name-servers 127.0.2.1;</file> | supersede
192 Mot inconnu : domain-name-servers => <file>supersede domain-name-servers 127.0.2.1;</file> | domain-name-servers

194 Mot inconnu : prepend => <file>prepend domain-name-servers 127.0.2.1;</file> | prepend
194 Mot inconnu : domain-name-servers => <file>prepend domain-name-servers 127.0.2.1;</file> | domain-name-servers

196 Mot inconnu : dhclient => Voir la page de manuel dhclient.conf (5) pour plus de détails. | dhclient
196 Il manque un espace. => Voir la page de manuel dhclient.conf (5) pour plus de détails. | conf => suggestions : [' conf']
199 Espace(s) surnuméraire(s) à supprimer. => Une autre façon (radicale!) de protéger votre /etc/resolv.conf d'être modifié par quoi que ce soit est de  mettre en place la protection en écriture: |    => suggestions : [' ']

202 Mot inconnu : FIXME => FIXME : Trouver une solution plus élegante qui ne contrarie pas le comportement d'autres services | fixme
202 Mot inconnu : élegante => FIXME : Trouver une solution plus élegante qui ne contrarie pas le comportement d'autres services | élegante

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://dnscrypt.info|Site officiel de DNSCrypt]] |    => suggestions : ['']
