1 Mot inconnu : A17 => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== | a17
378 Mot inconnu : laptop-mode-tools => L'installation de [[laptop-mode-tools|Laptop-mode-tools]] permet de doubler à tripler l'autonomie du portable qui se rapproche alors de celle de windows (mais sans atteindre les performances de ce dernier). | laptop-mode-tools

391 Mot inconnu : laptop-mode-tools => Dans ce fichier il suffit de commenter la ligne permet à laptop-mode-tools de gérer la mise en veille des disques : | laptop-mode-tools

400 Mot inconnu : FIXME => Il y a peut-être plus subtil et toute contribution est la bienvenue FIXME. | fixme

404 Guillemets typographiques ouvrants. => === Utiliser le profil "Économies d'énergie" du processeur quand la machine est sur batteries === | " => suggestions : ['«\xa0', '“']
404 Guillemets typographiques fermants. => === Utiliser le profil "Économies d'énergie" du processeur quand la machine est sur batteries === | " => suggestions : ['\xa0»', '”']

427 Mot inconnu : Cpufreq => ==== Cpufreq ==== | cpufreq

430 Mot inconnu : indicator-cpufreq => [[indicator-cpufreq|Indicator-cpufreq]] pour Unity (un redémarrage est nécessaire après installation). | indicator-cpufreq
430 Mot inconnu : Unity => [[indicator-cpufreq|Indicator-cpufreq]] pour Unity (un redémarrage est nécessaire après installation). | unity

434 Accord de genre erroné : « applet » est masculin. => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | une => suggestions : ['Un']
434 Accord de nombre erroné : « tâche » devrait être au pluriel. => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | tâche => suggestions : ['tâches']
434 Une de ces ponctuations est superflue. => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | , . => suggestions : [',', '.']
434 Typographie : points de suspension. Utilisez le caractère dédié. => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | ... => suggestions : ['…']
434 Mot inconnu : Ghz => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | ghz
434 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | 1,7 ghz => suggestions : ['1,7\xa0Ghz']
434 Mot inconnu : Ghz => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | ghz
434 Mot inconnu : Ghz => Une applet apparaît alors dans la barre des tâche et permet par un simple clic de choisir des profils (à la demande, performance, économies d'énergies, ...) ou les fréquences (2.9 Ghz, 1,7 Ghz ou 1.4 Ghz). | ghz

437 Un seul point après « etc. » => Vous pouvez voir les informations sur les fréquences (possibles, utilisées, etc...) avec :  | etc... => suggestions : ['etc.']
437 Espace(s) en fin de ligne à supprimer. => Vous pouvez voir les informations sur les fréquences (possibles, utilisées, etc...) avec :  |   => suggestions : ['']

439 Mot inconnu : multicoeurs => Et extraire juste les fréquences en cours d'utilisation avec (plusieurs lignes pour les processeurs multicoeurs) : | multicoeurs

449 Mot inconnu : Tlp => ==== Tlp / Slimbook-battery ==== | tlp
449 Mot inconnu : Slimbook-battery => ==== Tlp / Slimbook-battery ==== | slimbook-battery

451 Mot inconnu : tlp => Aucun résultat probant n'a pu être obtenu avec [[tlp|TLP]]. Probablement une mauvaise configuration mais [[laptop-mode-tools|Laptop-mode-tools]] a permis un gain significatif sans effort de configuration particulier. | tlp
451 Mot inconnu : laptop-mode-tools => Aucun résultat probant n'a pu être obtenu avec [[tlp|TLP]]. Probablement une mauvaise configuration mais [[laptop-mode-tools|Laptop-mode-tools]] a permis un gain significatif sans effort de configuration particulier. | laptop-mode-tools
453 Mot inconnu : tlp => [[https://slimbook.es/en/tutoriales/aplicaciones-slimbook/398-slimbook-battery-3-application-for-optimize-battery-of-your-laptop|Slimbook-battery]] couplé à [[tlp|TLP]] n'a également montré aucune amélioration notoire. | tlp
457 Mot inconnu : Faustus => ==== Installation du pilote : module Faustus ==== | faustus

473 Pas d’espace après ce signe. => Enlever les modules ( s'ils sont chargés ) :  | (  => suggestions : ['(']
473 Pas d’espace avant ce signe. => Enlever les modules ( s'ils sont chargés ) :  |  ) => suggestions : [')']
473 Espace(s) en fin de ligne à supprimer. => Enlever les modules ( s'ils sont chargés ) :  |   => suggestions : ['']

477 Mot inconnu : dkms => Ne pas oublier dkms :   | dkms
477 Espace(s) en fin de ligne à supprimer. => Ne pas oublier dkms :   |    => suggestions : ['']

507 Mot inconnu : dkms => Installer le module pour dkms : | dkms

515 Mot inconnu : dkms => Pour enlever le module de dkms | dkms

529 Élision de l’article devant un mot commençant par une voyelle. => ==== utilisation de asus_wmi ==== | de  => suggestions : ['d’']
529 Mot inconnu : asus_wmi => ==== utilisation de asus_wmi ==== | asus_wmi

531 Mot inconnu : Gaming => A fonctionné sur un TUF Gaming FA706II_TUF766II. Ne fonctionne pas sur tous les TUF A17 ( voir méthode ci-dessus ) | gaming
531 Mot inconnu : FA706II_TUF766II => A fonctionné sur un TUF Gaming FA706II_TUF766II. Ne fonctionne pas sur tous les TUF A17 ( voir méthode ci-dessus ) | fa706ii_tuf766ii
531 Accord de nombre erroné : « TUF » devrait être au pluriel. => A fonctionné sur un TUF Gaming FA706II_TUF766II. Ne fonctionne pas sur tous les TUF A17 ( voir méthode ci-dessus ) | tuf => suggestions : ['TUFs']
531 Mot inconnu : A17 => A fonctionné sur un TUF Gaming FA706II_TUF766II. Ne fonctionne pas sur tous les TUF A17 ( voir méthode ci-dessus ) | a17
531 Pas d’espace après ce signe. => A fonctionné sur un TUF Gaming FA706II_TUF766II. Ne fonctionne pas sur tous les TUF A17 ( voir méthode ci-dessus ) | (  => suggestions : ['(']
531 Pas d’espace avant ce signe. => A fonctionné sur un TUF Gaming FA706II_TUF766II. Ne fonctionne pas sur tous les TUF A17 ( voir méthode ci-dessus ) |  ) => suggestions : [')']

533 Mot inconnu : asus_wmi => Charger les modules asus_wmi et asus-nb-wmi : | asus_wmi
533 Mot inconnu : asus-nb-wmi => Charger les modules asus_wmi et asus-nb-wmi : | asus-nb-wmi

535 Mot inconnu : modprobe => modprobe -a asus-nb-wmi asus-wmi | modprobe
535 Il manque un espace à côté du tiret. => modprobe -a asus-nb-wmi asus-wmi |  - => suggestions : [' – ', ' — ']
535 Mot inconnu : asus-nb-wmi => modprobe -a asus-nb-wmi asus-wmi | asus-nb-wmi
535 Mot inconnu : asus-wmi => modprobe -a asus-nb-wmi asus-wmi | asus-wmi

537 Mot inconnu : A17-TUF766II-H7246 => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | a17-tuf766ii-h7246
537 Mot inconnu : sys => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | sys
537 Mot inconnu : asus_nb_wmi => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | asus_nb_wmi
537 Mot inconnu : sys => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | sys
537 Mot inconnu : asus_wmi => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | asus_wmi
537 Mot inconnu : sys => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | sys
537 Mot inconnu : ices => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | ices
537 Mot inconnu : platform => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | platform
537 Mot inconnu : asus-nb-wmi => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | asus-nb-wmi
537 Mot inconnu : sys => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | sys
537 Mot inconnu : kernel => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | kernel
537 Mot inconnu : debug => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | debug
537 Mot inconnu : asus-nb-wmi => Cela a créé sur un ASUS A17-TUF766II-H7246 les dossiers /sys/module/asus_nb_wmi et /sys/module/asus_wmi et /sys/devices/platform/asus-nb-wmi/ et /sys/kernel/debug/asus-nb-wmi | asus-nb-wmi

540 Mot inconnu : sys => /sys/class/leds/asus::kbd_backlight  | sys
540 Mot inconnu : class => /sys/class/leds/asus::kbd_backlight  | class
540 Mot inconnu : leds => /sys/class/leds/asus::kbd_backlight  | leds
540 Mot inconnu : asus => /sys/class/leds/asus::kbd_backlight  | asus
540 Une de ces ponctuations est superflue. => /sys/class/leds/asus::kbd_backlight  | :: => suggestions : [':', ':']
540 Mot inconnu : kbd_backlight => /sys/class/leds/asus::kbd_backlight  | kbd_backlight
540 Espace(s) en fin de ligne à supprimer. => /sys/class/leds/asus::kbd_backlight  |   => suggestions : ['']

542 Mot inconnu : sys => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | sys
542 Mot inconnu : ices => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | ices
542 Mot inconnu : platform => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | platform
542 Mot inconnu : asus-nb-wmi => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | asus-nb-wmi
542 Mot inconnu : leds => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | leds
542 Mot inconnu : asus => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | asus
542 Une de ces ponctuations est superflue. => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | :: => suggestions : [':', ':']
542 Mot inconnu : kbd_backlight => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight | kbd_backlight

544 Espace(s) en fin de ligne à supprimer. => Au final, puisque  |   => suggestions : ['']

545 Mot inconnu : sys => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | sys
545 Mot inconnu : ices => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | ices
545 Mot inconnu : platform => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | platform
545 Mot inconnu : asus-nb-wmi => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | asus-nb-wmi
545 Mot inconnu : leds => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | leds
545 Mot inconnu : asus => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | asus
545 Une de ces ponctuations est superflue. => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | :: => suggestions : [':', ':']
545 Mot inconnu : kbd_backlight => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | kbd_backlight
545 Mot inconnu : max_brightness => /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/max_brightness contient la valeur 3 | max_brightness
547 Espace(s) en fin de ligne à supprimer. => je peux changer la lumière du clavier avec 0,1,2,3 :  |   => suggestions : ['']

549 Mot inconnu : echo => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | echo
549 Mot inconnu : sys => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | sys
549 Mot inconnu : ices => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | ices
549 Mot inconnu : platform => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | platform
549 Mot inconnu : asus-nb-wmi => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | asus-nb-wmi
549 Mot inconnu : leds => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | leds
549 Mot inconnu : asus => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | asus
549 Une de ces ponctuations est superflue. => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | :: => suggestions : [':', ':']
549 Mot inconnu : kbd_backlight => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | kbd_backlight
549 Mot inconnu : brightness => echo 0 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # éteint | brightness

551 Mot inconnu : echo => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | echo
551 Mot inconnu : sys => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | sys
551 Mot inconnu : ices => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | ices
551 Mot inconnu : platform => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | platform
551 Mot inconnu : asus-nb-wmi => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | asus-nb-wmi
551 Mot inconnu : leds => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | leds
551 Mot inconnu : asus => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | asus
551 Une de ces ponctuations est superflue. => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | :: => suggestions : [':', ':']
551 Mot inconnu : kbd_backlight => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | kbd_backlight
551 Mot inconnu : brightness => echo 3 > /sys/devices/platform/asus-nb-wmi/leds/asus::kbd_backlight/brightness # allumé puissance maximale | brightness

555 Mot inconnu : Faustus => <note>Ces deux interfaces graphiques ont fonctionné correctement avec le pilote **Faustus** dont l'installation est décrite précédemment.</note> | faustus

557 Mot inconnu : OpenRGB => === OpenRGB === | openrgb

561 Incohérence avec “de le” : “fichier” est un nom ou un adjectif. => Télécharger et installer de le fichier .deb de la dernière version ici : https://gitlab.com/CalcProgrammer1/OpenRGB/-/jobs/artifacts/master/download?job=build_linux_deb64 | de le => suggestions : ['du']
561 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Télécharger et installer de le fichier .deb de la dernière version ici : https://gitlab.com/CalcProgrammer1/OpenRGB/-/jobs/artifacts/master/download?job=build_linux_deb64 |  . => suggestions : ['. ', '.']
561 Mot inconnu : deb => Télécharger et installer de le fichier .deb de la dernière version ici : https://gitlab.com/CalcProgrammer1/OpenRGB/-/jobs/artifacts/master/download?job=build_linux_deb64 | deb

569 Mot inconnu : OpenRGB => <note tip> Pour démarrer OpenRGB automatiquement avec une icône dans la barre des tâches : | openrgb

584 Mot inconnu : OpenRGB => Au prochain démarrage OpenRGB sera lancé automatiquement. | openrgb

590 Mot inconnu : TUF-control => === TUF-control (alternative) === | tuf-control

592 Mot inconnu : TUF-control => Une autre interface graphique nommée TUF-control est disponible sur github https://github.com/icodelifee/TUF-Control | tuf-control
592 Mot inconnu : github => Une autre interface graphique nommée TUF-control est disponible sur github https://github.com/icodelifee/TUF-Control | github

631 Mot inconnu : bluetooth => ==== Problème bluetooth ==== | bluetooth

633 Mot inconnu : mainline => Le bug a été **corrigé à partir de la version 5.10.6** du noyau mainline le 10/01/2021 (car le bluetooth ne fonctionnait plus du noyau 5.9.1 au noyau 5.10.5). | mainline
633 Mot inconnu : bluetooth => Le bug a été **corrigé à partir de la version 5.10.6** du noyau mainline le 10/01/2021 (car le bluetooth ne fonctionnait plus du noyau 5.9.1 au noyau 5.10.5). | bluetooth

641 Mot inconnu : freeze => ==== Problèmes de freeze provoqué par certains disques SSD ==== | freeze

643 Espace(s) surnuméraire(s) à supprimer. => <note tip>Si vous  constatez que le système se **bloque complètement (freeze)** appliquez la modification ci-dessous pour que le système prennent correctement en compte votre SSD.</note> |    => suggestions : [' ']
643 Mot inconnu : freeze => <note tip>Si vous  constatez que le système se **bloque complètement (freeze)** appliquez la modification ci-dessous pour que le système prennent correctement en compte votre SSD.</note> | freeze
643 Conjugaison erronée. Accord avec “le système…”. Le verbe devrait être à la 3ᵉ personne du singulier. => <note tip>Si vous  constatez que le système se **bloque complètement (freeze)** appliquez la modification ci-dessous pour que le système prennent correctement en compte votre SSD.</note> | prennent => suggestions : ['prend']

667 Mot inconnu : usb => Si lors de la mise en veille de votre machine celle-ci se réveille sans raison, suivez cette procédure qui a pour but d'éteindre l'usb. | usb

697 Mot inconnu : ethernet => Si au réveil vous rencontrer des problèmes avec l'ethernet qui ne fonctionne plus au réveil, coller le code ci-dessous dans le fichier /etc/pm/sleep.d/80_restart_r8169 | ethernet

716 Élision de l’article devant un mot commençant par une voyelle. => Et rendez le exécutable. | le  => suggestions : ['l’']

724 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => <note warning>Ce paragraphe est à revoir car le paramètre apm, même en 255, n'a aucune incidence sur le temps avant la mise en veille quad la machine est sur batterie. Quelques chose d'autre dans le système doit gérer ça.</note> |  car => suggestions : [', car']
724 Mot inconnu : apm => <note warning>Ce paragraphe est à revoir car le paramètre apm, même en 255, n'a aucune incidence sur le temps avant la mise en veille quad la machine est sur batterie. Quelques chose d'autre dans le système doit gérer ça.</note> | apm
724 Accord de nombre erroné : « chose » devrait être au pluriel. => <note warning>Ce paragraphe est à revoir car le paramètre apm, même en 255, n'a aucune incidence sur le temps avant la mise en veille quad la machine est sur batterie. Quelques chose d'autre dans le système doit gérer ça.</note> | chose => suggestions : ['choses']

726 Mot inconnu : A17 => <note>Ne concerne que la version du A17 avec un disque NVME **et un disque dur "classique"**.</note> | a17
726 Mot inconnu : NVME => <note>Ne concerne que la version du A17 avec un disque NVME **et un disque dur "classique"**.</note> | nvme
726 Guillemets typographiques ouvrants. => <note>Ne concerne que la version du A17 avec un disque NVME **et un disque dur "classique"**.</note> | " => suggestions : ['«\xa0', '“']
726 Guillemets typographiques fermants. => <note>Ne concerne que la version du A17 avec un disque NVME **et un disque dur "classique"**.</note> | " => suggestions : ['\xa0»', '”']

733 Mot inconnu : FIXME => FIXME : Toutes ces modifications sont ignorées par le système. Paragraphe en cours d'étude... Toute idée bienvenue. | fixme
733 Typographie : points de suspension. Utilisez le caractère dédié. => FIXME : Toutes ces modifications sont ignorées par le système. Paragraphe en cours d'étude... Toute idée bienvenue. | ... => suggestions : ['…']

735 Mot inconnu : APM => Commencez par vérifier le niveau APM du disque : | apm

743 Mot inconnu : oeuvre => Si vous entendez un petit clac à chaque fois et voyez le compteur augmenter 1 alors vous êtes dans le cas d'un disque qui se met trop rapidement en veille. Mettez en oeuvre ce qui suit pour éviter ces redémarrages intempestifs. | oeuvre

771 Typographie : points de suspension. Utilisez le caractère dédié. => <note warning>Difficile d'obtenir un résultat satisfaisant et compréhensible avec cette méthode...</note> | ... => suggestions : ['…']

785 Accord de genre erroné : « paramètres » est masculin. => Vous pouvez adapter la paramètres à vos usages en consultant les détails ci-dessous. | la => suggestions : ['le']
785 Accord de genre erroné : « la » est un déterminant féminin. => Vous pouvez adapter la paramètres à vos usages en consultant les détails ci-dessous. | paramètres => suggestions : ['paramétrée']

787 Mot inconnu : APM => **Paramètres pour l'APM (Advanced Power Management) :** | apm
787 Mot inconnu : Advanced => **Paramètres pour l'APM (Advanced Power Management) :** | advanced
787 Mot inconnu : Power => **Paramètres pour l'APM (Advanced Power Management) :** | power

792 Mot inconnu : FIXME => FIXME Incorrect car le paramètre 128 permet le parcage des têtes | fixme
792 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => FIXME Incorrect car le paramètre 128 permet le parcage des têtes |  car => suggestions : [', car']

800 Espace(s) surnuméraire(s) à supprimer. => ==== Message lié à l'hibernation  ==== |    => suggestions : [' ']

837 Mot inconnu : init => === Erreur PPM init failed (-110) === | init
837 Mot inconnu : failed => === Erreur PPM init failed (-110) === | failed
837 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => === Erreur PPM init failed (-110) === | -110 => suggestions : ['−110', '– 110', '— 110']

839 Espace(s) surnuméraire(s) à supprimer. => Si vous obtenez au démarrage ce message,  il faut apparemment passer l'option "nomodeset" à grub ce qu'une installation correcte des pilotes nvidia fait automatiquement. |    => suggestions : [' ']
839 Guillemets typographiques ouvrants. => Si vous obtenez au démarrage ce message,  il faut apparemment passer l'option "nomodeset" à grub ce qu'une installation correcte des pilotes nvidia fait automatiquement. | " => suggestions : ['«\xa0', '“']
839 Mot inconnu : nomodeset => Si vous obtenez au démarrage ce message,  il faut apparemment passer l'option "nomodeset" à grub ce qu'une installation correcte des pilotes nvidia fait automatiquement. | nomodeset
839 Guillemets typographiques fermants. => Si vous obtenez au démarrage ce message,  il faut apparemment passer l'option "nomodeset" à grub ce qu'une installation correcte des pilotes nvidia fait automatiquement. | " => suggestions : ['\xa0»', '”']
839 Mot inconnu : grub => Si vous obtenez au démarrage ce message,  il faut apparemment passer l'option "nomodeset" à grub ce qu'une installation correcte des pilotes nvidia fait automatiquement. | grub
839 Mot inconnu : nvidia => Si vous obtenez au démarrage ce message,  il faut apparemment passer l'option "nomodeset" à grub ce qu'une installation correcte des pilotes nvidia fait automatiquement. | nvidia

847 Espace(s) surnuméraire(s) à supprimer. => === Méthode 1  === |    => suggestions : [' ']

849 Mot inconnu : is => Si la machine ne s'arrête pas et que vous obtenez un message comme "**a stop job is running**" il faudrait idéalement trouver le processus qui bloque l'arrêt. Ceci étant fastidieux il semblerait que l'installation de **watchdog** résolve le problème : | is
849 Mot inconnu : watchdog => Si la machine ne s'arrête pas et que vous obtenez un message comme "**a stop job is running**" il faudrait idéalement trouver le processus qui bloque l'arrêt. Ceci étant fastidieux il semblerait que l'installation de **watchdog** résolve le problème : | watchdog

856 Espace(s) surnuméraire(s) à supprimer. => === Méthode 2  === |    => suggestions : [' ']
869 Espace(s) en fin de ligne à supprimer. => Sources :  |   => suggestions : ['']

873 Espace(s) surnuméraire(s) à supprimer. => ==== Prolonger la durée de vie de la batterie  ==== |    => suggestions : [' ']
877 Mot inconnu : BAT0 => N.B. : il faut remplacer BAT0 par BAT1 dans les lignes ci-dessous | bat0
877 Incohérence avec “par” : “BAT” est une forme verbale conjuguée. => N.B. : il faut remplacer BAT0 par BAT1 dans les lignes ci-dessous | bat => suggestions : ['Battes', 'Battues', 'Battue', 'Battant', 'Batte']
877 Mot inconnu : BAT1 => N.B. : il faut remplacer BAT0 par BAT1 dans les lignes ci-dessous | bat1
879 Espace(s) en fin de ligne à supprimer. => Sources :  |   => suggestions : ['']
