
5 Mot inconnu : Stardict => ====== Stardict ====== | stardict
124 Guillemets typographiques fermants. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | " => suggestions : ['\xa0»', '”']
124 Guillemets typographiques ouvrants. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | " => suggestions : ['«\xa0', '“']
124 Guillemets typographiques fermants. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | " => suggestions : ['\xa0»', '”']
124 Écriture invariable. Utilisez un point médian. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | dictionnaire(s) => suggestions : ['dictionnaire·s']
124 Guillemets typographiques ouvrants. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | " => suggestions : ['«\xa0', '“']
124 Guillemets typographiques fermants. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | " => suggestions : ['\xa0»', '”']

129 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Connaître les caractéristiques d'un dictionnaire (auteur, licence...) ==== | ... => suggestions : ['…']

130 Guillemets typographiques ouvrants. => Si le fichier "ifo" a été correctement renseigné par l'auteur lors de la création du dictionnaire, vous trouverez les informations utiles comme suit : | " => suggestions : ['«\xa0', '“']
130 Mot inconnu : ifo => Si le fichier "ifo" a été correctement renseigné par l'auteur lors de la création du dictionnaire, vous trouverez les informations utiles comme suit : | ifo
130 Guillemets typographiques fermants. => Si le fichier "ifo" a été correctement renseigné par l'auteur lors de la création du dictionnaire, vous trouverez les informations utiles comme suit : | " => suggestions : ['\xa0»', '”']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans la gestion des dictionnaires (icône du bas à droite), |    => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bouton **Gestion des Dictionnaires**, |    => suggestions : ['']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sélectionnez dans la liste le dictionnaire dont vous souhaitez connaître les caractéristiques, |    => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur l'icône **i** à droite ou faites un double clic dessus, |    => suggestions : ['']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

140 Mot inconnu : WyabdcRealPeopleTTS => Pour pouvoir prononcer certains mots (uniquement en anglais) on peut installer le paquet **WyabdcRealPeopleTTS**. Il est composé d'un ensemble de mot au format **wav**. | wyabdcrealpeopletts

148 Mot inconnu : TTS => === Méthode de la commande TTS === | tts

150 Mot inconnu : StarDict => Dans les préférences de StarDict champs //Dictionnaire -> Son// cochez la case //Utiliser le programme TTS// puis dans le champs **Ligne de Commande** choisissez une commande dans la liste déroulante. (espeak est installé par défaut dans Ubuntu). | stardict
150 Mot inconnu : TTS => Dans les préférences de StarDict champs //Dictionnaire -> Son// cochez la case //Utiliser le programme TTS// puis dans le champs **Ligne de Commande** choisissez une commande dans la liste déroulante. (espeak est installé par défaut dans Ubuntu). | tts
150 Accord de nombre erroné : « champs » est au pluriel. => Dans les préférences de StarDict champs //Dictionnaire -> Son// cochez la case //Utiliser le programme TTS// puis dans le champs **Ligne de Commande** choisissez une commande dans la liste déroulante. (espeak est installé par défaut dans Ubuntu). | le => suggestions : ['les']
150 Accord de nombre erroné : « champs » devrait être au singulier. => Dans les préférences de StarDict champs //Dictionnaire -> Son// cochez la case //Utiliser le programme TTS// puis dans le champs **Ligne de Commande** choisissez une commande dans la liste déroulante. (espeak est installé par défaut dans Ubuntu). | champs => suggestions : ['champ']
150 Mot inconnu : espeak => Dans les préférences de StarDict champs //Dictionnaire -> Son// cochez la case //Utiliser le programme TTS// puis dans le champs **Ligne de Commande** choisissez une commande dans la liste déroulante. (espeak est installé par défaut dans Ubuntu). | espeak

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. |    => suggestions : ['']
154 Mot inconnu : stardict =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | stardict
154 Mot inconnu : espeak =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | espeak
154 Mot inconnu : cfg =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | cfg
154 Mot inconnu : voice =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | voice
154 Mot inconnu : mb =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | mb
154 Mot inconnu : mb-fr1 =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | mb-fr1
154 Mot inconnu : StarDict =>   * Éditez le fichier **~/.stardict/espeak.cfg** dans votre **Dossier Personnel** et ajoutez après //voice=// //mb/mb-fr1// puis relancez StarDict. | stardict

158 Pas d’espace avant ce signe. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". |  ) => suggestions : [')']
158 Guillemets typographiques ouvrants. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". | " => suggestions : ['\xa0»', '”']
158 Guillemets typographiques ouvrants. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". | " => suggestions : ['\xa0»', '”']
158 Guillemets typographiques ouvrants. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Il peut être utile de créer des groupes de dictionnaires (afin de n'en activer qu'un ) : par exemple, on comprend bien l'intérêt d'un groupe "dictionnaires de français", d'un groupe "traduction du finnois", et d'un groupe "traduction de langues germaniques". | " => suggestions : ['\xa0»', '”']

162 Espace(s) surnuméraire(s) à supprimer. => Pour intégrer des dictionnaires dans un  groupe, allez dans le sous-groupe qui vous intéresse (recherche dict ou scan dict), puis cliquez de nouveau sur **+**, et sélectionnez les dictionnaires désirés. |    => suggestions : [' ']
162 Mot inconnu : dict => Pour intégrer des dictionnaires dans un  groupe, allez dans le sous-groupe qui vous intéresse (recherche dict ou scan dict), puis cliquez de nouveau sur **+**, et sélectionnez les dictionnaires désirés. | dict
162 Mot inconnu : dict => Pour intégrer des dictionnaires dans un  groupe, allez dans le sous-groupe qui vous intéresse (recherche dict ou scan dict), puis cliquez de nouveau sur **+**, et sélectionnez les dictionnaires désirés. | dict

169 Mot inconnu : StarDict => Quelques informations sur le format des dictionnaires StarDict.  | stardict
169 Espace(s) en fin de ligne à supprimer. => Quelques informations sur le format des dictionnaires StarDict.  |   => suggestions : ['']

171 Mot inconnu : StarDict => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | stardict
171 Guillemets fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. |  '' => suggestions : ['\xa0»', '”']
171 Mot inconnu : ifo => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | ifo
171 Guillemets typographiques fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | '' => suggestions : ['\xa0»', '”']
171 Guillemets fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. |  '' => suggestions : ['\xa0»', '”']
171 Mot inconnu : idx => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | idx
171 Guillemets typographiques fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | '' => suggestions : ['\xa0»', '”']
171 Guillemets fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. |  '' => suggestions : ['\xa0»', '”']
171 Mot inconnu : idx => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | idx
171 Mot inconnu : gz => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | gz
171 Guillemets typographiques fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | '' => suggestions : ['\xa0»', '”']
171 Guillemets fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. |  '' => suggestions : ['\xa0»', '”']
171 Mot inconnu : dict => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | dict
171 Mot inconnu : dz => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | dz
171 Guillemets typographiques fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | '' => suggestions : ['\xa0»', '”']
171 Guillemets fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. |  '' => suggestions : ['\xa0»', '”']
171 Mot inconnu : dict => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | dict
171 Guillemets typographiques fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | '' => suggestions : ['\xa0»', '”']
171 Guillemets fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. |  '' => suggestions : ['\xa0»', '”']
171 Mot inconnu : syn => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | syn
171 Guillemets typographiques fermants. => Pour ouvrir un dictionnaire, StarDict va chercher l'extension ''.ifo'', puis ouvrir le fichier ''.idx'' ou ''.idx.gz'' et le fichier ''.dict.dz'' ou ''.dict'' qui est dans le même répertoire et avec le même nom. Il peut y avoir un fichier ''.syn'' non obligatoire. | '' => suggestions : ['\xa0»', '”']

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fichier ''.ifo'' ressemble à ceci : <file> |    => suggestions : ['']
173 Guillemets fermants. =>   * Le fichier ''.ifo'' ressemble à ceci : <file> |  '' => suggestions : ['\xa0»', '”']
173 Mot inconnu : ifo =>   * Le fichier ''.ifo'' ressemble à ceci : <file> | ifo
173 Guillemets typographiques fermants. =>   * Le fichier ''.ifo'' ressemble à ceci : <file> | '' => suggestions : ['\xa0»', '”']

174 Mot inconnu : StarDict's => StarDict's dict ifo file | stardict's
174 Mot inconnu : dict => StarDict's dict ifo file | dict
174 Mot inconnu : ifo => StarDict's dict ifo file | ifo

177 Mot inconnu : bookname => bookname= requis | bookname

178 Mot inconnu : wordcount => wordcount= requis | wordcount

179 Mot inconnu : synwordcount => synwordcount= requis si le fichier ".syn" existe | synwordcount
179 Guillemets fermants. => synwordcount= requis si le fichier ".syn" existe |  " => suggestions : ['\xa0»', '”']
179 Mot inconnu : syn => synwordcount= requis si le fichier ".syn" existe | syn
179 Guillemets typographiques fermants. => synwordcount= requis si le fichier ".syn" existe | " => suggestions : ['\xa0»', '”']

180 Mot inconnu : idxfilesize => idxfilesize=  requis | idxfilesize

181 Mot inconnu : sametypesequence => sametypesequence= très important mais non obligatoire | sametypesequence

183 Mot inconnu : author => author= | author

184 Mot inconnu : email => email= | email

185 Mot inconnu : website => website= | website

188 Guillemets typographiques ouvrants. => Si l'option de ''sametypesequence'' est placée, elle indique à StarDict que les données de chaque mot dans le dossier de .dict auront le même type de données. | '' => suggestions : ['«\xa0', '“']
188 Mot inconnu : sametypesequence => Si l'option de ''sametypesequence'' est placée, elle indique à StarDict que les données de chaque mot dans le dossier de .dict auront le même type de données. | sametypesequence
188 Guillemets typographiques fermants. => Si l'option de ''sametypesequence'' est placée, elle indique à StarDict que les données de chaque mot dans le dossier de .dict auront le même type de données. | '' => suggestions : ['\xa0»', '”']
188 Mot inconnu : StarDict => Si l'option de ''sametypesequence'' est placée, elle indique à StarDict que les données de chaque mot dans le dossier de .dict auront le même type de données. | stardict
188 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si l'option de ''sametypesequence'' est placée, elle indique à StarDict que les données de chaque mot dans le dossier de .dict auront le même type de données. |  . => suggestions : ['. ', '.']
188 Mot inconnu : dict => Si l'option de ''sametypesequence'' est placée, elle indique à StarDict que les données de chaque mot dans le dossier de .dict auront le même type de données. | dict

189 Guillemets typographiques ouvrants. => Chaque dictionnaire devrait essayer d'employer le dispositif de ''sametypesequence'' pour économiser l'espace disque.\\ | '' => suggestions : ['«\xa0', '“']
189 Mot inconnu : sametypesequence => Chaque dictionnaire devrait essayer d'employer le dispositif de ''sametypesequence'' pour économiser l'espace disque.\\ | sametypesequence
189 Guillemets typographiques fermants. => Chaque dictionnaire devrait essayer d'employer le dispositif de ''sametypesequence'' pour économiser l'espace disque.\\ | '' => suggestions : ['\xa0»', '”']
190 Espace(s) en fin de ligne à supprimer. => Exemples :  |   => suggestions : ['']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 'm' : les mots sont du texte pur au format utf-8 finissant par '\0'. |    => suggestions : ['']
191 Guillemets typographiques ouvrants. =>   * 'm' : les mots sont du texte pur au format utf-8 finissant par '\0'. | ' => suggestions : ['“', '‘', '‹']
191 Guillemets typographiques fermants. =>   * 'm' : les mots sont du texte pur au format utf-8 finissant par '\0'. | ' => suggestions : ['”', '’', '›']
191 Mot inconnu : utf-8 =>   * 'm' : les mots sont du texte pur au format utf-8 finissant par '\0'. | utf-8

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 'h' : format hypertexte. |    => suggestions : ['']
192 Guillemets typographiques ouvrants. =>   * 'h' : format hypertexte. | ' => suggestions : ['“', '‘', '‹']
192 Guillemets typographiques fermants. =>   * 'h' : format hypertexte. | ' => suggestions : ['”', '’', '›']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 'x' : dictionnaire converti à partir d'un fichier xdxf (cf l'utilitaire **makedict** ci-dessous), ce qui permet des indications de style (cf [[http://xdxf.sourceforge.net|le site xdxf]]). |    => suggestions : ['']
193 Guillemets typographiques ouvrants. =>   * 'x' : dictionnaire converti à partir d'un fichier xdxf (cf l'utilitaire **makedict** ci-dessous), ce qui permet des indications de style (cf [[http://xdxf.sourceforge.net|le site xdxf]]). | ' => suggestions : ['“', '‘', '‹']
193 Guillemets typographiques fermants. =>   * 'x' : dictionnaire converti à partir d'un fichier xdxf (cf l'utilitaire **makedict** ci-dessous), ce qui permet des indications de style (cf [[http://xdxf.sourceforge.net|le site xdxf]]). | ' => suggestions : ['”', '’', '›']
193 Mot inconnu : xdxf =>   * 'x' : dictionnaire converti à partir d'un fichier xdxf (cf l'utilitaire **makedict** ci-dessous), ce qui permet des indications de style (cf [[http://xdxf.sourceforge.net|le site xdxf]]). | xdxf
193 Mot inconnu : makedict =>   * 'x' : dictionnaire converti à partir d'un fichier xdxf (cf l'utilitaire **makedict** ci-dessous), ce qui permet des indications de style (cf [[http://xdxf.sourceforge.net|le site xdxf]]). | makedict
193 Mot inconnu : xdxf =>   * 'x' : dictionnaire converti à partir d'un fichier xdxf (cf l'utilitaire **makedict** ci-dessous), ce qui permet des indications de style (cf [[http://xdxf.sourceforge.net|le site xdxf]]). | xdxf

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  |    => suggestions : ['']
194 Guillemets typographiques ouvrants. =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  | ' => suggestions : ['“', '‘', '‹']
194 Guillemets typographiques fermants. =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  | ' => suggestions : ['”', '’', '›']
194 Mot inconnu : pango =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  | pango
194 Mot inconnu : Pango =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  | pango
194 Mot inconnu : markup =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  | markup
194 Mot inconnu : language =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  | language
194 Espace(s) en fin de ligne à supprimer. =>   * 'g' : dictionnaire créé en utilisant les informations de style de pango: cf [[http://www.moeraki.com/pygtkreference/pygtk2reference/pango-markup-language.html|Pango markup language]].  |   => suggestions : ['']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fichier ''.idx'' est une liste de noms. |    => suggestions : ['']
195 Guillemets fermants. =>   * Le fichier ''.idx'' est une liste de noms. |  '' => suggestions : ['\xa0»', '”']
195 Mot inconnu : idx =>   * Le fichier ''.idx'' est une liste de noms. | idx
195 Guillemets typographiques fermants. =>   * Le fichier ''.idx'' est une liste de noms. | '' => suggestions : ['\xa0»', '”']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fichier ''.syn'' contient des informations pour les synonymes, ce qui signifie que quand vous rentrez un synonyme, StarDict va chercher un autre mot en relation avec lui. |    => suggestions : ['']
196 Guillemets fermants. =>   * Le fichier ''.syn'' contient des informations pour les synonymes, ce qui signifie que quand vous rentrez un synonyme, StarDict va chercher un autre mot en relation avec lui. |  '' => suggestions : ['\xa0»', '”']
196 Mot inconnu : syn =>   * Le fichier ''.syn'' contient des informations pour les synonymes, ce qui signifie que quand vous rentrez un synonyme, StarDict va chercher un autre mot en relation avec lui. | syn
196 Guillemets typographiques fermants. =>   * Le fichier ''.syn'' contient des informations pour les synonymes, ce qui signifie que quand vous rentrez un synonyme, StarDict va chercher un autre mot en relation avec lui. | '' => suggestions : ['\xa0»', '”']
196 Mot inconnu : StarDict =>   * Le fichier ''.syn'' contient des informations pour les synonymes, ce qui signifie que quand vous rentrez un synonyme, StarDict va chercher un autre mot en relation avec lui. | stardict

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. |    => suggestions : ['']
197 Guillemets fermants. =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. |  '' => suggestions : ['\xa0»', '”']
