
6 Mot inconnu : Diablo => ====== Diablo II et Lord Of Destruction ====== | diablo
183 Guillemets typographiques ouvrants. => 5) Vous mettez "Alt" pour voir les objets par terre et vous cliquez dessus et que le personnages refuse d'aller prendre l'objet et ne bouge pas ? Essayez de changer la version de Wine ou de jouer avec le CD. | " => suggestions : ['«\xa0', '“']
183 Guillemets typographiques fermants. => 5) Vous mettez "Alt" pour voir les objets par terre et vous cliquez dessus et que le personnages refuse d'aller prendre l'objet et ne bouge pas ? Essayez de changer la version de Wine ou de jouer avec le CD. | " => suggestions : ['\xa0»', '”']
183 Accord de nombre erroné : « personnages » est au pluriel. => 5) Vous mettez "Alt" pour voir les objets par terre et vous cliquez dessus et que le personnages refuse d'aller prendre l'objet et ne bouge pas ? Essayez de changer la version de Wine ou de jouer avec le CD. | le => suggestions : ['les']
183 Accord de nombre erroné : « personnages » devrait être au singulier. => 5) Vous mettez "Alt" pour voir les objets par terre et vous cliquez dessus et que le personnages refuse d'aller prendre l'objet et ne bouge pas ? Essayez de changer la version de Wine ou de jouer avec le CD. | personnages => suggestions : ['personnage']
183 Mot inconnu : Wine => 5) Vous mettez "Alt" pour voir les objets par terre et vous cliquez dessus et que le personnages refuse d'aller prendre l'objet et ne bouge pas ? Essayez de changer la version de Wine ou de jouer avec le CD. | wine

189 Mot inconnu : tutorial => J'espère que ce tutorial vous aura aidé! Pour d'éventuelles questions et/ou oubli dans le tutorial, faites-le moi remarquer sur le forum ! :) | tutorial
189 Mot inconnu : tutorial => J'espère que ce tutorial vous aura aidé! Pour d'éventuelles questions et/ou oubli dans le tutorial, faites-le moi remarquer sur le forum ! :) | tutorial
189 S’il s’agit d’un impératif, mettez un trait d’union. => J'espère que ce tutorial vous aura aidé! Pour d'éventuelles questions et/ou oubli dans le tutorial, faites-le moi remarquer sur le forum ! :) | faites-le moi => suggestions : ['faites-le-moi']

206 Guillemets typographiques ouvrants. => Rendez-vous sur la [[http://eu.blizzard.com/store|boutique en ligne de Blizzard]], inscrivez-vous, allez dans la section "Jeux" de votre compte puis saisissez la clé cd de Diablo II et de LOD. | " => suggestions : ['«\xa0', '“']
206 Guillemets typographiques fermants. => Rendez-vous sur la [[http://eu.blizzard.com/store|boutique en ligne de Blizzard]], inscrivez-vous, allez dans la section "Jeux" de votre compte puis saisissez la clé cd de Diablo II et de LOD. | " => suggestions : ['\xa0»', '”']
206 Mot inconnu : Diablo => Rendez-vous sur la [[http://eu.blizzard.com/store|boutique en ligne de Blizzard]], inscrivez-vous, allez dans la section "Jeux" de votre compte puis saisissez la clé cd de Diablo II et de LOD. | diablo
206 Mot inconnu : LOD => Rendez-vous sur la [[http://eu.blizzard.com/store|boutique en ligne de Blizzard]], inscrivez-vous, allez dans la section "Jeux" de votre compte puis saisissez la clé cd de Diablo II et de LOD. | lod

210 Guillemets typographiques ouvrants. => Téléchargez et lancez l'utilitaire de téléchargement du jeu, accessible dans la section "Jeux" de votre compte. Notez que dans cette section, sous le nom de chaque jeu, il y a un lien "voir la clé du jeu". Cette clé sera utile lors de l'installation. | " => suggestions : ['«\xa0', '“']
210 Guillemets typographiques fermants. => Téléchargez et lancez l'utilitaire de téléchargement du jeu, accessible dans la section "Jeux" de votre compte. Notez que dans cette section, sous le nom de chaque jeu, il y a un lien "voir la clé du jeu". Cette clé sera utile lors de l'installation. | " => suggestions : ['\xa0»', '”']
210 Guillemets typographiques ouvrants. => Téléchargez et lancez l'utilitaire de téléchargement du jeu, accessible dans la section "Jeux" de votre compte. Notez que dans cette section, sous le nom de chaque jeu, il y a un lien "voir la clé du jeu". Cette clé sera utile lors de l'installation. | " => suggestions : ['«\xa0', '“']
210 Guillemets typographiques fermants. => Téléchargez et lancez l'utilitaire de téléchargement du jeu, accessible dans la section "Jeux" de votre compte. Notez que dans cette section, sous le nom de chaque jeu, il y a un lien "voir la clé du jeu". Cette clé sera utile lors de l'installation. | " => suggestions : ['\xa0»', '”']

212 Mot inconnu : wine => <note warning> Si vous avez de la chance, l'utilisation dans wine du logiciel de téléchargement fourni par Blizzard est possible. Pour certains, le problème d'authentification ne se pose plus depuis une récente mise a jour de wine.</note> | wine
212 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => <note warning> Si vous avez de la chance, l'utilisation dans wine du logiciel de téléchargement fourni par Blizzard est possible. Pour certains, le problème d'authentification ne se pose plus depuis une récente mise a jour de wine.</note> | a => suggestions : ['à']
212 Mot inconnu : wine => <note warning> Si vous avez de la chance, l'utilisation dans wine du logiciel de téléchargement fourni par Blizzard est possible. Pour certains, le problème d'authentification ne se pose plus depuis une récente mise a jour de wine.</note> | wine

223 Guillemets typographiques ouvrants. => Une clé cd vous est demandé. Cette clé n'est pas celle que vous avez saisie précédemment sur le site de Blizzard, mais celle qui vous est fournie dans la section "Jeux" de votre compte (voir capture d'écran ci-dessus). Saisissez-la et le jeu s'installera sans problème. | " => suggestions : ['«\xa0', '“']
223 Guillemets typographiques fermants. => Une clé cd vous est demandé. Cette clé n'est pas celle que vous avez saisie précédemment sur le site de Blizzard, mais celle qui vous est fournie dans la section "Jeux" de votre compte (voir capture d'écran ci-dessus). Saisissez-la et le jeu s'installera sans problème. | " => suggestions : ['\xa0»', '”']

225 Mot inconnu : wine => ==== Problème lors de l'installation dans wine ==== | wine

226 Mot inconnu : wine => Les librairies natives de wine posent problème lors de l'installation. En effet, vous aurez beau faire défiler la licence, le bouton //Accepter// restera insensible. | wine

228 Mot inconnu : html => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | html
228 Mot inconnu : mshtml => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | mshtml
228 Mot inconnu : dll => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | dll
228 Mot inconnu : wininet => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | wininet
228 Mot inconnu : dll => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | dll
228 Mot inconnu : ies4linux => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | ies4linux
228 Mot inconnu : ie4linux => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | ie4linux
228 Mot inconnu : ies4linux => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | ies4linux
228 Mot inconnu : wine => Pour résoudre ce problème, la solution est d'installer deux bibliothèques de rendu html natives provenant d'Internet Explorer 6 (**mshtml.dll** et **wininet.dll**). Vous pouvez les trouver dans le paquet ies4linux (voir [[ie4linux#installation|la page dédiée]]). Après l'installation d'Internet Explorer 6 via ies4linux, copiez les deux bibliothèques dans le répertoire de wine. | wine

232 Mot inconnu : wine => Il reste à activer ces deux bibliothèques dans wine (via //winecfg//). Dans l'onglet //Bibliothèques// saisissez **mshtml** puis cliquez sur //ajouter//, puis saisissez **wininet** puis cliquez sur //ajouter//. Vous devriez maintenant pouvoir cliquer sur //Accepter// lors de l'installation (même si le cadre servant à afficher la licence est vide). | wine
232 Mot inconnu : winecfg => Il reste à activer ces deux bibliothèques dans wine (via //winecfg//). Dans l'onglet //Bibliothèques// saisissez **mshtml** puis cliquez sur //ajouter//, puis saisissez **wininet** puis cliquez sur //ajouter//. Vous devriez maintenant pouvoir cliquer sur //Accepter// lors de l'installation (même si le cadre servant à afficher la licence est vide). | winecfg
232 Mot inconnu : mshtml => Il reste à activer ces deux bibliothèques dans wine (via //winecfg//). Dans l'onglet //Bibliothèques// saisissez **mshtml** puis cliquez sur //ajouter//, puis saisissez **wininet** puis cliquez sur //ajouter//. Vous devriez maintenant pouvoir cliquer sur //Accepter// lors de l'installation (même si le cadre servant à afficher la licence est vide). | mshtml
232 Mot inconnu : wininet => Il reste à activer ces deux bibliothèques dans wine (via //winecfg//). Dans l'onglet //Bibliothèques// saisissez **mshtml** puis cliquez sur //ajouter//, puis saisissez **wininet** puis cliquez sur //ajouter//. Vous devriez maintenant pouvoir cliquer sur //Accepter// lors de l'installation (même si le cadre servant à afficher la licence est vide). | wininet

241 Mot inconnu : Direct3D => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | direct3d
241 Mot inconnu : VirtualBox => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | virtualbox
241 Mot inconnu : DirectX => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | directx
241 Mot inconnu : HKEY_Current_User => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | hkey_current_user
241 Mot inconnu : Entertainment => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | entertainment
241 Mot inconnu : Diablo => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | diablo
241 Mot inconnu : VideoConfig => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | videoconfig
241 Mot inconnu : Render => Si vous obtenez un message d'erreur relatif à Direct3D au lancement du jeu (normal dans VirtualBox puisqu'il ne gère pas DirectX), allez dans le registre HKEY_Current_User/Software/Blizzard Entertainment/Diablo II/VideoConfig et mettez Render à 0. | render

246 Mot inconnu : D2VidTst => Une autre solution est de lancer **D2VidTst.exe** qui se trouve dans le répertoire où vous avez installé Diablo et de choisir //DirectDraw (2D)//. | d2vidtst
246 Mot inconnu : exe => Une autre solution est de lancer **D2VidTst.exe** qui se trouve dans le répertoire où vous avez installé Diablo et de choisir //DirectDraw (2D)//. | exe
246 Mot inconnu : Diablo => Une autre solution est de lancer **D2VidTst.exe** qui se trouve dans le répertoire où vous avez installé Diablo et de choisir //DirectDraw (2D)//. | diablo
246 Mot inconnu : DirectDraw => Une autre solution est de lancer **D2VidTst.exe** qui se trouve dans le répertoire où vous avez installé Diablo et de choisir //DirectDraw (2D)//. | directdraw
246 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => Une autre solution est de lancer **D2VidTst.exe** qui se trouve dans le répertoire où vous avez installé Diablo et de choisir //DirectDraw (2D)//. | 2d => suggestions : ['2ᵈ']

249 Signe de multiplication typographique. => <note important>Le jeu fonctionne en 800x600 au maximum, il faudrait trouver une solution pour le faire tourner en plein écran dans la machine virtuelle.</note> | 800x600 => suggestions : ['800\xa0×\xa0600']
249 Mot inconnu : x600 => <note important>Le jeu fonctionne en 800x600 au maximum, il faudrait trouver une solution pour le faire tourner en plein écran dans la machine virtuelle.</note> | x600

256 Mot inconnu : wine => La page dédiée sur le site officiel de wine, source de bonnes infos (cliquez ensuite sur une des versions) :  | wine
256 Espace(s) en fin de ligne à supprimer. => La page dédiée sur le site officiel de wine, source de bonnes infos (cliquez ensuite sur une des versions) :  |   => suggestions : ['']
261 Pas d’espace avant une virgule. => //Contributeurs : par [[http://forum.ubuntu-fr.org/profile.php?id=19081|MCpaul34]] et [[http://forum.ubuntu-fr.org/profile.php?id=17957|xilef]], Modifications apportées par [[utilisateurs:GarulfoUnix]] , [[utilisateurs:McDoul]] et [[utilisateurs:Tixlegeek]]// |  , => suggestions : [',']
