
5 Mot inconnu : Freebox => ====== Le serveur d'impression de la Freebox ou Alicebox ======  | freebox
84 Mot inconnu : Alicebox =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; | alicebox

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - [[#Freebox_revolution1|Freebox Révolution]]. |     => suggestions : ['']
85 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - [[#Freebox_revolution1|Freebox Révolution]]. |  -  => suggestions : [' – ', ' — ', ' − ']
85 Mot inconnu : Freebox =>    - [[#Freebox_revolution1|Freebox Révolution]]. | freebox

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

87 Mot inconnu : Freebox => ====Freebox Crystal, V5, V4 ou Alicebox==== | freebox
87 Mot inconnu : Crystal => ====Freebox Crystal, V5, V4 ou Alicebox==== | crystal
87 Mot inconnu : V5 => ====Freebox Crystal, V5, V4 ou Alicebox==== | v5
87 Mot inconnu : V4 => ====Freebox Crystal, V5, V4 ou Alicebox==== | v4
87 Mot inconnu : Alicebox => ====Freebox Crystal, V5, V4 ou Alicebox==== | alicebox

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sélectionner **AppSocket/HP JetDirect ** et cliquer sur "continuer" |    => suggestions : ['']
88 Mot inconnu : AppSocket =>   * Sélectionner **AppSocket/HP JetDirect ** et cliquer sur "continuer" | appsocket
88 Mot inconnu : HP =>   * Sélectionner **AppSocket/HP JetDirect ** et cliquer sur "continuer" | hp
88 Mot inconnu : JetDirect =>   * Sélectionner **AppSocket/HP JetDirect ** et cliquer sur "continuer" | jetdirect
88 Guillemets typographiques ouvrants. =>   * Sélectionner **AppSocket/HP JetDirect ** et cliquer sur "continuer" | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. =>   * Sélectionner **AppSocket/HP JetDirect ** et cliquer sur "continuer" | " => suggestions : ['\xa0»', '”']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le champ **connexion** saisir : |    => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  |      => suggestions : ['']
90 Mot inconnu : __Pour =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  | __pour
90 Mot inconnu : Freebox =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  | freebox
90 Il manque un espace. =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  | __ => suggestions : [' __']
90 Mot inconnu : __ =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  | __
90 Guillemets typographiques ouvrants. =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  | '' => suggestions : ['«\xa0', '“']
90 Guillemets typographiques fermants. =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  | '' => suggestions : ['\xa0»', '”']
90 Espace(s) en fin de ligne à supprimer. =>     * __Pour une Freebox:__ ''socket:%%//%%mafreebox.freebox.fr:9100''  |   => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' |      => suggestions : ['']
91 Mot inconnu : __Pour =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' | __pour
91 Mot inconnu : Alicebox =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' | alicebox
91 Il manque un espace. =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' | __ => suggestions : [' __']
91 Mot inconnu : __ =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' | __
91 Guillemets typographiques ouvrants. =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' | '' => suggestions : ['«\xa0', '“']
91 Guillemets typographiques fermants. =>     * __Pour une Alicebox:__ ''socket:%%//%%alicebox.aliceadsl.fr:9100'' | '' => suggestions : ['\xa0»', '”']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur "continuer" |    => suggestions : ['']
92 Guillemets typographiques ouvrants. =>   * Cliquer sur "continuer" | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. =>   * Cliquer sur "continuer" | " => suggestions : ['\xa0»', '”']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir la marque de l'imprimante et cliquer sur "continuer"; |    => suggestions : ['']
93 Guillemets typographiques ouvrants. =>   * Choisir la marque de l'imprimante et cliquer sur "continuer"; | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. =>   * Choisir la marque de l'imprimante et cliquer sur "continuer"; | " => suggestions : ['\xa0»', '”']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir le modèle de l'imprimante, et cliquez sur "ajouter une imprimante"; |    => suggestions : ['']
94 Guillemets typographiques ouvrants. =>   * Choisir le modèle de l'imprimante, et cliquez sur "ajouter une imprimante"; | " => suggestions : ['«\xa0', '“']
94 Guillemets typographiques fermants. =>   * Choisir le modèle de l'imprimante, et cliquez sur "ajouter une imprimante"; | " => suggestions : ['\xa0»', '”']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changer éventuellement les options par défaut de votre imprimante et cliquer sur "Définir les options par défaut". |    => suggestions : ['']
95 Guillemets typographiques ouvrants. =>   * Changer éventuellement les options par défaut de votre imprimante et cliquer sur "Définir les options par défaut". | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. =>   * Changer éventuellement les options par défaut de votre imprimante et cliquer sur "Définir les options par défaut". | " => suggestions : ['\xa0»', '”']

99 Mot inconnu : Freebox => ==== Freebox Revolution==== | freebox
99 Mot inconnu : Revolution => ==== Freebox Revolution==== | revolution

100 Mot inconnu : Printer => Sélectionnez **Windows Printer via Samba** et "continuer"; | printer
100 Guillemets typographiques ouvrants. => Sélectionnez **Windows Printer via Samba** et "continuer"; | " => suggestions : ['«\xa0', '“']
100 Guillemets typographiques fermants. => Sélectionnez **Windows Printer via Samba** et "continuer"; | " => suggestions : ['\xa0»', '”']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; |    => suggestions : ['']
101 Guillemets typographiques ouvrants. =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | '' => suggestions : ['«\xa0', '“']
101 Mot inconnu : smb =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | smb
101 Il manque un espace. =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | freebox => suggestions : [' freebox']
101 Mot inconnu : freebox =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | freebox
101 Guillemets typographiques fermants. =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | '' => suggestions : ['\xa0»', '”']
101 Guillemets typographiques ouvrants. =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | " => suggestions : ['«\xa0', '“']
101 Guillemets typographiques fermants. =>   * Dans le champ **connexion** saisir ''smb%%://%%freebox'' et cliquer sur "continuer"; | " => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Remplir le nom, la description, l'emplacement de votre imprimante et cocher **Partage** et cliquer "continuer" ; |    => suggestions : ['']
102 Guillemets typographiques ouvrants. =>   * Remplir le nom, la description, l'emplacement de votre imprimante et cocher **Partage** et cliquer "continuer" ; | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   * Remplir le nom, la description, l'emplacement de votre imprimante et cocher **Partage** et cliquer "continuer" ; | " => suggestions : ['\xa0»', '”']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir la marque de l'imprimante et cliquer "continuer"; |    => suggestions : ['']
103 Guillemets typographiques ouvrants. =>   * Choisir la marque de l'imprimante et cliquer "continuer"; | " => suggestions : ['«\xa0', '“']
103 Guillemets typographiques fermants. =>   * Choisir la marque de l'imprimante et cliquer "continuer"; | " => suggestions : ['\xa0»', '”']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir le modèle de l'imprimante, et cliquer "ajouter une imprimante"; |    => suggestions : ['']
104 Guillemets typographiques ouvrants. =>   * Choisir le modèle de l'imprimante, et cliquer "ajouter une imprimante"; | " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. =>   * Choisir le modèle de l'imprimante, et cliquer "ajouter une imprimante"; | " => suggestions : ['\xa0»', '”']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changer éventuellement les options par défaut de votre imprimante et cliquer sur "Définir les options par défaut". |    => suggestions : ['']
105 Guillemets typographiques ouvrants. =>   * Changer éventuellement les options par défaut de votre imprimante et cliquer sur "Définir les options par défaut". | " => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. =>   * Changer éventuellement les options par défaut de votre imprimante et cliquer sur "Définir les options par défaut". | " => suggestions : ['\xa0»', '”']

110 Mot inconnu : AppSocket => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | appsocket
110 Mot inconnu : HP => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | hp
110 Mot inconnu : JetDirect => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | jetdirect
110 Mot inconnu : HP => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | hp
110 Mot inconnu : JetDirect => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | jetdirect
110 Mot inconnu : help => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | help
110 Mot inconnu : network => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | network
110 Mot inconnu : html => Le protocole AppSocket ((Parfois aussi appelé le protocole HP JetDirect, en raison de ses origines avec l'interface réseau HP JetDirect)) utilisé par les imprimantes réseau est généralement plus rapide, plus fiable et plus simple. [[http://localhost:631/help/network.html|(en) Source]]  \\ | html

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Rechercher une imprimante réseau** (Uniquement avec une Freebox Révolution) |    => suggestions : ['']
112 Mot inconnu : Freebox =>   * **Rechercher une imprimante réseau** (Uniquement avec une Freebox Révolution) | freebox

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Hôte ou imprimante LDP/LPR**  |    => suggestions : ['']
113 Mot inconnu : LDP =>   * **Hôte ou imprimante LDP/LPR**  | ldp
113 Mot inconnu : LPR =>   * **Hôte ou imprimante LDP/LPR**  | lpr
113 Espace(s) en fin de ligne à supprimer. =>   * **Hôte ou imprimante LDP/LPR**  |   => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **mafreebox.freebox.fr** pour les Freebox Crystal, V5 et V4; |      => suggestions : ['']
115 Mot inconnu : Freebox =>     * **mafreebox.freebox.fr** pour les Freebox Crystal, V5 et V4; | freebox
115 Mot inconnu : Crystal =>     * **mafreebox.freebox.fr** pour les Freebox Crystal, V5 et V4; | crystal
115 Mot inconnu : V5 =>     * **mafreebox.freebox.fr** pour les Freebox Crystal, V5 et V4; | v5
115 Mot inconnu : V4 =>     * **mafreebox.freebox.fr** pour les Freebox Crystal, V5 et V4; | v4

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **alicebox.aliceadsl.fr** pour les Alicebox V5 et Initial ; |      => suggestions : ['']
116 Mot inconnu : Alicebox =>     * **alicebox.aliceadsl.fr** pour les Alicebox V5 et Initial ; | alicebox
116 Mot inconnu : V5 =>     * **alicebox.aliceadsl.fr** pour les Alicebox V5 et Initial ; | v5

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **freebox** pour la Freebox Révolution ; |      => suggestions : ['']
117 Mot inconnu : freebox =>     * **freebox** pour la Freebox Révolution ; | freebox
117 Mot inconnu : Freebox =>     * **freebox** pour la Freebox Révolution ; | freebox

125 Mot inconnu : __ => Si vous ne trouvez pas votre imprimante dans la liste des pilotes pré-installées, il est nécessaire d'installer les pilotes du modèle de votre imprimante __**avant**__ de procéder à la mise en place du partage. | __
125 Mot inconnu : __ => Si vous ne trouvez pas votre imprimante dans la liste des pilotes pré-installées, il est nécessaire d'installer les pilotes du modèle de votre imprimante __**avant**__ de procéder à la mise en place du partage. | __

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  Annuler la procédure en annulant la recherche d'imprimante; |    => suggestions : ['']
127 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  Annuler la procédure en annulant la recherche d'imprimante; |  -  => suggestions : [' – ', ' — ', ' − ']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Reprendre la mise en place du partage; |    => suggestions : ['']
129 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Reprendre la mise en place du partage; |  -  => suggestions : [' – ', ' — ', ' − ']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  Laisser la recherche de pilote se terminer et une fois devant la liste des fabricants :  |    => suggestions : ['']
130 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  Laisser la recherche de pilote se terminer et une fois devant la liste des fabricants :  |  -  => suggestions : [' – ', ' — ', ' − ']
130 Espace(s) en fin de ligne à supprimer. =>   -  Laisser la recherche de pilote se terminer et une fois devant la liste des fabricants :  |   => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisir **Fournir un fichier ppd** et rechercher le fichier **.ppd** de l'imprimante concernée. //(Ce fichier peut se trouver dans le dossier **''/usr/share/ppd/''** ou ''**/usr/share/cups/model/**'' ou encore ''**/etc/cups/ppd/**''. Vous pouvez aussi pour le localiser, faire une recherche de fichiers **.ppd**)//. |    => suggestions : ['']
131 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisir **Fournir un fichier ppd** et rechercher le fichier **.ppd** de l'imprimante concernée. //(Ce fichier peut se trouver dans le dossier **''/usr/share/ppd/''** ou ''**/usr/share/cups/model/**'' ou encore ''**/etc/cups/ppd/**''. Vous pouvez aussi pour le localiser, faire une recherche de fichiers **.ppd**)//. |  -  => suggestions : [' – ', ' — ', ' − ']
131 Mot inconnu : ppd =>   - Choisir **Fournir un fichier ppd** et rechercher le fichier **.ppd** de l'imprimante concernée. //(Ce fichier peut se trouver dans le dossier **''/usr/share/ppd/''** ou ''**/usr/share/cups/model/**'' ou encore ''**/etc/cups/ppd/**''. Vous pouvez aussi pour le localiser, faire une recherche de fichiers **.ppd**)//. | ppd
131 Mot inconnu : ppd =>   - Choisir **Fournir un fichier ppd** et rechercher le fichier **.ppd** de l'imprimante concernée. //(Ce fichier peut se trouver dans le dossier **''/usr/share/ppd/''** ou ''**/usr/share/cups/model/**'' ou encore ''**/etc/cups/ppd/**''. Vous pouvez aussi pour le localiser, faire une recherche de fichiers **.ppd**)//. | ppd
131 Mot inconnu : ppd =>   - Choisir **Fournir un fichier ppd** et rechercher le fichier **.ppd** de l'imprimante concernée. //(Ce fichier peut se trouver dans le dossier **''/usr/share/ppd/''** ou ''**/usr/share/cups/model/**'' ou encore ''**/etc/cups/ppd/**''. Vous pouvez aussi pour le localiser, faire une recherche de fichiers **.ppd**)//. | ppd

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  Faites //**Suivant**//; |    => suggestions : ['']
132 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  Faites //**Suivant**//; |  -  => suggestions : [' – ', ' — ', ' − ']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  Donner un nom à l'imprimante et //**Appliquer**//. |    => suggestions : ['']
133 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  Donner un nom à l'imprimante et //**Appliquer**//. |  -  => suggestions : [' – ', ' — ', ' − ']

137 Mot inconnu : HP => ====Imprimantes HP==== | hp

138 Mot inconnu : HP => Si votre imprimante HP ne fonctionne pas après avoir effectué l'une des configurations décrites ci-dessous, installez les derniers pilotes HP depuis le site HP [[http://hplipopensource.com/hplip-web/install/install/index.html|suivant la procédure HP]]  | hp
138 Mot inconnu : HP => Si votre imprimante HP ne fonctionne pas après avoir effectué l'une des configurations décrites ci-dessous, installez les derniers pilotes HP depuis le site HP [[http://hplipopensource.com/hplip-web/install/install/index.html|suivant la procédure HP]]  | hp
138 Mot inconnu : HP => Si votre imprimante HP ne fonctionne pas après avoir effectué l'une des configurations décrites ci-dessous, installez les derniers pilotes HP depuis le site HP [[http://hplipopensource.com/hplip-web/install/install/index.html|suivant la procédure HP]]  | hp
138 Mot inconnu : HP => Si votre imprimante HP ne fonctionne pas après avoir effectué l'une des configurations décrites ci-dessous, installez les derniers pilotes HP depuis le site HP [[http://hplipopensource.com/hplip-web/install/install/index.html|suivant la procédure HP]]  | hp
138 Espace(s) en fin de ligne à supprimer. => Si votre imprimante HP ne fonctionne pas après avoir effectué l'une des configurations décrites ci-dessous, installez les derniers pilotes HP depuis le site HP [[http://hplipopensource.com/hplip-web/install/install/index.html|suivant la procédure HP]]  |   => suggestions : ['']

141 Mot inconnu : AppSocket => ====Absence de AppSocket/HP JetDirect ==== | appsocket
141 Mot inconnu : HP => ====Absence de AppSocket/HP JetDirect ==== | hp
141 Mot inconnu : JetDirect => ====Absence de AppSocket/HP JetDirect ==== | jetdirect

143 Mot inconnu : AppSocket => Si vous n'avez pas la possibilité de choisir **AppSocket/HP JetDirect** comme type d'imprimante, il faut activer le backend socket de cups :  | appsocket
143 Mot inconnu : HP => Si vous n'avez pas la possibilité de choisir **AppSocket/HP JetDirect** comme type d'imprimante, il faut activer le backend socket de cups :  | hp
143 Mot inconnu : JetDirect => Si vous n'avez pas la possibilité de choisir **AppSocket/HP JetDirect** comme type d'imprimante, il faut activer le backend socket de cups :  | jetdirect
143 Mot inconnu : backend => Si vous n'avez pas la possibilité de choisir **AppSocket/HP JetDirect** comme type d'imprimante, il faut activer le backend socket de cups :  | backend
143 Mot inconnu : cups => Si vous n'avez pas la possibilité de choisir **AppSocket/HP JetDirect** comme type d'imprimante, il faut activer le backend socket de cups :  | cups
143 Espace(s) en fin de ligne à supprimer. => Si vous n'avez pas la possibilité de choisir **AppSocket/HP JetDirect** comme type d'imprimante, il faut activer le backend socket de cups :  |   => suggestions : ['']

147 Espace(s) surnuméraire(s) à supprimer. => ====Absence de  Windows via Samba=== |    => suggestions : [' ']

148 Mot inconnu : samba4 => Si vous n'avez pas la possibilité de choisir **Imprimante Windows via Samba** comme type d'imprimante, essayez de voir si samba4 n'est pas installé à la place de samba. Si oui, essayer de désinstaller la version 4 de samba et ses dépendances, puis installer la version "normale" | samba4
148 Guillemets typographiques ouvrants. => Si vous n'avez pas la possibilité de choisir **Imprimante Windows via Samba** comme type d'imprimante, essayez de voir si samba4 n'est pas installé à la place de samba. Si oui, essayer de désinstaller la version 4 de samba et ses dépendances, puis installer la version "normale" | " => suggestions : ['«\xa0', '“']
148 Guillemets typographiques fermants. => Si vous n'avez pas la possibilité de choisir **Imprimante Windows via Samba** comme type d'imprimante, essayez de voir si samba4 n'est pas installé à la place de samba. Si oui, essayer de désinstaller la version 4 de samba et ses dépendances, puis installer la version "normale" | " => suggestions : ['\xa0»', '”']

150 Mot inconnu : Freebox => ====Accès impossible aux Fichiers et imprimantes Freebox depuis ubuntu 20.04=== | freebox

154 Mot inconnu : protocol => **protocol negotiation failed: NT_STATUS_CONNECTION_DISCONNECTED** | protocol
154 Mot inconnu : negotiation => **protocol negotiation failed: NT_STATUS_CONNECTION_DISCONNECTED** | negotiation
154 Mot inconnu : failed => **protocol negotiation failed: NT_STATUS_CONNECTION_DISCONNECTED** | failed
154 Mot inconnu : NT_STATUS_CONNECTION_DISCONNECTED => **protocol negotiation failed: NT_STATUS_CONNECTION_DISCONNECTED** | nt_status_connection_disconnected

159 Mot inconnu : ipc => 	client ipc max protocol = default | ipc
159 Mot inconnu : protocol => 	client ipc max protocol = default | protocol
159 Mot inconnu : default => 	client ipc max protocol = default | default

160 Mot inconnu : ipc => 	client ipc min protocol = default | ipc
160 Mot inconnu : protocol => 	client ipc min protocol = default | protocol
160 Mot inconnu : default => 	client ipc min protocol = default | default

161 Mot inconnu : protocol => 	client max protocol = default | protocol
161 Mot inconnu : default => 	client max protocol = default | default

162 Mot inconnu : protocol => 	client min protocol = SMB2_02 | protocol
162 Mot inconnu : SMB2_02 => 	client min protocol = SMB2_02 | smb2_02

163 Mot inconnu : server => 	server max protocol = SMB3 | server
163 Mot inconnu : protocol => 	server max protocol = SMB3 | protocol
163 Mot inconnu : SMB3 => 	server max protocol = SMB3 | smb3

164 Mot inconnu : server => 	server min protocol = SMB2_02 | server
164 Mot inconnu : protocol => 	server min protocol = SMB2_02 | protocol
164 Mot inconnu : SMB2_02 => 	server min protocol = SMB2_02 | smb2_02

166 Mot inconnu : NT1 => Changer le client mini en NT1 dans le fichier suivant: | nt1

168 Accord de nombre erroné avec « deux lignes » : « suivante » devrait être au pluriel. => Juste en dessous de Global ajouter les deux lignes suivante: | suivante => suggestions : ['suivantes']

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         client min protocol = NT1</code> |          => suggestions : ['']
172 Mot inconnu : protocol =>         client min protocol = NT1</code> | protocol
172 Mot inconnu : NT1 =>         client min protocol = NT1</code> | nt1

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          |          => suggestions : ['']

177 Mot inconnu : ipc => 	client ipc max protocol = default | ipc
177 Mot inconnu : protocol => 	client ipc max protocol = default | protocol
177 Mot inconnu : default => 	client ipc max protocol = default | default

178 Mot inconnu : ipc => 	client ipc min protocol = default | ipc
178 Mot inconnu : protocol => 	client ipc min protocol = default | protocol
178 Mot inconnu : default => 	client ipc min protocol = default | default

179 Mot inconnu : protocol => 	client max protocol = default | protocol
179 Mot inconnu : default => 	client max protocol = default | default

180 Mot inconnu : protocol => 	client min protocol = NT1 | protocol
180 Mot inconnu : NT1 => 	client min protocol = NT1 | nt1

181 Mot inconnu : server => 	server max protocol = SMB3 | server
181 Mot inconnu : protocol => 	server max protocol = SMB3 | protocol
181 Mot inconnu : SMB3 => 	server max protocol = SMB3 | smb3

182 Mot inconnu : server => 	server min protocol = SMB2_02 | server
182 Mot inconnu : protocol => 	server min protocol = SMB2_02 | protocol
182 Mot inconnu : SMB2_02 => 	server min protocol = SMB2_02 | smb2_02

184 Écriture invariable. Utilisez un point médian. => Normalement les fichiers et imprimante(s) sont de nouveaux accessibles sur votre poste. | imprimante(s) => suggestions : ['imprimante·s']

185 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => <note important>Ouvrant un protocole ancien, il est probable qu'il y ai une perte de sécurité. </note> | ai => suggestions : ['a']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** Source de l'installation sur Freebox Révolution :[[http://freebox.toosurtoo.com/forum/viewtopic.php?f=62&t=1288|Fil de discussion]] sur le site freebox.toosurtoo.com.   |    => suggestions : ['']
187 Mot inconnu : Freebox =>   * **(fr)** Source de l'installation sur Freebox Révolution :[[http://freebox.toosurtoo.com/forum/viewtopic.php?f=62&t=1288|Fil de discussion]] sur le site freebox.toosurtoo.com.   | freebox
187 Espace(s) en fin de ligne à supprimer. =>   * **(fr)** Source de l'installation sur Freebox Révolution :[[http://freebox.toosurtoo.com/forum/viewtopic.php?f=62&t=1288|Fil de discussion]] sur le site freebox.toosurtoo.com.   |    => suggestions : ['']

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** Source indépendante :[[http://natim.ionyse.com/utiliser-une-imprimante-partage-sur-la-freebox-avec-cups.html|Forum]] sur le site natim.ionyse.com |    => suggestions : ['']
