
4 Mot inconnu : X11vnc => ====== X11vnc : contrôler un ordinateur à distance ====== | x11vnc
107 Il manque un trait d’union. => Vous pouvez maintenant ajouter x11vnc à vos "Applications au démarrage" en y ajoutant la commande de lancement citée juste au dessus comme indiqué dans le tutoriel [[tutoriel:application_demarrage|ajouter une application au démarrage de la session]] | au dessus => suggestions : ['au-dessus']
107 Il manque un espace. => Vous pouvez maintenant ajouter x11vnc à vos "Applications au démarrage" en y ajoutant la commande de lancement citée juste au dessus comme indiqué dans le tutoriel [[tutoriel:application_demarrage|ajouter une application au démarrage de la session]] | application_demarrage => suggestions : [' application_demarrage']
107 Mot inconnu : application_demarrage => Vous pouvez maintenant ajouter x11vnc à vos "Applications au démarrage" en y ajoutant la commande de lancement citée juste au dessus comme indiqué dans le tutoriel [[tutoriel:application_demarrage|ajouter une application au démarrage de la session]] | application_demarrage

109 Mot inconnu : autostart => Si vous optez pour la méthode utilisant un lanceur au démarrage, créez le fichier **~/.config/autostart/x11vnc.desktop** et y ajoutez les lignes: | autostart
109 Mot inconnu : x11vnc => Si vous optez pour la méthode utilisant un lanceur au démarrage, créez le fichier **~/.config/autostart/x11vnc.desktop** et y ajoutez les lignes: | x11vnc
109 Mot inconnu : desktop => Si vous optez pour la méthode utilisant un lanceur au démarrage, créez le fichier **~/.config/autostart/x11vnc.desktop** et y ajoutez les lignes: | desktop

122 Mot inconnu : X11vnc => === Création du service X11vnc === | x11vnc

124 Mot inconnu : password => Générez un fichier password pour X11vnc dans le dossier root comme expliqué ci-dessus. | password
124 Mot inconnu : X11vnc => Générez un fichier password pour X11vnc dans le dossier root comme expliqué ci-dessus. | x11vnc
124 Mot inconnu : root => Générez un fichier password pour X11vnc dans le dossier root comme expliqué ci-dessus. | root

132 Mot inconnu : x11vnc => Description=x11vnc remote desktop server | x11vnc
132 Mot inconnu : remote => Description=x11vnc remote desktop server | remote
132 Mot inconnu : desktop => Description=x11vnc remote desktop server | desktop
132 Mot inconnu : server => Description=x11vnc remote desktop server | server

133 Mot inconnu : target => After=multi-user.target | target

137 Mot inconnu : ExecStart => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd | execstart
137 Il manque un espace à côté du tiret. => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd |  - => suggestions : [' – ', ' — ']
137 Mot inconnu : forever => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd | forever
137 Mot inconnu : shared => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd | shared
137 Mot inconnu : bg => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd | bg
137 Mot inconnu : xkb => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd | xkb
137 Mot inconnu : rfbauth => ExecStart=/usr/bin/x11vnc -forever -shared -bg -xkb -rfbauth /root/.vnc_passwd | rfbauth

139 Mot inconnu : Restart => Restart=on-failure | restart
139 Mot inconnu : on-failure => Restart=on-failure | on-failure

141 Mot inconnu : Install => [Install] | install

142 Mot inconnu : WantedBy => WantedBy=multi-user.target | wantedby
142 Mot inconnu : target => WantedBy=multi-user.target | target

152 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Si tout va bien, il n'y plus qu'à dire à systemd de lancer x11vnc au démarrage. En cas d'erreur d'authentification auprès du serveur X, consultez la rubrique "Résolution de problèmes". | plus => suggestions : ['plut']
152 Mot inconnu : systemd => Si tout va bien, il n'y plus qu'à dire à systemd de lancer x11vnc au démarrage. En cas d'erreur d'authentification auprès du serveur X, consultez la rubrique "Résolution de problèmes". | systemd
152 Mot inconnu : x11vnc => Si tout va bien, il n'y plus qu'à dire à systemd de lancer x11vnc au démarrage. En cas d'erreur d'authentification auprès du serveur X, consultez la rubrique "Résolution de problèmes". | x11vnc
152 Guillemets typographiques ouvrants. => Si tout va bien, il n'y plus qu'à dire à systemd de lancer x11vnc au démarrage. En cas d'erreur d'authentification auprès du serveur X, consultez la rubrique "Résolution de problèmes". | " => suggestions : ['«\xa0', '“']
152 Guillemets typographiques fermants. => Si tout va bien, il n'y plus qu'à dire à systemd de lancer x11vnc au démarrage. En cas d'erreur d'authentification auprès du serveur X, consultez la rubrique "Résolution de problèmes". | " => suggestions : ['\xa0»', '”']

155 Mot inconnu : VNC => ==== Démarrer VNC comme service inetd ====  | vnc
155 Mot inconnu : inetd => ==== Démarrer VNC comme service inetd ====  | inetd
155 Espace(s) en fin de ligne à supprimer. => ==== Démarrer VNC comme service inetd ====  |   => suggestions : ['']
157 Confusion : “a” est une forme conjuguée de “avoir”. Pour la préposition, écrivez “à”. => <note warning>Méthode déconseillée ! Ne marche que depuis Ubuntu 11.10 jusqu'a 14.04</note> | a => suggestions : ['à']

159 Mot inconnu : x11vnc => En démarrant x11vnc via inetd vous aurez la possibilité de voir l'écran de votre ordinateur distant quel que soit l'utilisateur connecté ! (Vous verrez même l'écran de login !)\\ | x11vnc
159 Mot inconnu : inetd => En démarrant x11vnc via inetd vous aurez la possibilité de voir l'écran de votre ordinateur distant quel que soit l'utilisateur connecté ! (Vous verrez même l'écran de login !)\\ | inetd

160 Mot inconnu : autologin => Pratique si vous ne voulez pas que l'ordinateur distant ne soit pas en autologin et donc soit protégé par un second mot de passe par dessus le protocol VNC. | autologin
160 Il manque un trait d’union. => Pratique si vous ne voulez pas que l'ordinateur distant ne soit pas en autologin et donc soit protégé par un second mot de passe par dessus le protocol VNC. | par dessus => suggestions : ['par-dessus']
160 Mot inconnu : protocol => Pratique si vous ne voulez pas que l'ordinateur distant ne soit pas en autologin et donc soit protégé par un second mot de passe par dessus le protocol VNC. | protocol
160 Mot inconnu : VNC => Pratique si vous ne voulez pas que l'ordinateur distant ne soit pas en autologin et donc soit protégé par un second mot de passe par dessus le protocol VNC. | vnc

162 Mot inconnu : Inetd => <note info>Inetd est un "superserveur", une sorte de "serveur de serveurs". \\ | inetd
162 Guillemets typographiques ouvrants. => <note info>Inetd est un "superserveur", une sorte de "serveur de serveurs". \\ | " => suggestions : ['«\xa0', '“']
162 Mot inconnu : superserveur => <note info>Inetd est un "superserveur", une sorte de "serveur de serveurs". \\ | superserveur
162 Guillemets typographiques fermants. => <note info>Inetd est un "superserveur", une sorte de "serveur de serveurs". \\ | " => suggestions : ['\xa0»', '”']
162 Guillemets typographiques ouvrants. => <note info>Inetd est un "superserveur", une sorte de "serveur de serveurs". \\ | " => suggestions : ['«\xa0', '“']
162 Guillemets typographiques fermants. => <note info>Inetd est un "superserveur", une sorte de "serveur de serveurs". \\ | " => suggestions : ['\xa0»', '”']

164 Mot inconnu : vnc => Ceci permet d'économiser de la mémoire vive, peut être même du processeur dans certains cas, mais aussi permet d’échapper à un plantage du serveur en question. En effet si vnc plante, il serra mis dans un coin et quand vous accéderez à nouveau à VNC un nouveau serveur x11vnc serra lancé !</note> | vnc
164 Mot inconnu : VNC => Ceci permet d'économiser de la mémoire vive, peut être même du processeur dans certains cas, mais aussi permet d’échapper à un plantage du serveur en question. En effet si vnc plante, il serra mis dans un coin et quand vous accéderez à nouveau à VNC un nouveau serveur x11vnc serra lancé !</note> | vnc
164 Mot inconnu : x11vnc => Ceci permet d'économiser de la mémoire vive, peut être même du processeur dans certains cas, mais aussi permet d’échapper à un plantage du serveur en question. En effet si vnc plante, il serra mis dans un coin et quand vous accéderez à nouveau à VNC un nouveau serveur x11vnc serra lancé !</note> | x11vnc

168 Mot inconnu : VNC => Créez un mot de passe pour votre serveur VNC en tapant dans un **[[terminal]]**: | vnc

172 Guillemets typographiques ouvrants. => <note>Remplacez bien évidemment "password" par le mot de passe de votre choix</note> | " => suggestions : ['«\xa0', '“']
172 Mot inconnu : password => <note>Remplacez bien évidemment "password" par le mot de passe de votre choix</note> | password
172 Guillemets typographiques fermants. => <note>Remplacez bien évidemment "password" par le mot de passe de votre choix</note> | " => suggestions : ['\xa0»', '”']

176 Mot inconnu : VNC => ajoutez une ligne pour VNC entre les lignes **#:INTERNAL: Internal services** et ** #:STANDARD: These are standard services**: | vnc
176 Mot inconnu : INTERNAL => ajoutez une ligne pour VNC entre les lignes **#:INTERNAL: Internal services** et ** #:STANDARD: These are standard services**: | internal
176 Mot inconnu : Internal => ajoutez une ligne pour VNC entre les lignes **#:INTERNAL: Internal services** et ** #:STANDARD: These are standard services**: | internal
176 Mot inconnu : These => ajoutez une ligne pour VNC entre les lignes **#:INTERNAL: Internal services** et ** #:STANDARD: These are standard services**: | these

180 Mot inconnu : redemarrez => Enregistrez le fichier, puis redemarrez le service inetd via la commande: | redemarrez
180 Mot inconnu : inetd => Enregistrez le fichier, puis redemarrez le service inetd via la commande: | inetd

184 Mot inconnu : VNC => VNC devrait maintenant être en route dès le démarrage de votre PC  | vnc
184 Espace(s) en fin de ligne à supprimer. => VNC devrait maintenant être en route dès le démarrage de votre PC  |   => suggestions : ['']

186 Mot inconnu : VNC => === Accéder à VNC via internet === | vnc

188 Mot inconnu : VNC => Dans l'état actuel des choses, si vous avez un routeur, VNC n'est accessible que sur votre réseau local. Si vous voulez y accéder à travers internet il faudra ouvrir le port 5900 en TCP en pointant le port vers l'IP de l'ordinateur hébergeant le serveur VNC. | vnc
188 Mot inconnu : TCP => Dans l'état actuel des choses, si vous avez un routeur, VNC n'est accessible que sur votre réseau local. Si vous voulez y accéder à travers internet il faudra ouvrir le port 5900 en TCP en pointant le port vers l'IP de l'ordinateur hébergeant le serveur VNC. | tcp
188 Mot inconnu : VNC => Dans l'état actuel des choses, si vous avez un routeur, VNC n'est accessible que sur votre réseau local. Si vous voulez y accéder à travers internet il faudra ouvrir le port 5900 en TCP en pointant le port vers l'IP de l'ordinateur hébergeant le serveur VNC. | vnc

190 Mot inconnu : VNC => <note important>Si vous décidez d'ouvrir l'accès VNC vers internet ne désactivez surtout pas l'authentification par mot de passe ! Et ne choisissez pas un mot de passe trop simple.</note> | vnc

191 Mot inconnu : SSH => <note important>L'accès à la machine par SSH forwarding est préféré car SSH apporte plus de sécurité. | ssh
191 Mot inconnu : forwarding => <note important>L'accès à la machine par SSH forwarding est préféré car SSH apporte plus de sécurité. | forwarding
191 Mot inconnu : SSH => <note important>L'accès à la machine par SSH forwarding est préféré car SSH apporte plus de sécurité. | ssh
192 Mot inconnu : openssh-server => Cette méthode (accessible après installation sur le serveur de [[apt://openssh-server]]) est un peu plus complexe, mais elle peut être simplifiée en utilisant le [[remmina|Visionneur de bureaux distants Remmina]] depuis le PC client</note> | openssh-server
192 Mot inconnu : remmina => Cette méthode (accessible après installation sur le serveur de [[apt://openssh-server]]) est un peu plus complexe, mais elle peut être simplifiée en utilisant le [[remmina|Visionneur de bureaux distants Remmina]] depuis le PC client</note> | remmina
192 Mot inconnu : Remmina => Cette méthode (accessible après installation sur le serveur de [[apt://openssh-server]]) est un peu plus complexe, mais elle peut être simplifiée en utilisant le [[remmina|Visionneur de bureaux distants Remmina]] depuis le PC client</note> | remmina

203 Mot inconnu : x11vnc => Si x11vnc est exécuté via SSH, comme service ou par le compte root, il faut définir des autorisations pour se connecter au serveur X (Xautority). | x11vnc
203 Mot inconnu : SSH => Si x11vnc est exécuté via SSH, comme service ou par le compte root, il faut définir des autorisations pour se connecter au serveur X (Xautority). | ssh
203 Mot inconnu : root => Si x11vnc est exécuté via SSH, comme service ou par le compte root, il faut définir des autorisations pour se connecter au serveur X (Xautority). | root
203 Mot inconnu : Xautority => Si x11vnc est exécuté via SSH, comme service ou par le compte root, il faut définir des autorisations pour se connecter au serveur X (Xautority). | xautority

205 Mot inconnu : root => Être root n'est généralement pas suffisant parce que le MIT-MAGIC-COOKIE accessible est incorrect. Le fichier cookie contient la clé secrète qui permet à x11vnc de se connecter à l'affichage X souhaité. Dans ce cas il est possible d'indiquer explicitement le fichier MIT-MAGIC-COOKIE en vous inspirant des exemples suivant : | root
205 Mot inconnu : MIT-MAGIC-COOKIE => Être root n'est généralement pas suffisant parce que le MIT-MAGIC-COOKIE accessible est incorrect. Le fichier cookie contient la clé secrète qui permet à x11vnc de se connecter à l'affichage X souhaité. Dans ce cas il est possible d'indiquer explicitement le fichier MIT-MAGIC-COOKIE en vous inspirant des exemples suivant : | mit-magic-cookie
205 Mot inconnu : x11vnc => Être root n'est généralement pas suffisant parce que le MIT-MAGIC-COOKIE accessible est incorrect. Le fichier cookie contient la clé secrète qui permet à x11vnc de se connecter à l'affichage X souhaité. Dans ce cas il est possible d'indiquer explicitement le fichier MIT-MAGIC-COOKIE en vous inspirant des exemples suivant : | x11vnc
205 Mot inconnu : MIT-MAGIC-COOKIE => Être root n'est généralement pas suffisant parce que le MIT-MAGIC-COOKIE accessible est incorrect. Le fichier cookie contient la clé secrète qui permet à x11vnc de se connecter à l'affichage X souhaité. Dans ce cas il est possible d'indiquer explicitement le fichier MIT-MAGIC-COOKIE en vous inspirant des exemples suivant : | mit-magic-cookie

212 Mot inconnu : MIT-MAGIC-COOKIE => Si aucune session n'est démarré, il est possible d'utiliser le fichier MIT-MAGIC-COOKIE du gestionnaire de connexion. Parfois la commande "ps wwwwaux | grep auth" peut révéler l'emplacement du fichier. | mit-magic-cookie
212 Guillemets typographiques ouvrants. => Si aucune session n'est démarré, il est possible d'utiliser le fichier MIT-MAGIC-COOKIE du gestionnaire de connexion. Parfois la commande "ps wwwwaux | grep auth" peut révéler l'emplacement du fichier. | " => suggestions : ['«\xa0', '“']
212 Mot inconnu : wwwwaux => Si aucune session n'est démarré, il est possible d'utiliser le fichier MIT-MAGIC-COOKIE du gestionnaire de connexion. Parfois la commande "ps wwwwaux | grep auth" peut révéler l'emplacement du fichier. | wwwwaux
212 Mot inconnu : grep => Si aucune session n'est démarré, il est possible d'utiliser le fichier MIT-MAGIC-COOKIE du gestionnaire de connexion. Parfois la commande "ps wwwwaux | grep auth" peut révéler l'emplacement du fichier. | grep
212 Mot inconnu : auth => Si aucune session n'est démarré, il est possible d'utiliser le fichier MIT-MAGIC-COOKIE du gestionnaire de connexion. Parfois la commande "ps wwwwaux | grep auth" peut révéler l'emplacement du fichier. | auth
212 Guillemets typographiques fermants. => Si aucune session n'est démarré, il est possible d'utiliser le fichier MIT-MAGIC-COOKIE du gestionnaire de connexion. Parfois la commande "ps wwwwaux | grep auth" peut révéler l'emplacement du fichier. | " => suggestions : ['\xa0»', '”']

222 Accord de nombre erroné avec « Quelques exemples » : « valable » devrait être au pluriel. => Quelques exemples valable pour différent gestionnaire de connexion : | valable => suggestions : ['valables']

224 Mot inconnu : gdm => gdm:     -auth /var/gdm/:0.Xauth | gdm
224 Espace(s) surnuméraire(s) à supprimer. => gdm:     -auth /var/gdm/:0.Xauth |       => suggestions : [' ']
224 Mot inconnu : auth => gdm:     -auth /var/gdm/:0.Xauth | auth
224 Mot inconnu : Xauth => gdm:     -auth /var/gdm/:0.Xauth | xauth

226 Mot inconnu : kdm => kdm:     -auth /var/lib/kdm/A:0-crWk72 | kdm
226 Espace(s) surnuméraire(s) à supprimer. => kdm:     -auth /var/lib/kdm/A:0-crWk72 |       => suggestions : [' ']
226 Mot inconnu : auth => kdm:     -auth /var/lib/kdm/A:0-crWk72 | auth
226 Mot inconnu : crWk72 => kdm:     -auth /var/lib/kdm/A:0-crWk72 | crwk72

228 Mot inconnu : xdm => xdm:     -auth /var/lib/xdm/authdir/authfiles/A:0-XQvaJk | xdm
228 Espace(s) surnuméraire(s) à supprimer. => xdm:     -auth /var/lib/xdm/authdir/authfiles/A:0-XQvaJk |       => suggestions : [' ']
228 Mot inconnu : auth => xdm:     -auth /var/lib/xdm/authdir/authfiles/A:0-XQvaJk | auth
228 Mot inconnu : XQvaJk => xdm:     -auth /var/lib/xdm/authdir/authfiles/A:0-XQvaJk | xqvajk

229 Mot inconnu : lightdm => lightdm: -auth /var/run/lightdm/root/:0 | lightdm
229 Mot inconnu : auth => lightdm: -auth /var/run/lightdm/root/:0 | auth

230 Mot inconnu : dtlogin => dtlogin: -auth /var/dt/A:0-UgaaXa | dtlogin
230 Mot inconnu : auth => dtlogin: -auth /var/dt/A:0-UgaaXa | auth
230 Mot inconnu : UgaaXa => dtlogin: -auth /var/dt/A:0-UgaaXa | ugaaxa

235 Forme interrogative ? Mettez un trait d’union. => Assurez vous que le port 5900 est ouvert sur le pare-feu. | assurez vous => suggestions : ['Assurez-vous']

249 Mot inconnu : Lightdm => Redémarrez Lightdm :  | lightdm
249 Espace(s) en fin de ligne à supprimer. => Redémarrez Lightdm :  |   => suggestions : ['']
268 Mot inconnu : FIXME => //Contributeur principal : FIXME.// | fixme
