
5 Mot inconnu : Scrcpy => ====== Scrcpy ====== | scrcpy
160 Mot inconnu : Scrcpy => L'utilisation de **Scrcpy** est plus simple avec une connexion via câble USB. Sans câble c'est un peu plus complexe. | scrcpy

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    adb tcpip 5555 |     => suggestions : ['']
163 Mot inconnu : adb =>    adb tcpip 5555 | adb
163 Mot inconnu : tcpip =>    adb tcpip 5555 | tcpip

164 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => cela indiquera au smartphone le port de connexion qui sera utilisé. Bien sûr, 5555 est __un__ port de connexion, que vous pouvez tout à fait changer. | cela => suggestions : ['Cela']
164 Mot inconnu : __un__ => cela indiquera au smartphone le port de connexion qui sera utilisé. Bien sûr, 5555 est __un__ port de connexion, que vous pouvez tout à fait changer. | __un__

166 Mot inconnu : ip => Maintenant il faut récupérer l'**ip** de votre smartphone : allez dans Paramètre > Système (tout en bas) > À propos du téléphone > État > Adresse IP. Notez cette adresse (en IPV4 ou IPV6). | ip
166 Mot inconnu : IPV4 => Maintenant il faut récupérer l'**ip** de votre smartphone : allez dans Paramètre > Système (tout en bas) > À propos du téléphone > État > Adresse IP. Notez cette adresse (en IPV4 ou IPV6). | ipv4
166 Mot inconnu : IPV6 => Maintenant il faut récupérer l'**ip** de votre smartphone : allez dans Paramètre > Système (tout en bas) > À propos du téléphone > État > Adresse IP. Notez cette adresse (en IPV4 ou IPV6). | ipv6

168 Mot inconnu : wi-fi => Vérifiez que le Wi-Fi est actif sur votre téléphone, et que c'est la même source wi-fi que pour votre PC (votre box, normalement). | wi-fi

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    adb connect address_ip_smartphone:port |     => suggestions : ['']
171 Mot inconnu : adb =>    adb connect address_ip_smartphone:port | adb
171 Mot inconnu : connect =>    adb connect address_ip_smartphone:port | connect
171 Mot inconnu : address_ip_smartphone =>    adb connect address_ip_smartphone:port | address_ip_smartphone
171 Il manque un espace. =>    adb connect address_ip_smartphone:port | port => suggestions : [' port']

172 Mot inconnu : address_ip_smartphone => (remplacez **address_ip_smartphone** par la vraie adresse que vous avez notée, et port, par celui défini ci-dessus - par exemple **adb connect 192.168.1.14:5555**) | address_ip_smartphone
172 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => (remplacez **address_ip_smartphone** par la vraie adresse que vous avez notée, et port, par celui défini ci-dessus - par exemple **adb connect 192.168.1.14:5555**) |  -  => suggestions : [' – ', ' — ', ' − ']
172 Mot inconnu : adb => (remplacez **address_ip_smartphone** par la vraie adresse que vous avez notée, et port, par celui défini ci-dessus - par exemple **adb connect 192.168.1.14:5555**) | adb
172 Mot inconnu : connect => (remplacez **address_ip_smartphone** par la vraie adresse que vous avez notée, et port, par celui défini ci-dessus - par exemple **adb connect 192.168.1.14:5555**) | connect

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    adb devices |     => suggestions : ['']
177 Mot inconnu : adb =>    adb devices | adb
177 Mot inconnu : devices =>    adb devices | devices

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    List of devices attached |     => suggestions : ['']
180 Mot inconnu : List =>    List of devices attached | list
180 Mot inconnu : of =>    List of devices attached | of
180 Mot inconnu : devices =>    List of devices attached | devices
180 Mot inconnu : attached =>    List of devices attached | attached

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    device_ip_address:5555 device |     => suggestions : ['']
181 Mot inconnu : device_ip_address =>    device_ip_address:5555 device | device_ip_address
181 Il manque un espace. =>    device_ip_address:5555 device | 5555 => suggestions : [' 5555']
181 Mot inconnu : device =>    device_ip_address:5555 device | device

183 Mot inconnu : scrcpy => C'est bon on peut utiliser scrcpy comme si on avait un câble. | scrcpy

184 Mot inconnu : lags => <note>Si vous avez des ralentissements ou lags, cela peut venir de la distance avec votre point d’accès WIFI</note>    | lags
184 Espace(s) en fin de ligne à supprimer. => <note>Si vous avez des ralentissements ou lags, cela peut venir de la distance avec votre point d’accès WIFI</note>    |     => suggestions : ['']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    adb kill-server |     => suggestions : ['']
187 Mot inconnu : adb =>    adb kill-server | adb
187 Mot inconnu : kill-server =>    adb kill-server | kill-server

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   adb usb |    => suggestions : ['']
190 Mot inconnu : adb =>   adb usb | adb
190 Mot inconnu : usb =>   adb usb | usb
193 Mot inconnu : scrcpy => Pas de connexion : au terminal la commande **scrcpy** renvoie des messages listés ci-dessous : | scrcpy

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ERROR: "adb push" returned with value 1 |    => suggestions : ['']
196 Mot inconnu : ERROR =>   ERROR: "adb push" returned with value 1 | error
196 Guillemets typographiques ouvrants. =>   ERROR: "adb push" returned with value 1 | " => suggestions : ['«\xa0', '“']
196 Mot inconnu : adb =>   ERROR: "adb push" returned with value 1 | adb
196 Mot inconnu : push =>   ERROR: "adb push" returned with value 1 | push
196 Guillemets typographiques fermants. =>   ERROR: "adb push" returned with value 1 | " => suggestions : ['\xa0»', '”']
196 Mot inconnu : returned =>   ERROR: "adb push" returned with value 1 | returned
196 Mot inconnu : with =>   ERROR: "adb push" returned with value 1 | with

197 Mot inconnu : ADB => ADB (qu'utilise scrcpy) ne voit pas votre téléphone. Vérifiez avec la commande | adb
197 Mot inconnu : scrcpy => ADB (qu'utilise scrcpy) ne voit pas votre téléphone. Vérifiez avec la commande | scrcpy

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   adb devices |    => suggestions : ['']
198 Mot inconnu : adb =>   adb devices | adb
198 Mot inconnu : devices =>   adb devices | devices

199 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => que votre téléphone est vu par ADB. Si ce n'est effectivement pas le cas (la commande ne renvoi rien), il faut trouver la raison :  | que => suggestions : ['Que']
199 Mot inconnu : ADB => que votre téléphone est vu par ADB. Si ce n'est effectivement pas le cas (la commande ne renvoi rien), il faut trouver la raison :  | adb
199 Incohérence avec « ne » : « renvoi » devrait être un verbe. => que votre téléphone est vu par ADB. Si ce n'est effectivement pas le cas (la commande ne renvoi rien), il faut trouver la raison :  | renvoi => suggestions : ['renvoies', 'renvoient', 'renvoie']
199 Espace(s) en fin de ligne à supprimer. => que votre téléphone est vu par ADB. Si ce n'est effectivement pas le cas (la commande ne renvoi rien), il faut trouver la raison :  |   => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - le débogage USB est désactivé (c'est le plus probable).  |    => suggestions : ['']
200 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - le débogage USB est désactivé (c'est le plus probable).  |  -  => suggestions : [' – ', ' — ', ' − ']
200 Espace(s) en fin de ligne à supprimer. =>   - le débogage USB est désactivé (c'est le plus probable).  |   => suggestions : ['']

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si ce n'est pas cela, changez votre câble de port USB. |    => suggestions : ['']
201 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si ce n'est pas cela, changez votre câble de port USB. |  -  => suggestions : [' – ', ' — ', ' − ']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si ce n'est pas cela, changez de câble : ce problème n'est pas du tout exceptionnel. |    => suggestions : ['']
202 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si ce n'est pas cela, changez de câble : ce problème n'est pas du tout exceptionnel. |  -  => suggestions : [' – ', ' — ', ' − ']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   adb: error: failed to get feature set: no devices/emulators found |    => suggestions : ['']
206 Mot inconnu : adb =>   adb: error: failed to get feature set: no devices/emulators found | adb
206 Mot inconnu : error =>   adb: error: failed to get feature set: no devices/emulators found | error
206 Mot inconnu : failed =>   adb: error: failed to get feature set: no devices/emulators found | failed
206 Mot inconnu : to =>   adb: error: failed to get feature set: no devices/emulators found | to
206 Mot inconnu : get =>   adb: error: failed to get feature set: no devices/emulators found | get
206 Mot inconnu : feature =>   adb: error: failed to get feature set: no devices/emulators found | feature
206 Mot inconnu : devices =>   adb: error: failed to get feature set: no devices/emulators found | devices
206 Mot inconnu : emulators =>   adb: error: failed to get feature set: no devices/emulators found | emulators
206 Mot inconnu : found =>   adb: error: failed to get feature set: no devices/emulators found | found

207 Mot inconnu : ADB => l'autorisation **ADB** ("débogage USB") est sans doute à réactiver côté téléphone (ce qui est généralement nécessaire après chaque déconnexion du câble). | adb
207 Guillemets typographiques ouvrants. => l'autorisation **ADB** ("débogage USB") est sans doute à réactiver côté téléphone (ce qui est généralement nécessaire après chaque déconnexion du câble). | " => suggestions : ['«\xa0', '“']
207 Guillemets typographiques fermants. => l'autorisation **ADB** ("débogage USB") est sans doute à réactiver côté téléphone (ce qui est généralement nécessaire après chaque déconnexion du câble). | " => suggestions : ['\xa0»', '”']

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   adb: error: failed to get feature set: more than one device/emulator |    => suggestions : ['']
211 Mot inconnu : adb =>   adb: error: failed to get feature set: more than one device/emulator | adb
211 Mot inconnu : error =>   adb: error: failed to get feature set: more than one device/emulator | error
211 Mot inconnu : failed =>   adb: error: failed to get feature set: more than one device/emulator | failed
211 Mot inconnu : to =>   adb: error: failed to get feature set: more than one device/emulator | to
211 Mot inconnu : get =>   adb: error: failed to get feature set: more than one device/emulator | get
211 Mot inconnu : feature =>   adb: error: failed to get feature set: more than one device/emulator | feature
211 Mot inconnu : than =>   adb: error: failed to get feature set: more than one device/emulator | than
211 Mot inconnu : one =>   adb: error: failed to get feature set: more than one device/emulator | one
211 Mot inconnu : device =>   adb: error: failed to get feature set: more than one device/emulator | device
211 Mot inconnu : emulator =>   adb: error: failed to get feature set: more than one device/emulator | emulator

212 S’il s’agit d’un impératif, mettez un trait d’union. => Débranchez le ou les téléphones surnuméraires. | débranchez le => suggestions : ['Débranchez-le']

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://github.com/Genymobile/scrcpy|Le github de l'application]] |    => suggestions : ['']
216 Mot inconnu : github =>   * **(en)** [[https://github.com/Genymobile/scrcpy|Le github de l'application]] | github

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://korben.info/scrcpy-un-outil-en-ligne-de-commande-pour-afficher-et-controler-un-appareil-android-depuis-son-ordinateur-linux-macos-windows.html|Article sur le site de Korben]] |    => suggestions : ['']
217 Mot inconnu : Korben =>   * **(fr)** [[https://korben.info/scrcpy-un-outil-en-ligne-de-commande-pour-afficher-et-controler-un-appareil-android-depuis-son-ordinateur-linux-macos-windows.html|Article sur le site de Korben]] | korben

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://linuxfr.org/users/rom1v/journaux/scrcpy-une-appli-pour-afficher-et-controler-des-devices-android|Article sur Linux.fr]] |    => suggestions : ['']

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [[kdeconnect-kde|Kdeconnect]], un autre logiciel, avec des fonctionnalités similaires. |    => suggestions : ['']
219 Mot inconnu : kdeconnect-kde =>   *  [[kdeconnect-kde|Kdeconnect]], un autre logiciel, avec des fonctionnalités similaires. | kdeconnect-kde
224 Il manque un espace. => Contributeur: [[utilisateurs:zaienj|Zaienj]] | zaienj => suggestions : [' zaienj']
