
4 Mot inconnu : Glade2script => ======Glade2script====== | glade2script
125 Mot inconnu : GtkAboutDialog =>  - Les windows, statusbars, eventbox, treeviews et GtkAboutDialog n'ont pas besoin d'être référencés. | gtkaboutdialog

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Par défaut, la visibilité d'une fenêtre est sur non, basculer cette option pour la voir au lancement de votre soft. |   => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - AboutDialog: Il faut que le nom du logiciel soit le même que le nom de la fenêtre. |   => suggestions : ['']
129 Mot inconnu : AboutDialog =>  - AboutDialog: Il faut que le nom du logiciel soit le même que le nom de la fenêtre. | aboutdialog

131 Mot inconnu : glade2script => Commandes glade2script: | glade2script

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Les commandes GET@ et SET@ s'utilisent avec des commandes pygtk, c'est pour bien les différencier qu'elles n'ont qu'un seul @ |   => suggestions : ['']
132 Mot inconnu : GET =>  - Les commandes GET@ et SET@ s'utilisent avec des commandes pygtk, c'est pour bien les différencier qu'elles n'ont qu'un seul @ | get
132 Mot inconnu : pygtk =>  - Les commandes GET@ et SET@ s'utilisent avec des commandes pygtk, c'est pour bien les différencier qu'elles n'ont qu'un seul @ | pygtk

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Il faut utiliser l'unicode pour représenter le & |   => suggestions : ['']
135 Mot inconnu : unicode =>  - Il faut utiliser l'unicode pour représenter le & | unicode

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Les sauts de ligne s'écrivent \\n s'ils sont encadrés par des " et \n s'ils sont encadrés par des ' |   => suggestions : ['']
136 Guillemets isolés. =>  - Les sauts de ligne s'écrivent \\n s'ils sont encadrés par des " et \n s'ils sont encadrés par des ' |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Tous les echo du script associé passeront par le script python qui gère GTK(glade2script), les @ ou les echo sans arguments feront planter le soft. |   => suggestions : ['']
137 Mot inconnu : echo =>  - Tous les echo du script associé passeront par le script python qui gère GTK(glade2script), les @ ou les echo sans arguments feront planter le soft. | echo
137 Il manque un espace avant la parenthèse. =>  - Tous les echo du script associé passeront par le script python qui gère GTK(glade2script), les @ ou les echo sans arguments feront planter le soft. | ( => suggestions : [' (']
137 Mot inconnu : glade2script =>  - Tous les echo du script associé passeront par le script python qui gère GTK(glade2script), les @ ou les echo sans arguments feront planter le soft. | glade2script
137 Mot inconnu : echo =>  - Tous les echo du script associé passeront par le script python qui gère GTK(glade2script), les @ ou les echo sans arguments feront planter le soft. | echo

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - En cas d'utilisation statique, chaque echo sera également évalué dans l'environnement, donc plantage assuré en cas d'eval :) |   => suggestions : ['']
138 Mot inconnu : echo =>  - En cas d'utilisation statique, chaque echo sera également évalué dans l'environnement, donc plantage assuré en cas d'eval :) | echo
138 Mot inconnu : eval =>  - En cas d'utilisation statique, chaque echo sera également évalué dans l'environnement, donc plantage assuré en cas d'eval :) | eval

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - En cas d'utilisation de sous-processus et la sortie via les callbacks gtk_widget_destroy, il faudra ajouter un echo après la boucle finale pour éviter le gel de l'application. |   => suggestions : ['']
139 Mot inconnu : callbacks =>  - En cas d'utilisation de sous-processus et la sortie via les callbacks gtk_widget_destroy, il faudra ajouter un echo après la boucle finale pour éviter le gel de l'application. | callbacks
139 Mot inconnu : gtk_widget_destroy =>  - En cas d'utilisation de sous-processus et la sortie via les callbacks gtk_widget_destroy, il faudra ajouter un echo après la boucle finale pour éviter le gel de l'application. | gtk_widget_destroy
139 Mot inconnu : echo =>  - En cas d'utilisation de sous-processus et la sortie via les callbacks gtk_widget_destroy, il faudra ajouter un echo après la boucle finale pour éviter le gel de l'application. | echo

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Pour un affichage en console sans passer par le script python, il suffit de rediriger vers un autre fd. |   => suggestions : ['']
140 Mot inconnu : fd =>  - Pour un affichage en console sans passer par le script python, il suffit de rediriger vers un autre fd. | fd

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       exec 4>$(tty) |        => suggestions : ['']
141 Mot inconnu : exec =>       exec 4>$(tty) | exec
141 Mot inconnu : tty =>       exec 4>$(tty) | tty

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo 'un truc qui ne passera pas par python' >&4 |        => suggestions : ['']
142 Mot inconnu : echo =>       echo 'un truc qui ne passera pas par python' >&4 | echo
142 Guillemets typographiques ouvrants. =>       echo 'un truc qui ne passera pas par python' >&4 | ' => suggestions : ['“', '‘', '‹']
142 Guillemets typographiques fermants. =>       echo 'un truc qui ne passera pas par python' >&4 | ' => suggestions : ['”', '’', '›']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       #Penser à refermer le fd en fin de script: |        => suggestions : ['']
143 Mot inconnu : fd =>       #Penser à refermer le fd en fin de script: | fd

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       exec 4<&- |        => suggestions : ['']
144 Mot inconnu : exec =>       exec 4<&- | exec

146 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note>**A savoir :** | a => suggestions : ['À']

147 Mot inconnu : PID => Le PID de glade2script et du terminal sont accessibles via une commande GET@ | pid
147 Mot inconnu : glade2script => Le PID de glade2script et du terminal sont accessibles via une commande GET@ | glade2script
147 Mot inconnu : GET => Le PID de glade2script et du terminal sont accessibles via une commande GET@ | get

148 Mot inconnu : GET => GET@glade2script_PID et GET@terminal_PID</note> | get
148 Mot inconnu : GET => GET@glade2script_PID et GET@terminal_PID</note> | get
150 Mot inconnu : callback => ====Signaux Gtk et callback==== | callback

152 Mot inconnu : glade => **Dans le glade**, pour chaque widget auquel vous voulez associer une action, il faut renseigner un signal. Ce signal, auquel on aura assigné un callback, lancera une fonction du script associé correspondant au nom du widget, avec un argument. | glade
152 Mot inconnu : callback => **Dans le glade**, pour chaque widget auquel vous voulez associer une action, il faut renseigner un signal. Ce signal, auquel on aura assigné un callback, lancera une fonction du script associé correspondant au nom du widget, avec un argument. | callback

154 Mot inconnu : callbacks => Quelques callbacks n'ont pas de retour, ils agissent directement sur l'interface. | callbacks

156 Accord de genre erroné avec « utilisateurs ». => Il peut être utile de renseigner les données utilisateurs. Le widget renseigné dans ces données, lancera le callback. | données => suggestions : ['donnés']
156 Accord de genre erroné entre « données » et « utilisateurs ». => Il peut être utile de renseigner les données utilisateurs. Le widget renseigné dans ces données, lancera le callback. | utilisateurs => suggestions : ['utilisatrices']
156 Mot inconnu : callback => Il peut être utile de renseigner les données utilisateurs. Le widget renseigné dans ces données, lancera le callback. | callback

157 Accord de genre erroné avec « utilisateur ». => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | données => suggestions : ['donnés']
157 Accord de genre erroné avec « données ». => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | utilisateur => suggestions : ['utilisatrice']
157 Mot inconnu : entry => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | entry
157 Il manque un espace. => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | signal => suggestions : [' signal']
157 Mot inconnu : clicked => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | clicked
157 Mot inconnu : callback => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | callback
157 Mot inconnu : on_entry => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | on_entry
157 Mot inconnu : entry => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | entry
157 Mot inconnu : entry => Par exemple, si on renseigne, en données utilisateur un widget entry sur le signal d'un bouton,signal clicked, callback on_entry, c'est la fonction de l'entry qui sera lancée avec son contenu en argument lorsque le bouton sera enfoncé. En gros, le bouton se fait passer pour l'entry. | entry

158 Accord de genre erroné avec « utilisateurs ». => Les données utilisateurs sont aussi nécessaire au fonctionnement des callbacks qui agissent directement sur l'interface. | données => suggestions : ['donnés']
158 Accord de genre erroné entre « données » et « utilisateurs ». => Les données utilisateurs sont aussi nécessaire au fonctionnement des callbacks qui agissent directement sur l'interface. | utilisateurs => suggestions : ['utilisatrices']
158 Accord erroné : “données” et “nécessaire” ne sont pas accordés. Mettez au pluriel. => Les données utilisateurs sont aussi nécessaire au fonctionnement des callbacks qui agissent directement sur l'interface. | nécessaire => suggestions : ['nécessaires']
158 Mot inconnu : callbacks => Les données utilisateurs sont aussi nécessaire au fonctionnement des callbacks qui agissent directement sur l'interface. | callbacks

160 Mot inconnu : Callbacks => ===Callbacks qui lancent une fonction avec argument:=== | callbacks

161 Mot inconnu : FIXME => FIXME | fixme

162 Mot inconnu : Callbacks => ===Callbacks sans retour:(pour modifier interface directement)=== | callbacks

163 Mot inconnu : FIXME => FIXME | fixme

164 Mot inconnu : callback => ===Détails callback=== | callback

165 Accord avec “sont”. => Les signaux, lorsqu'il sont renseignés, ne sont là que pour l'exemple, d'autres peuvent être utilisés. | il => suggestions : ['ils']
165 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Les signaux, lorsqu'il sont renseignés, ne sont là que pour l'exemple, d'autres peuvent être utilisés. | sont => suggestions : ['est']

166 Mot inconnu : FIXME => FIXME | fixme

168 Mot inconnu : pyGtk => ====Commandes pyGtk==== | pygtk

169 Mot inconnu : pyGtk => Les commandes pyGtk agissent sur un widget, modifient sa valeur, sa taille, etc,etc ... | pygtk
169 Il manque un espace. => Les commandes pyGtk agissent sur un widget, modifient sa valeur, sa taille, etc,etc ... | etc => suggestions : [' etc']
169 Typographie : points de suspension. Utilisez le caractère dédié. => Les commandes pyGtk agissent sur un widget, modifient sa valeur, sa taille, etc,etc ... | ... => suggestions : ['…']

170 Mot inconnu : pyGTK => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | pygtk
170 Mot inconnu : devhelp => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | devhelp
170 Mot inconnu : glade => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | glade
170 Mot inconnu : Lucid => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | lucid
170 Mot inconnu : The => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | the
170 Mot inconnu : Class => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | class
170 Mot inconnu : Reference => Vous trouverez ces commandes dans la doc pyGTK (dans devhelp, installer avec glade sous Lucid, The gtk Class Reference). | reference

171 Mot inconnu : glade => Une grande partie de ces commandes ne nous sont pas nécessaires/disponibles. Certaines sont réglées dans glade, d'autres serait trop compliquées à l'utilisation pour être implantées. Dans la section Gtk Widget Reference, sont rassemblés les principaux widget avec leurs commandes, callback et signaux les plus utilisés. | glade
171 Accord avec la forme verbale “serait” : “compliquées” devrait être au singulier. => Une grande partie de ces commandes ne nous sont pas nécessaires/disponibles. Certaines sont réglées dans glade, d'autres serait trop compliquées à l'utilisation pour être implantées. Dans la section Gtk Widget Reference, sont rassemblés les principaux widget avec leurs commandes, callback et signaux les plus utilisés. | compliquées => suggestions : ['compliquée']
171 Mot inconnu : Reference => Une grande partie de ces commandes ne nous sont pas nécessaires/disponibles. Certaines sont réglées dans glade, d'autres serait trop compliquées à l'utilisation pour être implantées. Dans la section Gtk Widget Reference, sont rassemblés les principaux widget avec leurs commandes, callback et signaux les plus utilisés. | reference
171 Accord de nombre erroné avec « les principaux » : « widget » devrait être au pluriel. => Une grande partie de ces commandes ne nous sont pas nécessaires/disponibles. Certaines sont réglées dans glade, d'autres serait trop compliquées à l'utilisation pour être implantées. Dans la section Gtk Widget Reference, sont rassemblés les principaux widget avec leurs commandes, callback et signaux les plus utilisés. | widget => suggestions : ['widgets']
171 Mot inconnu : callback => Une grande partie de ces commandes ne nous sont pas nécessaires/disponibles. Certaines sont réglées dans glade, d'autres serait trop compliquées à l'utilisation pour être implantées. Dans la section Gtk Widget Reference, sont rassemblés les principaux widget avec leurs commandes, callback et signaux les plus utilisés. | callback

173 Mot inconnu : pyGtk => Pour lancer les commandes pyGtk depuis le script associé, il faut passer par des commandes glade2script. | pygtk
173 Mot inconnu : glade2script => Pour lancer les commandes pyGtk depuis le script associé, il faut passer par des commandes glade2script. | glade2script

175 Mot inconnu : glade2script => ====Commandes glade2script==== | glade2script

176 Mot inconnu : FIXME => FIXME | fixme

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://code.google.com/p/glade2script/|Site officiel de glade2script]] |    => suggestions : ['']
179 Mot inconnu : glade2script =>   * [[http://code.google.com/p/glade2script/|Site officiel de glade2script]] | glade2script
