
4 Mot inconnu : EncFS => ====== Chiffrez aisément vos répertoires avec EncFS ====== | encfs
176 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la prochaine ouverture de session, le système de fichier encrypté sera automatiquement monté dans le répertoire ~/Encrypted et les données de ce répertoire seront automatiquement encryptées et sauvegardées grâce à [[ubuntuone|Ubuntu One]].  | a => suggestions : ['À']
176 Mot inconnu : Encrypted => A la prochaine ouverture de session, le système de fichier encrypté sera automatiquement monté dans le répertoire ~/Encrypted et les données de ce répertoire seront automatiquement encryptées et sauvegardées grâce à [[ubuntuone|Ubuntu One]].  | encrypted
176 Mot inconnu : ubuntuone => A la prochaine ouverture de session, le système de fichier encrypté sera automatiquement monté dans le répertoire ~/Encrypted et les données de ce répertoire seront automatiquement encryptées et sauvegardées grâce à [[ubuntuone|Ubuntu One]].  | ubuntuone
176 Mot inconnu : One => A la prochaine ouverture de session, le système de fichier encrypté sera automatiquement monté dans le répertoire ~/Encrypted et les données de ce répertoire seront automatiquement encryptées et sauvegardées grâce à [[ubuntuone|Ubuntu One]].  | one
176 Espace(s) en fin de ligne à supprimer. => A la prochaine ouverture de session, le système de fichier encrypté sera automatiquement monté dans le répertoire ~/Encrypted et les données de ce répertoire seront automatiquement encryptées et sauvegardées grâce à [[ubuntuone|Ubuntu One]].  |   => suggestions : ['']

178 Mot inconnu : Sirikali => ==== Sirikali ==== | sirikali

179 Mot inconnu : Sirikali => Sirikali gère l'ENCFS (montage, démontage du dossier crypté), il a l'avantage d'être dans les dépôts, [[apt>sirikali]] | sirikali
179 Mot inconnu : ENCFS => Sirikali gère l'ENCFS (montage, démontage du dossier crypté), il a l'avantage d'être dans les dépôts, [[apt>sirikali]] | encfs
179 Mot inconnu : sirikali => Sirikali gère l'ENCFS (montage, démontage du dossier crypté), il a l'avantage d'être dans les dépôts, [[apt>sirikali]] | sirikali

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

181 Guillemets typographiques ouvrants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['«\xa0', '“']
181 Guillemets typographiques fermants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['\xa0»', '”']
181 Guillemets typographiques ouvrants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['«\xa0', '“']
181 Mot inconnu : Settings => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | settings
181 Guillemets typographiques fermants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['\xa0»', '”']
181 Guillemets typographiques ouvrants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['«\xa0', '“']
181 Mot inconnu : Language => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | language
181 Guillemets typographiques fermants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['\xa0»', '”']
181 Guillemets typographiques ouvrants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['«\xa0', '“']
181 Mot inconnu : fr_FR => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | fr_fr
181 Guillemets typographiques fermants. => Lors de la première utilisation, changer la langue dans "Menu" => "Settings" => "Select Language" et cocher "fr_FR". | " => suggestions : ['\xa0»', '”']

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo nano /usr/bin/decrypt |    => suggestions : ['']
188 Mot inconnu : sudo =>   sudo nano /usr/bin/decrypt | sudo
188 Mot inconnu : nano =>   sudo nano /usr/bin/decrypt | nano

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/sh |    => suggestions : ['']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ |    => suggestions : ['']
193 Mot inconnu : encfs =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ | encfs
193 Mot inconnu : coffre_open =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ | coffre_open

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo nano /usr/bin/encrypt |    => suggestions : ['']
195 Mot inconnu : sudo =>   sudo nano /usr/bin/encrypt | sudo
195 Mot inconnu : nano =>   sudo nano /usr/bin/encrypt | nano

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/sh |    => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fusermount -u /home/$USER/coffre_open |    => suggestions : ['']
200 Mot inconnu : fusermount =>   fusermount -u /home/$USER/coffre_open | fusermount
200 Il manque un espace à côté du tiret. =>   fusermount -u /home/$USER/coffre_open |  - => suggestions : [' – ', ' — ']
200 Mot inconnu : coffre_open =>   fusermount -u /home/$USER/coffre_open | coffre_open

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown $USER /usr/bin/decrypt /usr/bin/encrypt |    => suggestions : ['']
204 Mot inconnu : sudo =>   sudo chown $USER /usr/bin/decrypt /usr/bin/encrypt | sudo
204 Mot inconnu : chown =>   sudo chown $USER /usr/bin/decrypt /usr/bin/encrypt | chown

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod 700 /usr/bin/decrypt /usr/bin/encrypt |    => suggestions : ['']
206 Mot inconnu : chmod =>   chmod 700 /usr/bin/decrypt /usr/bin/encrypt | chmod

208 Guillemets typographiques ouvrants. => Désormais, vous pouvez taper ''decrypt'' pour libérer l'accès au répertoire de travail et manipuler vos données chiffrées, puis ''encrypt'' pour refermer l'accès. Vous pouvez aussi utiliser ces commandes pour créer des lanceurs/raccourcis. | '' => suggestions : ['«\xa0', '“']
208 Mot inconnu : decrypt => Désormais, vous pouvez taper ''decrypt'' pour libérer l'accès au répertoire de travail et manipuler vos données chiffrées, puis ''encrypt'' pour refermer l'accès. Vous pouvez aussi utiliser ces commandes pour créer des lanceurs/raccourcis. | decrypt
208 Guillemets typographiques fermants. => Désormais, vous pouvez taper ''decrypt'' pour libérer l'accès au répertoire de travail et manipuler vos données chiffrées, puis ''encrypt'' pour refermer l'accès. Vous pouvez aussi utiliser ces commandes pour créer des lanceurs/raccourcis. | '' => suggestions : ['\xa0»', '”']
208 Guillemets typographiques ouvrants. => Désormais, vous pouvez taper ''decrypt'' pour libérer l'accès au répertoire de travail et manipuler vos données chiffrées, puis ''encrypt'' pour refermer l'accès. Vous pouvez aussi utiliser ces commandes pour créer des lanceurs/raccourcis. | '' => suggestions : ['«\xa0', '“']
208 Mot inconnu : encrypt => Désormais, vous pouvez taper ''decrypt'' pour libérer l'accès au répertoire de travail et manipuler vos données chiffrées, puis ''encrypt'' pour refermer l'accès. Vous pouvez aussi utiliser ces commandes pour créer des lanceurs/raccourcis. | encrypt
208 Guillemets typographiques fermants. => Désormais, vous pouvez taper ''decrypt'' pour libérer l'accès au répertoire de travail et manipuler vos données chiffrées, puis ''encrypt'' pour refermer l'accès. Vous pouvez aussi utiliser ces commandes pour créer des lanceurs/raccourcis. | '' => suggestions : ['\xa0»', '”']

210 Espace(s) surnuméraire(s) à supprimer. => ==== avec un script  ==== |    => suggestions : [' ']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      #!/bin/bash |       => suggestions : ['']

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Script de montage de dossier chiffré avec encfs et fuse. |       => suggestions : ['']
216 Mot inconnu : encfs =>      # Script de montage de dossier chiffré avec encfs et fuse. | encfs

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # A utiliser avec Thunar ou Nautilus, ou en ligne de commande : |       => suggestions : ['']
217 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. =>      # A utiliser avec Thunar ou Nautilus, ou en ligne de commande : | a => suggestions : ['À']
217 Mot inconnu : Thunar =>      # A utiliser avec Thunar ou Nautilus, ou en ligne de commande : | thunar
217 Mot inconnu : Nautilus =>      # A utiliser avec Thunar ou Nautilus, ou en ligne de commande : | nautilus

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # ./mount_enc ~/dossier_de_montage |       => suggestions : ['']
218 Mot inconnu : mount_enc =>      # ./mount_enc ~/dossier_de_montage | mount_enc
218 Mot inconnu : dossier_de_montage =>      # ./mount_enc ~/dossier_de_montage | dossier_de_montage

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Variable à modifier : repertoire contenant les fichiers chiffrés CRYPTEDFOLDER=/home/$USER/.coffre  |       => suggestions : ['']
219 Mot inconnu : repertoire =>      # Variable à modifier : repertoire contenant les fichiers chiffrés CRYPTEDFOLDER=/home/$USER/.coffre  | repertoire
219 Mot inconnu : CRYPTEDFOLDER =>      # Variable à modifier : repertoire contenant les fichiers chiffrés CRYPTEDFOLDER=/home/$USER/.coffre  | cryptedfolder
219 Espace(s) en fin de ligne à supprimer. =>      # Variable à modifier : repertoire contenant les fichiers chiffrés CRYPTEDFOLDER=/home/$USER/.coffre  |   => suggestions : ['']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 |       => suggestions : ['']
220 Mot inconnu : gksudo =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 | gksudo
220 Il manque un espace à côté du tiret. =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 |  - => suggestions : [' – ', ' — ']
220 Guillemets typographiques ouvrants. =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 | " => suggestions : ['«\xa0', '“']
220 Guillemets typographiques fermants. =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 | " => suggestions : ['\xa0»', '”']
220 Mot inconnu : encfs =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 | encfs
220 Il manque un espace à côté du tiret. =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 |  - => suggestions : [' – ', ' — ']
220 Mot inconnu : CRYPTEDFOLDER =>      gksudo -p -m "Entrez le mot de passe" | encfs -S $CRYPTEDFOLDER $1 | cryptedfolder

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      zenity --info --text="Cliquez sur valider pour démonter" |       => suggestions : ['']
221 Mot inconnu : zenity =>      zenity --info --text="Cliquez sur valider pour démonter" | zenity
221 Mot inconnu : text =>      zenity --info --text="Cliquez sur valider pour démonter" | text
221 Guillemets typographiques ouvrants. =>      zenity --info --text="Cliquez sur valider pour démonter" | " => suggestions : ['«\xa0', '“']
221 Guillemets typographiques fermants. =>      zenity --info --text="Cliquez sur valider pour démonter" | " => suggestions : ['\xa0»', '”']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      fusermount -u $1 |       => suggestions : ['']
222 Mot inconnu : fusermount =>      fusermount -u $1 | fusermount
222 Il manque un espace à côté du tiret. =>      fusermount -u $1 |  - => suggestions : [' – ', ' — ']

224 Mot inconnu : Zenity => Ce programme prend comme argument le dossier à monter. Une fois que le dossier est monté, il fait apparaître une boîte de dialogue grâce à Zenity. Et quand on ferme la boîte de dialogue, le dossier chiffré est démonté. | zenity
230 Mot inconnu : systray => Nota : si vous préférez voir une icône dans le systray au lieu d'une boîte de dialogue, remplacer l'expression : | systray

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      zenity --info --text="Cliquez sur valider pour démonter" |       => suggestions : ['']
231 Mot inconnu : zenity =>      zenity --info --text="Cliquez sur valider pour démonter" | zenity
231 Mot inconnu : text =>      zenity --info --text="Cliquez sur valider pour démonter" | text
231 Guillemets typographiques ouvrants. =>      zenity --info --text="Cliquez sur valider pour démonter" | " => suggestions : ['«\xa0', '“']
231 Guillemets typographiques fermants. =>      zenity --info --text="Cliquez sur valider pour démonter" | " => suggestions : ['\xa0»', '”']

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      zenity --notification --text="Démonter EncFs" |       => suggestions : ['']
233 Mot inconnu : zenity =>      zenity --notification --text="Démonter EncFs" | zenity
233 Mot inconnu : text =>      zenity --notification --text="Démonter EncFs" | text
233 Guillemets typographiques ouvrants. =>      zenity --notification --text="Démonter EncFs" | " => suggestions : ['«\xa0', '“']
233 Mot inconnu : EncFs =>      zenity --notification --text="Démonter EncFs" | encfs
233 Guillemets typographiques fermants. =>      zenity --notification --text="Démonter EncFs" | " => suggestions : ['\xa0»', '”']

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
236 Espace(s) en fin de ligne à supprimer. => lancer le script, une foi le dossier monté le terminal se ferme; Relancez le script quand vous souhaitez démonter le dossier.  |   => suggestions : ['']

237 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      #!/bin/bash |       => suggestions : ['']

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Définition de la variable N, chemin du dossier Normal (à modifier avec votre propre chemin) |       => suggestions : ['']

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      N=/home/user/coffre/ |       => suggestions : ['']

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Définition de la variable C, chemin du dossier chiffré (à modifier avec votre propre chemin) |       => suggestions : ['']

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      C=/home/user/.coffre/ |       => suggestions : ['']

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Définition de la variable T, chemin du fichier de test de condition (créer un fichier quelconque caché dans le répertoire chiffré, par exemple ".pointeur.txt") |       => suggestions : ['']
242 Guillemets fermants. =>      # Définition de la variable T, chemin du fichier de test de condition (créer un fichier quelconque caché dans le répertoire chiffré, par exemple ".pointeur.txt") |  " => suggestions : ['\xa0»', '”']
242 Mot inconnu : txt =>      # Définition de la variable T, chemin du fichier de test de condition (créer un fichier quelconque caché dans le répertoire chiffré, par exemple ".pointeur.txt") | txt
242 Guillemets typographiques fermants. =>      # Définition de la variable T, chemin du fichier de test de condition (créer un fichier quelconque caché dans le répertoire chiffré, par exemple ".pointeur.txt") | " => suggestions : ['\xa0»', '”']

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      T=/home/user/coffre/.pointeur.txt |       => suggestions : ['']

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Test de condition (Est ce que le fichier ".pointeur.txt" existe?, si oui démonte le dossier chiffré, sinon monte le dossier) |       => suggestions : ['']
244 Guillemets fermants. =>      # Test de condition (Est ce que le fichier ".pointeur.txt" existe?, si oui démonte le dossier chiffré, sinon monte le dossier) |  " => suggestions : ['\xa0»', '”']
244 Mot inconnu : txt =>      # Test de condition (Est ce que le fichier ".pointeur.txt" existe?, si oui démonte le dossier chiffré, sinon monte le dossier) | txt
244 Guillemets typographiques fermants. =>      # Test de condition (Est ce que le fichier ".pointeur.txt" existe?, si oui démonte le dossier chiffré, sinon monte le dossier) | " => suggestions : ['\xa0»', '”']

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      if [ -e "$T" ]; then |       => suggestions : ['']
245 Pas d’espace après ce signe. =>      if [ -e "$T" ]; then | [  => suggestions : ['[']
245 Guillemets typographiques fermants. =>      if [ -e "$T" ]; then | " => suggestions : ['\xa0»', '”']
245 Pas d’espace avant ce signe. =>      if [ -e "$T" ]; then |  ] => suggestions : [']']
245 Mot inconnu : then =>      if [ -e "$T" ]; then | then

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Démontage du dossier chiffré |       => suggestions : ['']

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      echo "démontage du répertoire chiffré"	 |       => suggestions : ['']
247 Mot inconnu : echo =>      echo "démontage du répertoire chiffré"	 | echo
247 Guillemets typographiques ouvrants. =>      echo "démontage du répertoire chiffré"	 | " => suggestions : ['«\xa0', '“']
247 Guillemets typographiques fermants. =>      echo "démontage du répertoire chiffré"	 | " => suggestions : ['\xa0»', '”']

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # L'utilisation de la ligne suivante est facultative, elle permet juste de créer une fenetre pour confirmer le démontage |       => suggestions : ['']
248 Mot inconnu : fenetre =>      # L'utilisation de la ligne suivante est facultative, elle permet juste de créer une fenetre pour confirmer le démontage | fenetre

249 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      zenity --info --text="Cliquez sur OK pour démonter le répertoire chiffré" |       => suggestions : ['']
249 Mot inconnu : zenity =>      zenity --info --text="Cliquez sur OK pour démonter le répertoire chiffré" | zenity
249 Mot inconnu : text =>      zenity --info --text="Cliquez sur OK pour démonter le répertoire chiffré" | text
249 Guillemets typographiques ouvrants. =>      zenity --info --text="Cliquez sur OK pour démonter le répertoire chiffré" | " => suggestions : ['«\xa0', '“']
249 Guillemets typographiques fermants. =>      zenity --info --text="Cliquez sur OK pour démonter le répertoire chiffré" | " => suggestions : ['\xa0»', '”']

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      fusermount -u $N |       => suggestions : ['']
250 Mot inconnu : fusermount =>      fusermount -u $N | fusermount
250 Il manque un espace à côté du tiret. =>      fusermount -u $N |  - => suggestions : [' – ', ' — ']

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Interdiction d'écriture dans le dossier Normal. |       => suggestions : ['']

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      chmod 440 $N |       => suggestions : ['']
252 Mot inconnu : chmod =>      chmod 440 $N | chmod

253 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      exit |       => suggestions : ['']

254 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      else |       => suggestions : ['']
254 Mot inconnu : else =>      else | else

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Autorisation d'écriture sur le dossier déchiffré |       => suggestions : ['']

256 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      chmod 750 $N |       => suggestions : ['']
256 Mot inconnu : chmod =>      chmod 750 $N | chmod

257 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Montage du dossier chiffré |       => suggestions : ['']

258 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      echo "Montage du répertoire chiffré, entrer le mot de passe" |       => suggestions : ['']
258 Mot inconnu : echo =>      echo "Montage du répertoire chiffré, entrer le mot de passe" | echo
258 Guillemets typographiques ouvrants. =>      echo "Montage du répertoire chiffré, entrer le mot de passe" | " => suggestions : ['«\xa0', '“']
258 Guillemets typographiques fermants. =>      echo "Montage du répertoire chiffré, entrer le mot de passe" | " => suggestions : ['\xa0»', '”']

259 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      encfs $C $N |       => suggestions : ['']
259 Mot inconnu : encfs =>      encfs $C $N | encfs

260 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Ouverture du dossier dans Nemo |       => suggestions : ['']
260 Mot inconnu : Nemo =>      # Ouverture du dossier dans Nemo | nemo

261 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      nemo $N |       => suggestions : ['']
261 Mot inconnu : nemo =>      nemo $N | nemo

262 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      fi |       => suggestions : ['']

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      exit |       => suggestions : ['']

264 Mot inconnu : préference => (Ne pas oublier de créer un fichier (de préference caché) vers lequel le script va pointer dans votre dossier chiffré. Il est possible aussi de pointer vers un fichier existant mais il faudra prendre garde à ne pas l'effacer, le déplacer ou le renommer) | préference
264 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => (Ne pas oublier de créer un fichier (de préference caché) vers lequel le script va pointer dans votre dossier chiffré. Il est possible aussi de pointer vers un fichier existant mais il faudra prendre garde à ne pas l'effacer, le déplacer ou le renommer) |  mais => suggestions : [', mais']

265 Mot inconnu : bhubuntu => ==== un script qui résume et qui va bien par bhubuntu :==== | bhubuntu

268 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     #!/bin/sh |      => suggestions : ['']

269 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # script pour ouvrir .coffre et le fermer facilement |      => suggestions : ['']
269 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     # script pour ouvrir .coffre et le fermer facilement |  . => suggestions : ['. ', '.']

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # 2 Variables à modifier = 2 répertoires contenant 1) fichiers chiffré et 2) fichiers à monter déchiffré |      => suggestions : ['']

271 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # la commande set attribue les valeurs à $1 et $2 |      => suggestions : ['']

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     set /home/$USER/.coffre/dossier_crypte_encfs /home/$USER/.coffre/dossier_montage  |      => suggestions : ['']
272 Mot inconnu : dossier_crypte_encfs =>     set /home/$USER/.coffre/dossier_crypte_encfs /home/$USER/.coffre/dossier_montage  | dossier_crypte_encfs
272 Mot inconnu : dossier_montage =>     set /home/$USER/.coffre/dossier_crypte_encfs /home/$USER/.coffre/dossier_montage  | dossier_montage
272 Espace(s) en fin de ligne à supprimer. =>     set /home/$USER/.coffre/dossier_crypte_encfs /home/$USER/.coffre/dossier_montage  |   => suggestions : ['']

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # on autorise l'écriture sur le dossier déchiffré (voir plus bas) |      => suggestions : ['']

274 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     chmod 750 $2 |      => suggestions : ['']
274 Mot inconnu : chmod =>     chmod 750 $2 | chmod

275 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 |      => suggestions : ['']
275 Mot inconnu : gksudo =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 | gksudo
275 Il manque un espace à côté du tiret. =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 |  - => suggestions : [' – ', ' — ']
275 Guillemets typographiques ouvrants. =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 | " => suggestions : ['«\xa0', '“']
275 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 |  . => suggestions : ['. ', '.']
275 Guillemets typographiques fermants. =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 | " => suggestions : ['\xa0»', '”']
275 Mot inconnu : encfs =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 | encfs
275 Il manque un espace à côté du tiret. =>     gksudo -p -m "Entrez le mot de passe pour ouvrir .coffre" | encfs -S $1 $2 |  - => suggestions : [' – ', ' — ']

276 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # on teste si le dossier par exemple ici 'Perso' est présent |      => suggestions : ['']
276 Guillemets typographiques ouvrants. =>     # on teste si le dossier par exemple ici 'Perso' est présent | ' => suggestions : ['“', '‘', '‹']
276 Guillemets typographiques fermants. =>     # on teste si le dossier par exemple ici 'Perso' est présent | ' => suggestions : ['”', '’', '›']

277 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # si le mot de passe était faux le dossier montage apparaitrait vide donc on passe à else |      => suggestions : ['']
277 Mot inconnu : else =>     # si le mot de passe était faux le dossier montage apparaitrait vide donc on passe à else | else

278 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # |      => suggestions : ['']

279 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if [ -e $2"/Perso" ]; then |      => suggestions : ['']
279 Pas d’espace après ce signe. =>     if [ -e $2"/Perso" ]; then | [  => suggestions : ['[']
279 Guillemets typographiques fermants. =>     if [ -e $2"/Perso" ]; then | " => suggestions : ['\xa0»', '”']
279 Guillemets typographiques fermants. =>     if [ -e $2"/Perso" ]; then | " => suggestions : ['\xa0»', '”']
279 Pas d’espace avant ce signe. =>     if [ -e $2"/Perso" ]; then |  ] => suggestions : [']']
279 Mot inconnu : then =>     if [ -e $2"/Perso" ]; then | then

280 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # on affiche le dossier crypté dans nautilus |      => suggestions : ['']
280 Mot inconnu : nautilus =>     # on affiche le dossier crypté dans nautilus | nautilus

281 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     nautilus $2 |      => suggestions : ['']
281 Mot inconnu : nautilus =>     nautilus $2 | nautilus

282 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # notification dans le systray pour masquer le dossier crypté |      => suggestions : ['']
282 Mot inconnu : systray =>     # notification dans le systray pour masquer le dossier crypté | systray

