
3 Mot inconnu : Fvwm-crystal => ====== Fvwm-crystal ====== | fvwm-crystal
149 Accord de genre erroné : « une » est un déterminant féminin. => Dans ces dernières versions, un gestionnaire de bureau natif a été ajouté. Il propose 3 groupes d'icônes: $HOME, les répertoires xdg utilisateurs ($HOME/Musique, etc.) et les partitions montées. Les deux premiers boutons de la souris peuvent être associés aux gestionnaires de fichiers de votre choix et même à des commandes personnalisées. Le bouton de droit est une menu contextuel qui soit vous indique le chemin associé à l'icône, soit dans le cas de $HOME, vous propose son menu de préférence. | menu => suggestions : ['menue']

151 Mot inconnu : ROX-Filer => Dans le menu des préférences principales, vous pouvez choisir si vous voulez l'utiliser ou pas, ou si vous préférez utiliser le ROX-Filer ou Nautilus. | rox-filer
151 Mot inconnu : Nautilus => Dans le menu des préférences principales, vous pouvez choisir si vous voulez l'utiliser ou pas, ou si vous préférez utiliser le ROX-Filer ou Nautilus. | nautilus
153 Mot inconnu : rox-filer => Le [[apt>rox-filer]] une application un peu complexe au début mais tellement pratique et puissante quand on la configure bien ( démarrage de [[nautilus]] sous [[gnome]] : 5 secondes et démarrage de rox-filer : quasi instantané 0.01 seconde ! )  | rox-filer
153 Pas d’espace après ce signe. => Le [[apt>rox-filer]] une application un peu complexe au début mais tellement pratique et puissante quand on la configure bien ( démarrage de [[nautilus]] sous [[gnome]] : 5 secondes et démarrage de rox-filer : quasi instantané 0.01 seconde ! )  | (  => suggestions : ['(']
153 Mot inconnu : nautilus => Le [[apt>rox-filer]] une application un peu complexe au début mais tellement pratique et puissante quand on la configure bien ( démarrage de [[nautilus]] sous [[gnome]] : 5 secondes et démarrage de rox-filer : quasi instantané 0.01 seconde ! )  | nautilus
153 Mot inconnu : rox-filer => Le [[apt>rox-filer]] une application un peu complexe au début mais tellement pratique et puissante quand on la configure bien ( démarrage de [[nautilus]] sous [[gnome]] : 5 secondes et démarrage de rox-filer : quasi instantané 0.01 seconde ! )  | rox-filer
153 Pas d’espace avant ce signe. => Le [[apt>rox-filer]] une application un peu complexe au début mais tellement pratique et puissante quand on la configure bien ( démarrage de [[nautilus]] sous [[gnome]] : 5 secondes et démarrage de rox-filer : quasi instantané 0.01 seconde ! )  |  ) => suggestions : [')']
153 Espace(s) en fin de ligne à supprimer. => Le [[apt>rox-filer]] une application un peu complexe au début mais tellement pratique et puissante quand on la configure bien ( démarrage de [[nautilus]] sous [[gnome]] : 5 secondes et démarrage de rox-filer : quasi instantané 0.01 seconde ! )  |   => suggestions : ['']

157 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Avec le gestionnaire de bureau natif, vous pouvez associez même des gestionnaires de fichiers. | associez => suggestions : ['associer']

165 Mot inconnu : firefox => Vous pouvez mettre firefox en mode plein écran avec la touche F11. Fvwm-crystal vous permet de faire cela avec pratiquement n'importe quelle application. Il suffit de taper Alt+* (* sur le clavier numérique). | firefox
165 Mot inconnu : F11 => Vous pouvez mettre firefox en mode plein écran avec la touche F11. Fvwm-crystal vous permet de faire cela avec pratiquement n'importe quelle application. Il suffit de taper Alt+* (* sur le clavier numérique). | f11
165 Mot inconnu : Fvwm-crystal => Vous pouvez mettre firefox en mode plein écran avec la touche F11. Fvwm-crystal vous permet de faire cela avec pratiquement n'importe quelle application. Il suffit de taper Alt+* (* sur le clavier numérique). | fvwm-crystal

166 Mot inconnu : Shift => Alt+Shift+F va mettre tous les fenêtres de l'espace de travail courant en plein écran, | shift
166 Erreur d’accord probable : « fenêtres » est féminin. => Alt+Shift+F va mettre tous les fenêtres de l'espace de travail courant en plein écran, | tous => suggestions : ['toutes']
166 Erreur d’accord probable : « tous » est masculin. => Alt+Shift+F va mettre tous les fenêtres de l'espace de travail courant en plein écran, | fenêtres => suggestions : ['fenêtrés']

167 Mot inconnu : Shift => Alt+Shift+* permet de naviguer entre ces fenêtres et le bureau d'une façon comparable à celle de l'Amiga OS (tapez plusieurs fois Alt+Shift+* pour voir). Fvwm-crystal est le seul bureau à proposer cette façon de naviguer dans l'espace du bureau. | shift
167 Mot inconnu : Shift => Alt+Shift+* permet de naviguer entre ces fenêtres et le bureau d'une façon comparable à celle de l'Amiga OS (tapez plusieurs fois Alt+Shift+* pour voir). Fvwm-crystal est le seul bureau à proposer cette façon de naviguer dans l'espace du bureau. | shift
167 Mot inconnu : Fvwm-crystal => Alt+Shift+* permet de naviguer entre ces fenêtres et le bureau d'une façon comparable à celle de l'Amiga OS (tapez plusieurs fois Alt+Shift+* pour voir). Fvwm-crystal est le seul bureau à proposer cette façon de naviguer dans l'espace du bureau. | fvwm-crystal

169 Pas d’espace avant un point. => Les touches . et 0 du clavier numérique permettent de passer en avant plan et en arrière plan les fenêtres. |  . => suggestions : ['.']

170 Mot inconnu : Shift => Les combinaisons Alt+Shift+1 à Alt+Shift+4 permettent d'arranger automatiquement les fenêtres. | shift
170 Mot inconnu : Shift => Les combinaisons Alt+Shift+1 à Alt+Shift+4 permettent d'arranger automatiquement les fenêtres. | shift

171 Pléonasme. => Il y a encore beaucoup d'autres combinaisons de touches, comme par exemple un clone d'Expose disponible avec Alt+E. Elles sont expliquées dans l'aide. | comme par exemple => suggestions : ['comme', 'par exemple']

175 Mot inconnu : linux => Les bons éditeurs de texte sont nombreux avec linux je pense que vous trouverez votre bonheur... | linux
175 Typographie : points de suspension. Utilisez le caractère dédié. => Les bons éditeurs de texte sont nombreux avec linux je pense que vous trouverez votre bonheur... | ... => suggestions : ['…']

177 Mot inconnu : emacs => J'utilise [[emacs]] et [[scite]] avec sa coloration syntaxique de pleins de langages différents et [[nano]] en console. Vous pouvez aussi utiliser [[vim]], mais il est probablement plus complexe à utiliser pour les non-habitués. | emacs
177 Mot inconnu : scite => J'utilise [[emacs]] et [[scite]] avec sa coloration syntaxique de pleins de langages différents et [[nano]] en console. Vous pouvez aussi utiliser [[vim]], mais il est probablement plus complexe à utiliser pour les non-habitués. | scite
177 S’il s’agit d’une préposition et non d’un adjectif, “plein” doit être au singulier. => J'utilise [[emacs]] et [[scite]] avec sa coloration syntaxique de pleins de langages différents et [[nano]] en console. Vous pouvez aussi utiliser [[vim]], mais il est probablement plus complexe à utiliser pour les non-habitués. | pleins => suggestions : ['plein']
177 Mot inconnu : nano => J'utilise [[emacs]] et [[scite]] avec sa coloration syntaxique de pleins de langages différents et [[nano]] en console. Vous pouvez aussi utiliser [[vim]], mais il est probablement plus complexe à utiliser pour les non-habitués. | nano
177 Mot inconnu : vim => J'utilise [[emacs]] et [[scite]] avec sa coloration syntaxique de pleins de langages différents et [[nano]] en console. Vous pouvez aussi utiliser [[vim]], mais il est probablement plus complexe à utiliser pour les non-habitués. | vim

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La [[liste_applications_legeres|liste des applications légères]], |    => suggestions : ['']
184 Mot inconnu : liste_applications_legeres =>   * La [[liste_applications_legeres|liste des applications légères]], | liste_applications_legeres

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[mini_ram|Comment installer Ubuntu sur une machine ayant peu de mémoire vive (RAM)],  |    => suggestions : ['']
185 Mot inconnu : mini_ram =>   *[[mini_ram|Comment installer Ubuntu sur une machine ayant peu de mémoire vive (RAM)],  | mini_ram
185 Espace(s) en fin de ligne à supprimer. =>   *[[mini_ram|Comment installer Ubuntu sur une machine ayant peu de mémoire vive (RAM)],  |   => suggestions : ['']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://fvwm-crystal.sourceforge.net/|site officiel]] |    => suggestions : ['']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Demi-résolu] [[https://forum.ubuntu-fr.org/viewtopic.php?pid=737012|FVWM-Crystal : installer un thème]] (forum ubuntu) |    => suggestions : ['']
187 Mot inconnu : FVWM-Crystal =>   *  [Demi-résolu] [[https://forum.ubuntu-fr.org/viewtopic.php?pid=737012|FVWM-Crystal : installer un thème]] (forum ubuntu) | fvwm-crystal

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://miguel.moquillon.free.fr/miguel/articles/fvwm-crystal.html|FVWM-Crystal sur une Ubuntu, tutoriel pour bien le prendre en main et le configurer]] |    => suggestions : ['']
188 Mot inconnu : FVWM-Crystal =>   * [[http://miguel.moquillon.free.fr/miguel/articles/fvwm-crystal.html|FVWM-Crystal sur une Ubuntu, tutoriel pour bien le prendre en main et le configurer]] | fvwm-crystal

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (fr) [[http://desintegr.free.fr/dokuwiki/doku.php?id=linux:fvwm|desintegr.free.fr]] |    => suggestions : ['']
191 Mot inconnu : fvwm =>   * (fr) [[http://desintegr.free.fr/dokuwiki/doku.php?id=linux:fvwm|desintegr.free.fr]] | fvwm

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) http://xwinman.org/fvwm.php |    => suggestions : ['']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://xwinman.org/rc/fvwm2rc-taviso|taviso]] |    => suggestions : ['']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.lynucs.org/?&ikaro|ikaro]] ([[http://ikaro.deviantart.com/|deviantart]]) |    => suggestions : ['']
