5 Mot inconnu : isc-dhcp-server => ====== Serveur PC : isc-dhcp-server ====== | isc-dhcp-server
183 Mot inconnu : routers =>   option routers 192.168.1.1; | routers

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ## Plage d'attribution d'adresse |          => suggestions : ['']

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         # Ici débute à 1.5, 1.1 à 1.4 étant déjà prises. |          => suggestions : ['']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         # La plage ne contient qu'1 adresse ce qui empêche l'attribution sauf au client dont celle-ci est fixée. |          => suggestions : ['']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	range 192.168.1.5 192.168.1.5; |    => suggestions : ['']
187 Incohérence : espace et tabulation. =>   	range 192.168.1.5 192.168.1.5; |  	 => suggestions : [' ', '\t']

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ## Option pxe nom du fichier servi. |    => suggestions : ['']
188 Mot inconnu : pxe =>   ## Option pxe nom du fichier servi. | pxe

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # elilo.efi pour ia64; pxelinux.0 pour x86 |    => suggestions : ['']
189 Mot inconnu : elilo =>   # elilo.efi pour ia64; pxelinux.0 pour x86 | elilo
189 Mot inconnu : efi =>   # elilo.efi pour ia64; pxelinux.0 pour x86 | efi
189 Mot inconnu : ia64 =>   # elilo.efi pour ia64; pxelinux.0 pour x86 | ia64
189 Mot inconnu : pxelinux =>   # elilo.efi pour ia64; pxelinux.0 pour x86 | pxelinux
189 Mot inconnu : x86 =>   # elilo.efi pour ia64; pxelinux.0 pour x86 | x86

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # À placer à la racine du serveur TFTP. |    => suggestions : ['']
190 Mot inconnu : TFTP =>   # À placer à la racine du serveur TFTP. | tftp

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Le fichier peut être spécifié dans la section « host », il deviendra alors prioritaire sur celui-ci  |    => suggestions : ['']
191 Mot inconnu : host =>   # Le fichier peut être spécifié dans la section « host », il deviendra alors prioritaire sur celui-ci  | host
191 Espace(s) en fin de ligne à supprimer. =>   # Le fichier peut être spécifié dans la section « host », il deviendra alors prioritaire sur celui-ci  |   => suggestions : ['']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   filename "pxelinux.0"; |    => suggestions : ['']
192 Mot inconnu : filename =>   filename "pxelinux.0"; | filename
192 Guillemets typographiques ouvrants. =>   filename "pxelinux.0"; | " => suggestions : ['«\xa0', '“']
192 Mot inconnu : pxelinux =>   filename "pxelinux.0"; | pxelinux
192 Guillemets typographiques fermants. =>   filename "pxelinux.0"; | " => suggestions : ['\xa0»', '”']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # définit le serveur qui servira le fichier « pxelinux.0 » |    => suggestions : ['']
193 Mot inconnu : pxelinux =>   # définit le serveur qui servira le fichier « pxelinux.0 » | pxelinux

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   next-server 192.168.2.1; |    => suggestions : ['']
194 Mot inconnu : next-server =>   next-server 192.168.2.1; | next-server

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # évalue si l'adresse est déjà attribuée |    => suggestions : ['']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ping-check = 1; |    => suggestions : ['']
196 Mot inconnu : ping-check =>   ping-check = 1; | ping-check

199 Grands nombres : utilisez des espaces insécables plutôt que des points. => ## Déclaration sous réseau 192.168.2.* | 192.168 => suggestions : ['192\xa0168']

200 Mot inconnu : subnet => subnet 192.168.2.0 netmask 255.255.255.0 { | subnet
200 Mot inconnu : netmask => subnet 192.168.2.0 netmask 255.255.255.0 { | netmask

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option domain-name "ubuntu-fr.lan"; |    => suggestions : ['']
201 Mot inconnu : domain-name =>   option domain-name "ubuntu-fr.lan"; | domain-name
201 Guillemets typographiques ouvrants. =>   option domain-name "ubuntu-fr.lan"; | " => suggestions : ['«\xa0', '“']
201 Mot inconnu : ubuntu-fr =>   option domain-name "ubuntu-fr.lan"; | ubuntu-fr
201 Mot inconnu : lan =>   option domain-name "ubuntu-fr.lan"; | lan
201 Guillemets typographiques fermants. =>   option domain-name "ubuntu-fr.lan"; | " => suggestions : ['\xa0»', '”']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option broadcast-address 192.168.2.255; |    => suggestions : ['']
202 Mot inconnu : broadcast-address =>   option broadcast-address 192.168.2.255; | broadcast-address

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option domain-name-servers 8.8.8.8, 1.1.1.1; |    => suggestions : ['']
203 Mot inconnu : domain-name-servers =>   option domain-name-servers 8.8.8.8, 1.1.1.1; | domain-name-servers

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option routers 192.168.2.1; |    => suggestions : ['']
204 Mot inconnu : routers =>   option routers 192.168.2.1; | routers

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	range 192.168.2.2 192.168.2.3; |    => suggestions : ['']
205 Incohérence : espace et tabulation. =>   	range 192.168.2.2 192.168.2.3; |  	 => suggestions : [' ', '\t']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ping-check = 1; |    => suggestions : ['']
206 Mot inconnu : ping-check =>   ping-check = 1; | ping-check

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   filename "pxelinux.0"; |    => suggestions : ['']
207 Mot inconnu : filename =>   filename "pxelinux.0"; | filename
207 Guillemets typographiques ouvrants. =>   filename "pxelinux.0"; | " => suggestions : ['«\xa0', '“']
207 Mot inconnu : pxelinux =>   filename "pxelinux.0"; | pxelinux
207 Guillemets typographiques fermants. =>   filename "pxelinux.0"; | " => suggestions : ['\xa0»', '”']

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   next-server 192.168.2.1; |    => suggestions : ['']
208 Mot inconnu : next-server =>   next-server 192.168.2.1; | next-server

213 Mot inconnu : host => host ftp { | host

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hardware ethernet 00:0f:75:af:eb:44; |    => suggestions : ['']
214 Mot inconnu : ethernet =>   hardware ethernet 00:0f:75:af:eb:44; | ethernet
214 Mot inconnu : af =>   hardware ethernet 00:0f:75:af:eb:44; | af
214 Mot inconnu : eb =>   hardware ethernet 00:0f:75:af:eb:44; | eb
214 Il manque un espace. =>   hardware ethernet 00:0f:75:af:eb:44; | 44 => suggestions : [' 44']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fixed-address 192.168.1.2; |    => suggestions : ['']
215 Mot inconnu : fixed-address =>   fixed-address 192.168.1.2; | fixed-address

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ### PXE ### |    => suggestions : ['']
216 Mot inconnu : PXE =>   ### PXE ### | pxe

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # fichier spécifique à une machine  |    => suggestions : ['']
217 Espace(s) en fin de ligne à supprimer. =>   # fichier spécifique à une machine  |   => suggestions : ['']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # filename "debian-installer/ia64/elilo.efi"; |    => suggestions : ['']
218 Mot inconnu : filename =>   # filename "debian-installer/ia64/elilo.efi"; | filename
218 Guillemets typographiques ouvrants. =>   # filename "debian-installer/ia64/elilo.efi"; | " => suggestions : ['«\xa0', '“']
218 Mot inconnu : debian-installer =>   # filename "debian-installer/ia64/elilo.efi"; | debian-installer
218 Mot inconnu : ia64 =>   # filename "debian-installer/ia64/elilo.efi"; | ia64
218 Mot inconnu : elilo =>   # filename "debian-installer/ia64/elilo.efi"; | elilo
218 Mot inconnu : efi =>   # filename "debian-installer/ia64/elilo.efi"; | efi
218 Guillemets typographiques fermants. =>   # filename "debian-installer/ia64/elilo.efi"; | " => suggestions : ['\xa0»', '”']

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # definit le serveur qui servira le fichier pxelinux.0 |    => suggestions : ['']
219 Mot inconnu : definit =>   # definit le serveur qui servira le fichier pxelinux.0 | definit
219 Mot inconnu : pxelinux =>   # definit le serveur qui servira le fichier pxelinux.0 | pxelinux

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # next-server 192.168.2.1; |    => suggestions : ['']
220 Mot inconnu : next-server =>   # next-server 192.168.2.1; | next-server

221 Espace(s) en fin de ligne à supprimer. => }  |   => suggestions : ['']

223 Mot inconnu : host => host web { | host

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hardware ethernet 00:02:0d:31:d1:cc; |    => suggestions : ['']
224 Mot inconnu : ethernet =>   hardware ethernet 00:02:0d:31:d1:cc; | ethernet
224 Il manque un espace. =>   hardware ethernet 00:02:0d:31:d1:cc; | 31 => suggestions : [' 31']
224 Mot inconnu : d1 =>   hardware ethernet 00:02:0d:31:d1:cc; | d1
224 Il manque un espace. =>   hardware ethernet 00:02:0d:31:d1:cc; | cc => suggestions : [' cc']
224 Mot inconnu : cc =>   hardware ethernet 00:02:0d:31:d1:cc; | cc

225 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fixed-address 192.168.1.3; |    => suggestions : ['']
225 Mot inconnu : fixed-address =>   fixed-address 192.168.1.3; | fixed-address

228 Mot inconnu : host => host mail { | host

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hardware ethernet 00:02:55:d2:d1:cc; |    => suggestions : ['']
229 Mot inconnu : ethernet =>   hardware ethernet 00:02:55:d2:d1:cc; | ethernet
229 Mot inconnu : d2 =>   hardware ethernet 00:02:55:d2:d1:cc; | d2
229 Mot inconnu : d1 =>   hardware ethernet 00:02:55:d2:d1:cc; | d1
229 Il manque un espace. =>   hardware ethernet 00:02:55:d2:d1:cc; | cc => suggestions : [' cc']
229 Mot inconnu : cc =>   hardware ethernet 00:02:55:d2:d1:cc; | cc

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fixed-address 192.168.1.4; |    => suggestions : ['']
230 Mot inconnu : fixed-address =>   fixed-address 192.168.1.4; | fixed-address

233 Mot inconnu : host => host portable { | host

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hardware ethernet 00:0e:af:31:d1:cc; |    => suggestions : ['']
234 Mot inconnu : ethernet =>   hardware ethernet 00:0e:af:31:d1:cc; | ethernet
234 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>   hardware ethernet 00:0e:af:31:d1:cc; | 0e => suggestions : ['0ᵉ']
234 Mot inconnu : af =>   hardware ethernet 00:0e:af:31:d1:cc; | af
234 Il manque un espace. =>   hardware ethernet 00:0e:af:31:d1:cc; | 31 => suggestions : [' 31']
234 Mot inconnu : d1 =>   hardware ethernet 00:0e:af:31:d1:cc; | d1
234 Il manque un espace. =>   hardware ethernet 00:0e:af:31:d1:cc; | cc => suggestions : [' cc']
234 Mot inconnu : cc =>   hardware ethernet 00:0e:af:31:d1:cc; | cc

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fixed-address 192.168.2.2; |    => suggestions : ['']
235 Mot inconnu : fixed-address =>   fixed-address 192.168.2.2; | fixed-address

239 Mot inconnu : group => group { | group

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") |    => suggestions : ['']
240 Guillemets typographiques ouvrants. =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") | " => suggestions : ['«\xa0', '“']
240 Mot inconnu : desktop =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") | desktop
240 Guillemets typographiques fermants. =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") | " => suggestions : ['\xa0»', '”']
240 Guillemets typographiques ouvrants. =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") | " => suggestions : ['«\xa0', '“']
240 Mot inconnu : tv =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") | tv
240 Guillemets typographiques fermants. =>   # Tout le groupe disposera d'un autre serveur DNS (dans ce cas "desktop" et "tv") | " => suggestions : ['\xa0»', '”']

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   options domain-name-servers 8.8.4.4; |    => suggestions : ['']
241 Mot inconnu : domain-name-servers =>   options domain-name-servers 8.8.4.4; | domain-name-servers

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   host desktop { |    => suggestions : ['']
242 Mot inconnu : host =>   host desktop { | host
242 Mot inconnu : desktop =>   host desktop { | desktop

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     hardware ethernet ab:cd:ef:11:22:33; |      => suggestions : ['']
243 Mot inconnu : ethernet =>     hardware ethernet ab:cd:ef:11:22:33; | ethernet
243 Il manque un espace. =>     hardware ethernet ab:cd:ef:11:22:33; | cd => suggestions : [' cd']
243 Mot inconnu : ef =>     hardware ethernet ab:cd:ef:11:22:33; | ef
243 Il manque un espace. =>     hardware ethernet ab:cd:ef:11:22:33; | 11 => suggestions : [' 11']

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   host tv { |    => suggestions : ['']
246 Mot inconnu : host =>   host tv { | host
246 Mot inconnu : tv =>   host tv { | tv

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     hardware ethernet 33:22:11:ef:cd:ab; |      => suggestions : ['']
247 Mot inconnu : ethernet =>     hardware ethernet 33:22:11:ef:cd:ab; | ethernet
247 Mot inconnu : ef =>     hardware ethernet 33:22:11:ef:cd:ab; | ef
247 Il manque un espace. =>     hardware ethernet 33:22:11:ef:cd:ab; | ab => suggestions : [' ab']

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

258 Il faut élider “si” et l’accoler au pronom. => Si il y a des messages d'erreurs, regardez le fichier suivant : | si  => suggestions : ['S’']

266 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le fichier de conf **/etc/dhcp/dhcpd.conf**, ajoutez : (voir dans l'exemple plus haut)  |    => suggestions : ['']
266 Espace(s) en fin de ligne à supprimer. =>   * Dans le fichier de conf **/etc/dhcp/dhcpd.conf**, ajoutez : (voir dans l'exemple plus haut)  |   => suggestions : ['']

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer le fichier /var/log/dhcpd.log avec comme propriétaire syslog (droits rw) et comme groupe adm (droits r). |    => suggestions : ['']
270 Mot inconnu : syslog =>   * Créer le fichier /var/log/dhcpd.log avec comme propriétaire syslog (droits rw) et comme groupe adm (droits r). | syslog
270 Mot inconnu : rw =>   * Créer le fichier /var/log/dhcpd.log avec comme propriétaire syslog (droits rw) et comme groupe adm (droits r). | rw
270 Mot inconnu : adm =>   * Créer le fichier /var/log/dhcpd.log avec comme propriétaire syslog (droits rw) et comme groupe adm (droits r). | adm

276 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puis ajouter ceci dans le fichier /etc/rsyslog.d/50-default.conf : |    => suggestions : ['']

278 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour ne plus logguer dans syslog, dans /etc/rsyslog.d/50-default.conf modifier : |    => suggestions : ['']
278 Mot inconnu : logguer =>   * Pour ne plus logguer dans syslog, dans /etc/rsyslog.d/50-default.conf modifier : | logguer
278 Mot inconnu : syslog =>   * Pour ne plus logguer dans syslog, dans /etc/rsyslog.d/50-default.conf modifier : | syslog

283 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * et relancer les daemons syslog et isc-dhcp-server |    => suggestions : ['']
283 Mot inconnu : daemons =>   * et relancer les daemons syslog et isc-dhcp-server | daemons
283 Mot inconnu : syslog =>   * et relancer les daemons syslog et isc-dhcp-server | syslog
283 Mot inconnu : isc-dhcp-server =>   * et relancer les daemons syslog et isc-dhcp-server | isc-dhcp-server

285 Mot inconnu : sudo => sudo service isc-dhcp-server restart</code> | sudo
285 Mot inconnu : isc-dhcp-server => sudo service isc-dhcp-server restart</code> | isc-dhcp-server
285 Mot inconnu : restart => sudo service isc-dhcp-server restart</code> | restart

287 Mot inconnu : Leases => ==== Baux (Leases) ==== | leases

289 Typographie : points de suspension. Utilisez le caractère dédié. => Par défaut, le fichier **/var/lib/dhcp/dhcpd.leases** donne des informations sur les baux actuellement distribués par le serveur. On y retrouve des informations essentielles comme l'adresse IP distribuée à une adresse MAC, le nom de la machine qui a fait cette demande DHCP, l'heure de début et de fin du bail... | ... => suggestions : ['…']

291 Mot inconnu : lease => lease 192.168.2.128 { | lease

292 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   starts 2 2012/07/31 20:24:28; |    => suggestions : ['']
292 Mot inconnu : starts =>   starts 2 2012/07/31 20:24:28; | starts

293 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ends 3 2012/08/01 01:24:28; |    => suggestions : ['']
293 Mot inconnu : ends =>   ends 3 2012/08/01 01:24:28; | ends

294 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ... |     => suggestions : ['']
294 Typographie : points de suspension. Utilisez le caractère dédié. =>    ... | ... => suggestions : ['…']

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    hardware ethernet 01:11:5b:12:34:56; |     => suggestions : ['']
295 Mot inconnu : ethernet =>    hardware ethernet 01:11:5b:12:34:56; | ethernet
295 Il manque un espace. =>    hardware ethernet 01:11:5b:12:34:56; | 12 => suggestions : [' 12']

296 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ... |     => suggestions : ['']
296 Typographie : points de suspension. Utilisez le caractère dédié. =>    ... | ... => suggestions : ['…']

297 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    client-hostname "machine01"; |     => suggestions : ['']
297 Mot inconnu : client-hostname =>    client-hostname "machine01"; | client-hostname
297 Guillemets typographiques ouvrants. =>    client-hostname "machine01"; | " => suggestions : ['«\xa0', '“']
297 Mot inconnu : machine01 =>    client-hostname "machine01"; | machine01
297 Guillemets typographiques fermants. =>    client-hostname "machine01"; | " => suggestions : ['\xa0»', '”']

303 Mot inconnu : TCP => Dans ce cas, un relais DHCP peut être placé sur chaque segment réseau. L'agent relais écoute les requêtes des clients et les transfère au serveur DHCP. Cette fois-ci, le serveur peut être contacté, puisque l'agent relais établit la connexion via une connexion TCP/IP. | tcp
306 Espace(s) en fin de ligne à supprimer. => Vous devrez changer la configuration par défaut en éditant le fichier /etc/default/dhcpd-relay :  |   => suggestions : ['']

308 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => # le serveur DHCP a relayer | a => suggestions : ['à']
308 Ce verbe devrait être un participe passé au masculin singulier. => # le serveur DHCP a relayer | relayer => suggestions : ['relayé']

309 Mot inconnu : SERVERS => SERVERS="192.168.1.1" | servers

310 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => # Interface a écouter | a => suggestions : ['à']
310 Incohérence probable avec “a” : “écouter” n’est pas un participe passé. => # Interface a écouter | écouter => suggestions : ['écouté']

311 Guillemets typographiques ouvrants. => INTERFACES="eth0 eth1" | " => suggestions : ['«\xa0', '“']
311 Mot inconnu : eth0 => INTERFACES="eth0 eth1" | eth0
311 Mot inconnu : eth1 => INTERFACES="eth0 eth1" | eth1
311 Guillemets typographiques fermants. => INTERFACES="eth0 eth1" | " => suggestions : ['\xa0»', '”']

320 Mot inconnu : subnet => subnet 192.168.2.0 netmask 255.255.255.0 {} | subnet
320 Mot inconnu : netmask => subnet 192.168.2.0 netmask 255.255.255.0 {} | netmask

323 Mot inconnu : ipTV => ===== Configuration ipTV ===== | iptv

324 Mot inconnu : ipTV => Pour l'ipTV (exemple TV d'Orange) avec DHCP de la box désactivé, il faut utiliser cette configuration :  | iptv
324 Espace(s) en fin de ligne à supprimer. => Pour l'ipTV (exemple TV d'Orange) avec DHCP de la box désactivé, il faut utiliser cette configuration :  |   => suggestions : ['']

326 Mot inconnu : host => host tvorange { | host
326 Mot inconnu : tvorange => host tvorange { | tvorange

327 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur |          => suggestions : ['']
327 Mot inconnu : ethernet =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur | ethernet
327 Il manque un espace. =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur | aa => suggestions : [' AA']
327 Mot inconnu : AA =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur | aa
327 Mot inconnu : AA =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur | aa
327 Il manque un espace. =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur | aa => suggestions : [' AA']
327 Mot inconnu : AA =>         hardware ethernet 00:78:9E:AA:AA:AA; #adapter avec l'adresse MAC du décodeur | aa

328 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         option routers 192.168.1.1; #adresse IP box |          => suggestions : ['']
328 Mot inconnu : routers =>         option routers 192.168.1.1; #adresse IP box | routers

329 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         option domain-name-servers 192.168.1.1; #adresse IP box |          => suggestions : ['']
329 Mot inconnu : domain-name-servers =>         option domain-name-servers 192.168.1.1; #adresse IP box | domain-name-servers

330 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         option domain-name "home"; #exemple pour orange |          => suggestions : ['']
330 Mot inconnu : domain-name =>         option domain-name "home"; #exemple pour orange | domain-name
330 Guillemets typographiques ouvrants. =>         option domain-name "home"; #exemple pour orange | " => suggestions : ['«\xa0', '“']
330 Guillemets typographiques fermants. =>         option domain-name "home"; #exemple pour orange | " => suggestions : ['\xa0»', '”']

331 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         option ntp-servers 172.20.224.167; #exemple pour orange |          => suggestions : ['']
331 Mot inconnu : ntp-servers =>         option ntp-servers 172.20.224.167; #exemple pour orange | ntp-servers

336 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.isc.org/software/dhcp|ISC - DHCP]] |    => suggestions : ['']
336 Mot inconnu : ISC =>   * **(en)** [[http://www.isc.org/software/dhcp|ISC - DHCP]] | isc
336 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **(en)** [[http://www.isc.org/software/dhcp|ISC - DHCP]] |  -  => suggestions : [' – ', ' — ', ' − ']

337 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.isc.org/software/dhcp/documentation|ISC - DHCP documentation]] |    => suggestions : ['']
337 Mot inconnu : ISC =>   * **(en)** [[http://www.isc.org/software/dhcp/documentation|ISC - DHCP documentation]] | isc
337 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **(en)** [[http://www.isc.org/software/dhcp/documentation|ISC - DHCP documentation]] |  -  => suggestions : [' – ', ' — ', ' − ']

338 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://help.ubuntu.com/community/isc-dhcp-server|help.ubuntu.com - isc-dhcp-server]] |    => suggestions : ['']
338 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **(en)** [[https://help.ubuntu.com/community/isc-dhcp-server|help.ubuntu.com - isc-dhcp-server]] |  -  => suggestions : [' – ', ' — ', ' − ']
338 Mot inconnu : isc-dhcp-server =>   * **(en)** [[https://help.ubuntu.com/community/isc-dhcp-server|help.ubuntu.com - isc-dhcp-server]] | isc-dhcp-server

339 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://arnofear.free.fr/linux/template.php?tuto=1&page=1|Enregistrement dynamique des clients dans le DNS]]  |    => suggestions : ['']
339 Espace(s) en fin de ligne à supprimer. =>   * [[http://arnofear.free.fr/linux/template.php?tuto=1&page=1|Enregistrement dynamique des clients dans le DNS]]  |   => suggestions : ['']

340 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.it-connect.fr/redondance-de-serveurs-dhcp-sous-linux/|Redondance de serveurs DHCP sous Linux]] sur IT-Connect |    => suggestions : ['']
340 Mot inconnu : IT-Connect =>   * **(fr)** [[http://www.it-connect.fr/redondance-de-serveurs-dhcp-sous-linux/|Redondance de serveurs DHCP sous Linux]] sur IT-Connect | it-connect
