
7 Mot inconnu : Banshee => ====== Banshee : un gestionnaire multimédia ====== | banshee
107 Guillemets typographiques fermants. =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture | '' => suggestions : ['\xa0»', '”']
107 Guillemets typographiques ouvrants. =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture | '' => suggestions : ['«\xa0', '“']
107 Mot inconnu : played =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture | played
107 Guillemets typographiques fermants. =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture | '' => suggestions : ['\xa0»', '”']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau |    => suggestions : ['']
108 Guillemets typographiques ouvrants. =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | '' => suggestions : ['«\xa0', '“']
108 Mot inconnu : addedon =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | addedon
108 Guillemets typographiques fermants. =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | '' => suggestions : ['\xa0»', '”']
108 Guillemets typographiques ouvrants. =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | '' => suggestions : ['«\xa0', '“']
108 Mot inconnu : importedon =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | importedon
108 Guillemets typographiques fermants. =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | '' => suggestions : ['\xa0»', '”']
108 Guillemets typographiques ouvrants. =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | '' => suggestions : ['«\xa0', '“']
108 Mot inconnu : dateadded =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | dateadded
108 Guillemets typographiques fermants. =>   * ''addedon'', ''importedon'', ''dateadded''  : Limite la recherche à la date/heure d'ajout du morceau | '' => suggestions : ['\xa0»', '”']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier |    => suggestions : ['']
109 Guillemets typographiques ouvrants. =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier | '' => suggestions : ['«\xa0', '“']
109 Mot inconnu : size =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier | size
109 Guillemets typographiques fermants. =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier | '' => suggestions : ['\xa0»', '”']
109 Guillemets typographiques ouvrants. =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier | '' => suggestions : ['«\xa0', '“']
109 Mot inconnu : filesize =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier | filesize
109 Guillemets typographiques fermants. =>   * ''size'', ''filesize'' : Limite la recherche à la taille du fichier | '' => suggestions : ['\xa0»', '”']

111 Guillemets typographiques ouvrants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['«\xa0', '“']
111 Guillemets typographiques fermants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['\xa0»', '”']
111 Guillemets typographiques ouvrants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['«\xa0', '“']
111 Mot inconnu : bpm => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | bpm
111 Guillemets typographiques fermants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['\xa0»', '”']
111 Guillemets typographiques ouvrants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['«\xa0', '“']
111 Guillemets typographiques fermants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['\xa0»', '”']
111 Guillemets typographiques ouvrants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['«\xa0', '“']
111 Mot inconnu : bitrate => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | bitrate
111 Guillemets typographiques fermants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['\xa0»', '”']
111 Guillemets typographiques ouvrants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['«\xa0', '“']
111 Mot inconnu : duration => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | duration
111 Guillemets typographiques fermants. => On peut encore utiliser les champs ''comment'' (commentaires), ''bpm'' (tempo), ''score'', ''bitrate'' (débit numérique), et ''duration'' (durée du morceau). | '' => suggestions : ['\xa0»', '”']

115 Guillemets typographiques ouvrants. => On peut ajuster la recherche dans un champ en utilisant différents opérateurs, par exemple ''title=bonjour'' cherchera tous les morceaux dont le titre commence par //bonjour// | '' => suggestions : ['«\xa0', '“']
115 Mot inconnu : title => On peut ajuster la recherche dans un champ en utilisant différents opérateurs, par exemple ''title=bonjour'' cherchera tous les morceaux dont le titre commence par //bonjour// | title
115 Guillemets typographiques fermants. => On peut ajuster la recherche dans un champ en utilisant différents opérateurs, par exemple ''title=bonjour'' cherchera tous les morceaux dont le titre commence par //bonjour// | '' => suggestions : ['\xa0»', '”']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * '':'' : le champ contient le mot clé |    => suggestions : ['']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''='' : le champ commence par le mot clé |    => suggestions : ['']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''=='' : le champ est exactement le mot clé |    => suggestions : ['']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''<'' : le champ numérique est inférieur au nombre indiqué |    => suggestions : ['']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''>'' : le champ numérique est supérieur au nombre indiqué |    => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''<='' : le champ numérique est inférieur ou égal au nombre indiqué |    => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''>='' : le champ numérique est supérieur ou égal au nombre indiqué |    => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''bonjour les hirondelles'' : recherche dans tous les champs les morceaux qui contiennent à la fois les mots //bonjour//, //les// et //hirondelles// |    => suggestions : ['']
127 Guillemets typographiques ouvrants. =>   * ''bonjour les hirondelles'' : recherche dans tous les champs les morceaux qui contiennent à la fois les mots //bonjour//, //les// et //hirondelles// | '' => suggestions : ['«\xa0', '“']
127 Guillemets typographiques fermants. =>   * ''bonjour les hirondelles'' : recherche dans tous les champs les morceaux qui contiennent à la fois les mots //bonjour//, //les// et //hirondelles// | '' => suggestions : ['\xa0»', '”']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''bonjour, les, hirondelles'' : recherche dans tous les champs les morceaux qui contiennent soit le mot //bonjour//, soit //les//, soit //hirondelles// |    => suggestions : ['']
128 Guillemets typographiques ouvrants. =>   * ''bonjour, les, hirondelles'' : recherche dans tous les champs les morceaux qui contiennent soit le mot //bonjour//, soit //les//, soit //hirondelles// | '' => suggestions : ['«\xa0', '“']
128 Guillemets typographiques fermants. =>   * ''bonjour, les, hirondelles'' : recherche dans tous les champs les morceaux qui contiennent soit le mot //bonjour//, soit //les//, soit //hirondelles// | '' => suggestions : ['\xa0»', '”']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''bonjour les -hirondelles'' : recherche dans tous les champs les morceaux qui contiennent les mot //bonjour// et mot //les//, mais sans le mot //hirondelles// |    => suggestions : ['']
129 Guillemets typographiques ouvrants. =>   * ''bonjour les -hirondelles'' : recherche dans tous les champs les morceaux qui contiennent les mot //bonjour// et mot //les//, mais sans le mot //hirondelles// | '' => suggestions : ['«\xa0', '“']
129 Il manque un espace à côté du tiret. =>   * ''bonjour les -hirondelles'' : recherche dans tous les champs les morceaux qui contiennent les mot //bonjour// et mot //les//, mais sans le mot //hirondelles// |  - => suggestions : [' – ', ' — ']
129 Guillemets typographiques fermants. =>   * ''bonjour les -hirondelles'' : recherche dans tous les champs les morceaux qui contiennent les mot //bonjour// et mot //les//, mais sans le mot //hirondelles// | '' => suggestions : ['\xa0»', '”']
129 Accord de nombre erroné : « mot » devrait être au pluriel. =>   * ''bonjour les -hirondelles'' : recherche dans tous les champs les morceaux qui contiennent les mot //bonjour// et mot //les//, mais sans le mot //hirondelles// | mot => suggestions : ['mots']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''title:bonjour'' : recherche les morceaux dont le titre contient le mot //bonjour// |    => suggestions : ['']
130 Guillemets typographiques ouvrants. =>   * ''title:bonjour'' : recherche les morceaux dont le titre contient le mot //bonjour// | '' => suggestions : ['«\xa0', '“']
130 Mot inconnu : title =>   * ''title:bonjour'' : recherche les morceaux dont le titre contient le mot //bonjour// | title
130 Il manque un espace. =>   * ''title:bonjour'' : recherche les morceaux dont le titre contient le mot //bonjour// | bonjour => suggestions : [' bonjour']
130 Guillemets typographiques fermants. =>   * ''title:bonjour'' : recherche les morceaux dont le titre contient le mot //bonjour// | '' => suggestions : ['\xa0»', '”']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''album=paris'' : recherche les morceaux dont le titre d'album commence par //paris// |    => suggestions : ['']
131 Guillemets typographiques ouvrants. =>   * ''album=paris'' : recherche les morceaux dont le titre d'album commence par //paris// | '' => suggestions : ['«\xa0', '“']
131 Guillemets typographiques fermants. =>   * ''album=paris'' : recherche les morceaux dont le titre d'album commence par //paris// | '' => suggestions : ['\xa0»', '”']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// |    => suggestions : ['']
132 Guillemets typographiques ouvrants. =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// | '' => suggestions : ['«\xa0', '“']
132 Mot inconnu : artist =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// | artist
132 Guillemets typographiques ouvrants. =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// | " => suggestions : ['«\xa0', '“']
132 Mot inconnu : the =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// | the
132 Guillemets typographiques fermants. =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// | " => suggestions : ['\xa0»', '”']
132 Mot inconnu : the =>   * ''artist=="the do"'' : recherche les morceaux dont l'artiste est exactement //the do// | the

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''rating>4'' : recherche les morceaux dont la note est supérieure à 4 |    => suggestions : ['']
133 Guillemets typographiques ouvrants. =>   * ''rating>4'' : recherche les morceaux dont la note est supérieure à 4 | '' => suggestions : ['«\xa0', '“']
133 Guillemets typographiques fermants. =>   * ''rating>4'' : recherche les morceaux dont la note est supérieure à 4 | '' => suggestions : ['\xa0»', '”']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''filesize>10m'' : recherche les morceaux dont la taille de fichier est supérieure à 10 Mo |    => suggestions : ['']
134 Guillemets typographiques ouvrants. =>   * ''filesize>10m'' : recherche les morceaux dont la taille de fichier est supérieure à 10 Mo | '' => suggestions : ['«\xa0', '“']
134 Mot inconnu : filesize =>   * ''filesize>10m'' : recherche les morceaux dont la taille de fichier est supérieure à 10 Mo | filesize
134 Guillemets typographiques fermants. =>   * ''filesize>10m'' : recherche les morceaux dont la taille de fichier est supérieure à 10 Mo | '' => suggestions : ['\xa0»', '”']
134 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * ''filesize>10m'' : recherche les morceaux dont la taille de fichier est supérieure à 10 Mo | 10 mo => suggestions : ['10\xa0Mo']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''dateadded>"2008-07-15"'' : recherche les morceaux dont la date d'ajout est plus récente que le 15 juillet 2008 |    => suggestions : ['']
135 Guillemets typographiques ouvrants. =>   * ''dateadded>"2008-07-15"'' : recherche les morceaux dont la date d'ajout est plus récente que le 15 juillet 2008 | '' => suggestions : ['«\xa0', '“']
135 Mot inconnu : dateadded =>   * ''dateadded>"2008-07-15"'' : recherche les morceaux dont la date d'ajout est plus récente que le 15 juillet 2008 | dateadded
135 Guillemets typographiques ouvrants. =>   * ''dateadded>"2008-07-15"'' : recherche les morceaux dont la date d'ajout est plus récente que le 15 juillet 2008 | " => suggestions : ['«\xa0', '“']
135 Guillemets typographiques fermants. =>   * ''dateadded>"2008-07-15"'' : recherche les morceaux dont la date d'ajout est plus récente que le 15 juillet 2008 | " => suggestions : ['\xa0»', '”']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// |    => suggestions : ['']
136 Guillemets typographiques ouvrants. =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | '' => suggestions : ['«\xa0', '“']
136 Mot inconnu : artist =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | artist
136 Il manque un espace. =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | gainsbourg => suggestions : [' gainsbourg']
136 Mot inconnu : gainsbourg =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | gainsbourg
136 Mot inconnu : artist =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | artist
136 Il manque un espace. =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | polnareff => suggestions : [' polnareff']
136 Mot inconnu : polnareff =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | polnareff
136 Mot inconnu : gainsbourg =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | gainsbourg
136 Mot inconnu : polnareff =>   * ''artist:gainsbourg, (artist:polnareff album=bobo)'' : recherche les morceaux dont l'artiste contient //gainsbourg// **ou** les morceaux dont l'artiste contient //polnareff// **et** dont le nom d'album commence par //bobo// | polnareff

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// |    => suggestions : ['']
137 Mot inconnu : mimetype =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// | mimetype
137 Il manque un espace. =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// | mp3 => suggestions : [' mp3']
137 Mot inconnu : artist =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// | artist
137 Mot inconnu : bernard =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// | bernard
137 Guillemets typographiques fermants. =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// | '' => suggestions : ['\xa0»', '”']
137 Mot inconnu : bernard =>   * ''-mimetype:mp3 artist=bernard'' : recherche les morceaux qui ne sont pas des fichiers mp3 et dont le nom d'artiste commence par //bernard// | bernard

147 Mot inconnu : banshee-1 => Si ça ne fonctionne pas, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db// (vos fichiers audios ne seront pas altérés). Il ne vous reste plus qu'à importer de nouveau vos médias dans votre bibliothèque (//Médias → Importer des médias//).  | banshee-1
147 Mot inconnu : banshee => Si ça ne fonctionne pas, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db// (vos fichiers audios ne seront pas altérés). Il ne vous reste plus qu'à importer de nouveau vos médias dans votre bibliothèque (//Médias → Importer des médias//).  | banshee
147 Mot inconnu : db => Si ça ne fonctionne pas, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db// (vos fichiers audios ne seront pas altérés). Il ne vous reste plus qu'à importer de nouveau vos médias dans votre bibliothèque (//Médias → Importer des médias//).  | db
147 Espace(s) en fin de ligne à supprimer. => Si ça ne fonctionne pas, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db// (vos fichiers audios ne seront pas altérés). Il ne vous reste plus qu'à importer de nouveau vos médias dans votre bibliothèque (//Médias → Importer des médias//).  |   => suggestions : ['']

150 Mot inconnu : banshee => Si vous avez un message d'erreur à l'ouverture de banshee vous indiquant que votre bibliothèque est corrompue (//database disk image is malformed//), vous pouvez tenter de la réparer en procédant comme indiqué dans la FAQ ([[http://banshee.fm/support/faq/]]) sur le site du projet. | banshee
150 Mot inconnu : database => Si vous avez un message d'erreur à l'ouverture de banshee vous indiquant que votre bibliothèque est corrompue (//database disk image is malformed//), vous pouvez tenter de la réparer en procédant comme indiqué dans la FAQ ([[http://banshee.fm/support/faq/]]) sur le site du projet. | database
150 Mot inconnu : disk => Si vous avez un message d'erreur à l'ouverture de banshee vous indiquant que votre bibliothèque est corrompue (//database disk image is malformed//), vous pouvez tenter de la réparer en procédant comme indiqué dans la FAQ ([[http://banshee.fm/support/faq/]]) sur le site du projet. | disk
150 Mot inconnu : is => Si vous avez un message d'erreur à l'ouverture de banshee vous indiquant que votre bibliothèque est corrompue (//database disk image is malformed//), vous pouvez tenter de la réparer en procédant comme indiqué dans la FAQ ([[http://banshee.fm/support/faq/]]) sur le site du projet. | is
150 Mot inconnu : malformed => Si vous avez un message d'erreur à l'ouverture de banshee vous indiquant que votre bibliothèque est corrompue (//database disk image is malformed//), vous pouvez tenter de la réparer en procédant comme indiqué dans la FAQ ([[http://banshee.fm/support/faq/]]) sur le site du projet. | malformed

157 Mot inconnu : banshee-1 => Si la réparation n'a pas pu aboutir, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db//, puis importer vos médias dans votre bibliothèque (//Médias → Importer des médias//).  | banshee-1
157 Mot inconnu : banshee => Si la réparation n'a pas pu aboutir, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db//, puis importer vos médias dans votre bibliothèque (//Médias → Importer des médias//).  | banshee
157 Mot inconnu : db => Si la réparation n'a pas pu aboutir, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db//, puis importer vos médias dans votre bibliothèque (//Médias → Importer des médias//).  | db
157 Espace(s) en fin de ligne à supprimer. => Si la réparation n'a pas pu aboutir, rendez-vous dans //~/.config/banshee-1// et supprimez le fichier //banshee.db//, puis importer vos médias dans votre bibliothèque (//Médias → Importer des médias//).  |   => suggestions : ['']

164 Accord de nombre erroné : « seins » est au pluriel. => <note warning>Mono étant intimement lié à Ubuntu, passer à la dernière version supportée peut provoquer des arrêts au seins de quelques paquets logiciel((source : http://mono-project.com/DistroPackages/Ubuntu#Backport_Packages)), il est déconseillé d'installer une version de mono non supportée.</note> | au => suggestions : ['aux']
164 Accord de nombre erroné : « seins » devrait être au singulier. => <note warning>Mono étant intimement lié à Ubuntu, passer à la dernière version supportée peut provoquer des arrêts au seins de quelques paquets logiciel((source : http://mono-project.com/DistroPackages/Ubuntu#Backport_Packages)), il est déconseillé d'installer une version de mono non supportée.</note> | seins => suggestions : ['sein']
164 Il manque un espace avant la parenthèse. => <note warning>Mono étant intimement lié à Ubuntu, passer à la dernière version supportée peut provoquer des arrêts au seins de quelques paquets logiciel((source : http://mono-project.com/DistroPackages/Ubuntu#Backport_Packages)), il est déconseillé d'installer une version de mono non supportée.</note> | ( => suggestions : [' (']

165 Mot inconnu : oneiric => Selon le tableau indiqué ci-dessous, si vous souhaitez télécharger des épisodes de balado-diffusion, il est recommandé d'utiliser [[oneiric|Ubuntu Oneiric]] ou toute version ultérieure. | oneiric
165 Mot inconnu : Oneiric => Selon le tableau indiqué ci-dessous, si vous souhaitez télécharger des épisodes de balado-diffusion, il est recommandé d'utiliser [[oneiric|Ubuntu Oneiric]] ou toute version ultérieure. | oneiric

167 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  |  . => suggestions : ['. ', '.']
167 Mot inconnu : pls => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  | pls
167 Mot inconnu : iTunes => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  | itunes
167 Mot inconnu : Winamp => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  | winamp
167 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  |  . => suggestions : ['. ', '.']
167 Mot inconnu : asx => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  | asx
167 Espace(s) en fin de ligne à supprimer. => Il est possible d'utiliser le format .pls, normalement réservé à iTunes et Winamp au lieu du .asx.  |   => suggestions : ['']

168 Mot inconnu : funradio => Par exemple, pour funradio, il faut utiliser http://radio-pls.rtl.fr/fun_hq.pls  | funradio
168 Espace(s) en fin de ligne à supprimer. => Par exemple, pour funradio, il faut utiliser http://radio-pls.rtl.fr/fun_hq.pls  |   => suggestions : ['']

170 Pas d’espace après ce signe. => ( Astuce à confirmer, marche avec fun radio) | (  => suggestions : ['(']
180 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Remarque : pensez à vérifier que vos fichiers ont bien une extension (.mp3 ou .flac par exemple) : dans mon cas, Banshee n'importait pas les pistes dont le fichier était dépourvu d'extension (pas de problème avec Rhythmbox en revanche). |  . => suggestions : ['. ', '.']
180 Mot inconnu : Banshee => Remarque : pensez à vérifier que vos fichiers ont bien une extension (.mp3 ou .flac par exemple) : dans mon cas, Banshee n'importait pas les pistes dont le fichier était dépourvu d'extension (pas de problème avec Rhythmbox en revanche). | banshee
180 Mot inconnu : Rhythmbox => Remarque : pensez à vérifier que vos fichiers ont bien une extension (.mp3 ou .flac par exemple) : dans mon cas, Banshee n'importait pas les pistes dont le fichier était dépourvu d'extension (pas de problème avec Rhythmbox en revanche). | rhythmbox

185 Guillemets typographiques ouvrants. => Sélectionnez l'ensemble des titres de l'album, clique-droit et cliquez sur "Modifier les informations du morceau". | " => suggestions : ['«\xa0', '“']
185 Guillemets typographiques fermants. => Sélectionnez l'ensemble des titres de l'album, clique-droit et cliquez sur "Modifier les informations du morceau". | " => suggestions : ['\xa0»', '”']

187 Guillemets typographiques ouvrants. => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | " => suggestions : ['«\xa0', '“']
187 Guillemets typographiques fermants. => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | " => suggestions : ['\xa0»', '”']
187 Guillemets typographiques ouvrants. => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | " => suggestions : ['«\xa0', '“']
187 Mot inconnu : Various => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | various
187 Mot inconnu : Artists => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | artists
