
6 Espace(s) en fin de ligne à supprimer. => Voici toutes les optimisations pour accélérer Ubuntu.   |    => suggestions : ['']
380 Mot inconnu : xp => Cette optimisation est conseillée pour ceux pour qui les performances priment sur le visuel. Pour la comparaison ce serait comme choisir l'interface windows 2000 dans windows xp. | xp

384 Mot inconnu : GtkPerf => Temps de chargement avec GtkPerf\\ | gtkperf
388 Mot inconnu : Engines => Gtk Engines Benchmarks – What's the fastest?]] | engines
388 Mot inconnu : What's => Gtk Engines Benchmarks – What's the fastest?]] | what's
388 Mot inconnu : the => Gtk Engines Benchmarks – What's the fastest?]] | the
388 Mot inconnu : fastest => Gtk Engines Benchmarks – What's the fastest?]] | fastest
390 Mot inconnu : xfwm => ** Exemple : installation de xfwm (de l'environnement Xfce)** | xfwm
390 Mot inconnu : Xfce => ** Exemple : installation de xfwm (de l'environnement Xfce)** | xfce
392 Il manque un espace. => Installer [[apt>gtk2-engines-xfce,xfwm4-themes|gtk2-engines-xfce]] | xfwm4-themes => suggestions : [' xfwm4-themes']
392 Mot inconnu : xfwm4-themes => Installer [[apt>gtk2-engines-xfce,xfwm4-themes|gtk2-engines-xfce]] | xfwm4-themes

394 Typographie : points de suspension. Utilisez le caractère dédié. => Dans Système -> Préférences -> Apparence -> Onglet = Thème cliquer sur le bouton Personnaliser... : | ... => suggestions : ['…']
397 Pas d’espace avant une virgule. => Note 1 : Vous pouvez choisir d'autres bordures , icônes, et pointeurs sans que cela gène cette manipulation. |  , => suggestions : [',']
399 Mot inconnu : xfce => Note 2 : Vous pouvez installer tout autre thème xfce ( voir le site [[http://www.xfce-look.org/index.php?xcontentmode=420|xfce look]] ) , et les sélectionner par la suite pour avoir des performances similaires. | xfce
399 Pas d’espace après ce signe. => Note 2 : Vous pouvez installer tout autre thème xfce ( voir le site [[http://www.xfce-look.org/index.php?xcontentmode=420|xfce look]] ) , et les sélectionner par la suite pour avoir des performances similaires. | (  => suggestions : ['(']
399 Mot inconnu : xfce => Note 2 : Vous pouvez installer tout autre thème xfce ( voir le site [[http://www.xfce-look.org/index.php?xcontentmode=420|xfce look]] ) , et les sélectionner par la suite pour avoir des performances similaires. | xfce
399 Pas d’espace avant ce signe. => Note 2 : Vous pouvez installer tout autre thème xfce ( voir le site [[http://www.xfce-look.org/index.php?xcontentmode=420|xfce look]] ) , et les sélectionner par la suite pour avoir des performances similaires. |  ) => suggestions : [')']
399 Pas d’espace avant une virgule. => Note 2 : Vous pouvez installer tout autre thème xfce ( voir le site [[http://www.xfce-look.org/index.php?xcontentmode=420|xfce look]] ) , et les sélectionner par la suite pour avoir des performances similaires. |  , => suggestions : [',']
403 Mot inconnu : xubuntu => Ici les logiciels sous [[lubuntu]] ou [[xubuntu]] seront différents de ceux d'ubuntu et [[kubuntu]], dans cette solution et la suivante, vous pouvez préférer la première solution qui gardera les avantages d'ubuntu. | xubuntu

414 Mot inconnu : mini_ram => Pour des variantes encore plus légères, voir la page **[[mini_ram]]**. | mini_ram

416 Confusion probable : le forcement est l’action de forcer quelque chose. L’adverbe s’écrit “forcément”. => ===d) Attention, environnements de bureau légers ne veut pas forcement dire rapide === | forcement => suggestions : ['forcément']
418 Mot inconnu : Cinnamon => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | cinnamon
418 Mot inconnu : KDE => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | kde
418 Mot inconnu : XFCE => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | xfce
418 Mot inconnu : LXDE => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | lxde
418 Mot inconnu : OpenBox => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | openbox
418 Mot inconnu : Unity => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | unity
418 Mot inconnu : Unity => Le résultat des tests décrit sur le site de [[https://www.phoronix.com/scan.php?page=article&item=ubuntu-xenial-skldesk&num=2|Phoronix]]  entre [[Mate]], Cinnamon, KDE, Gnome, XFCE, LXDE, OpenBox, [[Unity]] semble démontrer que ce ne sont pas les environnements les plus légers qui sont automatiquement les plus rapides. En effet [[Unity]] semble le grand gagnant de ce test. Maintenant il est possible que sur du matériel plus ancien les résultats puissent être différents. | unity

420 Mot inconnu : GRUB => ==== GRUB Profile ==== | grub

422 Mot inconnu : GRUB => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  | grub
422 Guillemets typographiques ouvrants. => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  | " => suggestions : ['\xa0»', '”']
422 Guillemets typographiques ouvrants. => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  | " => suggestions : ['«\xa0', '“']
422 Mot inconnu : readahead => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  | readahead
422 Guillemets typographiques fermants. => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  | " => suggestions : ['\xa0»', '”']
422 Espace(s) en fin de ligne à supprimer. => Démarrer GRUB en mode "profile" va générer un cache de lecture "readahead" qui peut améliorer de quelques secondes le temps de démarrage jusqu'à la fenêtre de login.  |   => suggestions : ['']
424 Guillemets typographiques ouvrants. => <note warning>Note d'un utilisateur : en mode "profile", le démarrage est plus long qu'en temps normal compte-tenu de la création du cache. FIXME</note>  | " => suggestions : ['«\xa0', '“']
424 Guillemets typographiques fermants. => <note warning>Note d'un utilisateur : en mode "profile", le démarrage est plus long qu'en temps normal compte-tenu de la création du cache. FIXME</note>  | " => suggestions : ['\xa0»', '”']
424 Mot inconnu : FIXME => <note warning>Note d'un utilisateur : en mode "profile", le démarrage est plus long qu'en temps normal compte-tenu de la création du cache. FIXME</note>  | fixme
424 Espace(s) en fin de ligne à supprimer. => <note warning>Note d'un utilisateur : en mode "profile", le démarrage est plus long qu'en temps normal compte-tenu de la création du cache. FIXME</note>  |   => suggestions : ['']

426 Mot inconnu : boot => Le prochain boot sera peut-être amélioré, le cache spécial de démarrage a été placé dans /etc/readahead  | boot
426 Espace(s) en fin de ligne à supprimer. => Le prochain boot sera peut-être amélioré, le cache spécial de démarrage a été placé dans /etc/readahead  |   => suggestions : ['']

432 Mot inconnu : GRUB => === GRUB 2 === | grub

440 Mot inconnu : GRUB => === GRUB 1 === | grub

452 Mot inconnu : autodetection => <note important>Astuce à revoir à cause de l'autodetection actuellement utilisée sous Ubuntu</note> | autodetection

457 Mot inconnu : Compiz-fusion => Attention pour réactiver Compiz-fusion il faut repasser en 24 bits. Mais **ASTUCE** vous pouvez utiliser la composition de metacity en 16 bit (donc sans compiz)</note> | compiz-fusion
457 Mot inconnu : metacity => Attention pour réactiver Compiz-fusion il faut repasser en 24 bits. Mais **ASTUCE** vous pouvez utiliser la composition de metacity en 16 bit (donc sans compiz)</note> | metacity
457 Si “bit” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Attention pour réactiver Compiz-fusion il faut repasser en 24 bits. Mais **ASTUCE** vous pouvez utiliser la composition de metacity en 16 bit (donc sans compiz)</note> | 16 bit => suggestions : ['16\xa0bit']
457 Mot inconnu : compiz => Attention pour réactiver Compiz-fusion il faut repasser en 24 bits. Mais **ASTUCE** vous pouvez utiliser la composition de metacity en 16 bit (donc sans compiz)</note> | compiz

460 Mot inconnu : Defaultdepth => <file>Defaultdepth 16</file> | defaultdepth

462 Mot inconnu : Markup => ==== Optimiser le Langage de Balisage Descriptif (Extensible Markup Language ou XML) dans Gnome ==== | markup
462 Mot inconnu : Language => ==== Optimiser le Langage de Balisage Descriptif (Extensible Markup Language ou XML) dans Gnome ==== | language
464 Espace(s) en fin de ligne à supprimer. => Optimiser le Langage de Balisage Descriptif dans Gnome et pour diverses applications qui l'utilisent permet d'optimiser ces mêmes applications. Applications prises en charge par les scripts :  |   => suggestions : ['']
469 Mot inconnu : Rhythmbox => Exemple : temps de démarrage de Rhythmbox (7983 chansons) : 64s avant, 55s après lancement du script et redémarrage système. | rhythmbox

471 Mot inconnu : FIXME => <note>FIXME Merci d'indiquer un lien de téléchargement pour le script : **Desktop Optimization NG**. | fixme
471 Mot inconnu : Desktop => <note>FIXME Merci d'indiquer un lien de téléchargement pour le script : **Desktop Optimization NG**. | desktop
471 Mot inconnu : Optimization => <note>FIXME Merci d'indiquer un lien de téléchargement pour le script : **Desktop Optimization NG**. | optimization

512 Mot inconnu : laptop => Code pour laptop : | laptop

538 Mot inconnu : boot => Il est possible de gagner encore du temps au boot et d'économiser des ressources en supprimant le démarrage des terminaux virtuels 3 à 6 (on garde tty1, tty2 tty7 pour l'écran graphique). | boot
538 Mot inconnu : tty1 => Il est possible de gagner encore du temps au boot et d'économiser des ressources en supprimant le démarrage des terminaux virtuels 3 à 6 (on garde tty1, tty2 tty7 pour l'écran graphique). | tty1
538 Mot inconnu : tty2 => Il est possible de gagner encore du temps au boot et d'économiser des ressources en supprimant le démarrage des terminaux virtuels 3 à 6 (on garde tty1, tty2 tty7 pour l'écran graphique). | tty2
538 Mot inconnu : tty7 => Il est possible de gagner encore du temps au boot et d'économiser des ressources en supprimant le démarrage des terminaux virtuels 3 à 6 (on garde tty1, tty2 tty7 pour l'écran graphique). | tty7

542 Mot inconnu : start => Commenter les lignes //start on runlevel [23]// et //stop on runlevel [!23]// en ajoutant un dièse (#) devant la ligne; comme ceci : | start
542 Mot inconnu : runlevel => Commenter les lignes //start on runlevel [23]// et //stop on runlevel [!23]// en ajoutant un dièse (#) devant la ligne; comme ceci : | runlevel
542 Mot inconnu : runlevel => Commenter les lignes //start on runlevel [23]// et //stop on runlevel [!23]// en ajoutant un dièse (#) devant la ligne; comme ceci : | runlevel
542 Il manque un espace. => Commenter les lignes //start on runlevel [23]// et //stop on runlevel [!23]// en ajoutant un dièse (#) devant la ligne; comme ceci : | 23 => suggestions : [' 23']

558 Confusion probable : le forcement est l’action de forcer quelque chose. L’adverbe s’écrit “forcément”. => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | forcement => suggestions : ['forcément']
558 Mot inconnu : Network-Manager => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | network-manager
558 Mot inconnu : Knetworkmanager => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | knetworkmanager
558 Mot inconnu : KDE => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | kde
558 Une de ces ponctuations est superflue. => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | , . => suggestions : [',', '.']
558 Typographie : un ou trois points ? => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | .. => suggestions : ['…', '.']
558 Mot inconnu : deamon => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | deamon
558 Mot inconnu : Network-Manager => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | network-manager
558 Mot inconnu : Network-Manager => Dans le cas d'un PC fixe raccordé en filaire sur un routeur ou une box et ne nécessitant pas forcement de DHCP, l'utilitaire réseau par défaut ([[Network-Manager]] pour Gnome, [[Knetworkmanager]] pour KDE, ..) est un outil superflu dont la suppression permettra un gain de temps non négligeable lors du démarrage puis lors de l'ouverture de session. (plus de lancement du deamon Network-Manager, plus de requête DHCP, plus d'applet Network-Manager à l'ouverture de session). | network-manager

560 Mot inconnu : netmask => Les paramètres IP de votre connexion doivent être connus (interface, adresse @IP, netmask, @broadcast, @gateway, @dns). | netmask

564 Mot inconnu : NetworkManager => === Supprimer NetworkManager === | networkmanager

573 Mot inconnu : loop => # interface loop | loop

574 Mot inconnu : lo => auto lo | lo

575 Mot inconnu : iface => iface lo inet loopback | iface
575 Mot inconnu : lo => iface lo inet loopback | lo
575 Mot inconnu : inet => iface lo inet loopback | inet
575 Mot inconnu : loopback => iface lo inet loopback | loopback

580 Mot inconnu : eth0 => Ajouter les lignes suivantes (cas utilisation interface eth0) | eth0

583 Mot inconnu : eth0 => # interface eth0 | eth0

584 Mot inconnu : eth0 => auto eth0 | eth0

585 Mot inconnu : iface => iface eth0 inet static | iface
585 Mot inconnu : eth0 => iface eth0 inet static | eth0
585 Mot inconnu : inet => iface eth0 inet static | inet
585 Mot inconnu : static => iface eth0 inet static | static

600 Mot inconnu : eth0 => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | eth0
600 Espace(s) surnuméraire(s) à supprimer. => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   |        => suggestions : [' ']
600 Mot inconnu : Link => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | link
600 Mot inconnu : encap => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | encap
600 Il manque un espace. => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | ethernet => suggestions : [' Ethernet']
600 Espace(s) surnuméraire(s) à supprimer. => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   |    => suggestions : [' ']
600 Mot inconnu : HWaddr => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | hwaddr
600 Il manque un espace. => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | 83 => suggestions : [' 83']
600 Mot inconnu : c5 => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | c5
600 Il manque un espace. => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   | 2e => suggestions : [' 2e']
600 Espace(s) en fin de ligne à supprimer. => eth0      Link encap:Ethernet  HWaddr 00:24:1d:83:c5:2e   |    => suggestions : ['']

609 Mot inconnu : lo => lo        Link encap:Boucle locale   | lo
609 Espace(s) surnuméraire(s) à supprimer. => lo        Link encap:Boucle locale   |          => suggestions : [' ']
609 Mot inconnu : Link => lo        Link encap:Boucle locale   | link
609 Mot inconnu : encap => lo        Link encap:Boucle locale   | encap
609 Il manque un espace. => lo        Link encap:Boucle locale   | boucle => suggestions : [' Boucle']
609 Espace(s) en fin de ligne à supprimer. => lo        Link encap:Boucle locale   |    => suggestions : ['']

619 Mot inconnu : eth0 => Il est possible également de continuer à utiliser une IP dynamique en DHCP (par exemple sur eth0): | eth0

622 Mot inconnu : eth0 => auto eth0 | eth0

623 Mot inconnu : iface => iface eth0 inet dhcp | iface
623 Mot inconnu : eth0 => iface eth0 inet dhcp | eth0
623 Mot inconnu : inet => iface eth0 inet dhcp | inet
623 Mot inconnu : dhcp => iface eth0 inet dhcp | dhcp

626 Mot inconnu : WEP => == Pour du Wi-Fi en WEP == | wep

628 Mot inconnu : wlan0 => Ajouter les lignes suivantes (cas utilisation interface wlan0) : | wlan0

631 Mot inconnu : wlan0 => # interface wlan0 | wlan0

632 Mot inconnu : wlan0 => auto wlan0 | wlan0

633 Mot inconnu : iface => iface wlan0 inet static | iface
633 Mot inconnu : wlan0 => iface wlan0 inet static | wlan0
633 Mot inconnu : inet => iface wlan0 inet static | inet
633 Mot inconnu : static => iface wlan0 inet static | static

644 Mot inconnu : DNS_de_votre_FAI => en remplaçant DNS_de_votre_FAI par celui dispo sur http://www.commentcamarche.net/faq/sujet-1496-serveurs-dns-des-principaux-fai | dns_de_votre_fai
644 Mot inconnu : dispo => en remplaçant DNS_de_votre_FAI par celui dispo sur http://www.commentcamarche.net/faq/sujet-1496-serveurs-dns-des-principaux-fai | dispo

646 Mot inconnu : wlan0 => Il est possible également de continuer à utiliser une IP dynamique en DHCP (par exemple sur wlan0): | wlan0

649 Mot inconnu : wlan0 => auto wlan0 | wlan0

650 Mot inconnu : iface => iface wlan0 inet dhcp | iface
650 Mot inconnu : wlan0 => iface wlan0 inet dhcp | wlan0
650 Mot inconnu : inet => iface wlan0 inet dhcp | inet
650 Mot inconnu : dhcp => iface wlan0 inet dhcp | dhcp

657 Mot inconnu : daemon => pour prendre en compte les modifications il suffit de redémarrer le daemon networking | daemon
657 Mot inconnu : networking => pour prendre en compte les modifications il suffit de redémarrer le daemon networking | networking

664 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

666 Mot inconnu : Generated => # Generated by NetworkManager | generated
666 Mot inconnu : by => # Generated by NetworkManager | by
666 Mot inconnu : NetworkManager => # Generated by NetworkManager | networkmanager

667 Mot inconnu : nameserver => nameserver 212.27.40.240 | nameserver

668 Mot inconnu : nameserver => nameserver 212.27.40.241 | nameserver

671 Mot inconnu : dæmon => Puis redémarrer le dæmon networking : | dæmon
671 Mot inconnu : networking => Puis redémarrer le dæmon networking : | networking
