
2 Mot inconnu : Intellivision => ====== Émuler l'Intellivision ====== | intellivision
82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://emulation.gametechwiki.com/index.php/Intellivision_emulators|Intellivision emulators]] |    => suggestions : ['']
82 Mot inconnu : Intellivision =>   * [[http://emulation.gametechwiki.com/index.php/Intellivision_emulators|Intellivision emulators]] | intellivision
82 Mot inconnu : emulators =>   * [[http://emulation.gametechwiki.com/index.php/Intellivision_emulators|Intellivision emulators]] | emulators

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.screenscraper.fr/gamesinfos.php?plateforme=115&alpha=0&numpage=0|ScreenScraper]], multilingue |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://thegamesdb.net/platform/intellivision/|TheGamesDB]], en anglais |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.mobygames.com/browse/games/intellivision/|Moby Games]] : Nombreuses données, en anglais |    => suggestions : ['']
85 Mot inconnu : Games =>   * [[https://www.mobygames.com/browse/games/intellivision/|Moby Games]] : Nombreuses données, en anglais | games

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikibooks.org/wiki/Guide_de_l%27%C3%A9mulation_vid%C3%A9oludique/Jouer_%C3%A0_l%27Intellivision_sur_son_PC|Jouer à l'Intellivision sur son PC]] |    => suggestions : ['']
86 Mot inconnu : Intellivision =>   * [[https://fr.wikibooks.org/wiki/Guide_de_l%27%C3%A9mulation_vid%C3%A9oludique/Jouer_%C3%A0_l%27Intellivision_sur_son_PC|Jouer à l'Intellivision sur son PC]] | intellivision

90 Mot inconnu : APF => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | apf
90 Mot inconnu : Bally => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | bally
90 Mot inconnu : Astrocade => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | astrocade
90 Mot inconnu : ColecoVision => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | colecovision
90 Mot inconnu : Emerson => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | emerson
90 Mot inconnu : Arcadia => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | arcadia
90 Mot inconnu : Entex => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | entex
90 Mot inconnu : Adventure => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | adventure
90 Mot inconnu : Epoch => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | epoch
90 Mot inconnu : Fairchild => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | fairchild
90 Mot inconnu : Channel => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | channel
90 Mot inconnu : Intellivision => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | intellivision
90 Mot inconnu : Magnavox => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | magnavox
90 Mot inconnu : Odyssey² => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | odyssey²
90 Mot inconnu : Videopac => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | videopac
90 Mot inconnu : RCA => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | rca
90 Mot inconnu : VC => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | vc
90 Mot inconnu : Vectrex => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | vectrex
90 Mot inconnu : VTech => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | vtech
90 Mot inconnu : CreatiVision => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | creativision
90 Mot inconnu : MAME => <box 75% round orange|Consoles de deuxième génération>[[APF M-1000]] — [[Atari 2600]] — [[Atari 5200]] — Bally Astrocade* — Bandai Super Vision 8000* — [[ColecoVision]] — [[Emerson Arcadia 2001]] — [[Entex Adventure Vision]] — Epoch Cassette Vision✘ — Fairchild Channel F — [[Intellivision]] — [[Magnavox Odyssey²]]/Videopac — [[RCA Studio II]] — [[VC 4000]] — [[Vectrex]]  — [[VTech CreatiVision]]</box|* MAME uniquement — ✘ Pas d'émulateur> | mame

91 Mot inconnu : NOTOC => ~~NOTOC~~ | notoc
