
5 Mot inconnu : AWStats => ====== AWStats ====== | awstats
424 Mot inconnu : Adblock => ==== Adblock Plus ==== | adblock

426 Mot inconnu : Adblock => Des scripts Adblock un peu trop virulents, blacklistent complètement awstats. Ne pas passer trois heures à se demander ce qui se passe (comme moi), alors qu'il suffit de désactiver Adblock. | adblock
426 Mot inconnu : awstats => Des scripts Adblock un peu trop virulents, blacklistent complètement awstats. Ne pas passer trois heures à se demander ce qui se passe (comme moi), alors qu'il suffit de désactiver Adblock. | awstats
426 Mot inconnu : Adblock => Des scripts Adblock un peu trop virulents, blacklistent complètement awstats. Ne pas passer trois heures à se demander ce qui se passe (comme moi), alors qu'il suffit de désactiver Adblock. | adblock

428 Mot inconnu : virtual => ==== dans le cas de virtual host ==== | virtual
428 Mot inconnu : host => ==== dans le cas de virtual host ==== | host

431 Mot inconnu : vhost => Pour analyser les logs de chaque vhost, apache doit être configuré. Voici donc un exemple de configuration de vhost: | vhost
431 Mot inconnu : vhost => Pour analyser les logs de chaque vhost, apache doit être configuré. Voici donc un exemple de configuration de vhost: | vhost

443 Mot inconnu : apache2 => ==== Dans le cas d'un serveur apache2 avec la directive ChrootDir ==== | apache2
443 Mot inconnu : ChrootDir => ==== Dans le cas d'un serveur apache2 avec la directive ChrootDir ==== | chrootdir

445 Mot inconnu : apache2 => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | apache2
445 Mot inconnu : environnemnt => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | environnemnt
445 Mot inconnu : chrooté => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | chrooté
445 Mot inconnu : awstats => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | awstats
445 Incohérence. Le sujet de cette forme verbale est introuvable. => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | peux => suggestions : ['peut']
445 Mot inconnu : CGI => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | cgi
445 Mot inconnu : chroot => Comme le serveur **apache2** fonctionne en environnemnt chrooté, awstats ne peux pas être installé en tant que script CGI, (Perl n'est pas présent dans le chroot). Il sera donc installé en dehors, avec une génération de pages statiques accessibles par le serveur **Apache**. | chroot

447 Accord de genre erroné : « configuration » est féminin. => === Création du fichier d'un configuration awstats spécifique === | un => suggestions : ['une']
447 Mot inconnu : awstats => === Création du fichier d'un configuration awstats spécifique === | awstats

454 Mot inconnu : Editez => Editez ensuite ce fichier et modifiez les lignes suivantes pour mettre les paramètres adapté à votre configuration : | editez
454 Accord de nombre erroné avec « les paramètres » : « adapté » devrait être au pluriel. => Editez ensuite ce fichier et modifiez les lignes suivantes pour mettre les paramètres adapté à votre configuration : | adapté => suggestions : ['adaptés']

462 Mot inconnu : HostAliases => <note>Vous pouvez aussi modifier le paramètre //HostAliases// si vous utilisez plusieurs VirtualHost.</note> | hostaliases
462 Mot inconnu : VirtualHost => <note>Vous pouvez aussi modifier le paramètre //HostAliases// si vous utilisez plusieurs VirtualHost.</note> | virtualhost

466 Mot inconnu : cron => === Génération des pages statiques et création du cron === | cron

486 S’il s’agit d’un impératif, mettez un trait d’union. => Changez lui ses droits : <code bash>sudo chmod 755 /etc/cron.daily/awstats</code> Puis exécutez le une première fois. | changez lui => suggestions : ['Changez-lui']
486 S’il s’agit d’un impératif, mettez un trait d’union. => Changez lui ses droits : <code bash>sudo chmod 755 /etc/cron.daily/awstats</code> Puis exécutez le une première fois. | exécutez le => suggestions : ['exécutez-le']

504 Espace(s) en fin de ligne à supprimer. => Ajustez la gestion des droits d'accès selon votre besoin de confidentialité  |   => suggestions : ['']

510 Espace(s) en fin de ligne à supprimer. => === Source ===  |   => suggestions : ['']

513 Mot inconnu : Postfix => ===== Statistiques des mails (Postfix) ===== | postfix

519 Élision de l’article devant un mot commençant par une voyelle. => Rendez-vous dans le répertoire de configuration de awstats : | de  => suggestions : ['d’']
519 Mot inconnu : awstats => Rendez-vous dans le répertoire de configuration de awstats : | awstats

523 Il manque un espace. => Créez le fichier awstats.mails.conf | mails => suggestions : [' mails']
565 Espace(s) en fin de ligne à supprimer. => Lancer la mise à jour des statistiques :  |   => suggestions : ['']

577 Mot inconnu : postfix => ==== Configuration multi-instance postfix ===== | postfix

579 Mot inconnu : postfix => Exemple de 2 files postfix: une pour le système et l'autre pour un service quelconque, nommées respectivement postfix et postfix-service. Les 2 instances génères des logs dans le fichier // /var/log/mail.log //. | postfix
579 Mot inconnu : postfix => Exemple de 2 files postfix: une pour le système et l'autre pour un service quelconque, nommées respectivement postfix et postfix-service. Les 2 instances génères des logs dans le fichier // /var/log/mail.log //. | postfix
579 Mot inconnu : postfix-service => Exemple de 2 files postfix: une pour le système et l'autre pour un service quelconque, nommées respectivement postfix et postfix-service. Les 2 instances génères des logs dans le fichier // /var/log/mail.log //. | postfix-service
579 Conjugaison erronée. Accord avec “Les instances…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Exemple de 2 files postfix: une pour le système et l'autre pour un service quelconque, nommées respectivement postfix et postfix-service. Les 2 instances génères des logs dans le fichier // /var/log/mail.log //. | génères => suggestions : ['génèrent']
596 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : ...// | ... => suggestions : ['…']
