
3 Mot inconnu : Postfix => ====== Installer Postfix en local pour un poste de travail ====== | postfix
531 Mot inconnu : MicroSoft => # Active l’interopérabilité avec les clients SMTP qui implémentent une version obsolète de la commande AUTH (RFC 2554). MicroSoft Outlook Express version 4 et Exchange version 5.0 sont des exemples de tels clients. | microsoft
531 Mot inconnu : Outlook => # Active l’interopérabilité avec les clients SMTP qui implémentent une version obsolète de la commande AUTH (RFC 2554). MicroSoft Outlook Express version 4 et Exchange version 5.0 sont des exemples de tels clients. | outlook
531 Mot inconnu : Exchange => # Active l’interopérabilité avec les clients SMTP qui implémentent une version obsolète de la commande AUTH (RFC 2554). MicroSoft Outlook Express version 4 et Exchange version 5.0 sont des exemples de tels clients. | exchange

532 Mot inconnu : broken_sasl_auth_clients => broken_sasl_auth_clients = no | broken_sasl_auth_clients

534 Mot inconnu : smtpd_recipient_restrictions => smtpd_recipient_restrictions = permit_sasl_authenticated,permit_mynetworks,reject_unauth_destination </file> | smtpd_recipient_restrictions
534 Mot inconnu : permit_sasl_authenticated => smtpd_recipient_restrictions = permit_sasl_authenticated,permit_mynetworks,reject_unauth_destination </file> | permit_sasl_authenticated
534 Il manque un espace. => smtpd_recipient_restrictions = permit_sasl_authenticated,permit_mynetworks,reject_unauth_destination </file> | permit_mynetworks => suggestions : [' permit_mynetworks']
534 Mot inconnu : permit_mynetworks => smtpd_recipient_restrictions = permit_sasl_authenticated,permit_mynetworks,reject_unauth_destination </file> | permit_mynetworks
534 Mot inconnu : reject_unauth_destination => smtpd_recipient_restrictions = permit_sasl_authenticated,permit_mynetworks,reject_unauth_destination </file> | reject_unauth_destination

538 Mot inconnu : pwcheck_method => <file>pwcheck_method: saslauthd # Fonctionnement avec le service saslauthd de Cyrus | pwcheck_method
538 Mot inconnu : saslauthd => <file>pwcheck_method: saslauthd # Fonctionnement avec le service saslauthd de Cyrus | saslauthd
538 Mot inconnu : saslauthd => <file>pwcheck_method: saslauthd # Fonctionnement avec le service saslauthd de Cyrus | saslauthd

539 Mot inconnu : mech_list => mech_list: PLAIN LOGIN # Les méthodes d'authentifications PLAIN et LOGIN sont permises | mech_list

542 Mot inconnu : saslauthd-postfix => Créer un fichier de configuration Cyrus saslauthd-postfix pour Postfix : | saslauthd-postfix
542 Mot inconnu : Postfix => Créer un fichier de configuration Cyrus saslauthd-postfix pour Postfix : | postfix

546 Mot inconnu : START => <file>START=yes | start
546 Mot inconnu : yes => <file>START=yes | yes

547 Mot inconnu : NAME => NAME="saslauthd-postf" # Maximum 15 caractères | name
547 Guillemets typographiques ouvrants. => NAME="saslauthd-postf" # Maximum 15 caractères | " => suggestions : ['«\xa0', '“']
547 Mot inconnu : saslauthd-postf => NAME="saslauthd-postf" # Maximum 15 caractères | saslauthd-postf
547 Guillemets typographiques fermants. => NAME="saslauthd-postf" # Maximum 15 caractères | " => suggestions : ['\xa0»', '”']

548 Mot inconnu : Chroot => OPTIONS="-c -m /var/spool/postfix/var/run/saslauthd" # Chroot du serveur Postfix dans /var/spool/postfix</file> | chroot
548 Mot inconnu : Postfix => OPTIONS="-c -m /var/spool/postfix/var/run/saslauthd" # Chroot du serveur Postfix dans /var/spool/postfix</file> | postfix

550 Confusion probable. Pour l’impératif, écrivez : => Créer le sous répertoire dans le chroot de Postfix : | créer le => suggestions : ['Créez-le']
550 Il manque probablement un trait d’union. => Créer le sous répertoire dans le chroot de Postfix : | sous répertoire => suggestions : ['sous-répertoire']
550 Mot inconnu : chroot => Créer le sous répertoire dans le chroot de Postfix : | chroot
550 Mot inconnu : Postfix => Créer le sous répertoire dans le chroot de Postfix : | postfix

553 Mot inconnu : saslauthd => Redémarrer le service saslauthd : | saslauthd

556 Mot inconnu : postfix => Pour valider la configuration de postfix, tapez : | postfix

559 Mot inconnu : SASL => === Configurer le client mail MUA système pour l'authentification SASL === | sasl

560 Mot inconnu : Mutt => Le client Mutt devrait fonctionner de façon transparente en local avec cette configuration. | mutt

562 Mot inconnu : TLS => Pour vérifier l’authentification au serveur SMTP en TLS SASL. | tls
562 Mot inconnu : SASL => Pour vérifier l’authentification au serveur SMTP en TLS SASL. | sasl

563 Mot inconnu : Hash => Créer un Hash (code crypté) pour votre utilisateur local. | hash

565 Mot inconnu : perl => ou en perl: | perl

570 Mot inconnu : Hash => Créer un Hash pour le mot de passe de l'utilisateur local. | hash

572 Mot inconnu : perl => ou en perl: | perl

577 Mot inconnu : Hash => Créer un Hash (code crypté de connexion) pour l'identifiant avec mot de passe de l'utilisateur local. | hash

579 Mot inconnu : perl => ou en perl: | perl

586 Mot inconnu : perl => ou en perl | perl

596 Mot inconnu : VXNlcm5hbWU6 => VXNlcm5hbWU6 c'est «Username:» en crypté. | vxnlcm5hbwu6
596 Mot inconnu : Username => VXNlcm5hbWU6 c'est «Username:» en crypté. | username

602 Mot inconnu : UGFzc3dvcmQ6 => UGFzc3dvcmQ6 c'est «Password:» en crypté. | ugfzc3dvcmq6
602 Mot inconnu : Password => UGFzc3dvcmQ6 c'est «Password:» en crypté. | password

611 Mot inconnu : Hash => Maintenant c'est le code de Hash de l'identifiant avec le mot de passe applicatif qu'il faut saisir pour l'authentification en clair : | hash

624 Mot inconnu : SASL => Maintenant nous avons un système de messagerie très sécurisé. On peut encore améliorer le système d'authentification SASL pour cela il faut voir [[Configuration avancée de SASL Cyrus avec Postfix|Configuration avancée de SASL Cyrus avec Postfix]]. | sasl
624 Mot inconnu : SASL => Maintenant nous avons un système de messagerie très sécurisé. On peut encore améliorer le système d'authentification SASL pour cela il faut voir [[Configuration avancée de SASL Cyrus avec Postfix|Configuration avancée de SASL Cyrus avec Postfix]]. | sasl
624 Mot inconnu : Postfix => Maintenant nous avons un système de messagerie très sécurisé. On peut encore améliorer le système d'authentification SASL pour cela il faut voir [[Configuration avancée de SASL Cyrus avec Postfix|Configuration avancée de SASL Cyrus avec Postfix]]. | postfix
624 Mot inconnu : SASL => Maintenant nous avons un système de messagerie très sécurisé. On peut encore améliorer le système d'authentification SASL pour cela il faut voir [[Configuration avancée de SASL Cyrus avec Postfix|Configuration avancée de SASL Cyrus avec Postfix]]. | sasl
624 Mot inconnu : Postfix => Maintenant nous avons un système de messagerie très sécurisé. On peut encore améliorer le système d'authentification SASL pour cela il faut voir [[Configuration avancée de SASL Cyrus avec Postfix|Configuration avancée de SASL Cyrus avec Postfix]]. | postfix

627 Mot inconnu : LAN => ===== Considérations de sécurités sur une architecture LAN et au-delà ===== | lan

628 Confusion probable : « peux » est une conjugaison de « pouvoir », utilisez « peu ». => Pour renforcer la sécurité si votre poste de travail est dans un réseau local, il vous faudra centraliser les messages sur des boites aux lettres postales pour éviter les failles de sécurités des utilisateurs locaux peux respectueux des consignes de sécurités. | peux => suggestions : ['peu']

629 Confusion probable. => Pour un poste de travail multi-utilisateurs chez soit, ce genre de configuration de boîtes aux lettres par utilisateurs peut-être intéressante pour la messagerie système et entre utilisateurs locaux du poste de travail. | soit => suggestions : ['soi']
629 Accord de genre erroné avec « intéressante ». => Pour un poste de travail multi-utilisateurs chez soit, ce genre de configuration de boîtes aux lettres par utilisateurs peut-être intéressante pour la messagerie système et entre utilisateurs locaux du poste de travail. | utilisateurs => suggestions : ['utilisatrices']
629 Accord de genre erroné avec « utilisateurs ». => Pour un poste de travail multi-utilisateurs chez soit, ce genre de configuration de boîtes aux lettres par utilisateurs peut-être intéressante pour la messagerie système et entre utilisateurs locaux du poste de travail. | intéressante => suggestions : ['intéressant']

631 Espace(s) en fin de ligne à supprimer. => Dans un environnement professionnel où le serveur de messagerie est sur un réseau local, il est préférable d'avoir des boites aux lettres postales (/var/mail/utilisateur). Cela permet d'avoir plusieurs niveaux de contrôles de sécurités.  |   => suggestions : ['']

633 Accord de nombre erroné : « niveau » est au singulier. => Le premier aux niveau du serveur de messagerie MTA (filtrages SPAM et antivirus).  | aux => suggestions : ['au']
633 Accord de nombre erroné : « niveau » devrait être au pluriel. => Le premier aux niveau du serveur de messagerie MTA (filtrages SPAM et antivirus).  | niveau => suggestions : ['niveaux']
633 Mot inconnu : MTA => Le premier aux niveau du serveur de messagerie MTA (filtrages SPAM et antivirus).  | mta
633 Espace(s) en fin de ligne à supprimer. => Le premier aux niveau du serveur de messagerie MTA (filtrages SPAM et antivirus).  |   => suggestions : ['']

639 Mot inconnu : home_mailbox => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | home_mailbox
639 Typographie : points de suspension. Utilisez le caractère dédié. => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | ... => suggestions : ['…']
639 Il manque un espace. => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | cf => suggestions : [' cf']
639 Mot inconnu : Postfix => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | postfix
639 Mot inconnu : Mutt => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | mutt
639 Mot inconnu : spoolfile => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | spoolfile
639 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. |  . => suggestions : ['. ', '.']
639 Mot inconnu : muttrc => Pour cela il faut supprimer la directive <file>home_mailbox= ...</file> du fichier de configuration main.cf de Postfix. Et modifier le client MUA Mutt avec <file>set spoolfile=/var/mail/$USER</file> dans le fichier .muttrc du répertoire home de l'utilisateur. | muttrc
