
7 Mot inconnu : Aptana => ====== Aptana Studio ====== | aptana
173 Mot inconnu : Search => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | search
173 Mot inconnu : features => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | features
173 Mot inconnu : to => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | to
173 Mot inconnu : install => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | install
173 Mot inconnu : remote => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | remote

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrer comme nom : “Spket”, comme url : “https://www.spket.com/update/” |    => suggestions : ['']
174 Mot inconnu : Spket =>   * Entrer comme nom : “Spket”, comme url : “https://www.spket.com/update/” | spket
174 Mot inconnu : url =>   * Entrer comme nom : “Spket”, comme url : “https://www.spket.com/update/” | url

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrer Aptana |    => suggestions : ['']
175 Mot inconnu : Aptana =>   * Redémarrer Aptana | aptana

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez regarder ce [[https://www.spket.com/demos/js.html|tutoriel sur l'IDE Spket]] pour voir comment ajouter facilement l'assistance du code Ext JS. Les étapes sont basiquement : |    => suggestions : ['']
176 Mot inconnu : Spket =>   * Vous pouvez regarder ce [[https://www.spket.com/demos/js.html|tutoriel sur l'IDE Spket]] pour voir comment ajouter facilement l'assistance du code Ext JS. Les étapes sont basiquement : | spket
176 Mot inconnu : Ext =>   * Vous pouvez regarder ce [[https://www.spket.com/demos/js.html|tutoriel sur l'IDE Spket]] pour voir comment ajouter facilement l'assistance du code Ext JS. Les étapes sont basiquement : | ext
176 Mot inconnu : JS =>   * Vous pouvez regarder ce [[https://www.spket.com/demos/js.html|tutoriel sur l'IDE Spket]] pour voir comment ajouter facilement l'assistance du code Ext JS. Les étapes sont basiquement : | js

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Window → Preferences → Spket → JavaScript Profiles → New |      => suggestions : ['']
177 Mot inconnu : Window =>     * Window → Preferences → Spket → JavaScript Profiles → New | window
177 Mot inconnu : Preferences =>     * Window → Preferences → Spket → JavaScript Profiles → New | preferences
177 Mot inconnu : Spket =>     * Window → Preferences → Spket → JavaScript Profiles → New | spket

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Entrer “ExtJS” et cliquer OK |      => suggestions : ['']
178 Mot inconnu : ExtJS =>     * Entrer “ExtJS” et cliquer OK | extjs

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Selectionner “ExtJS” et cliquer “Add Library”, puis choisir “ExtJS” depuis le menu déroulant |      => suggestions : ['']
179 Mot inconnu : Selectionner =>     * Selectionner “ExtJS” et cliquer “Add Library”, puis choisir “ExtJS” depuis le menu déroulant | selectionner
179 Mot inconnu : ExtJS =>     * Selectionner “ExtJS” et cliquer “Add Library”, puis choisir “ExtJS” depuis le menu déroulant | extjs
179 Mot inconnu : Add =>     * Selectionner “ExtJS” et cliquer “Add Library”, puis choisir “ExtJS” depuis le menu déroulant | add
179 Mot inconnu : Library =>     * Selectionner “ExtJS” et cliquer “Add Library”, puis choisir “ExtJS” depuis le menu déroulant | library
179 Mot inconnu : ExtJS =>     * Selectionner “ExtJS” et cliquer “Add Library”, puis choisir “ExtJS” depuis le menu déroulant | extjs

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” |      => suggestions : ['']
180 Mot inconnu : ExtJS =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” | extjs
180 Mot inconnu : Add =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” | add
180 Mot inconnu : ext =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” | ext
180 Mot inconnu : jsb =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” | jsb
180 Mettez des guillemets fermants plutôt qu’ouvrants. =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” |  “ => suggestions : ['\xa0»', '”']
180 Mot inconnu : ext-2 =>     * Select “ExtJS” et cliquer “Add File”, puis choisir le fichier “ext.jsb” dans votre répertoire “./ext-2.x/source” | ext-2

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Définir le nouveau profil ExtJS par défaut en le sélectionnant et cliquant sur le bouton “Default” sur le côté droit de la fenêtre de dialogue “JavaScript Profiles” |      => suggestions : ['']
181 Mot inconnu : ExtJS =>     * Définir le nouveau profil ExtJS par défaut en le sélectionnant et cliquant sur le bouton “Default” sur le côté droit de la fenêtre de dialogue “JavaScript Profiles” | extjs
181 Mot inconnu : Default =>     * Définir le nouveau profil ExtJS par défaut en le sélectionnant et cliquant sur le bouton “Default” sur le côté droit de la fenêtre de dialogue “JavaScript Profiles” | default

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Redémarrer Aptana |      => suggestions : ['']
182 Mot inconnu : Aptana =>     * Redémarrer Aptana | aptana

184 Mot inconnu : JS => Vous pouvez dès à présent créer un nouveau fichier JS, taper //Ext.// et vous devriez obtenir les options de complétion de code Ext. | js
184 Mot inconnu : Ext => Vous pouvez dès à présent créer un nouveau fichier JS, taper //Ext.// et vous devriez obtenir les options de complétion de code Ext. | ext
184 Mot inconnu : Ext => Vous pouvez dès à présent créer un nouveau fichier JS, taper //Ext.// et vous devriez obtenir les options de complétion de code Ext. | ext
186 Mot inconnu : IDEs => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | ides
186 Mot inconnu : and => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | and
186 Mot inconnu : tools => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | tools
186 Mot inconnu : Ext => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | ext
186 Mot inconnu : JS => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | js
186 Mot inconnu : Slocum => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | slocum
186 Mot inconnu : Ext => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | ext
186 Mot inconnu : JS => //Basé sur l'article **(en)** [[http://jackslocum.com/blog/2008/02/07/ides-plugins-and-tools-for-extjs-20/|« IDEs and tools for Ext JS 2.0 »]] par Jack Slocum (auteur de la bibliothèque Ext JS).// | js

192 Mot inconnu : Aptana => Au lancement d'Aptana Studio, vous obtenez une fenêtre d'erreur comme celle-ci : | aptana

198 Mot inconnu : JVM => Si une erreur persiste au lancement, cela provient surement du navigateur intégré non disponible et/ou un problème de JVM venant de xulrunner. | jvm
198 Mot inconnu : xulrunner => Si une erreur persiste au lancement, cela provient surement du navigateur intégré non disponible et/ou un problème de JVM venant de xulrunner. | xulrunner

200 Écriture invariable. Utilisez un point médian. => Pour résoudre ce(s) problème(s) : | problème(s) => suggestions : ['problème·s']

204 Mot inconnu : xulrunner => <note warning>Il faut installer la version 1.8 de xulrunner, la version 1.9 peut provoquer un plantage au démarrage</note> | xulrunner

205 Mot inconnu : bash => puis créez un fichier bash contenant : | bash

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/sh |    => suggestions : ['']

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   MOZILLA_FIVE_HOME=/usr/lib/xulrunner/ |    => suggestions : ['']
208 Mot inconnu : MOZILLA_FIVE_HOME =>   MOZILLA_FIVE_HOME=/usr/lib/xulrunner/ | mozilla_five_home

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   if [ $LD_LIBRARY_PATH ]; then |    => suggestions : ['']
209 Pas d’espace après ce signe. =>   if [ $LD_LIBRARY_PATH ]; then | [  => suggestions : ['[']
209 Mot inconnu : LD_LIBRARY_PATH =>   if [ $LD_LIBRARY_PATH ]; then | ld_library_path
209 Pas d’espace avant ce signe. =>   if [ $LD_LIBRARY_PATH ]; then |  ] => suggestions : [']']
209 Mot inconnu : then =>   if [ $LD_LIBRARY_PATH ]; then | then

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH |    => suggestions : ['']
210 Mot inconnu : LD_LIBRARY_PATH =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH | ld_library_path
210 Mot inconnu : MOZILLA_FIVE_HOME =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH | mozilla_five_home
210 Mot inconnu : LD_LIBRARY_PATH =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH | ld_library_path

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   else |    => suggestions : ['']
211 Mot inconnu : else =>   else | else

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME |    => suggestions : ['']
212 Mot inconnu : LD_LIBRARY_PATH =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME | ld_library_path
212 Mot inconnu : MOZILLA_FIVE_HOME =>   LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME | mozilla_five_home

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fi |    => suggestions : ['']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export MOZILLA_FIVE_HOME LD_LIBRARY_PATH |    => suggestions : ['']
214 Mot inconnu : MOZILLA_FIVE_HOME =>   export MOZILLA_FIVE_HOME LD_LIBRARY_PATH | mozilla_five_home
214 Mot inconnu : LD_LIBRARY_PATH =>   export MOZILLA_FIVE_HOME LD_LIBRARY_PATH | ld_library_path

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /opt/aptana/AptanaStudio |    => suggestions : ['']

217 Mot inconnu : aptana => Vous pouvez le nommer //aptana// et l'enregistrer dans ///opt/aptana/// . | aptana

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod +x /opt/aptana/aptana |    => suggestions : ['']
220 Mot inconnu : sudo =>   sudo chmod +x /opt/aptana/aptana | sudo
220 Mot inconnu : chmod =>   sudo chmod +x /opt/aptana/aptana | chmod

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Exec=/opt/aptana/aptana |    => suggestions : ['']
223 Mot inconnu : Exec =>   Exec=/opt/aptana/aptana | exec

227 Guillemets typographiques ouvrants. => ==== "internal error" au lancement ==== | " => suggestions : ['«\xa0', '“']
227 Mot inconnu : internal => ==== "internal error" au lancement ==== | internal
227 Mot inconnu : error => ==== "internal error" au lancement ==== | error
227 Guillemets typographiques fermants. => ==== "internal error" au lancement ==== | " => suggestions : ['\xa0»', '”']

230 Mot inconnu : internal => Sur Ubuntu 8.10, il se peut qu'une erreur (internal error) intervienne au démarrage d'Aptana.  | internal
230 Mot inconnu : error => Sur Ubuntu 8.10, il se peut qu'une erreur (internal error) intervienne au démarrage d'Aptana.  | error
230 Mot inconnu : Aptana => Sur Ubuntu 8.10, il se peut qu'une erreur (internal error) intervienne au démarrage d'Aptana.  | aptana
230 Espace(s) en fin de ligne à supprimer. => Sur Ubuntu 8.10, il se peut qu'une erreur (internal error) intervienne au démarrage d'Aptana.  |   => suggestions : ['']

231 Mot inconnu : sh => Dans ce cas, créer un fichier sh dans votre dossier aptana qui nous servira de lanceur à Aptana : | sh
231 Mot inconnu : aptana => Dans ce cas, créer un fichier sh dans votre dossier aptana qui nous servira de lanceur à Aptana : | aptana
231 Mot inconnu : Aptana => Dans ce cas, créer un fichier sh dans votre dossier aptana qui nous servira de lanceur à Aptana : | aptana

233 Mot inconnu : vim => **vim /opt/aptana/aptana** | vim

239 Mot inconnu : MOZILLA_FIVE_HOME => MOZILLA_FIVE_HOME=/usr/lib/xulrunner | mozilla_five_home

240 Pas d’espace après ce signe. => if [ $LD_LIBRARY_PATH ]; then | [  => suggestions : ['[']
240 Mot inconnu : LD_LIBRARY_PATH => if [ $LD_LIBRARY_PATH ]; then | ld_library_path
240 Pas d’espace avant ce signe. => if [ $LD_LIBRARY_PATH ]; then |  ] => suggestions : [']']
240 Mot inconnu : then => if [ $LD_LIBRARY_PATH ]; then | then

241 Mot inconnu : LD_LIBRARY_PATH => LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH | ld_library_path
241 Mot inconnu : MOZILLA_FIVE_HOME => LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH | mozilla_five_home
241 Mot inconnu : LD_LIBRARY_PATH => LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME:$LD_LIBRARY_PATH | ld_library_path

242 Mot inconnu : else => else | else

243 Mot inconnu : LD_LIBRARY_PATH => LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME | ld_library_path
243 Mot inconnu : MOZILLA_FIVE_HOME => LD_LIBRARY_PATH=$MOZILLA_FIVE_HOME | mozilla_five_home

245 Mot inconnu : MOZILLA_FIVE_HOME => export MOZILLA_FIVE_HOME LD_LIBRARY_PATH | mozilla_five_home
245 Mot inconnu : LD_LIBRARY_PATH => export MOZILLA_FIVE_HOME LD_LIBRARY_PATH | ld_library_path

246 Il manque un espace à côté du tiret. => /opt/aptana/AptanaStudio -vm /usr/lib/jvm/java-6-sun/jre/bin/java  |  - => suggestions : [' – ', ' — ']
246 Mot inconnu : vm => /opt/aptana/AptanaStudio -vm /usr/lib/jvm/java-6-sun/jre/bin/java  | vm
246 Espace(s) en fin de ligne à supprimer. => /opt/aptana/AptanaStudio -vm /usr/lib/jvm/java-6-sun/jre/bin/java  |   => suggestions : ['']

249 Mot inconnu : SwordOfPain => SwordOfPain : Si vous avez installé JRE avec openjdk (comme conseillé dans la page sur [[java]]), il vous faudra sûrement remplacer à la dernière ligne l'adresse de l'exécutable java par // /usr/lib/jvm/java-6-**openjdk**/jre/bin/java//  | swordofpain
249 Mot inconnu : JRE => SwordOfPain : Si vous avez installé JRE avec openjdk (comme conseillé dans la page sur [[java]]), il vous faudra sûrement remplacer à la dernière ligne l'adresse de l'exécutable java par // /usr/lib/jvm/java-6-**openjdk**/jre/bin/java//  | jre
249 Mot inconnu : openjdk => SwordOfPain : Si vous avez installé JRE avec openjdk (comme conseillé dans la page sur [[java]]), il vous faudra sûrement remplacer à la dernière ligne l'adresse de l'exécutable java par // /usr/lib/jvm/java-6-**openjdk**/jre/bin/java//  | openjdk
249 Mot inconnu : openjdk => SwordOfPain : Si vous avez installé JRE avec openjdk (comme conseillé dans la page sur [[java]]), il vous faudra sûrement remplacer à la dernière ligne l'adresse de l'exécutable java par // /usr/lib/jvm/java-6-**openjdk**/jre/bin/java//  | openjdk
249 Mot inconnu : jre => SwordOfPain : Si vous avez installé JRE avec openjdk (comme conseillé dans la page sur [[java]]), il vous faudra sûrement remplacer à la dernière ligne l'adresse de l'exécutable java par // /usr/lib/jvm/java-6-**openjdk**/jre/bin/java//  | jre
249 Espace(s) en fin de ligne à supprimer. => SwordOfPain : Si vous avez installé JRE avec openjdk (comme conseillé dans la page sur [[java]]), il vous faudra sûrement remplacer à la dernière ligne l'adresse de l'exécutable java par // /usr/lib/jvm/java-6-**openjdk**/jre/bin/java//  |   => suggestions : ['']

251 Ceci n’est pas une forme impérative correcte. => Donner-lui les droits d'exécution: | donner-lui => suggestions : ['Donne-lui', 'Donnez-lui', 'Donnons-lui']

252 Mot inconnu : sudo => sudo chmod +x /opt/aptana/aptana | sudo
252 Mot inconnu : chmod => sudo chmod +x /opt/aptana/aptana | chmod

254 Guillemets typographiques ouvrants. => Modifier l'entrée dans le menu Applications que nous avons créé précédemment (voir rubrique "Ajout d'une entrée dans le menu Applications" ci-dessus) afin qu'il exécute notre nouveau script avant AptanaStudio: | " => suggestions : ['«\xa0', '“']
254 Guillemets typographiques fermants. => Modifier l'entrée dans le menu Applications que nous avons créé précédemment (voir rubrique "Ajout d'une entrée dans le menu Applications" ci-dessus) afin qu'il exécute notre nouveau script avant AptanaStudio: | " => suggestions : ['\xa0»', '”']
254 Mot inconnu : AptanaStudio => Modifier l'entrée dans le menu Applications que nous avons créé précédemment (voir rubrique "Ajout d'une entrée dans le menu Applications" ci-dessus) afin qu'il exécute notre nouveau script avant AptanaStudio: | aptanastudio

257 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Exec=/opt/aptana/aptana |    => suggestions : ['']
257 Mot inconnu : Exec =>   Exec=/opt/aptana/aptana | exec

259 Accord de nombre erroné : « fenêtre » devrait être au pluriel. => ==== Boutons des fenêtre non cliquables ==== | fenêtre => suggestions : ['fenêtres']

261 Mot inconnu : click => Les premières versions 2.0.x (avant la 2.0.4, mars 2010) fonctionnant sur base d'Eclipse 3.5, elles peuvent présenter un problème avec le click de la souris dans les fenêtres (les boutons ok, annuler etc.) Pour corriger ce problème, il faut inclure l'option "export GDK_NATIVE_WINDOWS=1" dans le fichier /opt/aptana/aptana comme dans l'exemple suivant: | click
261 Mot inconnu : ok => Les premières versions 2.0.x (avant la 2.0.4, mars 2010) fonctionnant sur base d'Eclipse 3.5, elles peuvent présenter un problème avec le click de la souris dans les fenêtres (les boutons ok, annuler etc.) Pour corriger ce problème, il faut inclure l'option "export GDK_NATIVE_WINDOWS=1" dans le fichier /opt/aptana/aptana comme dans l'exemple suivant: | ok
261 Avant « etc. », il faut mettre une virgule. => Les premières versions 2.0.x (avant la 2.0.4, mars 2010) fonctionnant sur base d'Eclipse 3.5, elles peuvent présenter un problème avec le click de la souris dans les fenêtres (les boutons ok, annuler etc.) Pour corriger ce problème, il faut inclure l'option "export GDK_NATIVE_WINDOWS=1" dans le fichier /opt/aptana/aptana comme dans l'exemple suivant: |  etc. => suggestions : [', etc.']
261 Guillemets typographiques ouvrants. => Les premières versions 2.0.x (avant la 2.0.4, mars 2010) fonctionnant sur base d'Eclipse 3.5, elles peuvent présenter un problème avec le click de la souris dans les fenêtres (les boutons ok, annuler etc.) Pour corriger ce problème, il faut inclure l'option "export GDK_NATIVE_WINDOWS=1" dans le fichier /opt/aptana/aptana comme dans l'exemple suivant: | " => suggestions : ['«\xa0', '“']
261 Mot inconnu : GDK_NATIVE_WINDOWS => Les premières versions 2.0.x (avant la 2.0.4, mars 2010) fonctionnant sur base d'Eclipse 3.5, elles peuvent présenter un problème avec le click de la souris dans les fenêtres (les boutons ok, annuler etc.) Pour corriger ce problème, il faut inclure l'option "export GDK_NATIVE_WINDOWS=1" dans le fichier /opt/aptana/aptana comme dans l'exemple suivant: | gdk_native_windows
261 Guillemets typographiques fermants. => Les premières versions 2.0.x (avant la 2.0.4, mars 2010) fonctionnant sur base d'Eclipse 3.5, elles peuvent présenter un problème avec le click de la souris dans les fenêtres (les boutons ok, annuler etc.) Pour corriger ce problème, il faut inclure l'option "export GDK_NATIVE_WINDOWS=1" dans le fichier /opt/aptana/aptana comme dans l'exemple suivant: | " => suggestions : ['\xa0»', '”']

265 Mot inconnu : ECLIPSE_HOME => export ECLIPSE_HOME="/opt/aptana" | eclipse_home

266 Mot inconnu : GDK_NATIVE_WINDOWS => export GDK_NATIVE_WINDOWS=1 | gdk_native_windows

267 Mot inconnu : ECLIPSE_HOME => $ECLIPSE_HOME/AptanaStudio $* | eclipse_home
267 Mot inconnu : AptanaStudio => $ECLIPSE_HOME/AptanaStudio $* | aptanastudio

275 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Dorg.eclipse.swt.browser.DefaultType=mozilla | - => suggestions : ['—\xa0', '–\xa0']

282 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.aptana.com/studio/|Site officiel [en]]] |    => suggestions : ['']

283 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://forums.aptana.com/|Forum communautaire [en]]] |    => suggestions : ['']

284 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.aptana.com/docs/index.php/Main_Page|Documentation (wiki) [en]]] |    => suggestions : ['']
