
4 Mot inconnu : Clancy's => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | clancy's
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Mot inconnu : __DÉCOCHER__ =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | __décocher__
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']

50 Mot inconnu : CD1 => <note>**Carte graphique non supportée, ou drivers trop vieux, Installer ceux présents sur le CD1. ?** Ce message va certainement apparaitre à la fin de l'installation. Contentez-vous de cliquer "OK". Les réglages expliqués plus bas arrangeront tout ça...</note> | cd1
50 Guillemets typographiques ouvrants. => <note>**Carte graphique non supportée, ou drivers trop vieux, Installer ceux présents sur le CD1. ?** Ce message va certainement apparaitre à la fin de l'installation. Contentez-vous de cliquer "OK". Les réglages expliqués plus bas arrangeront tout ça...</note> | " => suggestions : ['«\xa0', '“']
50 Guillemets typographiques fermants. => <note>**Carte graphique non supportée, ou drivers trop vieux, Installer ceux présents sur le CD1. ?** Ce message va certainement apparaitre à la fin de l'installation. Contentez-vous de cliquer "OK". Les réglages expliqués plus bas arrangeront tout ça...</note> | " => suggestions : ['\xa0»', '”']
50 Typographie : points de suspension. Utilisez le caractère dédié. => <note>**Carte graphique non supportée, ou drivers trop vieux, Installer ceux présents sur le CD1. ?** Ce message va certainement apparaitre à la fin de l'installation. Contentez-vous de cliquer "OK". Les réglages expliqués plus bas arrangeront tout ça...</note> | ... => suggestions : ['…']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'**Utilitaire de configuration** du jeu doit s'ouvrir vous résumant votre configuration, jetez-y un oeil pour voir ce qui est en rouge et **"Quitter"**. |    => suggestions : ['']
52 Mot inconnu : oeil =>   * L'**Utilitaire de configuration** du jeu doit s'ouvrir vous résumant votre configuration, jetez-y un oeil pour voir ce qui est en rouge et **"Quitter"**. | oeil
52 Guillemets typographiques ouvrants. =>   * L'**Utilitaire de configuration** du jeu doit s'ouvrir vous résumant votre configuration, jetez-y un oeil pour voir ce qui est en rouge et **"Quitter"**. | " => suggestions : ['«\xa0', '“']
52 Guillemets typographiques fermants. =>   * L'**Utilitaire de configuration** du jeu doit s'ouvrir vous résumant votre configuration, jetez-y un oeil pour voir ce qui est en rouge et **"Quitter"**. | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Raccourci sur la Bureau **"Oui"**. **"Terminer"**. |    => suggestions : ['']
53 Accord de genre erroné : « Bureau » est masculin. =>   * Raccourci sur la Bureau **"Oui"**. **"Terminer"**. | la => suggestions : ['le']
53 Guillemets typographiques ouvrants. =>   * Raccourci sur la Bureau **"Oui"**. **"Terminer"**. | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. =>   * Raccourci sur la Bureau **"Oui"**. **"Terminer"**. | " => suggestions : ['\xa0»', '”']
53 Guillemets typographiques ouvrants. =>   * Raccourci sur la Bureau **"Oui"**. **"Terminer"**. | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. =>   * Raccourci sur la Bureau **"Oui"**. **"Terminer"**. | " => suggestions : ['\xa0»', '”']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. |    => suggestions : ['']
54 Mot inconnu : playonlinux =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | playonlinux
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Mot inconnu : Program =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | program
54 Mot inconnu : Splinter =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | splinter
54 Mot inconnu : Cell =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | cell
54 Mot inconnu : Pandora =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | pandora
54 Mot inconnu : Tomorrow =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | tomorrow
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : logo_ubi =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | logo_ubi
54 Mot inconnu : exe =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | exe
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : splintercell-2 =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | splintercell-2
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Mot inconnu : InstallShield =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | installshield
54 Mot inconnu : icone =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | icone
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']
54 Guillemets typographiques ouvrants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * Fenêtre playonlinux : **"Suivant"**, lanceur **"Oui"**, parcourir jusqu'à **"/Program Files/Ubisoft/Splinter Cell Pandora Tomorrow"** et **"logo_ubi.exe" "Suivant"**, **"splintercell-2" "Suivant"**, cocher uniquement **"Dans votre menu"** InstallShield ajoutant déjà un icone au Bureau, **"Suivant"** et pour terminer **"Non"**. | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. |    => suggestions : ['']
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | ... => suggestions : ['…']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Mot inconnu : __ =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | __
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Accord de genre erroné : « une application » est féminin, « installé » est masculin. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | installé => suggestions : ['installée']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Mot inconnu : __ =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | __
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : splintercell-2 =>   * Pour **patcher** (si votre version n'a pas besoin du patch celui-ci vous le dira), bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant"**, cette fois c'est __**"Modifier une application déjà installé"**__ **"Suivant" "splintercell-2" "Suivant" "Non"**, parcourir jusqu'au patch et poursuivez ; quand playonlinux vous redemande si vous voulez créer un lanceur de nouveau terminer par **"Non"**. | splintercell-2
