
5 Mot inconnu : mount => ====== mount et fstab : Le montage des systèmes de fichiers ====== | mount
183 Mot inconnu : Universal =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | universal
183 Mot inconnu : sudo =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | sudo
183 Mot inconnu : blkid =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | blkid
183 Mot inconnu : gnome-disk-utility =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | gnome-disk-utility
183 Mot inconnu : UUID =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | uuid
183 Mot inconnu : UUID =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | uuid
183 Mot inconnu : c442228-1991-48c7-bad9-a80dfc8267cf =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | c442228-1991-48c7-bad9-a80dfc8267cf

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. |      => suggestions : ['']
184 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. |  -  => suggestions : [' – ', ' — ', ' − ']
184 Mot inconnu : sd =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | sd
184 Mot inconnu : boot =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | boot
184 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | 2e => suggestions : ['2ᵉ']
184 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | 2e => suggestions : ['2ᵉ']
184 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | 1er => suggestions : ['1ᵉʳ']
184 Mot inconnu : boot =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | boot
184 Mot inconnu : sdb2 =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | sdb2
184 Après un point, une majuscule est généralement requise. =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | l => suggestions : ['L']
184 Mot inconnu : UUID =>     - La référence directe à la partition sous la forme **/dev/sda2** ou **/dev/sdb2** (**sd** signifie disque dur, la lettre est l'ordre du disque dans le boot, et le N° est celui de la partition. **/dev/sdb2** est donc la 2e partition du 2e disque dur). Inconvénient de cette méthode : si vous changez le 1er disque de démarrage dans le boot, la signification de sdb2 (par exemple) changera en même temps. l'UUID est donc un identifiant plus stable et plus sûr. | uuid

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Le LABEL de la partition à monter. On peut en effet donner un nom (label, ou étiquette) à une partition, même si ce n'est pas obligatoire. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **LABEL=nom-partition**, où **nom-partition** est à remplacer par le LABEL réel. |      => suggestions : ['']
185 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Le LABEL de la partition à monter. On peut en effet donner un nom (label, ou étiquette) à une partition, même si ce n'est pas obligatoire. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **LABEL=nom-partition**, où **nom-partition** est à remplacer par le LABEL réel. |  -  => suggestions : [' – ', ' — ', ' − ']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - l'adresse **IP** du disque réseau, collée au nom du répertoire qui s'y trouve et qu'on souhaite monter : **192.168.7.12/rep_a_partager**. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **CIFS** (un forme particulière du protocole SMB1). |      => suggestions : ['']
186 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - l'adresse **IP** du disque réseau, collée au nom du répertoire qui s'y trouve et qu'on souhaite monter : **192.168.7.12/rep_a_partager**. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **CIFS** (un forme particulière du protocole SMB1). |  -  => suggestions : [' – ', ' — ', ' − ']
186 Mot inconnu : CIFS =>     - l'adresse **IP** du disque réseau, collée au nom du répertoire qui s'y trouve et qu'on souhaite monter : **192.168.7.12/rep_a_partager**. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **CIFS** (un forme particulière du protocole SMB1). | cifs
186 Accord de genre erroné : « forme » est féminin. =>     - l'adresse **IP** du disque réseau, collée au nom du répertoire qui s'y trouve et qu'on souhaite monter : **192.168.7.12/rep_a_partager**. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **CIFS** (un forme particulière du protocole SMB1). | un => suggestions : ['une']
186 Accord de genre erroné : « un » est un déterminant masculin. =>     - l'adresse **IP** du disque réseau, collée au nom du répertoire qui s'y trouve et qu'on souhaite monter : **192.168.7.12/rep_a_partager**. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **CIFS** (un forme particulière du protocole SMB1). | forme => suggestions : ['formé']
186 Mot inconnu : SMB1 =>     - l'adresse **IP** du disque réseau, collée au nom du répertoire qui s'y trouve et qu'on souhaite monter : **192.168.7.12/rep_a_partager**. Dans ce cas, l'identifiant de la colonne **<file system>** prendra la forme **CIFS** (un forme particulière du protocole SMB1). | smb1

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. |    => suggestions : ['']
187 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. |  -  => suggestions : [' – ', ' — ', ' − ']
187 Mot inconnu : xxx =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | xxx
187 Mot inconnu : xxx =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | xxx
187 Mot inconnu : __une =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | __une
187 Mot inconnu : toutes__ =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | toutes__
187 Mot inconnu : sudo =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | sudo
187 Mot inconnu : mkdir =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | mkdir
187 Mot inconnu : xxx =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | xxx
187 Mot inconnu : fstab =>   - la colonne **<mount point>** indique un répertoire quelconque sur la partition principale, et qui servira de point de montage. Pour la partition principale elle-même, c'est évidemment "**/**" (la racine). Pour une partition montée additionnelle, on choisit en général (ce n'est pas un emplacement obligatoire) un répertoire /media/xxx (où **xxx** est le nom que vous choisissez pour la partition de montage). Vous devez créer manuellement cette partition de montage __une fois pour toutes__ par un **sudo mkdir /media/xxx**. Laissez-la vide, et n'y touchez plus jamais. Elle sert juste d'ancrage au fstab pour son montage. | fstab

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La colonne **<type>** donne le type de système de fichiers de la partition montée. Pour une partition linux, c'est souvent ext4. |    => suggestions : ['']
188 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La colonne **<type>** donne le type de système de fichiers de la partition montée. Pour une partition linux, c'est souvent ext4. |  -  => suggestions : [' – ', ' — ', ' − ']
188 Mot inconnu : linux =>   - La colonne **<type>** donne le type de système de fichiers de la partition montée. Pour une partition linux, c'est souvent ext4. | linux
188 Mot inconnu : ext4 =>   - La colonne **<type>** donne le type de système de fichiers de la partition montée. Pour une partition linux, c'est souvent ext4. | ext4

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La colonne **<option>** permet de choisir des options au montage. Sauf si vous êtes un expert, laissez **defaults** pour une partition ajoutée par vous au montage. |    => suggestions : ['']
189 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La colonne **<option>** permet de choisir des options au montage. Sauf si vous êtes un expert, laissez **defaults** pour une partition ajoutée par vous au montage. |  -  => suggestions : [' – ', ' — ', ' − ']
189 Mot inconnu : defaults =>   - La colonne **<option>** permet de choisir des options au montage. Sauf si vous êtes un expert, laissez **defaults** pour une partition ajoutée par vous au montage. | defaults

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - la colonne **<dump>** règle les sauvegardes via l'utilitaire **[[dump|dump]]**. La valeur classique est **0** (dump n'est presque jamais actif ou utilisé). |    => suggestions : ['']
190 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - la colonne **<dump>** règle les sauvegardes via l'utilitaire **[[dump|dump]]**. La valeur classique est **0** (dump n'est presque jamais actif ou utilisé). |  -  => suggestions : [' – ', ' — ', ' − ']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - la colonne **<pass>** règle la priorité de vérification des erreurs éventuelles du système de fichiers au démarrage. Laissez-y les valeurs par défaut de l'installation. Si vous ajoutez manuellement des partitions, les valeurs de <pass> doivent être: |    => suggestions : ['']
191 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - la colonne **<pass>** règle la priorité de vérification des erreurs éventuelles du système de fichiers au démarrage. Laissez-y les valeurs par défaut de l'installation. Si vous ajoutez manuellement des partitions, les valeurs de <pass> doivent être: |  -  => suggestions : [' – ', ' — ', ' − ']
191 Incohérence avec “de” : “doivent” est une forme verbale conjuguée. =>   - la colonne **<pass>** règle la priorité de vérification des erreurs éventuelles du système de fichiers au démarrage. Laissez-y les valeurs par défaut de l'installation. Si vous ajoutez manuellement des partitions, les valeurs de <pass> doivent être: | doivent => suggestions : ['devoir', 'dus', 'dû', 'devant', 'devons']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * **1** pour la racine (votre partition principale) => vérif de cette partition en priorité, |       => suggestions : ['']
192 Mot inconnu : vérif =>      * **1** pour la racine (votre partition principale) => vérif de cette partition en priorité, | vérif

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * **2** pour les autres partitions Linux (les partitions "externes" que vous souhaitez monter) => ce **2** fera les vérifs __après__ la partition racine (démarrage plus rapide), |       => suggestions : ['']
193 Guillemets typographiques ouvrants. =>      * **2** pour les autres partitions Linux (les partitions "externes" que vous souhaitez monter) => ce **2** fera les vérifs __après__ la partition racine (démarrage plus rapide), | " => suggestions : ['«\xa0', '“']
193 Guillemets typographiques fermants. =>      * **2** pour les autres partitions Linux (les partitions "externes" que vous souhaitez monter) => ce **2** fera les vérifs __après__ la partition racine (démarrage plus rapide), | " => suggestions : ['\xa0»', '”']
193 Mot inconnu : vérifs =>      * **2** pour les autres partitions Linux (les partitions "externes" que vous souhaitez monter) => ce **2** fera les vérifs __après__ la partition racine (démarrage plus rapide), | vérifs
193 Mot inconnu : __après__ =>      * **2** pour les autres partitions Linux (les partitions "externes" que vous souhaitez monter) => ce **2** fera les vérifs __après__ la partition racine (démarrage plus rapide), | __après__

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * **0** pour le swap et les partitions windows (cf. [[man>fstab]]) => pas de vérification. |       => suggestions : ['']
194 Mot inconnu : fstab =>      * **0** pour le swap et les partitions windows (cf. [[man>fstab]]) => pas de vérification. | fstab

196 Mot inconnu : fstab => Par exemple une ligne **fstab** type pour un montage d'une partition linux **ext4** sera :\\ | fstab
196 Mot inconnu : linux => Par exemple une ligne **fstab** type pour un montage d'une partition linux **ext4** sera :\\ | linux
196 Mot inconnu : ext4 => Par exemple une ligne **fstab** type pour un montage d'une partition linux **ext4** sera :\\ | ext4

197 Espace(s) surnuméraire(s) à supprimer. => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> |                                        => suggestions : [' ']
197 Espace(s) surnuméraire(s) à supprimer. => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> |        => suggestions : [' ']
197 Mot inconnu : ext4 => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> | ext4
197 Espace(s) surnuméraire(s) à supprimer. => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> |       => suggestions : [' ']
197 Mot inconnu : defaults => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> | defaults
197 Espace(s) surnuméraire(s) à supprimer. => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> |       => suggestions : [' ']
197 Espace(s) surnuméraire(s) à supprimer. => <file>/dev/sdb2                                      /media/toto      ext4     defaults     0     2</file> |       => suggestions : [' ']

198 Mot inconnu : UUID => ou mieux (l'UUID est plus stable) | uuid

199 Mot inconnu : UUID => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> | uuid
199 Mot inconnu : b870b8-a81e-4203-a4fd-7affa9f412fb => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> | b870b8-a81e-4203-a4fd-7affa9f412fb
199 Espace(s) surnuméraire(s) à supprimer. => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> |        => suggestions : [' ']
199 Espace(s) surnuméraire(s) à supprimer. => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> |        => suggestions : [' ']
199 Mot inconnu : ext4 => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> | ext4
199 Espace(s) surnuméraire(s) à supprimer. => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> |       => suggestions : [' ']
199 Mot inconnu : defaults => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> | defaults
199 Espace(s) surnuméraire(s) à supprimer. => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> |       => suggestions : [' ']
199 Espace(s) surnuméraire(s) à supprimer. => <file>UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb      /media/toto      ext4     defaults     0     2</file> |       => suggestions : [' ']

200 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Ces 2 exemples montent pareillement et automatiquement la 2e partition du 2e disque dur.\\ | 2e => suggestions : ['2ᵉ']
200 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Ces 2 exemples montent pareillement et automatiquement la 2e partition du 2e disque dur.\\ | 2e => suggestions : ['2ᵉ']

201 Mot inconnu : __réseau__ => Autre exemple, celui d'un disque __réseau__ désigné par l'adresse ''IP/nom_répertoire_à_partager'' : | __réseau__
201 Guillemets typographiques ouvrants. => Autre exemple, celui d'un disque __réseau__ désigné par l'adresse ''IP/nom_répertoire_à_partager'' : | '' => suggestions : ['«\xa0', '“']
201 Mot inconnu : nom_répertoire_à_partager => Autre exemple, celui d'un disque __réseau__ désigné par l'adresse ''IP/nom_répertoire_à_partager'' : | nom_répertoire_à_partager
201 Guillemets typographiques fermants. => Autre exemple, celui d'un disque __réseau__ désigné par l'adresse ''IP/nom_répertoire_à_partager'' : | '' => suggestions : ['\xa0»', '”']

202 Espace(s) surnuméraire(s) à supprimer. => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). |                    => suggestions : [' ']
202 Espace(s) surnuméraire(s) à supprimer. => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). |        => suggestions : [' ']
202 Mot inconnu : cifs => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). | cifs
202 Espace(s) surnuméraire(s) à supprimer. => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). |       => suggestions : [' ']
202 Mot inconnu : guest => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). | guest
202 Il manque un espace. => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). | uid => suggestions : [' uid']
202 Mot inconnu : uid => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). | uid
202 Mot inconnu : iocharset => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). | iocharset
202 Mot inconnu : utf8 => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). | utf8
202 Espace(s) surnuméraire(s) à supprimer. => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). |    => suggestions : [' ']
202 Espace(s) surnuméraire(s) à supprimer. => <file>//192.168.7.12/rep_a_partager                  /media/toto      cifs     guest,uid=1000,iocharset=utf8  0  0</file> (0 et non 2 pour la dernière position, car il s'agit d'une partition Windows). |    => suggestions : [' ']

204 Mot inconnu : __Dans => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | __dans
