
5 Mot inconnu : One => =======Acer Aspire One======= | one
40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Mettez en place la carte SD dans le lecteur ou la clé USB et démarrez votre ordinateur |    => suggestions : ['']
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Mettez en place la carte SD dans le lecteur ou la clé USB et démarrez votre ordinateur |  -  => suggestions : [' – ', ' — ', ' − ']
40 Mot inconnu : SD =>   - Mettez en place la carte SD dans le lecteur ou la clé USB et démarrez votre ordinateur | sd

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu  |    => suggestions : ['']
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu  |  -  => suggestions : [' – ', ' — ', ' − ']
47 Mot inconnu : liveCD =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu  | livecd
47 Mot inconnu : Xubuntu =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu  | xubuntu
47 Espace(s) en fin de ligne à supprimer. =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Utiliser l'utilitaire Create A USB Startup Disk dans le menu Administration d'Ubuntu |    => suggestions : ['']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Utiliser l'utilitaire Create A USB Startup Disk dans le menu Administration d'Ubuntu |  -  => suggestions : [' – ', ' — ', ' − ']
48 Mot inconnu : Create =>   - Utiliser l'utilitaire Create A USB Startup Disk dans le menu Administration d'Ubuntu | create
48 Mot inconnu : Disk =>   - Utiliser l'utilitaire Create A USB Startup Disk dans le menu Administration d'Ubuntu | disk

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Utiliser une clé de 1 Go minimum vierge formatée en FAT 32 |    => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Utiliser une clé de 1 Go minimum vierge formatée en FAT 32 |  -  => suggestions : [' – ', ' — ', ' − ']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger la version d'Ubuntu choisie ici : [[http://www.ubuntu-fr.org/telechargement|Téléchargement d'Ubuntu]]  |    => suggestions : ['']
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger la version d'Ubuntu choisie ici : [[http://www.ubuntu-fr.org/telechargement|Téléchargement d'Ubuntu]]  |  -  => suggestions : [' – ', ' — ', ' − ']
50 Espace(s) en fin de ligne à supprimer. =>   - Télécharger la version d'Ubuntu choisie ici : [[http://www.ubuntu-fr.org/telechargement|Téléchargement d'Ubuntu]]  |   => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) |    => suggestions : ['']
60 Mot inconnu : ubuntu-XXX =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) | ubuntu-xxx
60 Mot inconnu : iso =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) | iso
60 Conjugaison erronée. Accord avec “Celui-ci”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) | peux => suggestions : ['peut']
60 Mot inconnu : sudo =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) | sudo
60 Mot inconnu : fdisk =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) | fdisk
60 Il manque un espace à côté du tiret. =>   * En remplaçant ubuntu-XXX par votre fichier iso et /dev/sdX1 par le nom de votre partition qui se trouve sur la clé USB. (Celui-ci peux se trouver en faisant la commande: sudo fdisk -l) |  - => suggestions : [' – ', ' — ']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les erreurs durant l'exécution sont normales. Elle sont dues au fait que le FAT ne gère pas les liens symboliques.  |    => suggestions : ['']
61 Accord avec “sont”. =>   * Les erreurs durant l'exécution sont normales. Elle sont dues au fait que le FAT ne gère pas les liens symboliques.  | elle => suggestions : ['Elles']
61 Conjugaison erronée. Accord avec “Elle”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   * Les erreurs durant l'exécution sont normales. Elle sont dues au fait que le FAT ne gère pas les liens symboliques.  | sont => suggestions : ['est']
61 Espace(s) en fin de ligne à supprimer. =>   * Les erreurs durant l'exécution sont normales. Elle sont dues au fait que le FAT ne gère pas les liens symboliques.  |   => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" |    => suggestions : ['']
62 Guillemets typographiques ouvrants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['«\xa0', '“']
62 Mot inconnu : isn't =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | isn't
62 Mot inconnu : marked =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | marked
62 Mot inconnu : bootable =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | bootable
62 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | ... => suggestions : ['…']
62 Guillemets typographiques fermants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['\xa0»', '”']
62 S’il s’agit d’un impératif, mettez un trait d’union. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | lancez le => suggestions : ['lancez-le']
62 Guillemets typographiques ouvrants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['\xa0»', '”']
62 Guillemets typographiques ouvrants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['\xa0»', '”']
62 Guillemets typographiques ouvrants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['\xa0»', '”']
62 Guillemets typographiques ouvrants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['\xa0»', '”']
62 Guillemets typographiques ouvrants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['«\xa0', '“']
62 Mot inconnu : boot =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | boot
62 Guillemets typographiques fermants. =>   * Si vous avez l'erreur "Partition isn't marked bootable! ...", installez [[apt://gparted|gparted]], lancez le dans "système" -> "Administration" -> "éditeur de partitions", sélectionnez le bon disque (en haut à droite), clic droit sur la partition -> "gérer les drapeaux" -> cocher "boot" | " => suggestions : ['\xa0»', '”']

65 Mot inconnu : F12 => Redémarrer avec la clé dessus et la choisir au BIOS en appuyant sur la touche F12  | f12
65 Espace(s) en fin de ligne à supprimer. => Redémarrer avec la clé dessus et la choisir au BIOS en appuyant sur la touche F12  |   => suggestions : ['']

71 Mot inconnu : F12 => Au BIOS taper la touche F12. | f12

77 Mot inconnu : Atom => ====Processeur Intel Atom==== | atom

80 Mot inconnu : Intrepid => malheureusement, sous la version Intrepid cette information n'apparaît pas. | intrepid

85 Mot inconnu : v0 => === Avec le BIOS v0.3309 === | v0

87 Mot inconnu : linux => <note important>Depuis le noyau linux 2.6.31 ce module est compris dans le kernel. Compiler est donc inutile. Cependant modprob ne l'a pas enclenché chez moi, en revanche il se lance bien au démarrage en modifiant /etc/modules (cf plus bas)</note> | linux
87 Mot inconnu : kernel => <note important>Depuis le noyau linux 2.6.31 ce module est compris dans le kernel. Compiler est donc inutile. Cependant modprob ne l'a pas enclenché chez moi, en revanche il se lance bien au démarrage en modifiant /etc/modules (cf plus bas)</note> | kernel
87 Mot inconnu : modprob => <note important>Depuis le noyau linux 2.6.31 ce module est compris dans le kernel. Compiler est donc inutile. Cependant modprob ne l'a pas enclenché chez moi, en revanche il se lance bien au démarrage en modifiant /etc/modules (cf plus bas)</note> | modprob
89 Élision de l’article devant un mot commençant par une voyelle. => Utilisation du module de noyau [[http://www.piie.net/index.php?section=acerhdf|acerhdf]] (à voir pour contrôler la version à utiliser en fonction de votre version du noyau Linux) en remplacement de acerfand. | de  => suggestions : ['d’']
89 Mot inconnu : acerfand => Utilisation du module de noyau [[http://www.piie.net/index.php?section=acerhdf|acerhdf]] (à voir pour contrôler la version à utiliser en fonction de votre version du noyau Linux) en remplacement de acerfand. | acerfand

96 Mot inconnu : sudo => sudo make install</code> | sudo
96 Mot inconnu : make => sudo make install</code> | make
96 Mot inconnu : install => sudo make install</code> | install

98 Mot inconnu : petaramesh => <note>Si vous avez le noyau custom de petaramesh(2.6.27-a1sp011) vous devrez d'abord taper les commandes suivantes dans le terminal : | petaramesh
98 Il manque un espace avant la parenthèse. => <note>Si vous avez le noyau custom de petaramesh(2.6.27-a1sp011) vous devrez d'abord taper les commandes suivantes dans le terminal : | ( => suggestions : [' (']
98 Mot inconnu : a1sp011 => <note>Si vous avez le noyau custom de petaramesh(2.6.27-a1sp011) vous devrez d'abord taper les commandes suivantes dans le terminal : | a1sp011

105 Guillemets typographiques ouvrants. => Puis si après ça vous avez le droit à une "erreur 1" il vous faudra créer le dossier misc pour ceci tapez : | " => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. => Puis si après ça vous avez le droit à une "erreur 1" il vous faudra créer le dossier misc pour ceci tapez : | " => suggestions : ['\xa0»', '”']
105 Mot inconnu : misc => Puis si après ça vous avez le droit à une "erreur 1" il vous faudra créer le dossier misc pour ceci tapez : | misc
114 Mot inconnu : kernel => <file># /etc/modules: kernel modules to load at boot time. | kernel
114 Mot inconnu : to => <file># /etc/modules: kernel modules to load at boot time. | to
114 Mot inconnu : load => <file># /etc/modules: kernel modules to load at boot time. | load
114 Mot inconnu : at => <file># /etc/modules: kernel modules to load at boot time. | at
114 Mot inconnu : boot => <file># /etc/modules: kernel modules to load at boot time. | boot
114 Mot inconnu : time => <file># /etc/modules: kernel modules to load at boot time. | time

116 Mot inconnu : This => # This file contains the names of kernel modules that should be loaded | this
116 Mot inconnu : contains => # This file contains the names of kernel modules that should be loaded | contains
116 Mot inconnu : the => # This file contains the names of kernel modules that should be loaded | the
116 Mot inconnu : names => # This file contains the names of kernel modules that should be loaded | names
116 Mot inconnu : of => # This file contains the names of kernel modules that should be loaded | of
116 Mot inconnu : kernel => # This file contains the names of kernel modules that should be loaded | kernel
116 Mot inconnu : that => # This file contains the names of kernel modules that should be loaded | that
116 Mot inconnu : should => # This file contains the names of kernel modules that should be loaded | should
116 Mot inconnu : loaded => # This file contains the names of kernel modules that should be loaded | loaded

117 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => # at boot time, one per line. Lines beginning with "#" are ignored. | at => suggestions : ['At']
117 Mot inconnu : at => # at boot time, one per line. Lines beginning with "#" are ignored. | at
117 Mot inconnu : boot => # at boot time, one per line. Lines beginning with "#" are ignored. | boot
117 Mot inconnu : time => # at boot time, one per line. Lines beginning with "#" are ignored. | time
117 Mot inconnu : one => # at boot time, one per line. Lines beginning with "#" are ignored. | one
117 Mot inconnu : per => # at boot time, one per line. Lines beginning with "#" are ignored. | per
117 Mot inconnu : line => # at boot time, one per line. Lines beginning with "#" are ignored. | line
117 Mot inconnu : Lines => # at boot time, one per line. Lines beginning with "#" are ignored. | lines
117 Mot inconnu : beginning => # at boot time, one per line. Lines beginning with "#" are ignored. | beginning
117 Mot inconnu : with => # at boot time, one per line. Lines beginning with "#" are ignored. | with
117 Mot inconnu : ignored => # at boot time, one per line. Lines beginning with "#" are ignored. | ignored

120 Mot inconnu : lp => lp | lp

121 Mot inconnu : ath_pci => ath_pci | ath_pci

122 Mot inconnu : acerhdf => acerhdf</file> | acerhdf

125 Mot inconnu : v0 => === Avec le BIOS v0.3114 === | v0

142 Mot inconnu : INTERVAL => INTERVAL=5 | interval

143 Mot inconnu : FANOFF => FANOFF=60 | fanoff

144 Mot inconnu : FANAUTO => FANAUTO=70 | fanauto

148 Mot inconnu : getion => <note>Je vous conseille les données suivantes pour la getion du ventilateur: | getion

150 Mot inconnu : INTERVAL => INTERVAL=5 | interval

151 Mot inconnu : FANOFF => FANOFF=55 | fanoff

152 Mot inconnu : FANAUTO => FANAUTO=65 | fanauto

154 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => ainsi votre ventilateur se déclenchera qu'à une température de 65° donc uniquement lorsque vous faites de la retouche photo ou de l'édition audio. Ceci évite les surchauffes. Pour le surf sur internet le ventilateur ne se déclenchera pas.</note> | ainsi => suggestions : ['Ainsi']

156 Mot inconnu : v0 => === Avec le BIOS v0.3304 === | v0

170 Accord de nombre erroné : « bios » devrait être au singulier. => Ce petit script fonctionne avec la dernière version du bios 3309 sur mon AA1 150, mais il ne fonctionne pas du tout sur AA1 110 (accélération brutale du ventilateur toutes les 5 secondes, jusqu'à l'arrêt du AA1 quand son processeur est en surchauffe) | bios => suggestions : ['bio']
170 Mot inconnu : AA1 => Ce petit script fonctionne avec la dernière version du bios 3309 sur mon AA1 150, mais il ne fonctionne pas du tout sur AA1 110 (accélération brutale du ventilateur toutes les 5 secondes, jusqu'à l'arrêt du AA1 quand son processeur est en surchauffe) | aa1
170 Mot inconnu : AA1 => Ce petit script fonctionne avec la dernière version du bios 3309 sur mon AA1 150, mais il ne fonctionne pas du tout sur AA1 110 (accélération brutale du ventilateur toutes les 5 secondes, jusqu'à l'arrêt du AA1 quand son processeur est en surchauffe) | aa1
170 Mot inconnu : AA1 => Ce petit script fonctionne avec la dernière version du bios 3309 sur mon AA1 150, mais il ne fonctionne pas du tout sur AA1 110 (accélération brutale du ventilateur toutes les 5 secondes, jusqu'à l'arrêt du AA1 quand son processeur est en surchauffe) | aa1

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //[[http://suzukube.blogspot.com/2008/09/controle-du-ventilateur-de-laspire-one.html]]// |    => suggestions : ['']

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //[[http://code-hacker.wetpaint.com/page/Install+Ubuntu+on+Acer+Aspire+One?t=anon]]// |    => suggestions : ['']

176 Mot inconnu : v0 => <note important>Script non encore fonctionnel pour le BIOS v0.3305</note> | v0

178 Mot inconnu : AA1 => <note important>Aucun script fonctionnel pour le BIOS v.3308 pour le AA1 150 Bb</note> | aa1
178 Mot inconnu : Bb => <note important>Aucun script fonctionnel pour le BIOS v.3308 pour le AA1 150 Bb</note> | bb

184 Mot inconnu : led => <note important>La led wifi ne s'allume plus après veille ou hibernation.</note> | led

189 Mot inconnu : echo => echo 1 > /sys/bus/pci/devices/0000\:01\:00.0/remove  | echo
189 Mot inconnu : sys => echo 1 > /sys/bus/pci/devices/0000\:01\:00.0/remove  | sys
189 Mot inconnu : pci => echo 1 > /sys/bus/pci/devices/0000\:01\:00.0/remove  | pci
189 Mot inconnu : ices => echo 1 > /sys/bus/pci/devices/0000\:01\:00.0/remove  | ices
189 Mot inconnu : remove => echo 1 > /sys/bus/pci/devices/0000\:01\:00.0/remove  | remove
189 Espace(s) en fin de ligne à supprimer. => echo 1 > /sys/bus/pci/devices/0000\:01\:00.0/remove  |   => suggestions : ['']

191 Mot inconnu : echo => echo 1 > /sys/bus/pci/devices/resan | echo
191 Mot inconnu : sys => echo 1 > /sys/bus/pci/devices/resan | sys
191 Mot inconnu : pci => echo 1 > /sys/bus/pci/devices/resan | pci
191 Mot inconnu : ices => echo 1 > /sys/bus/pci/devices/resan | ices
191 Mot inconnu : resan => echo 1 > /sys/bus/pci/devices/resan | resan

194 Incohérence avec “mon” : “aspire” est un verbe. => En effet sur mon aspire one, 0:01:00.0 est l'emplacement PCI de la carte wifi. | aspire => suggestions : ['aspirées', 'aspirée', 'aspirant']
194 Mot inconnu : one => En effet sur mon aspire one, 0:01:00.0 est l'emplacement PCI de la carte wifi. | one
194 Mot inconnu : PCI => En effet sur mon aspire one, 0:01:00.0 est l'emplacement PCI de la carte wifi. | pci

195 Mot inconnu : PCI => La modification a pour simple effet d'éjecter la carte PCI (elle ne sort pas du portable, je vous rassure) avant mise en veille, puis de la réinsérer au retour de veille. | pci

200 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Dans certains cas, il est utile d'augmenter la mémoire RAM et de la faire passer à 1,5 Gio. | 1,5 gio => suggestions : ['1,5\xa0Gio']

201 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | 512 mio => suggestions : ['512\xa0Mio']
201 Mot inconnu : slot => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | slot
201 Mot inconnu : SO-DIMM => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | so-dimm
201 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | 1 gio => suggestions : ['1\xa0Gio']
201 Mot inconnu : DDR2 => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | ddr2
201 Mot inconnu : PC2-5300 => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | pc2-5300
201 Mot inconnu : Mhz => 1 barrette installée (soudée) de 512 Mio + 1 slot SO-DIMM de libre (1 seul emplacement) pour une barrette de 1 Gio maximum (réf barrette RAM : DDR2 PC2-5300 667 Mhz) | mhz

203 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => [[http://www.blogeee.net/2008/08/guide-installer-un-disque-18-dans-son-aspire-one-a110/|Voir ici pour la procédure]] (Difficile - Obligé de désosser le portable ! 8-O ) : les photos décrivent le démontage complet de l'Aspire One pour remplacer le SSD par un disque dur de 1,8 pouces. Il est facile de suivre le guide pour trouver l'emplacement de la mémoire ... |  -  => suggestions : [' – ', ' — ', ' − ']
203 Pas d’espace avant ce signe. => [[http://www.blogeee.net/2008/08/guide-installer-un-disque-18-dans-son-aspire-one-a110/|Voir ici pour la procédure]] (Difficile - Obligé de désosser le portable ! 8-O ) : les photos décrivent le démontage complet de l'Aspire One pour remplacer le SSD par un disque dur de 1,8 pouces. Il est facile de suivre le guide pour trouver l'emplacement de la mémoire ... |  ) => suggestions : [')']
203 Mot inconnu : One => [[http://www.blogeee.net/2008/08/guide-installer-un-disque-18-dans-son-aspire-one-a110/|Voir ici pour la procédure]] (Difficile - Obligé de désosser le portable ! 8-O ) : les photos décrivent le démontage complet de l'Aspire One pour remplacer le SSD par un disque dur de 1,8 pouces. Il est facile de suivre le guide pour trouver l'emplacement de la mémoire ... | one
203 Typographie : points de suspension. Utilisez le caractère dédié. => [[http://www.blogeee.net/2008/08/guide-installer-un-disque-18-dans-son-aspire-one-a110/|Voir ici pour la procédure]] (Difficile - Obligé de désosser le portable ! 8-O ) : les photos décrivent le démontage complet de l'Aspire One pour remplacer le SSD par un disque dur de 1,8 pouces. Il est facile de suivre le guide pour trouver l'emplacement de la mémoire ... | ... => suggestions : ['…']

205 Guillemets typographiques ouvrants. => Une vidéo 'en anglais' se trouve [[http://www.aspireoneuser.com/2008/08/29/how-to-add-ram-to-the-acer-aspire-one-netbook/]] | ' => suggestions : ['“', '‘', '‹']
205 Guillemets typographiques fermants. => Une vidéo 'en anglais' se trouve [[http://www.aspireoneuser.com/2008/08/29/how-to-add-ram-to-the-acer-aspire-one-netbook/]] | ' => suggestions : ['”', '’', '›']

208 Mot inconnu : netbook => Les versions de 0.3004 à (au moins) 0.3301 du BIOS (installé en usine) de ce netbook comporte un bug dangereux (si on l'ignore). | netbook

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous mettez un mot de passe au bios, il est en mode QWERTY (qwerty tout en majuscule), dans ce cas, la touche Shift Lock et un exemple de clavier qwerty s'avèrent très utile ! |    => suggestions : ['']
209 Accord de nombre erroné : « bios » est au pluriel. =>   * Si vous mettez un mot de passe au bios, il est en mode QWERTY (qwerty tout en majuscule), dans ce cas, la touche Shift Lock et un exemple de clavier qwerty s'avèrent très utile ! | au => suggestions : ['aux']
209 Accord de nombre erroné : « bios » devrait être au singulier. =>   * Si vous mettez un mot de passe au bios, il est en mode QWERTY (qwerty tout en majuscule), dans ce cas, la touche Shift Lock et un exemple de clavier qwerty s'avèrent très utile ! | bios => suggestions : ['bio']
209 Mot inconnu : Shift =>   * Si vous mettez un mot de passe au bios, il est en mode QWERTY (qwerty tout en majuscule), dans ce cas, la touche Shift Lock et un exemple de clavier qwerty s'avèrent très utile ! | shift
209 Mot inconnu : Lock =>   * Si vous mettez un mot de passe au bios, il est en mode QWERTY (qwerty tout en majuscule), dans ce cas, la touche Shift Lock et un exemple de clavier qwerty s'avèrent très utile ! | lock

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le flashage du BIOS n'étant pas une opération anodine, ne le faites que si vous vous en sentez capable. |    => suggestions : ['']

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  </note> |   => suggestions : ['']

215 Mot inconnu : v0 => ==Version usine v0.3004 (Juin 2008)== | v0

216 Mot inconnu : v0 => ==Version v0.3114 (31 Juillet 2008)== | v0
