
4 Mot inconnu : Airis => ======  Tablette Airis Kira Slimpad ====== | airis
131 Guillemets typographiques ouvrants. => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | " => suggestions : ['«\xa0', '“']
131 Mot inconnu : tiitoo-hdmi => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | tiitoo-hdmi
131 Mot inconnu : sh => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | sh
131 Guillemets typographiques fermants. => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | " => suggestions : ['\xa0»', '”']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargez le module complémentaire [[https://addons.mozilla.org/en-US/firefox/addon/grab-and-drag/ | Grab and drag]] pour Firefox qui vous permettra de naviguer avec l'aspect et la convivialité des tablettes natives. C'est indispensable. Pensez aussi à mettre les boutons de zoom dans la barre d'adresse, c'est utile parfois. Firefox a une page d'accessibilité mais Gnome fait tout de manière cohérente, donc pour le moment, pas besoin des modules spécifiques. |    => suggestions : ['']
136 Mot inconnu : Grab =>   * Téléchargez le module complémentaire [[https://addons.mozilla.org/en-US/firefox/addon/grab-and-drag/ | Grab and drag]] pour Firefox qui vous permettra de naviguer avec l'aspect et la convivialité des tablettes natives. C'est indispensable. Pensez aussi à mettre les boutons de zoom dans la barre d'adresse, c'est utile parfois. Firefox a une page d'accessibilité mais Gnome fait tout de manière cohérente, donc pour le moment, pas besoin des modules spécifiques. | grab
136 Mot inconnu : and =>   * Téléchargez le module complémentaire [[https://addons.mozilla.org/en-US/firefox/addon/grab-and-drag/ | Grab and drag]] pour Firefox qui vous permettra de naviguer avec l'aspect et la convivialité des tablettes natives. C'est indispensable. Pensez aussi à mettre les boutons de zoom dans la barre d'adresse, c'est utile parfois. Firefox a une page d'accessibilité mais Gnome fait tout de manière cohérente, donc pour le moment, pas besoin des modules spécifiques. | and

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les boutons de zoom peuvent être aussi intéressants si vous voulez grossir facilement et à la demande les pages web ; ajoutez-les en faisant Menu "Affichage / Barres d'Outils / Personnaliser". |    => suggestions : ['']
137 Guillemets typographiques ouvrants. =>   * Les boutons de zoom peuvent être aussi intéressants si vous voulez grossir facilement et à la demande les pages web ; ajoutez-les en faisant Menu "Affichage / Barres d'Outils / Personnaliser". | " => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. =>   * Les boutons de zoom peuvent être aussi intéressants si vous voulez grossir facilement et à la demande les pages web ; ajoutez-les en faisant Menu "Affichage / Barres d'Outils / Personnaliser". | " => suggestions : ['\xa0»', '”']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Adobe Reader : activez l'utilisation du scrolling à la main (cela rappelle le comportement des tablettes plus classiques). Ajoutez les boutons "mode à la main" et mode sélection pour revenir au mode classique. |    => suggestions : ['']
138 Mot inconnu : Reader =>   * Adobe Reader : activez l'utilisation du scrolling à la main (cela rappelle le comportement des tablettes plus classiques). Ajoutez les boutons "mode à la main" et mode sélection pour revenir au mode classique. | reader
138 Guillemets typographiques ouvrants. =>   * Adobe Reader : activez l'utilisation du scrolling à la main (cela rappelle le comportement des tablettes plus classiques). Ajoutez les boutons "mode à la main" et mode sélection pour revenir au mode classique. | " => suggestions : ['«\xa0', '“']
138 Guillemets typographiques fermants. =>   * Adobe Reader : activez l'utilisation du scrolling à la main (cela rappelle le comportement des tablettes plus classiques). Ajoutez les boutons "mode à la main" et mode sélection pour revenir au mode classique. | " => suggestions : ['\xa0»', '”']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Jeux de cartes [[http://pysolfc.sourceforge.net/ | pysol]] avec une bonne accessibilité drag and drop au doigt. |    => suggestions : ['']
139 Mot inconnu : pysol =>   * Jeux de cartes [[http://pysolfc.sourceforge.net/ | pysol]] avec une bonne accessibilité drag and drop au doigt. | pysol
139 Mot inconnu : and =>   * Jeux de cartes [[http://pysolfc.sourceforge.net/ | pysol]] avec une bonne accessibilité drag and drop au doigt. | and
